nodename,nodeclass,describe,properties
"齐多夫定","药品","齐多夫定为抗病毒药，用于艾滋病或与艾滋病有关的综合症患者及免疫缺陷病毒（HIV）感染的治疗。1987年3月19日，美国食品与药品管理署批准该药上市。齐多夫定是世界上第一个获得美国FDA批准生产的抗艾滋病药品，因其疗效确切，成为“鸡尾酒”疗法最基本的组合成分。该品为抗病毒药，在体外对逆转病毒包括人免疫缺陷病毒（HIV）具有高度活性。在受病毒感染的细胞内被细胞胸苷激酶磷酸化为三磷酸齐多夫定，后者能选择性抑制HIV逆转酶，导致HIV链合成终止从而阻止HIV复制。2017年10月27日，世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考，齐多夫定（AZT）在2B类致癌物清单中。","中文名：齐多夫定；外文名：Zidovudine （AZT）；别名：3 -叠氮-3 -脱氧胸苷；3 -叠氮-3 -脱氧胸苷；3 -叠氮-3 -脱氧胸甙；化学名：1-（3-叠氮-2，3-二脱氧-β-D-呋喃核糖）-5-甲基嘧啶-2，4（1H，3H）-二酮；分子式：C10H13N5O4；分子量：267.24；适应症：用于治疗艾滋病获得性免疫缺陷综合征（AIDS），以延缓疾病的进程；用法用量：成人常用量：1次200mg，每4小时1次，按时间给药。有贫血的病人：可按1次100mg给药；不良反应：骨髓抑制，肌病，乳酸中毒/严重肝脂变性肿大；注意事项：有骨髓[医学]抑制作用，可引起意外感染、疾病痊愈延缓和牙龈出血等。在用药期间要进行定期查血。嘱咐病人在使用牙刷、牙签时要防止出血。；有效期：暂定12个月；药品禁忌：对该品过敏的患者禁用，哺乳期妇女授乳期间应停止用药；"
"辛伐他汀","药品","辛伐他汀（simvastatin）是他汀类（statin）的降血脂药物，用于控制血液中胆固醇的含量以及预防心血管疾病。辛伐他汀是土曲霉发酵产物的合成衍生物。","中文名：辛伐他汀；外文名：simvastatin Capsules；别名：辛伐他汀分散片，辛可；性状：白色或类白色粉末或结晶性粉末；适应症：高胆固醇血症，冠心病；"
"洛伐他汀","药品","洛伐他汀是八十年代上市的新型调整血脂药，由于其独特的疗效，被誉为治疗心血管系统疾病的里程碑，深受广大患者的欢迎。化学名称：（S）-2-甲基丁酸-（1S，3S，7S，8S，8aR）-1，2，3，7，8，8a-六氢-3，7-二甲基-8-{2-[（2R，4R）-4-羟基-6氧代-2-四氢性状：1、胶囊剂：内容物为白色或类白色粉末。2、片制：白色或类白色片规格：1、片剂：每片10mg；20mg；40mg。2、胶囊：（1） 2mg （2） 4mg贮藏：遮光、密闭保存。","中文名：洛伐他汀；外文名：Lovastatin，；别名：明维欣 洛特 欣露；药品类别：心血管系统疾病；药剂类型：胶囊剂；适应症：血脂药；外文名称：Lovastatin；主要适用症：血脂药；剂 型：胶囊剂；药品类型：心血管系统疾病；"
"西地那非","药品","西地那非（Sildenafil），又译昔多芬，是一种研发治疗心血管疾病药物时意外发明出的治疗男性勃起功能障碍药物，一般以其商业用名Viagra（中国大陆注册名万艾可，台湾和香港注册名威而钢）广为人知。不过相对于商品名西地那非在中国的俗名“伟哥”使用的更广泛，影响也更大。由于辉瑞公司对西地那非享有专利权，因此该公司以西地那非的枸橼酸盐（柠檬酸盐）所制造的万艾可，是目前市面上唯一合法以西地那非作为主要成分的药物。头痛。临床试验中发现，约有1%的人服药后出现头痛，且服用剂量越大愈烈。眼花。约有0.3%的服药者可发生短暂的视力模糊，有的还会出现看见蓝光的幻。","中文名：西地那非；外文名：Sildenafil；别名：昔多芬、万艾可、金戈、伟哥、 枸橼酸西地那非片；分子式：C22H30N6O4S；分子量：474.58；性状：蓝色薄膜衣片，除去包衣后显白色；适应症：用于治疗阴茎勃起功能障碍（ED）。；用法用量：初次使用，半粒即可；不良反应：部分人会呈现头痛、潮红、消化不良、鼻塞及视觉异常等；注意事项：不能与任何形式的硝酸酯类药物混用。不应同时饮酒.；生产厂商：中国；是否纳入医保：未纳入；是否处方药：处方药；药品禁忌：1.对西地那非过敏者。 2.正在使用硝酸甘油、硝普钠或其他含有机硝酸盐者。；执行标准：国家药典；cas：139755-83-2；熔点：187-189℃；EINECS：252-082-4；"
"他达拉非","药品","他达拉非片是环磷酸鸟苷（cGMP）特异性磷酸二酯酶5（PDE5）的选择性，可逆抑制剂，当性刺激导致局部释放一氧化氮，PDE5受到他达拉非抑制，使阴茎海绵体内cGMP水平提高，这导致平滑肌松弛，血液流入阴茎组织，产生勃起，如无性刺激。","中文名：他达拉非；外文名：Tadalafil；别名：Cialis、西力士官方（xlstm）、犀利士；化学名：ALPHA-[[（2R）-2-[（1S）-1-羟基-2-（羟基氨基）-2-氧代乙基]-4-甲基-1-；分子式：C22H19N3O4；分子量：389.41；适应症：勃起功能障碍 及肺动脉高压；用法用量：本品的推荐剂量为10mg，在进行性生活之前服用；不良反应：眼睑肿胀、或者描述为眼痛和结膜充血是非常少见的副反应；药品禁忌：正在服用任何形式的硝酸盐类药物的患者禁止服用本品；CAS登录号：171596-29-5；"
"细辛","中药材","细辛，别名：华细辛、盆草细辛，拉丁文名：Asarum sieboldii Miq. 是双子叶植物纲、马兜铃科、细辛属多年生草本；根状茎直立或横走，直径2-3毫米，节间长1-2厘米，有多条须根。叶通常2枚，叶片心形或卵状心形，先端渐尖或急尖，基部深心形，顶端圆形，叶面疏生短毛，脉上较密，叶背仅脉上被毛；雄蕊着生子房中部，花丝与花药近等长或稍长，药隔突出，短锥形；子房半下位或几近上位，球状，较短，柱头侧生。果近球状，直径约1.5厘米，棕黄色。花期4-5月。细辛具有祛风，散寒，行水，开窍的功效。并具有治风冷头痛，鼻渊，齿痛，痰饮咳逆，风湿痹痛等作用。图片取自中国植物图库","中文学名：细辛；别名：华细辛（文献通称） 盆草细辛（四川）；拉丁学名：Asarum sieboldii Miq.；二名法：Asarum sieboldii；界：植物界；族：细辛族（Asareae）；门：被子植物门（Magnoliophyta）；纲：双子叶植物纲（Magnoliopsida），又称木兰纲。；亚纲：木兰亚纲（Magnoliidae）；目：马兜铃目（Aristolochiales）；科：马兜铃目仅含马兜铃科（Aristolochiaceae）一科；亚科：细辛亚科（Asaroideae）；属：细辛属（Asarum）；种：细辛 A. sieboldii；体征：花丝与花药近等长或稍长，药隔突出，短锥形；"
"芍药","中药材","芍药（学名：Paeonia lactiflora Pall.），别名别离草、花中宰相，属五桠果目，芍药科芍药属芍药组多年生草本。块根由根颈下方生出，肉质，粗壮，呈纺锤形或长柱形，粗0.6～3.5cm。芍药花瓣呈倒卵形，花盘为浅杯状，花期5～6月，花一般着生于茎的顶端或近顶端叶腋处，原种花白色，花瓣5～13枚。园艺品种花色丰富，有白、粉、红、紫、黄、绿、黑和复色等，花径10～30厘米，花瓣可达上百枚。果实呈纺锤形，种子呈圆形、长圆形或尖圆形。","中文学名：芍药；别名：将离、离草、婪尾春、余容、犁食、没骨花、黑牵夷、红药等；拉丁学名：Paeonia lactiflora Pall.；二名法：Paeonia lactiflora；界：植物界；门：被子植物门；纲：双子叶植物纲；亚纲：原始花被亚纲；目：五桠果目；科：芍药科；属：芍药属；种：芍药；分布区域：中国、朝鲜、日本、蒙古及西伯利亚地区；性情：宿根植物；环境分布：山坡草地、林下（东北）；生活型：多年生草本；日照：喜光照；水分：耐旱；温度：喜温耐寒；土壤：砂质壤土；海拔：1000～2300米，东北480～700m；花期：5～6月；药用价值：镇痛、镇痉、祛瘀、通经；工业价值：制肥皂和涂料；特殊用途：观赏价值；毒性：无毒（待查）；象征意义：友谊、爱情；原产地：中国扬州仪征；花 期：5～6月；海 拔：1000～2300米、东北480～700m；"
"沙参","中药材","沙参〔拉丁学名：Adenophora stricta Miq. 〕桔梗科沙参属多年生草本植物，根胡萝卜状，不分枝，高可达1米，植株直立而不分枝，假总状或圆锥花序，狭窄，花梗短，花萼全缘或具齿；花冠常紫色或蓝色，花梗短，花丝下部扩大成片状，花药细长；子房下位，胚珠多数。种子椭圆状。7-8月开花。以根入药。秋季刨采，除去地上部分及须根，刮去粗皮，即时晒干。无毒，甘而微苦，有滋补、祛寒热、清肺止咳，也有治疗心脾痛、头痛、妇女白带之效。主治气管炎，百日咳，肺热咳嗽，咯痰黄稠。根煮去苦味后，可食用。（概述图片来源：中国植物图像库 ）","中文学名：淮北北站；外文名：Huaibeibei Railway Station；"
"丹参","中药材","丹参，中药名。为唇形科植物丹参Salvia miltiorrhiza Bge.的干燥根和根茎。春、秋二季采挖，除去泥沙，干燥。全国大部分地区都有分布。具有活血祛瘀，通经止痛，清心除烦，凉血消痈之功效。用于胸痹心痛，脘腹胁痛，症瘕积聚，热痹疼痛，心烦不眠，月经不调，痛经经闭，疮疡肿痛","中文学名：丹参；别名：红根、大红袍、血参根；界：植物界；门：被子植物门；纲：双子叶植物纲；科：唇形科；属：鼠尾草属；种：丹参；分布区域：全国大部分地区都有分布；采收时间：春、秋二季采挖；用量：10～15g；贮藏：置干燥处；毒性：无毒；功效：活血祛瘀，通经止痛，清心除烦；"
"玄参","中药材","玄参（拉丁学名：Scrophularia ningpoensis Hemsl.）为玄参科草本植物，可达1米余。支根数条，纺锤形或胡萝卜状膨大，粗可达3厘米以上。生于海拔1700米以下的竹林、溪旁、丛林及高草丛中。产河北（南部）、河南、山西、陕西（南部）、湖北、安徽、江苏、浙江、福建、江西、湖南、广东、贵州、四川。","中文学名：玄参；别名：元参、浙玄参、黑参、重台、鬼藏、正马、鹿肠、端、玄台、元参；外文名：Figwort Root；拉丁学名：Scrophularia ningpoensis Hemsl；界：植物界；门：被子植物门；纲：双子叶植物纲；亚纲：菊亚纲；目：玄参目；科：玄参科；亚科：玄参科；属：玄参属；种：玄参；分布区域：浙江、四川、湖北；"
"杀虫","术语","杀虫，全称杀虫脒，分子式为C10H13ClN2。杀虫繁殖能力很强。","中文名称：杀虫；外文名：chlordimeform；别称：杀虫脒；化学式：Cl（CH3）C6H3N=CHN（CH3）3；分子量：196.68；CAS登录号：6164-98-3；编号：61876；"
"安胎","医学术语","治疗学术语。指对胎动不安或有滑胎史的孕妇进行治疗的方法，以预防流产。出《经效产宝》。其原则有二：因母体有病以致胎动不安者，应治疗母病，母安则胎自安；若胎气不固以致母病者，安胎则母自愈。治疗参见胎动不安、滑胎条。","中文名：安胎；英文名：miscarriage prevention；创立时间：2019年3月17日；归属：治疗学术语；"
"煎服","中医术语","煎服，读音jiān fú，汉语词语，指煎汁服下。",""
"荨麻疹","疾病","荨麻疹俗称风疹块。是由于皮肤、黏膜小血管扩张及渗透性增加而出现的一种局限性水肿反应，通常在2～24小时内消退，但反复发生新的皮疹。病程迁延数日至数月。临床上较为常见。","中文名：荨麻疹；外文名：Urticaria；别名：风疹，风团；传染病：否；临床表现：常先有皮肤瘙痒，随即出现红色或皮肤色风团；疫苗预防：否；就诊科室：皮肤性病科；发病部位：皮肤；常用药物：抗组胺类药物、糖皮质激素；相关检查：血沉、抗核抗、血清补体、皮肤活检；常见病因：过敏、感染、冷热、日光等刺激，精神及遗传因素等；"
"多形红斑","疾病","多形红斑为急性炎症性皮肤病，有自限性，皮疹多形，有红斑、丘疹、风团、水疱等，特征性皮损为靶形损害即虹膜状皮疹，有不同程度黏膜损害，少数有内脏损害。本病春秋季好发，多发于儿童和青年女性。","中文名：多形红斑；外文名：Erythema Multiforme；别名：多形渗出性红斑；主要原因：与感染、药物、接触物、内脏疾病等有关；症状表现：头痛、发热、关节和肌肉酸痛、扁桃体炎及呼吸道感染；皮疹多形，有红斑、丘疹、风团、水疱、大疱和紫癜等；就诊科室：皮肤性病科；显状部位：皮肤；多发人群：多发于儿童和青年女性。；多发群体：10-30岁人群；"
"解暑","中医术语","解暑，是一个中医概念。中医会把中暑问题分为“阳暑”和“阴暑”，其中阳暑问题，通常是见于长时间在太阳暴晒下的劳动者、运动人士，症状是头晕倦怠、口渴身热等，如不及时补充水分兼休息，甚至会出现热衰竭和休克，危及生命安全。而阴暑问题，则是引致大部分中暑现象的原因。","中文名：解暑；英文名：relieving summer-heat；"
"发表","中医术语","发表，汉语词语，表示思想、观点、文章和意见等东西通过报纸、书刊或者公众演讲等形式公诸于众。","名称：发表；拼音：fā biǎo；出处：《三国志·吴志·华覈传》；释义：向集体或社会表达（意见）；例句：蜀 为 魏 所并， 覈 诣宫门发表曰：‘闲闻贼众蚁聚向西境，西境艰险，谓当无虞；词 性：动词；"
"秦艽","中药材","秦艽（Gentiana macrophylla），别名：大叶龙胆、大叶秦艽、西秦艽。多年生草本植物，圆柱形根，基生叶较大，茎生叶3-4对，披针形叶片，基部连合；夏秋开筒状深蓝紫色花，花丛生于上部叶腋成轮状，裂片先端尖；长椭圆形蒴果。有极高的药用价值，是治治疗风湿关节痛、结核病、潮热、黄疸等症的主药之一。产于蒙古、俄罗斯、中国大陆的内蒙古、宁夏、河北、陕西、新疆、东北、山西等地。","中文学名：秦艽；别名：秦糺（唐本草）、秦爪、秦胶（本草纲目）、大叶龙胆（中国北部植物图志）、大叶秦艽、萝卜艽、左秦艽；拉丁学名：Gentiana macrophylla；界：植物界；门：被子植物门 Magnoliophyta；纲：双子叶植物纲 Magnoliopsida；亚纲：蔷薇亚纲 Rosidae；目：龙胆目 Gentianales；科：龙胆科 Gentianaceae；亚科：龙胆亚科 Subfam. Gentianoideae；属：龙胆属 Gentiana；种：秦艽 G. macrophylla；亚种：大花秦艽；命名者及年代：Pall.；分布区域：蒙古，俄罗斯，中国大陆的内蒙古、宁夏、河北、陕西、新疆、东北；"
"雄黄","中药材","雄黄，α-As4S4又称作石黄、黄金石、鸡冠石，是一种含硫和砷的矿石，质软，性脆，通常为粒状，紧密状块，或者粉末，条痕呈浅桔红色。雄黄主要产于低温热液矿床中，常与雌黄（As2S3）、辉锑矿、辰砂共生；产于温泉沉积物和硫质火山喷气孔内沉积物的雄黄，则常与雌黄共生。不溶于水和盐酸，可溶于硝酸，溶液呈黄色。置于阳光下曝晒，会变为黄色的雌黄和砷华，所以保存应避光以免受风化。加热到一定温度后在空气中可以被氧化为剧毒成分三氧化二砷，即砒霜。雄黄主要分布于贵州、湖南、湖北、甘肃、云南、四川、安徽、陕西、广西。","中文名称：雄黄；外文名：Realgar；别名：石黄、鸡冠石、黄金石；化学式：As4S4；CAS号：12044-30-3；摩尔质量：106.998；外观：橘红色；光泽：金刚光泽，断口油脂光泽；光性：二轴晶，负光性；"
"利水渗湿","中药材","利水渗湿，指能渗利水湿、通利小便的一类药物，也叫利水渗湿药。是中药中的利尿药，但也不完全等于利尿药。有利尿、抗菌、利胆等作用。","中文名：利水渗湿；"
"健脾","中医术语","健脾，中医名词，指健运脾气的一种治法。适用于脾气虚弱，运化无力所致的脘腹胀满、大便溏泄、食欲不振、肢倦乏力等症。常用方药如参苓白术散．香砂六君子汤等。健脾，也是补法之一。亦称补脾、益脾。治疗脾虚、运化功能减弱的方法。用于面色萎黄、疲倦乏力、少气懒言、食欲不振、食后腹胀、大便溏薄，舌淡苔白，脉缓弱等脾气虚弱证候。常用药如党参、莲子、白术、茯苓、山药、薏苡仁等。方如参苓白术散。","中文名：健脾；英文名：tonifying spleen；拼音：jian pi；定义：中医名词，健运脾气的一种治法；适用症：脾气虚弱，运化无力；常用药：党参、莲子、白术、茯苓等；"
"宁心","中医术语","宁心，原名曾宁馨，1993年8月23日出生于四川省自贡市，中国内地女演员、模特，毕业于重庆大学美视电影学院。2013年，参加真人秀影视新星表演类栏目《奇迹梦工厂》。2014年，主演爱情治愈喜剧片《分手木马计》。2015年，参演古装宫廷剧《美人香》；同年，还参演了古装玄幻剧《青丘狐传说》。2016年，参演青春历史传奇剧《思美人》 ；同年，出演古装仙侠剧《莽荒纪》，饰演傀儡师冬霖。2017年，参演都市情感剧《幸福的理由》。同年，主演热血青春励志剧《艳势番之新青年》，饰演青帮太子爷花九卿。2020年参演的电视剧《热血同行》在东方卫视、北京卫视上映，饰演​花九卿。","中文名：曾宁馨；别名：宁心；性别：女；出生日期：1993年8月23日；国籍：中国；籍贯：四川自贡；出生地：四川自贡；民族：汉族；毕业院校：重庆大学；身高：165cm；体重：44kg；职业：演员、平面模特；代表作品：热血同行、思美人；经纪公司：北京青春你好文化传媒有限公司；星座：狮子座；爱好：唱歌、跳舞、跆拳道；"
"化痰止咳","中医术语","《化痰止咳》是《家庭药膳滋补丛书1》之一。本丛书旨在为普通大众提供常见的药膳滋补方法，有针对性地用于某些病症的辅助治疗。内容科学详实，图片精美，文字通俗易懂，方便读者临厨亲烹，食方的营养成分、性味归经、养生功效、选购贮存、饮食禁忌，至精至详，一览无遗。适合广大美食爱好者、食疗养生者以及亚健康人群使用。","名称：化痰止咳；作者：犀文图书；ISBN：9787535644459；出版社：湖南美术出版社；开本：16；出版时间：2011年12月1日；装帧：平装；"
"黄芩","中药材","黄芩（拉丁学名：Scutellaria baicalensis Georgi），别名山茶根、土金茶根，是唇形科黄芩属多年生草本植物；肉质根茎肥厚，叶坚纸质，披针形至线状披针形，总状花序在茎及枝上顶生，花冠紫、紫红至蓝色，花丝扁平，花柱细长，花盘环状，子房褐色，小坚果卵球形，花果期7～9月。黄芩生于向阳草坡地、休荒地上，海拔60～1300（1700～2000）米。产于黑龙江，辽宁，内蒙古，河北，河南，甘肃，陕西，山西，山东，四川等地，中国北方多数省区都可种植。俄罗斯东西伯利亚，蒙古，朝鲜，日本均有分布。模式标本采自俄罗斯。黄芩的根入药，味苦、性寒，有清热燥湿、泻火解毒、止血、安胎等功效。主治温热病、上呼吸道感染、肺热咳嗽、湿热黄胆、肺炎、痢疾、咳血、目赤、胎动不安、高血压、痈肿疖疮等症。黄芩的临床抗菌性比黄连好，而且不产生抗药性。","中文学名：黄芩；别名：山茶根、土金茶根；拉丁学名：Scutellaria baicalensis Georgi；界：植物界；门：被子植物门；纲：双子叶植物纲；亚纲：合瓣花亚纲；目：管状花目；科：唇形科；亚科：黄芩亚科；属：黄芩属；亚属：黄芩亚属；种：黄芩；分布区域：中国、苏联东西伯利亚、蒙古、朝鲜、日本；毒 性：小毒；功 能：清热燥湿、消炎抗菌、消肿；"
"黄连","中药材","黄连，（学名：Coptis chinensis Franch.）别名：味连、川连、鸡爪连，属毛茛科、黄连属多年生草本植物，叶基徨，坚纸质，卵状三角形，三全裂，中央裂片卵状菱形，羽状深裂，边缘有锐锯齿，侧生裂片不等2深裂；叶柄长5-12cm。野生或栽培于海拔1000-1900m的山谷凉湿荫蔽密林中。有清热燥湿，泻火解毒之功效。其味入口极苦，有俗语云“哑巴吃黄连，有苦说不出”，即道出了其中滋味。","中文学名：黄连；别名：味连、川连、鸡爪连；拉丁学名：Coptis chinensis Franch.；二名法：Coptis chinensis；界：植物界；族：黄连族；门：被子植物门；纲：双子叶植物纲；亚纲：原始花被亚纲；目：毛茛目；科：毛茛科；亚科：唐松草亚科；属：黄连属；种：黄连；分布区域：四川、贵州、湖南、湖北、陕西南部；体征：根状茎黄色，叶片稍带革质，卵状三角形；"
"止痛","中医术语","止痛对于减轻痛苦，保护身体健康非常重要，服用止痛片和镇静药是止痛的最成功方法。","中文名：止痛；含义：停止或减轻痛苦；方法一：松弛疗法等；方法二：分散注意力；"
"煎汤","中医术语","中医学术语，说白了就是用水加热熬药的意思","中文名：煎汤；定义：用水加热熬药；类型：中医学术语；工艺：煮；熬药时长：受季节因素影响；"
"头晕","症状","头晕（dizziness）是一种常见的脑部功能性障碍，也是临床常见的症状之一。为头昏、头胀、头重脚轻、脑内摇晃、眼花等的感觉。头晕可由多种原因引起，最常见于发热性疾病、高血压病、脑动脉硬化、颅脑外伤综合征、神经症等。此外，还见于贫血、心律失常、心力衰竭、低血压、药物中毒、尿毒症、哮喘等。抑郁症早期也常有头晕。头晕可单独出现，但常与头痛并发。头晕伴有平衡觉障碍或空间觉定向障碍时，患者感到外周环境或自身旋转、移动或摇晃。偶尔头晕或体位改变而头晕不会有太大的问题，如果长时间头晕，可能是重病的先兆，应引起重视。","中文名：头晕；外文名：dizziness；传染病：否；临床表现：头昏、头胀、头重脚轻、脑内摇晃、眼花，伴乏力、面色苍白、失眠、耳鸣、情绪不稳、健忘等；就诊科室：内科；发病部位：头部；常见病因：神经系统病变、耳疾病、内科疾病如高血压等、感冒、颈椎骨退化、贫血、血黏度高、脑动脉硬化、冠心病等；"
"情绪紧张","症状","情绪紧张是人体在精神及肉体两方面对外界事物反应的加强。我们知道，适度的紧张是我们生活和生存所需要的，但过度的紧张则使入睡眠不安，思考力及注意力不能集中，严重时可引起头痛，心俘，腹背疼痛，疲累等症。","中文名：情绪紧张；英文名：qingxujinzhang；别称：紧张；定义：情绪不定；所致方面：人体在精神及肉体两方面；影响后果：过度的紧张使不能正常工作、生活；导致原因：受生活和生存环境及个体素质影响；研究学家：精神心理治疗专家；所属科别：精神科；"
"失眠","症状","常见病症是入睡困难、睡眠质量下降和睡眠时间减少，记忆力、注意力下降等。现在临床医学科学对失眠的认识存在局限性，但是，临床医学家们已经开始根据临床研究，给失眠进行定义，2012年中华医学会神经病学分会睡眠障碍学组根据现有的循证医学证据，制定了《中国成人失眠诊断与治疗指南》，其中失眠是指患者对睡眠时间和（或）质量不满足并影响日间社会功能的一种主观体验。","中文名：失眠；外文名：insomnia；别名：维持睡眠障碍；传染病：否；临床表现：入睡困难、睡眠质量下降和睡眠时间减少，记忆力、注意力下降等；就诊科室：精神病科；发病部位：头部；相关检查：多导睡眠监测；"
"膀胱经","中医术语","本经脉分支从头顶部分出，到耳上角部。直行本脉从头顶部分别向后行至枕骨处，进入颅腔，络脑，回出分别下行到项部，下行交会于大椎穴，再分左右沿肩胛内侧，脊柱两旁，到达腰部，进入脊柱两旁的肌肉，深入体腔，络肾，属膀胱。本经脉一分支从腰部分出，沿脊柱两旁下行，穿过臀部，从大腿后侧外缘下行至腘窝中。另一分支从项分出下行，经肩胛内侧，从附分穴挟脊下行至髀枢，经大腿后侧至腘窝中与前一支脉会合，然后下行穿过腓肠肌，出走于足外踝后，沿足背外侧缘至小趾外侧端，交于足少阴肾经。","中文名：足太阳膀胱经；英文名：bladder meridian；出处：《灵枢·经脉》；涉及学科：中医学；来源文：膀胱足太阳之脉，起于目内眦；本经主治病证：脏腑、头部、筋病；属 性：人体经脉；"
"辛夷","中药材","辛夷，高级工艺美术师，创作的作品曾获得瓷博会“百花奖”一等奖。","中文名：辛夷；出生地：江西临川；民族：汉族；国籍：中国；职业：艺术 陶瓷艺术家；毕业院校：景德镇陶瓷职工大学；代表作品：《花魂》、《月出惊山鸟》；籍贯：江西临川；"
"石韦","中药材","石韦（拉丁文名：Pyrrosia lingua （Thunb.） Farwell）.水龙骨科、石韦属中型附生蕨类植物，植株可达30厘米。横走根状茎，鳞片披针形，叶远生，干后革质，上面灰绿色，孢子囊群近椭圆形，初时为星状淡棕色，成熟呈砖红色。附生于低海拔林下树干上，或稍干的岩石上，海拔100～1800米。分布于中国、印度、越南、朝鲜和日本。石韦别名：石樜（《本经》），石皮（《别录》），石苇（《滇南本草》），金星草、石兰（《纲目》），生扯拢（《分类草药性》），虹霓剑草、石剑、潭剑（《福建民间草药》），金汤匙、石背柳（《中药材手册》） ，石韦，其性味甘、苦，微寒。入肺、膀胱经。有利水通淋、清肺泄热等作用。能清湿热、利尿通淋、治刀伤、烫伤、脱力虚损。","中文学名：石韦；拉丁学名：Pyrrosia lingua；界：植物界；门：蕨类植物门 Pteridophyta [传统系统]；亚门：真蕨亚门 Filicophytina [秦仁昌系统]；纲：薄囊蕨纲 Leptosporangiopsida [秦仁昌系统]；目：水龙骨目 Polypodiales [秦仁昌系统]；科：水龙骨科 Polypodiaceae [秦仁昌系统]；亚科：石韦亚科 SubFam. Pyrrosioideae；属：石韦属 Pyrrosia；种：石韦；命名者及年代：（Thunb.） Farwell；分布区域：安徽，澳门，重庆，福建，甘肃，广东，广西，贵州，海南，河南，香港，湖北，湖南，江苏，江西，四川，台湾，西藏，云南，浙江；"
"白蔹","中药材","白蔹（学名：Ampelopsis japonica （Thunb.） Makino）是葡萄科蛇葡萄属植物，木质藤本。小枝圆柱形，有纵棱纹，无毛。卷须不分枝或卷须顶端有短的分叉，相隔3节以上间断与叶对生。叶为掌状3-5小叶，小叶片羽状深裂或小叶边缘有深锯齿而不分裂。聚伞花序通常集生于花序梗顶端，直径1-2厘米，通常与叶对生。果实球形，直径0.8-1厘米，成熟后带白色，有种子1-3颗；种子倒卵形，顶端圆形，基部喙短钝。花期5-6月，果期7-9月。 分布于日本和中国；在中国分布于辽宁、吉林、河北、山西、陕西、江苏、浙江、江西、河南、湖北、湖南、广东、广西和四川。生长于海拔100-900米的山坡地边、灌丛或草地。 该植物多做地栽，进行棚架绿化效果很好，适合用来配植在假山之侧。其枝蔓亦可作为插花材料。全株可入药，具清热解毒、消肿止痛之功效；块根富含淀粉，可供酿酒。","中文学名：白蔹；别名：山地瓜、野红薯、山葡萄秧、白根、五爪藤、菟核；拉丁学名：Ampelopsis Radix；二名法：Ampelopsis japonica；界：植物界；门：被子植物门；纲：双子叶植物纲；目：鼠李目；科：葡萄科；属：蛇葡萄属；种：白蔹；分布区域：分布于华北、东北、华东、中南及陕西、宁夏、四川等地；归 经：归心、胃经；"
"大肠经","中医术语","十二经脉之一，手三阳经之一，与手太阴肺经相表里，上接手太阴肺经于食指，下接足阳明胃经于鼻旁。经脉分布于食指、上肢外侧前、肩前、颈、颊、鼻旁。其络脉、经别分别与之内外相连，经筋分布于外部。本经首穴是商阳，末穴是迎香，左右各20穴。","中文名：手阳明大肠经；英文名：Yangming Large Intestine Channel of Hand;Yangming；所属学科：中医药学；简称：大肠经；"
"泽泻","中药材","泽泻（学名：Alisma plantago-aquatica Linn. ），多年生水生或沼生草本。全株有毒，地下块茎毒性较大。块茎直径1-3.5厘米，或更大。花药长约1毫米，椭圆形，黄色，或淡绿色；瘦果椭圆形，或近矩圆形，种子紫褐色，具凸起。产黑龙江、吉林等省区。生于湖泊、河湾、溪流、水塘的浅水带，沼泽、沟渠及低洼湿地亦有生长。花较大，花期较长，可用于花卉观赏。亦可入药，主治肾炎水肿、肾盂肾炎、肠炎泄泻、小便不利等症。","中文学名：泽泻；别名：水泽、如意花等；界：植物界；门：被子植物门；纲：单子叶植物纲；亚纲：泽泻亚纲；目：沼生目；亚目：泽泻亚目；科：泽泻科；属：泽泻属；种：泽泻；分布区域：中国、日本、欧洲、北美洲等；"
"燥湿化痰","中医术语","治疗学术语。中医祛痰法之一。指燥湿药与化痰药同用，以治疗脾虚痰湿的方法。燥湿化痰法主治湿痰证。症见咳嗽痰多色白易咯、胸膈胀满、恶心呕吐、或头眩心悸，舌苔白润或腻，脉滑。治以理气燥湿化痰，方如二陈汤等。","中文名：燥湿化痰；"
"健脾益气","中医术语","健脾益气是于文波发明的医学专利。",""
"熬膏","中医术语","熬膏，汉语词汇，拼音áogāo，解释为长时间煮药，使之成为膏药。""防风",,"防风，中药名。别名铜芸、回云、回草、百枝、百种。是一种药草的名字，多年生草本植物，其喜凉爽气候，耐寒，耐干旱，主产于河北、黑龙江、四川、内蒙古等地。防风的根可生用。味辛、甘，性微温。有祛风解表，胜湿止痛，止痉的功效。","中文学名：防风；别名：铜芸、回草、百枝；界：植物界；门：被子植物门；纲：双子叶植物纲；目：伞形目；科：伞形科；属：防风属；种：防风；分布区域：东北、华北及陕西、甘肃、宁夏、山东等；性情：喜凉爽气候，耐寒，耐干旱；采收时间：春、秋二季；用 量：5-10g；毒 性：无毒；"
