质子弹,【#美主持人要求中国为新冠病毒道歉#自说自话荒谬至极搭档当场打断
Zayvro,:英国🇬🇧昨天开始新闻都是疫情要大范围爆发的恐慌。首相说到时候80%的人会得病，不过别担心致死率只有1%👍。美国🇺🇸呢全面封锁消息，想想前阵子说流感死了多少多少人我就纳闷了，每年新型流感疫苗输出地啊难道他们不接种？当然是商人把戏多了。意大利🇮🇹游行示威说口罩侵犯了人身自由…咱们中国🇨🇳一声号令全民皆兵，少数蹦哒不守纪律的舆论都能给调教成人。利益、生死面前凝聚力才能体现出国家的体制民族的信仰。只有中国确诊的病人免费治疗，包机接回华侨…还移民吗？还到处认爸爸吗？不过胖哥说今年妥了再闷你也只能呆家里了，哪儿哪儿都甭想去旅游了
心缘悟空,:【文摘】导读：目前俄、日、韩、意、伊等五国罕见统一态度，要求美国清查并向全世界提交其国内的疫疾真实情况。从数据上看，从去年开始在美国爆发的“流感”十分怪异，不仅传播迅速而且致死率奇高，比一般流感要高出很多，据CDC数据估算目前可能已经造成2.4万人死亡。在这个特殊时刻，我不禁想起了去年在中国查获的无人机投放非洲猪瘟大案。http://t.cn/A67pCNnc
立正盖视传媒,:境外输入是下一阶段防止疫情死灰复燃的关键。但觉得报道中的一点，欧洲不少老外觉得和流感差不多致死率，所以不那么怕。而作为读者想问一个问题：到底今年新冠肺炎和往年武汉流感的致死率差别究竟有多大。@胡锡进@央视新闻@人民网境外疫情多点蔓延入境管制措施是一剂良方吗？|凤旅观察http://t.cn/A679bkz5
Pink-Chen1212,:我从42kg长到49.5kg，或许跟吃激素有关，但是激素量减少了，体重也没下降，不错，老妈老爸看我变胖特别高兴，这还要买海参，给我补呢，我不喜欢吃，所以…我觉得心态好了，能吃东西了，是胖的原因，虽然得了世界罕见的病，但我还活着，这个病致死率比较低，只是没有特效药，复发的几率比较大，生病的时候我自己比较难受，但用药了忍忍也就好些了…只是定时的吃各种药…这也是我没要二胎的缘故吧，我现在想想，既然活着，就好好活着，父母给创造了好的生活环境，就更要珍惜…加油，我的春天一定会到来的…
强大微生物古月,美国人似乎对新型肺炎很看得开，或许是他们经历了多次的大型流行感冒，让他们对新型肺炎的危害有点忽视，这或许会导致美国的新型肺炎疫情出现恶化？
小瘸子O__O,:真是服了大早上说到这个病毒，除了一个西班牙女生站我之外，另外那俩就一直说这个和flu比根本没什么，致死率不高，不需要特别做什么，哪怕就是我们城市有一个case也不用担心。一副看智障的样子表示不懂我在担心什么！靠，当然是担心跟你们这帮没心没肺的在一个办公室被传染啊！！！
废柴小陈online,:这个病毒太可怕，可怕的不是它的致死率，反而是因为它的各方面水平都不高，所以不容易及时被重视才更容易传播，普通人只是它们的媒介，免疫力低下的人们才是它真正的猎物。那弱者什么时候可以会受到关注和关心？在他们数量开始变大之后。我认为这个病毒最可怕的地方在于它利用了人性的弱点。
渡边纯111,:终于终于看完了《致命女人》。剧情真的很不错，Simone的线真的很精彩。同时安利《平常心》，当一种全新的致死率极高的疾病爆发所带来的恐惧，与少数群体们终于争取到权利后的狂欢相碰撞，电影真的不错。而且看完后可能会对Simone有更深的感触。（怪不得13岁小孩子都被她吸引呢，戏里戏外她都是goddess）顺带，第十集真的好棒，有一种暗恋桃花源式的荒诞感觉。
正义看社会,不尽快复工，死亡率将高于新冠肺炎。研究后没琢磨明白这里面的因果逻辑。
晓芳1113,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
黄a胖,意大利乘客现在嫌司机向悬崖开车速度不够快，把司机推开自己狂踩油门冲下去。。。杨晓春的微博视频
而盛知道,:中午在午餐间听到大家都在聊冠状病毒的事，终于成为全员关心的话题了，但是他们也太乐天了吧
SH爱困觉,意大利乘客现在嫌司机向悬崖开车速度不够快，把司机推开自己狂踩油门冲下去。。。杨晓春的微博视频
新-左-翼,【美国死亡病例达到6名，国内病例死亡率高达12.5%】据美国华盛顿州公共卫生部门透露，该州2日新增4起新冠肺炎死亡病例。截至3月2日下午，全美已有6人死于新冠肺炎，全部来自华盛顿州。全美新冠肺炎总病例数达到96例，其中武汉撤侨人员和钻石公主号邮轮乘客共发现48例，其余48病例是在美国境内发现的。多人无中国人接触史。折算美国国内病例死亡率高达12.5%。评：这个死亡率证实了此前不少新冠肺炎当成流感了。另外，神药瑞德西韦没舍得用吗？还是太贵用不起？
晓芳1113,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
人民,:携程网创始人梁建章用经济和生命两笔账，试图解开疫情防控和经济代价的谜团，即人均寿命和人均GDP的关系。人均寿命和人均GDP正相关，如果GDP损失过多，我们投入到公共卫生领域的资源就会更少，人民的健康便会缺乏保障。如果新冠肺炎也像流感一样难以防控，致死率也很低，那么，对于一个国家和地区的全体居民而言，严防严控所带来的经济和健康损失很可能大于它的收益。
坦塔罗斯999,#抗击冠病进行时#这话也就张文宏敢说，仗着最近人气高，要是我说早就被骂死了。他的话说的也非常重，新冠肺炎死亡率是3.66%左右，但是基数只有目前的八万人，估计最终不会超过十万。也就是总死亡人数3500应该打住了。而人口死亡率的基数是什么概念？那是十四亿！十四亿的3.66%是多少？那是五千万！还超过！他说的没错，到了现在这个阶段（反复强调前提为现在这个阶段），除湖北外的绝大部分地区，人们的过度恐慌和过度防疫，以及医院门诊停诊手术停滞等等等等，这些对全民造成的健康危害难以估量，是新冠肺炎危害的千倍万倍。～～这话是张文宏说的，大家要骂骂他去。理记只是附议。
徐记观察,:我问美国一亲戚，为何2009年猪流感，没人敢封航美国。他给我科普，一个美国国内共识，那是墨西哥的问题。我说先发于加利福尼亚，who有报告。他说就是墨西哥，墨西哥致死率高。大家都这么认为。第二，当时美国政客国内发过话，谁敢禁航美国，美国就制裁谁。
1022南飞日,意大利乘客现在嫌司机向悬崖开车速度不够快，把司机推开自己狂踩油门冲下去。。。杨晓春的微博视频
Wilhelm的梦想是拥有威玛猎犬,:法国人还相信这玩意儿给他们的致死率会比给中国的低？
法国学生汇,:#全球疫情##法国疫情#法国卫生部长OlivierVéran早上再次表明了他对这次瘟疫的看法，他认为新冠病毒致死率只有1%到2%，SARS要比它可怕多了。而且他认为法国现在并没有出现“瘟疫”，只不过在面对“瘟疫的威胁”罢了。
國韭光頭佬王,DoctorMike解答美国网友关心的新冠疫情问题。目前的形势已经可以算是Pandemic（全球流行病），不要相信吃任何补剂可以增强抵抗力不感染病毒。美国发现了无接触史的病例让大家恐慌。他说无症状患者的存在可能让感染人数持续上升，但是致死率也会随之下降。嗯，医生看问题的角度很客观。#新型冠状病毒#http://t.cn/A67S9EqZ
琦文学中医,#周刊君与你共同战疫#【李文亮同科室同事眼科副主任#梅仲明医生因新冠肺炎去世#
C爱噼里啪啦,:总算看到一个明白人致死率不能决定一切地区的医疗资源和能力甚至更重要
小殊你不知,【转送别！#李文亮同事因新冠肺炎去世#
iceseraph,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
心行觉智,发布了头条文章：《避瘟防疫》避瘟防疫
瑶医覃迅云,:【“缠腰龙”会致命吗？】“缠腰龙”症状大多数是单侧出现的，这些红斑、水泡能连起来的情况极少，所谓的连成一圈的“缠腰龙”较为罕见。这种疾病的致死率极低，所以不用一提起它就想到致命性。
小晨少12,【李文亮同科室同事眼科副主任#梅仲明医生因新冠肺炎去世#】#李文亮同科室同事因新冠肺炎去世#3月3日，网上爆出武汉市中心医院眼科医生梅仲明因新冠肺炎感染去世。3日中午，封面新闻记者从武汉市中心医院一名医生处证实，当天中午，梅仲明医生去世，他和此前去世的李文亮同科室，是该医院眼科副主任、主任医师。武汉市中心医院另一名医生介绍，梅仲明医生是在抗击新冠肺炎的战役中倒下，这是该医院第3位殉职的医生。“他和李文亮一组，感染也是前后不久。”（封面新闻）
瑶碧丹华,#周刊君与你共同战疫#【李文亮同科室同事眼科副主任#梅仲明医生因新冠肺炎去世#
简Jaaane,#周刊君与你共同战疫#【李文亮同科室同事眼科副主任#梅仲明医生因新冠肺炎去世#
141岁的夏宇恩,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
田雨80,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
正品山人,:病毒是人为武器？连“生物战”都快过时了http://t.cn/A67ognfo点评：病毒是不是人为武器不得而知，不过生化武器怎么会过时呢？个人对生化武器的理解是：主要用于战争中使对方士兵失去战斗力、传播快、致死率低但丧失战斗力、病情反反复复发作和传染、直至对方士兵全部传染失去战斗力。有一个原则：致死率高的病毒或细菌等肯定无法大范围快速传播，别忘了人类是高智商、高应急性的。http://t.cn/RD4C3n3
MQ-王,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
牛爱吃青草,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
美腾,:新冠到这程度了，悄悄全世界看看。俺感觉到有点羞愧
Hester大二金和三个围观吧主,发布了头条文章：《大逆转——防疫成功、恢复经济与全球疫情形势》新冠病毒攻击的是各国人的心理，威力极大！中国经济长期向好的态势没有改变，甚至可以更为看好。中国魄力极大的防控，与世界各国形成鲜明对比。这场大逆转，必将成为中国发展史上惊心动魄的重要一章。大逆转——防疫成功、恢复经济与全球疫情形势
ferrinweb,美国人民对新冠疫情充满乐观！不愧是灯塔！吴法天的微博视频
半步一念,:#青田#华侨在外面接受不到治疗，一旦得病，必死无疑，因为他们连自己国家的人，都宣扬这病不可怕，致死率低。在这病爆发的时候，华侨们众志成城，帮我们收集物资，抗击疫情。在他们饱受侮辱，谩骂，面对生命危险的时候，我们欢迎他们回来。因为他们是我们的同胞呀！别说什么双标，武汉封城，现在又不是我们拦着不让你们回来。更何况刚开始浙江也的确乱成一团了，很难在处理本省的同时，还接受外省的病例。现在有那么点余力了，接受诊治帮助过我们的人，不是情理之中么？http://t.cn/R2WxOTk
韩民族日报中文网,:韩国新冠肺炎确诊患者中20多岁青年占29%，原因是新天地年轻女性信徒所占比例较高:韩民族日报#韩国疫情#韩国新冠肺炎确诊病例中20多岁女性占较大比例，系新冠疫情蔓延的核心环节新天地信徒中女性居多所致。显示死亡者与确诊者比例的致死率平均为0.5%，但80岁以上老龄人群高达3.7%。中央防疫对策本部公布了对截至2日零时韩国新冠肺炎确诊病例（4212人）按性别、年龄、地区进行的特征分析的结果。分析结果显示，最明显的特点是年轻女性确诊病例之多接近男性的2倍。确诊病例4212例中，女性2621人（62.2%），而男性1591人（37.8%）。http://t.cn/A67ChMOL
寻彼方,:有些外国人的逻辑我真的不能理解，觉得新冠轻症致死率不高，轻症能治好，就轻视防护
卢晓周,近些年大家所热议的中国和美国之间的关系，一个概念就是修昔底德陷阱，就是一个新兴大国的崛起，必然遭致现有的大国所压制，进而不可避免的爆发战争，大家都说中美之间很难逃脱这样的套路，中美或有一战，成为某种共识。但是新冠肺炎疫情已经改变了这种猜想，新冠肺炎疫情让中美之间避免了修昔底德陷阱。1、中国在新冠肺炎疫情的防控中所展现出来的国家力量，足以让任何人都不会有对中国进行军事冒险的想法。2、西方资本主义体系，也就是美国的盟友们在应对新冠肺炎疫情的拙劣表现，足以说明西方资本主义国家已经大大衰退。3、美国自身的力量在衰退，到目前为止，他们在防控疫情中还没有组织起任何有效的措施，美国是一盘散沙的状态，他已经失去了遏制中国的力量和意志。新冠肺炎疫情结束时，就是世界主导权易主之时，中美两国将在这场疫情防控中完成交接。
有来医生,:新型冠状病毒肺炎有没有非典严重本问题由#有来医生#特约专家钟堃医生为您解答！@微博健康养生新型冠状病毒非常严重，与非典无法比较，都很严重。数据显示新型冠状病毒肺炎病死率低于非典，但感染人数很多。2003年非典疫情截止时，我国大陆所上报的确诊感染人数约为5000人，致死率约为9%-10%。新型冠状病毒感染人数，到目前为止已经达到非典确诊人数的10倍以上。目前比较高发的武汉地区，致死率为2%左右。新冠状病毒肺炎的轻、中度患者比较多，但无特效药或特异治疗方法，目前也没有可用的疫苗。以对症和支持治疗为主，根据患者具体病情采取适当诊疗方案，根据病情程度的不同采取针对性的治疗。建议还是尽量减少外出、停止聚集。由于新型冠状病毒潜伏期较长，一般为1-14天，而且目前确诊人数很多。其病死率较非典较低，也可能是由于现在科技发达、医疗水平提高以及呼吸机的使用使其得到更好防控。这次疫情相对比较严重，还是应该做好防护。http://t.cn/A679jwpu
一只特立独行的猪猪猪呀,:#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了，太恐怖了
一只特立独行的猪猪猪呀,#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了，太恐怖了
北京平谷,:【新冠病毒相较SARS传播力强致死率弱出现症状早治疗效果好】新冠病毒相较SARS传播力强致死率弱出现症状早治疗效果好
逐鹿朽年_,#佛罗里达州宣布进入公共卫生紧急状态#疫情无国界，大家都要好好防护啊！希望能早日控制疫情!#钟南山团队建议严格防控实施至4月底#加油!一定会好起来的
蓝星笑园,:#意大利累计确诊2036例新冠肺炎#意大利人认为这个病致死率不高所以当流感对待！但是他们可能不知道这个病对肺带来的伤害是多么的严重！是说无知者无畏呢！还是信上帝得永生呢
BetweenDecember,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
我的头今天又炸了,华人区近况：洛杉矶的“超级毒王”最早武汉发生疫情，洛杉矶的华人餐馆，去的人就开始减少了，我就喜欢洛杉矶韩国城里的大螃蟹，后来大家开始去日本餐厅、韩国餐厅。结果最近剧情反转，你猜怎么了？爆出洛杉矶的超级传播者是一名韩国空姐，之前挤去韩国餐厅的人，求心理安慰
皮肤美容莫利香医生,:狂犬病致死率高而且无治疗方法，潜伏期几天到十几年，所以不必冒险，最好被咬后都要注射狂犬疫苗。狂犬病十日观察法到底准确不准确?
中国策划联盟,:《东非爆发X疾病致死率超鼠疫》自2014年首次以来，已有至少2000人死于这种神秘的“X疾病”。http://t.cn/A679VRog
梁萬歲Alicia,【意大利新增342例新冠肺炎，#意大利累计确诊2036例新冠肺炎#】#新冠肺炎最新动态#根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。（人民日报）
InkPainters,【#纽约州长称80%病例都能自愈#没必要去医院
一只特立独行的猪猪猪呀,#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了，太恐怖了，希望可以赶紧结束啊！！
Tsundoku23,#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了，太恐怖了，希望可以赶紧结束啊！！
小脑袋v,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
透挤要爱生活,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
Tsundoku23,:#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了，太恐怖了，希望可以赶紧结束啊！！
就爱吃丞子,:#新冠肺炎重症患者死亡率超过50%#我天这个致死率有点高啊，吓到我了。#意大利累计确诊2036例新冠肺炎#这么多了已经
冯铁球,我勒个去啊～据外网，美国CDC用来检测新冠病毒的试剂盒完全有严重的质量问题，导致根本无法准确检测出新冠病毒来。也就是说检测出来是阳性的，可能不是；而阴性的，很可能是阳性。美国CDC说完全无法评估其严重程度。～现在由于政府能力不足和巨大经济成本，世界上大多数国家已经心照不宣地一起采取了鸵鸟政策。这时候谁蹦出来说你的数字是错的，谁就是那个戳穿了皇帝新衣的小男孩。
-泉酱-,:#新冠肺炎患者的肺和SARS患者的区别#传染率新冠肺炎比sars厉害多了，重症致死率还是很高的，都超过50%了#新冠肺炎重症患者死亡率超过50%#
云云尔The·moment,#新冠肺炎患者的肺和SARS患者的有何区别#SARS是一种冠状病毒感染，与新型冠状病毒相同感染部位是在肺部，传播途径都是通过呼吸道进行传播，SARS发病比较急，潜伏期相对比较短，发热比较高，重症病人也这次发病特点主要是传染性强、致死率低。这两个病从目前看到的临床表现和之前的SARS相比，该病相对病情较轻，传播性更强。
汗涔涔的老胡,【纽约州长：新冠肺炎病例80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
街边独坐,【#美国新增4名死亡病例#，#美国新冠肺炎总病例数达96人#】据美国华盛顿州公共卫生部门透露，该州2日新增4起新冠肺炎死亡病例。截至3月2日下午，全美已有6人死于新冠肺炎，全部来自华盛顿州。全美新冠肺炎总病例数达到96例，其中武汉撤侨人员和钻石公主号邮轮乘客共发现48例，其余病例是在美国境内发现的。目前，全美有10个州发现新冠肺炎患者，分别是亚利桑那州、加利福尼亚州、佛罗里达州、伊利诺伊州、马萨诸塞州、俄勒冈州、罗德岛州、华盛顿州、威斯康星州和纽约州。（人民日报记者张梦旭）
