走马观花998,#外国人永久居留管理条例#杨宜勇你是想引进黑人传播爱兹病？
起来搞钱,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
安徽广播电视台,:#日本公布治疗新冠肺炎方案#【日本表示不满50岁患者多能自愈中国医生：#自愈不等于不需要治疗#】3月2日，日本感染症学会公布新冠病毒疾病治疗方案。报道称，新冠肺炎尚无特效药。不满50岁患者多数能自愈，不一定需要用抗病毒药进行治疗。50岁以上的患者，“低血氧症”时将考虑使用抗病毒药。不满50岁病情持续恶化，也将考虑用药。有中国医生表示，个别无症状者往往不发病就自愈，典型的患者早期症状较轻，慢慢加重可能死亡。（综合）@新京报http://t.cn/A67CklIW
瞰上海,:【转送别！#李文亮同事因新冠肺炎去世#
香港紫荆卫视,:#微博辟谣##抗击新型肺炎第一线##紫荆快讯#【3月3日微博辟谣重要信息汇总】【重要辟谣】@宁波晚报:捐20万口罩华人女子获美国绿卡？漏洞百出！造谣！http://t.cn/A67CkmYf@天津辟谣:安宫牛黄丸可预防新冠肺炎？谣言！http://t.cn/A67CkmYL【综合性辟谣】@中国互联网联合辟谣平台:不要被这些疫情谣言蒙蔽。http://t.cn/A67CkmYU@山东辟谣:2月山东谣言盘点，你被疫情中的这些谣言忽悠了吗？http://t.cn/A67CkmY4@中国长安网:武大辟谣女博士患新冠肺炎并留下遗书。http://t.cn/A67apVXY【地方及公安网警辟谣】@歙县发布:大批华侨从意大利、西班牙包机返回歙县？假的！http://t.cn/A67CkmYM@红网:网传于湖南永州金洞观察点无人监管、被隔离人员随意走动？假的！http://t.cn/A67CkmYG@广元晚报:不想春节上班就编造疫情谣言，男子获刑6个月。http://t.cn/A67CkmYi@丹东发布:辟谣！丹东没有出现甲肝流行。http://t.cn/A67CkmYq@平安重庆:3月16日，市民出行正常化？谣言，别信！http://t.cn/A67CkmYN@红网:娄底一人称感染新冠肺炎引起恐慌？是谣言！被起诉！http://t.cn/A67CkmYt@芦淞警务:株洲一女子传播疫情谣言被行政处罚。http://t.cn/A67CkmYy@徐州民政:网传“清明节禁止一切祭扫活动”系谣言！http://t.cn/A67CkmYX@广西日报:“广西4月7日开学”？自治区教育厅：假的！http://t.cn/A67SKBA3@贺州网警巡查执法:疫区车辆进入钟山？钟山警方仅用时20分钟查明事实！http://t.cn/A67CkmYc@平安重庆:沙坪坝区华宇广场一美发店出现新冠肺炎患者？谣言，别信！http://t.cn/A67CkmYb@内蒙古师范大学:网传内蒙古师范大学发布返校通知系谣言。http://t.cn/A67CkmY5@微博政务协同全国网警巡查执法矩阵共同支持。
深圳商报,:#防控疫情深圳在行动#【深圳落实“科技支撑十六条”已调配2亿元实施新冠肺炎科研攻关】深圳市科创委2日对外印发了《关于强化科技支撑打赢疫情防控阻击战促进企业健康发展的若干措施》（以下简称《若干措施》）。3日，记者从文件中获悉，深圳已经在2020年市财政科技专项资金中调配2亿元，以定向申报与自由申报相结合实施“新型冠状病毒感染应急防治”专项、以“悬赏制”等方式组织开展“新型冠状病毒感染的肺炎疫情应急防治”应急科研攻关项目。本次《若干措施》共分为16条，具体包括集中力量实施疫情防控科研攻坚行动、聚焦疫情防控需求提供全方位科研保障、汇聚人才力量助力抗疫复产、加大惠企支持力度缓解经营压力、实施科技管理服务便利化举措等五方面的内容。http://t.cn/A67Nh594
辰宝家荷兰代购,:买好发货了：目前欧洲疫情严重起来了，荷兰已经18个病毒感染者荷兰德国KLM和德国汉莎航空确定5月之前不飞中国几大重要的机场意味着运费只会上涨不会下调因为产品单价只会上涨不会下跌最关键的是如果荷兰德国疫情进一步严重起来那么意味着，超市会随时关闭，到时候我们无法采购到奶粉机场关闭，无法发货，在任何时候人的生命高于一切的到时候无法采购无法发货直到欧洲疫情结束请亲们务必囤货到6月份
黄石广播电视台,:【龙湾一品小区：3000居民“0”感染，小区的党员功劳不小】（记者刘盛冬通讯员周冬娟）自“双报到”工作开展以来，龙湾一品小区的党员干部主动到居住地社区报到，当好疫情防控的“宣传员”“排查员”“统计员”“代购员”“配送员”，在抗击疫情一线打头阵、当先锋、树形象，和龙湾的居民一起共同构筑起群防群治的铜墙铁壁。截止到3月2日，龙湾一品小区十六栋楼近三千名居民新冠肺炎零确诊，零疑似。在小区封闭管理期间，龙湾志愿者在临时党支部的统一领导下，开展居民购菜、粮油、药物、防护用品、紧急生活用品、天然气充值等各种便民代购配送服务工作，有力保障了小区居民的基本生活需求，得到了居民们的一致好评与认可。
衡水饶阳交警,:【疫情防控在路上】饶阳交警在疫情防控期间加大路面管控力度，查处多起酒驾、醉驾行为。伴随全国疫情防控防控取得显著效果，一些群众出现聚餐、聚会等放松的势头。饶阳交警大队在衡水交警支队的统一部署指导下，积极谋划，加强路面巡查管控，对酒驾、醉驾严管严控从侧面预防、降低“新型冠状病毒肺炎”感染的风险。仅3月1日、3月2日两天就查处酒驾、醉驾、无证驾驶等严重交通违法行为14起，其中醉酒驾驶2起，酒后驾驶11起，无证驾驶1起。尽管“新型冠状病毒肺炎”疫情尽管被有效地遏制，但远远没到可以放松警惕的时候。在此，饶阳交警提醒大家随意聚餐、聚会，不采取防控措施随意出门、逛街仍然存在风险，请大家再坚持一段时间，为尽早战胜疫情做出自己最大努力！@衡水交警宣传@公安部交通管理局@河北交警微发布
界面新闻,:【北京：韩日意等疫情严重国家抵京者，中外人士均须隔离】#疫情严重国家抵京者均须隔离#3月3日下午，北京市新型冠状病毒感染的肺炎疫情防控工作举行第三十九场新闻发布会。北京市人民政府副秘书长陈蓓介绍疫情防控期间北京口岸入境管理的情况。陈蓓介绍，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。陈蓓介绍，近期，新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。
福建广播电视新闻中心,:#防抗新型冠状病毒感染的肺炎#【福建信息通讯业：积极支撑个人用户行程数据查询】福建省通信管理局党组成员、副局长何强：我们行业推出“通信大数据行程卡”和用户行程查询综合平台等服务，为用户本人提供14天内停留4小时以上的地市信息，精准呈现用户近期行程轨迹，辅助政府部门提高对流动人口行程轨迹信息的核验效率，帮助用户快捷证明个人行程轨迹，方便出行。支持企业确认复工人员来源区域是否安全，助力用户本人复工复产、道路通行、出入国境等工作。截至2月底，已为全省手机用户提供精准查询118.4万次。同时，我们在工作中特别注意做好个人信息数据的安全保护，在充分保障用户隐私的条件下开展工作。
广东卡哥,:2015年，比尔·盖茨在TED演讲中将高度传染性病毒作为未来几十年最有可能让上千万人丧生的致命威胁，并指出目前人类还没有做好应对疫情的准备。当前，与细菌感染相比，人类对病毒感染的认识还相对浅显，人类始终没有找到像抗生素一样普适性特效药，在病毒疫情面前，隔离仍是对抗病毒疫情传统而又有效的手段，病毒疫情仍是城市发展的重大威胁。
华亭发布,:【一手抓防控一手抓生产】神峪乡：抓生产，保平安，筑牢复工复产防疫墙3月2日，神峪乡主要负责同志带队深入辖区内彭大高速8标段、9标段对企业疫情防控措施落实、复工复产开展情况进行了督查检查，详细查看了施工现场消毒消杀、外来返工务工人员隔离观察、日常体温检测登记、疫情防控知识宣传培训等措施落实情况，并和项目负责人就企业复工复产后疫情防控、安全生产等工作进行了详细沟通。　　督查组要求：当前疫情防控形势依然严峻，各复工企业要切实克服麻痹松懈思想，客观分析研判复工复产面临的疫情防控风险形势，务必按照“谁用工、谁管理、谁负责”的原则，扎实履行好企业在疫情防控工作中的主体责任，全力抓好复工复产各个环节的疫情防控和安全生产工作。　　一要做好重点人员排查。务必提高防疫意识，按照分级分区差异化管控要求，详细掌握作业人员的身体健康状况和生活轨迹，坚决杜绝确诊患者、疑似患者、无法排除感染可能的发热患者、确诊患者的密切接触者等重点管控人员进入作业现场。　　二要做好日常体温检测登记。务必按照“外防输入、内防扩散”的要求，第一时间掌握作业人员健康状况，每天进行不少于2次体温测量，并建立体温检测台账，全面精准记录。如发现发热、咳嗽等任何身体不适情况，要在第一时间做好隔离，并安排及时就医检查。　　三要强化日常防护管理。所有人员在进入作业现场前和工作期间必须全程佩戴口罩，采取分散作业的方式开展生产，保持安全距离。严禁人员扎堆闲聊、聚餐聚集、多人住宿。时刻提醒作业人员勤洗手、戴口罩、讲卫生，及时清理施工现场垃圾、杂物，严格落实作业场地消杀措施，健康有序推进项目建设，确保疫情防控、复工复产两手抓、两不误。
明光发布,:#抗击新型冠状病毒感染肺炎疫情#【疫情期间，#常见病患者网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。（via：@央视新闻总台央视记者张萍）
北京顺义健康教育,:#新冠病毒肺炎防控知识#建设项目复工管理和施工现场疫情防控工作指引五、应急处置1.施工总承包单位应按照《北京市新型冠状病毒感染的肺炎疫情社区（村）防控工作方案（试行）》规定，建立与社区（村）和属地卫生健康部门畅通的联络机制，有关情况由现场专职卫生员第一时间向社区（村）和属地卫生健康部门报告，积极配合相关部门做好防控工作，同时向区住建委报告。2.施工现场应设立隔离观察区域。当工地人员出现发热、乏力、干咳等可疑症状时，一律不得进入施工区域、办公区域，应及时到隔离观察区域进行暂时隔离，立即安排到就近的定点医院就医，并向社区（村）和属地卫生健康部门报告，配合社区（村）和属地卫生健康部门按照相关规范要求进行处理。就医过程中，应尽量避免乘坐公交、地铁等公共交通工具，前往医院路上和在医院内应全程佩戴医用口罩。3.经医疗机构确认为疑似病例或确诊后，应立即中止施工，封锁病人到过的施工现场所有场所，在专业人员指导下对其工作活动场所及使用的物品进行消毒处理。4.一旦发生疫情，施工总承包单位立即封闭施工现场，严禁人员进出工地，配合属地卫生健康部门进行流行病学调查、密切接触者排查，对病人到过的场所、接触过的人员调查登记，按照卫生健康部门意见严格落实各项防控措施。5.积极做好隔离人员的心理疏导工作，排除恐慌心理，服从和配合卫生健康部门做好防治工作，杜绝私自外出或不服从管理的现象发生。
瑞仕登猎头机构,:【韩媒：新天地教徒电询收尾，有症状者逾1.3万】#新天地教徒有症状者逾1.3万#韩国中央灾难安全对策本部3月3日表示，截至当天零时，已经对新天地教会信徒19.5162万名中19.2634万名（98.7%）进行电话调查，确认是否出现新冠病毒感染症状。政府此前获得31万名新天地信徒名单，除未成年人和居住在海外的信徒之外，向各地方政府提供19.5万名信徒和4.4万名准信徒名单。据地方政府调查，有症状者达1.3241万名，其中6561名完成病毒检测。在大邱地区，4328名受检信徒中有62%结果呈阳性。除了大邱市和庆尚北道外，其余地区有症状者为4066名，检测结果呈阳性比例为1.7%。
都市现场,:#联防联控江西在行动#【随州疫情速报：累计治愈率由最初的4.5%提高到68.3%目前形式依然严峻】江西于2月6日、2月11日、2月17日选派了3批共389人的队伍奔赴随州战“疫”一线，其中医生144人、护士239人，技师5人，平均年龄35岁，主要有呼吸、感染、重症、院感等专业。按照随州市统筹安排，目前安排在随州市4个县（市、区）、8家医院参与防治工作。截至3月2日，累计接管病区12个，管理住院患者544例，其中重症和危重症70例；治愈出院378例；现管理在院治疗患者166例，其中危重、重症16例。为打赢疫情防控阻击战，江西采取关口前移，加强对轻症病人的医疗干预，采取中西医结合的方式，努力提高轻症病人的治愈率。其中，南昌大学一附院、二附院、江西省人民医院、赣南医学院一附院等8家省直医院远程会诊专家团队24小时全天候响应，开展远程会诊、远程影像诊断、远程培训等，为随州的医疗救治随时待命。截至3月2日，随州已连续5天无新增确诊病例。在院治疗病例连续17天呈下降趋势。确诊病例累计治愈率由2月11日的4.5%提高到68.3%。截至3月2日24时，随州市累计报告确诊病例1307例，其中累计治愈出院893例。虽然随州的疫情防控呈现出一些积极变化，但形势依然严峻。一方面，存量大。在院治疗的人数仍然较多，截至3月2日，仍有372例确诊病例在院治疗，其中危重、重症有31例。另一方面，不稳定。湖北省所有村组（社区）、公共区域实行24小时封闭式管理仍将持续一段时间，阻断疫情蔓延的压力仍然较大。且随着复工复产的到来，不确定因素增加，防止疫情反弹的压力也比较大。#防控新型肺炎江西在行动#
西咸美食君,:这场疫情战争，我们平民百姓虽不能上战场，但我们能做到的就是不添乱。希望大家减少去医院就医，减少交叉感染的几率。尽量线上就诊。陕中二附已开通了【免费义诊】行动，关注公众号的百姓，直接点击进找到”在线咨询“便可义诊。【义诊流程】：微信搜索：陕中二附院——进入陕中二附小程序－－“在线咨询”图标——选择合适科室和医生——发起申请，待接诊即可实时与专业医生进行沟通交流麻烦大家帮忙转发扩散望能帮助到更多有需要的同胞！
千龙网中国首都网,:【德国内政部长拒绝握手默克尔举手笑称：你是对的】#德国内政部长拒绝和默克尔握手#当地时间3月2日，德国总理默克尔在柏林出席一场会议时，想要和内政部长泽霍费尔握手，但惨遭拒绝。当时默克尔走向座位，伸出右手示意邻座的泽霍费尔握手，但泽霍费尔摆手示意拒绝，默克尔只能将手收回。目睹了这一幕的在场者哄堂大笑，默克尔随后也笑着举起双手对泽霍费尔说：“你是对的。”据德国媒体报道称，泽霍费尔此前曾表示疫情期间他决定拒绝握手。截至当地时间3月2日，德国新冠肺炎感染者达150例，超过一半来自人口最多的北莱茵-威斯特法伦州。德国政府危机委员会扩大了跨境旅游指引，并取消了主要的国际活动，卫生部长建议有感冒症状的人不要参加大型活动。http://t.cn/A67CIoEr
西安市阎良区第一幼儿园,:@文明西安#致敬最美逆行者#为助力阎良区新型冠状病毒感染的肺炎疫情防控工作，阎良区第一幼儿园各个行业的家长也奔赴在抗击疫情的第一线，他们当中有政府各部门、交警、社区等不同岗位的人员，在放假期间坚守在疫情防控的第一线。热心的家长还为幼儿园送来了84消毒液，他们都在为孩子们阐释着大爱无疆。
宿迁交警,:#60分贝暖男医生离世#【#江学庆医生女儿回忆父亲#：每天至少看200位病人，和家人相处时间很少
咸宁日报,:#咸宁身边事##共同战疫#【市第一人民医院医生为云南医疗队队员过生日】“祝你生日快乐，祝你生日快乐……”3月2日下午6点，大风大雨天气十分寒冷。从医院战“疫”回酒店的金丙雄，刚走到走廊，一颗心就被市第一人民医院张红梅和队友们的一碗鸡蛋长寿面给“烘”得暖洋洋的。金丙雄是云南省曲靖市陆良县人民医院感染科副主任医师。2月12日，随着云南第二批医疗援助队来到市第一人民医院共同战“疫”。而张红梅则是市第一人民医院云南医疗队的生活保障组负责人，早在云南医疗队队员们来院之初，张红梅就仔细了解了每一个队员的情况。3月2日，是金丙雄50岁生日。当天，张红梅与医疗队队长联系并约定给金丙雄一个“惊喜”。于是，便出现本文开头的那一幕。对此，金丙雄非常感动，眼睛湿润地说：“我都忘了今天是我50岁生日，在这个特殊的日子里，能够和咸宁人民还有亲爱的战友们一起过生日，我将终身难忘！”
廊坊发布,:#战胜疫情廊坊在行动##廊坊抗疫群英谱#【51家住户被隔离观察后——“铿锵玫瑰”在行动】疫情防控工作中，在基层社区有这么一群女人，她们不分昼夜，超负荷工作，用瘦弱的肩膀为辖区百姓筑起一道道防线。大城县平舒镇金玉源社区党支部书记丁密霞是这群“铿锵玫瑰”中的一员。2月3日一大早，丁密霞的手机响个不停。“丁书记，我家明天需要2斤猪肉、3个洋葱、3斤苹果，又得麻烦您！”“丁书记，明天能帮我家买一瓶酱油、一袋盐吗？”这种预订生活物资的微信消息，丁密霞和社区工作人员每天能收到几十条。1月28日，辖区府东新区出现一例新冠肺炎确诊病例，导致该楼栋51家住户的100多名业主被隔离观察。从那天起，丁密霞和社区3名工作人员就成了该单元所有住户的物资搬运工。为做好居家隔离人员生活保障及心理疏导工作，丁密霞每天大早就要在隔离点展开一天的工作。开始，有的居民不配合，一度出现情绪失控。丁密霞和社区工作人员一边耐心劝说安慰，一边有条不紊地开展相关疫情处置，用暖心服务消除他们的后顾之忧。“我们每天要了解每户居民的详细情况，上门送物资，统计需要采买的物品。付出总有回报，个别居民从开始的不理解到现在对我们的工作表示肯定，让我们有了动力。”丁密霞欣慰地说。从腊月二十九接到防控命令后，丁密霞带领社区工作人员不分昼夜作战，高强度的工作量让丁密霞和她的3名战友每天忙得像陀螺。51户居民隔离观察期间，丁密霞和3名社区工作人员分两批24小时对该楼栋单元门和地下通道同时坚守。此外，他们要对辖区其他7个小区进行不定期走访排查。顾不上吃饭是常态，有时一碗泡面顶一整天，大家毫无怨言。为大家舍小家。疫情防控任务繁重，作为一名共产党员同时又是基层党组织书记，丁密霞带头冲在一线。她每天早出晚归，将全部精力放在疫情防控上，以至于忘记给刚做完心脏支架手术的80岁母亲买药，“前些天太忙了，断了两天药。”说到这里，丁密霞有些哽咽。2月12日，府东新区那个楼单元解封，小区内没有新增一例疑似病例，这让丁密霞和社区工作人员松了口气。有人问她面对面接触，不担心自己被感染的危险吗？丁密霞说：“说不担心是假话。都担心害怕，防疫工作谁来做？是党员干部，就要在关键时候冲上去。”
直新闻,:#无症状感染者也可能成为传染源#【柳叶刀披露一起家族聚集新冠病例：源头为无症状者】当地时间2月28日，国际顶级学术期刊《柳叶刀-传染病》在线发表一篇通讯：中国南京一起涉及11人的家族聚集新冠肺炎感染病例。这一家族聚集传染的源头是一名无症状感染者。此后其他的无症状传染者又产生了后续传染。研究提示：无症状感染者也是新冠病毒的潜在传染源。http://t.cn/A67CYH7S
天津同城,:【硬核！天津这家三甲医院上线#互联网门诊#还能医保实时结算】3月3日，@天津医科大学总医院互联网医院上线“互联网门诊”服务，实现了对复诊患者的在线问诊、线上复诊、对症问药、开具处方、药品快递到家、检查结果线上查看、电子健康档案等服务，打通线上与线下相结合的“防控-诊治-康复“全周期健康服务闭环。截至目前，互联网医院设有呼吸内科、内分泌代谢科、心血管内科、神经内科、普通外科、消化内科、肺部肿瘤外科、皮肤性病科和感染科等15个科室，100名医生在线坐诊。累计在线服务患者超过3000人。#抗击新型肺炎我们在行动##天津防控新型冠状病毒肺炎#
聖蓮文化惟一,:医学角度品味藏香：藏香是多种高贵的藏药材，按比例配制而成，极具药用价值。藏香的主要助于，杀菌，抗感染，抗病毒。可杀灭空气中的致病微生物，净化空气，预防病毒的传播。室内燃藏香，可预防流感，痄腮。芳香弥散，净化空气，增强抗病能力。芳香弥散，走穿肌理关节，预防关节疼痛，调理肌肤，减轻神经性头痛，提高睡眠质量，预防失眠。#藏香##藏香文化#http://t.cn/A67CYKLL
微博新加坡,:#全球疫情##新加坡疫情#新加坡研究：新冠肺炎患者发病初期病毒量更多，与SARS相反新加坡科研人员针对本地新冠肺炎患者的研究发现，患者发病初期症状虽然轻微，但却是体内病毒量最多的阶段，随着症状发展病毒量逐渐减少，这意味着患者体内病毒量与症状严重度并不呈正相关。新加坡国家传染病中心主任梁玉心指出，患者感染新型冠状病毒后，一般先出现咳嗽、发烧等轻微症状，之后再恶化至肺炎等，但是当患者发展为肺炎时体内病毒量已显著减少。新加坡卫生部首席卫生科学家陈祝全曾在严重急性呼吸综合征（SARS）疫情期间担任新加坡卫生部医药总监。他指出，这种情况与SARS相反，SARS是随着病情加剧患者体内才产生更多病毒。新冠肺炎特征更像流感，患者症状较轻微时体内有更高的病毒量。病毒量高是否意味着传染性较高？梁玉心说，这需要更多研究才能确定。通过聚合酶链式反应检测的是病毒基因量，但无法分辨活病毒和死病毒，而只有活病毒才能自我复制并具有传染性。关于无症状感染者是否会传播病毒，新加坡伊丽莎白山医院传染病顾问梁浩楠认为，患者体内就算有不少病毒，如果没有咳嗽等症状，病毒大致上会保留在体内。陈祝全说，病毒主要通过咳嗽或打喷嚏时的飞沫传播，无症状感染者除非是通过与家人共享食物或密切肢体接触而传播病毒，此外不太可能在社区传播。梁玉心也指出，目前可以找出本地多数病例之间的关联，如果新冠病毒的传播主要来自无症状感染者，那么很难找出这些联系。研究人员呼吁，公众就算出现轻微症状也不能掉以轻心，也需要佩戴口罩并及时就诊。
国际商报,:【两部门联合印发意见明确新冠肺炎疫情期间网上复诊医保可报销】　国家医保局、国家卫生健康委日前联合印发《关于推进新冠肺炎疫情防控期间开展“互联网+”医保服务的指导意见》，明确常见病、慢性病患者在符合条件的互联网医疗机构复诊，诊疗费和药费可依规进行医保报销。　　《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。参保人员凭定点医疗机构在线开具的处方，可以在本医疗机构或定点零售药店配药。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。　　打通互联网医疗的医保支付通道，将有利于减少群众就医购药时的交叉感染风险，享受在线医保结算的便捷服务。下一步，国家医保局将会同国家卫生健康委，密切关注指导、及时总结各地的做法，将更多符合条件的“互联网+”医疗服务纳入医保支付范围，支持定点医药机构提供“不见面”就医购药服务，及时满足人民群众的就医用药需求。
凤凰名人馆,:【韩国疫情：一发不可收拾，来源神秘难解】新冠肺炎在韩国爆发初期，政府应急反应得到民众广泛认同，1月份起，新的流行病学基础设施就及时运作起来。在大家逐渐放松警惕的时候，一场大规模感染却迅速席卷整个韩国。这一切或许都要从2月18日一名大邱女性的确诊说起。敬请关注凤凰卫视中文台《#风月同天——全球抗疫进行时(4)#》，深入了解疫情故事。http://t.cn/A67C9frz
直新闻,:#军队医护人员保持零感染##军队1万余名医护人员投入一线救治#【坚持科学防治军队支援地方医护人员目前保持零感染】3月2日上午的国务院联防联控机制新闻发布会，就军队支援地方抗击新冠肺炎疫情有关情况进行介绍。会上透露，军队先后派出3批共4000多名医护人员驰援武汉，全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者4450例，已治愈出院1000例，而军队支援地方医护人员目前保持零感染。http://t.cn/A67C9yu7
陕西政协,:【#日本公布新冠肺炎治疗方案#：#50岁以下患者多可自愈#抗病毒药物非必需】3月2日，据日本共同社报道，日本感染症学会日前公布新冠病毒治疗方案，称未满50岁的患者自行痊愈的情况较多，不一定要用抗病毒药物治疗。报道指出目前没有针对新冠肺炎的有效药物，但50岁以上及有其他疾病患者很有可能发生呼吸衰竭的情况，当他们出现“低血氧症”时，将考虑对其使用抗病毒药。倘若不满50岁患者在吸氧和对症疗法下情况恶化时，也会考虑使用抗病毒药。药物包括抗流感病毒药法匹拉韦，及艾滋治疗药利托那韦和洛匹那韦。@世面http://t.cn/A67CK88k
廊坊微新闻,:【速看！廊坊公安局处罚一出租房主】#廊坊身边事##廊坊微新闻##廊坊[超话]##廊坊爆料##廊坊同城#自新型冠状病毒感染的肺炎疫情发生以来，固安县流管办按照市流管办和固安县公安局的安排部署，对辖区内流动人口和出租房屋进行彻底清查，同时利用网络和在村街、小区、企业的出入口、门店张贴提示牌等形式进行宣传，加大了对不履行申报信息责任的出租房屋业主的打击力度。近日，宫村派出所在清查工作中发现，房主张某某（女，固安县人），将位于固安县宫村镇马公庄市场的门脸房对外出租，且长时间未履行申报登记责任。现宫村派出所依法对张某某进行罚款处罚。
天津工业和信息化,:【宝坻区压实三级责任确保复工复产安全】一是压实企业疫情防控主体责任，统一严密管理。要求企业对员工实施封闭管理，落实好健康监测、隔离住宿、错时就餐等防控措施，切实履行安全生产责任，确保员工健康返岗、企业安全复工。二是压实街镇园区属地管理责任，加强驻厂指导。组成专门驻厂工作组（组长、防控安全专员、服务专员），既指导企业做好疫情防控安全工作，又当好服务企业发展的“店小二”，落实好惠企措施。三是压实行业主管部门监管责任，开展巡查检查。成立巡查小组和“蓝军督察队”，每天对复工企业疫情防控和安全生产情况进行巡查检查，对落实不到位的企业立即责令停工停产，对不落实复工复产要求擅自复工复产或引发疫情感染、安全生产事故的，严肃追究责任。http://t.cn/A67CMw8b
潍坊晚报,:#新型冠状病毒感染肺炎#【交通运输部发布#船舶船员新冠肺炎疫情防控操作指南#】记者3日从交通运输部获悉，交通运输部海事局近日发布《船舶船员新冠肺炎疫情防控操作指南（V1.0）》，指导船舶和船员做好疫情防控工作，这是全球首个由海事主管机关发布的防疫指南。　　据交通运输部海事局有关负责人介绍，该指南参考世界卫生组织和国际海事组织关于船舶防控新冠肺炎最新指导性文件，结合我国航运企业防控船舶疫情实践，从航运公司防控制度的建立、船舶落实防控措施、加强船员个人防护、发现疑似病例应急操作、疑似病员的报告、船员心理健康调节、疫情信息查询等七个方面，系统地提出船舶船员防控新冠肺炎疫情操作指南，同时针对客运船舶提出了具体的分区分级防控建议。　　这位负责人说，该指南有助于业界加强船舶船员疫情防控，提高自我保护意识、素质和技能，对全球航运业做好船舶疫情防控具有现实的指导作用。（新华视点）
凤凰大健康,:存在基础疾病的人，例如糖尿病、高血压等疾病的患者，其实免疫力处在一个低下的状态！这是因为存在基础疾病的人，很多都有慢性炎症！
Ymmm-赛事分析,:近期意大利疫情不断扩散，足坛也受到波及。网上各种传闻层出不穷，“C罗送医！尤文全队隔离”“C罗卷入新冠病毒恐慌”，尤文方面明确辟谣：目前尤文U23、一队都没有感染。尤文U23一周前的的对手、意丙球队皮阿尼斯有3名球员和1名俱乐部工作人员相继缺阵染上新冠肺炎，尤文U23球员也已展开居家隔离。国内一篇标题为《突发！C罗送医！尤文图斯全队隔离！》的消息被球迷疯转，随后已被证实为谣言。尤文方面并没有球员感染，C罗本人昨日也现身伯纳乌观战国家德比。尤文副主席内德维德：“大家好，上周与尤文U23交手的球队中有队员确诊感染新冠病毒。为了球员们的健康，我们决定暂停一切U23训练及比赛，全队隔离观察。目前尤文U23、一队和我本人都没有感染，也希望大家#竞彩推荐##尤文图斯#能一直保持健康。感谢大家的关心与祝福！期待疫情过后中超联赛的精彩，也期待能与你们再次见面。”
美国侨报网,:【#韩国100多名军人是新天地教徒#正逐个接受调查】韩国纽西斯通讯社2日报道，近来，新天地教会引爆韩国新冠肺炎疫情，遭舆论谴责。在韩国政府施压下，教会提供了一份教徒名单，经调查，其中竟有100多人是军人。韩国国防部相关人员2日表示，已经从新天地教会获取军人教徒的姓名和出生年月，正在调查他们的所属部队，以及是否参加过新天地教会活动，尤其是大邱教会、釜山温泉教会和首尔明城教会，因为这些地方举办过大型礼拜活动，教徒聚集感染情况较为严重。
看看新闻全球眼,:【美国一夜新增4例死亡累计确诊100例彭斯：感染风险仍然很低】#美国累计确诊100例#美国总统唐纳德·特朗普召集内阁成员与10家制药公司在白宫召开会议，探讨加快新冠病毒疫苗研发进度的举措。截至美国东部时间3月2日，美国共确诊新冠肺炎病例100例，死亡人数增至6人。美国国家过敏症和传染病研究所主任安东尼·弗契（AnthonyFauci）博士强调，一种疫苗问世最快需要一年到一年半。而被特朗普任命为防疫负责人的副总统彭斯之后表示，美国人目前感染风险“仍然非常低”。http://t.cn/A679mRYa
