貓咪Chul的希天才,:从来没有这么喜欢过一个人，可能是老了吧……
向善的klzm,呜呜呜呜呜是SVT说口号说得最好的队长啊。
若愚V大智V,分享几例本地消息。昨天附近小区有个老人受不了禁足，要求出门买菜，被工作人员阻拦，于是辱骂了工作人员并返回家中，工作人员气不过报警，最终警察跑到家里把老人抓走了。本人在家躺床上耳闻了事发过程，其他细节由目睹全程的小区居民补充。昨天有个小区的年轻人，据传患有精神疾病，因不堪忍受禁足，跳楼自杀，没断气，被救护车拉走了。有网传视频为证。之前有个老人，作为密切接触人士被隔离，因儿女不能探视，老人误以为是儿女不孝，又担心自己染病，最终上吊自杀而亡。有其同社区的我爹老哥们说法为证。
人生财富的性质和原因的研究,武汉市中心医院梅仲明医生因公殉职，这间病房的两个医生都离开我们了（纠正）
天空中飞翔的小月亮,:说来惭愧，想矫正牙齿一直挂不上号，私立方便看诊但是太多不知道怎么选，龅牙+门牙有缝又感觉很丑，希望一次性整牙正好，不敢与人交流，不敢笑真的太影响心情了！@广州齐牙君，给你发消息了求翻牌#广州牙齿矫正##广州17岁龅牙#
咬口甜崽,:我爸刚刚神秘兮兮的在楼下“崽！来咯告诉你个好消息”让他直接说非要我下去我倒要看看到底是什么好消息“帮我做个表咯”
海口直播12345,:#海口战“疫”#【钟南山团队：建议严格防控措施实施至4月底】3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
经济观察报,:【成品油限价调整遇年内第二次搁浅，下周期下调概率较大】国内成品油零售限价调整遇年内第二次搁浅。3月3日，根据国家发改委网站消息，自2020年2月18日国内成品油价格调整以来，国际市场油价有涨有跌，按现行国内成品油价格机制测算，3月3日的前10个工作日平均价格与2月18日前10个工作日平均价格相比，调价金额每吨不足50元。根据《石油价格管理办法》第七条规定，本次汽、柴油价格不作调整，未调金额纳入下次调价时累加或冲抵。至此，2020年我国成品油调价共经历四次调价窗口，其中两次搁浅，两次下调，汽柴油累积跌幅分别为835元/吨、805元/吨，折算升价为92号汽油0.63元、0号柴油0.69元。http://t.cn/A67NZAIe
小女拧哈作,哪些是重点国家和地区，能不能公布下。@上海发布
女性失恋指南1,:#失恋分手后怎么挽回前任##失恋后怎么挽回前任#一段感情中，男生爱你时，做什么都心甘情愿。但是作为女生不该把它当做理所应当。如果对方一直付出，而你一味索取时，对方就会觉得连基本的尊重都得不到，比如有些女生动不动就拉黑，不回消息冷暴力，他会觉得自己的情感需求得不到满足，容易滋生分手的念头！毕竟男生也希望得到在乎，而不是患得患失的不确定因为即便男生，也会有安全感破碎到无法支撑下去的一刻。当男生攒够了失望，深切的感受到那种不爱，即便女生再来挽回，也是无济于事了。因为我们的心理需求不会在瞬间得到满足，尤其是你突然的转变，会让对方感到不适，谁都不想做召之即来挥之即去的玩偶。#分手了怎么挽回前任##怎么挽回婚姻##异地恋异国恋分手怎么挽回前男友前女友##同性恋失恋了怎么办##如何挽回异地恋异国恋前男友前女友##冷暴力和家暴哪个更可怕##复合前任修复感情##分手挽回情感复合失恋分离新欢出轨婚姻#
经济观察报,:【成品油限价调整遇年内第二次搁浅，下周期下调概率较大】国内成品油零售限价调整遇年内第二次搁浅。3月3日，根据国家发改委网站消息，自2020年2月18日国内成品油价格调整以来，国际市场油价有涨有跌，按现行国内成品油价格机制测算，3月3日的前10个工作日平均价格与2月18日前10个工作日平均价格相比，调价金额每吨不足50元。根据《石油价格管理办法》第七条规定，本次汽、柴油价格不作调整，未调金额纳入下次调价时累加或冲抵。至此，2020年我国成品油调价共经历四次调价窗口，其中两次搁浅，两次下调，汽柴油累积跌幅分别为835元/吨、805元/吨，折算升价为92号汽油0.63元、0号柴油0.69元。http://t.cn/A67NZAIe
小女拧哈作,哪些是重点国家和地区，能不能公布下。@上海发布
女性失恋指南1,:#失恋分手后怎么挽回前任##失恋后怎么挽回前任#一段感情中，男生爱你时，做什么都心甘情愿。但是作为女生不该把它当做理所应当。如果对方一直付出，而你一味索取时，对方就会觉得连基本的尊重都得不到，比如有些女生动不动就拉黑，不回消息冷暴力，他会觉得自己的情感需求得不到满足，容易滋生分手的念头！毕竟男生也希望得到在乎，而不是患得患失的不确定因为即便男生，也会有安全感破碎到无法支撑下去的一刻。当男生攒够了失望，深切的感受到那种不爱，即便女生再来挽回，也是无济于事了。因为我们的心理需求不会在瞬间得到满足，尤其是你突然的转变，会让对方感到不适，谁都不想做召之即来挥之即去的玩偶。#分手了怎么挽回前任##怎么挽回婚姻##异地恋异国恋分手怎么挽回前男友前女友##同性恋失恋了怎么办##如何挽回异地恋异国恋前男友前女友##冷暴力和家暴哪个更可怕##复合前任修复感情##分手挽回情感复合失恋分离新欢出轨婚姻#
爆笑老鬼,:#武汉外地滞留者可申领3000元政府救助#这是个好消息啊。
湖北禁毒626,:【湖北#黄石一乡镇干部防控一线殉职#，年仅59岁】据湖北阳新县疫情防控指挥部消息：该县富池镇水产服务中心主任曹祥木，1日下午换岗后因身体不适就医，后因抢救无效去世。经阳新县人社局确认，曹祥木系在防疫一线长期坚守，换岗后遭遇不幸，被认定为因公殉职。3月1日当天，曹祥木7时40到富池口居委会卡口值守点值勤，下午15时换班回到办公室，并安排该镇农业企业疫情防控和复工复产准备工作。下午17时8分，仍在富池水产技术服务群发布信息，要求填报相关表格。晚上19时，曹祥木觉得身体不适，在家人陪同下前往镇卫生院就诊；21时45分因病情严重，转往县人民医院救治；22时40分因突发心肌梗塞，经抢救无效死亡，年仅59岁。
十三度多,大摩将中国列入资产避难国！
薄靳言噢,:我恨疫情把我的计划全部打乱了一直要买的ipad一直大幅度上涨从2900涨到3800？
岩上嘉树iby,:5s内点赞<br
萱萱是我女神呀,:为什么要天天回不认识的人消息呢，我找不到词来形容我有多厌恶这种事，该死的占有欲。
sheis丹丹,:最近几天都是一天一餐
