凤凰网山东,:#山东累计治愈出院511例#【3日0-12时，山东新增治愈出院14例，累计治愈出院511例】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
河南法治频道,:#河南防控新型肺炎疫情#【全部治愈！鹤壁市确诊和疑似病例“双清零”】3月3日上午，鹤壁市召开疫情防控工作第九次新闻发布会。记者从发布会上获悉，3月2日，随着患者秦某某治愈出院，鹤壁市确诊19名患者全部治愈出院，目前实现确诊和疑似病例“双清零”，成为我省第7个清零的城市。3月3日上午，鹤壁市卫健委发布疫情通告，2020年3月2日0-24时，鹤壁市无报告新型冠状病毒肺炎新增确诊病例，新增出院病例1例。鹤壁市最后一名确诊病例出院患者基本情况是：秦某某，男，66岁，现住鹤山区鹤壁集镇西杨邑村，农民，是2月8日确诊病例张某某的丈夫，长期在西杨邑村生活，2月10日作为密切接触者由救护车送至市人民医院(山城院区)就诊，2月11日确诊在市传染病医院隔离治疗。2月23日转入省人民医院治疗。截至2020年3月2日24时，鹤壁市累计报告新型冠状病毒肺炎确诊病例19例，累计出院病例19例。其中：确诊病例中，浚县3例、淇县1例、淇滨区6例、山城区2例、鹤山区7例。目前追踪到密切接触者130人，已解除医学观察130人。新闻发布会上，鹤壁市卫健委相关负责人介绍，鹤壁市新冠肺炎确诊病例全部出院、清零，标志着鹤壁市抗击新冠肺炎疫情取得了阶段性胜利，将进一步增强全市人民打赢疫情防控阻击战的信心和决心!但疫情防控尚未结束、大考还在继续，随着企业复工复产和流动人员增多，疫情仍有反弹的可能，不能有任何麻痹松懈思想。要突出精准防控，落实“五无”“五有”要求，关口前移、消除盲点、不留死角，不轻视任何一个细节，真正构筑起疫情防控的铜墙铁壁。（大河报大河客户端）#联防联控河南在行动#
扬啊扬啊扬啊的妈咪,:#上海已追踪71名浙江输入病例密切接触者#
KoalaPick,:#浙江8输入病例在意大利同一餐厅工作#严控一下吧
股客老付,:#股客老付收评#今天下午延续上午冲高回落的调整趋势，继续进行调整，最低到了2976点，回补完了今天向上跳空高开的缺口。目前日线还是继续向下调整中，处于进入调整趋势中的边缘，并继续向上收窄，下跌动能也继续慢慢收缩。120分钟底部反转向上反弹中，处于多空分界处，但上涨动能不足60分钟处于上涨趋势中，但已重新向下收窄，上涨动能慢慢收缩30分钟顶部反转向下调整中，处于进入调整趋势中的边缘15分钟调整中，处于多空分界处5分钟底部钝化完全打开反弹中，处于多空分界处。由于15分钟这里向下，是要慢慢重新调整到底的，同时60分钟这里向下收窄，是还会继续向下收窄，并反转向下调整的，昨天说的今天要进行回踩的，由于今天高开，以冲高回落的方式进行调整，虽然调整的幅度会减少，但始终这个回踩动作还是要走的，同时也需要重新调整出30，60分钟的上涨空间来，总体来讲，还是继续围绕30日线上下进行反复的，这里反复后，就要求需要重新站稳30日线就可以了。#今日看盘##上海已追踪71名浙江输入病例密切接触者#
泰山护理职业学院药学检验系,:#药学检验系#抗击疫情||风雨同心，我们安危与共新冠肺炎的最新情况是我们大家每天最为关注的事情，小编今天同样为药检系的小伙伴们提供了疫情的最新消息，速看哦关于疫情最新报道：3月2日0—24时，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例(湖北31例)，新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省(自治区、直辖市)和新疆生产建设兵团报告，现有确诊病例30004例(其中重症病例6806例)，累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例(武汉111例)，新增治愈出院病例2410例(武汉1846例)，新增死亡病例31例(武汉24例)，现有确诊病例28216例(武汉24144例)，其中重症病例6593例(武汉6020例)。累计治愈出院病例36167例(武汉23031例)，累计死亡病例2834例(武汉2251例)，累计确诊病例67217例(武汉49426例)。新增疑似病例64例(武汉62例)，现有疑似病例434例(武汉316例)。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例(出院36例，死亡2例)，澳门特别行政区10例(出院8例)，台湾地区41例(出院12例，死亡1例)。山东疫情:2020年3月2日12-24时，山东省无新冠肺炎疑似病例，无新增确诊病例，累计确诊病例758例(其中，重症病例7例，危重症病例2例，死亡病例6例)，新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。抗击疫情我们众志成城武汉别怕，你有中华万万同胞作为后盾。武汉别怕，你有祖国作为后盾。武汉别怕，我们等着你战胜病毒。封一座城，护一国人，没有被禁锢的城，只有离不开的爱，武汉加油！2020，请“罩”顾好自己，我们隔离病毒，但不隔离爱。武汉加油!湖北加油!中国加油!微博||泰山护理职业学院药学检验系抖音||泰护药学检验系学生会QQ空间||2049145598美篇||药学检验系图片来源||网络文字编辑||李培微博排版||于心如初审||许广才、仲青青终审||华春雷@泰山护理职业学院涉外系学生会@泰山护理职业学院助产系@泰山护理职业学院院学生会@泰山护理职业学院团委
股海方舟-周宇,:#浙江8输入病例在意大利同一餐厅工作#新冠肺炎疫情防控取得了阶段性成效，上海市新冠肺炎临床救治专家组组长张文宏教授建议大家对疫情还要保持高度警惕性，大规模聚会办不得。张教授说：“这个状态可能还要维持1到2个月。那时候没有新增了，基本上就可以把口罩摘了。”大家，口罩带起来！http://t.cn/A67CF2Uj
手上的红绳,:#浙江8输入病例在意大利同一餐厅工作#感觉没完没了呢，国内的好不容易控制住了，国外又爆发了，来回传染着玩呗。屋里呆这一个多月跟笑话似的，算了，我放弃了，爱谁谁吧，大不了大家一起死
Fisher-Yuan,:#上海已追踪71名浙江输入病例密切接触者#一定要严防死守，杜绝一切死灰复燃的可能性，保住现在的战果，加油[加油]上海
走走H,:#上海已追踪71名浙江输入病例密切接触者#人在面对生死问题多数是本能的自私和拼命求生。希望这八人一路回来的路上做好了减少传染的措施。
宝鸡文理学院教育学院团总支,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
宿松正道,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
作家李召军,:【黄杏初：全球首例SARS病人】黄杏初，广东省河源市紫金县柏埔镇东方村人，在深圳一家酒楼里当大厨。2002年12月5日左右，他开始觉得不舒服，发热、畏寒、全身无力。后回到老家休息，还是一直发烧，病情加重，15日送医院后靠呼吸机维持。2003年1月10日康复出院，后被认定为中国首例非典型肺炎报告病例，也是全球首例。参与早期抢救、转送黄杏初的9名医护人员，几天后都发烧了，最终确诊感染上了“非典”。#李召军正能量##广东身边事##医生医事##论坛说事##历史那些事##共同战疫##微博头条#
合肥发布,:#快讯#【清零！刚刚，六安最后六名确诊病例出院！】1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”，充分发挥六安中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊“1+1+1”和感染、呼吸、重症、中医多学科联合治疗，取得了零病亡的优秀成果。为防止治愈患者出院后发生交叉感染，提高机体抵抗力，加快患者康复，六安又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。
津云,:#关注新冠肺炎#【#浙江公布7例输入性病例轨迹#：与浙江首例输入性病例同在意大利一餐厅工作，均为密切接触者】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。（人民日报）http://t.cn/A679GInL
福建新闻广播fm1036,:#聚焦新冠肺炎#【独家直播！#浙江新增7例新冠肺炎均为输入病例#记者医院探访】2日，浙江新增境外（意大利）输入性确诊病例7例。该7例病例与当地首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作。目前，7人都在青田县人民医院隔离治疗。他们情况如何？看直播↓关注！http://t.cn/A67C5Ypz
重庆九龙坡法院,:#疫情阻击动态#【浙江省新增确诊病例7例，均为意大利输入病例】据浙江省卫健委，2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。（光明日报）
不等了昂仅而,:#老苏#并不认为当初存在瞒报，因为它是一个全新的病毒，大家并不认识它。一个人被传染到发病算一周，再到就医，再到医学检测发现它，至少一共要十天吧，也许早期在家吃药，持续不见效，再去医院也是可能发生的，再有普通医院无法诊治，再转院也是会发生的，那么时间就会更长，且这期间也是在不断的传染的（这期间我们还不知道它要来）。而一号病人在被确诊之前，被他接触并传染的其他人，也在不自知的情况下以任意形式，去传染更多的其他人。第一批被一号病人传染的人，最快也要在被传染后的4-7天内发病，也可能是14天之久，未确诊期间，传染他人从未停止。这样，粗略算来，至少至少要20天，才会激增确诊病例（病毒的快速传播，在即将来临之际，我们根本没有上万的准备，几万医护，几万床位，以及更多我们想不到的物资与设备，更别提封城，各种各样的各行各业的协调）。且早期专家医护在仅有的病例下，很难给出精确的答复，而且还是在流感、肺炎的高发季，前后左右，无论他们说什么，他们都是要负责的。本身这个病毒的周期就长，还有无症状感染者，如果当初一号病人家属没有发病，那早期对它的认识肯定是有限的，当医护发病或一号病人家属发病，才会对病毒的认识进一步加深。对病毒认识加深的同时，病毒也在加速传播，每一次的加深认识，也会不断提升诊疗方法，那么相应的数字也会增加，例如，日确诊量激增一万多例（这背后，是各行各业众多逆行者们，日夜不眠努力后以数字的一个呈现），又如，10次检测9次阴性。之所以写这么多，只是希望能够有人知道，没有人愿意这一切的发生，没有人愿意看到生离死别，而这一切又是面临未知事件，在认知过程中所必须付出的代价。
六安吃喝玩乐攻略,:#六安实时#【捷报！六安市69例确诊患者全部治愈出院】今日上午，六安市又有六名患者出院。至此，我，为全省第二个确诊患者治愈出院“清零”城市。1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，确诊患者全部治愈出院。#抗击新型肺炎六安在行动
华商报,:【韩国一医疗院16名护士辞职官方称“不是因为怕感染”】韩联社：韩国一医疗院说，周末，该院100名护士中有16人因为个人原因或与工作有关的原因辞职。韩国卫生部官员说，护士们辞职不是因为怕感染，而是一二月份就定好准备休假的。他强调，其实，这些护士已经决定多工作几周，帮助同事，直到本月替换他（她）们的护士到岗。韩国确诊新冠病毒感染病例猛增，开始造成医护人员的严重疲劳。一些疫情严重地区，医护人力不足已成为一个突出问题。（参考消息）
共青团昆明市委,:#这道彩虹真赞#【#25地新增病例为0#】来之不易，更要坚持！转起，加油！#加强疫情防控云南在行动#【那位给新冠肺炎患者刮胡子的云南小姐姐，你好美！
女友君君,:#浙江8输入病例在意大利同一餐厅工作#看看人家犹太人掌控了美国经济大权，而我们中国人出门只能受欺负，那么🐂🍺说国人没素质不接受你们，你怎么没本事在欧洲落地生根，崇洋媚外当一个三等居民呢？出事就找祖国你给那个国家交税意义在哪？他们排华你也打过去啊！你怎么不能像黑人一样把南非白人赶出去？成天说国家不强大，自己在国外受罪，却不知道自己没本事，才在国外竞争不过别人。没本事就呆在中国，出去了就别一天到晚哭爹喊娘找国家，你出国移民了就是那边人在哪儿站住脚跟占领土地，而不是唯唯诺诺有难再找你妈。
陇南礼县发布,:【#湖北新增114例新冠肺炎#，#湖北累计报告新冠肺炎67217例#】2020年3月2日0—24时，湖北省新增新冠肺炎确诊病例114例，其中：武汉市111例、黄冈市2例、荆门市1例，其他14个市州均为0例。全省新增病亡31例，其中：武汉市24例、黄冈市3例、随州市2例、宜昌市1例、仙桃市1例，其他12个市州均为0例。全省新增出院2410例，其中：武汉市1846例、孝感市163例、黄冈市83例、宜昌市48例、荆州市48例、十堰市32例、襄阳市28例、荆门市28例、随州市28例、鄂州市26例、黄石市23例、天门市21例、咸宁市19例、仙桃市6例、潜江市6例、恩施州5例、神农架林区0例。截至2020年3月2日24时，湖北省累计报告新冠肺炎确诊病例67217例，其中：武汉市49426例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1391例、随州市1307例、襄阳市1175例、黄石市1014例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。全省累计治愈出院36167例，其中：武汉市23031例、孝感市2560例、黄冈市2343例、荆州市1144例、襄阳市913例、随州市893例、鄂州市840例、黄石市752例、咸宁市749例、荆门市650例、宜昌市583例、十堰市491例、仙桃市467例、天门市414例、恩施州198例、潜江市128例、神农架林区11例。全省累计病亡2834例，其中：武汉市2251例、孝感市120例、黄冈市119例、荆州市48例、鄂州市48例、随州市42例、荆门市39例、黄石市35例、襄阳市34例、宜昌市32例、仙桃市20例、天门市14例、咸宁市12例、潜江市9例、十堰市7例、恩施州4例、神农架林区0例。目前仍在院治疗25050例，其中：重症5407例、危重症1186例，均在定点医疗机构接受隔离治疗。现有疑似病例434人，当日新增64人，当日排除157人，集中隔离434人。累计追踪密切接触者268546人，尚在接受医学观察28400人。
郑州晚报,:【#伊朗派30万个医疗小组排查疫情#，#伊朗将中国诊疗方案译成波斯语#向公众公布】为尽快遏制新冠肺炎疫情蔓延，伊朗日前采取了一系列措施。据当地媒体报道，伊朗卫生部长纳马基称，从3月2日起伊朗在全国各地派出30万个医疗小组上门逐户排查疫情。纳马基表示，这些小组将主动前往人们家中，而不是等待患者来就诊，平均每个小组大约会入到访270名伊朗人，所有医疗小组均配备有必要的诊断装备，诊断出的病例将被送到医疗机构接受治疗。纳马基说，如果能在早期就诊断出感染新冠肺炎，患者将得到更快更好的治疗，死亡率也将因此降低。另据伊朗驻华使馆消息，相关的措施还包括：将中国诊疗方案翻译成波斯语向公众发布、全国所有学校停学、取消包括婚礼和葬礼在内的一切集会、在公共场所实施体温监测等。伊朗驻华使馆在其微博上表示，“我们相信，只要众志成城、团结一心，就一定能战胜疫情。就像任何困难都打不倒中华民族一样，也不会有任何困难能打倒伊朗人民。”（人民日报）
上海杨浦,:#上海战疫##上海加油#【哪些情况要观察隔离？哪些必须集中隔离？】重点地区来沪返沪人员，必须严格实行为期14天的隔离观察，一律不得外出。出现发热症状的，按规定立即就诊排查。密切接触者，即与“疑似病例、确诊病例、轻症病例、检测呈阳性的无症状感染者”有密切接触情形的人员，必须实施集中隔离观察。同时，对来沪返沪的特殊行业从业人员，如从事教育、托育、医务、家政、护理职业的，以及劳动密集型企业等的从业人员，实施更为严格的管理措施——单位有隔离条件的，实施单位隔离健康观察；本人有居所的，实施居家隔离健康观察；本人无居住条件的，实施地区集中隔离健康观察（单位或个人承担一定费用）。via新民晚报http://t.cn/A67C9cvO
知世-搜狐,:又一位伊朗官员确诊感染新冠肺炎，该官员是伊朗外交部长扎里夫的前顾问、前驻叙利亚大使侯赛因·谢赫伊斯兰。目前已有数位伊朗政界人士感染新冠病毒。其中，上月27日确诊的伊朗副总统玛苏梅·埃卜特卡尔，在目前已知感染者中级别最高。2日，世卫组织驻伊朗区域办事处一名工作人员也检测出新冠状病毒阳性。截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。
911苏州新闻广播,:#关注新冠肺炎#【#中国境外确诊新冠肺炎8774例#】世卫组织发布的最新一期新冠肺炎情况每日报告显示，截至欧洲中部时间3月2日10时(北京时间17时)，中国境外确诊新冠肺炎8774例，死亡128例。伊朗、韩国、意大利等多国确诊病例增长迅速。此外，新增6个国家(亚美尼亚、捷克、多米尼加、卢森堡、冰岛、印尼)出现新冠肺炎病例。
昆明发布,:#疫情最新情况#【云南129个县市区均为低风险！截至3月3日12时，全省现有确诊病例仅剩3例】3月3日0时至12时，无新增确诊病例。新增治愈出院病例1例（保山市）。截至3月3日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例），昭通市25例（治愈出院25例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院13例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院9例），红河州9例（治愈出院9例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区均为低风险。（云南省卫生健康委员会）
央视新闻,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。（总台央视记者盛瑾瑜）http://t.cn/A67CCuXb
淮安区司法行政,:【#27省区市新增病例为0#】2日0-24时，北京、天津、河北、山西、吉林、黑龙江、江苏、安徽、福建、江西、山东、河南、湖南、广东、广西、海南、重庆、四川、贵州、云南、西藏、青海、宁夏、新疆（含兵团）新增确诊病例为0。2日8时-3日8时，陕西新增确诊病例为0；1日20时-2日20时，甘肃新增确诊病例为0；2日7时-3日8时，内蒙古新增确诊病例为0。
YunGe的燕子,:主要还是天气热。
新浪上海,:【入沪前14天有重点国家旅居史一律隔离】#上海全力防控新型冠状病毒肺炎##荆申抖擞携手战疫#近期，多个国家和地区出现新冠肺炎感染病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。http://t.cn/A67CMOLT
铁血Joey变成了矫情的娇气包,:#Betway必威##欧洲杯#意大利如今是欧洲疫情的重灾区，截至3月3日上午，意大利已经确诊的病例达到了2036人，死亡52人。由于疫情在意大利的迅速蔓延，意甲联赛已经陷入了混乱，多轮比赛已经被推迟或者空场进行。本次的国际比赛日时间为3月底至4月初。考虑到今年夏天欧洲杯正赛就要开打，因此不少国家队都在此次国际比赛日中安排了友谊赛以演练战术、磨合阵容，其中就包括英格兰主场对阵意大利、意大利客场对阵德国等焦点赛事。
周蓬安,:#新冠海外疫情#【韩国新增477例新冠肺炎确诊病例累计4812例】韩国疾病管理本部通报称，当地时间2日下午4时至3日0时，韩国新增477例新冠肺炎确诊病例，累计确诊4812例。微评：韩国需要尽快重视起来，不仅仅是政府行动，国民也应该密切配合。这个病毒的传染性确实太厉害，不是开玩笑的。如果漫不经心，弄成40%国民感染，那就是历史性悲剧了。http://t.cn/A67CtcF4
拾米大帝,:【足球密探回报】
YunGe的燕子,:主要还是天气热。
天津日报,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
武汉晨报,:【#浙江公布7例输入性病例轨迹#：与浙江首例输入性病例同在意大利一餐厅工作，均为密切接触者】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。
新浪上海,:【入沪前14天有重点国家旅居史一律隔离】#上海全力防控新型冠状病毒肺炎##荆申抖擞携手战疫#近期，多个国家和地区出现新冠肺炎感染病例，数量持续攀升。鉴于当前境外疫情防控形势，结合上海实际，市防控工作领导小组及相关部门综合研判，进一步明确了涉外疫情防控和入境人员健康管理措施。所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。http://t.cn/A67CMOLT
铁血Joey变成了矫情的娇气包,:#Betway必威##欧洲杯#意大利如今是欧洲疫情的重灾区，截至3月3日上午，意大利已经确诊的病例达到了2036人，死亡52人。由于疫情在意大利的迅速蔓延，意甲联赛已经陷入了混乱，多轮比赛已经被推迟或者空场进行。本次的国际比赛日时间为3月底至4月初。考虑到今年夏天欧洲杯正赛就要开打，因此不少国家队都在此次国际比赛日中安排了友谊赛以演练战术、磨合阵容，其中就包括英格兰主场对阵意大利、意大利客场对阵德国等焦点赛事。
周蓬安,:#新冠海外疫情#【韩国新增477例新冠肺炎确诊病例累计4812例】韩国疾病管理本部通报称，当地时间2日下午4时至3日0时，韩国新增477例新冠肺炎确诊病例，累计确诊4812例。微评：韩国需要尽快重视起来，不仅仅是政府行动，国民也应该密切配合。这个病毒的传染性确实太厉害，不是开玩笑的。如果漫不经心，弄成40%国民感染，那就是历史性悲剧了。http://t.cn/A67CtcF4
北京晚报北晚新视觉网,:【#韩国政府进入24小时全面戒备状态#】韩国总统文在寅3日表示，随着大邱和附近的庆尚北道新冠病毒危机达到顶峰，韩国宣布对新冠病毒“作战”，政府所有机构进入24小时全面戒备状态。文在寅是在每周的内阁会议上宣布的上述表态，并称计划直接或间接向新冠病毒应对行动注入30万亿韩元资金。截至当地时间3日0时，韩国较前一天下午4时新增477例新冠肺炎确诊病例，累计确诊病例达4812例。http://t.cn/A67ChN8j
新华播报肖华,:【韩国确诊病例破4000大关#80国对韩采取入境管制#】3月2日，因新冠肺炎疫情，韩联社报道称有80个国家和地区对韩国采取入境管制措施。其中36个国家和地区全面或限期禁止韩国公民入境，44个国家加大了对从韩国入境人员的检疫力度。截至当地时间3月2日，韩国已确诊4212例。http://t.cn/A67aJG3s@世面
北京人北京事儿,:【#北京市无新增新冠肺炎确诊病例#6例治愈出院】3月2日0时至24时，北京市无新增新冠肺炎确诊病例。报告新增疑似病例14例、密切接触者7例。治愈出院患者6例，分别从市区两级定点医院出院。其中有2名男性，4名女性，年龄最小的34岁，最大的56岁。截至3月2日24时，累计确诊病例414例，治愈出院病例288例，死亡病例8例。现有疑似病例37例。#北京爆料##北京[地点]#
财经新媒体,:【柳叶刀：无症状者或是潜在感染源，应严密监控确诊者家庭成员】国际顶级学术期刊《柳叶刀》在2月19日发表的《新冠肺炎感染家庭集群中无症状的病例》，文章指出，如果不严格控制受新冠肺炎感染个体的家庭集群，新冠肺炎感染家庭集群中无症状患者可能会对公共卫生构成严重威胁，应严密监视和检查有新冠肺炎感染家庭成员的人，即使他们没有任何症状。在后一篇通讯文章通过描述南京一起涉及11人的新冠肺炎感染家族群提供的证据链条表明，无症状的人群可能是新冠肺炎感染的潜在来源。
烟雨楼百年孤独,:【疫情下能握手能咳嗽吗？英国下议院领袖给建议：伴着国歌洗手就行】英国的疫情继续呈现上升趋势。3月2日，英国卫生部门最新统计数据，英国总确诊病例已经达40例。当日，被问及政府是否可(找到）控制病毒（的措施）时，英国下议院领袖雅各布·里斯-莫格称，咳嗽和打喷嚏会传播疾病，请把用你的手帕捂住。记者再次追问“咳嗽及握手是否被允许时”，雅各布·里斯建议称，伴着着国歌洗手就行。随后记者回怼：停止握手不得了。@环视频http://t.cn/A679lrFU
