驻马店广视网,:最新！驻马店0新增！钟南山团队：建议严格防控措施实施至4月底2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0:00-24:00，我市无新增确诊病例。截至2020年3月3日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
MagicPersona,:#肖战#“饭圈”这个名词从什么时候开始的？不知道。我只知道我在看lpl的时候会有人说别把饭圈那套带到电竞团里。在我的理解里，饭圈里对偶像是不能直呼姓名，全用字母代替的？从年前，新冠疫情慢慢凸显的时候，热搜里大家都关注着这个重大公共卫生事件，大家热烈讨论着一件件令人感动或是愤怒或是恐惧的事件，然而肖战的热搜在我印象里几乎天天都有，一面说着不占用公共资源，一面不停不停的上热搜。哪怕我上爱奇艺看两集庆余年，都有弹幕问肖战怎么不是主角。227大团结，作为一个路人也是事后吃瓜，几天下来看了些文章，了解一下来龙去脉，我只有一个念头:厉害啊，史无前例的把毫不相干的圈子甚至路人团结在了一起。作为路人，从没有过现在这般渴望，渴望一个人糊到底，糊穿地心！
柯德莉蓝,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
每日经济新闻,:【每经24点丨#科学杂志称美新冠病毒检测工作表现不佳#】据新华社，美国《科学》杂志官网近日刊文说，美国疾病控制和预防中心等机构有关新冠肺炎的确诊认定方式一度限制了全国的病毒检测能力，截至2月底，美国只完成459次检测。文章指出，美国不少医院、科研机构都具备检测能力，但在1月30日美国宣布新冠疫情为“公共卫生突发事件”后，相关检测需向美国药管局申请授权，反而限制了全国范围内的病毒检测能力。2月29日，美国药管局才发布公告，允许数百家美国学术性医院实验室开始检测新冠病毒，此后美国的确诊病例快速上升。http://t.cn/A67p6n5dhttp://t.cn/A67p6n5g
力量湖南,:【宁乡市政协委员、回龙铺镇卫生院公卫办主任兼应急办主任周辉利：发扬中医药传统，提倡中西医结合并重丨委员说·抗疫建言】中医药学的特点对当代传染性、非传染性以及慢性疾病的复杂疾病为主的健康挑战，将发挥着不可替代的重要作用。通过这次新冠肺炎疫情防控，我建议：预防为主，常备不懈，进一步提高全社会对突发公共卫生事件的防范意识；提升基层的应对处置能力；继续发扬我国中医药的优良传统，提倡中西医结合并重。让我们风雨同行，携手共进，共渡难关。武汉加油，湖北加油，中国加油！#政协抗“疫”##委员政在做#http://t.cn/A67p608Ihttp://t.cn/A67p6jNe
财经杂志,:【在线音乐反垄断调查因何中止】病毒来势汹汹，几乎席卷全国。在这样的公共卫生突发事件中，人们的身心遭受巨大的创伤和阵痛，急需来自外界多方的抚慰，但因疫情防控需要，人们的行动范围受限，故互联网在线音乐能够在此方面扮演重要的角色。强调互联网的个性及由此带来的特殊效应，应是必须予以关注和考量的重要因素，而不能仅仅根据市场份额的大小而判断企业是否存在垄断行为。http://t.cn/A67piyXg
潇湘孙慧佳,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
毛磊的买房观,:#成都地铁日客运量疫情首破百万#昨日（3月2日），成都地铁总客运量达131.61万乘次。这是四川全省启动突发公共卫生事件一级应急响应以来，成都地铁首次单日客运量破百万。相对于复工初期不足四十万乘次日均总客流量，成都地铁客运量有了很大回升。主要原因是很多企业开始有序复工了。
love舍得369,美国🇺🇸华盛顿州卫生部官员确认，该州3月2日又确认4例新冠病毒🦠死亡病例，美国因新冠病毒🦠感染而死亡人数增加到6人。目前，美国总病例数已达102例，其中54例美国本土病例，分布在11个州……
月湖发布,:今后所有餐饮服务单位的菜单不能出现这样的字眼！为加强新冠肺炎疫情防控工作，有效防范重大公共卫生风险，切实保障人民群众生命健康安全，鹰潭市市场监管局对全市餐饮服务单位全面禁止野生动物经营发出提醒告诫。一是充分认识食用野生动物的健康风险，远离“野味”，健康饮食。二是严禁采购陆生野生动物（包括人工繁育、人工饲养，下同），不得提供陆生野生动物菜品。三是3月8日前，开展自查和清理，餐饮经营场所内不得饲养、存储陆生野生动物及其制品。四是3月8日之后，店内菜谱及广告中不得出现“野味”、“山珍野味”、“野生”等含有野生动物的信息。五是发现餐饮单位有非法经营野生动物行为的，可通过“12315”热线或“鹰潭市场监管”微信公众号举报，市场监管部门将依法严肃处理。
西安晚报,:【爱心在行动】3月3日，西安市酒店用品行业协会向我市新建的公共卫生中心捐赠600套价值6万余元的医用被褥，用实际行动支援疫情防控，肩负企业使命与担当，积极践行社会责任。(记者李欣摄)
FM93浙江交通之声,:#美疾控官员报告病例时舔手指翻页#【错误示范三连
参悟局,:【距清零仅一步之遥！澳门10例确诊病例有9例已康复出院
誓爱古月哥欠,:#华南海鲜市场开始消杀工作#一定要规范整治，不能再有野生动物出现，发现一起，严惩不贷！公共卫生安全，任重而道远！
三分小笙予离歌,#外国人永久居留管理条例#被我爸就这件事批评了两次之后的一点感想下面是司法部官方投票链接，可以匿名进入不用登录http://t.cn/R4pIkq2
狼狼狼狼狼狼狼七匹狼,:钟南山团队：建议“早期筛查”等防控措施实施至4月底SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。严格的防控措施如“早期筛查”最好实施至2020年4月底。
襄阳国安,:【#伊朗23名议员确诊新冠肺炎#伊朗整体进入备战状态】伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。”另据伊朗国家电视台援引议员的话报道称，目前，有23名伊朗议员的新冠病毒检测结果呈阳性。截至目前，伊朗累计确诊新冠肺炎病例达2336例，死亡病例达77例。
新浪视频,:【错误示范三连
A股龙少2018,:#钟南山团队建议严格防控实施至4月底#①本次疫情中国在2月下旬达到高峰，4月底趋于平缓；②公共卫生干预措施有效控制了疫情发展，严格的防控措施如“早期筛查”最好实施至2020年4月底。很多城市都已经复工复产，日韩等全球疫情蔓延明显，我们既要提防国内，又要防止输入性病例，不得掉以轻心！
槐荫环保,【人民日报评论员：提高应对突发重大公共卫生事件的能力和水平】这次抗击新冠肺炎疫情，是对国家治理体系和治理能力的一次大考。赢得这次大考，要求我们既立足当前科学精准打赢疫情防控阻击战，更放眼长远从体制机制上创新和完善重大疫情防控举措，提高应对突发重大公共卫生事件的能力和水平。#打赢疫情防控的人民战争总体战阻击战#http://t.cn/A67iNrn7
曹保印啦啦啦,:【中食品牌研究院】全球公共卫生面临大考期间，淘宝直播会解决食品企业难题吗？淘宝直播发起的“全球新品日”暖春战疫系列活动，吸引不少厂家关注，这也是这个特殊时期许多企业采取的方式。小仙炖也参与进来，其实这已经不是其第一次工厂直播了，只不过此时的直播有点不同。全文阅读http://t.cn/A67pwDi6
四川观察,:【#成都地铁日客运量疫期首破百万#】记者从成都轨道交通集团了解到，昨日（3月2日），成都地铁总客运量达131.61万乘次。这是四川全省启动突发公共卫生事件一级应急响应以来，成都地铁首次单日客运量破百万。相对于复工初期不足四十万乘次日均总客流量，成都地铁客运量有了很大回升。
李筱绡K线精灵,:现货金价维持窄幅波动，价格整体维持收缩震荡的走势。在上周五市场恐慌性抛售之后，市场开始权衡接下来金价的走向。亚市盘中，澳洲联储意外降息，鸿金认为，接下来澳洲联储将会引领全球央行降息潮流，这将会继续推升金价。目前本周市场焦点，仍然是集中在海外公共卫生的情况，以及周五美国非农就业报告。技术面来看，日线MACD和KDJ死叉运行，5日均线下穿10日均线结成死叉，金价仍然受到5日均线1611.52附近阻力压制，后市偏向震荡下行；布林线中轨1592.53暂时为金价提供支撑，隔夜低点支撑在1584.08附近，2月10日高点支撑1577.05在附近，2月12日低点支撑在1561.93附近，若下破该支撑，则增加后市看空信号；2月5日低点支撑在1547.57附近；鉴于近期金价跌幅较大，短线仍然存在温和反弹或者震荡调整的可能性；目前上方初步初步阻力在5日均线（靠近昨日高点）1611.52附近，10日均线阻力在1622.56附近，若回升至该位置上方，则削弱后市看空信号。综合来看，今日操作思路上个人建议高空为主，低多为辅；【国际黄金原油恒指期货现货外汇比特币解套EIA实时喊单非农数据】#国际黄金#
商河环保,【人民日报评论员：提高应对突发重大公共卫生事件的能力和水平】这次抗击新冠肺炎疫情，是对国家治理体系和治理能力的一次大考。赢得这次大考，要求我们既立足当前科学精准打赢疫情防控阻击战，更放眼长远从体制机制上创新和完善重大疫情防控举措，提高应对突发重大公共卫生事件的能力和水平。#打赢疫情防控的人民战争总体战阻击战#http://t.cn/A67iNrn7
大牛哥runner,:#泰国隔离#疫情早发生的这些输入性国家，泰国、越南、印度、尼泊尔、柬埔寨、斯里兰卡，这些不看好的国家，甚至是穷国、落后的国家，医疗水平不怎么好的国家，#战疫打卡行动#全部治愈，没有在本国蔓延。而日本、韩国、美国、意大利这些发达国家，全面爆发，现在几乎无法应对了。公共卫生应急管理是检验政府综合能力的重要标杆。发达国家怎么了？
晨报李国平,:【张文宏：为确保新冠肺炎患者康复后不复阳，上海还要做肛拭子测试】网红医生张文宏表示，到目前为止，上海的新冠肺炎康复病人没有一例出现再复阳的。因为在上海，新冠状病毒感染的病人两次核酸检测为阴性后，会对病人进行肛拭子检测，以确保康复后不会重新呈阳性。3月3日，上海市公共卫生临床中心康复随访门诊医生林逸骁在接受本报采访时也确认，复查时，除了咽拭子、胸部CT、血常规、小便、肝功能等检查之外，必要时还会对患者进行肛拭子检测。http://t.cn/A67NftgU
襄阳国安,:【钟南山：若封城晚5天，疫情规模将扩至3倍！】日前，钟南山院士团队在医学期刊《JournalofThoracicDisease》发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章，对疫情态势进行了预测。研究显示，1月23日实施控制措施后，新冠肺炎传染几率降低。一定数量易感人群的存在使平均每日新感染人数稳定增加。基于一系列干预措施，预计疫情于2月28日达到高峰，截至4月底趋于平缓，预计疫情最终规模预估共计122122例。如果延迟5天实施干预措施，中国内地的疫情规模预估将扩大至3倍。由于感染者平均每天接触的次数增加，传染系数（率）将会更大。病例数量呈指数增加，可能在3月4日达到高峰，达到173372例现存确诊病例，疫情最终规模预估为351874例确诊病例。如果提前5天实施干预措施，全国疫情最终规模可能减少至40991例确诊病例。如果减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。钟南山团队建议，严格的防控措施如“早期筛查”最好实施至2020年4月底。（健康时报王真）
魏氏思语,:《23名议员确诊新冠肺炎！伊朗整体进入备战状态_手机网易网》中新网3月3日电据美联社报道，伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。http://t.cn/A67NDb1k
余根金,:【伊朗23名议员确诊新冠肺炎哈梅内伊下令军队协助防控疫情】据美联社报道，伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。”另一方面，伊朗国家电视台援引议员的话报道称，目前，有23名伊朗议员的新冠病毒检测结果呈阳性。截至目前，伊朗累计确诊新冠肺炎病例达2336例，死亡病例达77例。（中国新闻网）
泉州那些事儿,:#泉州爆料#【泉州安溪：蓝天救援队奋战在防疫一线】自打响新型冠状病毒感染的肺炎疫情以来，在抗疫战斗中，面对严峻的疫情防控形势，安溪县蓝天救援中心全体队员，不畏艰辛、迎难而上，配合安溪各级部门奋战在疫情防控的第一线。广播宣传车打头阵自进入发布公共卫生事件一级响应以来，队员们放弃春节与家人的团聚，主动集结，针对茶乡百姓防疫意识警戒、防疫手段不足的问题，队员兵分两路、组织广播宣传车，主动下乡流动宣传，连续10多天、每天12小时以上，覆盖全县24个乡镇，针对性进行疫情防控知识普及，进而提高茶乡百姓防疫知识。配合高速设卡排查在疫情防控阻击战中，安溪县蓝天救援中心派出队员，分三班倒，在安溪高速出口协助卫健、交警、交通局等部门对过往车辆驾乘人员进行排查，开展防疫宣传、劝导返乡人员自行隔离、劝散扎堆人员、劝返外来车辆，协助做好人员登记、测量体温。极大缓解了我县一线防疫队伍压力。深入社区公共场所消杀新型冠状病毒感染的肺炎疫情防控工作仍在持续，安溪县蓝天救援中心紧急协调，爱心人士捐赠4套专业消杀设备、次氯酸钠消毒液、口罩等，配备专业人员，对我县政府机构、社区、学校、村居等提供免费的消杀服务。据安溪蓝天救援中心队长天龙表示，全体队员将继续积极备战，继续开展各项防控工作，直至疫情结束。#泉州那些事儿#
新闻晨报,:【有出院病人出现复阳情况康复患者随访检查增加咽拭子】今天，21位新冠肺炎出院病人再次来到上海市公共卫生临床中心进行随访。上海市公共卫生临床中心康复随访门诊医生林逸骁告诉记者，广州、武汉等地有出院病人出现复阳的情况以后，上海对出院后的病人随访也增加了检查项目，包括对所有患者进行咽拭子的随访，对有些患者还会进行大便检查。#上海加油#http://t.cn/A67p75H5
古玩哥,:美国媒体erohedge援引经济学家查尔斯·休·史密斯的观点称，新冠病毒是一起严重的公共卫生安全事件，如果任其扩散，美国的重症病患很有可能导致在短短数日内烧掉美国5万亿美元财富。除了防控、治疗、停工损失之外，新冠病毒导致的投资撤离和消费下降也计算在内。#武汉被打配菜员发声##钟南山李兰娟等10个院士团队齐聚湖北#
陈俊俊_,#上海交通大学开学第一课#上海交通大学医学院公共卫生学院院长王慧《防控疫情，从我做起》，硬核科普，快快快收藏！http://t.cn/A67JyMfb
新浪上海,:【上海市公卫中心:按时随访很重要暂未发现复阳病人】#向上海表白##荆申抖擞携手战疫#“我是2月15日上午出院的，我还记得当天出院的共有32人，是上海至今为止出院人数最多的一天呢！”徐女士说。2月中旬，陆续有大批的康复者从上海市公共卫生临床中心出院。按照国家要求，所有患者出院两周后都要到医院随访。因此，上海市公共卫生临床中心市区的康复随访门诊也根据他们的预约情况进行及时分流，安排好随访时间，避免人员扎堆。今天上午有20多人前来随访。由于新冠肺炎是一个新发传染性疾病，大家对它的认识还不足。为了进一步了解患者康复状况，院方明确告知患者出院后2周和4周来院随访，如有不适要随时来院进行检查。市公卫中心医务部主任沈银忠说，针对大家关心的是否会“复阳”的问题，医务人员也将在随访患者中继续观察和研究，就目前随访的情况看，患者回家后康复状况良好，未发现核酸检测转阳的情况，也没发现患者出院后再传播他人的情况。详情：http://t.cn/A67NcQ0D
西非華文報,:【#外媒：尼日利亚具有对抗疫情的经验#】据彭博社报道，尼国在抗击疫情方面，包括霍乱和埃博拉，获得了丰富经验，在应对快速蔓延的病毒时，比其他非洲国家相对来说更具优势。此前用于确诊其他病毒感染患者的实验室系统，现在可以用来确诊COVID-19，根据世界卫生组织公共卫生紧急情况方案司司长MichaelRyan的说法，目前该病毒已经导致全球3000多人死亡。“尼国抗击危险病原体的整套机制是经过实际检验的”。2月27日，尼国确诊第一例感染者，不过此后并没有新确诊病例的报告，此人为意大利人，从米兰出差至拉各斯，卫生部门要求与此人接触的超过100多人进行自我隔离。尼卫生部表示，自2014年，尼国实验室系统病毒初期检测能力已经增长三倍。
生态灞桥,:#关注#【短评：维护地球所有生命，让万物皆可自然生长】今天是第七届世界野生动植物日，今年的主题是“维护地球所有生命”。疫情当前，有关滥食野生动物严重威胁公共卫生安全问题引发强烈关注，今年这一日子也在提醒我们：热爱生命，善待自然。“生态文明”，这个词对所有人来讲都并不陌生。怎么看待自然，怎么对待人和动植物的关系，“生态文明”理念给出了最好的回答——追求人与自然的和谐共生。随着城市化进程的开疆扩土，人们的活动半径几何式增大，就连深山老林和无人区也变得喧嚣起来，与此同时，原始的生态系统越来越多地暴露在人类活动的影响下，野生动植物的生存空间日渐被压缩挤占。这并不是偶然发生的零星事件，而人们却常常忽略了生产生活对野生动物造成的影响。实际上，恩格斯就指出“美索不达米亚、希腊、小亚细亚以及其他各地的居民，为了得到耕地，毁灭了森林，但是他们做梦也想不到，这些地方今天竟因此而成为不毛之地”。从这个意义上讲，保护野生动植物，对维护生态安全、公共卫生安全、推动可持续发展都有着非同一般的意义。根据《2019年IPBES关于生物多样性和生态系统服务的全球评估报告》，大约25%的物种已经面临灭绝的威胁，自然生态系统平均下降了47%。除此之外，还有人为“舌尖上的野味”而高价追逐，有人为攫取暴利而大肆捕杀野生动物，非法买卖珍稀野生植物时有发生……有人说，人与动物的距离，衡量着更高级别的文明。此处所谓的“距离”，不是冷漠的疏远，不是刻意的隔绝，而意味着尊重与善待，要求我们时刻明确自身行为的边界，不能任性地为所欲为。十三届全国人大常委会第十六次会议2月24日通过决定，以更加严厉的惩处，全面禁止非法野生动物交易，促进人与自然和谐相处。陕西省野生动植物保护协会日前发出倡议，呼吁社会各界树立爱护野生动植物新风尚，用实际行动为保护野生动植物和确保可持续利用贡献力量。山水林田湖草是一个生命共同体。行动起来吧，维护全球生命共同体，让万物皆可自然生长，这是我们的使命所在，也是建设生态文明的应有之义。（西安报业全媒体评论员李晓莉）
时代风向标栏目组,:#央视时代风向标栏目[超话]#【现场！特朗普不顾疫情扩散风险执意竞选演讲：我觉得集会很安全】当地时间3月2日，有记者问特朗普：在这样一个公共卫生危机期间，举行竞选集会是否安全？特朗普：这些集会早就定下来了。那些民主党人都有集会，他们就在这么做，他们在搞竞选。记者追问：你觉得这样安全吗？特朗普：我觉得非常安全。http://t.cn/A679NJUP
松江报,:非常战疫展现白衣勇士非凡担当——松江全区医务工作者坚守一线全力投入疫情防控工作
木槿_枫,:在中国疫情逐渐控制的时候，世界各地疫情渐渐出现了增长之势。这一次后，全世界都会重新对公共卫生危机进行一个审视，一次疫情的爆发绝不是一个地区，一个国家的事情。即便暂时没有蔓延，在见识到它的传染性时，也应该提高自身的防御性。希望国泰民安，全世界安。达州
茶痴吃茶667,#不可以征服[超话]##教育在行动##书##抗疫行动##熊猫守护者##向往的生活#人民网北京3月3日电（记者温璐）近日，《依法防控疫情——突发公共卫生事件政府公共管理法律适用手册》一书出版。该书系统介绍了与突发公共卫生事件有关的行政法律知识，详解各级政府及普通大众开展防控工作流程及要点，涵盖突发公共卫生事件认定、法律责任、组织体系、信息发布、交通管制、资源分配及社会公众慈善捐赠等，并根据法律规定答疑解惑，具有很强实用性和针对性。据了解，该书以问答的形式来编写，简明扼要，通俗易懂，方便读者快速查阅答案。http://t.cn/A67NUJ44http://t.cn/Rx3gJvF
鱼之乐JeJe,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
FM93浙江交通之声,:#美疾控官员报告病例时舔手指翻页#【错误示范三连
参悟局,:【距清零仅一步之遥！澳门10例确诊病例有9例已康复出院
誓爱古月哥欠,:#华南海鲜市场开始消杀工作#一定要规范整治，不能再有野生动物出现，发现一起，严惩不贷！公共卫生安全，任重而道远！
三分小笙予离歌,#外国人永久居留管理条例#被我爸就这件事批评了两次之后的一点感想下面是司法部官方投票链接，可以匿名进入不用登录http://t.cn/R4pIkq2
狼狼狼狼狼狼狼七匹狼,:钟南山团队：建议“早期筛查”等防控措施实施至4月底SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。严格的防控措施如“早期筛查”最好实施至2020年4月底。
长春校园,:#长春校园发现#【吉林省援助武汉医疗队麻醉师的高危90秒
纯水年华,:#伊朗23名议员确诊新冠肺炎#伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。#韩国大邱一确诊者混入长队买口罩#哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。”另一方面，伊朗国家电视台援引议员的话报道称，目前，有23名伊朗议员的新冠病毒检测结果呈阳性。截至目前，伊朗累计确诊新冠肺炎病例达2336例，死亡病例达77例。http://t.cn/A67p2ZlL
