王先生走花路吧,:#钟南山李兰娟等10个院士团队齐聚湖北#向他们致敬
一月吖·,:#酥妃#肖战这个赔钱货为什么团队还在花钱给他洗啊有这时间滚出来给你的粉丝清清脑子吧你们到底知不知道创作有多重要啊废虾也配跟太太说话语权你们长出脑子想说话的那一天已经没有地方可以让你讲了跟得了狂犬病的疯狗一样快点滚吧
妮妮今天背锅了吗,#十问肖战粉丝#凤凰网娱乐十问肖战粉丝，这个公关真的是高啊，避重就轻搬弄是非。P1:什么叫做不认同观点大可直接举报作者？“我不同意你说的每一个字，但我誓死捍卫你说话的权利”从小的教育告诉你要求同存异！不是让你举报和自己观念不符的作品的！感情这样做是一个“行规”了？P2:高级洗白，直接把肖战被骂完全归结粉丝，还巧妙地为读者塑造一种我们在帮你出气的同仇敌忾的感觉。实际上呢？肖战及其工作室对本次事件从头到尾知根知底还下场搅浑水压热搜锁词条。对！这话倒是没错，肖战毁在自己手里！这个自己不仅仅是凤凰网所谓的“口诛笔伐”的肖战粉丝，更加是肖战自己！P3:装无辜疯狂甩锅，肖战什么也没做，工作室反应不及时，不了解的人乍一看好像没有什么。但是实际上呢？！P2我说的话可以再说一遍。肖战的放纵和默许以及顺水推舟，才是这一次最大的推波助澜者。但凡肖战表露出自己的态度，管束一下工作室养的大粉，授意工作室引导一下当时的舆论，申斥粉丝行为（你完全不用放在明面上对不对），也不会有现在的局面。这种时候的虚假的无为而治，是最大的恶人。
汐墨_叶小欠儿,我发表了头条文章:《肖战、粉丝、偶像责任和危机公关》肖战、粉丝、偶像责任和危机公关
kokoriri,这期视频10分钟。其实孙杨这事很简单，看完你就能get到（我的个人看法），做出判断。（片尾有彩蛋）吟游诗人基德的微博视频
批发部老王,果然，连亲人的生命都可以拿来利用，无耻http://t.cn/A67oeXWT
今天也喜欢十七,呜呜呜呜呜是SVT说口号说得最好的队长啊。
兰州官宣,:#兰州生活##兰州万众一心全民战疫#【#失聪女士带公益团队为一线送爱心餐#，经费用尽还要坚持
淘小铺导师Vicky,:#淘小铺##好省##花生日记#看图圈重点⭕️我团队核心都是高手跟什么样的人在一起很重要做淘小铺首选Vicky团队
箫以兮,“写这样的同人影响哥哥的前途。”真的吗?什么东西会影响艺人的前途？我是游戏行业市场营销的从业者，是接触艺人合作最多的部门之一，今天从厂商品牌方的角度，给大家科普一下甲方是怎么选择代言人的好不好，也说说什么衡量标准会影响厂商判断是否选择艺人。品牌方，选择艺人的标准有很多，最重要的三条：1、艺人火吗？他现在火不火，有多少粉丝，有什么话题。他的粉丝多不多，购买力怎么样，粉丝群体是不是我产品的潜在用户？对品牌代言的合作态度怎么样，愿不愿意帮我的产品做宣传，会不会和我的品牌玩在一起，会不会来买我的产品。对，最重要的是购买力。2、艺人贵吗，这个主要影响厂商的预算，比如我总共有两百万的费用，那么我会请报价100万的艺人，其他的钱用来宣传。再比如，我有一亿，那我就可以请罗志祥，再请一个吴青峰，再请一堆红人跟我合作，没错我说的是【剑与远征】哈哈哈哈PS：肖战的一年期游戏代言费用是一千万，这个数字随便问一个公关公司都能得出来，并非我张口就来。3、艺人的人设标签。厂商一般会邀请符合自己品牌最想表达理念，风格。比如说牛奶请陈道明代言，是因为陈道明大佬的气质会让普通的用户联想到高品质好东西，品牌请张钧甯代言，是因为这位艺人坚持运动的生活态度。小七有很多游戏代言，因为小七身上有一种一种“二次元”少女的标签。那么，风格化明显，正向的艺人，就更容易得到商业的青睐。OK，那么那篇【下坠】本身带来了什么影响？我可以很明确告诉大家，这一篇文在厂商眼里，只是一个数字，一个代表肖战人气的数字。如果你结合了厂商信息产出代言，粉丝产粮，那么很好，厂商更高兴了。但是，事情发展到了今天，带来了什么影响呢？以我最熟悉的【新笑傲江湖】手游来举例子。【新笑傲江湖】是完美的19年度拳头产品，未来也会长线运营。肖战代言给产品带来了红利，完美的股价在19年下半年飙升。那么现在呢？产品在苹果商店被打一星，据说工作室多次找到品牌的同事，闹到这一步，现在手游被抵制，taptap等厂商看重的平台评分一路底星，二次元KOL纷纷抵制，路人用户呢？商店评分呢？口碑呢？那些还没执行的商业推广计划呢？肖战签的代言不是一波流，接下来的合作怎么办？完美是一个熟练使用代言人这种营销手段的游戏商场，公司成立15年了，王俊凯，郑爽都是该厂商的合作对象，大家随便搜，都能搜到他们的海报。那么肖战，就是第一次出现这种口碑滑坡对产品带来大面积负面影响的艺人。那么其他的企业呢？站在风口浪尖的OLAY，牛奶品牌呢？所以，粉丝们看懂了吗？一篇文，不会影响你哥的前途。胡搅蛮缠的粉丝，动不动就扫射厂商的粉丝，【让企业损失口碑，商业价值，商品销量，大众对产品的印象】才会影响你哥的前途。有什么品牌方，敢用有一群这种粉丝的明星？我今天看到一句话。“全世界要按照我的心意来生存”这就是这个粉丝群体最开始的错误。是的，没有错。这个世界的法则从来就不是【我不喜欢就举报你，让公权力来搞你】有空多读书，有空多看看世界，了解了解，互联网，文学，音乐，金融，书籍，世界很大，你我都很小。
我欲乘风686,:这个时代但凡你有一点专业技能，即使没有专业的团队，都可以变现称财富，近几年一定是无数草根崛起的最好时代！
万家八卦,:#酥妃#现在的情况真的越来越严重了，肖战团队道歉不真诚，试图与粉丝撇清关系，撤rs，转移火力，很显然，他的gg真的太不给力了，这个事件成了流量明星的致命打击。你们对后援会怎么看？
碎冰玻璃glassscrap,:#酥妃#肖战给我糊穿地心。肖战团队有多垃圾呢？就是道歉声明都狗屁不通通篇语病心不在焉表意不清毫无悔意肖战团队有多厉害呢？撤热搜词条六得一批熟能生巧烂熟于心行云流水肖战团队，肖战工作室，天眼查他可是占股的。别洗了，你🈹🈹也不是什么好东西。D区
东方今报,:【外交部：#中方对部分国家面临的困难感同身受#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（总台央视）
新浪棋牌,:【丁立人一行抵达莫斯科暂在疗养院休养备战】3月2日，参加国际棋联候选人赛的丁立人和教练徐俊、翻译李开敏飞往俄罗斯莫斯科。在国际棋联和俄罗斯国际象棋协会的帮助下，丁立人团队选择了在莫斯科郊区的某疗养中心适应备战14天，然后去往叶卡捷琳堡参加比赛。丁立人一行暂在疗养院备战
-徕-,这期视频10分钟。其实孙杨这事很简单，看完你就能get到（我的个人看法），做出判断。（片尾有彩蛋）吟游诗人基德的微博视频
万家八卦,:#酥妃#现在的情况真的越来越严重了，肖战团队道歉不真诚，试图与粉丝撇清关系，撤rs，转移火力，很显然，他的gg真的太不给力了，这个事件成了流量明星的致命打击。你们对后援会怎么看？
碎冰玻璃glassscrap,:#酥妃#肖战给我糊穿地心。肖战团队有多垃圾呢？就是道歉声明都狗屁不通通篇语病心不在焉表意不清毫无悔意肖战团队有多厉害呢？撤热搜词条六得一批熟能生巧烂熟于心行云流水肖战团队，肖战工作室，天眼查他可是占股的。别洗了，你🈹🈹也不是什么好东西。D区
东方今报,:【外交部：#中方对部分国家面临的困难感同身受#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（总台央视）
新浪棋牌,:【丁立人一行抵达莫斯科暂在疗养院休养备战】3月2日，参加国际棋联候选人赛的丁立人和教练徐俊、翻译李开敏飞往俄罗斯莫斯科。在国际棋联和俄罗斯国际象棋协会的帮助下，丁立人团队选择了在莫斯科郊区的某疗养中心适应备战14天，然后去往叶卡捷琳堡参加比赛。丁立人一行暂在疗养院备战
-徕-,这期视频10分钟。其实孙杨这事很简单，看完你就能get到（我的个人看法），做出判断。（片尾有彩蛋）吟游诗人基德的微博视频
UncleLice,当年李宇春夺冠后，天娱试图通过招安李宇春贴吧的几位吧主，来介入粉丝群体的管理，最终几位吧主以集体辞职的方式表达了自己的态度，这是她们为李宇春及玉米群体做的最后一件，也是影响最为深远的一件事情。因为她们的高瞻远瞩，这十几年来，拥有如此庞大体量的玉米，没有后援会，没有管理层，没有站子，没有产生具备煽动力的大粉，这在内娱粉圈是绝无仅有只此一家。买专辑不集资，演唱会不黄牛，生日应援的方式是给玉米爱心基金捐款，所有人都处在同一层级上，所有人都与李宇春本人保持着同样的距离，你在台上唱，我在台下听，这就是我们最好的距离。辛辛苦苦维护这种良性的氛围，防的是什么？防的就是肖战今日之局面。成也粉丝，败也粉丝。其实做到这样并不难，难的是粉丝经济是一门生意，滚滚利来的时候，艺人以及团队是不是能克制住自己不去通过操纵粉丝来达到自己的目的，掌握话语权的粉丝又是不是能克制住自己不去滥用号召力越俎代庖。如果不能，那从一开始就不要赋予他们权力。最熟悉的陌生人，两不相欠，各自精彩。偶像与粉丝的分寸感，莫过于此。
