杨杨不是轴二呆,:瓜吃晚了。读过书的都知道，打小报告的人最恶心。
航运交易公报微博,:#海外港口#【“脱欧”后的英国港口已经准备提高吞吐量】新华社伦敦2月12日电（记者杨海若）如果英国最终没有与欧盟达成贸易协议，埃塞克斯（Essex）码头的最大投资商已准备将其吞吐量迅速提高30％，以缓解其他港口可能的拥堵。迪拜世界港口集团（DPWorld）首席执行官苏拉耶（SultanbinSulayem）表示，DPWorld可以通过将更多的起重机和其他设备带入码头，从而进一步提高伦敦门户的吞吐量。他说：“我们确认我们有能力立即做出反应，不会有任何拥堵。我们准备好了。”DPWorld拥有78个码头，占世界集装箱吞吐量9％的市场份额，在2013年开始运行的埃塞克斯码头的年吞吐量已达到240万标准箱（TEU）。2018年处理了130万标准箱。但是苏拉耶表示，英国的犹豫不决阻碍了该组织为未来做计划的能力。尽管DPWorld对英国经济的基本面持乐观态度，但他恳请议会迅速做出决定，以便开展业务。DPWorld还在南安普敦港经营一个集装箱码头，该公司希望在伦敦门户建立更多的泊位，以将产能提高到每年300万个标准箱，以满足对英格兰南部运输货物日益增长的需求。该组织还提议建立一个与伦敦门户相连的经济区，类似于该公司所在地区港口附近的杰贝·阿里自由区，其在过去的几十年中帮助推动了阿联酋的经济增长。DPWorld已委托安永（EY）为政府准备一份有关此类综合商业园区可为伦敦门户以及英国其他港口带来的经济利益的研究报告。（本资讯由“新华社一带一路国家级信息服务平台-新华丝路”提供“中国港口网www.chinaports.com”独家发布）
航运交易公报微博,:#海外港口#【印度新财年财政预算将加大港口方面建设力度】新华社孟买2月19日电（记者张亚东）印度财政部长西塔拉曼在2020—21财年的预算报告中表示，印度将进一步增加公路、高速公路和航运等方面基础设施的建设力度。根据印度财政部的安排，印度新财年将在基础设施领域投资16963.7亿卢比，其中公路、高速公路的投资额为8807亿卢比，与2019年同期相比增加10.6%，铁路方面的投资将达到2248亿卢比，航运方面的投资同比增长18.2%。印度财政部预算案中最重要的一项声明是，至少要将一个主要港口公司化，并在股市上市。此外，为促进经济增长，提高物流效率，印度政府将发布全国物流新政策。印度政府将很快发布全国物流政策，希望通过这一新的政策，打造一个单一窗口的物流市场，提高中小企业竞争力。无论是对印度国内产业，还是外贸发展来说，统一的物流市场具有重要意义。印度商务部在一份声明中表示，印度物流业的碎片化程度很高，所涉及的政府部门非常复杂，物流成本居高不下。印度目标是到2022年将物流成本从目前占GDP的14%降至10%以下。西塔拉曼表示，加快物流行业改革将促进印度出口增长。印度高昂的物流成本已经显著降低了其商品在国际市场上的竞争力。预算报告指出，该政策的有效实施将有助于推动贸易，提高出口竞争力，促进出口增长5-8%。（本资讯由“新华社一带一路国家级信息服务平台-新华丝路”提供“中国港口网www.chinaports.com”独家发布）
遵义发布,:【防止接触传染，#默克尔与内政部长握手被拒绝#：好吧！你是正确的】3月2日，在柏林举行的一场会议上，德国内政部长霍斯特·泽霍费尔拒绝了总理默克尔的握手请求。默克尔笑着表示理解，并表示“这是正确的做法”。2日，德国首都柏林确诊了首例感染新冠肺炎的病患截至2日15时，德国报告确诊人数增至157人。@环视频http://t.cn/A6795iZy
河北辛集中学一家人,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
贵州日报官微,:【全球第58位！贵州省2019年营商环境第三方评估报告出炉
杭州网,:#全球抗疫第一线#【世卫组织：#中国境外#新冠肺炎疫情#状况不容乐观！】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外#新冠肺炎疫情#状况不容乐观。截至欧洲中部时间2日10时（北京时间17时），中国境外共64个国家确诊新冠肺炎8774例，死亡共计128例。与前一日报告相比，中国境外新增新冠肺炎1598例。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。（央视）【#沙特确诊首例新冠肺炎#】当地时间2日晚，沙特卫生部发布公告，确诊一例新冠肺炎病例，患者已被医学隔离。公告显示，该患者从伊朗途经巴林返回沙特，在返回入境后被发现相关症状，随后检验结果显示其感染新型冠状病毒，该病例也是沙特境内首例确诊病例。（央视）【#意大利累计确诊超2000例#】当地时间3月2日18时，意大利民防部门负责人安杰洛·博雷利在例行疫情通报中表示，意大利共累计确诊2036例新型冠状病毒感染肺炎病例。其中，现存病例1835例，累计死亡病例52例，累计治愈149例。（央视）【#美国累计确诊100例新冠肺炎#】美国《纽约时报》援引美国卫生部门官员表态称，截至当地时间2日晚，美国境内新冠病毒感染病例数已达100例，其中包括6例死亡病例（全部发生在美国西北部华盛顿州）。另据卫生部门对感染病例基因分析显示，新冠病毒在华盛顿州宣布发现首例感染病例前至少6周，就已在当地社区传播。（央视）【#韩国新增477例新冠肺炎#累计确诊4812例新冠肺炎】据韩国卫生部门消息，截至当地时间3日0时，韩国再次确诊新增477例新型冠状病毒感染病例，感染者总数升至4812人，死亡29人。2日当天总共报新增600人确诊感染。另据今天，韩国国防部通报：截至当天上午，韩国军队内部累计确诊感染病例已增至31例。新增确诊患者2例来自大邱，1例为庆尚北道港口城市浦项的海军陆战队军官。目前，韩国已有约7410名现役军人在各自基地隔离，其中约860人属确诊患者的密切接触者，或表现出相关病症。（央视）【#日本累计确诊980例新冠肺炎#】截至当地时间3日上午10点半，日本共确诊980例新冠肺炎，其中包括在日本国内的感染者和中国游客等260人，“钻石公主”号邮轮的乘客和乘务人员706人，及乘坐日本政府包机回到日本国内的14人。其中在日本本土感染新冠肺炎死亡的有6人，在“钻石公主”号上感染死亡的6人，死亡人数共计12人。（央视）【欧洲地区累计报告新冠状病毒感染病例2750例】截至巴黎时间3月2日20时，欧洲地区累计报告新冠状病毒感染病例2750例，相比3月2日8时增加534例，其中意大利增加342例，法国增加61例，拉脱维亚、葡萄牙首现确诊病例。（欧洲时报）
陕西传媒网,:【WHO：过去一天#境外61国新增病例超中国9倍#，韩意伊日疫情最让人担心
FM99香格里拉之声,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报）
FM99香格里拉之声,:【#湖北新增114例新冠肺炎#，#湖北累计报告新冠肺炎67217例#】2020年3月2日0—24时，湖北省新增新冠肺炎确诊病例114例，其中：武汉市111例、黄冈市2例、荆门市1例，其他14个市州均为0例。全省新增病亡31例，其中：武汉市24例、黄冈市3例、随州市2例、宜昌市1例、仙桃市1例，其他12个市州均为0例。全省新增出院2410例，其中：武汉市1846例、孝感市163例、黄冈市83例、宜昌市48例、荆州市48例、十堰市32例、襄阳市28例、荆门市28例、随州市28例、鄂州市26例、黄石市23例、天门市21例、咸宁市19例、仙桃市6例、潜江市6例、恩施州5例、神农架林区0例。截至2020年3月2日24时，湖北省累计报告新冠肺炎确诊病例67217例，其中：武汉市49426例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1391例、随州市1307例、襄阳市1175例、黄石市1014例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。全省累计治愈出院36167例，其中：武汉市23031例、孝感市2560例、黄冈市2343例、荆州市1144例、襄阳市913例、随州市893例、鄂州市840例、黄石市752例、咸宁市749例、荆门市650例、宜昌市583例、十堰市491例、仙桃市467例、天门市414例、恩施州198例、潜江市128例、神农架林区11例。全省累计病亡2834例，其中：武汉市2251例、孝感市120例、黄冈市119例、荆州市48例、鄂州市48例、随州市42例、荆门市39例、黄石市35例、襄阳市34例、宜昌市32例、仙桃市20例、天门市14例、咸宁市12例、潜江市9例、十堰市7例、恩施州4例、神农架林区0例。目前仍在院治疗25050例，其中：重症5407例、危重症1186例，均在定点医疗机构接受隔离治疗。现有疑似病例434人，当日新增64人，当日排除157人，集中隔离434人。累计追踪密切接触者268546人，尚在接受医学观察28400人。
FM99香格里拉之声,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
宁德晚报,:【今年专技人员中级研修项目申报开始】3月2日，市人社局下发通知，今年继续组织实施专业技术人员中级研修项目，研修对象主要面向全市相关行业领域中级专业技术人员和管理人员，采取专题报告、研讨交流、现场教学等多种有效方式进行，申报时间截止3月16日。据介绍，2020年，市人社局将以装备制造、信息、生物技术、新材料、海洋、金融财会、生态环境保护、能源资源、防灾减灾、现代交通运输、农业科技、社会工作、公共卫生等13个重点领域和现代物流、电子商务、法律、咨询、会计、工业设计、知识产权、食品安全、旅游9个现代服务业领域为重点，兼顾地方和行业发展需求，开展研修活动。http://t.cn/A67CPv7W
love峰峰1987了,:#多所高校毕业生进行网络答辩#人家已经开始答辩了，我们连开题报告都不知道啥时候开
精益经营管理专家廖亮,:如何构建管控体系？首先进行分子公司分类，对每一类企业的根本特点确定一个管控原则，这个管控原则就是总部根据分子公司的情况特点，以及自己的管理能力，以及行业的特点，确定在集团管控中要管哪些内容、管到什么程度，就是管控宽度与管控深度问题，这是最重要的问题。当然，在分子公司分类的基础上，还要确定对于不同的职能条线，一个基本的管控原则，比如财务你是管到资金预算，还是深入管到项目的核算，也就是职能条线的管控宽度与管控深度问题。其次要在这个管控原则基础上进行权限划分，也是集团管控项目中最关键的部分，是所有管控活动中的关键环节，这个权限划分第一要考虑到分子经营灵活性的问题，也要考虑到母公司风险控制的问题，同时也要考虑到上下之间相互妥协的问题。第三根据权限划分，设计管控流程与管控制度，这个权限划分是点状管理，流程是线状管理，制度是面状管理，通过点线面的结合，让我们的管控体系能够更完善。第四，构建了管控体系，并不能保证这个体系、这些管控要求能够真正的落地实施，那么我们会通过建设管控机制来确保这个体系能够动起来，这些机制包括报告机制、会议机制、述职机制、审计稽核机制、委派机制以及考评机制，只有通过这些机制，不断把下面的经营信息拿上来，不断的通过会议来进行沟通协调，不断的通过审计稽核来发现问题责令整改，最后再通过考核奖惩来引导分子公司的行为，才能让我的管控体系得以运行，让我们的管控目标得以实现。
鹤壁日报,:#豫见疫情防控#【3月2日河南省无新增新冠肺炎确诊病例出院18例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。　　截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。　　目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
汕头e京网,:#潮汕身边事#【揭阳确诊病例清零！最后2例新冠肺炎患者今天上午出院】3月3日，在揭阳市委市政府和市卫生健康局的坚强领导下，经揭阳市人民医院医护人员的精心诊治，揭阳市现有最后两例新冠肺炎确诊患者陆某和庄某相关指标符合国家卫生健康委《新型冠状病毒肺炎诊疗方案(试行第六版)》出院标准，于上午出院。至此，揭阳全市累计报告的8例新冠肺炎确诊病例，已全部出院。
淮南同城会,:#淮南生活#【3月3日淮南市报告新型冠状病毒肺炎疫情情况】2020年3月2日0-24时，淮南市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例，新增治愈出院病例1例。截至3月2日24时，淮南市累计报告新型冠状病毒肺炎确诊病例27例，其中：八公山区2例、潘集区2例、凤台县14例（其中毛集实验区1例）、田家庵区9例（其中高新区3例）。累计出院23例，其中：凤台县12例（其中毛集实验区1例），潘集区2例、田家庵区7例（其中高新区2例），八公山区2例。累计医学观察密切接触者665人，尚在医学观察1人。via市卫生健康委员会
香山网,:连续14天！珠海无新增！据市卫健局消息，3月3日8:48，广东省卫生健康委公布，珠海市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计确诊病例98例，累计死亡病例1例，累计治愈出院81例，现有在院病例16例。当日报告疑似病例0例，排除0例，现有疑似病例0例。现有7名密切接触者正在接受医学观察。珠海，保持住！希望疫情早日结束！来源：珠海特区报#珠海##珠海身边事#
维他命网络,:#宜宾爆料##宜宾疫情#【宜宾这人些从重疫区回到宜宾后隐瞒不报，全部遭了！】疫情防控开展以来，宜宾西郊街道在日常排查中发现仍有少数来宜返宜人员拒不到物业、村(居)民小组和社区(村)登记报告，甚至在社区和物业人员询问时隐瞒不报。通过公安机关高铁、机场每日大数据反馈，确定其未主动登记报告事实，公安机关依法对其违法行为进行取证并训诫，希广大居民朋友互相转告，引以为戒!1、金沙江社区江语城小区刘某隐瞒深圳旅居史情况，2020年2月19日西郊派出所对刘某进行训诫。2、两路桥社区苗圃路108号大院何某隐瞒其儿子一家从深圳返宜情况，2020年2月20日西郊派出所对何某父子进行训诫。3、金沙江社区滨江国际A区陈某隐瞒从深圳返宜情况，2020年2月22日西郊派出所对陈某进行训诫。4、金沙江社区理想城小区杨某隐瞒从深圳出差返宜情况，2020年2月27日西郊派出所对杨某进行训诫。
荆州日报,:#抗击疫情荆州在行动#【全市第一个！江陵县确诊病例、疑似病例清零】截至3月2日24时，全县累计报告新型冠状病毒肺炎确诊病例34例（当日转诊上级定点医院1例），当日无新增确诊病例，累计确诊病例出院33例（新增出院1例），死亡1例，在院接受治疗0例。现有新型冠状病毒肺炎疑似病例0例。江陵县新型冠状病毒肺炎确诊和疑似病例实现清零。一、各乡镇（管理区）疫情情况（见下图）二、新增确诊病例出院情况病例1男，33岁，现住址：江陵县三湖管理区二分场。2月17日身体不适即入院，2月20日确诊，3月2日出院。江陵县新型冠状病毒感染的肺炎疫情防控指挥部2020年3月3日
今日海峡,:【海峡焦点|#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（人民日报）
多彩贵州网,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
北仑头条,:#全球疫情#【WHO：过去一天境外61国新增病例超中国9倍，韩意伊日疫情最让人担心
博鳌英语好声音_许欢欢,:热点事件～～【每日疫情走势|15秒视频了解疫情数据】根据国家卫健委今天公布的数据，截止到3月2日24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，#31省区市新增125例新冠肺炎#其中湖北新增确诊114例（武汉111例）。目前全国累计报告确诊病例80151例，累计治愈出院47204例。#湖北以外连续2天无新增死亡病例#（广州日报全媒体记者罗知锋）http://t.cn/A67Kks1B
潍坊交通广播,:发布了头条文章：《逆风而上的春潮——山东民企爱心战“疫”报告》逆风而上的春潮——山东民企爱心战“疫”报告
金牛财经,:防止接触传染，#默克尔与内政部长握手被拒#：好吧！你是正确的！3月2日，在柏林举行的一场会议上，德国内政部长霍斯特·泽霍费尔拒绝了总理默克尔的握手请求。默克尔笑着表示理解，并表示“这是正确的做法”。2日，德国首都柏林确诊了首例感染新冠肺炎的病患。截至2日15时，德国报告确诊人数增至157人。http://t.cn/A6795iZy
lxyy小耳朵,:#弘杨[超话]#报告！B站的憋惹挑战更新啦
达州同城会,:【达州新型冠状病毒肺炎疫情详细情况】截至3月2日24时，达州市累计报告新型冠状病毒肺炎确诊病例42例，其中：通川区5例、达川区3例、宣汉县5例、大竹县6例、渠县8例、开江县11例、万源市4例。42例患者中，重症2例，新增出院1例，累计治愈出院28例，其余患者病情稳定。目前，累计追踪到密切接触者2769人并实行医学观察，现已解除医学观察2531人，继续接受医学观察238人。
蟹佳蟹,#王俊凯[超话]#☺😊😄@TFBOYS-王俊凯Hyan-Yang的微博视频
恩施新闻网,:#湖北加油恩施挺住#【最新数据！恩施州各县市疫情详报】2020年3月2日0时-24时，全州无新增新冠肺炎确诊病例。新增治愈出院5例（恩施市2例、建始县2例、宣恩县1例）。截至2020年3月2日24时，全州累计报告新冠肺炎病例252例。其中：恩施市57例、利川市58例、建始县47例、巴东县22例、宣恩县25例、咸丰县15例、来凤县12例、鹤峰县16例。在院治疗50例，其中：重症病例10例（恩施市3例、建始县3例、巴东县1例、宣恩县2例、鹤峰县1例）；危重病例7例（恩施市1例、利川市1例、建始县2例、巴东县1例、咸丰县2例）。累计治愈出院198例（恩施市48例、利川市45例、建始县32例、巴东县20例、宣恩县20例、咸丰县11例、来凤县10例、鹤峰县12例）。累计死亡4例（巴东县1例、宣恩县2例、鹤峰县1例）。2020年3月2日0时-24时，全州无新增疑似病例。现有疑似病例1例（恩施市）。累计追踪密切接触者11715人，尚在接受医学观察131人。http://t.cn/A679JX3k
信阳同城,:【信阳无新增确诊，无疑似！现存住院2例】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。#31省区市新增125例新冠肺炎##河南零确诊#
南通电视台,:【南通市新型冠状病毒肺炎疫情通报（3月3日）】2020年3月2日0-24时，我市无新增新型冠状病毒肺炎确诊病例。新增出院病例3例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，已全部治愈出院。目前，共追踪密切接触者1318人，已解除医学观察1307人，尚有11人正在接受医学观察。http://t.cn/A679JSLi
恩施发布,:#湖北加油恩施挺住#【最新数据！恩施州各县市疫情详报】2020年3月2日0时-24时，全州无新增新冠肺炎确诊病例。新增治愈出院5例（恩施市2例、建始县2例、宣恩县1例）。截至2020年3月2日24时，全州累计报告新冠肺炎病例252例。其中：恩施市57例、利川市58例、建始县47例、巴东县22例、宣恩县25例、咸丰县15例、来凤县12例、鹤峰县16例。在院治疗50例，其中：重症病例10例（恩施市3例、建始县3例、巴东县1例、宣恩县2例、鹤峰县1例）；危重病例7例（恩施市1例、利川市1例、建始县2例、巴东县1例、咸丰县2例）。累计治愈出院198例（恩施市48例、利川市45例、建始县32例、巴东县20例、宣恩县20例、咸丰县11例、来凤县10例、鹤峰县12例）。累计死亡4例（巴东县1例、宣恩县2例、鹤峰县1例）。2020年3月2日0时-24时，全州无新增疑似病例。现有疑似病例1例（恩施市）。累计追踪密切接触者11715人，尚在接受医学观察131人。http://t.cn/A679JX3k
实践融媒,:发布了头条文章：《2020年3月2日7时至3日8时内蒙古自治区新冠肺炎疫情情况》2020年3月2日7时至3日8时，内蒙古自治区报告无新增新冠肺炎确诊病例，无新增疑似病例，新增出院确诊病例3例，新增死亡病例1例。2020年3月2日7时至3日8时内蒙古自治区新冠肺炎疫情情况
山西教育招生考试,:【#山西连续7天0新增！现有疑似病例0例#】#最新疫情地图#2020年3月2日0时至24时，山西省无新增#新型冠状病毒#肺炎确诊病例，累计报告确诊病例133例。新增治愈出院3例，累计治愈出院119例。现有在院隔离治疗确诊病例14例，其中危重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察9人，尚在医学观察的密切接触者119人。（山西发布）
人性本恶1986,:《浙江新增7病例来自意大利，全国多地现境外输入病例》3月2日，除湖北外30个省区市新增11例确诊病例，其中7例来自浙江，均为丽水市青田县报告的意大利输入病例。http://t.cn/A679JbH9
RationalBear,大敌当前，某府官竟调查抗战游击队不具有抗战资质！真是天大的笑话！独家回应：李跃华解释自己的行医资格问题
肥喵Thomas,:看見自己不爽的男同學紅領巾戴歪了，就去找班主任打小報告。貴國互聯網用戶低齡化之後，出現這樣的行爲邏輯也是必然
surprise喵喵zzz,:咚咚咚，起床吃早餐。叮叮叮，身体不适记得下来量体温。咚咚咚，量体温。然后听到走廊隔离的人聊天想着办法的要走，电话铃声又叮叮响起，专家组来了快把你的检查报告拿下来。然而我的核酸检查报告过了5天还没出来呀
开心慢跑,067号。抗疫三十七。烟花三月已来到，病毒依旧在胡闹。今年莫提扬州事，呆在家中更可靠。
西二铺乡,#权威发布#【3月3日宿州市报告新型冠状病毒肺炎疫情情况】2020年3月2日0时至24时，宿州市无新增确诊病例，无新增疑似病例。无新增治愈出院病例。截至3月2日24时，宿州市累计报告确诊病例41例，无危重和死亡病例，累计治愈出院37例，在院治疗4例。累计医学观察密切接触者1894人，尚在医学观察6人。累计确诊病例中，埇桥区20例，灵璧县7例，砀山县7例，泗县6例，萧县1例。3月3日即将治愈出院1例，其中埇桥区1例。温馨提示：要复工，体温报；防新冠，多开窗；勤洗手，戴口罩；分餐吃，一米遥；欲咳嗽，应避人；身有恙，要上报。（徐婧雯）
成都反邪教,:#都知道#【四川3月2日无新增确诊病例，无新增死亡病例】3月2日0-24时，四川省新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例11例，无新增疑似病例，无新增死亡病例。（确诊患者信息详见各市（州）卫生健康委官微或官网每日发布）截至3月3日0时，我省累计报告新型冠状病毒肺炎确诊病例538例，涉及21个市（州）。全省现有无现症病例区（低风险县<市、区>）128个、散发病例区（中风险县<市、区>）54个、社区暴发和局部流行区（高风险县<市、区>）1个（过去24小时新增江油市、蓬溪县、大英县、邻水县为低风险县<市>）。538名确诊患者中，正在住院隔离治疗146人（其中危重2人），已治愈出院389人，死亡3人。现有疑似病例1例。当日解除医学观察64人，现有884人正在接受医学观察。@健康四川官微
海事知音广播台,:3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（源知乎）
落霞皛鸥,:最新！31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，湖北新增114例。中国加油🙏>>http://t.cn/A679xkQw精选集：新病毒疫情最新病例，共76个作品，快来围观吧
