盘龙MoreLife,:#盘龙君和你一起战疫##疫情最新情况#【连续13天无新增！截至3月4日24时，云南累计治愈出院169例，现有确诊病例3例】3月4日12时至24时，无新增确诊病例。截至3月4日24时，已连续13天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察39人，正在观察60人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南发布）@昆明盘龙发布
尐魚忘七秒,:《云南大理调拨20万毫升血液“驰援”湖北》2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。http://t.cn/A67cqs3a
文旅新闻,:#大理##大理最后一例新冠肺炎患者治愈出院#【清零！大理州最后一例新冠肺炎患者治愈出院！】2月29日上午，云报文旅全媒体记者了解到，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。据了解，患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。原文链接：http://t.cn/A67cqVev
大理电视台,:【云南白药清逸堂向大理州援鄂医疗队捐赠抗疫物资】
都市时报,:#云南新闻#【清零！大理最后一例新冠肺炎患者出院！】今天上午，大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例！http://t.cn/A67c4Kmd
云南坤鹏视频,:#抗击新型肺炎##大理#【清零！大理最后一例新冠肺炎患者出院！】清零！大理最后一例新冠肺炎患者出院！患者屠某长期居住在武汉，女，64岁。1月28日，自觉身体不适到大理市第一人民医院检查，考虑新型冠状病毒肺炎疑似病例。1月29日，收住大理州人民医院隔离病区治疗。通过治疗，2月29日治愈出院。截止目前，大理州13例新冠肺炎肺炎患者已全部治愈出院，无新增病例！
BG8SOI,:【大理也清零啦】大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。大理州累计确诊13例患者全部治愈出院。清零不等于可以放松，战“疫”还未结束，不获全胜，不言成功。
大理政法,:【大理也清零啦】据@大理电视台消息，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。大理州累计确诊13例患者全部治愈出院。@云南政法
云南省人民政府网,:【大理州新冠肺炎病例“清零”】2月29日上午，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。疫情发生以来，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。@大理电视台
微博大理,:【大理也清零啦】据@大理电视台消息，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。大理州累计确诊13例患者全部治愈出院。
DL赵红,【刚刚，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。】刚刚，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。疫情发生以来，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。
祥云融媒,:刚刚，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。刚刚，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。】刚刚，大理州最后一例新冠肺炎患者在大理州人民医院治愈出院。疫情发生以来，大理州累计确诊的13例患者全部治愈出院，这也标志着大理州新冠肺炎疫情防治取得了阶段性胜利。来源：大理电视台
有方居士2017,:《云南大理调拨20万毫升血液“驰援”湖北》2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。http://t.cn/A67tMTeu
用户6391732150,:《云南大理调拨20万毫升血液“驰援”湖北》2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。http://t.cn/A675RkKj
如果时间有距离,:现在大理真的是很猖狂了，现在深夜02:10时间，大理州医院扩建的这个项目还有两台挖掘机在疯狂的挖掘！在这样的时间点，在疫情还未完全解除的情况下居然还能这样施工！就请问相关部门了，这样的情况还要持续多久？在凌晨2点之后继续施工是何部门给他们开出了便利？@问政大理@大理市在线@大理环保@大理日报@央视新闻@新京报http://t.cn/A675HAEm
Z张战Z,:《云南大理调拨20万毫升血液“驰援”湖北》2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。http://t.cn/A675KN7S
米抒,:【#大理调拨20万毫升血液驰援湖北#】2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。因疫情防控工作需要，2月26日，国家卫生健康委启动全国血液供应联动保障机制，27日，云南省卫生健康委紧急筹集血液。大理第一时间响应号召，在确保用血安全的前提下，紧急调配20万毫升血液支援湖北。（央视新闻）
都市时报,:【#大理调拨20万毫升血液驰援湖北#】2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。因疫情防控工作需要，2月26日，国家卫生健康委启动全国血液供应联动保障机制，27日，云南省卫生健康委紧急筹集血液。大理第一时间响应号召，在确保用血安全的前提下，紧急调配20万毫升血液支援湖北。（央视新闻）
玉蕊红梅,:#共战疫情大理行动#2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理州支援湖北的20万毫升爱心血液出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。自/大理日报#联防联控云南在行动#@无偿献血那些事@首都献血哥-王小军@献血者@无偿献血者--孙财@无偿献血者鄱湖相约永恒@中华骨髓库@社法大理@神玉源
赵志心2012,:【云南大理调拨20万毫升血液“驰援”湖北】2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。因疫情防控工作需要，2月26日，国家卫生健康委启动全国血液供应联动保障机制，27日，云南省卫生健康委紧急筹集血液。大理第一时间响应号召，在确保用血安全的前提下，紧急调配20万毫升血液支援湖北。（央视新闻）http://t.cn/RghlcLS
昂首等待,:《云南大理调拨20万毫升血液“驰援”湖北》2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。http://t.cn/A675Agju
PingWest品玩,:【云南大理调拨20万毫升血液“驰援”湖北】2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。因疫情防控工作需要，2月26日，国家卫生健康委启动全国血液供应联动保障机制，27日，云南省卫生健康委紧急筹集血液。大理第一时间响应号召，在确保用血安全的前提下，紧急调配20万毫升血液支援湖北。（央视新闻）
眼镜儿陆,:#眼镜儿看世界[超话]#2月28日，随着3辆送血车缓缓驶离大理州中心血站，大理支援湖北的20万毫升爱心血液正式出发。这批血液将由云南省昆明血液中心统一送往湖北，支援疫情防控医疗一线。
名城巍山,中共大理州委大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第13号关于公布大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告根据疫情防控需要，现公布大理州第四批疫情防控物资重点保供企业（单位）名录。请各金融机构发挥各自优势，开启疫情防控融资服务绿色通道，主动加强与名录内企业（单位）对接，提供所需贷款和优惠利率信贷支持，全力保障疫情防控关键时期急需物资的生产和供应，助力打赢疫情防控阻击战。附件：大理州疫情防控物资重点保供企业（单位）名录（第四批）大理州委州政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部2020年2月28日
鱼在水里哭,:[玫瑰][玫瑰][玫瑰]见证温暖、感恩奉献：今天上午十点，在大理州血液中心大院，我们见证了大理白族自治州“血脉相连.共抗疫情—大理爱心血液驰援湖北"出征仪式；20万毫升鲜血、1千个单位、三辆送血车代表着大理人民对武汉人民的满满情意与祝福……为爱❤️奉献生命血的志愿者们送上一份暖暖的敬意；为疫情时期付出一切保大家平安的奉献者一份深深的祝福……
社法大理,:#共战疫情大理行动#【见证温暖
科普永平,:［实时辟谣］这些“谣言”别信！@手机浏览器http://t.cn/A67q5I15美丽云南微科普@科普中国@大理科普@大理州科学素质行动
科普永平,:［抗疫防控科普］中国口罩需求量究竟有多大？@手机浏览器http://t.cn/A67q5z9o美丽云南微科普@科普中国@大理州科学素质行动@大理科普
科普永平,:［抗疫防控科普］为何要用新冠肺炎康复者的血浆，治疗新冠肺炎重症病人？@手机浏览器http://t.cn/A67qqrB7美丽云南微科普@科普中国@大理州科学素质行动@大理科普
科普永平,:［抗疫防控科普］出院后复检呈阳性？会不会感染其他人？专家回应这样说…@手机浏览器http://t.cn/A67qqYet美丽云南微科普@科普中国@大理州科学素质行动@大理科普
科普永平,:上班族防疫，膳食指导早知道!@手机浏览器http://t.cn/A67qqCwX美丽云南微科普@科普中国@大理州科学素质行动@大理科普
大理日报,:【大理州发布第13号通告】公布大理州第四批疫情防控物资重点保供企业（单位）名录】http://t.cn/A67qbTWl
大理发布,:2月28日，大理州20万毫升爱心血液驰援湖北！
问政南涧,:发布了头条文章：关于大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告关于大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告
大理发布,:中共大理州委大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第13号关于公布大理州疫情防控物资重点保供企业（单位）名录（第四批）的通告根据疫情防控需要，现公布大理州第四批疫情防控物资重点保供企业（单位）名录。请各金融机构发挥各自优势，开启疫情防控融资服务绿色通道，主动加强与名录内企业（单位）对接，提供所需贷款和优惠利率信贷支持，全力保障疫情防控关键时期急需物资的生产和供应，助力打赢疫情防控阻击战。附件：大理州疫情防控物资重点保供企业（单位）名录（第四批）大理州委州政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部2020年2月28日
大理环保,:大理州推动绿色发展丨南涧县无量山镇：守住绿水青山　换来金山银山近年来，南涧县无量山镇秉承绿色发展理念，大力开展“森林无量”“绿色无量”“美丽无量”建设，既守住了绿水青山，又赢得金山银山。筑牢生态屏障。依托“山长制”、生态护林员等政策制度，严防森林火灾，强化植树造林，积极做好森林病虫害防治以及林地管护工作，严厉打击林地违法犯罪活动。目前，全镇林地面积达29.36万亩，森林覆盖率62.95%，林木绿化率72.43%。随着生态环境不断改善，辖区栏杆箐林区内原来已濒临灭绝的国家一级重点保护动物西黑冠长臂猿，现已监测到3群11只。建设美丽村庄。坚持将生态理念融入村庄建设项目规划设计、建设管理全过程，建设一批彝族特色村、民族团结村和美丽新农村，着力打造宜居宜业宜游的美丽村庄。同时，不断强化农村人居环境整治工作，建成集镇区公厕2个、户厕1386个，以及占地600平方米、日处理能力5吨的华山烂泥箐自燃式垃圾热解站，集镇环境卫生保洁工作实现市场化运营，全镇人居环境明显改善。发展绿色经济。依托“高山、净土、生态”资源，巩固好以生猪、肉牛、核桃、茶叶为主的高原特色农业，努力将绿水青山生态优势转化为金山银山发展优势，让群众共享绿色生态经济“红利”。目前，全镇种植泡核桃12万亩、年产值3021万元，茶园面积3.01万亩、年产值3540万元，种植“森林蔬菜”和“森林水果”1.19万亩。打造健康生活目的地。按照“文旅引领、三产融合、多业叠加、绿色发展、健康生活”的发展导向，以无量山樱花谷、无量药谷为核心，打造健康生活目的地。目前，德安村入选首批国家旅游扶贫试点村；无量药谷成为全球最具规模的原生态三七种植基地和企业自营药材基地，集三七种植、靶向健康品、复古农业、户外运动、康养度假为一体的大健康产业基础已经形成。
云南政法,:【大理为医务人员捐度假客房已募集10605间】大理州客栈民宿行业协会、大理市客栈协会日前联合发起倡议，呼吁民宿、客栈、酒店捐赠度假疗休房，送给在一线抗击疫情的医务工作者。截至2月24日已募集到客房10605间。此前大理旅游集团已宣布，蝴蝶泉等景区对医务工作者免费开放。@大理政法http://t.cn/A67ztbOi
大理政法,:#大理抗疫在行动#【大理为医务人员捐度假客房已募集10605间】大理州客栈民宿行业协会、大理市客栈协会日前联合发起倡议，呼吁民宿、客栈、酒店捐赠度假疗休房，送给在一线抗击疫情的医务工作者。截至2月24日已募集到客房10605间。此前大理旅游集团已宣布，蝴蝶泉等景区对医务工作者免费开放。@云南政法http://t.cn/A67ztbOi
会讲故事的大脚,:吃大锅药撒，小时候的味道
云南发布,:#疫情最新情况#【无新增！截至2月28日12时，云南治愈出院156例，现有确诊病例16例】2月28日0时至12时，无新增确诊病例，新增治愈出院病例6例（昭通市5例，红河州1例）。截至2月28日12时，全省累计确诊病例174例，治愈出院156例，死亡2例，现有确诊病例16例，无重症、危重症病例。现有疑似病例10例。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院20例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院12例），保山市9例（治愈出院8例），红河州9例（治愈出院8例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。（云南省卫生健康委员会）
昆明铁路,:#疫情防控交通动态##交通战疫24小时#【务工专列飘扬鲜红的旗帜】“疫情就是命令，防控就是责任。从大理站发往广州南站的务专列上，580名务工人员的安全健康保障是头等大事，是紧急战＂疫＂，关键时刻党员冲在前！大理州巍山县人民政府、昆明客运段、昆明车辆段、开远乘警支队的随车党员成立“临时党支部”，共同组建了疫情防控堡垒，每一个党员就是一面旗帜，他们坚守初心，勇担使命，用严密措施做好防控，用温馨服务温暖着每一位务工人员，祝福他们一路平安……#湖北以外新增确诊病例9例#（图文蒋志飞李选逵）@中国铁路@微博铁路
third绝色,:请求查明每次定点限量发放口罩的真实数量及去向。@大理州总工会@微博大理大理白族自治州·洱海
云南消防,:#一线救援#【深夜突发车祸@宾川县消防救援大队奋力营救】2月27日凌晨，大理州宾川县乔甸镇海稍路段一辆面包车撞到路边电杆上，车头严重变形，驾驶员被死死卡在座位与方向盘中间不能动弹。消防救援人员到达现场后利用工具对事故车辆进行破拆，经过近40分钟的紧张救援，被困人员被成功救出。#火焰蓝守护平安#
科普永平,:［抗疫防控科普］新冠肺炎期间孕妈妈如何进行产前检查？@手机浏览器http://t.cn/A67UMyhO永平科素@美丽云南微科普@科普中国@大理州科学素质行动@大理科普
科普永平,:［抗疫防控科普］新冠肺炎流行期间要不要带娃打疫苗？@手机浏览器http://t.cn/A67UIFYi大理科普@美丽云南微科普@科普中国@大理州科学素质行动@大理科普
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67UImyc大理科普@美丽云南微科普@科普中国@大理州科学素质行动
科普永平,:［抗疫防控科普］老年人如何战“疫”？这六条一定要注意@手机浏览器http://t.cn/A67Uf0Jq美丽云南微科普@科普中国@大理州科学素质行动
大理融媒,:【关于近期大理州招生考试有关工作安排的通告】根据教育部、云南省教育厅有关新冠肺炎疫情防控工作要求和招生考试工作部署，结合大理州防控工作实际，为有效减少人员流动、聚集带来的疫情扩散风险，切实保障广大考生和考试工作人员的生命安全和身体健康，现将我州近期招生考试有关工作安排通告如下：http://t.cn/A67yFewxhttp://t.cn/RxnDutB
巍山微视,:大理州首趟赴广州农民工专列11：53从大理站出发，目前已经安全通过南宁。随车医务人员为580名农民工进行第二次体温监测，所有人员体温正常。大理白族自治州·巍山彝族回族自治县
坚定的路标,:大理州发布任前公示严启红拟提名为大理市长候选人http://t.cn/A6hsSyWV
健康大理,:¡¾下关一中校友爱心团捐赠价值约15万元的抗疫医疗物资¡¿“这里有欧盟标准医用N95口罩2000只，医用隔离衣409件，手消毒液及啫喱1480瓶，我们想捐赠给一线医护人员。”2月25日，通过大理州红十字会，钟颖茜、李蒲瑜、杨舒影、木一青、雷雅婷等人带着下关一...下关一中校友爱心团捐赠价值约15万元的抗疫医疗物资
健康大理,:大理州应对新冠肺炎疫情分区分级防控措施大理州应对新冠肺炎疫情分区分级防控措施
大理日报,:【大理州各大医院恢复门诊】随着复工复产有序推进，结合当前疫情形势，我州多家医院已逐步有序开放门诊诊疗服务。但要提醒大家的是：大理州人民医院、大理大学第一附属医院、大理州中医医院等都推行预约就诊，并严格执行实名制就诊。因此，建议大家就诊前先对各医院的相关规定进行了解。http://t.cn/A67yLpPq
上善建水,:【尽锐出战，云南省十批医疗队支援湖北省疫情防控】抽调了来自省卫生健康委和16个省级医疗卫生单位，以及昆明市、曲靖市、红河州、楚雄州、大理州、文山州、玉溪市、普洱市、临沧市、丽江市10个州市共121所医疗卫生机构（含57所三甲医院）的各专业、各领域最优秀人才共10批铁军奔赴湖北。截至2月24日，云南省共向湖北派出由重症医学、呼吸、感染性疾病、医院感染控制、心理卫生、心内、护理、中医、疾控等人员组成的10批工作队1156人。（云南省委省政府应对新冠肺炎疫情工作领导小组指挥部办公室主任，云南省卫生健康委员会主任杨洋）
凯铭2018,:位于我国西南部的云南省，是我国拥有地级州数量最多的省，有8个州，大理就是其中之一。云南省省会昆明以西有个楚雄州，楚雄州以西就是大理州。说到大理，有几个地理名词需要理顺一下。武侠迷想到大理，第一反应可能是《天龙八部》中段王爷的那个大理国，旅游爱好者想到大理，可能首先想到的是大理古城。现在的大理有两层所指，一是指云南省大理州，这是地级行政区。大理州的治所在大理市，但大理市是县级行政区。...http://t.cn/A67yzp0x
网红旅行攻略推荐,:云南大理州鹤庆县的黄龙潭#不止旅行##网红打卡胜地##自驾游#
姜宏霏,【从小学先锋，长大当先锋】近日，在漾濞县少工委的号召下，大理州漾濞县上街完小的少先队员们在家录制了手语舞视频《不放弃》，以此向奋战在各自岗位上的医护人员、人民警察、行政执法人员和后勤保障人员等身处抗“疫”一线的人们致敬，为武汉加油！大理白族自治州·漾濞彝族自治县漾濞团县委的微博视频
杨项中老师微信18288281669,:当年（1987年）读大理师范学校时的师兄杜武，现任中国书法家协会-大理州书法家协会主席的交流
云南广播电视台,:【尽锐出战，云南省十批医疗队支援湖北省疫情防控】抽调了来自省卫生健康委和16个省级医疗卫生单位，以及昆明市、曲靖市、红河州、楚雄州、大理州、文山州、玉溪市、普洱市、临沧市、丽江市10个州市共121所医疗卫生机构（含57所三甲医院）的各专业、各领域最优秀人才共10批铁军奔赴湖北。截至2月24日，云南省共向湖北派出由重症医学、呼吸、感染性疾病、医院感染控制、心理卫生、心内、护理、中医、疾控等人员组成的10批工作队1156人。（云南省委省政府应对新冠肺炎疫情工作领导小组指挥部办公室主任，云南省卫生健康委员会主任杨洋）#风雨同心驰援咸宁#
问政大理,:中共大理州委大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第12号大理州应对新冠肺炎疫情分区分级防控措施
云南发布,:#网上新闻发布厅#【尽锐出战，云南省十批医疗队支援湖北省疫情防控】抽调了来自省卫生健康委和16个省级医疗卫生单位，以及昆明市、曲靖市、红河州、楚雄州、大理州、文山州、玉溪市、普洱市、临沧市、丽江市10个州市共121所医疗卫生机构（含57所三甲医院）的各专业、各领域最优秀人才共10批铁军奔赴湖北。截至2月24日，云南省共向湖北派出由重症医学、呼吸、感染性疾病、医院感染控制、心理卫生、心内、护理、中医、疾控等人员组成的10批工作队1156人。（云南省委省政府应对新冠肺炎疫情工作领导小组指挥部办公室主任，云南省卫生健康委员会主任杨洋）
杨项中老师微信18288281669,:与大理州书法家协会主席杜武师兄交流
大理市古城保护管理局,:大理州应对新冠肺炎疫情分区分级防控措施
曲靖政法,【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@大理政法http://t.cn/A67PyRw7
问政南涧,:发布了头条文章：大理州应对新冠肺炎疫情分区分级防控措施大理州应对新冠肺炎疫情分区分级防控措施
文旅新闻,:#大理旅游##大理景区##大理州发布第12号通告#【大理州发布第12号通告：外来人员分类管理，景区景点开放待定】2月26日晚，云报文旅全媒体记者从大理州委州政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部获悉，大理州发布第12号通告，明确大理州应对新冠肺炎疫情分区分级防控措施。措施中指出，全州各级各类学校开学及旅游景区景点开放时间另行通知，对进入大理州的来自不同疫情地区的外来人员实行分类管理，对不同风险等级县市实行分区分级管理，低风险地区全面复工复产复业，有序开放经营场所，全面恢复交通，全面取消小区、村组封闭式管理，加强环境治理等。详戳：http://t.cn/A672VhCI@云南日报@云南网@云南文化旅游发布厅@大理日报
云报文旅,:#大理旅游##大理景区##大理州发布第12号通告#【大理州发布第12号通告：外来人员分类管理，景区景点开放待定】2月26日晚，云报文旅全媒体记者从大理州委州政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部获悉，大理州发布第12号通告，明确大理州应对新冠肺炎疫情分区分级防控措施。措施中指出，全州各级各类学校开学及旅游景区景点开放时间另行通知，对进入大理州的来自不同疫情地区的外来人员实行分类管理，对不同风险等级县市实行分区分级管理，低风险地区全面复工复产复业，有序开放经营场所，全面恢复交通，全面取消小区、村组封闭式管理，加强环境治理等。详戳：http://t.cn/A672VhCI@云南日报@云南网@云南文化旅游发布厅@大理日报
大理公安在线,:【这位小姐姐被骗五十多万！捂紧你的钱袋子，这就是防骗秘笈】新的一年，诈骗依旧猖獗，鉴于辖区内接到网络诈骗的报警比较突出，大理州鹤庆县公安局对一些案件进行了梳理，并以短剧的方式呈现，提醒广大群众擦亮眼睛，防止受骗，守住自己的血汗钱。民警提醒大家，面对电信诈骗，守住口袋，只要不转账不打钱，你就是赢家！@大理政法@云南警方@云岭政法@中国长安网@警民携手同行@中国警察网http://t.cn/A67PHxln
华坪政法,【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@大理政法http://t.cn/A67PyRw7
怒江政法,【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@大理政法http://t.cn/A67PyRw7
楚雄州政法,【护“逆行者”出征盼“勇士”平安归来
心声聚焦,:《重磅！大理州发布第12号通告，全面取消居民小区（村组）封闭管理》中共大理州委、大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第12号。http://t.cn/A67AgUhr
大理市检院,【跨区域生态检察　助力生态环境保护】为深入贯彻最高人民检察院《关于长江经济带检察机关办理长江流域生态环境案件加强协作配合的意见》和《云南省关于开展生物多样性保护专项活动的实施方案》，加强丽江市玉龙纳西族自治县、大理州剑川县、怒江州兰坪白族普米族自治县检察机关在老君山国家公园生态环境保护中跨区域检察协作配合，形成同防同治监督合力，打造老君山国家公园保护共同体，助力生物多样性保护。2月25日，兰坪县检察院党组书记、检察长李碧琮签署了《关于建立老君山国家公园生态环境保护跨区域协作机制的意见》（以下称《意见》）。http://t.cn/A67A3aXi
保山政法,【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@大理政法http://t.cn/A67PyRw7
问政大理云龙,:中共大理州委大理州人民政府应对新型冠状病毒感染肺炎疫情防控工作领导小组指挥部通告第12号
云南省人民检察院,:【跨区域生态检察　助力生态环境保护】为深入贯彻最高人民检察院《关于长江经济带检察机关办理长江流域生态环境案件加强协作配合的意见》和《云南省关于开展生物多样性保护专项活动的实施方案》，加强丽江市玉龙纳西族自治县、大理州剑川县、怒江州兰坪白族普米族自治县检察机关在老君山国家公园生态环境保护中跨区域检察协作配合，形成同防同治监督合力，打造老君山国家公园保护共同体，助力生物多样性保护。2月25日，兰坪县检察院党组书记、检察长李碧琮签署了《关于建立老君山国家公园生态环境保护跨区域协作机制的意见》（以下称《意见》）。http://t.cn/A67A3aXi
云南发布,:#疫情最新情况#【无新增！截至2月26日24时，云南治愈出院144例，现有确诊病例28例】2月26日12时至24时，无新增确诊病例。截至2月26日24时，全省累计确诊病例174例，治愈出院144例，死亡2例，现有确诊病例28例，其中重症1例。现有疑似病例17例。密切接触者当日解除医学观察227人，正在观察336人。各州市累计确诊病例：昆明市53例（治愈出院48例），昭通市25例（治愈出院15例），西双版纳州15例（治愈出院12例、死亡1例），玉溪市14例（治愈出院12例、死亡1例），曲靖市13例（治愈出院10例），大理州13例（治愈出院12例），保山市9例（治愈出院8例），红河州9例（治愈出院5例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。（云南省卫生健康委员会）
云南理论网,:【大理万余间疗休房准备完毕，将免费提供给一线抗疫医护人员和家属】2月12日，大理州客栈民宿行业协会、大理市客栈协会联合发起倡议，呼吁文旅住宿业企业捐赠度假疗休房，送给战斗在大理及全国20家疫情比较严重地区医院的医务工作者，以及在背后默默支持他们的家人，以此感谢他们为抗疫的坚守与付出。倡议发出后，大理州各高星级酒店、精品民宿客栈和精品酒店纷纷捐房献爱心。截至2月22日24时，累计捐赠度假疗休房10605间和帐篷70顶。http://t.cn/A67AOxC9http://t.cn/8s7SX24
云南政法,:【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@大理政法http://t.cn/A67PyRw7
大理政法,:#致敬战疫逆行者#【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。@云南政法http://t.cn/A67PyRw7
