勃林格殷格翰中国,:尼达尼布再获肯定！
童胖童胖,:他（指罗素）在孩提时期经历了大量痛苦，也许超过了可以忍受的限度。他后来的幽灵式逃避既是一种症状，也是一种反应。他2岁时，母亲死于白喉；几天之后，姐姐死于同一种疾病；父亲遭到毁灭性打击，几乎失去了活下去的念头。一年半之后，父亲去世，罗素那时年仅3岁。在这种情况下，他被送到祖父家抚养。罗素6岁时，祖父也去世了。那天晚上，罗素彻夜难眠，担心奶奶会接着撒手人寰，把自己留在这个世界上。罗素儿时面对的确实是一个幽灵游荡的世界；在那个世界中，死者与生者共存；在那样的世界中，人的情感依附对象被反复证明是并不可靠的东西，昙花一现、转瞬即逝；在那样的世界中，冷漠看来是唯一可能出现的反应。——瑞·蒙克：《罗素传：孤独的精神1872-1921》，中译本，第3-4页
呸酱keya,:#小刘执业医打卡#肺系疾病over不学不知道医学吓一跳考研知识快忘没了在家学得慢一天一章慢慢来吧晚上背会方剂去
现萃真味,:#现萃真味#饮用绿茶，可降低心血管疾病和癌症风险，主要是因为绿茶中含有丰富的类黄酮物质，特别是儿茶素类。已经有大量的临床实验证明，儿茶素具有细胞调节作用以及抗氧化功能。儿茶素是一类具有高活性的类黄酮的总称，在绿茶中含量较高。联合利华针对绿茶中高含量儿茶素功效进行的两个临床实验中发现，在不改变饮食和身体活动的前提下，轻度超重的中国健康男性与女性连续90天饮用高儿茶素含量绿茶后，体重、腰围和内脏脂肪都显著减少，绿茶中的儿茶素可能对人体脂肪分布，特别是腹部脂肪分布产生特定的有益影响，它对控制中心性肥胖具有一定的效果。
F_鲨,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
行香七里,:从血糖波动的幅度来说，明显是蔬菜-肉-米饭这一组峰值最低，波动最小。很多研究证实，血糖波动小，才是最有利于控制体重，也最有利于预防多种慢性疾病的。
丨春日舟丨,:@平安北京@北京市疾病预防控制中心@北京发布您好，请问外来人员在京无固定居住场所需要怎么去隔离点？怎么搜索各个区的隔离点？外来人员入京需要什么手续？是不是隔离超过十四天一切正常就可以去租房子了？麻烦回答一下谢谢
Bogummyslovelyfan,【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）
我在西安上学,:【西安交大研究团队成功开发“抗击流行性发热疾病的自动监测与预警系统”】应对疫情，最重要的手段之一是监测体温。额温枪测温存在时间长、近距离接触、以及由此带来的基层人员工作压力和交叉感染等风险。@西安交通大学航天航空学院荣海军、杨朝旭团队根据自身科研优势和已有的研究基础，开发出“抗击流行性发热疾病的自动监测与预警系统”助力疫情防控。该系统可以解决社群的身份识别与体温检测，在戴口罩测试场景下性能良好，具有快速体温筛查和非接触考勤管理功能。#西安爆料#http://t.cn/RDUnNFD
西咸新区空港新城,:#联防联控西安在行动#【战疫“微宣讲”|国务院请您查收这份《疫情预防指南》】叮咚！您有一份《疫情预防指南》请查收~新型冠状病毒肺炎是一种新发疾病，根据目前对该疾病的认识制定本指南，适用于飞机、火车、地铁、公共汽车和轮船等公共交通工具。一、发生疾病流行地区的公共交通工具在岗工作人员应佩戴医用外科口罩或N95口罩，并每日做好健康监测。二、公共交通工具建议备置体温计、口罩等物品。三、增加公共交通工具清洁与消毒频次，做好清洁消毒工作记录和标识。四、保持公共交通工具良好的通风状态。五、保持车站、车厢内的卫生整洁，及时清理垃圾。六、做好人员的工作与轮休安排，确保司乘人员得到足够休息。
千龙网中国首都网,:#北京战疫#【#已有64个国家出现确诊病例#，北京、浙江、深圳等均发现境外输入性病例】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。
平塘交警,:#疫情在前交警不退#【争分夺秒护送病人交警开道火速送医】3月2日平塘县牙舟镇一村民突发疾病，交警闻讯紧急应对快速出警，一路迅疾开道护送，争分夺秒与死神赛跑扶危救困挽救生命尽添交警真风采。这天中午时分，县公安交通管理局接群众报警求助，报警人万分焦急地说他车内有一病人处于昏迷不醒当中，这会儿刚从谷硐方向上了高速，正往县城赶来，准备将病人送医抢救，想到城里车多人多怕耽误时间，所以希望交警同志帮帮忙。接到报警，城区中队民警韩禹锋一边通过对讲机呼叫警力做好城区通往县医院各条道路的疏导通畅，一边驱车赶到平罗高速出口等待。11时55分，载着病人的咖啡色小车下了高速匝道口，与民警汇合。民警们火速打开警灯鸣响警笛在前引导，一路急行奔向医院。从平罗高速出口到县医院原本10分钟的车程，在交警们的通力协作下，仅用5分钟就安全、顺利到达目的地，为抢救赢得了宝贵的时间。@公安部交通管理局@贵州省公安厅交警总队@中国警察网@黔南交警http://t.cn/A67NwcFk
MOREMORE小俗,:因此次疫情死亡的人至少包括以下群体：1、感染致死的人。2、因医疗资源向疫情倾斜，患其他疾病而未得到及时救治而死亡的人。3、倒在抗疫一线的人。4、因经济衰落，影响生计，生活困苦，亲人离散等而自杀的人。
披羊皮的鹿,:我真的觉得我再待下去就要四肢退化，沟通障碍，心理疾病全来了求疫情退散
薇可妈咪,:【这样的特殊时期，娃感冒咳嗽了到底要不要去医院？】先不要慌张，大部分情况下，孩子流涕、咳嗽不需要急着马上去医院检查，因为这些症状往往是由普通感冒、过敏等轻微疾病引起的。尤其现在特殊时期，如果孩子精神好，也没有接触过高危人群，只是存在流涕、咳嗽的症状，我们可以选择在家护理*：*若无法自行判断，可通过在线问诊等方式与医生沟通确认1、若孩子出现流涕、咳嗽、鼻塞等呼吸道症状：不用急着吃感冒药，可以准备温热的液体让宝宝多次吞服，比如温水、牛奶等，因为吞咽可以帮助孩子缓解咽喉不适，同时还能补充孩子丢失的水分。2、若孩子曾有过敏性鼻炎、哮喘等过敏性疾病，家长要更加注意观察：因为流涕、咳嗽等呼吸道症状可能代表过敏性疾病的复发。一旦孩子出现类似症状，最好线上咨询医生，在指导下使用专门的药物治疗。#母婴v时代##母婴#
蓝天冂,:发布了头条文章：《埃塞俄比亚爆发神秘"X疾病"感染者口鼻流血高烧而死》埃塞俄比亚爆发神秘″X疾病″感染者口鼻流血高烧而死
肺炎实时资讯,:【埃塞俄比亚爆发“X病毒”，患者眼鼻流血身亡
BTV新闻,:【#中国以外已有64国出现确诊病例#】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。（来源：北京日报）
肺炎实时资讯,:【埃塞俄比亚爆发“X病毒”，患者眼鼻流血身亡
刺猬不是纸老虎,中国不需要为病毒起源与否向世界道歉
快乐XZG,昨天发了一个脱毛仪的广告，然后想起了一个在民间流传极广的说法：经常剃毛/刮毛/剪毛的话，会让胡子或者体毛越长越粗，越长越硬，越长越黑，越长越快.....是这样吗？反正小时候我妈就是这么跟我说的。先说结论：不是。大胆地修剪你的体毛吧！它们不会报复性生长的，无论你怎么修剪，胡子或者体毛的生长速度都不会变快，也不会变得更粗更硬更黑。“体毛越剪越长”的说法在世界各地都有流传，在1928年的时候，有4位猛男献身科学，刮了脸上一半的胡子，然后观察新长出来的胡子到底有没有变得黑长粗硬——结论是没有。1970年，有这方面的论文发表了：http://t.cn/A67CLGeU这次是抓了五位壮士，刮腿毛，结论依然一样：新长出来的腿毛没有变得黑长粗硬。不过真正好玩的是，为啥民间会流传着这样的说法呢？一个主流的答案是：错觉。在刚刮掉毛之后，新生长出来的毛发长度短，截面粗，显得又黑又硬，但其实一段时间之后，随着长度变长，卷曲度增加，毛发的尖端变细，看起来就跟以前没两样了。那么，为什么有些青少年在刮完胡子之后，发现胡子的生长速度确实变快了呢？这其实也是一种错觉：因为青少年即使不刮胡子，胡子的生长速度也会逐渐加快，因为他们正处于发育阶段啊......这时候胡子的生长速度同样跟剃毛无关。所以，想脱毛的话就放心脱吧，毛不会报复你的，放心~
上海滩小律师,:那一束光：看了武汉那些患有其他疾病患者的各种求助帖子，觉得我们的体制像一束光，只要你的身体能撑到体制运作起来，哪怕你得了新冠这样的疾病，也不用担心，免费入驻方舱医院，好吃好喝，还能打牌唱歌，那是被光照耀的角落。但那束光的力量是有限的，关键时刻也只能盯着一处照，无法照耀到所有人，没被照耀到的人就倒霉了，所以哪怕生病这事，也得和那束光保持一致。
urielfy,【张文宏：发病率低的城市复工是可以的，但也要采取措施】针对近期网络上关于复工的讨论，张文宏医生认为其中一些过度解读造成一些复工群体和城市的恐慌。大家的忧虑在于大量复工人群涌入城市是否会造成疾病的蔓延，因而有人提出索性就不要复工了。但事实上在没有疾病爆发的区域，当地人群都做了比较充分的隔离，和其他发病率低的城市其实差异并不大。如果这种交流都不能有，那城市的停滞是很难经受得起的，大家没地方买菜、不能去医院……这时候的人口死亡率反而可能会高于新冠肺炎死亡率。张文宏医生认为，发病率低的城市复工是可以的，但也要采取措施，不要有大规模的集会。在疫情没有得到完全控制的时候，还是要戴口罩上班，勤洗手，不扎堆，电梯要经常消毒，办公空间要经常通风，只有做到这些防护条件，复工原则上才不至于会增加很大的风险。http://t.cn/A67C8laK
西门五叔,:人可以拒绝任何东西，但绝对不可以拒绝成熟。拒绝成熟，实际上就是在规避问题、逃避痛苦。规避问题和逃避痛苦的趋向，是人类心理疾病的根源，不及时处理，你就会为此付出沉重的代价，承受更大的痛苦。#情感#
沙漠玫瑰_,:#意大利累计确诊2036例新冠肺炎#前几天看意大利那位可爱的老奶奶的视频，其中她提到“米兰的鼠疫”，就是最近我一直提及的“黑死病”。后世还流传着欧洲人因为不洗澡感染了这种可怕的疾病。欧洲人真的不洗澡吗？错了！他们不是不洗澡才得了瘟疫，而是因为瘟疫才不洗澡。要不然，那么多千百年历史的温泉哪儿来的？#待到春回大地时#等一切都恢复正常了，旅途中别忘了去泡个温泉，解乏治病。头条文章：《中世纪欧洲大瘟疫是因为不洗澡？错了！他们可是最会泡温泉的》#玫瑰旅行日志[超话]#@微博旅游@新浪旅游http://t.cn/A67NZaRG
星島日報歐洲版,:韩国新天地教主下跪谢罪韩国新冠肺炎疫情快速蔓延，与新天地教会相关确诊者占逾半数，教会被质疑未配合防疫。新天地教会教主李万熙2日召开记者会，在一旁愤怒的民众叫嚷声中两度下跪谢罪，说“身为信徒的代表真心向国人道歉”，承诺会全力支持防疫。韩国疾病管理本部3日上午通报，境内新增600起2019年冠状病毒疾病病例，韩国确诊总数来到4812例，累计28例死亡，与新天地教会相关病例超过两千多宗宗。2日下午3时许，88岁的新天地教会总会长李万熙在被称为“和平宫殿”的京畿道加平郡新天地研修院开记者会，是新天地教会引爆韩国疫情以来，李万熙首次公开发声。李万熙说，尽管并非本意，“出现这么多感染者，自己毫无颜面。向国民真心道歉。我将下跪以示谢罪。”语毕他走到讲台前跪下行大礼。之后他继续发言，感谢政府倾力抗击疫情，并请求政府宽恕，之后再行大礼。他说，新冠肺炎首先是一场大型灾难，而不仅仅是个人问题，政府也在努力防止疫情扩散。他说新天地会尽所有人力、物力支持政府，“现在不是追究谁对谁错的时候。尽人事听天命，上天会眷顾。”记者会全程约20分钟，200名警员到场维持秩序。李万熙宣声明和记者提问期间，不时有民众大声叫嚷。他一度双手握拳捶桌子大喊：“安静，安静点！都是成人了！不要吵！”李万熙据称已居家隔离，他表示自己的病毒检测呈阴性。新天地教会大邱分会二月出现首例确诊，患者被揭发在发病后到处跑，导致数十名教徒被感染，她后来才被确诊，韩国官方认定其为超级传播事件。新天地教会组织庞大且富裕，教会成员会前往主流新教的集会，暗中招揽信徒。这种作法促使许多教会发布警告，不欢迎新天地信徒。其传道中心遍布中国、美国等全球15个国家。
二八叔叔,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
evalive,美国华盛顿州宣布新添四起新冠肺炎死亡病例，总数达到六人。
美了个妆123,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
lily20036,美国科研人员利用食物频率问卷评估五万多名北美健康女性的饮食摄入，跟踪随访了近8年，发表在INTJEPIDEMIOL上的研究结果表明：牛奶或其他乳制品会大幅增加中老年女性乳腺癌发病风险。研究显示，每天喝1/4到1/3杯牛奶，患乳腺癌的风险就会增加30%；每天喝一杯，相关风险上升到50%；如果每天喝两到三杯，风险进一步上升至70%到80%，这结果，我认为可以把牛奶列为乳腺癌发病原因之一了。该研究没有发现低脂牛奶比全脂奶优秀，在增加乳腺癌风险上都一样的。该研究没有发现豆浆和乳腺癌之间的关联。庆幸这么多年，我一直苦口婆心鼓励女性多喝豆浆，少喝或不喝牛奶。用有机黑豆和有机黄豆打豆浆是首选，我妈是用一半黑豆一半黄豆给我打的。对于喜欢喝、喝了很久、不愿意放弃牛奶的女性，不要太焦虑，这毕竟只是一个流行病学调查结果而已，还不算牛奶和乳腺癌关系的板上钉钉，算个风险预警。我个人建议适当减少饮用数量，以及可以考虑改喝真正的有机牛奶。
陕西发布,:【陕西援湖北医疗队：病房里的“治愈系”】一个多月来，我省派出了22批医疗队共1460人奔赴湖北前线。在与疾病抗争的这段时间，由于患者们没有家人陪伴，陕西医疗队用医术与关怀治愈着每一位患者，也赢得了患者的称赞。#我为陕西医疗队打call#陕视新闻的微博视频
钦州检察,:【#中国以外已有64国出现确诊病例#】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。来源：北京日报客户端http://t.cn/A67NzNqV
平安西平,:【西平县公安局为监所工作人员及在押人员进行新冠肺炎核酸检测筑牢安全防线】为贯彻落实上级早发现、早隔离、早治疗的精神，坚决守住新冠肺炎疫情输入关口，切实保障监所全体工作人员及在押人员生命安全和身体健康，维护监所安全稳定，2020年3月2日，西平县公安局邀请县疾病防控中心工作人员为看守所工作人员、在押人员进行新冠肺炎核酸抽样检测。在县疾控中心和看守所的通力协作下，疾控中心工作人员为看守所2020年1月20日以来新入所在押人员、在押人员中有咳嗽症状人员及监所工作人员做病毒核酸检测，累计检测60余人，各个环节安全、有序。
佛教微博,【药师佛】蓝色代表坚固、不变异、本性空，象征药师佛慈悲、加持的自性本质。药师佛曾发十二大愿，每愿都为了满众生愿、拔众生苦、医众生病。药师佛心咒:喋雅他嗡贝堪则贝堪则玛哈贝堪则燃杂萨目嘎喋梭哈。至诚祈愿:我佛慈悲，护佑众生消灾避祸，远离一切疾病困扰！南无药师琉璃光如来！
振振公子JG,:#中国女孩#呕别让我看到什么狗屁中国男孩保护中国女孩的弱智言论，“中国男孩”别一副大义凛然的样子嘴里喊誓死保护“中国女孩”，宁用有疾病的脑子保护还是用跑火车的碎嘴保护？“中国女孩”别楚楚可怜地求保护、要自杀，你瘫痪了还是你哪有毛病没有男性就活不下去？国家强迫你去联姻了？别像个撒子一样嘤嘤嘤中国女孩需要中国男孩保护，真给中国女孩丢脸呀
湖北全攻略,:3月3日，中国乒协通过湖北省慈善总会和湖北省体育局，向湖北省捐赠的60万只医用外科口罩全部运抵。其中，50万只口罩送达武汉大学人民医院，10万只口罩捐至广水市疾病预防控制中心，用于抗击新冠肺炎。（湖北日报全媒记者杨然）
羊城晚报,:【#羊晚荆州直击#感动！病人欲放弃，广东护士哭了：我千里迢迢赶来救你……】“三分治疗，七分护理”，新冠病毒至今还没有特效药，但是对于驰援荆州的广东医疗队队员们来说，打开病患的心扉，让他们消除恐惧和孤独感，感受到温暖和激励，是对抗疾病的最好的特效药。来自广州红十字会医院的护师郑莉斯记得，一位六十多岁的重症患者，当看到旁边床的病友病情急剧恶化时，心情急转直下。“我不想吃饭了，我吃了也没用，我这个病和他（病友）一样。”“我现在就想拿枪毙了自己，我就自杀算了，活不下去了。”看到病人说出这样的话，郑莉斯马上安慰他，告诉他现在的情况越来越好，很多药都停了，说明病情在转好。但是病人却听不进去，郑莉斯急了，激动地说：“如果你这样子的话，我千里迢迢从广东来这里干什么？我这样照顾你，让你做治疗，你就这样对我的吗？”说着说着，病人哭了，郑莉斯也哭了。过了一会，病人说，小姑娘，我知道你的心意，我会好好治疗的。更多的疗心故事，在病房里发生着。（文、视频/羊城晚报特派荆州全媒体记者李钢温建敏）http://t.cn/A67NzODXhttp://t.cn/A67NzWPM
苏州风水大师金鼎贵,:治好病是真的，各自医学都有自己的长处，有自己的短处，西医对一些急性的重病抢救的时候，那些手段谁也替代不了。对一些慢性病，改善功能疾病，中医的优势又很突出。中国人应该感到幸福，有两套医学保证，有什么不好的呢？何必分你的我的，十个手指头还不一样长呢，我觉得这种争论的背后有的是无知，某种意义还有利益集团在操纵，当然更多的可能也是糊涂”。
肖戰心动了嘛Y,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
被取ID烦死的山下夫人,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
北京日报,:#北京战疫#【#中国以外已有64国出现确诊病例#】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。来源：北京日报客户端http://t.cn/A67NzNqVhttp://t.cn/A67NPmwS
洛圣都大混子,:学着学着partner心理疾病发作了怎么办急在线等
hunterelite,:一个经常后悔、遗憾的人更容易疾病缠身一个经常后悔、遗憾的人，不仅会耗费很多的精力，陷入痛苦的过去，难以自拔，更容易疾病缠身。美国西北大学心理专家表示：总是生活在后悔中，必然会导致抑郁症和焦虑症。人在享福时，就是在享用自己的福分，一旦福分享用完，又没有吃苦行善，就开始忧郁、焦虑，拼命在人间再去获得更多的欲望，又造新业，必遭祸殃。学fo人必须往前看，好好把握自己的当下，现在不修行更待何时？人身难得今已得，fo法难闻今已闻。我们活在世界上，有时候动不动就跟别人吵架，动不动就和别人烦恼，为什么不能化解烦恼？因为没有智慧。跟别人争吵了，接下来自己难过，让别人也难过。用平和的心态可以解决难题。一辆公交车正在急速行驶，坐在车最后的一位乘客正在打瞌睡。突然司机一不当心，一个急刹车，这个乘客从最后的座位一下子滑到司机边上。乘客站起来，稀里糊涂的，车上所有的乘客非常紧张，一场唇枪舌剑即将开始。没想到这乘客站起来说：“司机，你叫我到前面来干什么？”学fo人的心是宽容圆融，无比宽容，要放下，看破，就永远不会带给自己伤痛。在家里，有时候一句话会让你一个星期都不开心。多一些幽默，多一些想通，有时候哈哈一笑，就像济公活佛，鞋儿破，帽儿破，走四方，什么都看得破。
北国地渔夫,#浙江新增7例均为意大利输入病例#所以在湖北非武汉区域三四天0增长的禁足40天的中国人还得继续禁足，而意大利或者韩国重灾区的人却能随意来中国，还只用隔离14天。牛逼，真牛逼。
心灵感悟篇,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
北京晚报,:#北京战疫#【#已有64个国家出现确诊病例#，北京、浙江、深圳等均发现境外输入性病例】3月3日，在北京市新型冠状病毒肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心北京全球健康中心办公室主任、研究员杨鹏说，近期，新冠肺炎疫情蔓延态势日益明显，截至3月2日，中国以外已有64个国家出现确诊病例，韩国、日本、意大利、伊朗等国家新增病例上升明显，我国多个地区发现了境外输入性病例，如：北京、浙江、深圳等均发现境外输入性病例。（北京日报客户端记者贾晓宏）
LYFforeverGQ成功上岸,:http://t.cn/8kKp61U
楚天都市报,:#湖北发布会#【湖北新增治愈出院病例，连续13天超过新增确诊病例】3日下午，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍湖北省疫情防控进展。从2月19日起，湖北新增治愈出院数连续13天超过新增确诊病例数。会上，湖北省疾病预防控制中心副主任李阳介绍了湖北省新冠肺炎的最新情况。截止2020年3月2日24时，湖北省累计报告新冠肺炎确诊病例67217例，其中武汉市49426例，占全省74%，其他市州17791例，占全省26%。武汉市、孝感市、黄冈市、荆州市、鄂州市、随州市、襄阳市及黄石市等八个地市，累计确诊病例数均超过1000例。2020年3月2日0-24时，湖北省新增新冠肺炎确诊病例114例，占全国91%，新增确诊病例中武汉市111例，占全省的97%；黄冈市2例、荆门市1例，占全省的3%。黄石市、十堰市、宜昌市、襄阳市、鄂州市、孝感市、黄冈市、咸宁市、随州市、恩施州、仙桃市、天门市、潜江市、神农架林区共14个地市无新增确诊病例。截止2020年3月2日，全省仍住院治疗25050例，其中重症5407例，危重症1186例，共占住院治疗数的26%；截止2020年3月2日，全省累计病亡2834例；3月1日全省新增病亡31例，其中武汉市24例，占全省77%。截止2020年3月2日，累计治愈36167例，3月2日，新增出院病例2410例，其中武汉市1846例，占全省出院的77%。从2月19日起，新增治愈出院数连续13天超过新增确诊病例数。http://t.cn/A67NzmN2
胡二狗,:【全球超3亿人患抑郁症，一个测试让你了解】<br>你的抑郁症不一定是真的抑郁症，真正的要符合很多条件，还有可能是其他的疾病。<br>有些人会出现一段时间的心情低落、悲观消极就开始怀疑自己患上了抑郁症，但是实际上真的是这样吗?<br>这个抑郁症测试帮你了解自己→http://t.cn/A6vo97G3
交通954,:【#韩国新冠肺炎确诊病例超5000#】据韩联社报道，韩国疾病管理本部通报称，当地时间3日0时至3日下午4时，韩国新增374例新冠肺炎确诊病例，累计确诊5186例。3日，韩国总统文在寅在国务会议发言中强调，现在韩国全国进入了同传染病的“战争”阶段，各级政府应认识到问题的严重性，所有政府机构要启动24小时应急体制以共同应对新型冠状病毒疫情。
