宋旗,:#4128万多名党员捐款47.3亿元#众志成城，共克时艰日照
天府-青年,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！（via.人民日报）
风弄控,#电影月半爱丽丝#万众一心，共克时艰！[加油]特殊时期要保护爱的人的健康！等疫情结束，再和你谈一场甜甜的恋爱。
曲高传播,:新型冠状病毒肺炎预防手册之患者有什么临床表现？做好防护，齐心协力，共克时艰！新型冠状病毒肺炎起病以发热为主要表现可合并轻度干咳、乏力、呼吸不畅、腹泻等症状流涕、咳痰等症状少见一半患者在一周后出现呼吸困难严重者病情进展迅速数日内即可出现急性呼吸窘迫综合征、脓毒症休克难以纠正的代谢性酸中毒和出凝血功能障碍部分患者起病症状轻微可无发热，多数患者预后良好少数患者病情危重，甚至死亡新型冠状病毒肺炎需要与哪些疾病相鉴别?细菌性肺炎：常见症状为咳嗽、咳痰或原有呼吸道症状加重并出现脓性痰或血痰，伴或不伴胸痛一般不具有传染性，并不是一种传染性疾病SARS/MERS：本次发现的新型冠状病毒与SARS和MERS冠状病毒虽同属于冠状病毒这一大家族但基因进化分析显示它们分属于不同的亚群分支它不是SARS，也不是MERS病毒它们的病毒基因序列差异比较大目前调查显示，该病毒人际间传播能力和致病性均较SARS弱如果接到疾控部门通知，你是一个密切接触者，应该怎么办?1、按照要求进行居家医学观察；2、不用恐慌，不要上班，不要随便外出；3、做好自我身体状况观察，定期接受社区医生的随访；4、如果出现发热、咳嗽等异常临床表现，及时向当地疾病预防控制机构报告，在其指导下到指定医疗机构进行排查、诊治等。居家医学观察期间应采取哪些防护措施?1、家庭内应配备必要的消毒剂和个人防护用品，家庭成员和实施医学观察的人员要做好个人卫生防护、尽量减少接触。2、医学观察对象尽量单间居住，减少与共同居住者的接触机会;家庭内保持通风。其使用后的卫生间做好必要的清洁和消毒工作；3、医学观察对象尽量减少不必要的外出，;外出时要戴好口罩，避免到人群聚集的场所；4、每天早晚各测量1次体温，做好记录。新鸥鹏·凤凰城温馨提醒您：勤洗手、戴口罩、少外出、不聚会、不信谣、不传谣、不造谣做好防护，齐心协力，共克时艰！注：以上文字根据湖北科学技术出版社《新型冠状病毒肺炎预防手册》整理
德国FU德语学院,:❤️感谢曹*冰，吴*两位同学选择FU，录取通知书今日已到达!在疫情面前，FU德语学院始终是大家留学德国最坚强的后盾！身在国内外的同学都要照顾好自己！我们一同共克时艰
Joelchennnnnn,#意大利疫情#疫情面前，我更深地理解了何为“爱在华师大”♥️就是我们即使身在异国他乡，依然会收到来自学校的问候和来自学院的温暖@华东师范大学@华东师大设计学院团委感谢设计学院万里迢迢寄来的口罩😷其实对我们来说最重要的已经不是口罩本身，而是我们知道，无论身在何方，华师大都是我们坚强的后盾🛡️（补充一句：欢迎大家报考这个充满爱的学校——华东师范大学！）http://t.cn/RU1Utk9
金堂服务,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！
Colin秦開瑞,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
防城港市新闻网,:【火线淬炼真金一线识别干部】“我志愿加入中国共产党，拥护党的纲领，遵守党的章程，履行党员义务……”2月20日上午，在市新时代党群服务中心，一场简洁而庄重的入党宣誓仪式正在举行。面对鲜红的党旗，11名疫情防控一线的先进分子，佩戴党徽，举起右拳，庄严宣誓，光荣地成为中国共产党预备党员。火线入党显担当，此举是我市在疫情防控中激励干部担当作为开展“七个一批”工作的缩影。自疫情防控工作开展以来，我市专门制订了《激励干部在疫情防控一线担当作为的工作方案》，聚焦“七个一批”，即提拔重用一批、晋升职级一批、招录聘用一批、职称倾斜一批、发展入党一批、通报表彰一批、关注储备一批，切实为疫情防控一线党组织和党员干部加油鼓劲，激发广大党员干部带领群众抗击疫情、共克时艰的积极性、主动性、创造性。此次“火线入党”的11名同志，分别来自医疗、政法、城管等系统，他们先后经党支部推荐、防疫工作组鉴定、党工委讨论、公示及组织部门把关等程序，最终被党组织批准入党。据统计，疫情防控斗争开展以来，我市先后有201名干部群众或志愿者在防控一线向党组织提交了入党申请书。经党组织考察后，已有36名先进分子被直接发展入党。防控一线既是战斗场，也是练兵场。在防控一线考察识别干部工作中，我市充分发挥组织部门的先锋引领作用，推动市、县两级组织部门在与一线人员并肩战斗，重点关注各级防控工作领导小组指挥部办公室及各工作成员单位，特别是医疗卫生、社会维稳、物资保障、生产流通、新闻宣传等单位的领导干部；县（市、区）党委、政府领导干部；乡镇（街道）党委（党工委）、政府（办事处）领导干部，精准掌握参与疫情防控工作干部的表现，及时关注储备一批干部。目前，市、县两级组织部门对385名奋战在疫情防控一线的处、科级干部，建立“一人一档”工作纪实档案，运用多种方式强化对干部的综合分析研判。与此同时，我市按照“七个一批”的工作方案，及时提拔重用一批在疫情防控工作中敢于担当、敢抓敢干、甘于奉献、实绩突出的优秀干部；结合公务员职级晋升工作，对在疫情防控一线主动履职、担当奉献且满足职级晋升有关条件的，优先晋升职级。目前，市、县两级共同发力，经过动议或考察，拟提拔重用处、科级干部20人，公务员职级晋升156人。在激励一线医护人员方面，市、县两级上下联动，开通公开招聘绿色通道，专门拿出12个医疗卫生相关专业技术岗位面向社会招聘，优先面向驰援湖北医务人员或参加新冠肺炎疫情防控一线工作表现突出的专业技术人员。按照事业单位人员职称评审、岗位设置、人员聘用等有关规定，我市还明确提出了对在疫情防控一线表现突出、符合晋升条件的工作人员，在职称评聘中突破岗位数量限制优先予以考虑。同时向中央、自治区推荐一批在疫情防控工作中成绩显著、表现优秀的党员、公务员和集体，积极开展相关通报表彰工作，按有关规定及时给予嘉奖、记功，给予获得嘉奖、记功、记大功的工作人员一次性奖金。http://t.cn/A67O37Yn
分享通信,:#分享通信集团企业新闻#分享通信十万口罩抵达邵阳助力复工复产，同心战“疫”，共克时艰！@尚·5G@幸运蒋分享通信十万口罩抵达邵阳助力复工复产
romance晞,#抗疫行动#zsx#粉丝公益快车#【粉丝公益快车物资应援公告】信仰点亮的光注定会在暗夜里发芽云开雾散怒放的神州，盛开的华夏复苏的生命，就是这个春天里最美的花愿我如星君如月，夜夜流光相皎洁。🌍@粉丝公益快车联合向重庆三峡医药高等专科学校附属医院重庆万州川东骨科医院万州佳明康复医院重庆万州昌明医院黄冈市中心医院捐赠200份护目镜幸得识卿桃花面，从此阡陌多暖春。感谢@能量中国官方宣传共克时艰，爱心必达2020这场战“疫”，携手一定赢！@曾舜晞Joseph与#曾舜晞#益起来！文案@超級農農魔都仙女团
道明寺啊,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
HDarli,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！TCL大屏电视，全场景AI，无需遥控器，语音一句话操控全屋家电！我承诺，与@万和电气一起，用云端科技助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@TCL电视@万和电气带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手表】！@微博抽奖平台
青春山东,:【山东3市通报表扬疫情防控工作表现突出的38个集体、310名个人】近日，济南、潍坊、威海三地市委、市政府分别通报表扬在疫情防控工作中表现突出的38个集体、310名个人，以期引领汇聚众志成城抗击疫情、全力以赴共克时艰的强大合力。#山东抗击新型肺炎#http://t.cn/A67OwhkT
平安天津,:【人民公安报评论员：群众支持是战胜疫情的信心之源】总有温暖给人力量，总有关心让人感动。警民同行，共克时艰——在这场防控新冠肺炎疫情的严峻斗争中，一个个爱心故事、一幕幕感人瞬间、一次次血浓于水的爱心传递，生动发生在公安机关抗疫一线。来自人民群众的关爱令人感动，这份最硬核支持，为公安机关开展疫情防控、维护社会稳定注入无穷动力。#疫情当前警察不退#http://t.cn/A67OPhRN
多杰羌佛-古佛在人间,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
杰杰男神11,#张杰[超话]##张杰合肥演唱会延期#为落实相关部门对疫情防控的要求，@张杰未LIVE巡回演唱会官方微博宣布合肥站演唱会延期，原定于4月11日在合肥体育中心体育场举办的演唱会将不能如期和大家见面。待春暖花开时🌸我们再相见[给你小心心]
ILyogurt,:社群团购怪圈：这几天陆陆续续退出了几个团购群，因为感觉有的群默默陷入了一个怪圈，呆得不舒服了。原本觉得不管是社区还是业主自发还是商家拉取的团购群就应该只有一个目的，为街坊邻居提供便利，信息资源共享，大家共克时艰。结果出现这样的怪现象，A邻居在群里发了一个团购信息，群主立马站出来阻止“不可以发广告”，群里气氛很紧张，A邻居委屈道“我不过是想吃这个东西，但是个人没办法买那么多，所以把团购信息共享在群里，看看街坊邻居有没有需要的大家可以一起团，我就是个普通的居民，又不是想要什么回报，做错什么了呢”是呀，这是大家可以互相帮忙的群，邻里之间有需求或者有信息资源可以共享有什么不好的呢。更有甚者（群主），看到有成员在群里提要求了，自己那边能提供的就说“这个我们有的，为大家服务我们义不容辞”。如果他提供不了的就在群里发一篇心经鸡汤跟大家伙说“在这么困难的时期了，尽量吃简单点好，不要给国家添乱，不要要求那么多”[皱眉]说实在的，社群是共享群不是垄断群，真的没必要变味儿了[加油加油]
切尔西情报中心,#球天下大咖说#今天韩乔生@大嘴韩乔生聊新冠肺炎疫情蔓延全球对体育、特别是对于足球的影响。亚洲日韩情况较严重，欧洲意大利、西班牙形势也不容乐观，中日韩联赛全面延期，五大联赛、欧洲杯、奥运会都受到影响……“我们期望，即将到来的夏天，我们仍然能够看到精彩的欧洲杯和东京奥运会。”http://t.cn/A67OylL4
议政金陵,:#区政协#【抗击疫情江宁政协人责无旁贷（十一）】同心同向战“疫情”，齐心协力担使命。面对新冠肺炎疫情，作为政协参加单位，全区各民主党派组织和民主党派界别委员按照中央和省市区委的统一部署，迅速行动，主动作为，积极投身疫情防控阻击战，汇聚成同舟共济、共克时艰的强大力量。
重庆文理学院团委,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！重庆·重庆文理学院
平步-青-云,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！TCL大屏电视，全场景AI，无需遥控器，语音一句话操控全屋家电！我承诺，与@万和电气一起，用云端科技助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@TCL电视@万和电气带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手表】！@微博抽奖平台
Sidney是我男神,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！TCL大屏电视，全场景AI，无需遥控器，语音一句话操控全屋家电！我承诺，与@万和电气一起，用云端科技助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@TCL电视@万和电气带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫手表】！@微博抽奖平台
鲁能橙色小喇叭,#球天下大咖说#今天韩乔生@大嘴韩乔生聊新冠肺炎疫情蔓延全球对体育、特别是对于足球的影响。亚洲日韩情况较严重，欧洲意大利、西班牙形势也不容乐观，中日韩联赛全面延期，五大联赛、欧洲杯、奥运会都受到影响……“我们期望，即将到来的夏天，我们仍然能够看到精彩的欧洲杯和东京奥运会。”http://t.cn/A67OylL4
哈尔滨工业大学威海,:我发表了头条文章:《抗击疫情共克时艰校区师生党员踊跃捐款》抗击疫情共克时艰校区师生党员踊跃捐款
采听官,#战疫打卡行动#
福建江夏学院学生会,:🔔叮叮叮~你收到一封小夏的来信✉️#同心战“疫”，共克时艰#微博接力活动昨日前十名公示如下，恭喜你们将获得综测＋第二课堂的分数奖励！
苏州新闻,:#自力自救共克时艰#【想方设法稳生产自力自救拼复工】面对疫情带来的各种困难，苏州众多企业各显神通“自力自救”，创新方式稳生产，想尽办法拓物流。（苏州广电全媒体编辑中心）苏州新闻的微博视频
九龙坡政务,:【团区委复工复产志愿服务走进市级重点项目工地】3月3日下午，团区委“阻击新冠病毒我们共克时艰”项目复工复产志愿服务活动来到了西南铝2800mm六辊不可逆全油润滑冷轧机组配套工程项目工地。在项目工地，厂房的结构已经初具规模，大量的钢结构已经搭建起，60多名工人正在全力以赴进行施工。“项目已施工完成60%，目前钢结构施工，焊接钢构件是重点，我们采取多上机具设备，多上人的方式，把失去的时间抢回来。”项目负责人李海明说。据了解，西南铝2800mm六辊不可逆全油润滑冷轧机组配套工程项目，作为市级重点建设项目，总投资约1.5亿元，建筑面积43391.21平方米，占地面积78289.3平方米。当天下午，团区委向项目施工方重庆建工九建公司捐赠了相关物资，并为一线工人提供了“爱心义剪”免费理发服务。西彭镇卫生院医护人员也来到了工地，对复工场地进行消杀、对复工人员进行七步洗手法等防疫相关知识培训。（记者陈钰桦）
泷纹心,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
风苘天下,#电影月半爱丽丝#万众一心，共克时艰！[加油]特殊时期要保护爱的人的健康！等疫情结束，再和你谈一场甜甜的恋爱。
陕西药品监管,:【防控疫情共克时艰】公众乘坐电梯临时指南!详情点击链接http://t.cn/A67O88YA
小刀禾_L,#战疫打卡行动#
Astrid-Harriette,#抗疫行动#zsx#粉丝公益快车#【粉丝公益快车物资应援公告】信仰点亮的光注定会在暗夜里发芽云开雾散怒放的神州，盛开的华夏复苏的生命，就是这个春天里最美的花愿我如星君如月，夜夜流光相皎洁。🌍@粉丝公益快车联合向重庆三峡医药高等专科学校附属医院重庆万州川东骨科医院万州佳明康复医院重庆万州昌明医院黄冈市中心医院捐赠200份护目镜幸得识卿桃花面，从此阡陌多暖春。感谢@能量中国官方宣传共克时艰，爱心必达2020这场战“疫”，携手一定赢！@曾舜晞Joseph与#曾舜晞#益起来！文案@超級農農魔都仙女团
河南农大烟草学院团委,:#烟丝儿微分享#【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！
天天keep终有腹肌,#太原生活##太原身边事#【共克时艰，太原战“疫”】3月1日，太原市最后1例新冠肺炎确诊患者治愈出院。至此，太原市累计治愈新冠肺炎患者出院病例20例，实现了确诊病例和疑似病例“双清零”，医务人员“零感染”，太原战“疫”取得阶段性成果。每位市民都身处其中，共同演绎这座城市暖心的抗疫故事。#抗击疫情山西在行动#向为太原战“疫”作出无私奉献的医务工作者和市民致敬！http://t.cn/A67OqdS4
一只老浅,#电影月半爱丽丝#万众一心，共克时艰！[加油]特殊时期要保护爱的人的健康！等疫情结束，再和你谈一场甜甜的恋爱。
月亮困倦了吖,:众志成城，共克时艰，共同战疫！我正在使用“中国加油”#微博个性皮肤#，你也快换上为中国加油吧~个性皮肤：中国加油
热爱生活檬,创业5年，2月是霸蛮最艰难的一个月。门店关了只能转向电商销售，却没想到能卖出这么多米粉。这两天也收到很多网友主动点击确认收货，向大家道声感谢，是你们让我的创业梦想得以坚持！我也给大家准备了礼物，转发此微博抽1位送霸蛮米粉礼包一份，谢谢！#北大毕业卖米粉月亏2000万##吃货拯救网红米粉店#@霸蛮湖南常德米粉@天猫发言人http://t.cn/AieQMMMwhttp://t.cn/A67O3qhJ
清远日报,:【清远高速交警：守一道关卡，护一座城市】新春佳节，本应该是万家团圆的时刻。但对于高速交警来说，2020年春节是“不一样的春节，一样的坚守”。在新冠肺炎疫情发生后，他们不眠不休日夜坚守奋战一线。守一道关卡，护一座城市，高速交警众志成城、共克时艰，用忠诚和担当践行初心使命。坚决打赢新冠肺炎疫情防控战。http://t.cn/A67OHnlX
黄晓宇6888888888,【海关总署：#全国检出境外输入病例75例#】3月4日，海关总署发布消息称，3月3日，全国海关共发现入境有症状旅客227例，疑似病例63例，海关采样检测和排查转运地方检出核酸阳性病例5例，其中上海4例、北京1例。消息称截至3月4日零时，全国海关共发现入境有症状旅客6728人，其中疑似病例779例，检出新型冠状病毒核酸检测阳性病例75例，所有均按联防联控机制工作要求妥善移交或者通报相关卫生健康部门处置。
莫奈凯Kate,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
撞进王俊凯怀里921,#王俊凯[超话]#@TFBOYS-王俊凯难得有时间能好好的睡个觉，get到的新技能就是看看窗外。“90后被保护的，现在90后出来保护大家。”作为90后的尾巴很骄傲，希望医护人员都能平安归来，困境下，大家齐心协力过渡到新的开始！与小凯一起期待春暖花开！腾讯视频的微博视频
郭璇loveZJ,#张杰[超话]##张杰合肥演唱会延期#为落实相关部门对疫情防控的要求，@张杰未LIVE巡回演唱会官方微博宣布合肥站演唱会延期，原定于4月11日在合肥体育中心体育场举办的演唱会将不能如期和大家见面。待春暖花开时🌸我们再相见[给你小心心]
宁灵,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
广州市政府新闻办,:#直击发布会#【番禺区产业园区累计减免租金超3000万元，惠及企业超3000家】为了推动番禺区企业安全有序复工复产，番禺区政府从出台扶持政策、优化暖企服务和发挥园区联盟作用三方面帮助企业共克时艰。其中，番禺区政府带动引导各产业园、科技企业孵化器为承租中小微企业减免租金，产业园区累计减免租金超3000万元，惠及企业超3000家。
张小狗de暴躁妈妈,看看大猩猩如何照顾乌龟相信人类也可以不同种类，不同民族，不同国家，共克时艰！#中国境外新增新冠肺炎病例超过中国境内#美国创业者的微博视频
顺水清韵,:共克时艰，共盼春来——顺义区水务局组织开展“抗疫聚力践初心”自愿捐款活动http://t.cn/A67OjMwW疫病无情，水务有爱。突如其来的新冠肺炎疫情时刻牵动着水务局每一位党员干部职工的心。连日来，我局党员干部职工立足岗位，做到疫情防控与水务工作两手抓、两手硬、两不误。为打赢这场疫情防控阻击战，响应区委组织部和区委农工委的号召，体现广大水务党员干部职工支持疫情防控斗争的强烈愿望，近日，我局组织开展“抗疫聚力践初心”自愿捐款活动，党员干部职工纷纷慷慨解囊，积极踊跃贡献自己的微薄之力。由于疫情还未结束，为减少人员聚集，局属各支部采取微信转账或者按照一米排队间隔等模式进行捐款。全局党员干部职工共捐款6.37万元，其中职工群众主动参加自愿捐款活动，共计捐款3.02万元，局及时向区委农工委和区慈善协会送交款项。一份份捐款，汇聚一份份深情，表达着全体水务人对疫情防控工作的支持和对一线工作者的感谢，大家以仁爱之心、点滴之恩，凝聚成爱心桥梁，用实际行动诠释了只要人人都献出一点爱，世间将变成美好的人间。家国一体，守土有责。顺义区水务局全体党员干部职工与全国人民团结一心，共克时艰，共盼春来!
江西师范大学,:#师大留声机#疫情未散，共克时艰，不一定每个人都能上一线，但我们无论身处何方，都有一颗为中国加油的心！
没事不得瑟,:#微博卡片背景#众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！卡片背景：中国加油
美赞臣中国,#武汉日记#第一次感受到妇联关怀，谢谢@美赞臣中国#为爱战疫，守护新生#武汉·万锦江城
Johnny瑜Su,#电影月半爱丽丝#万众一心，共克时艰！[加油]特殊时期要保护爱的人的健康！等疫情结束，再和你谈一场甜甜的恋爱。
灰灰是大侠,战疫当前，人人有责！#万和“安全家”行动#全面启动了！热水器、厨电有问题→云义诊，宅家难题全搞定；云端下单→“零接触“”安心装，战疫时期不用慌！我号召：用云端服务和零接触服务标准助力战疫#为家守护共克时艰#！带话题转发+评论本微博，说说战疫期间温暖你的小事，3月31日抽3位送神秘礼物！
河北经贸大学会计学院,:#防控疫情，我们在行动#致敬！这就是疫情面前的人民军队！全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓数字告诉你军队战疫有多努力。(via人民日报)
四川高校头条,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！
青岛农业大学,:#青岛农大为武汉加油#【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！via.人民日报
生态江干,#共同抗疫#【共克时艰，我们一直“在线”！江干区市场监管局“在线链接”助力企业开展“守合同重信用”公示申报】#战疫在一线#根据2020年度浙江省“守合同重信用”企业公示申报工作要求，江干区市场监管局结合抗疫期间的企业特殊需求，服务在前，在线链接助力“守重”企业公示申报。
拍拍贷官方微博,:#拍公告#事实上，自疫情以来，信也科技的客服坐席每天都在处理着无数起疫情相关的用户来电，对于情况属实用户的征信相关权益问题，我们也一一为其进行了妥善的处理。为每一位用户提供有温度的服务，是我们不变的责任与承诺。共克时艰，针对疫情还款优惠政策上线！
四川女性,:【致敬！这就是#疫情面前的人民军队#】全军10000余名医护人员投入一线救治；先后派出4000多名医护人员驰援武汉；出动直升机4架次，转运医疗物资6.5吨…与全国人民风雨同舟、共克时艰！戳↓↓#数字告诉你军队战疫有多努力#！
中国移动广东公司,:#抗击疫情央企行动#疫情当前，广东移动坚定信心，共克时艰，既要打赢疫情防控大战，也要答好复工复产考题，我们和您“战”在一起！
中佛网官方微博,:#抗击新型肺炎我们在行动##万众一心抗击疫情#携手抗疫，共克时艰——海南省佛教界捐赠40多万元抗疫物资阅读全文→http://t.cn/A67OpJmd@海南省佛教协会2020年3月1日，在海南省佛教协会的倡议和组织下，海南省佛教界四众弟子通过海南南海慈爱基金会齐心协力捐赠的抗疫物资3000套医用防护服及其他非医用物资均顺利送往海南省和湖北省相关防疫一线。海南省人民医院、海口市人民医院、海口市中医医院相关工作人员在省委统战部宗教二处徐世书处长、冯方泽副处长及海南省红十字会工作人员的见证下，分别接收了1000套、500套、500套，共计2000套医用防护服。海南医学院第二附属医院则在各方见证下接收了由海南莲华生态文化股份有限公司捐赠的10箱/600袋莲花素面、600瓶睡莲酵素精粹露、200盒热带香莲茶。同期，向湖北襄阳捐赠的1000套医用防护服也顺利到达老河口市新型冠状病毒感染的肺炎防控指挥部。此次捐赠的抗疫物资总价值约43万余元。
lazy_Leemon1130,关晓彤、黄景瑜、官鸿主演的#电影月半爱丽丝#官宣撤档，原定于两日后上映，这也是黄景瑜今年继《荞麦疯长》后第二部撤档的电影。该片讲述胖女孩林晓曦变身大美女爱丽丝，与青梅竹马的音乐才子韩冰的爱情故事。电影月半爱丽丝的微博视频
中国国际时装周,:发布了头条文章：《时尚有我·共克时艰|看汇美如何解锁线上营销新玩法》疫情重压下的服装零售业，正在遭遇人流清冷的“寒冬淡季”，以往的“购物春潮”不复存在，给了服装品牌和企业沉重一击。#中国国际时装周##中国原创设计力量##支持中国原创设计力量#http://t.cn/A67Op4ZDhttp://t.cn/A67Op4Ze
不要搞我我好怕,倒计时3天！！#优酸乳缤纷果果粒春日上新#🌸云发布会！你，准备好了吗？！http://t.cn/A67NM1uX携手优国优民优酸乳亮相@芒果TV云发布会啦！！戳链接快和#宋威龙[超话]#抢先在#樱花加优季#品尝这份春日酸甜沁爽！#和宋威龙约会樱花季#我们不见不散哦~http://t.cn/A67oSsRQhttp://t.cn/A67NM6Jk
抹茶杏仁芬芬,#为家守护共克时艰#，舒小羊为#万和“安全家”行动#点赞！@舒达床垫让宅家日子睡得更踏实。
戀小海豚1130,#电影月半爱丽丝#万众一心，共克时艰！[加油]特殊时期要保护爱的人的健康！等疫情结束，再和你谈一场甜甜的恋爱。
宝洁招聘,於細微處見真情！截至今日，@宝洁中国攜手旗下品牌累計捐資捐物1645萬元人民幣，馳援湖北。前線的需求時刻牽動著我們的心。第八批援鄂物資由@SK-II出資採購了價值200萬人民幣的呼吸器和防護服送往武漢，支援一線抗疫工作。希望我們貢獻出一份力，助力醫護在前線守護更多生命！宝洁馳援，共克時艱！
新云麟,#为家守护共克时艰#，阿飞给#万和“安全家”行动#点赞！黄飞红麻辣花生为你的生活添滋味！@黄飞红huangfeihong与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！转发评论，3月31日抽1位幸运鹅送故宫手帐@微博抽奖平台
抹茶杏仁芬芬,#为家守护共克时艰#，我为#万和“安全家”行动#点赞！因为赛普瑞斯，爱上厨房，让宅家生活五彩缤纷。我承诺，与@万和电气一起，用云端服务助力抗疫，坚持零接触服务标准，以爱之名，守护温暖家！关注@赛普瑞斯带话题转发+评论本微博，3月31日抽1位幸运鹅送【故宫围裙】一条！@微博抽奖平台
elyn128,#意大利疫情#疫情面前，我更深地理解了何为“爱在华师大”♥️就是我们即使身在异国他乡，依然会收到来自学校的问候和来自学院的温暖@华东师范大学@华东师大设计学院团委感谢设计学院万里迢迢寄来的口罩😷其实对我们来说最重要的已经不是口罩本身，而是我们知道，无论身在何方，华师大都是我们坚强的后盾🛡️（补充一句：欢迎大家报考这个充满爱的学校——华东师范大学！）http://t.cn/RU1Utk9
泗县教体局,:#屏山中心校#【齐心协力克时艰爱心捐赠抗疫情】自新型冠状病毒肺炎疫情爆发以来，为打赢这场没有硝烟的战“疫”，全国上下齐心协力，共克时艰。而在这场战“疫”中，也有不少爱心人士始终牵挂着学校师生们的生命健康和安全。3月2日，泗县新华书店经理马豹代表新华书店向屏山中心学校捐赠了防控物资：酒精、84消毒液及口罩。屏山中心学校后勤部主任董礼代表学校接受物资捐赠，并对新华书店表示由衷的感谢。此次新华书店的爱心捐赠，不仅是助力屏山中心学校打赢疫情防控阻击战的物资支持，更是对全校教职工的巨大精神鼓舞。学校新冠肺炎防控小组也将根据学校疫情防控的总体安排，统一调配和使用这些物资，确保发挥最大效益，坚决维护广大师生的生命安全和身体健康，全力以赴防控疫情。#教体动态#（特邀主持：梁雅慧）
开心冰峰,#太原生活##太原身边事#【共克时艰，太原战“疫”】3月1日，太原市最后1例新冠肺炎确诊患者治愈出院。至此，太原市累计治愈新冠肺炎患者出院病例20例，实现了确诊病例和疑似病例“双清零”，医务人员“零感染”，太原战“疫”取得阶段性成果。每位市民都身处其中，共同演绎这座城市暖心的抗疫故事。#抗击疫情山西在行动#向为太原战“疫”作出无私奉献的医务工作者和市民致敬！http://t.cn/A67OqdS4
新浪山西旅游,#抗击疫情山西在行动#【一起回顾这个没有硝烟的战场
