北京华军中医医院中医血液科,:谢别录主任用手机与患者进行远程会诊指导诊疗.mp4生活咨讯的优酷视频@优酷
疫苗与科学,:#新型冠状病毒#老大对新冠疫苗研发提出建议！3月2日，老大先后来到军事医学研究院、清华大学医学院考察新冠肺炎疫情科研攻关和诊疗救治工作，了解疫苗、抗体、药品、快检产品等研究和应用进展情况，看望慰问专家和科研人员，并主持召开座谈会，听取有关部门负责同志和科研人员的意见和建议。在谈到疫苗时，老大指出：疫苗作为用于健康人的特殊产品，对疫情防控至关重要，对安全性的要求也是第一位的。要加快推进已有的多种技术路线疫苗研发，同时密切跟踪国外研发进展，加强合作，争取早日推动疫苗的临床试验和上市使用。要推进疫苗研发和产业化链条有机衔接，加快建立以企业为主体、产学研相结合的疫苗研发和产业化体系，建立国家疫苗储备制度，为有可能出现的常态化防控工作做好周全准备。……陶医生点评：我非常希望看到中国能第一个研发出新冠疫苗。新冠病毒是在中国发现的，那就让它在中国大地上最早被制服吧！http://t.cn/A67N2K0n
新都资讯,:#新都服务#【新都区人民医院各专科门诊有序恢复】为贯彻落实国家卫健委“一手抓疫情防控，一手抓医疗服务”的文件精神和政府相关公告，在筑牢疫情防控战线的同时，新都区人民医院即日起逐步有序恢复正常诊疗。请携带身份证和社保卡，严格实名制就诊，配合医务人员测量体温和预检分诊，以降低交叉感染风险，保证您安全、快速就诊。具体安排请戳链接：http://t.cn/A67N2ILn@成都市新都区人民医院
株洲发布,:【株洲二级以上医院基本恢复正常诊疗！特殊时期去看病，要注意些啥？】在家蛰伏一个多月，许多老病号急问到底能不能去医院看病？市卫健委副主任姚智辉表示，最好先网上预约挂号，通过医院的微信公众号了解医生的出诊信息，合理选择就诊时间，这样既减少了在医院的停留时间，也减少交叉感染的概率。
佛山本地,:#新型冠状病毒肺炎#【90岁！广东最大年龄患者出院，医生详解治疗过程】今天上午，90岁的李光（化名）从广州市第八人民医院出院。他是目前广东年龄最大新冠肺炎出院患者，此前病情一度危重。李光经历了怎样的诊疗过程？记者在市八医院了解到，李光入院后，市八医院按照《新型冠状病毒感染的肺炎诊疗方案》，对患者给予抗感染、提高免疫力，吸氧、雾化、祛痰，以及“肺炎一号方”中药治疗，定期组织专家会诊，及时对患者病情进行讨论和研判，根据病情变化及时调整治疗方案。via@佛山日报更多请戳→http://t.cn/A67CjsZk
疫苗与科学,:#新型冠状病毒#老大对新冠疫苗研发提出建议！3月2日，老大先后来到军事医学研究院、清华大学医学院考察新冠肺炎疫情科研攻关和诊疗救治工作，了解疫苗、抗体、药品、快检产品等研究和应用进展情况，看望慰问专家和科研人员，并主持召开座谈会，听取有关部门负责同志和科研人员的意见和建议。在谈到疫苗时，老大指出：疫苗作为用于健康人的特殊产品，对疫情防控至关重要，对安全性的要求也是第一位的。要加快推进已有的多种技术路线疫苗研发，同时密切跟踪国外研发进展，加强合作，争取早日推动疫苗的临床试验和上市使用。要推进疫苗研发和产业化链条有机衔接，加快建立以企业为主体、产学研相结合的疫苗研发和产业化体系，建立国家疫苗储备制度，为有可能出现的常态化防控工作做好周全准备。……陶医生点评：我非常希望看到中国能第一个研发出新冠疫苗。新冠病毒是在中国发现的，那就让它在中国大地上最早被制服吧！http://t.cn/A67N2K0n
新都资讯,:#新都服务#【新都区人民医院各专科门诊有序恢复】为贯彻落实国家卫健委“一手抓疫情防控，一手抓医疗服务”的文件精神和政府相关公告，在筑牢疫情防控战线的同时，新都区人民医院即日起逐步有序恢复正常诊疗。请携带身份证和社保卡，严格实名制就诊，配合医务人员测量体温和预检分诊，以降低交叉感染风险，保证您安全、快速就诊。具体安排请戳链接：http://t.cn/A67N2ILn@成都市新都区人民医院
株洲发布,:【株洲二级以上医院基本恢复正常诊疗！特殊时期去看病，要注意些啥？】在家蛰伏一个多月，许多老病号急问到底能不能去医院看病？市卫健委副主任姚智辉表示，最好先网上预约挂号，通过医院的微信公众号了解医生的出诊信息，合理选择就诊时间，这样既减少了在医院的停留时间，也减少交叉感染的概率。
黄石广播电视台,:#疫情辟谣#【谣言：安宫牛黄丸可预防新冠肺炎】近日，有消息称安宫牛黄丸可预防新冠肺炎。鉴定结果：谣言权威解读：安宫牛黄丸不能预防新冠肺炎，该药属于急救药品，用于热闭证。该药不是《新型冠状病毒肺炎诊疗方案（试行第六版）》推荐的治疗新冠肺炎的药物，切记不可滥用。该药清热解毒，镇惊开窍。用于热病，邪入心包，高热惊厥，神昏谵语；中风昏迷及脑炎、脑膜炎、中毒性脑病、脑出血、败血症见上述证候者。安宫牛黄丸药性寒凉，请遵医嘱辨证使用。素体脾胃虚寒者慎用；孕妇慎用；肾功能不全者慎用；过敏体质者慎用；哺乳期妇女、儿童、老年人使用本品应遵医嘱。（来源：光明网）
环球网,:【外交部：#中方对部分国家面临的困难感同身受#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（央视）
微读临沂,:#临沂身边事#【临沂市又有2名新冠肺炎患者治愈出院！累计出院47人！】近日，临沂市新冠肺炎疫情防控再次传来好消息，临沂市人民医院又有2名新冠肺炎患者治愈出院。患者彭某某、管某某在专家组科学诊治、医护人员精心护理下，恢复情况良好，经省级专家和医院专家组会诊，符合国家卫生健康委最新诊疗方案出院标准，顺利出院。截至目前，全市累计出院47人。http://t.cn/R2WxT6z
新浪湖北健康频道,:【“5G超声云”助力新冠肺炎危重症患者云端诊疗
CCTV4,:【外交部：#中方对部分国家面临的困难感同身受#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（总台央视记者朱若梦靳丹妮）
云上深夜快递,:【外交部：#中方对部分国家面临的困难感同身受#】今天，外交部发言人赵立坚表示，中方已向巴基斯坦、日本、非盟等提供了检测试剂，向很多国家分享了诊疗方案，#中方向伊朗派遣志愿专家团队#。我们将视疫情发展，在继续做好本国疫情防控的同时，在力所能及的范围内向外方提供支持。（央视新闻）
丰台区南苑乡,:#北京战疫#【#返京外籍人士进小区需登记#】北京市委组织部副部长张强介绍，返京外籍人士进入小区时，需进行登记，填写基本信息、报告健康状况、了解防控政策。居家观察的外籍人士每天通过微信、电话或短信等方式报告体温检测情况。如有发热和呼吸道症状，要及时前往发热门诊进行诊疗排查。详细了解👉http://t.cn/A67NA0CA
hjinhgffh,【李文亮同科室同事眼科副主任#梅仲明医生因新冠肺炎去世#】#李文亮同科室同事因新冠肺炎去世#3月3日，网上爆出武汉市中心医院眼科医生梅仲明因新冠肺炎感染去世。3日中午，封面新闻记者从武汉市中心医院一名医生处证实，当天中午，梅仲明医生去世，他和此前去世的李文亮同科室，是该医院眼科副主任、主任医师。武汉市中心医院另一名医生介绍，梅仲明医生是在抗击新冠肺炎的战役中倒下，这是该医院第3位殉职的医生。“他和李文亮一组，感染也是前后不久。”（封面新闻）
宁德青年,:【患者大爷“闹情绪”，护士一嗓《穆桂英挂帅》稳住了，还跟着打起来拍子】现在不会点才艺，护士都干不了，太暖了。医护人员多才多艺，不仅能治病救人还能逗患者开心，感谢战斗在一线的白衣战士，为你点赞
四號可愛收藏家,:#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他地方如果一直这么吊儿郎当，不知道会不会死很多人…然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
火车南站街道,:【成都至西宁铁路、都江堰至四姑娘山山地轨道交通等项目力争3月底前开工】3月2日，从四川省新型冠状病毒肺炎疫情防控工作第12场新闻发布会以网络发布会的形式召开。成都至西宁铁路、都江堰至四姑娘山山地轨道交通、省肿瘤诊疗中心等10个具有一定标志性、影响力较大的重大项目，力争3月底前陆续开工。（红星新闻）
民族时报,:【#云南#首个AR+5G+三维数字“#新冠肺炎#”远程会诊系统上线】本报讯（民族时报全媒体记者赵振翔）3月2日，AR+5G互联网三维数字化新冠肺炎远程会诊系统在昆明医科大学第一附属医院（以下简称“昆医附一院”）5G智慧医疗创新中心上线，该系统会诊在全国领先、属云南首创。系统的上线在守住新冠肺炎诊疗接触风险底线、打破会诊地域局限的同时，运用先进的三维重建技术以及AR增强现实技术完整立体地还原患者CT影像，让病变特征能够更加直观地呈现。AR+5G互联网三维数字化新冠肺炎远程会诊系统上线当天，昆医附一院专家对云南省传染病院1例患者进行会诊。视频里面，昆医附一院驻省传染病院医疗队队长、医学影像科何波通过会诊系统调取共享数据，对1名新冠肺炎患者在转院前后两次的肺部CT影像及三维模型进行详细介绍。昆医附一院院长王昆华、副院长何飞等专家根据视频中患者的病变情况介绍和肺部病变三维影像呈现作出远程诊断指导。据王昆华院长介绍，AR+5G互联网三维数字化新冠肺炎远程会诊系统通过整合数字化三维重建、AR增强现实技术与3D打印技术优势，运用先进的三维重建技术以及AR增强现实技术完整还原患者CT影像，让影像呈现立体、三维、透视的效果，通过AR眼镜、控制输入器等设备可360度全景观看器官的形态、大小以及细微结构，能够清楚看到病变的边缘、实质、直径，非影像专业的医生也能通过AR的直观呈现实现精准诊断，为患者制定个体性化治疗，应用过程贯穿于诊断、治疗、康复整个过程，从而降低手术风险，减少手术并发症，提高治愈率。据悉，本次远程会诊是中国移动云南公司与昆医附一院共同打造的5G智慧医疗创新中心联合云南增材佳唯科技公司在“新冠肺炎”疫情特殊时期，利用AR+5G+三维数字推出的一系列创新举措。昆医附一院作为云南省龙头医院，在智慧就医服务、应急救援体系、远程手术操作、远程会诊等5G融合技术应用方面做了大量卓有成效的探索工作，目前已启用了VR患者隔离探视病房、CT室AI智能医生诊断等全国领先技术，数字化医疗、未来医疗、个性化医疗、智慧医疗融为一体现代医疗的模式已经在医院形成。昆医附一院将继续加强5G医疗领域的创新和实践，让更多前沿、高效、优质、便捷的现代化医疗技术造福人类健康。转载请注明来源《民族时报》
不等了昂仅而,:#老苏#并不认为当初存在瞒报，因为它是一个全新的病毒，大家并不认识它。一个人被传染到发病算一周，再到就医，再到医学检测发现它，至少一共要十天吧，也许早期在家吃药，持续不见效，再去医院也是可能发生的，再有普通医院无法诊治，再转院也是会发生的，那么时间就会更长，且这期间也是在不断的传染的（这期间我们还不知道它要来）。而一号病人在被确诊之前，被他接触并传染的其他人，也在不自知的情况下以任意形式，去传染更多的其他人。第一批被一号病人传染的人，最快也要在被传染后的4-7天内发病，也可能是14天之久，未确诊期间，传染他人从未停止。这样，粗略算来，至少至少要20天，才会激增确诊病例（病毒的快速传播，在即将来临之际，我们根本没有上万的准备，几万医护，几万床位，以及更多我们想不到的物资与设备，更别提封城，各种各样的各行各业的协调）。且早期专家医护在仅有的病例下，很难给出精确的答复，而且还是在流感、肺炎的高发季，前后左右，无论他们说什么，他们都是要负责的。本身这个病毒的周期就长，还有无症状感染者，如果当初一号病人家属没有发病，那早期对它的认识肯定是有限的，当医护发病或一号病人家属发病，才会对病毒的认识进一步加深。对病毒认识加深的同时，病毒也在加速传播，每一次的加深认识，也会不断提升诊疗方法，那么相应的数字也会增加，例如，日确诊量激增一万多例（这背后，是各行各业众多逆行者们，日夜不眠努力后以数字的一个呈现），又如，10次检测9次阴性。之所以写这么多，只是希望能够有人知道，没有人愿意这一切的发生，没有人愿意看到生离死别，而这一切又是面临未知事件，在认知过程中所必须付出的代价。
乌兰浩特政法,:【伊朗：恶意囤积防护物资相当于草菅人命】伊朗司法总监易卜拉欣·莱西2号强调，在当前疫情暴发的情况下，恶意囤积医用防护物资相当于草菅人命，将受到严惩。#众志成城战疫情##世卫组织工作人员在伊朗感染新冠病毒##伊朗将中国诊疗方案译成波斯语#央视网快看的微博视频
安好world,:#伊朗将中国诊疗方案译成波斯语#不知道说什么好，只蹭热点“请取消来中国留学生超国民待遇”，中国人要对中国人的学生好，别国的留学生正常待遇就好，请中国教育部们不要崇洋媚外！欺负中国学生！不要自己轻贱自己同种族人！中国学生住4人一间，外国留学生凭什么1，2人一间，学费出的多？
青春绍兴,:#伊朗将中国诊疗方案译成波斯语#【世卫组织专家积极评价中国抗“疫”举措
天津书城,:#伊朗将中国诊疗方案译成波斯语#希望中国诊疗医术可以治愈更多世界人民
Duomi2020AAA,:#伊朗将中国诊疗方案译成波斯语#中东：三国确诊病例增加据伊朗伊斯兰共和国通讯社报道，截至3月1日，伊朗新冠病毒感染确诊病例上升至987人，其中54人死亡，123人治愈。目前疫情已扩散至27个省。黎巴嫩卫生部1日宣布，黎巴嫩当天新增3例新冠病毒感染病例，确诊病例总数达到10例。黎卫生部在声明中说，3例新增病例近期均有伊朗旅行史，自我居家隔离时出现症状后转移至首都贝鲁特一家医院接受治疗。另有13人在同一家医院接受隔离观察。伊拉克卫生部1日报告该国当天新增6例新冠病毒感染病例，确诊病例总数增加到19例。伊拉克卫生部在一份声明中说，1日首都巴格达报告2例新增病例，北部苏莱曼尼亚省报告4例。这些新增病例均有伊朗旅行史。为控制新冠肺炎疫情，伊拉克政府采取了学校停课、停止集会等措施
红旗文稿,:【迅速高效的疾病研究为人类战胜疫情奠定坚实基础】中国第一时间与国际社会分享研究成果，刷新了人类对新型冠状病毒的认知，加快了国际科研力量对病毒的研究速度，为学界和业界开展病理学研究、研制疫苗、开发诊疗工具发挥了重要的基础性、技术性支撑作用，为此次战“疫”最终胜利奠定了坚实基础。
许我悠悠白云,【#深圳学生录制全英文抗疫演讲#！数十万中外网友点赞】突然体会到为什么演讲需要感情！近日，有一段英文短视频火了！这段名为《WeAreAllFighters》（我们都是战士）的视频最打动人的特质是质朴而有力的朗读。来自深圳的美女学霸刘洁说，她希望通过自己的努力，为所有正在经历这场疫情的同胞传递信心和希望，让世界听到中国不屈的斗志和必胜的决心。#VOAEC精选[超话]#http://t.cn/A67vKROl#VOAEC地道口语##VOAEC口译##VOAEC精选#
天津政法,:【伊朗：恶意囤积防护物资相当于草菅人命】伊朗司法总监易卜拉欣·莱西2号强调，在当前疫情暴发的情况下，恶意囤积医用防护物资相当于草菅人命，将受到严惩。#众志成城战疫情##世卫组织工作人员在伊朗感染新冠病毒##伊朗将中国诊疗方案译成波斯语#央视网快看的微博视频
腾冲政务,:#加强疫情防控云南在行动#《腾冲市疫情应急指挥部关于进一步加强发热病人分级分类诊疗管理的通告》随着生产生活秩序的全面恢复，来（返）腾人员持续增多，为做好精准防控，做到“早发现、早报告、早隔离、早治疗”，保障人民群众生命安全和身体健康，现将进一步加强发热病人分级分类诊疗有关事项通告如下：@世界腾冲___天下和顺@腾冲滇滩http://t.cn/A67CGyea
每天尽量吃的消耗,据伊朗记者默罕默德.瑞泽在海外自媒体发出伊朗某处视频：许多白色以及黑色的装尸袋摆放着地上，甚至有些尸体因为没有装尸袋，而被放入纸箱子。行业洞察者的微博视频
LV_美人,:#伊朗将中国诊疗方案译成波斯语#能帮助别国是再好不过的事了，希望中国人对人命的这种“大惊小怪”，这种幼吾幼、老人老，怜病惜弱，能惠及远交近邻。
虫多无咬,:这“神医”或比诊疗指南里的那些中医专家更靠谱。既然是一种“博大精深”的理论，那使用的“超乎想象”的手段，是可以理解的。中医原本是师承的，本不该对中医搞什么资格认证，有师徒证明就行了，也不用追溯到孙思邈医仙那里。只要不影响国家的法律法规条例政策等等，就让他们发挥吧。信奉者只要接受是否在民法和合同法上就形成了甲乙双方了呢，俺不懂。总之吧，放开些不是放纵就好，或许有助于中医事业或者中医药产业的发展。
金轮新闻资讯,:#伊朗将中国诊疗方案译成波斯语#在伊朗，部分民众在网上分享舔舐和亲吻圣墙的画面和视频，以表明他们并不害怕该国日益严重的冠状病毒疫情。舔舐墙壁的民众称，希望墙壁上的病毒进入自己体内，这样就可以保证之后舔墙的人是安全的，画面中甚至有孩子舔舐墙壁。据外媒报道，截至3月2日中午，伊朗共确诊新冠肺炎病例1501例，其中291例康复，66例死亡。#全球抗疫第一线##轻松一刻##迷之尴尬##金轮新闻资讯#http://t.cn/A67CbEQV
大号刘磊,:#伊朗将中国诊疗方案译成波斯语#病毒不分贫穷富贵，也不认真主和上帝，还是多加预防。北京·金隅国际
梅酱酱Kira,:#伊朗将中国诊疗方案译成波斯语#抄作业了呀
西安一套,:【#伊朗将中国诊疗方案译成波斯语#全国推广#外长扎里夫前顾问确诊感染新冠肺炎#】据海外网报道，伊朗驻华大使馆发布微博表示伊朗将采取系列措施加强疫情防控，包括将中国诊疗方案翻译为波斯语向公众发布，组织30万个小组开展全国入户排查等。伊朗外长扎里夫的前顾问侯赛因确诊感染新冠肺炎病毒，目前正在接受治疗。#全球抗疫第一线#http://t.cn/A6793wEb
银子harder,:#伊朗将中国诊疗方案译成波斯语#抄作业还挺积极的啊，不过希望都快点过去吧。
黄同学叫青青,:#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来。其他地方如果一直这么吊儿郎当，然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
长春共青团,:#防控疫情我们同行#【轻松好记！健康防疫小口诀来了！
宝鸡直播,:#宝鸡直播频道#为满足疫情防控期间广大市民朋友日常看病就医需求，经申请区卫健局同意，宝鸡市陈仓医院从3月2日（星期一）起，全面恢复医院日常门诊和住院诊疗工作（含城内门诊部），实行无假日门诊，急诊科24小时接诊（急救电话8906120、8906230），宝鸡市陈仓医院将竭诚为您提供优质、安全、高效的医疗服务。http://t.cn/A67C45l0
正义随州,:【#伊朗将中国诊疗方案译成波斯语#全国推广#外长扎里夫前顾问确诊感染新冠肺炎#】据海外网报道，伊朗驻华大使馆发布微博表示伊朗将采取系列措施加强疫情防控，包括将中国诊疗方案翻译为波斯语向公众发布，组织30万个小组开展全国入户排查等。伊朗外长扎里夫的前顾问侯赛因确诊感染新冠肺炎病毒，目前正在接受治疗。http://t.cn/A6793wEb
陕西反邪教,:符合条件“互联网+”医疗服务费纳入医保　　国家医保局、国家卫健委日前联合明确，经卫生健康行政部门批准设置互联网医院或批准开展互联网诊疗活动的医疗保障定点医疗机构，其为参保人员提供的常见病、慢性病“互联网+”复诊服务可纳入医保基金支付范围。
哥斯拉不说话Saudade,:#伊朗将中国诊疗方案译成波斯语#欢迎大家来抄作业
Dr_SYK,:#伊朗将中国诊疗方案译成波斯语#问题是有些中药怎么翻译呢翻译出来他没有怎么办
风之子FC,:将中国诊疗方案译成波斯语！伊朗：像任何困难都打不倒中华民族一样，也不会有任何困难打不倒伊朗
沈阳网,:【丹东新增3例行程轨迹公布！】广大市民朋友：3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某有密切接触人员，请在上述过程中与此二人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
爱国熊猫老爷,:上海市公共卫生临床中心党委书记卢洪洲教授向《中国新闻周刊》介绍说，上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳
古玩哥,:一华人女子自述在意大利发生的一件很可怕的事，她在米兰被四名男子骂中国病毒，在这种情况下她没有与其理论，对骂，也没有选择报警，竟然是第一时间给妈妈打电话，还要回国
大强爱拍照,:#伊朗将中国诊疗方案译成波斯语#事实证明，中国所采取的措施是得到外界认可的，其实除去伊朗之外，还有一些国家也在借鉴相应的措施，只不过行动比嘴要诚实。现在新冠肺炎已经成为全球性的了，希望人类早日打赢这场战疫。
我是CR99,:#伊朗将中国诊疗方案译成波斯语#咱们去别国都是二等公民别人来咱们家是超一等公民不合理啊
四川工会驻杭州法律援助站,:10、两部门：符合条件的“互联网+”医疗服务费纳入医保来源：新浪财经　　国家医保局、国家卫健委日前联合下发的《关于推进新冠肺炎疫情防控期间开展“互联网+”医保服务的指导意见》明确，经卫生健康行政部门批准设置互联网医院或批准开展互联网诊疗活动的医疗保障定点医疗机构，按照自愿原则，与统筹地区医保经办机构签订补充协议后，其为参保人员提供的常见病、慢性病“互联网+”复诊服务可纳入医保基金支付范围。
新浪陕西延安,:#延安身边事#《延安市人民医院3月2号起全面恢复门诊病房日常诊疗工作》#延安民生#延安市人民医院3月2号起全面恢复门诊病房日常诊疗工作
tin酱酱,#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他地方如果一直这么吊儿郎当，不知道会不会死很多人…然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
湖北新闻News,:【伊朗将中国诊疗方案译成波斯语，要学中华民族一样不被困难打倒！】#伊朗将中国诊疗方案译成波斯语##勇战疫情中国要强#湖北新闻News的微博视频
無愛戀人,:#伊朗将中国诊疗方案译成波斯语#伊朗采用的就是我国的方法了，希望疫情也能尽快控制下来#法国买口罩需医生开处方#
tin酱酱,#浙江新增7例均为意大利输入病例#现在全世界已经都是疫区，入境一定要做定点隔离，千万不能掉以轻心，希望疫情早日结束吧#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他国家如果一直这样不配合不重视，也只会越来越严重……
杭州萧山牙科医院,:众志成城，抗击疫情层层防护，安全诊疗杭州萧山牙科医院让您看牙更安心！杭州萧山牙科医院的微博视频
半生与白昼,:#浙江新增7例均为意大利输入病例#欢迎同胞回国治疗，但前提是保障机场直接隔离，以免发生大规模感染。保护中国来之不易的战疫结果！#伊朗将中国诊疗方案译成波斯语#结合本国国情找到适合自己国家特点的诊断方案祝福伊朗人民早日战胜疾病。每个疫区都要重视起来，做好防范！
彭州发布,:【成都市二医院普通门诊已全面开放，可提前14天预约】#都知道#自2月26日起，成都市第二人民医院逐步有序恢复正常诊疗工作，截至目前，已经全面开放普通门诊。在成都市二医院定点治疗的病情稳定的门诊特殊疾病患者（包括成都市医保、省本级医保及异地医保门特患者），经医生评估后，可最多一次性开具90天用量的门特药品（成都市医保患者一次开具处方量限治疗方案申请的用药量内），并可以在延长处方时间的药品在用完前的14天（根据处方用法用量以及开药量计算）提出申请。成都市二医院建议掌上预约普通门诊，推荐手机微信或支付宝挂号，按挂号单提示就诊时间分时段来院，避免拥堵。患者可以通过医院微信服务号或者支付宝生活号预约14天以内的专科门诊。（红星新闻）
哼哼哼哼哈嘿呦哼哈,:#伊朗将中国诊疗方案译成波斯语#把中药带到伊朗去
搞笑是不正经的,:魔术好不好我一眼就能看出来！[吃#搞笑视频##一句冷幽默##伊朗将中国诊疗方案译成波斯语#搞笑是不正经的的微博视频
西北哥,:#伊朗将中国诊疗方案译成波斯语#我们用生命摸索出来的经验教训，希望你们可以认真吸取应用
微博健康贴士,发布了头条文章：《疫情期间“云复诊”，常医生建议您这样做》疫情期间“云复诊”，常医生建议您这样做#常医生让牙齿大不同[超话]#@赛德阳光口腔@赛德阳光口腔临床研究院@齐呗
