珠宝匠,:浮力通知
天津日报,:【助力应急发热门诊快速建设填补技术空白天津建院18天编制完成国家标准图集】日前，天津市建筑设计院作为第一主编单位，编制完成《应急发热门诊设计示例（一）》国家标准图集，正式对外发布并免费公开，为完善疫情防控策略和措施，助力全国应急发热门诊快速建设和升级提供技术支撑。该图集从2月12日立项编制，至2月29日正式发布网络版，仅历时18天，创下国家标准图集编制最快记录。在2003年抗击非典疫情中诞生的天津市建筑设计院医疗设计院，曾承担了我市海河医院紧急改建任务，多年来已完成百余项、500万平方米的医疗建筑设计。此次，为积极推动和规范全国应急发热门诊建设，天津市建筑设计院第一时间联合中国建筑标准设计研究院共同编制《应急发热门诊设计示例（一）》国家标准图集，同时邀请天津市卫生健康委员会、河北省卫生健康委员会、北京市医院管理中心、中国医学装备协会医用气体装备及工程分会、中建一局（集团）有限公司参与编制，确保该图集的合规性、安全性、适用性和可行性。据了解，该标准图集编制严格执行国家现行标准和规范要求，紧密结合应急建设需求和新冠肺炎疫情，进一步整理并细化医疗工艺流程设计，确保疫情发生时迅速建设用于应急诊断和疑似病例留观的发热门诊，满足就医流程及医院感染防控要求，最大程度降低就医过程中医患之间以及患者相互感染的风险。（记者陈璠）
李纠结L,:我离职后前单位社保只管缴到今年1月，今年2月10号左右才操作减员。因为疫情影响我没能及时到银行和社保局办理个人缴纳业务，今天去北京石景山社保局办理，被告知只能企业办理补缴，个人无法补缴。若不是因为疫情我2月就去办理了不会断，请问针对疫情期间个人断缴有没有处理对策？@北京人社@人民日报@北京石景山@北京日报
忠县人民政府新闻办,:【金声乡16名返乡人员就近就业】via忠州日报“今年我不打算出门了，已在家乡找到工作，请你谅解。”近日，经金声乡社保所工作人员介绍，该乡樟岭村四组返乡人员张安伦顺利在家乡找到工作，并在电话里向老板辞职。今年，受疫情影响，大部分外出务工人员至今仍滞留在家。金声乡社保所工作人员在走访中了解到，一边是农民工不能及时外出复工，一边是家乡的企业急需用工。为缓解这一矛盾，金声乡社保所当起了“红娘”，了解辖区企业的用工需求和村民的务工要求，并及时对接。自2月15日以来，金声乡社保所工作人员已成功组织16名返乡人员到一家榨菜加工企业就近务工。另外，他们还及时通过微信等发布县内工业企业用工需求，让更多人实现就近务工。
衡阳发布,:【#从韩意日伊朗等入境北京需隔离14天#】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。北京作为全国最重要的入境口岸之一，防范疫情输入风险的压力很大。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，加强力量统筹，开展工作调度，应对境外疫情风险输入的工作全面有序铺开。我们主要做了这几个方面的工作：第一，建立了口岸联防联控机制，组织民航局、海关、公安、卫健、外事、边检、机场等部门联勤联动，统筹做好信息通报、身份登记、健康监测、应急处理等工作。第二，加强信息获知，通过驻外使领馆，提前了解伊朗等疫情严重国家留学生、务工人员的回国意愿，以便有针对性地提前做好工作预案。第三，依据《中华人民共和国国境检疫法》等法律法规，全面加强入境检验检疫工作。严格落实入境人员《健康申报卡》填报，实现全员、全项、电子化、可共享。第四，严格落实隔离观察措施。此前，我们对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化我们要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。第五，对到达北京的航班加强始发地健康安全提示，提醒乘机人员、乘务人员，全程佩戴口罩，加大途中体温检测频次。如果在途中出现体温异常情况的，开启相对独立的空间，保证相对隔离。
长春共青团,:【日韩两国口罩价格飞涨，日本医用口罩单价突破300元人民币】据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约合人民币23元），较疫情前增长6-8倍。据日本时事通讯社报道，普通的一盒医用口罩（40只装）可以卖到20万日元（约合人民币12937元），平均每只5000日元（约合人民币323.5元）。#防控疫情我们同行#http://t.cn/A679XRyL
银海宣传,:#复工复产#2月27日，银海区委常委、区纪委书记、区监委主任庞唐声带队到北海二建洪业混凝土有限公司等企业开展走访慰问工作，了解企业是否如期复工复产、是否做好防疫措施、有何困难需求等，并督促协调相关职能部门跟踪做好保障服务工作。他指出，复工复产关乎经济社会大局稳定，要统筹推进疫情防控和经济社会发展工作，督促扎紧防控篱笆，确保疫情防控有力有效、复工复产有序有力。
小西茜呢,:小西茜的货，亲爱的客户：不是我转行了！是因为疫情阻碍了旅游，作为旅游从业者，我们有了时间和精力，连同全国各地的合作伙伴，一同帮助当地农户解决农产品的销售。若您正好需要，恳请您选择我们的产品，感谢您对农民朋友的支持！同时也欢迎有时间、有精力的伙伴加入我们，帮我们转发，为扶农事业贡献一点力量！http://t.cn/A67Nwt7L
酉禾茶,:熬药整个屋子现在充斥着满满的浓浓的中药味休息了一个多月这样的日子又开始何时是头上午去医院看病了因为疫情要先去填单子交给医生后才给你看病我填完单子回来刚坐下医生就说我是不是胃口不好吃不得啊我
河北廊坊中院,:#冀法战疫#香河法院走访企业护航复产复工为了给企业提供最高效的司法服务，保障企业在抗疫期间的合法权益，根据县委、县政府要求，香河县人民法院开展机关干部入企联络服务活动。3月3日，该院党组副书记、副院长侯东祥，审委会专委王金生一行在开发区工委副书记张金武的带领下走访了尼马克焊接设备（香河）有限公司、世航飞远机场设备（香河）有限公司等五家包联企业，指导企业疫情防控和复工复产工作。侯东祥一行查看了企业口罩、消毒液等防疫物资储备情况及一线工人口罩佩戴、体温测量及车间消毒记录表等疫情防控情况，认真听取了企业负责人对疫情防控和企业复工复产情况的介绍，叮嘱企业负责人要把疫情防控工作放到第一位，决不能掉以轻心，要将疫情防控措施落实落细，做到疫情防控与企业生产两不误，生产才能有保障，整体工作才能真正见成效。在详细了解企业复工复产后在生产经营上存在的问题及遇到的困难后，侯东祥提出了针对性的建议，并向企业介绍法院依托移动微法院等在线诉讼平台，全面开展网上立案、调解、庭审等在线诉讼活动的情况。随后，该院将对五大企业存在问题和整改情况进行跟踪回访，督促限期解决。香河法院将充分发挥审判职能，依法保障企业在疫情防控期间的诉讼权利，为企业复工复产提供法律服务，确保疫期复工复产企业生产经营依法有序开展。
健康龙泉驿,:#新型冠状病毒防控##医护后盾#【坚守初心护佑健康】疫情防控关乎生命，复工复产关系生计。龙泉驿区为国家级经济技术开发区，入驻企业多，复工任务重。负责职业卫生健康的龙泉驿区卫生计生监督执法大队游君同志，为做好企业复工复产工作，巧用“加减乘除法”，促进企业在疫情期间高效、安全、有序复工。
云南网,:【香格里拉市金江镇：疫情防控与爱国卫生运动同步进行】2020年1月至今，香格里拉市金江镇部署开展冬春季爱国卫生运动和环境卫生整治。此次爱国卫生运动与疫情防控消杀工作相结合，金江镇全体干部职工以及巾帼志愿服务队都积极参与到了爱国卫生运动当中，清洁、消毒工作已覆盖全镇7个行政村，89个村民小组。http://t.cn/A67NZyJY
落雨三笙_P,:今日碎碎念很长时间没有发过原创了超话那些不算喔前两天终于追完了韩剧《爱的迫降》因为我白天实在不想看听不懂的剧只能晚上躺床上才刷然后每次凌晨两点才睡觉最近真的感觉自己皮肤变差了强迫自己十二点左右睡觉在评论区刷到一个对每个家庭的见解感觉真的很真实了很多想发微博的东西一拖再拖感觉疫情我的懒越来越严重了今天还没睡醒的我打开手机接到来自室友的成绩问候强忍着睡意查了成绩不出意料没有过这结果对我来说没有任何感觉下次不过两年再努力吧因为要出外地所以也不准备再考了等回家发展再重新来过近日热搜事件虽然没有给我造成什么困扰但是刷好友圈总有几个说的我本人属于之前不怎么玩微博的大概半年前开始经常上线但是我从来不能随意评论或者什么因为在我心里任何人任何职业都需要去尊重这让我想起上次有人发博讽刺我的事后来我想再怼她也忘记了只是重新梳理了互关喜欢一个人不代表可以指手画脚我粉一个喜欢的人也从来不会经常评论他每天转发点赞…所以不熟悉的也不能从我微博看出来什么也可能我真的是假粉丝吧我会维护一个人是因为你真的没有去了解ta因为你说的话是不符合的越接触微博越要对自己的行为负责也让我越开心拥有一些姐妹结束有点乱就这样吧
酉禾茶,:熬药整个屋子现在充斥着满满的浓浓的中药味休息了一个多月这样的日子又开始何时是头上午去医院看病了因为疫情要先去填单子交给医生后才给你看病我填完单子回来刚坐下医生就说我是不是胃口不好吃不得啊我
健康龙泉驿,:#新型冠状病毒防控##医护后盾#【坚守初心护佑健康】疫情防控关乎生命，复工复产关系生计。龙泉驿区为国家级经济技术开发区，入驻企业多，复工任务重。负责职业卫生健康的龙泉驿区卫生计生监督执法大队游君同志，为做好企业复工复产工作，巧用“加减乘除法”，促进企业在疫情期间高效、安全、有序复工。
河北廊坊中院,:#冀法战疫#香河法院走访企业护航复产复工为了给企业提供最高效的司法服务，保障企业在抗疫期间的合法权益，根据县委、县政府要求，香河县人民法院开展机关干部入企联络服务活动。3月3日，该院党组副书记、副院长侯东祥，审委会专委王金生一行在开发区工委副书记张金武的带领下走访了尼马克焊接设备（香河）有限公司、世航飞远机场设备（香河）有限公司等五家包联企业，指导企业疫情防控和复工复产工作。侯东祥一行查看了企业口罩、消毒液等防疫物资储备情况及一线工人口罩佩戴、体温测量及车间消毒记录表等疫情防控情况，认真听取了企业负责人对疫情防控和企业复工复产情况的介绍，叮嘱企业负责人要把疫情防控工作放到第一位，决不能掉以轻心，要将疫情防控措施落实落细，做到疫情防控与企业生产两不误，生产才能有保障，整体工作才能真正见成效。在详细了解企业复工复产后在生产经营上存在的问题及遇到的困难后，侯东祥提出了针对性的建议，并向企业介绍法院依托移动微法院等在线诉讼平台，全面开展网上立案、调解、庭审等在线诉讼活动的情况。随后，该院将对五大企业存在问题和整改情况进行跟踪回访，督促限期解决。香河法院将充分发挥审判职能，依法保障企业在疫情防控期间的诉讼权利，为企业复工复产提供法律服务，确保疫期复工复产企业生产经营依法有序开展。
桂林纪检监察,:#抗疫情桂林纪检监察在行动#【桂林经开区：防疫伴侣员为企业“护航”】疫情防控关乎生命，复工复产关系生计。连日来，随着各企业陆续复工复产，疫情防控工作面临新挑战。经开区提前布局、迅速行动，从各局办选派优秀干部担任防疫服务伴侣员。82名联络员奔赴园区102家企业，全面摸排梳理开复工计划、用工到位人数和防疫措施落实、物资准备等情况，对复工复产企业的疫情防控进行“一对一”联系指导服务。详情请点击http://t.cn/A67NZKNS
沏茶Tea,:这个学期真的好难…我们猝不及防地成了催打卡客服，十八线网络主播，搬砖兼打包女工，还得在校门口摆摊错峰发课本…这两天正式网上开学，还得在线批改作业，筛选各种网课资源…学校、老师、家长面对这种新问题，都是茫然失措，一点一点摸着石头过河。手机和电脑装满了各种app，微信里保存了一堆小程序。唉，希望疫情早点过去，我们正常上班，学生正常上学。
丰电人,:老李，中午做了拉条子，面是前几天儿媳妇和好给我拿过来的。依然先给你下，只是量比以前少多了。吃过饭后，给你点了一支烟，依然是芙蓉王。点烟这件事你还得感谢孙女，是她提醒我的。她说你每次吃过饭都要抽支烟。我每天最关注的依然是武汉的抗击疫情的信息，令人高兴的是新冠肺炎确诊人数和病亡人数一天比一天少。治愈的患者每天都有两千多人。乌鲁木齐一共有23人被确诊为新冠病毒感染者，现在已经有22人治愈。还有一人在治疗中。最近有一句网络流行语是—2020一键重启。老李，我何尝不是这样想的呢？我多想再回到2020年之前。你在2020年只待了五天，而且在家里也只有三天......今天是3月3号，你是1月3号下午五点多从家里离开的。再来的时候就只是遗像了，我想还有你的灵魂。老李，安息吧！
微播南部,:南部火车站营业时间有变
辽宁发布,:【省发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知】各市发展改革委，省电力有限公司：　　为贯彻落实党中央、国务院决策部署，统筹疫情防控与经济社会发展，支持企业复工复产、共渡难关，按照《国家发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知》（发改价格〔2020〕258号）要求，结合我省实际情况，现将我省阶段性降低企业用电成本有关事项通知如下。　　一、明确降价范围　　按照国家要求，本次降价范围为除高耗能行业用户外，现执行我省“工商业及其他用电”类别的用户（含已参与市场交易用户）。　　二、明确降价措施　　自2020年2月1日起至6月30日止，电网企业在计收上述电力用户（含已参与市场交易用户）电费时，统一按原到户电价水平的95%结算。增量配电网企业、转供电主体也按照此原则收取降价范围内的终端用户电费，不得截留。　　三、进一步明确支持性两部制电价政策执行时间　　电网公司严格按照《国家发展改革委办公厅关于疫情防控期间采取支持性两部制电价政策降低企业用电成本的通知》（发改价格〔2020〕110号）要求，细化落实降价政策、主动向用户宣传告知，做好用户申请受理、办理减免等工作。支持性两部制电价政策执行时间至2020年6月30日。　　四、其他要求　　1.电网企业要提前做好电价政策落实方案细则，同时按月将我省两次降成本所涉及的电量、电费减免等有关情况汇总报我委备案。　　2.各级发展改革部门要高度重视，采取多种形式积极宣传、准确解读电价政策，会同当地电网企业掌握本地企业降成本情况，加强跟踪调度，在执行过程中遇到问题及时向我委（价格管理处）汇报，确保政策平稳实施；同时，积极配合市场监管部门对商业综合体、产业园区、写字楼等转供电环节收费行为的监管，确保降电价红利及时足额传导到终端用户，增加企业获得感。　　附件：1.国家发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知　　2.国家发展改革委办公厅关于疫情防控期间采取支持性两部制电价政策降低企业用电成本的通知　　辽宁省发展和改革委员会　　2020年2月28日附件请点击“网页链接”下载http://t.cn/A67NzKok
西安一套,:【北京：#从韩意伊日入境进京都要隔离观察#】3日，北京市召开新闻发布会。北京市人民政府副秘书长陈蓓介绍，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。@中国新闻网（陈杭郎朗）
环球旅游周刊,:#旅业趋势#【Uber对疫情评估不再乐观】上个月早些时候，Uber首席执行官达拉·科斯罗沙希(DaraKhosrowshahi)在接受美国一家财经电视频道采访时表示，该公司预计新冠病毒不会影响其整体业务。不过3月2日，Uber向美国证券交易委员会2019年年报，其中新冠病毒成为热门关键词，被提到了5次。该公司表示，这种流行病或其他类似疾病，可能会破坏Uber的供应链，影响该公司的“新移动”产品线，比如共享单车、共享电动滑板车。据悉，为了减少感染病毒的风险，一些网约车司机开始拒绝机场附近的订单。
大众网,:【#山东已累计向湖北调运蔬菜7060吨#】3月3日下午，山东省政府新闻办召开新闻发布会。记者从发布会上了解到，春节以来，山东省不仅保障了本省“菜篮子”的产品稳定供应，还积极为全国疫情防控大局作出贡献。截止目前，山东已累计向湖北调运蔬菜7060吨、猪肉107吨、禽肉2498吨；除蔬菜正常供应北京、上海市场外，向北京调运猪肉669吨、禽肉7471吨，向上海调运猪肉7225吨、禽肉13690吨；今年全省已累计折合生猪净调出112万头。http://t.cn/A67NzxsK#济南爆料#http://t.cn/A67NzSuM
微播南部,:南部火车站营业时间有变
辽宁发布,:【省发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知】各市发展改革委，省电力有限公司：　　为贯彻落实党中央、国务院决策部署，统筹疫情防控与经济社会发展，支持企业复工复产、共渡难关，按照《国家发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知》（发改价格〔2020〕258号）要求，结合我省实际情况，现将我省阶段性降低企业用电成本有关事项通知如下。　　一、明确降价范围　　按照国家要求，本次降价范围为除高耗能行业用户外，现执行我省“工商业及其他用电”类别的用户（含已参与市场交易用户）。　　二、明确降价措施　　自2020年2月1日起至6月30日止，电网企业在计收上述电力用户（含已参与市场交易用户）电费时，统一按原到户电价水平的95%结算。增量配电网企业、转供电主体也按照此原则收取降价范围内的终端用户电费，不得截留。　　三、进一步明确支持性两部制电价政策执行时间　　电网公司严格按照《国家发展改革委办公厅关于疫情防控期间采取支持性两部制电价政策降低企业用电成本的通知》（发改价格〔2020〕110号）要求，细化落实降价政策、主动向用户宣传告知，做好用户申请受理、办理减免等工作。支持性两部制电价政策执行时间至2020年6月30日。　　四、其他要求　　1.电网企业要提前做好电价政策落实方案细则，同时按月将我省两次降成本所涉及的电量、电费减免等有关情况汇总报我委备案。　　2.各级发展改革部门要高度重视，采取多种形式积极宣传、准确解读电价政策，会同当地电网企业掌握本地企业降成本情况，加强跟踪调度，在执行过程中遇到问题及时向我委（价格管理处）汇报，确保政策平稳实施；同时，积极配合市场监管部门对商业综合体、产业园区、写字楼等转供电环节收费行为的监管，确保降电价红利及时足额传导到终端用户，增加企业获得感。　　附件：1.国家发展改革委关于阶段性降低企业用电成本支持企业复工复产的通知　　2.国家发展改革委办公厅关于疫情防控期间采取支持性两部制电价政策降低企业用电成本的通知　　辽宁省发展和改革委员会　　2020年2月28日附件请点击“网页链接”下载http://t.cn/A67NzKok
环球旅游周刊,:#旅业趋势#【Uber对疫情评估不再乐观】上个月早些时候，Uber首席执行官达拉·科斯罗沙希(DaraKhosrowshahi)在接受美国一家财经电视频道采访时表示，该公司预计新冠病毒不会影响其整体业务。不过3月2日，Uber向美国证券交易委员会2019年年报，其中新冠病毒成为热门关键词，被提到了5次。该公司表示，这种流行病或其他类似疾病，可能会破坏Uber的供应链，影响该公司的“新移动”产品线，比如共享单车、共享电动滑板车。据悉，为了减少感染病毒的风险，一些网约车司机开始拒绝机场附近的订单。
大众网,:【#山东已累计向湖北调运蔬菜7060吨#】3月3日下午，山东省政府新闻办召开新闻发布会。记者从发布会上了解到，春节以来，山东省不仅保障了本省“菜篮子”的产品稳定供应，还积极为全国疫情防控大局作出贡献。截止目前，山东已累计向湖北调运蔬菜7060吨、猪肉107吨、禽肉2498吨；除蔬菜正常供应北京、上海市场外，向北京调运猪肉669吨、禽肉7471吨，向上海调运猪肉7225吨、禽肉13690吨；今年全省已累计折合生猪净调出112万头。http://t.cn/A67NzxsK#济南爆料#http://t.cn/A67NzSuM
工人日报,:【全国总工会：#企业应按正常标准向在家上班职工付工资#】中华全国总工会下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》。《通知》要求，要切实维护职工合法权益。要监督企业履行依法隔离期、医疗期职工工资支付义务，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。（工人日报）http://t.cn/A67NzSyB
广州铁路,:#交通战疫24小时##疫情防控交通动态#【铁警借力手机APP强化防控工作】怀化铁路公安处张家界西站派出所借力“小战士”手机APP，对旅客进行身份证扫描，快速排查、一网通行。据悉，“小战士”APP系公安部门、国家卫健委规划信息司、中国电子科技集团联合推出的互联网手机应用客户端，可用于在铁路、公路、机场等站点，通过直接扫描过卡人员身份证，经后台大数据比对碰撞，自动生成“绿、黄、橙、红”四种颜色。绿色代表没有接触史，黄色代表来自高危地区，橙色代表旅居湖北，红色则代表密切接触者，发烧人群。通过不同的颜色可以让民警和车站工作人员对旅客的情况迅速掌握，遇见高危旅客能够及时采取防疫措施。（肖倩兰岳吟杨一鸣）
新洲新闻哥,:【3月2日新洲新冠疫情0新增】昨日全市累计新增111例，武昌区新增30例，江岸区、江汉区和硚口区均新增14例，新洲区和黄陂区连续5天新增低于5例，新洲区已经连续2天为1021例；目前全市累计治愈出院23031例、现有确诊24144例，相差仅1031例，预计明天武汉累计治愈病例超过现有确诊病例。与此同时，湖北以外新增确诊11例、出现小幅度反弹，我们仍然不能掉以轻心。〔数据自武汉市卫健委官网〕#新冠肺炎最新动态##新洲[超话]#http://t.cn/R2WxQOQ
沸点视频,:#日本口罩一只卖300元#【日韩两国口罩价格飞涨日本医用口罩单价突破300元人民币】随着新冠疫情在全球范围内蔓延，口罩等防护物品的价格飞涨，库存紧缺。据韩国统计厅27日发布的数据，近期KF94口罩的网上售价超过4000韩元（约合人民币23元），较疫情前增长6-8倍。而日本方面，医用口罩的价格更是高得离谱。据日本时事通讯社报道，普通的一盒医用口罩（40只装）甚至可以卖到20万日元（约合人民币12937元），平均每只5000日元（约合人民币323.5元）。不仅如此，日本多地还出现了哄抢厕纸的情况。为此，日本经济产业省出面辟谣，并呼吁日本民众冷静，不要相信谣言，正常采购生活物资。#城内城外#@沸点国际http://t.cn/A6796Nam
青蜂侠Bee,:【没有不良记录？男子深夜围着民警叫“大哥”民警一查结果不简单】2月25日，湖北孝感一白色奔驰鬼鬼祟祟地驶向疫情防控卡口。民警拦截后发现，车内5人，3人未戴口罩。驾驶员下车后围着民警不停喊大哥认错，并声称“可以查我们，都没有不良纪录的”，结果民警却发现几人不简单。青蜂侠Bee的秒拍视频
梨视频体育,:【#张康阳炮轰意甲主席#：最大的小丑！健康才是最重要的
昆明铁路,:#疫情防控交通动态#【隧道内的“烟花秀”战疫情，保安全】广通工电段祥云西工电车间充分利用现阶段列车运行密度低、天窗时间长的好时机，使用钢轨打磨机对隧道内的钢轨病害及时打磨整治，上演一场“烟花秀”。#中国口罩日产能产量双双突破1亿只#（图文：万亚君）@中国铁路
咪咕体育,:#张康阳炮轰意甲主席#目前，意甲疫情状况严重，受疫情影响，意甲决定推迟国米尤文的比赛。根据意大利天空体育消息，这场比赛有可能会在下周一立刻进行，且不空场。因此，国际米兰俱乐部主席张康阳炮轰意甲主席。你觉得意甲赛事的赛事安排公平吗？#张康阳发文怒批意甲#你觉得意甲赛事的赛事安排公平吗？
i自然全媒体,:#防疫情促发展两手抓#【青海部署全域土地综合整治试点】近日，青海省自然资源厅下发通知，明确将在全省优先选择土地整治指标产出潜力大、自然资源禀赋条件好、产业发展支撑强、地理区位条件优的整个乡镇或乡镇内部分村庄作为试点地区，开展全域土地综合整治试点，优化生产、生活、生态空间格局，促进耕地保护和土地节约集约利用，改善农村人居环境，助推乡村振兴。
衡阳共青团,:【世卫组织专家积极评价中国抗“疫”举措
鞍山广播电视台,:#鞍山##鞍山新闻#【鞍山快速电梯安装有限公司：保电梯安全运行】疫情期间，电梯成为关键的防疫场所。为了保障电梯的安全运行，鞍山快速电梯安装有限公司维修工人比平时更加认真细致，每天都要对电梯进行消毒，防止电梯成为疫情传播的渠道。鞍山广播电视台的微博视频
造小强让制造更美好,:我发表了头条文章:《中国疫情成功控制的巨大意义》是社会体系建设的成功，更是社会制度优越性的充分体现中国疫情成功控制的巨大意义义乌市
梨视频体育,:【#张康阳炮轰意甲主席#：最大的小丑！健康才是最重要的
搜狐视频,:【#浙江新增7例均为意大利输入病例#】3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。http://t.cn/A67C4RZx
女球,:等疫情结束后，老娘要第一时间换上最喜欢的比基尼去海边浪！你想和我一起去吗？#女球视频#女球的微博视频
W_文基,:#NBA发布新冠肺炎备忘录#随着疫情在美国的情况日趋严重，NBA给每支球队发放备忘录要求球员做好防护，其中还包括给粉丝签名。现在做啥事都要注意防护呀🙊🙊#春风体育课#W_文基的微博视频
i自然全媒体,:#防疫情促发展两手抓#【1400吨液化石油气从温州运往武汉】2月28日7时许，装载着1400吨液化石油气的“松台山16”船，缓缓驶离浙江温州市洞头区小门岛石化基地。作为武汉能源物资供应船舶，“松台山16”船将通过水路前往武汉市，为武汉疫情防控及群众生产生活提供能源保障。为切实切断接触源，石化基地则调整作业方式，码头作业人员“全副武装”，非特殊原因，作业人员一律不得登船作业，船员同样不上岸，双方隔空作业，避免接触，通过管道运输，开始装载液化石油气。#自然资源系统抗击新型肺炎#
南昌新闻网,:#抗击疫情江西在行动#【每天150万个！连续7天！江西第二批1050万只口罩来了！】为回应居民口罩购买需求，江西省疫情防控应急指挥部重点防控物资调配保障组协调江西南华医药有限公司，向市场投放第二批口罩，面向全省城乡居民销售。第二批口罩销售，从3月4日开始，连续7天，每天投放150万只。投放口罩全省统一价格，优级3.2元/只，普通级2元/只，品种以门店实际供应为准。第一批口罩投放活动已中签的，不参加第二批投放活动；未中签的，无需再次预约申购直接进入第二批投放摇号名单，如需更改预约信息仅限于每日0时至12时之间进行。
