卓明信援通讯社,:#最新疫情地图##疫情地图#湖北省新型冠状病毒肺炎县级现有确诊病例数据分布图，数据截至3月2日24时。3月2日，湖北全省现有病例28216例，较前一日下降2327例，降速7.62%。#应急管理[超话]#
孝感日报,:#湖北加油武汉挺住#【湖北应城编办：全员出击“疫”线担当】疫情防疫工作开展以来，湖北省应城市委编办闻令而动，全员出击、全程参与，全体党员干部在疫情防控工作中挺身而出，不畏艰险，战斗在驻村防控及社区联防联控“疫”线战场。截至目前，应城市委编办及所驻的陈河镇祥元村、三合镇两河社区均无新冠肺炎疑似病例和确诊病例，无发热症状者，已分别申报“无疫”单位及“无疫”村（社区）。编办干部丁鹏在疫情防控阻击战中被应城市委市政府予以嘉奖。　　“夫妻档”奋战疫情防控一线　　陈桂军作为应城市委编办负责人，在安排落实好机关和驻村疫情防控工作的同时，以普通党员身份主动到三眼井社区报到，积极投身疫情防控阻击战，经常到所驻的村（社区）组织、参与、督导疫情防控工作，进组入户开展宣传、测温、排查等工作，并协调解防护物质。其爱人在市人民医院负责预检分诊工作，从年前开始就一天也没休息，一直坚守在疫情防控战线的最前沿。陈桂军还经常鼓励她：“你就是一名战士，必须坚守阵地、守好阵地。”　　防控一线，巾帼党员别样红　　“邓爹爹，量体温了”，“嗯，很正常。身体没有其他不适吧，有任何不适一定要告诉我们或者拨打96120”“每天给我们量体温，配送生活物质，辛苦你们了！“这是3月2日上午，应城市委编办党员干部张顼参与光明社区杉树阁公寓开展第四轮全员摸排的一幕。张顼自社区认领任务以来，即当宣传员、又是排查兵，瞬间变身“女超人”，通过一天的紧张工作，全面了完成杉树阁公寓3栋95户242人的基础信息登记和统计工作。据了解，张顼一家三口齐上阵，均在防控一线。　　15年党龄党员的请战书：入户防控安排表都排我　　“当前肺炎疫情牵动人心，咱们编办人手不多，我作为15年党龄的党员，申请进入抗击疫情的第一线，每日驻村入户疫情防控工作都把我排上去，请组织放心……”大年三十晚上，应城市委编办综合股股长丁鹏主动请战加入抗击疫情队伍中。他每天24小时在社区坚守，对三合镇两河社区所有返乡人员进行体温检测，收集其他居民检测情况，并在社区内进行防控知识宣传。“现在返乡的年轻人都喜欢玩抖音，我刚刚把心理疏导视频全部全部传在了抖音中，全面宣传嘛！”丁鹏在微信群倡导大家用新媒体关注疫情期间群众的心理问题。关键时刻，他扛起了一位党员干部疫情防控的应尽之责，做到了平常时候看得出来、关键时刻站得出来、危急关头豁得出来，用实际行动彰显着共产党员的责任与担当。2月底，丁鹏被应城市委市政府予以嘉奖。　　“80后妈妈”跨市返岗展示党员抗疫风采　　“爹爹，您好！现在疫情形势严峻，不能在小区广场一起晒太阳聊天哦，赶紧回家吧。”“婆婆，不要在外面锻炼身体哦，回家一样锻炼，还安全些哦！”在应城春天名苑小区，劝导队钟婷在小区里来回巡逻，见到小区里扎堆聊天、晒太阳的居民马上劝说。大年初五，应城市委编办党员钟婷把3岁的孩子托付给云梦县公婆家中照顾，公公高血压、痛风，婆婆也刚刚做完心脏手术正在调养中。她每天高效完成组织协调、文件传达、物资保障、值班值守、机动参与等工作，确保各项指令及时、准确下达，高效上传。她还积极到星星社区认领任务，每天在七村小区里进行文明劝导，还协助物业在小区业主微信群对居民购物、买药、就医等问题解疑答惑。钟婷的丈夫也是一名党员干部，他们一起从云梦返岗奔赴抗疫工作，已经一个多月没有回家见到孩子，夫妻俩每天上班前，都相互提醒对方一定要加强个人防护，只有自己健康才能更好地服务群众。　　驻村工作队守护“无疫村”　　从大年初一至今，应城市委编办派驻陈河镇祥元村驻村工作队就地转化成了疫情防控工作队员，队员王应明、帅章波分别从老家云梦县、广水市返岗抗“战”，五旬党员梅炜同志请缨奔赴祥元村增援一线。派驻到三合镇两河社区的工作队队员阮祖洪、丁鹏吃住在村，与村干部一起24小时轮岗值守卡点。　　两河社区是应城市云梦县的重要交通枢纽，流动人口大，工作队召集党员、志愿者23人，组织了熟悉焊接和隔离墙安装的志愿者，仅用2天的时间就在辖区内安装起大大小小隔离墙10多个。设置了村界卡点3处，河堤巡防卡点1处，安排专人24小时轮岗值守，禁止人员随意出入。　　为了让村民安心宅家，祥元村驻村工作队和村“两委”注重村民的心理疏导，解决慢性病用药问题。根据社区居民需求，每天为居民集中采购并配送1000-2000元的药品，5000-6000元的蔬菜、大米等生活物质，分发到户。　　他们带领志愿者一起组成了战“疫”先锋队，筑起了村庄战“疫”的坚固防线，打造“无疫村（社区）”。（通讯员钟婷编辑叶一鸣）
凤凰网云南,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。（人民日报）http://t.cn/A67NLCQ5
张掖检察,:【湖北卫健委：#42322名医务人员支援湖北#，#钟南山李兰娟等10个院士团队齐聚湖北#】湖北疫情防控工作发布会，湖北省卫生健康委员会副主任涂远超介绍，钟南山、李兰娟、王辰、黄璐琦、张伯礼、陈薇、乔杰、仝小林等10位业内著名院士，集结他们的团队齐聚湖北。截至目前，有344支医疗队、42322名医务工作者从全国各地支援湖北。其中在这些医疗团队中，重症医学科、感染科、呼吸科、心血管科和麻醉科的专家达到15000多人，援鄂医疗队直接接管病区，在救治过程当中发挥重要作用。（人民日报）
河北生活号,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
凤凰网云南,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。（人民日报）http://t.cn/A67NvF2i
重庆检察,:#疫情联防联控实时播报#【#武汉将有序关停方舱医院#】今天在湖北疫情防控发布会上，湖北省卫健委副主任涂远超表示：高风险区如武汉市，要继续把疫情防控作为当前头等大事，同时尽最大努力满足患者正常的医疗需求。后续根据疫情防控实际，#武汉将逐步缩减新冠肺炎定点医院#，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NTOFk
七环视频,:【#神农架发生野猪非洲猪瘟疫情#：已发现7头死亡】农业农村部新闻办公室3月3日发布，湖北省神农架林区发生野猪非洲猪瘟疫情。神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地按照要求启动应急响应机制对病死野猪进行无害化处理、消毒等措施。对周边所有生猪养殖户进行排查和全面消毒。http://t.cn/A67pLvH3http://t.cn/A67pLvnt
河南农村广播,:【#武汉将分批分步恢复正常医疗秩序#：#武汉重点保障肿瘤孕产妇等医疗需求#】湖北省卫生健康委员会副主任涂远超表示，在严防严控基础上，重点保障急危重症、血液透析、肿瘤、孕产妇儿童等急需的医疗需求，指定首批重点医院转为提供综合性医疗服务。后期根据防控实际，逐步缩减新冠肺炎收治定点医院，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。http://t.cn/A67NLCQ5
小黑课堂计算机二级,:【集中回答关于保过秘籍的问题】1.何时发货在此先对大家说一声抱歉！因小黑课堂总部位于湖北，而受疫情原因影响湖北省快递全省停运。前段时间小黑课堂已联系到快递方，快递方表示要等到3月底。2.如何修改地址需要修改地址的小伙伴请填写此链接：http://t.cn/A6P3Em8C请注意，修改地址需保证姓名和电话与之前的一致。目前预计3月底发货，发货前可多次填写发货时将以最后一次填写的信息为主。3.如何退款如有特殊情况需要退款请联系微信：xxy19981117xxy昵称：安请说明原因并提供姓名电话地址以及付款截图即可。#小黑课堂计算机二级[超话]##计算机二级##计算机二级[超话]##跟小黑老师学计算机二级##计算机二级office#
花总,:#两位武汉危重患者急需本地痊愈者血浆#求助内容已核实，恳求武汉朋友帮忙转发
郑州交通广播,:#抗击疫情我们始终在一起#【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
四川巴中消防,:【#湖北涉疫报警求助可打119#】根据应急管理部部署，日前，湖北省各市消防救援支队发布公告，119报警服务台受理涉疫报警求助。消防救援队伍全面受理社会单位和广大人民群众涉及人员转送、物资转运、洗消杀毒、排水排涝、紧急送水、高空救助等各项求助。提醒：求助通道留给真正需要的人，请勿随意拨打。http://t.cn/A67CV3TB
桐乡子龙,:#钟南山团队：建议严格防控措施实施至4月底！透露更多信息#近日，钟南山院士团队在《JournalofThoracicDisease》期刊发表研究文章。该研究把1月23日前后的人口迁徙数据及最新的COVID-19流行病学数据，整合到经典传染病学预测模型中，并得出流行曲线。预测显示：①本次疫情中国在2月下旬达到高峰，4月底趋于平缓；②公共卫生干预措施有效控制了疫情发展，严格的防控措施如“早期筛查”最好实施至2020年4月底。中国工程院院士钟南山团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19(新冠肺炎)暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型(SEIR)中并得出流行曲线。基于2003年SARS数据进行训练的人工智能(AI)方法来预测本次疫情的流行趋势，推测本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的SEIR模型和AI模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模，该文提醒大众不要误解，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。另外，该文提及的湖北出现二次高峰是在管控降低的情况下作出的假设。按目前情况，湖北省政府仍将继续保持严格管控，出现二次高峰的可能性也相对较小。目前该文预测结果是基于2月9日前的管控政策，疫情规模均比《柳叶刀》及海外学者预测的小。该文数据显示，截至4月底，中国内地疫情现存确诊病例(非累计确诊数)高峰不高于7万例，湖北不高于52000例，广东和浙江不高于1200例，目前流行数据均在该文的预测范围内，更贴近真实情况。该文称，本SEIR优化模型可精准预测新冠病毒的流行趋势，同时，人工智能预测模型已成功建立并且显示与SEIR模型相似的趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底
红星视频,:【再献爱心！#四川第二批60万毫升血液驰援湖北#】3月3日清晨，四川省第二批支援湖北的60万毫升血液，带着四川人民的深情厚谊和广大无偿献血者战胜疫情的决心启运出发，在四川达州市中心血站集合。据了解，为了全力支持湖北省疫情防控期间临床用血保障工作，继2月24日四川首批调拨成都、广元、达州3市20万毫升血液支援湖北后，3月3日四川再度调拨德阳等6市共60万毫升血液支援湖北。@成都商报http://t.cn/A67pvAQX
潍坊晚报,:【湖北一男子#隐瞒发热聚众打牌感染多名牌友#】3月2日，湖北省黄石市政府通报一起涉嫌妨害传染病防治罪案件。2月21日至23日，老屋村4人先后被确诊为新冠肺炎，其中，村民潘某松和王某疫情期间频繁出入村子。而潘某松在出现发热、咳嗽症状后，恶意隐瞒，聚集村民打牌，导致多名家人和牌友被感染。http://t.cn/A67NKPTv
中国江西网,:#联防联控江西在行动#、#抗疫一线江西党员勇争先#、#爱心守望情暖赣鄱#、#抗击疫情江西在行动#【连线丨江西专家为随州打造了一支“永不带走的医疗队”】3月3日15时，江西省新型冠状病毒肺炎疫情防控工作新闻发布会（第十七场）在南昌举行。发布会现场视频连线了正在湖北抗“疫”一线的江西省支援随州市前方指挥部指挥长、省委统战部常务副部长陈敏和江西援随医疗队随州市中心医院重症医疗组组长、九江市第一人民医院重症医学科副主任邹颋，他们介绍了江西省对口支援湖北省随州市新冠肺炎防治工作情况和江西援随医疗队在随州市中心医院救治工作情况。@随州日报@随州市政府门户网站（江西日报）http://t.cn/A67NgIje
时代风向标栏目组,:#央视时代风向标栏目[超话]#【湖北省副省长：#武汉已实现床等人#但全省患者增量风险仍未根本控制】3月3日，湖北省人民政府副省长杨云彦表示，武汉已实现床等人，但全省疫情形势依然严峻复杂。当前面临的主要问题：消化存量任务艰巨；全省患者增量风险没得到根本的控制；疫情防控仍具有不确定性；疫情防控积极变化的基础比较薄弱等。#聚焦新冠肺炎疫情#@我们直播http://t.cn/A67NBRRb
江门财政,:【财政部、税务总局发布公告明确支持个体工商户复工复业增值税政策】自2020年3月1日至5月31日，对湖北省增值税小规模纳税人，适用3%征收率的应税销售收入，免征增值税；适用3%预征率的预缴增值税项目，暂停预缴增值税。除湖北省外，其他省、自治区、直辖市的增值税小规模纳税人，适用3%征收率的应税销售收入，减按1%征收率征收增值税；适用3%预征率的预缴增值税项目，减按1%预征率预缴增值税。http://t.cn/A67NgSZ4
世界硒都魅力恩施,:#恩施[超话]#【巴东森林公安接到群众举报，查处一起违法猎捕野生动物案件】#恩施身边事##拒吃野生动物#3月1日，巴东县野三关森林公安派出所接群众举报后，查获野三关镇青龙桥社区3组居民黄某某在农田边架设粘网捕鸟案，现场缴获捕鸟粘网2副和鸟类活体11只、死体1只。经县野生动植物保护站技术人员鉴定，具体种类为：珠颈斑鸠活体6只、珠颈斑鸠死体1只、画眉鸟活体1只、喜鹊活体1只、大嘴乌鸫2只，属湖北省重点保护陆生野生动物；鹰鸮活体1只，属国家二级保护陆生野生动物，鉴定结束后鸟类活体就地全部野外放生，鸟类死体进行无害化深埋处理。黄某某涉嫌非法狩猎违法行为，下步继续侦查其销售网络，锁定相关证据链条，依法按程序从重进行处罚。
封面新闻,:【热血接力！#四川60万毫升血液驰援湖北#】#四川最强战疫后援团#继2月24日首批调拨成都、广元、达州3市20万毫升血液支援湖北后。3月3日清晨，四川省第二批支援湖北的60万毫升血液启运出发。按照省卫健部门的统一安排，第二批血液由德阳、绵阳、遂宁、南充、广安、雅安6市中心血站共同筹备。下午2时40分，送血车队到达包茂高速达州南收费站。约10分钟后，湖北省宜昌、荆州两市中心血站的两辆运血车到达交接地点。工作人员纷纷右手握拳，向他们表达问候与祝福，“湖北加油！武汉加油！”http://t.cn/A67N3jjh
野马财经,:【现代中药集团招股书的秘密：补肾壮阳赚钱，护心养脑更暴利？】面对新冠肺炎的各种具体症状，以清肺排毒汤为代表的各类处方药和中成药已写入国家卫健委发布的第六版诊疗方案。目前，在湖北省定点救治医院确诊新冠肺炎患者中，中医药使用率约九成。然而，早先引起广泛关注的“双黄连事件”后来被证明是乌龙，对于抗击肺炎，中药的实际治疗效果到底几何各方争议不断。不过，这并不妨碍资本市场对于中药概念公司关注度不断升温。http://t.cn/A67NH8DA
漫步榆林,:#榆林抗疫在行动#【佳县15吨农特产品驰援武汉】“手工挂面1200箱、1000斤紫晶枣、4000斤红枣、2000斤杂粮、320斤红枣羊肉......3月2日，一辆装载15吨佳县农特产品的货车，承载着27万佳县人民的深情厚谊，向湖北省武汉市疾驰而去。据了解，这批农特产品是由佳县枣源农农贸有限公司、佳县红润枣业合作社、陕西枣妹子农业开发有限公司等9家本地企业共同捐赠，总价值18万元。“上周，我们和县慈善协会一同发出倡议后，本地多家农业企业积极响应捐赠。”佳县团县委书记曹璐表示，为尽快将这批物资送往武汉，佳县动员各方面力量，团县委加班加点，组织货源，爱心企业争分夺秒，准备物资，慈善协会加紧沟通协调，仅用短短3天就完成了物资生产、货源对接、车辆协调、装车打包等工作，预计物资将于3月4日抵达武汉。http://t.cn/Rc3cXOh
中国新闻周刊,:【#武汉将有序关停方舱医院#】#周刊君与你共同战疫#今天在湖北疫情防控发布会上，湖北省卫健委副主任涂远超表示：高风险区如武汉市，要继续把疫情防控作为当前头等大事，同时尽最大努力满足患者正常的医疗需求。后续根据疫情防控实际，#武汉将逐步缩减新冠肺炎定点医院#，有序关停方舱医院，分批分步逐步恢复正常医疗秩序。（央视新闻）http://t.cn/A67NTOFk[/cp]
每日经济新闻,:#每经整点播#【每经18点丨滞留在汉旅客每人每天有300元补助；襄阳：隐瞒病情将入征信黑名单；东京奥运会或被延迟到今年年底进行】1、据楚天都市报，疫情防控期间，滞留在武汉汉旅客遇到临时生活困难可申请救助。救助标准是什么？今日，记者从武汉市和有关区了解到，对滞留在汉外地人员生活无着落、确有困难的，由民政部门按每人300元/天标准给予临时生活困难救助，一次性补助不超过3000元。滞留在汉外地人员可通过武汉市民政局疫情防控期间滞留在汉旅客临时生活困难救助申请入口（救助申请二维码）申请救助，也可通过12345市长专线工作平台进行咨询和求助。2、【湖北襄阳：隐瞒病情将入征信黑名单】湖北省襄阳市近日发布《关于积极应对新冠肺炎疫情影响切实加强信用监管和服务有关工作事项的通知》，明确在新冠肺炎疫情防控时期，因隐瞒病情、隐瞒在疫情严重地区旅居、隐瞒与患者或者疑似患者接触等行为，而受到党纪、政纪和治安管理处罚的，将纳入失信人员管理，相关信息归集到省、市信用平台，记入个人信用档案。http://t.cn/A67NVi2shttp://t.cn/A67NViLv
吉林政法声音,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）
趣味囧事资讯,:【李文亮同科室医生梅仲明染病去世患者:他不乱开检查】抗疫一线又传来噩耗，曾荣获武汉市政府“光明特使”称号的武汉中心医院眼科医生梅仲明不幸感染新冠肺炎牺牲。他与此前去世的李文亮医生是同一科室的同事。3月3日下午，武汉市中心医院发布公告：该院眼科副主任、主任医师梅仲明，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。医院介绍，梅仲明医生1962年11月29日出生于湖北省武汉市，1986年7月从中山医科大学临床医学专业毕业后一直在武汉市中心医院眼科工作。从医30余年，他对工作认真负责，对患者耐心细致，为学科建设发展作出了重要贡献。（来源:北京日报）
吉林政法声音,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）
趣味囧事资讯,:【李文亮同科室医生梅仲明染病去世患者:他不乱开检查】抗疫一线又传来噩耗，曾荣获武汉市政府“光明特使”称号的武汉中心医院眼科医生梅仲明不幸感染新冠肺炎牺牲。他与此前去世的李文亮医生是同一科室的同事。3月3日下午，武汉市中心医院发布公告：该院眼科副主任、主任医师梅仲明，在抗击新冠肺炎疫情工作中不幸染病，经全力抢救无效，于2020年3月3日中午12时在武汉市金银潭医院去世，享年57岁。医院介绍，梅仲明医生1962年11月29日出生于湖北省武汉市，1986年7月从中山医科大学临床医学专业毕业后一直在武汉市中心医院眼科工作。从医30余年，他对工作认真负责，对患者耐心细致，为学科建设发展作出了重要贡献。（来源:北京日报）
西南石油大学法学院,:【战疫日记——致敬病毒样本快递员】46岁的退伍军人刘森波是一名“病毒样本快递员”。2月19日，他从广州来到武汉支援抗疫工作，并主动请缨承担高风险任务——武汉雷神山医院样本物流收取和运送工作🚑🚑刘森波每日要跑两趟到武汉雷神山医院收取样本，为确保样本运输的安全性及密封性，样本首先经过标本袋加固包装后放于95kpa罐内密封，再放置于专属武汉雷神山医院样本运输的UN2814铝合金的标本箱子中，样品清单需放在运输箱外层。最后经过多层的消毒后，刘森波要在半小时内把样本送到湖北省新型冠状病毒核酸检测的服务机构之一——武汉金域医学公司核酸检测实验室。刘森波说，以前入伍是为了守护国家安全，现在到武汉是为了守护国家健康。把每一位患者的样本尽快、安全送到实验室是我的职责。👍👍这就是中国精神，没有你们的不畏就没有我们的平安健康。❤️❤️
LuckyAna幸运的安娜,:#通知#✨有关疫情影响公告✨因工作室、工厂均位于武汉，所以店铺受此次疫情影响较大qwq目前湖北省内交通还属于限制状态，并且快递尚未恢复复工时间一切听政府响应，一旦解禁我们会加倍追赶进度非常感谢各位宝宝的理解，带来不便真的很抱歉
钟宣1988,:【湖北副省长：新冠患者增量风险仍未得到根本控制】在今天下午召开的湖北省疫情防控工作新闻发布会上，湖北副省长杨云彦介绍，当前湖北消化存量的任务依然艰巨，全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时，增量风险仍然没有得到根本控制，“像武汉市每天还有三位数的新增病例。”。此外，疫情防控仍具有不确定性。他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。（侠客岛）http://t.cn/A67Ce0e9
清风网官博,:{孔家坊乡财政所党员干部替换岗位又捐款冲刺疫战最后100米}清风网湖北讯（熊小刚李慧袁亿臣）“我也是单位一名干部职工，不能上一线值勤站岗，可是我是党员，这200元虽少，汪所长你一定要收下！”这是在湖北省英山县孔家坊乡财政所支部会议室为防疫捐款时出现的一幕！该所党员干部刘灿勋今年50岁，中风后右边手脚失去知觉，家中比较贫困，这次捐款支部决定减免他的捐赠。但他坚持要求所长汪革家收下他的心意。于是出现了开头的一幕。早在2月16日，该所就向2个联系村捐赠近万元的物资。这次所长汪革家组织13名党员干部捐款2000多元，旨是为援助疫情中困难群众生活问题。近半个月来，汪所长带领党员干部到村站卡点，进村组排查，入户量体温，无所不干，深得基层干部群的高度赞扬！该乡已连续17天疫情零增长。在疫战最关键时刻，蜗居人群开始有些放松警惕，一些少数贫困人口生活有困难。汪所长一面带领干部职工奋战一线严控严管，一面组织全所党员干部再次捐款支援一线。他说：“疫战到了关键时刻，我们不能松懈，防疫就像长跑一样，最后100米非常关键，我们千万不能有思想麻痹大意！”在该乡财政所党员干部的支持帮助下，联系村陈垸村、孔家坊村的干部群众，有了战胜困难的勇气和决心。全面实行堵进堵出，全面进行再次拉网排查，争取疫战最后胜利。
每天开心的老孙,:今天（3月3日）下午，湖北省召开疫情防控工作新闻发布会。湖北省人民政府副省长杨云彦介绍，湖北省新冠肺炎救治效果稳步提升，但疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前湖北消化存量的任务依然艰巨，全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时，增量风险仍然没有得到根本控制，“像武汉市每天还有三位数的新增病例。”。此外，疫情防控仍具有不确定性。他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。
黄晓龙Ly,:#凤凰新闻#分享凤凰新闻：湖北省副省长：新冠肺炎患者增量风险仍未得到根本控制湖北省副省长：新冠肺炎患者增量风险仍未得到根本控制来自@凤凰新闻客户端
榆林市邮政管理局,:【这有一封感谢信，请您查收】3月3日，我局收到来自湖北省邮政管理局的一封感谢信，信中对我局积极筹集防护物资，用实际行动支持湖北省邮政业打赢疫情防控阻击战的善举表示了衷心的感谢。http://t.cn/A67NZVP8
吉林新闻综合广播,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。@人民日报http://t.cn/A67NvF2i
中国新闻社,:#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
