liam53770,居家好物#迷惑行为大赏##搞笑视频#搞笑幽默官的微博视频
乖多多妈咪,带娃千万条，健康第一条。用智慧的方式守护宝贝健康成长是每一位妈妈的奋斗方向～为此，小海携手各大品牌一起为家庭助力！带话题#健康家庭免疫战#转评并关注@海尔智家，分享健康带娃心得，价值三万元的智家大奖已为您备好！快戳下图了解详情↓↓↓@海尔@海尔冰箱@海尔洗衣机@海尔空调@海尔热水器@海尔厨房电器@海尔电视@海尔净水@海尔成套母婴电器@海尔生物医疗@青岛和睦家@京东家电@爱华仕@企鹅·医生@天学网@博洛尼全屋定制@Morinaga森永@TenFu天福茗茶@子初品牌@巴拉巴拉官方微博@瑞尔齿科官方微博@粱大侠的江湖@雪榕生物@kido儿童手表http://t.cn/A67aWiQ9
TOOTSCIENCE托特科学,【今天上午9点#北京新高考首次适应性测试举行#】今天上午9点，北京新高考的首次适应性测试将举行，受疫情影响，北京5万余考生将首次尝试在家“云”开考。今年北京将实施新高考，在考试科目与往年相比有很大变化，而且由于每个考生选考的等级考科目不同会有不同的考试日程。根据已公布的考试时间，前两天是统一高考科目，即语文、数学和英语三科考试；后两天是“6选3”选考科目，即从政治、历史、地理、物理、化学、生物6门科目中选择3门科目进行考试，不分文理科。北京市委教育工委副书记、市教委新闻发言人李奕表示，为了应对今年的新高考，后期北京市还要进行模拟报志愿、模拟录取等。#加油高考#http://t.cn/A679weEp#教育的力量#
沙雕大代表,:居家短发女神可遇而不可求#美女##做个灵动女生##美女驻扎地#
松江体育,:『上海男篮董瀚麟教你居家徒手训练【冠军Jiao你做运动】』上海男篮董瀚麟教你居家徒手训练【冠军Jiao你做运动】
蓉蓉蓉nnn,:居家日记📅
广西南宁出租房,:整租，整租，整租1.地址：秀灵路7号（鼎盛国际）大单间配齐出租，2.来源：公寓直租，无中介费。房子配套：冰箱，洗衣机，床，布艺沙发，居家生活基本都有，拎包入住，房间阳台面向小区内，采光好，安静舒适。3.租金付款方式：1400元/月，押二付三，水电物业及停车费自理，水3.2元/吨（小区如有加压另算），电0.6元/度，半年起租。4.周边配套设施及交通：门口就是公交车站，商贸学校，工业学院，农院路，财院（明秀校区），西大东门，秀隆商业街，友爱菜市，步行都在五分钟内，距离地铁1.2号线（白苍岭站，明秀站）1公里。5，小区房，24小时安保，出入门禁，随时看房，看房私聊留联系方式。@南宁同城@南宁君@南宁租房@南宁优质租房@南宁租房来了http://t.cn/RO7jxDY
居家瘦赵谦老师,:湖南张泽玉60岁瘦22.8斤。减肥前体质差，高血压，心脏病，血糖高。减肥后基本上都得到了改善.她说特别感谢居家瘦的老师耐心专业的指导
赚钱养我冯,:居家的二月也要有plog的仪式感
-淡淡清辉-,:公司要求员工每天填报健康问卷，问卷中包含每天的健康情况、今明两天的出勤方式等等。我是这个问卷的后台管理员，每天将填报的情况截图给总经办。今儿截了图，对方万分紧张地问：那位准备明天居家隔离的是谁？我仔细一看，着实有一位明天的出勤方式选的不是办公室上班也不是居家办公却是居家隔离。立马点开详细信息，告知姓名。后来得知，人家就是手一抖选错了。
景德镇陶瓷大学,:【健身抗“疫”居家锻炼动起来（五）】[加油][加油]#教育部部署停课不停学#疫情期间，怎样“宅”在家里也能健康有趣？景德镇陶瓷大学体育与军事教学部发挥专业优势，组织专业老师录制了一批简单易学的居家健身视频，帮助大家增强体质、提高免疫力，养成健康的生活理念和生活方式。
宇宙逃逸人员,@FIRST青年电影展剧情片实验室，入选项目近期会公布。搓手！！创投会，电影计划正热收。距离截止还有20天，跺脚！！
就是不爱吃番茄薯片,:害，还是ps好用
阿克苏网警巡查执法,【#韩国连续4名居家隔离患者死亡#】3月1日，韩国政府宣布将针对新冠肺炎轻症患者另设治疗中心。3月1日，一名77岁确诊老人在家中身亡，这是韩国第四位在等待住院过程中身亡的患者。3月1日，中央灾难安全对策本部宣布，轻症患者将以一人一间的形式入住生活治疗中心。#聚焦新冠肺炎疫情#http://t.cn/A67aH9kB
中央人民广播电台,:【#北京新高考首次适应性测试今开考#】今天，受疫情影响，#5万余名北京考生居家考试#。根据安排，今年北京市实行新高考，科目调整为“3+3”模式，即3门统考科目+3门自选科目。统考科目为语文、数学、英语，选考科目可从物理、化学、生物、历史、地理、思想品德中任选3科。文理不分科。今明两天进行统考科目测试，后两天为选考科目，与新高考考试安排完全一致。4月上旬，北京还将举行统一的模拟志愿填报。（央视新闻）
投资潮网站微博,:【#北京新高考举行首次适应性测试#：考生居家“云考”适应，熟悉试题结构和流程】3日上午9点，北京新高考的首次适应性测试举行。受疫情影响，5万余#北京高考考生首次在家云开考#。考试科目和考试安排较往年都有很大变化，为使考生熟悉试题结构和考试流程，举行本次适应性测试。由于疫情原因，本次测试采取考生居家分散考试的方式，本次测试成绩不具备参考意义。http://t.cn/A679x4iV
晰小霞zhao,:#居家隔离#家里有会做饭的煮夫，隔离期不出门也饿不死
墨客与风,:居家隔离Day7：和🎵老师花了一个多小时搞出了还算丰盛的一餐厦门
投资潮网站微博,:【#北京新高考举行首次适应性测试#：考生居家“云考”适应，熟悉试题结构和流程】3日上午9点，北京新高考的首次适应性测试举行。受疫情影响，5万余#北京高考考生首次在家云开考#。考试科目和考试安排较往年都有很大变化，为使考生熟悉试题结构和考试流程，举行本次适应性测试。由于疫情原因，本次测试采取考生居家分散考试的方式，本次测试成绩不具备参考意义。http://t.cn/A679x4iV
晰小霞zhao,:#居家隔离#家里有会做饭的煮夫，隔离期不出门也饿不死
墨客与风,:居家隔离Day7：和🎵老师花了一个多小时搞出了还算丰盛的一餐厦门
玛咔巴咔嘣,:#BIPT居家生活[超话]#打卡过181
开心快乐337,:看看书，看看电视，煮煮饭，不知不觉中居家隔离进入第9天。上海
我有只大白狗,:萌妹居家发饰
公益新闻在上海,:#上海新增确诊1例新冠肺炎##健康中国光明行#据新民晚报报道：过去一个月，每天上午7时30分到11时，爬楼100层，累计为1262户2200位居家隔离者清运生活垃圾，就是孙鹤鸣和同事们的日常。孙鹤鸣，黄浦区半淞园路街道绿化与市容管理所党支部书记、所长，做了25年市容环卫，如此高强度垃圾收运，“老环卫”却是头一遭。
北京热门吃喝玩乐嗨,:#北京爆料#【#北京新高考举行首次适应性测试#：考生居家“云考”适应，熟悉试题结构和流程】3日上午9点，北京新高考的首次适应性测试举行。受疫情影响，5万余#北京高考考生首次在家云开考#。考试科目和考试安排较往年都有很大变化，为使考生熟悉试题结构和考试流程，举行本次适应性测试。由于疫情原因，本次测试采取考生居家分散考试的方式，本次测试成绩不具备参考意义。http://t.cn/A67aNOVo
雪化成宇飘落,非常实用的居家小技巧，学会了肯定能用上，
境境由心造,:#诗词[超话]#上联:珏山绝顶俯首看人间烟火，青烟白云起伏成团，霎时间云消雾散，碧潭千尺，游鱼细石，直视可见，大好河山，寥廓江天万里霜，今朝更好看。下联:太行胜地抬眼望江河湖泊，无边无际万顷良田，指神州苍茫大地，霞光万道，农夫布衣，居家安康，人喜粮丰，地杰人灵千重浪，何愁残阳归。http://t.cn/R2WxSpf
是你的baby猪,:居家式美容美发从用保鲜膜做发膜开始（包的太丑不敢放图
网易数读,:#张文宏主编防控手册波斯语版出炉#这本手册的中文版已经升级到2.0而且也可以免费阅读，里面对个人怎么防护都做了很详细的介绍，还加了居家、外出、工作、购物等不同场景下的防护措施，数字版链接在这：科普丨《张文宏教授支招防控新型冠状病毒》数字版（2.0版）免费上线
泪月华2002,:居家隔离，也不能将就
秦教练,:#宅家健康运动计划##宅家健身打卡#2020.03.03#居家徒手训练#今天第63天，上肢胸肩臂训练药球支撑左右移动俯卧撑#胸部训练##复工后晒身材大赛##健身小喇叭开始广播了[超话]#沈阳秦教练的微博视频
无锡都市生活广播,:【#辽宁丹东新增3例确诊病例行程轨迹#公布】2日，#辽宁新增3例新冠肺炎均为丹东病例#。今天，辽宁通报新增3例确诊病例行程轨迹：确诊病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。确诊病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时去江边散步，15时左右到家，回家后无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。确诊病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。（总台央视记者李承泽）
没脑经的冲动派,:上海男篮董瀚麟教你居家徒手训练【冠军Jiao你做运动】上海男篮董瀚麟教你居家徒手训练【冠军Jiao你做运动】
牛尾巴丶,【病毒会随着空气飘进屋子？#居家通风小课堂#来啦！】疫情当前，勤开窗通风，保持室内空气流动，是重要的防护手段。但病毒会不会随着空气飘进屋子？如果邻居在家中隔离，还能不能开窗通风？住在医院附近怎么办？给你解答那些关于居家通风的问题！新华网的秒拍视频
肉呆大魔王,:作为居家老父亲，我是刚刚才看热刺和莱比锡的比赛。好成绩不光让热刺膨胀了，我也膨胀了，那天我以为他们主场怎么不也得来个2:0，我错了，我真的错了，感觉就是在看老干部踢青年队，心疼到顾不上不上他们到底踢得好不好。
印象中的火车,:春风的声音在外面萧萧作响居家的人却在屋里动起了雅兴#宜宾##遇见美好##春天##字#宜宾
张Caca,:居家隔离第三天
肉呆大魔王,:作为居家老父亲，我是刚刚才看热刺和莱比锡的比赛。好成绩不光让热刺膨胀了，我也膨胀了，那天我以为他们主场怎么不也得来个2:0，我错了，我真的错了，感觉就是在看老干部踢青年队，心疼到顾不上不上他们到底踢得好不好。
印象中的火车,:春风的声音在外面萧萧作响居家的人却在屋里动起了雅兴#宜宾##遇见美好##春天##字#宜宾
张Caca,:居家隔离第三天
Swallow99969,:#肖战[超话]#温婉居家，不卑不亢。
玉玺-木头人,:疫情居家第38天菜谱•蒜蓉茄子🍆，煮玉米🌽干了个活，要求再改一下，着急要，所以我也就凑乎一下。今日语：有些人，才遇见一下子，就好像认识了很久似的，什么事都想和他说。
遵义交警支队,:【干货转存！#防疫期间如何居家健身#？】#实用小百科#宅在家里，你是不是好久没运动了？春天就要到了，就算待在家里也要合理地运动起来！儿童青少年、成年人、老年人、高血压糖尿病等病人该如何居家运动？疫情期间是否可通过大强度锻炼提高抵抗力？…#宅家运动指南#↓↓转需！
CCTV4,:【#辽宁丹东新增3例确诊病例行程轨迹#公布】2日，#辽宁新增3例新冠肺炎均为丹东病例#。今天，辽宁通报新增3例确诊病例行程轨迹：确诊病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。确诊病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时去江边散步，15时左右到家，回家后无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。确诊病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。（总台央视记者李承泽）
