中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
双鱼方总16,:通知：请各班主任通知学生家长明天到校报名注册、领书，一至二年级于上午9:00至11:00，三至六年级于下午2:00至4:00（要求家长戴口罩），收费照旧一至三年级850元，四至六年级900元，（食费渐慢）。具体开学时间还没确定☞(线上上课☞书本费还这么贵)(广东省汕尾市陆丰市甲东镇石清村文博学校)(希望各位大伽评评)转起……http://t.cn/RXm7ZuK
我是trussel,:【地市集萃】汕尾市城区“店小二”式贴心服务让企业复工复产信心倍增http://t.cn/A67f6B6I
花城咖,:#抗疫最前线#【广东又双叒叕一市“清零”！】据汕尾市卫生健康局官微消息，2月28日下午，广东省汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，全市在院确诊病例清零。经专家组会诊，该出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，1月30日确诊。截至2月27日24时，汕尾市已连续25天无新增确诊病例。http://t.cn/A67VRz9d
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：晴到多云，19到25度，东南风转东北风3到4级，阵风5级，能见度8到22公里。汕尾市气象台2月29日发布
汕尾天气,:【晚间天气】预计今晚到明天：多云，早晚有轻雾，汕尾城区18到27度，海丰、陆丰17到28度，陆河16到28度。偏北风转西南风2到3级，相对湿度45%到95%。空气质量：良。汕尾市气象台2月29日晚发布
汕尾天气,:【早间天气】预计今天白天到夜间，我市多云，汕尾城区19-27℃，海丰、陆丰18-28℃，陆河17-28℃。东北到东风2到3级，相对湿度60%到95%。汕尾市气象台2月29日早。
汕尾天气预报,:汕尾市，今天多云，18~27℃，微风，空气良http://t.cn/EIN86UJ
旧食袋,:#旧食袋#到汕尾市必吃的一道菜是虾蛄。虾蛄学名叫管虾，也叫琴虾。虾目蟹足，状如蜈蚣，触角两对，第一对较长，呈镰刀状，体苍灰色，尾节红色。春季是虾蛄的盛产期，这时的虾蛄，肥大鲜嫩，肉中含有一条蛋黄，称为“红心虾蛄”，最好吃。虾蛄具有壮阳补肾，活血生津等功能#交通战疫24小时#
星空大咖,:#新浪看点#青梅之乡广东汕尾市青梅之乡广东汕尾市
猫石子,:汕尾市，抗疫情歌曲汕尾·海丰县猫石子的微博视频
所爱皆好好,:#汕尾身边事#真的吗有啥渠道可以知道真假吗？真的是汕尾市教育局提供的购买渠道？
广州日报,:【广东潮州、汕尾新冠肺炎收治确诊病例数今日清零！】28日上午，潮州治愈患者郑某在医护人员的陪同下走出隔离病区。截至今天，潮州5例新冠肺炎确诊患者全部治愈出院，收治确诊病例数清零。而在下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，汕尾全市在院确诊病例清零。截至2月27日24时，汕尾市已连续25天无新增确诊病例。（广州日报全媒体文字记者：陈家源）
头条海丰,:#汕尾身边事#今天下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！头条海丰的微博视频
无脚蛇1,:2月28日下午，汕尾市第5例病例治愈走出病房，这标志着汕尾确诊病例已经全部出院，收治确诊病例数清零。此外，在救治过程中，汕尾也做到了零院感，零死亡。来源；南方日报汕尾·海丰县
汕尾天气,:今天（2月28日）下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！！！一起来回顾汕尾的抗疫之路！
陈粤海,
平安东莞,:【茶山公安侦破一宗口罩诈骗案】2月11日晚，茶山公安分局接事主陈某报案，称其2月5日晚在微信看到一朋友宣传出售一次性口罩，后经朋友推荐加了实际售卖人的微信。2月7日，事主在微信中向卖家购买了口罩一批，并通过微信转账支付了定金。2月9日，事主再次联系卖家，但卖家已不再回复，事主立即报警。接报后分局迅速组织精干警力成立专案组展开侦查工作。专案组根据前期掌握的线索研判分析，发现在汕尾市的沈某具有重大嫌疑。专案组联系当地公安机关对其进行抓捕，于2月25日将其抓获。目前，沈某已被依法刑事拘留，案件在进一步审查中。#众志成城抗疫情##抗击疫情公安在行动##疫情当前警察不退##东莞公安全警战“疫”##战疫打卡行动#
中超100分,:#首例新冠肺炎逝者遗体解剖报告#汕尾市清零！第5例新冠肺炎患者治愈出院！
陆轰菌,:#海陆丰[超话]#【好消息[话筒]】汕尾新冠病例清零！！！今天下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！经专家组会诊，出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，30日确诊。截至2月27日24时，汕尾市已连续25天无新增确诊病例。#汕尾[超话]##陆丰[超话]##海丰[超话]##陆河[超话]#
朱汉斌,:#抗击新型肺炎第一线##汕尾身边事#【捷报！汕尾清零！】2月28日下午，汕尾市第5例病例治愈走出病房，这标志着汕尾确诊病例已经全部出院，收治确诊病例数清零。此外，在救治过程中，汕尾也做到了零院感，零死亡。截至2月27日24时，汕尾已连续25天无新增确诊病例。
汕尾市民网,:【清零！汕尾市最后一名新冠肺炎患者治愈出院】今天下午15：00，我市最后一名新冠肺炎患者治愈出院。至此，我市累计报告的新冠肺炎确诊病例，已全部治愈出院。汕尾市新冠肺炎确诊患者实现清零！据了解，本次出院患者是湖北省随州人，76岁，2020年1月20日到陆河县新田镇探亲，1月30日确诊为新冠肺炎病例，经过医疗团队的全力救治，患者两次新型冠状病毒核酸检测呈阴性，符合国家相关解除隔离和出院标准，治愈出院。...http://t.cn/A67G4GjK
平安汕尾,:【捷报！汕尾清0！汕尾市最后一例在院确诊病例治愈出院！】今天下午，汕尾市最后一例在院新冠肺炎确诊病例治愈出院。截至目前，汕尾市累计报告的5例新冠肺炎确诊病例全部治愈出院，治愈出院率达100%，全市在院确诊病例清零！经专家组会诊，出院患者连续两次新型冠状病毒核酸检测阴性，符合国家《新型冠状病毒肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，予以出院。该患者为汕尾市新冠肺炎确诊病例2，男，系湖北省随州市人，于1月28日入院，30日确诊。截至2月27日24时，汕尾市已连续25天无新增确诊病例。http://t.cn/A67G44pc
新浪广东,:【汕尾000：病患清零！院感零！死亡零！】2月28日下午，汕尾市第5例病例治愈走出病房，这标志着汕尾确诊病例已经全部出院，收治确诊病例数清零。此外，在救治过程中，汕尾也做到了零院感，零死亡。via南方+
汕尾天气,:【晚间天气】预计今晚到明天：多云，早晚有轻雾，汕尾城区18到27度，海丰、陆丰18到28度，陆河17到28度。东北到东风2到3级，相对湿度60%到95%。汕尾市气象台2月28日下午发布
汕尾发布,:
湖北无缝钢管厂13720290123,:汕尾市GB/T5310无缝钢管20G锅炉管价格年内上升还有空间有三个依据韶钢、马钢正常到货，但作为库存补充，影响不大。另据市场消息，上周末天钢有批资源正在集港待装南下，商家反馈这部分资源主要是天钢中板厂库存资源，估计1万多吨，成本基本在3400元以下，主要流往上海；同时济钢有批带出板，估计不到2万吨，上海有商家正在谈价格。不过分析认为，就天钢老厂资源去年在上海市场的表现来看，成交价格基本较新钢马钢等地资源低80元左右，因此这批资源过来后可能并无竞争优势，库存变化不大。不过据直供厂家存放仓库表示，本周出库多于进库，厂家备用库存继续消减。从本网汇总的各仓库库存统计数据看，截止到今天中厚板库存21.338万吨，较上周末减少2.044万吨，这个数包括了部分厂家备用库存。因成交不畅，部分外围资源及二线资源主动下调出货，是实现市场趋跌的直接力量。但是从最近两天的情况看，当二线资源接近3400的水平、外围资源向3500靠拢的时候，市场价格似乎已寻找到一个可以支持的相对底部。库存总体略有减少。据直供厂家存放仓库表示，本周出库也大于进库，厂家备用库存有所减少。从本网汇总的各仓库库存统计数据看，截止到今天中厚板库存21.078万吨，较上周末减少0.461，这个数包括了部分厂家备用库存。
汕尾天气预报,:汕尾市，今天多云，16~24℃，微风，空气良http://t.cn/EIN86UJ
汕尾天气,:【早间天气】预计今天白天到夜间，我市多云为主，城区17到25度，海丰、陆丰16到25度，陆河15到26度，偏东风2到3级，沿海地区阵风5到6级，相对湿度60%到95%。汕尾市气象台2月28日早发布
巨鲸落海洋,:#汕尾[超话]##汕尾爆料##汕尾##汕尾身边事##汕尾生活##汕尾市区##汕尾新闻##汕尾[超话]##汕尾身边事#汕尾市东涌中学一高三美术生（女），通过微信多次向网友借钱，共一万五千三百元，隔日打不通电话。后联系上其母亲时，其母亲称已经交给警察处理，因为距离遥远，两地警局均未能立案。该女学生班主任告知受害者说，这名女学生自己被网络诈骗后向网友借钱，后为不接受害者电话，更换电话号继续上网课。
吴风健123,:是谁改变汕尾市命运！
汕尾天气预报,:汕尾市，今夜多云转阴，16℃。明天阴，17~23℃，微风，空气良http://t.cn/EIN86UJ
汕尾市民网,:【一老房子着火，4部消防车赶赴现场…】2020年2月25日11时44分，汕尾市陆河县消防救援大队接到报警称：陆河县水唇镇墩塘老屋村老房子着火，被困人员不详。接到报警后，陆河县消防救援大队立即出动4部消防车16名指战员赶赴现场处置并调派水唇专职队2车10人到场处置，大队全勤指挥部遂警出动，12时06分大中队到场，12时16分明火被扑灭，中队随即清理火场，1时30分火场清理完毕，...http://t.cn/A672OcEB
汕尾天气,:【一周天气】预计未来一周，我市云量较多，早晚有轻雾或雾；后期受冷空气影响，气温小幅下降。具体预报：28日，多云间阴天，13-25℃；29日，多云，早晚有（轻）雾，15-26℃；3月1日，多云，有零星小雨，早晚有（轻）雾，16-27℃；2-3日，多云到阴天，13-24℃；展望4-5日，阴天到多云。汕尾市气象台2月27日发布
深圳新闻网,:【文锦渡海关启动“绿色通道”快速验放口罩10.5万个】据深圳海关所属文锦渡海关消息，一批由境外爱心组织捐赠给汕尾市的10.5万个口罩运抵文锦渡口岸。文锦渡海关立即启动"绿色通道"对该批防疫物资快速验放。据了解，这批防疫物资进口后将立即运送汕尾市各防疫一线。由于时间紧急，代理运输企业来不及进行报关，文锦渡海关特事特办，对这批防疫物资先登记放行，后补办报关手续，物资通关只用时10分钟。文锦渡海关表示，该关已在各业务现场设置疫情防控物资快速通关专用窗口和"绿色通道"，指定专人协调跟进防疫物资通关事项，对于情况紧急来不及报关的防疫物资可"特事特办"，确保各类防疫物资快速通关。http://t.cn/A672hRPh
汕尾天气,:【早间天气】预计今天白天到夜间，我市多云间阴天，城区18到24度，海丰、陆丰17到25度，陆河16到25度，偏东风2到3级，沿海地区阵风6到7级，相对湿度50%到98%。汕尾市气象台2月27日早发布
汕尾天气预报,:汕尾市，今天多云转阴，16~24℃，东风3级，空气良http://t.cn/EIN86UJ
焦作小虎逛街,:一在逃者无法忍受防疫期间生活，自首！昨天（2月25日），南都记者从广东省汕尾市公安局获悉，上周六（2月22日）21时许，一名在逃人员迫于疫情期间社会严防严控压力，主动到汕尾市陆河县河田派出所投案自首。据柯某福（男，32岁，四川省岳池县人）供述，其潜逃至陆河县一个多月，由于该县疫情期间旅业、餐饮等服务场所全部暂停营业，其根本无处落脚，一日三餐只能啃方便面，每次看到防疫检查点都胆战心惊，到处躲避，晚上也只能睡在公厕。最终因无法忍受这种日子，只好到公安机关投案自首。http://t.cn/R2WxHQ2
汕尾校园,:#汕尾爆料##城市生活家##汕尾身边事#【央视播出！海丰警方赶赴深圳，成功将马某抓获归案...】在全国人民众志成城抗击疫情之时，却有一些不法分子趁机打着卖口罩的幌子实施诈骗。1月29日，海丰公安机关破获汕尾市首宗利用买卖口罩实施网络诈骗案，抓获犯罪嫌疑人1名。1月27日晚，海丰公安接获一起警情，报警人陈某称25日当天自己在“午夜超人”微信公众号平台上发布了购买口罩需求的消息，次日便有人主动通过添加微信与自己取得联系。随后，陈某与对方商谈后达成“1060个口罩2650元”“先转账后发货”的口头协议，随即给对方转账2650元，事后于27日发现被“商家”列入黑名单。鉴于案情恶劣，为有效打击犯罪、服务疫情防控工作，接报后，市、县两级公安机关党委高度重视，迅速抽调精干警力成立专案组立案侦查，开展深入分析研判。在省公安厅新型犯罪研究中心和市公安局网络警察支队的大力协助下，专案组快速锁定了藏匿在深圳的犯罪嫌疑人马某（男，23岁，汕头市潮南区人）的踪迹。1月29日下午，海丰刑警赶赴深圳展开收网行动，在深圳警方的大力支持和积极配合下，成功将马某抓获归案。从汕尾市首宗涉疫情网络诈骗案发生至2月26日，海丰公安机关共破获涉疫情网络诈骗案24宗，抓获涉诈骗违法犯罪嫌疑人10人，涉案金额达50万多元。
汕尾发布,今天的最高温度回升到了30度
平安城区,:#关于办理出入境业务的温馨提示#为贯彻落实党中央国务院和各级党委政府关于推动企业有序复工复产的决策部署，进一步方便群众办理出入境业务，汕尾市公安局城区分局办证大厅出入境业务由“现场取号”改为“网上预约”办理，急需办理业务的市民群众可到“广东出入境”微信公众号或“广东政务服务网”进行预约。办理业务的人员必须佩戴口罩、配合工作人员检测体温，并按工作人员指引有序进入大厅办理出入境业务，避免人员聚集，最大限度降低交叉感染的风险。
平安城区,:#关于办理户政业务的温馨提示#为贯彻落实党中央国务院和各级党委政府关于推动企业有序复工复产的决策部署，进一步方便群众办理户籍业务，汕尾市公安局城区分局定于2020年2月27日起，恢复户政服务窗口（包括各派出所户籍窗口）业务办理。鉴于当前疫情防控工作需要，为避免人员聚集，最大限度降低交叉感染风险，非紧急办理业务的群众及与办理业务无关的人员请勿进入办证大厅。进入大厅办理业务的人员必须佩戴口罩、配合工作人员检测体温，并按工作人员指引有序进入大厅办理。感谢您的支持与理解。
平安城区,#汕尾新闻##汕尾在行动#【逾2亿元专项低息贷款！汕尾出台服务企业复工复产三十条】日前，汕尾市出台“服务企业复工复产三十条”，其中农村商业银行安排不少于2亿元额度的专项贷款，利率在同类贷款利率水平上下浮10%以上；市财政安排不少于2000万元，对受疫情影响较为直接明显的中小微企业新增贷款给予一定的贴息。（文件全文点击图片↓↓↓）
海丰县公安局,:【汕尾市人民政府服务企业复工复产三十条】http://t.cn/A67ZUkZF
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：阴天，19到23度，东北到东风6级，阵风7级，能见度11到20公里。汕尾市气象台2月26日发布
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
宋冬梅2015,:《工程车辆自动灭火系统如何调试？-山东潍坊九通消防科技有限公司》中国广东省清远市、茂名市、肇庆市、惠州市、梅州市、汕尾市、河源市、阳江市、东莞市、中山市、潮州市、揭阳市、云浮市运输车辆灭火装置、矿用卡车自动灭火系统、特种工程车辆自动灭火系统、挖掘机灭火装备、井下运输车、自卸车、重型装载机、小松绞卡机、高空作业车辆、客运汽车、公交车灭火装置等的调试有一定的技巧http://t.cn/A6hhakHE
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
汕尾新闻资讯,:【听！汕尾这对战“疫”夫妻档的深情告白】病房内，她穿着防护服悉心护理感染患者；病房外，他戴着安全帽仔细巡检用电设备。在广东省新型冠状病毒感染的肺炎定点救治医院——汕尾市人民医院，这对夫妻距离很近，却不能见面。他是陈思颖，是南方电网广东汕尾城区供电局用电检查班副班长，他的妻子http://t.cn/A67zpc5p
汕尾同城,:#汕尾爆料##城市生活家##汕尾身边事#【又有2例出院！汕尾5例确诊患者已有4例治愈出院！】经专家组会诊，今天下午汕尾市新增2例新冠肺炎确诊患者治愈出院。在汕尾市人民医院医护人员精心诊治和护理下，两名患者两次新型冠状病毒核酸检测呈阴性，均符合国家《新型新冠病毒感染的肺炎诊疗方案（试行第六版）》中解除隔离和出院标准，准予出院。出院病例信息：李某某，汕尾市确诊病例4，女，45岁，陆河县新田镇人，系确诊病例2和3的女儿。1月20日与其丈夫驾车到深圳北站迎接从湖北来的父母归家居住。30日入院，31日确诊。林某某，汕尾市确诊病例5，男，37岁，陆丰市东海镇人，长期在武汉市硚口区工作及生活，1月19日自驾回陆丰市，20日到达陆丰市东海镇。29日出现发热，30日入院，2月2日确诊。截至目前，全市累计报告确诊新冠肺炎病例5例，累计出院4例。
胡_思乱想纪,:发布了头条文章：《汕尾市城区香洲街道抗疫“勇敢者”》汕尾市城区香洲街道抗疫“勇敢者”
汕尾发布,#汕尾新闻##汕尾在行动#【逾2亿元专项低息贷款！汕尾出台服务企业复工复产三十条】日前，汕尾市出台“服务企业复工复产三十条”，其中农村商业银行安排不少于2亿元额度的专项贷款，利率在同类贷款利率水平上下浮10%以上；市财政安排不少于2000万元，对受疫情影响较为直接明显的中小微企业新增贷款给予一定的贴息。（文件全文点击图片↓↓↓）
青春大尉,:每日人文地图|广东省汕尾市http://t.cn/A677KlJ3
深莞惠搬家有限公司13928423113,:『深圳市深莞惠搬家服务有限公司龙华新区附近居民长途搬家到汕尾市各地区-龙华民治搬家-深圳58同城』http://t.cn/A67hywIH
用户6136557974,:疫情非常时间，国难当头，汕尾市陆河县政府没有按中央文件执行返工返厂复工生产人员管控制度，把园区人员已籍贯式本地人放出去自由上下班，没有把疫情还有反弹状态控制，对外省人员采取一刀切一律不准出厂区，请问那批人是安全的，对国家疫情控制措施存在玩忽职守。望有关部门严查党政党风。
羊城派,:【住公厕、啃方便面……一逃犯在汕尾自首：再也受不了】新冠肺炎疫情发生以来，多个地方发生了嫌犯自首的案例。记者25日从汕尾警方获悉，这样的情况近日也在汕尾发生了。据悉，2月22日21时许，在逃人员柯某福（男，32岁，四川省岳池县人）迫于法律威严和汕尾市陆河县疫情期间严防严控压力，主动到陆河县河田派出所投案自首。据柯某福供述，其潜逃至陆河县一个多月，由于全县疫情期间旅业、餐饮等服务场所全部暂停营业，根本无处落脚，一日三餐只能啃方便面，每次看到防疫检查点都胆战心惊，到处躲避，晚上也只能睡在公厕。最终因无法忍受这种日子，只好到公安机关投案自首。汕尾警方称，经核查，柯某福是福建省福清市公安局2018年上网追逃的寻衅滋事案件犯罪嫌疑人，已负案在逃2年。目前，汕尾陆河县河田派出所已于2月24日下午将该在逃人员移交给福清市公安局办案民警。http://t.cn/A67P9kN2
看福清官方微博,:【福清公安在网上追逃两年的犯罪嫌疑人突然自首，自首原因竟是...】啃一个月方便面睡公厕！在逃两年嫌疑人称无法忍受在汕尾投案自首。2月22日21时许，一名在逃人员迫于疫情期间社会严防严控压力，主动到汕尾市陆河县河田派出所投案自首。据柯某福（男，32岁，四川省岳池县人）供述，其潜逃至陆河县一个多月，由于该县疫情期间旅业、餐饮等服务场所全部暂停营业，其根本无处落脚，一日三餐只能啃方便面，每次看到防疫检查点都胆战心惊，到处躲避，晚上也只能睡在公厕。最终因无法忍受这种日子，只好到公安机关投案自首。经核查，柯某福是福建省福清市公安局2018年上网追逃的寻衅滋事案件犯罪嫌疑人，已负案在逃2年。目前，陆河县河田派出所已于2月24日下午将该在逃人员移交给福清市公安局办案民警。（南方都市报）#看福清FQLOOK.CN#
宋清辉,:#宋清辉看肺炎疫情#啃一个月方便面睡公厕！在逃两年嫌疑人称无法忍受在汕尾投案自首。据南都，2月25日，南都记者从广东省汕尾市公安局获悉，2月22日21时许，一名在逃人员迫于疫情期间社会严防严控压力，主动到汕尾市陆河县河田派出所投案自首。据柯某福（男，32岁，四川省岳池县人）供述，其潜逃至陆河县一个多月，由于该县疫情期间旅业、餐饮等服务场所全部暂停营业，其根本无处落脚，一日三餐只能啃方便面，每次看到防疫检查点都胆战心惊，到处躲避，晚上也只能睡在公厕。最终因无法忍受这种日子，只好到公安机关投案自首。经核查，柯某福是福建省福清市公安局2018年上网追逃的寻衅滋事案件犯罪嫌疑人，已负案在逃2年。目前，陆河县河田派出所已于2月24日下午将该在逃人员移交给福清市公安局办案民警。#肺炎疫情实时动态播报##众志成城战胜疫病#
汕尾发布,2月末暖融融，明天天气复制今天。后天，虽然有冷空气下来，但是对我们的影响，不提了，最高气温还有25度。来看具体预报吧汕尾天气的微博视频
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：多云，19到25度，东北到东风4级，阵风5级，能见度10到25公里。汕尾市气象台2月25日发布
我叫累疯,#陆丰要闻#全网首发！！汕尾市疫情防控精神文明教育工作指引二十条全网首发！！汕尾市疫情防控精神文明教育工作指引二十条
我叫累疯,#陆丰要闻#守护校园净土确保师生安全——汕尾市、陆丰市教育局领导检查指导林启恩纪念中学疫情防控工作守护校园净土确保师生安全——汕尾市、陆丰市教育局领导检查指导林启恩纪念中学疫情防控工作
汕尾城区发布,:#汕尾新闻#汕尾市城区：驻企“店小二”贴身服务企业复工复产“从提交申请到正式复工复产，只花了两天时间！”雅泰隆食品有限公司董事长陈碧雅感叹道。2月11日复工至今，该企业已有约70%的员工陆续返岗。而为企业按下复工“加速键”的，是汕尾市城区推出的“店小二”式复工复产服务。“公司产品主要销往香港，受疫情影响，香港市场需求量减少。”在雅泰隆食品有限公司的企业复工复产调研表上，详细记录了企业当前遇到的困难和问题，以及企业用工情况、物资保障情况、生产经营情况和近期投资计划。“有了这份基本‘菜单’，服务才能更精准、更有针对性。”据汕尾市城区委常委、常务副区长曾向镇介绍，为全面推进“店小二”式复工复产服务，汕尾市城区建立了区领导挂驻联系企业、企业复工服务专班、驻企指导员制度，推行“一企一专班”“一企一指导员”“一企一策”机制，服务全区188家“四上”企业和33项重点项目，发挥干部在政策资源、部门工作资源、个人人脉资源方面的优势，帮助企业解决原材料保供、稳定用工、资金需求、产品市场等方面的问题和困难，实现政府服务与企业需求的无缝对接。据陈碧雅回忆，近一个月来，主动上门服务的领导干部不下30批，其中包括工信局、人社局、卫健局和市场监管局等多个部门。“得知我们有一位湖北籍员工，卫健局立刻为我们提供了新冠病毒核酸筛查检测服务。”“勤跑腿也是店小二服务的精髓之一，为的就是及时将最新政策、服务送上门，让企业少跑腿，有更多的时间和精力投入到复工准备工作中。”曾向镇说。走进岭峰国际（集团），宣传栏上张贴着疫情防控宣传画，生产车间内，戴着口罩的工人们相互之间保持着一定距离，娴熟地操作着设备，机器的轰鸣声奏响着“复工曲”。“政府帮我们协调采购到了一批红外线体温计，还指导我们一项项落实疫情防控举措，不给病毒可乘之机。”总经理刘德生告诉记者，公司正准备上线新产品项目，疫情带来的最大影响就是人手不足。企业复工服务专班得知情况后，人社局和就业服务中心的领导干部立即上门为我们详细解读了招工补助等一系列优惠政策，并在当地电视台免费发布招聘信息，协助我们开展网络招聘。“我前几年刚从国外回来，所以对国内的办事流程和政策不太熟悉，好在政府专门派工作人员上门服务，让整个沟通变得很顺畅，提高了对接效率。”刘德生对“店小二”式服务赞不绝口。而早在复工前两天，该企业驻企指导员庄保平便迅速转换身份，全天驻企“办公”，实地了解企业需求。考虑到大量新员工上岗后，有可能面临防疫物资紧缺的状况，他正与区疫情防控指挥部沟通，提前预留部分口罩，帮助企业解决后顾之忧。截至2月21日，汕尾市城区连续两次居全市复工复产综合评价指数第一名，“四上”企业已复工复产126家，复工率为67.0%，其中，规上工业企业已复工复产35家，复工率为85.4%。
野人闲谈历史与文化,:广东省汕尾市各区县地名的历史由来：1，汕尾，因当地人称浅海中的长条状沙滩为“汕”，且地处沙滩尾部，故名“汕尾”。2，城区，1988年设置，因地处汕尾市城区得名。3，陆丰市，唐朝析海丰、陆安两县的土地置县，取二县名各一字得名。4，海丰县，晋朝设置海丰县，取“南海物丰”之意为名。5，陆河县，1988年，取陆丰县河田、河口等6镇置陆河县，取陆丰及河田首字命名。希望我写其他各省地级市区县地名来源或者美国各州地名来源的朋友，可以在评论下面留言。
中国税务报,:【24小时全记录：疫情防控一线的税务党员先锋】新冠肺炎疫情发生以来，广东省汕尾市税务系统充分发挥基层党组织战斗堡垒作用和党员先锋模范作用，组织税务党员志愿者第一时间驰援地方党政构筑疫情联防联控防线。税务党员先锋队与全市汇聚一线的工作人员团结一心，开展24小时不间断的过往人员和车辆检测、排查工作，构建起一道道坚实的防线，为打赢打好疫情防控阻击战贡献税务力量。详情请点击→http://t.cn/A67v9dyD
汕尾市民网,:【公告：打击走私犯罪】为推进今年“国门利剑2020”“蓝天2020”、打击整治涉野生动物及其制品走私等打私联合专项行动的深入开展，加大打击走私、贩私违法犯罪力度，市公安局打私支队特此对外公开举报走私贩私违法犯罪线索渠道信息如下：举报电话：0660--110；邮寄地址：汕尾市城区汕尾大道中段中银大厦十楼市公安局打私支队，邮政编码：516600；举报邮箱：swdsbyx@163.com...http://www.swsm.net/forum.php?mod=viewthread&amp;tid=557639&amp;extra=page%3D1%26filter%3Dauthor%26orderby%3Ddateline
用户5603377386,:#汕尾[超话]#安华村开展春耕春种生产眼前正处在疫情防控时期，也是春耕生产的重要时节，连日来，汕尾市城区东涌镇安华村45户在家务农的村民们都在田地里翻耕、播种秧苗、下肥，在绿油油的菜园里浇菜，到处一片忙碌景象。该村现有水田、菜地、果林共800多亩，预计今年水稻、各类蔬菜和水果总产量380吨，总产值达100多万元。
汕尾同城,:#汕尾爆料##城市生活家##汕尾身边事#【好消息！汕尾又有2例（1例陆丰）新冠肺炎患者治愈出院……】今天（24日）下午5点钟汕尾市人民医院再次传来捷报我市又有两名新冠肺炎确诊患者治愈出院她（他）们分别是我市的第四、第五例确诊病例截止目前我市累计有4例确诊病例治愈出院还剩1例在院治疗据悉，我市第四例确诊患者李女士，45岁，于2020年01月30日16:45入院，患者系湖北孝感市人，嫁陆河县新田镇福塘村并长期居住。1月20日其父、母自湖北孝感市坐高铁至深圳，后坐私家车至陆河县新田镇福塘村其家里居住。入院后反复胃部不适，咳嗽咳痰及肺炎治疗后好转。第五例确诊患者林先生，37岁，于2020年02月02日15:11入院。既往有慢性胃炎、慢性咽炎病史；2009年始在武汉桥口工作至今，2020年1月19日自行开车返陆丰东海，同行有其妻子及女儿。入院后病情有加重，经积极干预后好转。两人两次新型冠状病毒核酸检测呈阴性，符合国家和省相关出院标准，治愈出院！继2月6日、2月17日两名确诊患者分别出院后，我市的5例确诊病例已经有4例治愈出院，目前仅剩1例在院治疗。而从2月3日至今，我市已经连续21天没有出现新增病例，疫情形势稳定。但是要提醒大家的是疫情还未结束大家千万不能松懈继续做到戴口罩勤洗手不聚集
用户6136557974,:汕尾市陆河县疫情防控靠大家共同努力，少出去，少聚餐，出去戴口罩，听钟南山的话，坚持就是胜利。任何人没有权利放行流动人员。
吹更大更大的泡泡糖,:#汕尾[超话]#有没人知道？到底汕尾市健康证明要怎么办理啊[淚]
新鲜苹果888,【武汉新型冠状病毒感染患者救治均由政府买单】据人民日报，武汉市卫健委表示，凡是确诊的病人，除医保报销外，医疗费全由政府兜底。梅州
珺一刀,:近期哪都去不了😑😷老公说只能去碣国回大碣国意外发现这里好嗨喲～这街道车水马龙🛵🛵🛵居然还有地方洗头感动到落泪别有一番风味#世外桃源#果然战斗民族#碣石@广东汕尾市陆丰市碣石镇http://t.cn/A6hFAtLP
