新浪广西,:#广西抗击新冠肺炎#【清零！广西玉林市11名确诊病例全部治愈出院
天津8890,:【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】#便民服务#从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。（津云）
冀连梅药师,【TED医学#科普#：免疫系统是怎么工作的？】你的免疫系统是如何保护你免受细菌病毒侵袭的呢？艾滋病就是通过攻击人体免疫系统危及人体的。知艾防艾，你有哪些不知道的认识误区？所以人并不会死于艾滋病，而是艾滋病干掉人体的免疫系统，使其他有破坏性的病毒在人体内自由繁殖而摧毁人体。#艾滋病病毒应用于医学治疗#http://t.cn/ExxmeCR
无锡都市生活广播,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（总台央视记者李承泽）
肇庆文明网,:【3月2日广东无新增确诊病例，新增出院47例】http://t.cn/A67KkvFa据广东省卫健委官方网站消息，截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。
介似天津卫,:#天津爆料#【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】记者从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。（天津发布）
中央人民广播电台,:#疫情最新情况##全球抗疫#【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。@央视新闻
天津政法,:#天津爆料#【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。
东方网,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（辽宁省卫健委）
天津发布,:#津日疫情播报#【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。
津云,:#津日疫情播报#【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】记者从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。http://t.cn/A679401N
西安电视台官方微博,:【贵州：无新增新冠肺炎确诊病例累计治愈出院114例】#关注新冠肺炎#截至3月2日24时，贵州省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。
今晚报,:#津日疫情播报#【3月2日18时至3日6时天津无新增新冠肺炎确诊病例】从市疾控中心获悉，3月2日18时至3日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例32例。累计排查密切接触者2317人，尚有291人正在接受医学观察。
广西卫视,:【清零！玉林11名确诊病例全部治愈出院】3月2日0-24时，玉林无新增新冠肺炎确诊病例，新增治愈出院病例4例。陈某某，男，28岁，玉林北流人。武汉工作，1月20日从武汉返玉林。在玉林市红十字会医院隔离治疗，为普通型病例。陈某某，女，35岁，玉林玉州人。1月22日到新加坡旅行，1月27日返玉。在玉林市红十字会医院隔离治疗，为普通型病例。陈某，男，71岁，玉林玉州人。1月22日到新加坡旅行，1月27日返玉。在玉林市红十字会医院隔离治疗，2月3日转危重症。经自治区、市级专家团队及玉林市红十字会医院医护人员全力救治和精心护理，于2月15日转为普通型病例。祝某某，女，33岁，湖北武汉人，现租住玉林。1月15日随家属从玉林到湖南株洲、湖北咸宁、武汉江夏区等地探亲，1月21日返玉。在玉林市红十字会医院隔离治疗，为普通型病例。经专家组评估，上述4名患者均达到国家卫生健康委最新颁布的新冠肺炎诊疗方案的出院标准，已嘱其出院后隔离观察14天，并安排医务人员跟踪随访。截止3月2日24时，玉林累计报告新冠肺炎确诊病例11例，11例确诊病例全部治愈出院，现有确诊病例0例，疑似病例0例。（来源：玉林新闻网）#广西抗击新冠肺炎##玉林爆料#
羊城晚报,:【#辽宁新增3例确诊均为丹东病例#，累计125例，#2月12日后境外入丹东人员全部开展核酸检测#】3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。（综合）
茂名市广播电视台FM1061,:#1061应急广播#截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
茂名市广播电视台FM1061,:#1061应急广播#截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
东莞日报,:【最新疫情！东莞11镇街（园区）已无在院确诊病例】东莞昨日无新增确诊病例。出院8例，其中塘厦2例，东城、南城、大岭山、大朗、沙田、桥头各1例。东莞治愈率达75%，3/4的确诊病人已治愈出院。截至2020年3月2日，东莞在院的确诊病例中，危重型2例，重型0例，普通型18例，轻型4例。累计出院74例，死亡1例。无医务人员感染。大朗、塘厦、东城、厚街、高埗、东坑、石龙、松山湖、茶山、桥头、望牛墩等11镇街（园区）已无在院确诊病例。http://t.cn/A679yDPT
央视新闻,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（总台央视记者李承泽）
广州日报,:【#每日疫情走势#|广东无新增确诊病例新增出院47例】3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广州日报全媒体记者何雪华罗知锋）http://t.cn/A679w8xv
肇庆西江网,:【3月2日，确诊无新增！新增出院47例，累计出院1081例！】截至3月2日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783...http://t.cn/A679wMAv
梅州日报,:#梅州新闻#【持续稳住！梅州无新增，广东全省无新增！】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（via.广东省卫健委官网）
医疗事故微观,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
佛山市祖庙博物馆,:疫情通报|2日广东确诊0新增！新增出院47例截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
深圳特区报,:【3月2日广东无新增确诊病例，新增出院47例】据广东省卫健委官方网站消息，截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。http://t.cn/A67KkvFa
汕尾发布,:【3月2日广东无新增，累计出院1081】据广东省卫生健康委员会消息：截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例（已全部治愈出院）、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
平安叙永,:【加油！泸州已连续12天无新增】3月2日0-24时，我市无新增新型冠状病毒肺炎确诊病例。3月2日0-24时，我市无新增新型冠状病毒肺炎出院病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例24例，男性13例、女性11例，年龄在5岁至68岁之间，涉及5个县区，其中江阳区7例、龙马潭区8例、泸县6例、叙永县1例、古蔺县2例。在治确诊病例4例，其中轻型1例、普通型3例、重型0例、危重型0例。治愈出院20例，其中江阳区7例、龙马潭区8例、泸县2例、叙永县1例、古蔺县2例。无死亡病例。正在接受医学观察的密切接触者136人，已排除感染风险解除医学观察2058人。温馨提示：上述确诊病例已被定点医院收治隔离，密切接触者已排查并转移至集中隔离点进行医学观察，发病期间曾停留场所已进行消毒处理。若近段时间还有其他与上述确诊病例密切接触的人员，请立即戴上口罩到就近定点医院发热门诊就诊，或立即拨打12345电话咨询求助。（来源：泸州发布）#共同战疫##中国境外累计确诊新冠肺炎8774例#
平安北辰,:【3月2日6时至18时天津无新增新冠肺炎确诊病例治愈出院7人】从市疾控中心获悉，3月2日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院7人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例34例。累计排查密切接触者2305人，尚有287人正在接受医学观察。
人民数字-江苏,:【2月27日江苏无新增新型冠状病毒肺炎确诊病例】#关注江苏新型肺炎疫情#2020年2月27日0-24时，江苏省无新增新型冠状病毒肺炎确诊病例。新增出院病例12例。1例危重型病例转为重型病例，2例重型病例转为普通型病例。
揭阳发布,:【最新，2日广东无新增确诊病例，新增出院47例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。http://t.cn/A679h7Rv
中宏网新闻,:【辽宁新增3例新冠肺炎病例均为丹东病例#2月12日后境外入丹东人员全部开展核酸检测#】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
中国新闻社贵州分社,:【贵州无新增确诊病例，现有疑似病例1例】2020年3月2日12—24时，全省新型冠状病毒肺炎无新增确诊病例。截至3月2日24时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。（来源：贵州省卫生健康委员会官方网站）
HZTV惠州电视台,:【最新：广东全省确诊0新增！新增出院47例，累计出院1081例】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
万相人间,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
新快报,:【3月2日#广东无新增确诊病例#！新增出院47例】截至3月2日24时，广东省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。（广东卫健委）
广东共青团,:【确诊0新增！累计确诊1350例#广东累计出院1081例#】截至3月2日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1081例，累计死亡7例。3月2日当天全省无新增确诊病例。新增出院47例，4例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有783名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月2日24时，在院的262例确诊病例中，轻型24例，普通型205例，重型14例，危重型19例。
花开竟莫名,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
大连突发,:【3月2日辽宁疫情通报新增3例确诊累计125例】2020年3月2日0时至24时，辽宁新增3例新冠肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新冠肺炎确诊病例125例，治愈出院103例，死亡1例。#关注辽宁新型肺炎疫情##辽宁新增3例确诊病例##辽宁新增3例确诊均为丹东病例#http://t.cn/RJyjtcN
广西新闻网,:#广西全力抗击疫情##肺炎疫情防控动态#【清零！玉林11名确诊病例全部治愈出院】3月2日0-24时，玉林无新增新冠肺炎确诊病例，新增治愈出院病例4例。陈某某，男，28岁，玉林北流人。武汉工作，1月20日从武汉返玉林。在玉林市红十字会医院隔离治疗，为普通型病例。陈某某，女，35岁，玉林玉州人。1月22日到新加坡旅行，1月27日返玉。在玉林市红十字会医院隔离治疗，为普通型病例。陈某，男，71岁，玉林玉州人。1月22日到新加坡旅行，1月27日返玉。在玉林市红十字会医院隔离治疗，2月3日转危重症。经自治区、市级专家团队及玉林市红十字会医院医护人员全力救治和精心护理，于2月15日转为普通型病例。祝某某，女，33岁，湖北武汉人，现租住玉林。1月15日随家属从玉林到湖南株洲、湖北咸宁、武汉江夏区等地探亲，1月21日返玉。在玉林市红十字会医院隔离治疗，为普通型病例。经专家组评估，上述4名患者均达到国家卫生健康委最新颁布的新冠肺炎诊疗方案的出院标准，已嘱其出院后隔离观察14天，并安排医务人员跟踪随访。截止3月2日24时，玉林累计报告新冠肺炎确诊病例11例，11例确诊病例全部治愈出院，现有确诊病例0例，疑似病例0例。（via玉林新闻网）#壮观新闻#
贵州疾控CDC,:【疫情通报|贵州无新增确诊，疑似病例1例】2020年3月2日12—24时，全省新型冠状病毒肺炎无新增确诊病例。截至3月2日24时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。http://t.cn/RXm78AU
阜新共青团,:#新冠肺炎最新动态#【辽宁省新增3例新型冠状病毒肺炎确诊病例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
财经网,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。@人民日报
环球网,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报）
人民日报,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
