凡尔登公主的炽天使骑士,:#闪耀暖暖[超话]#有了它，我离成为超强搭配师又近了一步。
孙目晛_Ida,:#肖战#227事件一直闹得现在，如果我关注的不晚，应该是26号，从肖战一名大粉实名举报老福特的一名cp写手开始的，随后没多久，那个作者和那篇文章就迅速登上了热搜，作为战战的粉丝，我看了那篇文，我不否认一些粉丝的观点，这篇文把肖战女性化，甚至有一些相对过分的东西，但这是一个圈子的文化，可以不理解不接受，但是应该保证尊重我确实是肖战的唯粉，陈情令这部片子播的如此成功，再加上他的原著，有很多cpf也是必然，但这种东西本是可以平衡好的，据我所知很多的cpf，都是圈地自萌的，他们并没有超过界限去打破平衡，而确实很多肖战的hf，ncf，去越过界限，去打破了这种平衡，但真的不是所有肖战粉丝都是这样的，因为我们深知，有些东西摆在明面，闹大，没有任何的好处，最后被影响，替这件事买单的都是肖战但这件事还是因为很多hf，ncf被闹得越来越大，也影响到了特别多人，到处乌烟瘴气，戾气特别重，这确实是一些无脑粉丝的原因，肖战全网被黑，网友在各种品牌方下留言抵制肖战，肖战的剧被恶意刷一星评分下降，还没有上的新剧《余生请多指教》也被很多网友一星待定，从之前放出的预告来看，肖战的演技可圈可点，剧中哭戏把崩溃的情绪表现的淋漓精致，可就算这样的努力，战战还是被这群所谓爱他的人连累了肖战工作室因为这次事件，发文道歉，我真的心疼我爱的这个男孩，他明明什么也没做错，却要为这些无脑的粉丝做出的愚蠢事情买单fs的错fs认，但是请大家不要伤害这个男孩，fs行为不要上升蒸煮肖战真的很好，他真的是我见过最温柔最体贴最好的男孩，出道四年，他的初心从未改变，他努力了四年多却被人们说花瓶，一部陈情令让他收获了许多粉丝，但同时也被推上了风口浪尖。但是他一直初心未变，他一直想把更好的作品呈现给大家，一路看着他慢慢成功，作为粉丝，我真的很开心但是随着他的成名，也出现了太多太多声音，这些声音伤害着他，影响着他，年前因为hf恶意评论，他把和粉丝交流了四年的秘密花园关了，wb设置了半年可见，他把秘密花园关了，可能是想把那份只属于他和小飞侠的美好保存起来吧在秘密花园里，他说“那就在这里吧，我们的小秘密”他说“一直不喜欢刻意而为，只是觉得每一份喜欢都应该对认真对待”他分享着他的生活，他听着粉丝的声音和粉丝交流他会在每一个节日里和他的小飞侠说节日快乐他对小飞侠说“我在，晚安”他说“那就不回头，一起向着光亮走下去”他说“我会努力让你们不那么辛苦”他说“大家好，我依然是肖战”他说“有时我在想，满足到底是什么.当我看到，你们为我熬夜爆肝，为我应援，远道而来.你们陪伴我，我们一同成长我想这就是成长的力量，我觉得成长的力量，就是我的满足”他说“我认为小飞侠感到自豪的瞬间是我们相互保护的时候”他说“我一定会努力成为那个，当别人问道喜欢的人时，你们可以骄傲的说“是肖战啊!””这一次，小飞侠没保护好你也真的在此呼吁所有粉丝，理智追星，支持正能量，拒绝无脑追星！！！我也真的对那些hf，还有所谓爱他的fs说“你可以有你的轻狂，你的不屑，你的嚣张狂野，但是，尊重身边每一个人，对身边的人都有一颗敬畏的心”这是多好的一个男孩，他只是喜欢唱歌喜欢演戏，他坚守初心，克己复礼，自律清醒，善良绅士，他的温柔谦逊刻在骨子里，他就是一个干净，眼里有光的大男孩啊，这一路有那么多的诽谤和误伤，但能不能别再伤害这个男孩，能不能善待这个男孩战战，这条路在乱，在黑暗，泼来的脏水越多，请你记住，也请你相信，你从来不是独自前行，热爱可抵岁月漫长，互相保护也不是说说而已，就像你说的“这世界车水马龙，那我们就好好的，手牵手的走下去吧”
北湖检察,:【北湖区检察院开展疫情防控期间社区矫正检察监督工作】为全面落实省检察院《关于做好疫情防控期间全省监管场所检察工作的通知》精神，按院党组的部署，郴州市北湖区人民检察院党组成员、副检察长李安带领该院刑事执行检察人员联合北湖区司法局，认真做好疫情防控期间的社区矫正检察工作，防范疫情特殊人群传播风险和社区矫正人员脱管、漏管。面对严峻的新冠肺炎疫情防控形势，区检察院刑事执行检察人员认真履行监督职责，与区司法局一道全力以赴、主动下沉一线，对辖区14个司法所的275名社区矫正对象进行逐一排查，严格请销假制度，并依托湖南智慧一体化平台强化监督管理，对于不按时签到和不假外出的15人进行了训诫教育，3人予以书面警告处理，做到社区矫正对象底数清，情况明，监督到位。为积极引导全区社区矫正对象成为疫情防控的“参与者”，区检察院协同区司法局通过电话和微信群给275名社区矫正对象发送《给全区社区矫正对象的一封信》，目前，引导共246余人次积极参与疫情防控，60余人次向慈善总会等公益机构及一线防疫工作机构、人员捐款20288元，捐赠口罩1332个、手套1000个，40余人成为了疫情防控的志愿者。目前北湖区无一例社区矫正人员感染病例或疑似病例，也未发生一起脱管、漏管等监管安全事故。
想要咬你一口,:虽然我因为友人天天给我看肖战的粉圈尬照对他好感度极低，但这次真心觉得他好可怜。这种情感并非隔岸观火的风凉话，也不是怜悯（毕竟人家瘦死的骆驼比马大）。本身新生代鲜肉们的辛路历程就是抛物线，比如去年的鲜肉今年就不上热搜了，风光像是有时限，对于他们来说一定清楚这种规律，并无比珍惜目前的上升期。然而本就短暂的时光却被粉丝提前坑下台，惨无人道啊！！说起来，这种意见不和就要狗仗人势来扣帽子名正言顺举报的嘴脸还真是一直不太理解。这群人是真傻吗？？举报的是别人，限制别人的同时不也葬送了自己的利益吗？为什么会有说法“我不同你你的观点，但我誓死捍卫你说话的权利”？因为某种意义上来说，这里的“我“跟“你“才是一伙的，我可以针对你的观点打你骂你，但是怎么能举报你，让你“说话“成为错误后，我还可以“说话“吗？一个不恰当却却易懂的例子，a和b上课打游戏，因为二人自身方面矛盾，a举报b上课打游戏，以后老师上课要求更加严格，a沾沾自喜觉得自己醒了。是不是傻？你举报的是作品，也同样是为每个人上一道枷锁的帮凶，包括你自己。蠢。
轻安1210,:有一位心理学家和别人打赌，他说：“如果我给你一个鸟笼并挂在房中，那么，你就一定会去买一只鸟。”后来有人愿意和心理学家打赌，心理学家就买了一个非常漂亮的鸟笼送给了他，让他将鸟笼挂在自己的居室里面，就是家里的房间里。结果是那个同意打赌的人最后不得不买来一只鸟装在了鸟笼里。为什么呢？因为凡是到他家来的人，进门之后看见空的鸟笼，总要问：“你的鸟呢？你的鸟什么时候死了？”每次都这么问，他每次都这么解释，每一次还是问到这样的问题，因此搞得他心烦意乱，懒得再费口舌，干脆买了一只鸟。心理学家后来说，这个原理就是告诉大家，我们人总是要先在自己的头脑中有一个印象，就像挂上一个鸟笼一样，后来你就一定会在鸟笼里装些什么东西。就犹如一个人对别人有看法，他就会不断地在这个看法中慢慢地瞋恨他，慢慢地嫌弃他，去因他而烦恼。鸟笼也是这样，你在头脑中挂上这么一个鸟笼，就犹如人慢慢地有个概念：如果你有一个好的概念，就相当于在你的脑子里，这个鸟笼成为了你的一个理想。其实，每一个理想的实现都是要在脑子里先有这个概念。设想一下，如果我们人类没有千里眼、没有顺风耳的设想，又怎么会有现在的电视机和各种缤纷的通讯设备呢？如果人没有长命百岁的梦想，又怎么会不断地有新的抗菌药问世呢？如果人类没有想飞天的想象，又怎么会制造出宇宙飞船呢？一切的一切都是人类事先在脑海里拥有了这个概念，这和挂在脑子里的鸟笼，结果是一样的道理。在你头脑里挂上“鸟笼”，有些人会进步，有些人为了充实自我，拥有创意性的理念，它是必不可少的；而有些人对别人看不惯的概念，认为“这个人永远改不过来了，我跟他生活在一起永远就是烦恼和吵架”，那么他们就会拥有痛苦的约束和烦恼。所以，要懂得利用自己大脑的概念，好好地去充实一些正能量的东西，才会给你的生命带来生机。#王俊凯[超话]##朱一龙##王源[超话]##鹿晗[超话]##华晨宇[超话]#
杰克家居思维,:疫情当前，为2020年中国家居产业发展带来了值得注意的信号：第一，人们消费理念的转变趋势。疫情之后居家生活中，消费者将更加注重产品的健康与舒适，这很可能会加速智能化系统家居产品的快速发展。第二，疫情有效倒逼部分传统企业转型升级。产业前后端要进一步强化智能制造与信息化建设，这能有效缓解线下消费需求延缓对制造端与营销端压力，未来新的家居消费模式中线上市场或将成为重要战场。第三，服务成为重塑消费信心的重要途径。品牌不仅是服务消费者，也要服务经销商。是否能真正解决经销商顾虑，满足消费者本质需求是未来家居市场能否快速重新回暖的核心与重点。
小小楠儿er,:#正能量艺人王一博#wyb#王一博无感#💚💚出道1997天快乐我的啵虽然喜欢上的你时间很短但一生很长余下的时光里我都会用尽全力希望我们都能成为更好的自己💚💚@UNIQ-王一博🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍📱王一博Redmi手机品牌全球代言人🦷王一博高露洁品牌代言人🛀🏻王一博舒肤佳品牌代言人🦁王一博海飞丝品牌代言人🥛王一博安慕希品牌代言人💄王一博植村秀全球品牌大使🚘王一博奥迪Q2L家族强音大使🎮王一博梦幻西游三维版代言人🌴王一博HFP原液代言人🌳王一博悦木之源首席探索官👑王一博95后男明星带货榜第一👑王一博男明星美妆带货第一🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍🍍
Leonard罡,:#明日往事#【1908年3月4日(1908年2月2日)交通银行在北京成立】1908年3月4日(农历1908年2月2日)，交通银行在北京成立。交通银行于1908年3月4日在北京成立(原有西文名称：TheBankofCommunications)，同年5月天津、上海、汉口、广州四分行相继开业，至今整整一百年。在这一百年中，它的资本构成、组织结构和业务经营不断变迁，有时在近代化进程中趑趄，有时在官与商、专业与综合经营之间彷徨，最终成为国家垄断资本金融机构的一员，但又因为有大量商股的存在，经过人民政府给予整顿改造转而成为新民主主义金融体系的一个成员。下面阐述1908-1949年间这42年的经历变迁，也有助于加深对它在新时期改革开放大潮中终于成为公开上市的股份制商业银行的理解。
丸园园,:#王源[超话]#🌈00后艺人#王源#以15.3亿成为微博十年讨论量最高话题💚30首单曲18首原创，💚三次出席联合国会议，首位开万人个唱95后💚原创歌手王源、青年演员王源、联合国儿童基金会大使王源、💚环球人物专栏作家王源，伯克利学子王源，💚不负青春，不负梦想。💚2020年，继续前行@TFBOYS-王源🌈00后艺人#王源#以15.3亿成为微博十年讨论量最高话题💚30首单曲18首原创，💚三次出席联合国会议，首位开万人个唱95后💚原创歌手王源、青年演员王源、联合国儿童基金会大使王源、💚环球人物专栏作家王源，伯克利学子王源，💚不负青春，不负梦想。💚2020年，继续前行@TFBOYS-王源
_林泽璇,:#日行一善[超话]#一本童话书，一个渴望的眼神，成就一个孩子的梦想。一次公益行，一颗公益心，平凡的人也能为别人带去温暖。时间教会我们的不是成为大人，而是成为每一段人生成长阶段中有用的人。@林彦俊的公益心得，我们一起聆听。#星光公益联盟#，助力公益，贡献力量！http://t.cn/E9IViDjCr：头条新闻
万德蝠,:热爱螺丝刀钳子锤子各种工具。每天用海盐水的喷嘴、充电器的插头等等模拟修车，有时还要戴上墨镜，说是在电焊时需要保护眼睛。一边维修还一边要我“讲讲哪坏了”，以画外音增强沉浸式体验。前几天投其所好给买了一套《聪明的小海狸》和几辆可拆装的工程车。希望你从小立大志，以后成为八级钳工。
黑龙江发布,:#早安黑龙江#进入三月，回暖成为大势所趋，尤其是在“惊蛰”（3月5日）节气后，城市当中像哈尔滨，6日最高气温将回升到4度，8日回升到5度。天气咋暖还寒，冻人不冻水，感冒的可能性还是比较大。目前还是防控疫情的关键时期，提醒大家一定要及时增减衣服，尽量减少外出，做好感冒和呼吸道疾病的预防。全省天气预报：4日白天到夜间：牡丹江、鸡西西部大雪转阵雪，哈尔滨、佳木斯西部、七台河、鸡西东部阵雪转多云，其它地区多云转晴。5日白天到夜间：牡丹江、鸡西多云转晴，其它地区晴有时多云。
磊磊只爱宁,:#刘宇宁代言露华浓#|#刘宇宁黑夜一束光MV#|#摩登兄弟[超话]#摩登兄弟✨mdxd✨刘宇宁✨lyn✨宁哥✨棚主✨对你的喜欢可不是突如其来，是蓄谋已久。和你说的早安，都带着我十二分的笑。与@REVLON露华浓一起做最真实的自己。成为自己最独特的光。相信自己。永远是最耀眼的那束光。http://t.cn/A679UDX2
LYN_小琳琳,:#刘宇宁代言露华浓#
夢想是成為出色的女性,:今天看小朴更新espoir拍攝花絮的影片，她自信的擺出各種姿勢和表情，真的好漂亮又好有女人味喔！小朴真的是各種意義上我很想成為的女性，一開始只是覺得小朴笑起來太好看然後個性跟自己有相似的地方，但在這幾年她真的成長了好多，快到我跟不上的地步。畢竟小朴一直都是努力讓自己變得更好的人啊。最近愛美很多，開始吃健康正確的食物，開始運動，也不太會找藉口吃零食了，可能是之前曖昧沒有結果吧，雖然男生也不是因為我的身材所以沒有走在一起，但感覺像他一樣會喜歡現在的我的人真的太少了，想讓自己變得更好，但又覺得這跟我一直秉持著變得更好不是為了誰的中心思想產生矛盾，就覺得那一段時間還是影響自己很深很深吧，幹（什麼結尾）。
龙墨每天都好困,这真的是我们语文老师口中那个娇艳欲滴总是病还柔弱的林黛玉吗？#醋坛子林怼怼#我和基友的日常的微博视频
甜糖软啵,:勺劳斯真的好会写啊蝴蝶成为我心中第一现实文
一分钟是五十九秒,忽视、欺骗、失职：浙江8人逃离意大利背后忽视、欺骗、失职：浙江8人逃离意大利背后
ARATAS,忽视、欺骗、失职：浙江8人逃离意大利背后忽视、欺骗、失职：浙江8人逃离意大利背后
Y维维维维维尼熊,:你想成为什么样的人，就一定要去努力。因为终有一天，你会发现，在这条路上，努力的你是多么的有魅力！#手机赚钱##打字赚钱#代你暴富哦的微博视频
加马猪颈肉,我老公和女兒都說我很美很美，我就覺得。。。。一般啦！蔡少芬的微博视频
仆巾,为什么必须坚持住，如果这场抵制不曾开始也就算了，一旦开始，又不了了之，偶像继续红火赚钱，甚至更上层楼，就代表：举报有用，毫无代价，还能让哥哥走花路，你们不堪一击。
今天也是快乐的小金鱼呀,我老公和女兒都說我很美很美，我就覺得。。。。一般啦！蔡少芬的微博视频
虚堂听松,发布了头条文章：《关于“桃花源”这个黑暗童话，魏晋坞堡做了最好的解答》关于“桃花源”这个黑暗童话，魏晋坞堡做了最好的解答
正直的哇哇喵,恭喜两位建筑师伊冯·法雷尔和谢莉·麦克纳马拉荣获2020普利兹克建筑奖中文全文请看世界建筑微信WA｜伊冯·法雷尔和谢莉·麦克纳马拉荣获2020年普利兹克建筑奖『YvonneFarrellandShelleyMcNamara|ThePritzkerArchitecturePrize』http://t.cn/A67pV2Kb
請一定多來信來電,我老公和女兒都說我很美很美，我就覺得。。。。一般啦！蔡少芬的微博视频
菌包子,2020.3.3这是记载历史的时刻!涉美CIA攻击组织（APT-C-39）对中国核心关键领域长达十一年的网络渗透攻击！这不仅是全球首度揭秘！更是全球首度实锤！铁证如上面前，试看美方如何作答！详情请戳原文~~披露美国中央情报局CIA组织对中国关键领域长达十一年的网络渗透攻击
Survivalcraft_,1974年的乐高说明书
树深时蹦蹦跳跳的鹿,:清醒是一时的，犯浑才是常态。许多东西经不起推敲，想多了就会毛骨悚然，曾经害怕的，想要避开的可能出现的未来，不是已经发生了就是在继续向我压来将来时变成了正在进行时。我正在成为我曾经厌恶的样子。我正在面对我曾经害怕发生的一切已经经历的，混混沌沌。即将面对的，模模糊糊。他们都说不要钻牛角尖，不要奢求想象。既然做不了，就闭上嘴巴，合上眼睛，捂住耳朵，放松肢体，让风指导你的方向，水会带你淌过这条鸿沟。
ha宇儿,:过去的就已经成为过去了
壁岩,:#一起守护老兵记忆#予人为乐，与己而乐。我在“老兵记忆采集计划”项目捐款成功！让我与@任豪POI官方应援组一道成为传递爱与快乐的使者。@关爱抗战老兵公益基金老兵记忆采集计划
一横一竖一竖一横一横,我老公和女兒都說我很美很美，我就覺得。。。。一般啦！蔡少芬的微博视频
