天厨星-林功宇,:《伊朗新增586例新冠肺炎确诊病例累计2922例》伊朗新增586例新冠肺炎确诊病例累计2922例http://t.cn/A67l8YH4
趣味囧事资讯,:【媒体：安倍9秒咳嗽3次引举国担忧，到底怎么回事？】日本新冠肺炎疫情今天（4日）迎来重要节点，截至当地时间18时，累计确诊病例破千，达到1010例。同时，日本首相安倍晋三的健康状况，也引发外界担忧昨日，安倍首相在参议院发言的视频引发热议，他在讲话时不停咳嗽，9秒内咳嗽了3次。http://t.cn/A67lamkE
宝坻发布,:【津云丨3月4日6时至18时天津无新增新冠肺炎确诊病例治愈出院4人】#宝坻播报#记者从市疾控中心获悉，3月4日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院4人。截至目前，本市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、普通型4例、治愈出院128例，死亡3例。疑似病例33例。累计排查密切接触者2363人，尚有273人正在接受医学观察。
华夏时报,:【#首尔拟吊销新天地教会法人执照#】截至当地时间4日16时，#韩国新冠肺炎确诊病例升至5621例#。在全部确诊感染者中，超半数感染者的流行病学调查都指向了大邱“新天地”教会所举行的宗教活动。韩国政府要求教会提供全部人员名单以进行排查时，“新天地”教会被指通过各种手段隐瞒真实情况。3日，首尔市政府表示，“新天地”教会相关做法有害公共利益，称将按照程序推进其法人执照的吊销工作。（央视新闻）
九江晨报,:【#日本乒乓球学校发生新冠肺炎集体感染#：5名确诊病例，另有28名亲密接触者
阳光传媒微博,:【德阳1名新冠肺炎患者治愈出院！累计治愈13人】3月4日18时50分，新冠肺炎确诊患者杨先生治愈出院。至此，我市已累计有13例确诊患者治愈出院。杨先生于2月7日被确诊为新冠肺炎患者，确诊后即转诊至定点医院接受隔离治疗。3月4日，专家团队讨论认为，杨先生符合国家卫健委新冠肺炎确诊病例出院标准。出院后，杨先生还将接受为期14天的集中隔离医学观察。
大庆油田,:【焦点关注
黑龙江网,:【黑龙江省疫情防控应急响应级别由一级调整为二级】根据黑龙江省疫情防控工作总体情况，经专家评估论证，3月4日上午召开的黑龙江省委常委会会议研究决定，将黑龙江省新冠肺炎疫情防控应急响应等级由重大突发公共卫生事件一级应急响应调整为二级应急响应。3月4日是黑龙江省启动突发公共卫生事件一级响应的第40天，疫情防控工作取得了阶段性成效，已经连续10天无新增确诊病例。全省现有确诊病例由480例下降为95例；接受医学观察人数由16224人下降为308人。佳木斯、伊春、大兴安岭三个市（地）现有病例清零，9个市连续14天以上没有新增确诊病例。按照国家分区分级疫情防控要求，截至目前，全省125个县（市、区）中，按风险等级划分，9个县（市、区）为中风险，其余116个县（市、区）均为低风险等级，全省已经没有高风险等级地区。截至3月2日，累计复工复产规模以上企业2404户，占规上企业总数的73.6%，没有发生疫情报告。
sherry曉蔓,:#Rain[超话]##RAIN-JIHOON[超话]#200304RainNews_Nownews_韓店家經營困難　Rain金泰希「租金減半」當暖房東南韓武漢肺炎疫情不斷，今（4日）確診病例已達5328例、32人死亡，疫情衝擊各行各業，韓流天王Rain跟老婆金泰希為了體恤房客將房租減半，減輕各商家的負擔。根據韓媒報導，Rain出租位於江南區清潭洞的房子，包含酒店、美容院等，但因為武漢肺炎疫情影響導致店家經營困難，Rain就參加「善良房東運動」，2日向房客表示減少50％租金。他太太金泰希也響應計畫，將江南區驛三洞的租金減半，夫妻倆一起減輕大家負擔。金泰希目前正趕拍電視劇《哈囉掰掰，我是鬼媽媽》，但該劇組日前傳出工作人員疑染武漢肺炎，大家立即停拍自主隔離，好在該人員檢測結果為陰性，劇組已恢復拍攝工作。
西安社区V,:#西安生活#【相约西安高新，欢迎回家～开始追梦的地方】一场罕见疫情，给了全国人民一个久违的寒假。如今“雨水”已去，“惊蛰”将至，西安连续12天无新增新冠肺炎疫情确诊病例”，而“高新区规模以上工业企业复工率100％”，新一年的耕耘如火如荼，举目四望，春日里的景象尽收眼底，西安高新区也定将夺取疫情防控和实现经济社会发展目标双胜利！#联防联控高新在行动##西安vlog#http://t.cn/A67NGFWL
西南科技大学理学院团委组织部_,:#疫情速递#湖北省人民政府副省长杨云彦表示，疫情情况出现5个积极变化。第一，我省发热病人人数持续下降；第二，疑似病例和新增病例明显减少，特别是武汉市新增确诊病例已经降到200人以内，今天114人，暴发流行的势头得到初步遏制；第三，累计密切隔离人数持续上升，说明我们的防控力度在持续加大；第四，出院病人持续增加，重症和危重症病例、病亡人数持续下降，说明救治效果稳步提升，呈现向好的局面；第五，支援力量正在聚集，医疗救治能力还在稳步增强。@西南科技大学物理1902团支部@西南科大理学院新闻中心@西南科大共青团@成都共青团@西南科技大学理学院办公室@西南科技大学经管团委组织部_@西南科技大学校团委办公室@共青团中央@四川共青团@西南科技大学校团委组织部_
胜利小歌,:【#波兰出现首例新冠肺炎确诊病例#】当地时间3月4日早上，波兰卫生部长乌卡什·舒莫夫斯基召开新闻发布会，宣布波兰本土确诊首例新冠肺炎感染病例。该患者自称是一名医生，近期从德国返回波兰，目前正在接受治疗，据称其身体状况尚好。卫生部长表示，所有与该患者有密切接触的人都已隔离，呼吁民众不要恐慌。（总台记者徐明）
城市调查局,:【武汉一天新增确诊低于200例，为何核酸检测2万人？】3月3日，武汉市卫生健康委员会通报：3月2日0-24时，全市新增确诊病例111例，全市新增出院病例1846例，新增死亡病例24例，新增疑似病例62例。3月1日18时-3月2日18时，全市发热门诊接诊2213人次，较前日减少492人次，其中首诊1258人。3月2日当日，全市核酸检测21202人。进入三月，武汉连续2日新增确诊病例数低于200，但这两天平均核酸检测人数接近20000人。为何核酸检测人数和确诊人数有巨大差距？原来，核酸检测的多为密切接触者筛查和住院患者复查。3月1日，记者从武汉市新冠肺炎疫情防控指挥部疫情防控组了解到，3月1日全市有效核酸样本总数18127例，其中医院有效样本总数7251例，方舱医院有效样本总数1408例，隔离点有效样本总数9468例。近几日武汉市新增病例维持在三位数，医院和方舱医院的核酸检测用于确诊的不多，主要是用于患者复查。按照诊疗方案规定，出院患者必须经过2次连续核酸检测，结果均呈阴性才符合出院标准。3月1日，武汉市新增出院病例1958例。超过一半的核酸检测样本来源于隔离点的疑似患者和密切接触者。数据显示，截至3月1日，全市现有疑似病例340例，密切接触者中尚在接受医学观察的有32143人。对密切接触者“应检尽检”，有利于彻底切断传染源。http://t.cn/A67lU7aV（来源：长江日报、武汉市卫健委、湖北日报）
交广阿泰,:武汉各个区的数据终于来了！#武汉日记#【武汉各区累计确诊病例数公布】2020年3月3日0-24时，武汉市全市新增确诊病例114例，全市新增出院病例1859例，新增死亡病例31例，新增疑似病例43例。截至3月3日24时，全市累计报告确诊病例49540例。其中（大疫情网按行政区统计）：江岸区4347例、江汉区7333例、硚口区7271例、汉阳区3601例、武昌区8301例、青山区2980例、洪山区5090例、东西湖区2602例、蔡甸区1990例、江夏区1688例、黄陂区1780例、新洲区1023例、武汉开发区(汉南)1534例。累计治愈出院24890人，累计死亡2282人。全市现有确诊病例22368人（危重972人，重症4751人），现有疑似病例234例。3月2日18时至3月3日18时，全市发热门诊接诊1827人次，较上日减少386人次，其中首诊1050人。3月3日当日，全市核酸检测28637人。
西安航天基地,:【发布会快讯|注意！从境外疫情严重国家地区来我市人员，集中隔离14天！】今天下午，西安市新型冠状病毒感染的肺炎疫情联防联控工作第十九场新闻发布会召开，持续向社会各界通报我市联防联控工作开展情况。我市确诊病例已连续13天0增长，说明经过前一阶段共同努力，当前疫情防控形势积极向好态势正在拓展。随着国内外疫情防控形势的变化，境外一些国家地区疫情形势不容乐观，目前从境外来我市人员日益增多，外防输入的压力增大，对于从境外疫情严重国家地区来我市人员，我们采取集中隔离医学观察14天的办法，同时，严格实施分区分级、差异化精准防控措施，压实属地管理责任，确保工作不放松，疫情不反弹，打赢疫情防控阻击战。
厦门网,:#全民携手抗疫情#【欧洲新冠肺炎病例数继续上升乌克兰首现确诊病例】3日，欧洲多国新冠肺炎病例数继续呈上升趋势。乌克兰报告首例确诊病例，西班牙首次确认新冠肺炎死亡病例，意大利累计确诊病例超过2500例。此外，德国、英国、法国、荷兰、比利时、丹麦等国病例数继续增长。（新华网）http://t.cn/A67lznOh
海外新冠疫情,:#全球疫情#德国累计确诊240例新冠病毒肺炎感染病例。其中，萨尔州和梅克伦堡-前波美拉尼亚州首次出现了新冠病毒肺炎感染者。德国全境仅剩萨克森-安哈尔特州未出现确诊病例。意大利的疫情让欧洲沦陷了，就这样，意大利还宣称意大利疫情并不严重，鼓励大家去意大利旅游，为了经济，脸都不要了。。。
三亚日报,:#防控疫情三亚在行动##三亚头条新闻#【又有1例新冠肺炎患者出院，在三亚接受治疗病例仅剩2例】3月4日下午，南部战区海军第二医院有1例新冠肺炎确诊病例患者经过综合诊治，符合国家卫生健康委新冠肺炎确诊病例解除隔离和出院标准，于当天出院。至此，南部战区海军第二医院收治的确诊病例已清零。今天出院的这例确诊病例为湖北籍，属三亚确诊病例，于2月4日前往南部战区海军第二医院治疗。截至3月4日，三亚共收治新冠肺炎确诊病例75例，其中三亚确诊病例54例，其他市县确诊病例21例。截至今天16:00，共治愈出院72例（其中三亚52例，其他市县20例），死亡1例。目前，还在接受治疗的三亚确诊病例1例，其他市县确诊病例1例。（三亚传媒融媒体记者卢智子）
咱们微博吧,:【广州一#女子潜入医院盗走新冠肺炎患者手机#
活力玉泉,:【最新消息！呼市第5例新冠肺炎确诊患者今日出院】经自治区和呼和浩特市两级新冠肺炎诊治专家组会诊，呼和浩特市第5例新冠肺炎确诊患者于2020年3月4日出院。2020年2月2日该患者就诊于呼和浩特市蒙医中医医院，当日核酸检测采样，2020年2月3日咽拭子核酸检测阳性，并经专家组确诊为新冠肺炎确诊病例。入住内蒙古自治区第四医院。通过专家组和医务人员的积极救治，患者临床症状好转，连续3次新型冠状病毒核酸检测阴性。经自治区和呼和浩特市专家组两级会诊，确认达到出院标准。于2020年3月4日出院，继续留院隔离医学观察14日。转自：内蒙古自治区卫生健康委员会
天眼新闻,:【#日本乒乓球学校发生新冠肺炎集体感染#：5名确诊病例，另有28名亲密接触者
泉州晚报社,:【最新！泉州又有2例患者治愈出院】今天，泉州再增2例新冠肺炎治愈出院患者，截止目前，泉州已治愈出院新型冠状病毒肺炎患者43人。上述2名患者分别于2月3日、6日被确认为新型冠状病毒感染的肺炎确诊病例，集中收治于泉州市定点医院。在省、市医疗救治专家组的指导下，泉州市定点医院医疗团队中西结合、积极救治、精心护理，上述2例患者病情有效改善，经省级专家组会诊，符合国家卫生健康委新型冠状病毒感染的肺炎确诊病例解除隔离和出院标准，今日治愈出院。http://t.cn/A67lzfDP
文明长沙,:【凌晨三点“提灯人”】#雷锋的样子#2020年2月3日凌晨三点，长沙市望城区金山桥街道社区卫生服务中心院长黄世峰带领单位消毒人员对确诊病例所在小区公共场所进行紧急消毒。冷雨夜里，厚重的防护装备从头武装到脚，15公斤重的消毒液喷雾装置，90分钟的全面消毒让人累到虚脱，穿着防护服的白衣战士们，不放过一个死角，用忠诚和汗水，守护着这个漫长的夜晚。社工锋范·黄世峰的话：爬，爬不动也要坚持！难，再难也要解决问题！http://t.cn/A67WDSiz
拂晓报社,:【安徽8个市新冠肺炎住院患者“清零”】3月3日0-24时，安徽省报告无新冠肺炎新增确诊病例，无新增疑似病例，新增治愈出院病例24例，累计治愈出院病例941例，3月4日预计治愈出院15例，在院患者将减少到28例，治愈率达96.6%，一线医护人员院内零感染。继铜陵、六安之后，阜阳、蚌埠、安庆、滁州、宿州、黄山等6市新冠肺炎住院患者今日同时“清零”，全省半数的市实现“清零”目标。http://t.cn/A67WHQqK
青岛爆料,:【世卫组织：过去24小时境外新增新冠确诊病例是中国的15倍】据日本共同社报道，世界卫生组织(WHO)总干事谭德塞3日表示，全世界共有9.983万名新型冠状病毒感染者。在过去24小时内的新增确诊病例中，中国约有120人，而世界各地共计约为1800人，约为中国的15倍，除中国以外，世界各地感染者增加的趋势显著。《今日日本》报道称，疫情在世界的迅速蔓延与中国的乐观形势形成了鲜明对比。在中国，数千名康复病人正在回家的路上，新感染病例的数量已经降至数周以来的最低水平。#最新疫情地图##新冠肺炎##关注新型肺炎#http://t.cn/RDUBkfz
人民网北京频道,:【《北京市新型冠状病毒肺炎病例临床路径》（第一版）发布】今天下午，北京市新型冠状病毒肺炎疫情防控工作新闻发布会召开。记者获悉，为做好新冠肺炎疑似病例和确诊病例救治工作，进一步提高治愈率、降低病亡率，北京医学会、北京医师协会联合北京市新冠肺炎医疗救治市级专家组，依据国家卫生健康委发布的《新型冠状病毒肺炎诊疗方案》（试行第六版），参考各地救治经验和专家意见，按照临床路径管理的有关要求，结合北京实际，对新冠肺炎病例入院流程、重要医嘱和诊疗、护理等临床工作进行标准化梳理，制定了《北京市新型冠状病毒肺炎病例临床路径》（第一版）。详细：http://t.cn/A67W3zoP
911苏州新闻广播,:#关注新冠肺炎#【#31省区市新增确诊病例119例##湖北以外新增4例#】#湖北除武汉外新增1例#3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
每日经济新闻,:#英国首相称一直坚持握手#【英国首相：我到访医院时和每个人都握了手他们可能是患者】当地时间3月3日，英国首相鲍里斯·约翰逊召开了新闻发布会，宣布英国政府应对新冠病毒的“行动计划”。发布会上，英国首相鲍里斯·约翰逊称自己一直坚持握手，前几天去了收治新型肺炎患者的医院和每个人都握了手。截至目前，英国新冠肺炎确诊病例激增至51例。（@环视频）http://t.cn/A67W9bts
二三里资讯,:德惠发布关于进一步加强境外人员入境管控的公告3月3日，德惠市卫生健康局发布《关于进一步加强境外人员入境管控的公告》，按照长春市疫情防控工作领导小组要求，进一步加大对境外来（返）德人员管控力度，现公告如下：一、从境外返回人员，要提前自行或通过家人向所在属地政府、接到办事处报告返回路径。二、从3月3日起，返回的境外人员，一律实行集中隔离观察。三、确诊病例、疑似病例、确诊病例和疑似病例的密切接触者、发热人员一律不得进入北京。(二三里编辑豆豆)
火速头条,:#火速头条##众志成城战疫情#【阿姨出院前#手机里记满医护姓名#这样就不会忘记他们】近日，湖北一位阿姨在从武汉市第一人民医院出院的前一晚，拉住正在交接班的江苏支援湖北医护人员，她掏出自己的手机后，医护人员们看到了暖心的一幕，原来，阿姨手机里存了许多江苏医护人员的姓名，还记录了一件件医护人员帮助她的小事。#中国境外确诊病例超过1万##张文宏预测新冠病毒最终发展#http://t.cn/A67WjVpS
象山发布,:【浙江青田新增7例境外输入性新冠肺炎确诊病例】据新华社杭州3月3日电浙江省最新通报显示，3月2日0-24时，浙江省新增境外（意大利）输入性确诊病例7例，均为丽水市青田县报告的意大利输入病例。自3月1日浙江出现首例境外输入性病例，浙江已累计出现8例输入性病例。　　新增7例病例与浙江3月1日首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。　　浙江青田是华侨之乡，目前约有33万华侨，其中在意大利的约10万人。随着新冠肺炎疫情在国外蔓延，近期回国华侨增多。http://t.cn/A67Wjtta
山西省生态环境厅,:【2020年3月4日山西省新型冠状病毒肺炎疫情情况】2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。（来源：山西省卫健委）
桂林反邪,:【#东京奥运圣火采集仪式如期举行#：考虑疫情风险，只保留必要参与人员
香港中通社,:【武漢封城日記系列——第十四集留漢外國人】近日，有武漢網友以拍Vlog短片的形式，記錄了武漢封城後的市民生活。以下為該網友發布在微博上的視頻和相關文字。武漢封城日記系列將在本平台持續更新，此為第十四集。微博@蜘蛛猴面包：這一集我把視角放在那些還留在武漢的外國人身上，在疫情爆發以後，國外媒體充斥各種不真實或誇張的報道，讓外國人覺得武漢陷入混亂無序，成為恐慌之地，於是各國大使館紛紛撤離本國公民，也有一部分外國人選擇留在武漢，我去聽聽他們怎麽看待這起事件，是如何度過這段時期。來源:微博@蜘蛛猴面包#新型冠狀病毒##钟南山称疫情拐点还要几天##新冠肺炎传播途径包括气溶胶传播##一确诊病例20多天体温无异常##最新疫情地图##武汉加油##封城日记##湖北以外新增确诊降至个位数##口罩##关注新冠肺炎##香港中通社##中通论坛##关注新冠肺炎##全球抗疫第一线##新冠肺炎#http://t.cn/A67WaoxE
央视网快看,:#众志成城战疫情#【欧足联：目前尚无欧洲杯改期计划】当地时间3号，欧足联主席塞弗林和欧足联秘书长西奥多里迪斯在荷兰阿姆斯特丹召开新闻发布会称，欧足联正密切关注新冠肺炎疫情，目前没有推迟或取消欧洲杯比赛的计划。#中国境外确诊病例超过1万##德国载有1200名乘客游轮检测结果出炉#http://t.cn/A67WaaPE
青岛西海岸新闻网,:#新型冠状病毒感染肺炎#【3月4日上午，青岛无新增新型确诊病例，现有确诊病例1例】截至3月4日12时，我市累计确诊60例新型冠状病毒肺炎病例(男性27人、女性33人)，其中治愈出院58例，死亡1例，现有确诊病例1例(重症)，在定点医院接受隔离治疗。累计已排除疑似病例304例，目前疑似病例为0。累计已解除医学观察719人，仍纳入医学观察的密切接触者3人，未发现异常。按病例确诊医院所在区市分布情况：市南区7例(已治愈出院6例，死亡1例)、市北区13例(已治愈出院12例)、李沧区6例(均已治愈出院)、崂山区4例(均已治愈出院)、城阳区2例(均已治愈出院)、黄岛区13例(均已治愈出院)、即墨区8例(均已治愈出院)、胶州市1例(已治愈出院)、平度市3例(均已治愈出院)、莱西市3例(均已治愈出院)。青岛市卫生健康委员会2020年3月4日
小保菌,:#中国境外确诊病例八成来自韩意伊#！#中国境外确诊病例超过1万#中国境外确诊病例超1.2万，八成来自韩国、意大利、伊朗。国内新增病例持续走低，而国外传播加剧。国内自疫情全面爆发到控制用了一个月，一声令下中国数亿人口全部居家自我隔离，而国外，学校停课、公司停工，所有人竟为了放假而聚众狂欢，致使疫情全面爆发。不由得为我们的国家感到自豪、骄傲。从这次疫情中也暴露出了一些问题。《华尔街日报》公开说中国是东亚病夫，至今仍未道歉。丹麦把我国国旗上的五角星全部用冠状病毒代替、印度禁止口罩和防护服的出售，停止向中国出口棉花...说明中国在世界的地位、话语权还有待提高。除此之外，我们也感受到了各国的温暖。蒙古国的30000只羊、日本第一时间送来了口罩...在这次疫情中，感受到了人情冷暖，也感受到我国的大国风范，在邻国遭受蝗灾的时候，中国第一时间送去鸭子，在疫情蔓延世界的时候，在国内供不应求的情况下，向外捐赠了口罩、防护服等稀有物资。希望中国更快迎来繁荣昌盛，以后谁再敢指着鼻子骂中国东亚病夫，都要掂量一下后果！
四川工会法律援助,:【从飞机到火箭！#大国重器的硬核复工#
山东发布,:#众志成城抗击疫情#【2020年3月4日0时至12时山东省新型冠状病毒肺炎疫情情况】2020年3月4日0-12时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例6例，危重症病例2例，死亡病例6例);新增治愈出院4例，累计治愈出院515例。截至目前，追踪到密切接触者16971人，尚有475人正在接受医学观察。http://t.cn/A67WfhIj
泰山晚报,:【4日0-12时，泰安无新增确诊病例】3月4日0-12时，泰安市新增新型冠状病毒肺炎确诊病例0例，疑似病例0例。截至3月4日12时，泰安市累计新型冠状病毒肺炎确诊病例35例，其中泰山区25例（泰山区上报，2例居住地为岱岳区，1例居住地为新泰市，6例居住地为泰安高新区，2例居住地为徂汶景区），岱岳区1例，新泰市4例，肥城市2例，宁阳县1例，东平县2例。排除疑似病例17例，其中泰山区9例（泰山区上报，3例居住地为岱岳区，2例居住地为泰安高新区），岱岳区1例，新泰市4例，肥城市1例，宁阳县1例，东平县1例。治愈出院33例，死亡病例2例。目前，已追踪到密切接触者915人，累计解除医学观察754，正在接受医学观察161人。其他密切接触者正在排查。注:1.根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；2.为便于开展工作，对上报地与居住地不一致的进行标注。
黄石广播电视台,:【早封闭，严管控！武汉涌现一批无疫情小区】目前，新冠肺炎疫情防控进入“低位运行期”。在中央指导组的推动下，武汉市积极发动群众参与无疫情小区创建，推动社区封控措施严格落实，让社区成为打赢武汉保卫战的一线堡垒。3月3日，湖北日报全媒记者走访了武汉市多个无疫情小区，这些小区自1月23日全市防控措施升级以来就没有确诊病例，也无疑似病例。其背后，离不开社区、村委会、红色物业公司早封闭、严管控、抓落实等有效措施。本报今日推出一组相关报道，敬请关注。东西湖惠泽园：主动迅速封闭小区3月3日一早，东西湖区慈惠街惠泽园小区门岗外，慈惠红色物业公司的工作人员张璐正忙着接听业主打来的电话，整理业主们的采购需求。“有要买菜、买药的，还有买奶粉和尿不湿的……”张璐说，按照要求，每位居民的电话、楼栋、采购数量都要详细记录，“如果居民要买药，我们还会要求他们发来旧药盒的照片作为参考，避免买错。”中午12时采购清单确定后，下午物业公司就有专人负责集中采买，再逐一配送给业主。这样的“宅生活”，惠泽园小区居民们已过了近40天。据介绍，该小区自1月24日就实施了全封闭管理，外来人员、车辆一律不得入内，小区居民无必要不出门，外出参与防疫工作的还必须出具单位证明。这一措施，比全市普遍早了近20天。慈惠红色物业公司党委书记张德明介绍，1月23日武汉封闭交通后，他们就研判形势，“慈惠街位于武汉市郊，离疫情中心区较远，已经感染的可能性小，关键是要守住大门。”于是，公司马上对惠泽园小区实施封闭管理，物业工作人员也开始劝阻居民，不得在小区内聚集和走动，最大限度避免人员交叉感染。小区封闭后，22人组成的保洁消毒队迅速成立，开始对小区大厅、电梯、走道、车棚、地下室、垃圾堆放点进行每天3次无死角消毒，每天消杀面积1.2万平方米。此外，还在电梯、单元楼门口、每位居民的家门口张贴温馨提示，确保居民零接触出行。要求150名党员干部职工必须做好防护，每天戴口罩、穿防护服、勤洗手、勤消毒、勤量体温。张德明说：“确保了自身安全，才能保障业主安全。”针对封闭管理后业主生活物资需求，红色物业公司通过开设便民服务点、组织菜农鱼贩直购、引导居民线上团购等方式，满足业主居家生活所需。截至目前，惠泽园小区450户居民中，无一起确诊病例，无一起疑似病例。江夏老土地局宿舍：三招下好一盘棋“你好，我们是社区的志愿者，请开门量一下体温。”3月3日上午9点，江夏区纸坊街复江道社区老土地局宿舍小区疫情防控小组组长胡昌炎，开始逐栋逐户上门测量体温并登记。胡昌炎是江夏区自然资源和规划局下沉党员，每天上午9点到下午4点，是他和同事们的排查时间。老土地局宿舍小区是典型老旧小区，硬件条件差、无物业管理、流动人口多。作为小区“新管家”，胡昌炎和小组成员“一查”“二控”“三扶”，下好老旧小区防疫防控“一盘棋”，巩固小区无确诊、无疑似防控成果。摸清居民信息“一本账”。“一共83户，实际入住49户，实住人数146人。”工作组成员陈志上报登记数据。为摸清数据，工作组挨家挨户上门巡查登记，对于不在家的住户，及时向熟人打听和电话询问，了解去向。对需要外出工作的居民建立台账，制作通行人员清单，核查通行证、测量体温后才放行，其他人员一律不准出入小区。开启防疫消杀“双保险”。老旧小区没有电梯，每天爬楼梯，成为工作组的“必修课”。小区共有四栋楼，每栋七层，每天上门两趟下来，最少要爬56层楼。小区没有物业保洁人员，工作组成员张凤君和刘玉祥主动承担打扫社区、清洁消毒和垃圾清运工作。每天两次，对小区公共场所和楼道进行清扫消毒。确保居民生活“零负担”。小区住户多数是退休老人，子女不在身边。工作组制定“楼长制”，开展“生活帮”服务。小组4人每人负责一栋楼。“很多老人不会用手机下单。”胡昌炎说，“楼长”把个人电话留给他们，爹爹婆婆通过电话“点单”，“楼长”接单后采购并送货上门，买菜买药。目前，老土地局宿舍小区一直保持“双零”。蔡甸螺丝岗村：笨办法守出“零感染”“没啥高招，就是严防死守。”3月3日，蔡甸区奓山街螺丝岗村党支部书记戴黎光说，全村467户1565人，截至目前无一人感染或疑似。他说，村干部和志愿者决心继续扎实做好防控，争取拿到20万元奖励。此前，蔡甸区出台相关措施，对疫情“双无”社区、村奖励20万元。“我们的办法比较笨，按上级要求办，每一项都落实到位。”戴黎光说，刚开始，挨家挨户排查，做到人数清、底数明；严格执行封闭管理，全村卡口做到24小时值守，禁止进出。实时监测居民体温，通过上门测量、电话询问、微信上报等方式做到每天双统计，组织人员上门教村民注册健康码；加强宣传和防护，将口罩、测温计、84消毒液、酒精等物资，第一时间发放到村民手中，公共区域每日两次消毒，宣传车巡回宣传，各小组组长签订责任状。人不进出，生活物资要畅通。以村为单位联系电商平台采购物资，定点多家药店为村民提供药品，联系爱心大米和平价蔬菜，所有物品到村后，村里组织志愿者统一分拣，通过无接触快递投放点或上门送等方式配送。“特殊需求、特殊保障”，给困难学生送手机解决上课问题，为贫困户、困难家庭提供必要的生活物资保障。青山新家园：凡事快一步3月3日，青山区钢花村街117社区新家园小区3个出入口均已封闭。东边的小门，门口坐着两位登记人员，只在配送物资时临时登记开门。下午2点30分，117社区工作人员陈盈盈和两名志愿者到小区帮31户居民配送肉，给11户高龄老人和空巢老人送爱心菜，忙完已是5点30分。117社区党委书记毛汉珍告诉记者，这个小区有139户、400余人，目前是零感染。1月24日晚，社区开始上门给每家每户门上贴上一封信，宣讲新冠肺炎防护措施，并写明管理方案。随后，社区将信中内容录音，在东门口用扩音器循环播放，25日开始打电话进行整体情况排查。摸排发现，小区至封闭前无一发热人员。“凡事快人一步、严格按要求执行，是小区保持零感染最主要的因素。”毛汉珍说，1月27日就开始封闭管理，仅留东边小门进出，车辆一律不准通行，起初门口多达5人值守，24小时轮班。1月28日，毛汉珍主导小区开始3天派一人出门购物，控制人员出行。接着，毛汉珍迅速协调来耳温枪、消杀桶，开始全员量体温，小区每日两次消杀。过了几天，小区完全封闭，要求不得出门购物。先由居民魏伟帮助代购，后通过社区多方协调，一位蔬菜经销商每天打包部分蔬菜到小区内部售卖，有需求的居民叫号下楼购买。志愿者和网格员以及下沉干部帮助购买药物等个性化生活用品。陈盈盈说，由于前期基础打得比较好，居民主动遵守各项规定，还能相互监督，小区至今零感染。（湖北日报）
国师撩股票,:【#中国境外确诊超1.2万例#！#中国境外确诊病例八成来自韩意伊#】目前，新冠肺炎疫情仍在多国持续蔓延。中国境外新增新冠肺炎患者80%来自于韩国、伊朗和意大利三个国家，三个国家累计确诊病例已过万。安道尔、约旦、拉脱维亚等国出现首例新冠肺炎病例。#直击抗击新型冠状病毒肺炎疫情#（央视）
