永州同城,:#永州身边事#【大爱
杭州网,:#全球抗疫第一线#【世卫组织：#中国境外#新冠肺炎疫情#状况不容乐观！】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外#新冠肺炎疫情#状况不容乐观。截至欧洲中部时间2日10时（北京时间17时），中国境外共64个国家确诊新冠肺炎8774例，死亡共计128例。与前一日报告相比，中国境外新增新冠肺炎1598例。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。（央视）【#沙特确诊首例新冠肺炎#】当地时间2日晚，沙特卫生部发布公告，确诊一例新冠肺炎病例，患者已被医学隔离。公告显示，该患者从伊朗途经巴林返回沙特，在返回入境后被发现相关症状，随后检验结果显示其感染新型冠状病毒，该病例也是沙特境内首例确诊病例。（央视）【#意大利累计确诊超2000例#】当地时间3月2日18时，意大利民防部门负责人安杰洛·博雷利在例行疫情通报中表示，意大利共累计确诊2036例新型冠状病毒感染肺炎病例。其中，现存病例1835例，累计死亡病例52例，累计治愈149例。（央视）【#美国累计确诊100例新冠肺炎#】美国《纽约时报》援引美国卫生部门官员表态称，截至当地时间2日晚，美国境内新冠病毒感染病例数已达100例，其中包括6例死亡病例（全部发生在美国西北部华盛顿州）。另据卫生部门对感染病例基因分析显示，新冠病毒在华盛顿州宣布发现首例感染病例前至少6周，就已在当地社区传播。（央视）【#韩国新增477例新冠肺炎#累计确诊4812例新冠肺炎】据韩国卫生部门消息，截至当地时间3日0时，韩国再次确诊新增477例新型冠状病毒感染病例，感染者总数升至4812人，死亡29人。2日当天总共报新增600人确诊感染。另据今天，韩国国防部通报：截至当天上午，韩国军队内部累计确诊感染病例已增至31例。新增确诊患者2例来自大邱，1例为庆尚北道港口城市浦项的海军陆战队军官。目前，韩国已有约7410名现役军人在各自基地隔离，其中约860人属确诊患者的密切接触者，或表现出相关病症。（央视）【#日本累计确诊980例新冠肺炎#】截至当地时间3日上午10点半，日本共确诊980例新冠肺炎，其中包括在日本国内的感染者和中国游客等260人，“钻石公主”号邮轮的乘客和乘务人员706人，及乘坐日本政府包机回到日本国内的14人。其中在日本本土感染新冠肺炎死亡的有6人，在“钻石公主”号上感染死亡的6人，死亡人数共计12人。（央视）【欧洲地区累计报告新冠状病毒感染病例2750例】截至巴黎时间3月2日20时，欧洲地区累计报告新冠状病毒感染病例2750例，相比3月2日8时增加534例，其中意大利增加342例，法国增加61例，拉脱维亚、葡萄牙首现确诊病例。（欧洲时报）
日本流行全方位,:日本神户市和大分县各确认首例新型冠状病毒感染者。大分県内大分市30多岁女性饮食服务业工作。2月22日工作最后一天，23日开车去了运动俱乐部，当天发烧38.7。之后持续发烧，去了两家医院检查，3月3日PCR检查确定陽性。
Vista看天下,:【女子带娃乘电梯未戴口罩，新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
双流网,:【合肥一企业出现无症状感染者：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。来源：http://t.cn/A67XeCIl
武汉生态环境,:#万众一心抗击新冠肺炎#【疫情之下，2020东京奥运会何去何从？】距离2020年东京奥运会只剩下145天，疫情是否会影响本届赛事的正常举办牵动着不少奥运迷的心。截至3月1日10点，日本新型冠状病毒的感染者已经增加到947名，列世界第四。近日，国际奥委会委员、原国际奥委会副主席迪克·庞德表示，如果新冠肺炎疫情在5月下旬没有得到控制，那么2020年东京奥运会如期举办将“太危险”，或将被取消。但这番言论似乎并未动摇日本政府想要办好本届赛事的决心。2月17日，2020年东京奥运会和残奥会组委会发布了本届奥运会的主题口号“UnitedbyEmotion”，官方解释为“（东京奥运会的）感动让我们融为一体”。2月27日，东京奥组委会首席执行官武藤敏郎表示，将考虑缩小火炬传递规模，但火炬传递绝对不会取消。一系列举措无疑成为日本渴望如期举办奥运会的强烈信号。那么日本不遗余力地挽救本届奥运会的背后有哪些原因？为了办好奥运盛会，东京在可持续发展理念上出了哪些新点子？为什么东京奥运会难以延期举办？@中国环境新闻记者就相关问题请教了久居日本的业内专家。
南京军休讲师团,:文在寅：韩国全国进入同传染病的“战争”阶段，所有政府机构要启动24小时应急体制以共同应对新型冠状病毒疫情。据韩国卫生部门消息，截至当地时间3日0时，韩国再次确诊新增477例新型冠状病毒感染病例，感染者总数升至4812人，死亡29人。2日当天总共报新增600人确诊感染。
重庆巴南法院,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】#韩国新冠肺炎定点医院16名护士辞职#韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。但相关人士指出，从视频中很难看出牧师有无咳嗽，被感染女子并不知道该牧师的身份。#韩国女子坐电梯1分钟就被感染#http://t.cn/A67S2Yh3
孙紫云康宁,【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
山东体育频道,:【#C罗与新冠肺炎患者间接接触#：合练队友曾与感染者密切接触
西部决策,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。http://t.cn/A67KgPO8
郑州晚报,:【韩国女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3（北京头条@看看新闻KNEWS）
三峡都市报微博,:
沈阳市沈北新区法院,:【健康科普堂|孩子除了戴好口罩，还应做好这些防护】新型冠状病毒主要通过感染者咳嗽或打喷嚏时所产生的飞沫传播，以及通过"污染物"发生人际接触传播，比如接触到被病毒污染的物体表面。因此，除了让孩子学会正确配戴口罩以外，一定要教会孩子保持手卫生。洗手是预防传染病简便有效的措施之一。　　在以下情况下要让孩子勤洗手：　　◆手上有明显污迹时；　　◆吃饭前，包括吃零食前；　　◆上厕所后；　　◆玩耍后回到家；　　◆接触公共设施或物品后(如扶手、门柄、电梯按钮等)；　　◆戴口罩前及摘口罩后；　　◆接触过泪液、鼻涕、痰液和唾液后；　　◆咳嗽打喷嚏用手遮挡后；　　◆摸完动物后，包括家里的宠物；　　要用流动水和肥皂或洗手液规范洗手，每次不少于20秒。　　　此外家长还要做好以下防护：　　1.尽量减少孩子出门，尤其是公共场所和密闭的空间。如需要外出，要为孩子做好个人防护，尽量不乘坐公共交通工具，和其他人保持一定的距离，至少在一米以上。　　2.用餐时要注意，不跟孩子共用餐具；给孩子喂食，不要用嘴吹食物，也不要用嘴尝试食物，再喂给孩子，更不要用嘴咀嚼完食物再喂给孩子。　　3.孩子的物品，玩具和餐具要定期消毒。包括手机和钥匙。　　4.保障孩子的营养和睡眠，为孩子安排丰富有趣的家庭游戏和锻炼，提高儿童的身体抵抗力。　　5.家长要做到给家里定期通风，保持室内空气流动，一般每天要通风2-3次，每次通风15分钟以上，通风时要把孩子移出通风的房间，可以逐间房间进行通风。　　6.家长外出回来要把外面穿的衣服换掉，洗手后再抱孩子。和孩子玩耍和抱孩子之前一定要认真洗手保持手卫生。不要对着孩子打喷嚏、呼气。如果咳嗽和打喷嚏时，用纸巾或手臂捂住口鼻。勤洗手。　　7.家长要帮助孩子应对压力，倾听孩子的担忧并给他们更多的关注和爱。告诉孩子发生了什么，解释当前的情况，并用孩子可以理解的方式清楚地告诉他们，如何做可以降低被感染的风险。此外，还需要告诉他们有可能发生的情况。使儿童能够对未来有所预期，从而减轻心理压力。尽量让孩子与父母或家人在一起，避免孩子与监护人分开。　　（编辑：冯雪朱天乐，审核：徐江）来源：市卫生健康委员会
海淀区甘家口健康教育,:3.新型冠状病毒的传染源是什么？目前所知的传染源主要是新型冠状病毒感染的患者。无症状感染者也可能成为传染源。
搓搓泥,:到目前看，新型冠状病毒最有效的防治方法就是千年方“隔离”，感染者最有效的治疗方法就是中西医结合的支持疗法，这是目前关于冠状病毒最科学最严谨的论点，请那些权威的国际刊物给予发表，至少有效期半年，比哪些有效期只有一两天的院士论文要更具科学性逻辑性
新民周刊,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。http://t.cn/A67KgPO8
空港融媒,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIl
北美新浪,:#环球见闻##国外那些事儿#【埃塞俄比亚爆发神秘“X疾病”感染者口鼻流血高烧而死】当全球其他地方正努力抗击新型冠状病毒时，一种可怕的神秘疾病却在埃塞俄比亚和索马里爆发。据英国《每日邮报》3月1日报道，近期，在埃塞俄比亚和索马里一些村庄，一种神秘的疾病夺去了当地人的生命。由于病原体未知，这种疾病被世界卫生组织（WHO）称为“X疾病”。据报道，“X疾病”是一种“神秘而恐怖”的传染病，会导致严重的病毒性出血热疫情，被感染者出现眼睛、嘴巴和肛门流血，最后死亡。在东非，这种疾病被非正式地称为“眼睛出血热”，它的死亡率比鼠疫更高。自2014年以来，已有至少2000人死于这种神秘的“X疾病”。http://t.cn/A67KRyu0
汤抚临,:欧洲足坛那些事217C罗与新冠肺炎患者间接接触：合练队友曾与感染者密切接触
山东法制报,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
韶光,:#共同战疫#【防范新冠肺炎“无症状感染者”】#抗击新型肺炎我们在行动#这些无症状感染者，没有出现发热、咳嗽等临床症状，但经过呼吸道标本新型冠状病毒病原学检测却呈阳性，表明已感染新冠病毒。自己虽然不发病，却有可能在无意间传播病毒给其他人。#万众一心抗击疫情##战疫打卡行动#http://t.cn/z8AsCwXhttp://t.cn/A67oltjN
石头FM,:#突尼斯#据路透社3月2日消息，突尼斯卫生部门发布消息，突尼斯已经确认了第一例新型冠状病毒感染者。该国卫生部负责人Abdelatifel-Maki说，这位病例是突尼斯人。#新冠肺炎##新型冠状病毒##突尼斯疫情#
釜溪左岸,:日本厚生劳动省:8成新冠感染者未传染他人>>日本厚生劳动相加藤胜信3月1日召开记者会，表示8成新型冠状病毒感染者没有传染其他人。据悉这是日本政府的专家会议分析日本国内发生的病例后得出的结果。传染容易发生在空气不流通、人员密集、与不特定多数人接触的情况下，加藤要求避免前往这样的场所。http://t.cn/A67oW3Lb
二三里重庆,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
环球时报,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。http://t.cn/A67S2Yh3
日本国驻华大使馆,:新型冠状病毒疫情不仅对中国，也对包括日本在内的世界各地产生了影响。截至3月2日，日本国内感染者达到254名（除此之外，属国际船舶案例的钻石公主号的感染者有705名）。对日本而言，当下及今后一两周是防止感染迅速扩大的关键时期，基于这一认识，日本政府正全力制定对策。在2月25日召开的新型冠状病毒感染症对策本部上决定了“对策的基本方针”之后，为尽可能地减少大规模集体感染的风险，已接连发出希望中止或延期举办大型文体活动、全国学校临时停课等要求。安倍总理在2月29日的记者会上表示，将把确保国民的健康与安全放在首位，毫不犹豫地采取一切必要手段，同时希望能够得到全体国民的理解与配合，以在平息疫情的艰苦奋斗中赢取胜利。日本将继续与包括中国在内的国际社会密切合作，在日本政府、地方自治体、医疗相关人员、企业单位以及全体国民的共同努力下，为早日平息疫情而努力。另外，东京奥运会及残奥会将继续向着顺利召开的方向做万全准备，使其成为让选手以及观众感到既安全又安心的大会。
新闻后面有什么,:【基因测序表明病毒或已在美国传播6周，专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”（澎湃）
北海新闻网,:#北海分享#【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。@沸点国际http://t.cn/A67S1Z3h
福建日报,:【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。http://t.cn/A67o25ky
温州都市报,:【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】#周刊君与你共同战疫情#据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。（沸点国际）http://t.cn/A67S1Z3h
杭州网,:【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】#周刊君与你共同战疫情#据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。（沸点国际）http://t.cn/A67S1Z3h
沈阳大东公安,【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。但相关人士指出，从视频中很难看出牧师有无咳嗽，被感染女子并不知道该牧师的身份。#韩国女子坐电梯1分钟就被感染#@看看新闻KNEWShttp://t.cn/A67S2Yh3
德国印象t,:德国著名病毒学家ChristianDrosten相信，70％的德国人将被感染上#新型冠状病毒#！
播锐智,#科学抗击疫情#哥伦比亚大学梅尔曼公共卫生学院的科学家通过计算机模型发现，未确诊感染者（其中许多可能是没有严重症状的）是造成新冠病毒肺炎疫情在中国迅速蔓延的主要原因。同时研究还指出，中国政府的防控措施和民众的警觉降低了新冠病毒在中国的传播速度；在实施限制出行和控制措施后，病毒的传播速度下降。阅读全文请点击：http://t.cn/A67i2Xrb#抗击新型肺炎我们在行动#
中警安徽,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIl
丛洁文,:这是对新冠病毒传播途径的“简单粗暴”式解读。事实上通过食物感染新型冠状病毒的概率非常低。官方已确定新型冠状病毒的主要传播途径是飞沫传播和接触传播。食物经口进入人体确成为病毒的载体需要两个必要条件，即食物直接或间接被病毒感染者沾染且健康人直接食入带有活病毒的食物。只要严格按照外出戴口罩，回家勤洗手，食物煮熟吃，生熟食分开处理的要求，即便有果蔬肉蛋沾染病毒，也没有感染风险。http://t.cn/A67SkQyu
时代风向标栏目组,:#央视时代风向标栏目[超话]#【#C罗曾与确诊患者间接接触#：合练队友曾与感染者密切接触】据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和#C罗#有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。@沸点国际http://t.cn/A67S1Z3h
中国新闻周刊,:【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】#周刊君与你共同战疫情#据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。@沸点国际http://t.cn/A67S1Zughttp://t.cn/A67S1Z3h
大连晚报,:【#印尼首次出现确诊病例#2例确诊者曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。时差视频时差视频的微博视频
德国印象t,:德国著名病毒学家ChristianDrosten相信，70％的德国人将被感染上#新型冠状病毒#！
播锐智,#科学抗击疫情#哥伦比亚大学梅尔曼公共卫生学院的科学家通过计算机模型发现，未确诊感染者（其中许多可能是没有严重症状的）是造成新冠病毒肺炎疫情在中国迅速蔓延的主要原因。同时研究还指出，中国政府的防控措施和民众的警觉降低了新冠病毒在中国的传播速度；在实施限制出行和控制措施后，病毒的传播速度下降。阅读全文请点击：http://t.cn/A67i2Xrb#抗击新型肺炎我们在行动#
中警安徽,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIl
丛洁文,:这是对新冠病毒传播途径的“简单粗暴”式解读。事实上通过食物感染新型冠状病毒的概率非常低。官方已确定新型冠状病毒的主要传播途径是飞沫传播和接触传播。食物经口进入人体确成为病毒的载体需要两个必要条件，即食物直接或间接被病毒感染者沾染且健康人直接食入带有活病毒的食物。只要严格按照外出戴口罩，回家勤洗手，食物煮熟吃，生熟食分开处理的要求，即便有果蔬肉蛋沾染病毒，也没有感染风险。http://t.cn/A67SkQyu
时代风向标栏目组,:#央视时代风向标栏目[超话]#【#C罗曾与确诊患者间接接触#：合练队友曾与感染者密切接触】据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和#C罗#有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。@沸点国际http://t.cn/A67S1Z3h
中国新闻周刊,:【#C罗与确诊患者间接接触#：合练队友曾与感染者密切接触】#周刊君与你共同战疫情#据《太阳报》报道，意大利一支名为Pianese的丙级联赛球队有3名球员和1名俱乐部工作人员被检测出新型冠状病毒呈阳性，而尤文图斯U23队一周前刚跟这支球队踢过比赛。据称，一些参加了那场比赛的尤文U23球员，在上周和C罗有过一次合练。3月1日凌晨，尤文图斯官方宣布已经取消所有队员的训练计划，并安排U23全体隔离至3月8日。截止北京时间2日1时，#意大利累计确诊新冠肺炎1694例#，较前一天增加566例。累计34例死亡，83例治愈。@沸点国际http://t.cn/A67S1Zughttp://t.cn/A67S1Z3h
大连晚报,:【#印尼首次出现确诊病例#2例确诊者曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。时差视频时差视频的微博视频
邹平报道,:#滨州身边事#【3月2日起，邹平所有预防接种门诊分时段预约接种疫苗】为确保新冠肺炎疫情防控期间预防接种工作有序开展，根据邹平市卫生健康局《关于恢复预防接种门诊疫苗接种工作的通知》要求，全市所有预防接种门诊自2020年3月2日起，开展分时段预约接种服务。一、预约方式及次序接种门诊采用电话、短信、微信或手机APP等方式，预约受种对象，请各位家长耐心等待。为避免人员聚集，接种门诊会分时段预约接种人群，请各位家长及受种者严格按照预约时间前来接种。1、首先预约对接种及时性要求高的疫苗，如麻风疫苗、麻腮风疫苗、乙肝表面抗原阳性或不详母亲所生新生儿乙肝疫苗等，其次是2岁以内基础免疫未完成的疫苗。2、13价肺炎疫苗、五价口服轮状疫苗、HPV疫苗等受最大接种年/月龄限制的疫苗，如有接种需求，可主动联系辖区内预防接种门诊进行预约接种。3、外省和省内外市来邹人员预约时要主动告知接种门诊工作人员，实行单独预约接种。二、注意事项1、受种者或家人中有如下情形之一应暂缓预约接种：（1）感染新型冠状病毒；（2）近一个月内与新型冠状病毒感染者或疑似病例及其密切接触者有接触史；（3）近一个月内去过疫区；（4）受种者接触的家庭成员中，近14天内有发热症状。2、前往接种门诊前，监护人及儿童要自行测量体温，评估健康状况，若有发热等不适症状，应取消预约，暂不接种。3、进入接种门诊，一名儿童只允许一名监护人陪同，成人接种不允许陪同。4、受种者及监护人在接种期间应全程佩戴口罩，尽量减少与他人近距离接触，避免交叉感染。5、未与预防接种门诊预约成功的，不要自行前往接种。6、狂犬病暴露处置门诊和产科接种室正常开展接种。推迟接种疫苗不会影响最终的免疫效果，为了您和宝宝的健康，请积极配合！邹平市预防接种门诊一览表：
音画悠悠,:#埃塞俄比亚#【埃塞俄比亚东部遭遇神秘疾病，感染者双眼出血手掌发黄高烧不治】当世界上众多国家都与新型冠状病毒的无形攻势斗智斗勇时，一种可怕的“疾病X”却在埃塞俄比亚悄悄蔓延，几乎所有年龄段的人都被笼罩在它的神秘阴影之下，因为医院的治疗似乎无效。在埃塞俄比亚索马里地区，一名23岁的村民近日被发现感染了一种未知疾病，先是眼睛和手掌发黄，然后鼻子和嘴开始流血，身体肿胀，奄奄一息，最后这名感染者因高烧而死去。而他的许多邻居都出现了同样的症状，并且因此死亡。感染者只能在医院接受短暂的治疗，然后被宣告不治。“疾病X”这是世界卫生组织提出的一个概念，用来描述一种新的、有可能导致流行病的未知病原体。科学家们一直在寻找符合这个概念的疾病。因为与其他的出血热疾病有相类似的症状，这种可怕的疾病被非正式地称为“眼睛出血热”，它的死亡率比鼠疫还高，在过去几年里一直困扰着医学专业人士。2018年，南苏丹和乌干达就报告了数十位感染者的感染病例，至少4人死亡。现在，邻国埃塞俄比亚也不得不应对类似的可怕症状。目前，这种疾病正在埃塞俄比亚索马里地区一个天然气工程附近蔓延，一些当地人认为是工厂危险的化学废物污染了水源。当地居民兼著名活动家西博·图巴称，她的邻居坎巴罗·塔瓦尔是第一个死于这种怪病的当地居民，那是在2014年的时候，而居住在周围的当地人死亡症状普遍不同于以往其他的疾病。图巴两岁的外甥也在医院接受了多次输血后死亡，他也有黄色的眼睛和手掌，身体肿胀并且发烧。自2014年以来，至少有2000人死于这种神秘疾病。http://t.cn/A67SjWtV
新浪视频,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。但相关人士指出，从视频中很难看出牧师有无咳嗽，被感染女子并不知道该牧师的身份。#韩国疫情#http://t.cn/A67S2Yh3
封面新闻,:【与新冠肺炎患者共处1分钟#女子没戴口罩乘电梯被感染#】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。但相关人士指出，从视频中很难看出牧师有无咳嗽，被感染女子并不知道该牧师的身份。@看看新闻KNEWShttp://t.cn/A67S2Yh3
