闻且如是_,#HereatAWS#
微博兰州,:#疫情防控兰州在行动##兰州事记[超话]#【火线入党践初心彭艳萍：把家里备用防控物资送给最需要的人】防控疫情，城市社区是重中之重。群防群控、联防联控，一场对抗疫情的人民战争正在打响。而这战场在社区、在小区、在楼栋、在每一个居民身边……在疫情防控工作中，社区工作者们主动放弃休假，尽职尽责坚守在疫情防控的第一线，寒风中，守住每一个小区的出入口，积极行动，开展严格门禁、电询、测量体温、为居民购买生活用品等方式加强疫情防控，以实际行动诠释着基层工作者的初心和使命。彭艳萍，安宁堡街道西街社区团支部书记、低保专干。大年初二接到社区紧急通知后，她放弃休假，放弃了照顾生病的儿子，服从社区安排，主动请缨积极参加社区的疫情防控工作。由于疫情突然，物资紧缺，社区工作人员缺乏防护的口罩，彭艳萍了解到这一情况后主动将家中备用的N95口罩25个、一次性口罩20个、护目镜10副等防护物资拿到了社区，无私的提供给奋斗在一线的同事。“现在是特殊时期，防护物资紧张，许多人都在为保障居民群众生命健康安全辛苦的付出，我只能尽自己所能为大家做些小事。”彭艳萍说。小小的防护口罩不仅彰显着她的爱心，更是展现了众志成城全民携手共筑防控疫情坚实屏障的动人一幕。记者了解到，疫情防控期间，彭艳萍一直在安宁堡街道党员先锋岗西街社区登记劝返点为进入小区的居民测量体温、劝返聚集聊天人员、对进入小区的车辆、快递进行消毒，对辖区居住居民通过电话、入户排摸登记信息180余户，发放疫情《告知书》《致广大市民的一封信》《新型冠状病毒宣传手册》100余份，登记流动人口信息20余户。（来源：兰州新闻网）@甘肃发布@中国甘肃网@每日甘肃网@城关发布@七里河发布@西固发布@红古发布@榆中发布@兰州新区官方微博@博爱兰州@话兰州@尕兰州@IN兰州@时尚兰州@兰州美@兰州这点事@兰州同城@兰州人说兰州事@兰州官宣@行遍陇原@兰州内参@兰州全媒体@爱在母亲河畔@新浪甘肃
反响啊反响,:样板房/展厅｜木君设计：杭州-万科·郡西云台合院项目名称:杭州万科良渚郡西云台合院样板房项目地点:浙江杭州委托单位:杭州林庐房地产开发有限公司设计单位:木君建筑设计咨询（上海）有限公司主案设计:徐伩君、桥义（JustinBridgland）设计团队:常笛、阙加成、姚亚彬、李志恒软装设计:唐艳萍、曾玺锦项目面积:324㎡完工时间:2018年初摄影师:隋思聪、光影摄影
网信开封,:#开封战疫#【既要防控疫情又不忘关心困难群众北郊派出所疫情防控期间开展走访慰问辖区困难群众活动】“大姐，我是北郊派出所民警王建军，今天和咱社区工作人员一起来看您，家里有什么困难就告诉我们，我们一定想办法帮您解决。”2月17日，北郊派出所负责建丰新城小区的防疫党员先锋岗的民警王建军和永顺社区负责人一起来到建丰新城小区困难户邓某的家中进行慰问。疫情期间，北郊派出所在完成好疫情防控工作的同时，不忘关心辖区困难群众，近日，该所开展了走访慰问辖区困难群众活动，切实把“百万警进千万家”活动要求落到实处。在建丰新城小区开展防疫工作的过程中，王建军了解到小区居民邓某家庭生活十分困难，她和爱人都下岗没有固定收入，且家里还有一个正在上学的孩子。因为目前防控形势严峻，邓某和爱人也不能像平常一样外出打工，家里的生活状况更加困难。当得知这一情况后，王建军立即向所长石峰进行了汇报。石峰叮嘱王建军尽快去看望邓某一家人，如果有什么需要帮助的，尽最大能力施以援手。于是2月17日上午，王建军和永顺社区负责人陈艳萍一起来到邓某家楼下，给她送去了方便面、火腿肠和矿泉水等慰问品。王建军和陈艳萍鼓励邓某不要为目前的情况担忧，有困难尽管给派出所和社区提，公安机关和社区一定会全力帮助她一家人度过难关。窥一斑知全豹，从邓某的情况发现问题的北郊派出所领导班子立即要求全所社区民警开展在疫情防控情况下生活困难群众的排查工作，并要及时给予帮助，以帮助困难群众维持正常生活，共度时艰。（开报集团全媒体记者王淳）
武汉经济广播,:#疫情速递##武汉战役吹响集结号#非新冠患儿看病莫慌武汉儿童医院普诊重新开放为了更好服务患儿，武汉儿童医院普诊重新开放，接诊时间为8时至17时，接诊非新冠患儿。其他专科专家门诊开放时间待通知。武汉儿童医院是新型冠状病毒感染肺炎患儿定点救治医院。本月，8日起，该院各专家门诊及普诊全部停诊，发热门诊24小时接诊，非新冠患儿急症的，可到该院急诊就诊。为了更好服务患儿，即日起，该院香港路儿童门诊部开放普诊，接诊时间为8时至17时。血液肿瘤化疗门诊开放中，具体时间为：周一到周五、周日，早8点到15点，周六为早8点到12点。其他专科专家门诊开放时间待通知。该院门诊办公室主任花芸提醒家长，目前是抗疫的特殊时期，防范感染风险维护生命更重要。尽管开放了普诊，但仍不建议随意到医院来就诊。建议家长关注“武汉儿童医院武汉市妇幼保健院”微信公众号，找到线上问诊的版块咨询。医生认为确需到医院就诊、检查，再做好防护措施后前往医院。但值得重视的是，如遇发热、意外伤害及慢病急性发作，需马上就诊。该院急诊科主任蔡小芳介绍，目前，急诊每天接诊约60人次，主要是这些情形：孩子意外受伤需要缝合伤口；牵拉不当或脱衣服导致关节脱位；不慎误服大人药物或家里的消毒液；被花生瓜子等异物呛入气道的；癫痫发作或糖尿病控制不佳导致酮症酸中毒等慢性疾病急性发作。“有些意外是可以避免的，比如‘宅娃’在家磕碰、骨折伤，误服、坚果呛咳，家长一方面要加强看护，另一方面一定要对孩子做好安全教育，以免增加风险。“蔡小芳提醒，慢病患儿，一定要遵医嘱服药和检察，及时在线咨询医生。责编：刘艳萍融媒体记者：文秀通讯员：高琛琛编辑：周琛
小虞爱吃辣,:#即兴评述[超话]#【关于疫情】谁说春天来了那是日历撒的谎只要还有一座城冰封雪飘我们就不忍心立春——邓艳萍
广东省清远市人民医院,:【“疫”线故事】战疫“夫妻档”的“两个约定”——何国伟&范艳萍广东省清远市人民医院的微博视频
微善风发言人祝安顺,:【微善风“微助武汉运输直通车”第十三趟10吨品质蔬菜驰援武汉】今天(17日)下午，在常德市安乡县农业农村局支持下，由【安乡农仓】农产品协会会长；湖南鑫粮生态农业发展有限公司董事长兼湖南鑫粮兼安乡农仓运营商邵艳萍女士牵头，【安乡农仓】携手湘珊瑚果蔬联合社第四次联手驰援武汉2万斤蔬菜。品种包括红菜苔、上海青和冬瓜等。本车蔬菜由672医院、沿海城市连锁酒店(医务人员供餐点)、武汉市一中(少数民族滞留学生食堂)及武汉市1919酒店(隔离点病人和医护人员供餐点)等十家单位接收。县农业农村局、联合社组织了党员突击队、协会志愿者及附近帮忙村民上百人，共同开展“献劳力献爱心”活动。参与联合社本次捐赠6家成员单位是：范政海（上海清）安乡政海农产品种植合作社；李谷湘（冬瓜）安乡县西南州种植合作社；毛老师（菜苔）安乡县珊瑚农作物合作社；兰志勇，辣椒，安乡县绿兴丰农产品合作社；雷国龙，辣椒，安乡县龙新友种植合作社；安乡县忆帆家庭农场据悉，疫情以来，在邵会长倡导并带头下，湘珊瑚联合社共发动五次捐赠，四次通过微善风驰援武汉、鄂州、孝感等地，捐赠蔬菜9万斤。另，支援长沙环卫工人和武警战士，捐赠蔬菜2.5万斤。#微助武汉运输直通车#http://t.cn/R2WxR6B
易烊千玺要睡一辈子的女人,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
跳蛙女孩,:今天我妈妈盯着我的眼睛看了一会说惊喜惊讶的说，“呀！段艳萍你两个眼睛都是双眼皮了！”（我原来是一个双眼皮一个单眼皮）然后她又立马变脸说，“你是不是瞒着我割双眼皮了
巍山环保,【陆艳萍：“待到疫情结束，我再嫁给你”】“待到疫情结束，我再嫁给你。”2月14日晚上，身在巍山县人民医院隔离病区宿舍的90后护士陆艳萍与“老公”在微信上对话，话语中充满了温情与不舍。这一天，原本是她结婚的大好日子，如果没有突如其来的疫情，此刻，她已披上洁白的婚纱，接受亲友们的祝福，和心上人一起步入幸福的婚姻殿堂。陆艳萍是巍山县中医医院的一名合同制护士。2019年，她与男朋友相识、相知、相恋，双双坠入爱河。两人商议，找个特别的日子结婚，于是选定了“20200214”（2020年2月14日）这天。疫情发生后，陆艳萍作为一名医务人员，毅然选择了投身疫情防控一线，于是与男朋友商定推迟婚礼，并说服了双方父母。自从打响新冠肺炎阻击战后，陆艳萍一直坚守在工作岗位，2月8日，陆艳萍和护士长范丽明又主动请战支援县人民医院隔离病区工作。护士除了负责监测生命体征、记录病情变化、为患者提供热水饭菜等，还做好患者的心理疏导，安慰他们，鼓励他们。工作比较枯燥，每当下班空闲时，陆艳萍就会打开微信，她男朋友总是会鼓励她、安慰她，给她说有趣的人或事，哄她开心。2月14日晚上，知道陆艳萍不上夜班，希望能在原定结婚日陪着心上人，陆艳萍男朋友主动打来电话，让陆艳萍惊喜不已。由于现在陆艳萍身在抗疫最前线处于隔离状态，两人平时只能“线上”相处。两人在结束微信聊天后，“感谢他一直理解我、支持我、陪伴我，婚礼虽然延期，但爱不会延期，我会永远爱他……”陆艳萍说完后又去转身去为明天工作做准备去了。（通讯员饶国生文/图）
活力东坑,:#东坑新闻#根据安排，市直机关抗疫工作队东坑组第一批队员已完成支援周期任务，第二批32名队员从昨天开始接过“抗疫”接力棒，继续支援我镇各村、社区疫情防控工作。东坑镇领导王业宽、卢柏波、卢艳萍与市直机关抗疫工作队东坑组成员亲切座谈。随后，东坑镇召开市直机关抗疫工作队东坑组交接工作会，会议总结了第一批工作队工作情况，并对第二批工作队队员进行了培训。@中国文明网@文明东莞@东莞阳光网@东坑志愿者协会@东莞东坑共青团@东坑莞香花青少年服务中心@东莞市鹏星社工服务社
名城巍山,【陆艳萍：“待到疫情结束，我再嫁给你”】“待到疫情结束，我再嫁给你。”2月14日晚上，身在巍山县人民医院隔离病区宿舍的90后护士陆艳萍与“老公”在微信上对话，话语中充满了温情与不舍。这一天，原本是她结婚的大好日子，如果没有突如其来的疫情，此刻，她已披上洁白的婚纱，接受亲友们的祝福，和心上人一起步入幸福的婚姻殿堂。陆艳萍是巍山县中医医院的一名合同制护士。2019年，她与男朋友相识、相知、相恋，双双坠入爱河。两人商议，找个特别的日子结婚，于是选定了“20200214”（2020年2月14日）这天。疫情发生后，陆艳萍作为一名医务人员，毅然选择了投身疫情防控一线，于是与男朋友商定推迟婚礼，并说服了双方父母。自从打响新冠肺炎阻击战后，陆艳萍一直坚守在工作岗位，2月8日，陆艳萍和护士长范丽明又主动请战支援县人民医院隔离病区工作。护士除了负责监测生命体征、记录病情变化、为患者提供热水饭菜等，还做好患者的心理疏导，安慰他们，鼓励他们。工作比较枯燥，每当下班空闲时，陆艳萍就会打开微信，她男朋友总是会鼓励她、安慰她，给她说有趣的人或事，哄她开心。2月14日晚上，知道陆艳萍不上夜班，希望能在原定结婚日陪着心上人，陆艳萍男朋友主动打来电话，让陆艳萍惊喜不已。由于现在陆艳萍身在抗疫最前线处于隔离状态，两人平时只能“线上”相处。两人在结束微信聊天后，“感谢他一直理解我、支持我、陪伴我，婚礼虽然延期，但爱不会延期，我会永远爱他……”陆艳萍说完后又去转身去为明天工作做准备去了。（通讯员饶国生文/图）
羡羡去哪了_,:谁说春天来了/那是日历撒的谎/只要还有一座城冰封雪飘/我们就不忍心立春文:邓艳萍图:Cr:深陷月亮
燕子39015,:《宝宝的压岁钱都存起来了？别错过这个财商启蒙的机会哦》罗艳萍-新浪爱问医生宝宝的压岁钱都存起来了？别错过这个财商启蒙的机会哦
燕子39015,:《帮宝宝做好疫情防护，这10件事情都不敢马虎，家长快看》罗艳萍-新浪爱问医生帮宝宝做好疫情防护，这10件事情都不敢马虎，家长快看
广州荔湾发布,:#荔湾播报#【最全！
等待放空的飞鸟,#靳东[超话]#x#袁泉[超话]#我终于搞出了台词向的剧情拉郎虽然太久不剪长剧情根本推不动了发愁走过路过看一眼漂亮燕萍吧太好看了[三三蹦跳]海报：@暖水枣bgm：风の住む街b站👉http://t.cn/A6hJwVcQ苏苏苏苏苏陌的微博视频
陈清贫,:快讯！大型文学月刊、《华文月刊》杂志2019年第12期定稿，我是这本杂志的副主编。继8期、9期、10期、11期刊发陈清贫写作培训网校的多篇稿件后，本期又发了本网校学员11篇文。依次是：小说，张平《翻译的力量》，高美兰《赌王》，杨越《貂皮大衣》，赵锦慧《提拔》，吴嘉《硬币》；散文，刘晓蔚《来生陪您喝白酒》，郜艳《流动的盛宴》，邝林英《绿纱窗下的旧时光》，胡艳萍《有一种爱叫剪指甲》；诗歌：李书凤《梦的主旋律》，张九筠《苔》。另外，请大家继续投稿，2020年第1期开始了！诗歌、散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
wwwgui8cc,:发表了博文《赵艳萍形体瘦腰训练视频》赵艳萍形体瘦腰训练视频
一头o树懒,:哈尔滨一店第三名何艳萍一头o树懒的微博视频
wjw歇斯底里的微笑,:郑州豫剧院张艳萍《疯哑怨》。
养兔幼儿园园长,:第24集　　若曦回房间时发现四阿哥送的木兰簪子和鼻烟壶都不见了，知道被同屋的春桃艳萍他们偷去了，若曦恩威并施，拿回了簪子，但却被艳萍摔在地上。若曦将几件最贵重的物件送给同屋宫女，收服了她们。十阿哥和十四阿哥来找若曦，告诉她八阿哥病重，昏迷不醒，问若曦可有什么留言带给他。若曦提笔给若兰写下“若无爱与憎，彼即无羁缚”，让她劝慰八阿哥学会放下。西藏被占领，朝中官员却不支持出兵，在内忧外患的紧迫形势下，皇上终于提前在十月就任命十四阿哥为抚远大将军，挂帅出征，进军拉萨、收复西藏，直捣伊犁，解决准噶尔问题，十四阿哥早前就被皇上封为“大将军王”，此刻更是风光无限，成为未来储君有力的竞争者。而四阿哥多年来的韬光养晦有了结果，皇上重新任用四阿哥，同时又传来十三阿哥的喜讯，他与绿芜生了个女儿，取名为承欢。四阿哥带着小承欢来看若曦，两人在艰难岁月中终于有了一些欢乐。十四阿哥在西北边陲打了不少胜战，成为众人口中的大英雄，待到他归来之时，他特地跑到若曦面前，为何情愿留在这里给太监洗衣，也不愿意跟他，十四阿哥自从若曦在草原上为保护她舍命赛马开始，就决定诚心守护她，所以此时若曦不应允，他也不勉强。皇上身体每况愈下，想吃一些软绵的食物，王喜接若曦回宫偷偷为皇上做点心。皇上吃过点心后尝出了是若曦所做，当日的怒气已消，将她重新召回身边侍奉。
红玲珑1106,#元宵快乐宅#我来了！@晨艺的一直播（下载App->http://t.cn/EhGWXEC）
吕梁发布,:发布了头条文章：《文水疾控中心贾艳萍：抗“非”老兵再上阵，沉着从容战疫情》文水疾控中心贾艳萍：抗“非”老兵再上阵，沉着从容战疫情
FM99香格里拉之声,:【辟谣！“昆明公交计划于2月17日恢复部分线路营运”消息不实】近段时间以来，不少昆明本地的微信群里纷纷发布一则有关“昆明市乘坐公交车需要身份证”及“昆明公交计划于2月17日恢复部分线路营运”的消息，该消息还附有所开具体线路。因公交恢复线路一事关乎民众出行，该消息引起了很多市民的关注。2月15日，记者就此消息联系昆明公交集团得知，该信息为不实信息，截至目前，昆明公交方面还未有关于公交线路恢复开行的准确信息。随后，昆明公交针对这两个信息向市民发布了温馨提示：1.按照《昆明市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部》〔2020〕28号文件《关于依法履行疫情信息登记义务的通告》要求，昆明公交集团于2020年2月12日起，在全司公交车上推广应用云南省政府推出的“云南抗疫情”扫码登记微信小程序，实行“一车一码”。乘客上车前，通过微信打开“扫一扫”界面，扫描车辆前门粘贴的云南抗疫情“入”二维码，将扫码成功界面出示给驾驶员查验后准予乘车。手机不能扫码、未带手机乘客、学生及儿童乘车，上车后均必须向司乘人员出示本人有效身份信息并做好登记，儿童需由陪同乘车人员代为登记后方可乘车，否则不予乘车。上述操作是按上级有关要求严格落实，非昆明公交集团单方面要求，公司也未规定或要求乘客要携个人身份证乘车。2.根据新型冠状病毒肺炎防控需要，按上级有关要求，昆明公交集团于2020年1月30日停运市内公交线路。目前，公司还未收到上级有关部门关于恢复市内公交营运的要求，公司也未曾通过任何渠道和方式向社会和媒体对外公布有关复工消息。昆明公交集团作为全市大型公益类国有企业，一直秉承“服务人民、奉献社会”的宗旨，竭诚为广大市民乘客提供优质、高效、便捷、绿色、智慧的公共出行服务。待上级有关部门要求，公司将在第一时间把复工及公交营运线路恢复情况通过官方网站、官方微博、官方微信公众号上进行发布。(云南信息报记者张艳萍）
世界第一美男子啊,:名字俗气的话是没法做女主的娥？艳？萍？还不俗气嘛还有人艳萍一起使用超级俗气
Sweety法,:谁说春天来了，那是日历说的谎。只要还有一座城冰封雪飘，我们就不忍心立春。———邓艳萍
Qingbaby_Y,:《哄孩子时别做这个动作，严重时会导致婴儿死亡》罗艳萍-新浪爱问医生哄孩子时别做这个动作，严重时会导致婴儿死亡
罗珊宣传,:当新冠肺炎疫情肆虐而来，有这样一个身影执着坚守在珊贝村疫情防控一线。她穿着红色的志愿服，或在珊贝村劝导站值班值守，或在村组农户中宣传防控知识，或在群众聚集处劝导群众不要扎堆，她就这样积极主动的参与到了疫情防控一线。她是村里的后备干部，是村里的入党积极分子，是村里的妇女小组长，还是村里的贫困户，她的名字叫周艳萍。http://t.cn/A6hVLMvt
北京丰台,:#基层防疫在行动#【雨雪天里这一刻，最暖心】2月14日清晨，大雪如期而至，却落地成水，泥泞不堪，为社区门口值守人员带来更多的麻烦和寒意。丰台区南苑西宏苑小区门口，一大早就值守在这里的京丰物业三分公司物业经理郝艳萍和“战友”们一起守护居民安全，扫雪铲冰。不过今天她还从家里带来了姜红糖和切好的姜丝，借着物业的电磁炉和锅熬起了姜红糖水。“带了好多份，谁得空就过去煮点儿，给值守在门口的社区工作人员、党员志愿者、保安和物业工作人员喝点儿，驱寒保暖。”郝艳萍笑着说。雨雪里的姜红糖水最温暖，社区工作者们的坚守最暖心！
花式柠檬精的二环子,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
不是小童,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
养龟车手·菌某,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
zhy_Emillly,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
北京晚报北晚新视觉网,:【一杯姜红糖水，一份坚守！北京雨雪天里这一刻，最暖心】2月14日清晨，大雪如期而至。丰台区南苑西宏苑小区门口，一大早就值守在这里的京丰物业三分公司物业经理郝艳萍和“战友”们一起守护居民安全，扫雪铲冰。不过今天她还从家里带来了姜红糖和切好的姜丝，借着物业的电磁炉和锅熬起了姜红糖水。http://t.cn/A6htVPb4
南京晨报,:#关注江苏新型肺炎疫情#【战场上我们携手同行！】中大医院江北院区在抗击疫情中有许多夫妻拍档，他们在生活中相濡以沫，在战场上牵手同行。http://t.cn/A6htLn74通讯员沈艳萍张蓝予南京晨报/爱南京记者卢斌
去梦里见吗,:她以前不这样的有了手机交了不同的朋友我们都去外面上学了大姐姐上班肖艳萍肖素萍去了新城市花园住她一个人天天还要被她妈骂所以说有因有果变成今天这样是大家造成的
起名为Z,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
北京丰台,:#基层防疫在行动#【风雪中，他们守护丰台61个无物业小区安全】2月14日，大雪如期而至，南苑西宏苑小区门口，一大早就值守在这里的京丰物业三分公司的物业经理郝艳萍和同事们一起扫雪铲冰。作为承担丰台大部分直管公房物业管理职能的公司，疫情当前京丰物业主动对接承担了南苑、长辛店、西罗园、东铁营等61个无物业小区的管控主力工作，配合社区做好测温、消毒、登记，为3万户居民筑起“保护罩”。点击链接查看全文→http://t.cn/A6h5M6CS
凪梦浮生,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
北京丰台,:#基层防疫在行动#【做好暴雪防范准备丰台180余家物业“逆风逆雪”冲在前】“防疫工作还没缓口气，暴雪寒潮蓝色预警又来了，我女儿正要中考，我都没时间管她，她却和我说不怕不怕，妈妈咱们都能赢，这叫八十一难拦路，七十二变制敌，哈哈，这小鬼。”京丰物业三分公司的物业经理郝艳萍笑着说，隐去了不经意的红眼圈，“这不，按上级通知，赶紧去小区再核查，我得加劲儿干，肯定能和我女儿一起赢！”点击链接查看全文→http://t.cn/A6h5ZCO1
就是玥仔呀,【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
湖南日报,:【火线传真Vlog·黄冈丨他们是病毒的最大克星直击为患者雾化治疗、高危护理】#湖南防控新型肺炎#湖南援助湖北第一批医疗队队员付艳萍来自株洲市中心医院，今天，付艳萍和她的同事王嘉铭为病人做雾化治疗。因为病人主要易呼吸道疾病为主，常有咳嗽咳痰的症状，做雾化治疗缓解患者咳嗽症状。隔离病房内，患者看不到家人，不能和外界沟通，医疗队员不仅要完成对患者的基本治疗，还要关心患者的生活和心理情况。让我们跟着付艳萍的镜头，一起“走进”黄冈市大别山医疗中心。http://t.cn/A6hqnT4Q
陈清贫,:快讯！大型文学月刊、《华文月刊》杂志2019年第12期定稿，我是这本杂志的副主编。继8期、9期、10期、11期刊发陈清贫写作培训网校的多篇稿件后，本期又发了本网校学员11篇文。依次是：小说，张平《翻译的力量》，高美兰《赌王》，杨越《貂皮大衣》，赵锦慧《提拔》，吴嘉《硬币》；散文，刘晓蔚《来生陪您喝白酒》，郜艳《流动的盛宴》，邝林英《绿纱窗下的旧时光》，胡艳萍《有一种爱叫剪指甲》；诗歌：李书凤《梦的主旋律》，张九筠《苔》。另外，请大家继续投稿，2020年第1期开始了！诗歌、散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
北京丰台,:#基层防疫在行动#【做好暴雪防范准备丰台180余家物业“逆风逆雪”冲在前】“防疫工作还没缓口气，暴雪寒潮蓝色预警又来了，我女儿正要中考，我都没时间管她，她却和我说不怕不怕，妈妈咱们都能赢，这叫八十一难拦路，七十二变制敌，哈哈，这小鬼。”京丰物业三分公司的物业经理郝艳萍笑着说，隐去了不经意的红眼圈，“这不，按上级通知，赶紧去小区再核查，我得加劲儿干，肯定能和我女儿一起赢！”点击链接查看全文→http://t.cn/A6hqMleY
吉安刑事律师曾庆鸿,:发表了博文《崔善村、杨艳萍涉嫌伪造货币罪案辩护意见》崔善村、杨艳萍涉嫌伪造货币罪案应当撤诉并作不起诉决定的法律意见徐昕肖之娥郑晓静本案印有“魔术道具”字样的货币，与真币差异巨大，容易辨别，不具有危害国山东临沂崔善村、杨艳萍涉嫌伪造货币罪案辩护意见
上饶信使,:#上饶爆料#【#上饶抗疫在行动#原创作品：抗击疫情，大爱无疆】由江西省德兴市文化馆副馆长吴忠高作词，徐艳萍（现任江西上饶师范学院工会副主席）作曲，南建雄演唱的《为了生命之花绽放》（MV）深情出炉，一起来欣赏一下！@德兴发布@上饶师范学院文传学院团委http://t.cn/A6hyNnSzhttp://t.cn/RJAcqZn
胖小玉胖,:🥱🥱每天闲在家里就是折腾吃的中午发面做了葱油饼，我还揪了4个白面团做了菜夹馍的烧饼、吃着还好，就是火候没掌握好有点焦。
网课资料Amor,:#2020高考[超话]#语文：乘风老师，杨洋老师。1乘风老师：如果没记错他在腾讯课堂。说说理由吧：乘风老师的语文课更像逻辑思维训练，当然指的是从语文学科的角度来的，如果你的选择题错很多，试试他的课吧，当然他会给你很多模板，我认为极其有用，因为他的模板是变通性很强的模板，不是教科书上面的生搬硬套。2杨洋老师：杨老师讲作文特别厉害，押题几乎每年压中，不过我今年最后几天没心思听(大家不要学我，即使最后一天也要一如既往)。他的作文课会让你毁三观的。自己去腾讯课堂听听老师免费课就知道了。数学：赵礼显、周帅。这么说吧，在中国，数学老师第一只能是显哥，不是我说的，大家说的。但他的课适合基础比较好的学生，最好110以上那种，如果基础特别差，个人建议周帅老师。两位老师我都是极其喜爱，各有千秋，但是说句实话答主更感激显哥，把我的数字从63提高到最高120(一次周考：外省的模拟卷)，虽然高考数学只有100，但并无太大遗憾。因为显哥改变了我，我非常爱他。英语：腾讯课堂陈正康老师。因为英语网课不多，不多推荐。大家去问问别的学长学姐吧。文综：地理；张艳萍。起初我也不喜欢这位老师，后来真的就爱上了，不仅仅是讲课，地理思维能力，你会得到很多，不推荐有道的包包老师，因为他的课无深刻地理思维可言，不要问我什么是地理思维，等你高考地理80多你就会懂的。
上饶爆料,:#上饶同城##上饶身边事#【原创作品：抗击疫情，大爱无疆】由江西省德兴市文化馆副馆长吴忠高作词，徐艳萍（现任江西上饶师范学院工会副主席）作曲，南建雄演唱的《为了生命之花绽放》（MV）深情出炉，一起来欣赏一下！@德兴发布@上饶师范学院文传学院团委王家园园的微博视频
陈清贫,:快讯！《大众文化休闲》杂志2019年第12期和2020年第1期将出合刊，即将定稿，我是这本杂志的执行主编。继7期、8期、9期、10期各发陈清贫写作培训网校的10篇稿件后，11期又发了本网校学生10篇文。依次是：张平《难以设计的爱情》，张振国《草木有本心，为有暗香来》，盘叶纯《父亲的绿色花园》，胡艳萍《书海无涯常串门》，龚春芹《咖啡杯里的爱情》，刘进《木槿花的思念》，方东军《银篦梳理的时光》，罗倩仪《洒慰风尘》，张萍《“虎妈”的爱》，王秋珍《乡野的呼吸》，恭喜恭喜！另外，请大家继续投稿，2020年第2期开始了！散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
Cnythnk_9,:【莫燕萍×沈西林】——不散，不见。/OnlyIfYouAskedtoSeeMe，OurMeetingWouldbeMeaningfultoMe./清晰版见B站：【莫艳萍×沈西林】——不散，不见。Cnythnk_9的微博视频（我對不起燕萍…名字都沒打對
现代教育官微,:#武汉加油##抗击疫情希望同行#新年伊始，新型冠状病毒感染的肺炎疫情悄然从武汉蔓延，波及全国。迎泽区第二实验小学根据教育局要求，对新型冠状病毒感染的肺炎疫情防控做了大量安排，成立防控疫情小组，全体行政人员及卫生保健老师谷艳萍返岗共同战“疫”。
