李留申i,:2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。
大参考,:【正直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】今天（3月2日）15：30召开“河南省新冠肺炎疫情防控专题”第二十一场新闻发布会，发布会邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。http://t.cn/A67a1lOH
军长蜀黍,:#众志成城河南有情#【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】今天（3月2日）15：30召开“河南省新冠肺炎疫情防控专题”第二十一场新闻发布会，发布会邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。http://t.cn/A67aEOPi.
寻香美食,:#众志成城河南有情#【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】今天（3月2日）15：30召开“河南省新冠肺炎疫情防控专题”第二十一场新闻发布会，发布会邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。http://t.cn/A67aEOPi.
河南政务观察,:#河南防控新型肺炎疫情#【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。（都市频道）#抗击疫情我们始终在一起#http://t.cn/A67aHvgG
河南农村广播,:【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】发布会邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。河南农村广播的微博直播.
新浪河南,:#河南防控新型肺炎疫情#【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。（都市频道）#抗击疫情我们始终在一起#http://t.cn/A67aHvgG
确山的,:#现场观察[超话]##豫见疫情防控#邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。http://t.cn/A67alFQS.#河南人好[超话]#@毛二王
河南新闻广播,:【直播：河南省新冠肺炎疫情防控专题第二十一场新闻发布会】发布会邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。河南农村广播的微博直播.
精彩看河南,:#现场观察[超话]##豫见疫情防控#邀请河南省发展改革委、省卫健委、洛阳市、开封市、省电力公司、中铁七局集团、双汇集团负责同志，就河南省疫情防控进展、企业复工复产、重大项目建设和个体工商户复工复产等情况进行发布，并回答记者提问。http://t.cn/A67alFQS.#河南人好[超话]#@毛二王
开封网,:#奉献在一线#【疫情不退我们不走】开封市中医院第一批援鄂医疗队赴湖北支援一个月以来，5位“战士”连续奋战，他们的事迹感动着身边的战友，也感动着每一位开封市中医院人。危难时刻，疫情就是命令，防控就是责任。作为一名医护人员，他们舍小家为大家，用专业的知识迎着病毒走，勇做“逆行者”，义无反顾投身于抗疫一线，他们是新时代最美丽的人。即将面对轮岗，5位“战士”再次写下请战书“疫情不退，我们不走”，并按下自己鲜红的指印。在得知5位“战士”请愿连续奋战的消息后，市中医院工会主席张彩凤非常担心大家的身体健康状况，第一时间联系了队长李艳娜确定大家的身体情况。在感受到李艳娜坚定的态度后，她对各位队员的做法进行了肯定和赞许，并叮嘱他们要照顾好自己的身体，医院等待他们平安回来。http://t.cn/A67aQ1IS
开封网,:#抗击疫情我们在一起#【战“疫”一线杨光埔的生日这样过】2月27日，是开封市中医院第三批援鄂医疗队入驻湖北武汉的第9天。一大早，队员们便来到医院，打起十二分的精神准备开始新一天的战斗。叮铃铃……叮铃铃……队员杨光埔接过手机说：“喂，妈，我已经到医院了，现在准备穿防护服。这里环境挺好的，您放心吧！”“好的，孩子，注意安全，照顾好自己。今天是你的生日，祝儿子生日快乐，记得吃个鸡蛋……”“哦，对呦，今天我生日，我都忘了。谢谢妈，爱您！”挂断电话，换上防护服，杨光埔进入隔离区，开始了一天的忙碌。而这几句简短的问候，恰巧被副队长沙莎听到，也记在了沙莎的心里。经过6个小时的紧张奋战，走出医院的杨光埔与战友们“累瘫”在回宾馆的大巴车上。这时，微信群里蹦出来一则通知：“开封市中医院全体队员，晚上八点开会——沙莎。”回到宾馆简单休整后，队员们早早来到集合地点，准备8点钟的会议。杨光埔最后一个到场，刚一进屋，掌声、欢呼声此起彼伏，沙莎将一个漂亮的“皇冠”戴在小杨的头上。“今天是咱们的战友杨光埔同志26岁的生日，我们这里虽然没有蛋糕，但是我们的祝福更加甜美！让我们一起祝小杨生日快乐！希望你在今后的日子里一切顺利，一切美满……”“祝你生日快乐、祝你生日快乐…………”在队长石云霄、副队长沙莎的带领下，大家共同唱起了生日祝福歌，为杨光埔庆生。此刻的杨光埔幸福感爆棚，喜悦的泪水在眼眶里打转。在动听的生日歌中，杨光埔头戴“自制皇冠”手捧“特制蛋糕”，抹去幸福的眼泪，感受着战友们温暖的祝福与陪伴。与此同时，家乡的同事们也深深地牵挂着援鄂医疗队的队员们。开封市中医院党委书记周广辉、院长王清峰代表全院职工为杨光埔送去了满载祝福的生日贺卡与温馨礼物，祝杨光埔生日快乐。这是一个难忘的生日，而杨光埔的生日愿望更加真挚：“希望我们早日打赢这场战‘疫’，希望所有的患者早日康复，愿我们大家早日平安凯旋、与家人团聚!”http://t.cn/A67aQlsx
文明开封,#疫情防控开封在行动#@文明开封疫情宅在家，实验幼儿园的宝贝告诉你该如何做
威海科技,:中西医协同治疗新冠肺炎的开封实践2020-02-2918:47:39　来源:科技日报作者:乔地河南省开封市对新冠肺炎确诊病例的救治，全部采用中西医协同治疗的方法。目前，开封的25例确诊病例全部使用中药治疗，首次核酸检测复查转阴的14例中，平均转阴的天数是12.8天；第二次复查的8例，平均是14.9天，应用中药退烧最快的是1天，最长的4天，平均是3.2天体温降到正常。咳嗽缓解平均是4.9天，完全消失是8.5天。开封市新冠肺炎中医药防治专家组组长、开封市中医院院长兼党委书记庞国明说，中西医协同治疗，首先是改善症状快。杞县一位病例，开始的时候在病床上咳嗽胸闷呼吸不畅，几乎不能下床活动，用上中药，第二天症状基本上消失，可以下床活动。其次是能够阻止病情发展，开封六院(传染病医院)同时入院的两个确诊患者，一个服用中药，病情恢复很快；另一个症状轻，拒绝服用中药，两天转为重症。服用中药后，才又迅速转轻。开封市在1月21日就研究讨论预防新冠肺炎的方子。当时提出了两个依据：第一，新冠肺炎属于疫病;第二，中医讲“肺为娇脏，温邪上受，首先犯肺”。为什么同在疫区，有的人感染，有的人不感染，就是因为个人的免疫力不同。认为中医在这次疫情中可以发挥四方面的作用：第一“未病先防”，对新冠肺炎起到预防的作用;第二“既病防变”，防止病情由轻到重，由重到危;第三“愈后防复”，防止病情治愈后出现反复;第四在复工复学方面发挥预防作用。黄帝内经讲：“正气存内，邪不可干，邪之所凑，其气必虚”。基于这个理论，经过大家集体研讨，他们推出了“扶正防感方”，推出后，他们做成颗粒冲剂，得到市卫健委认可和推广。该市祥符区从武汉回来的密切接触者大概有200人，全部在第一时间服用中药，对密切接触人群实施预防干扰性的治疗之后，截至目前没有确诊病例。1月27日，开封市卫健委推出了开封市预防新冠肺炎的中医方案，包括调情志、顺气血、调饮食、适量运动，口服中药、香囊、香薰这些措施。除了扶正防感方，他们还有中医嗅觉疗法，通过气味避秽化浊，开鼻窍，改善鼻粘膜血液循环，提高抵抗力。按照这个思路，他们开发了避秽防疫香囊，白天可以放在上衣口袋，挂在车上，晚上可以放在枕边。工厂、学校、教室，密闭的空间，可以做成避秽防疫香薰柱，一个教室用上10根，白天上学，晚上熏，不影响学生上学。他们还有一个保健操“避讳防疫”，按摩印堂，迎香穴、合谷穴、足三里，鱼际的对擦等。中医的很多经典著作，比如《难经》《伤寒杂病论》《神农本草经》《伤寒杂病论》等都有关于瘟疫及其防治办法的记载。庞国明认为，2003年发生的SARS疫情和这次的新冠肺炎有许多相似之处，从中医上讲都属于“瘟疫”。所谓的“疫”就是具有传染性的病邪。黄帝内经说“余闻五疫之至，皆相染易，无问大小，病状相似。”这说明在2000多年前，中医对传染病已有深刻认识。庞国明（图）
开封司法行政在线,:#宋都调解#【《宋都调解》第209期节目】“人民调解”板块——《难走的出路》编导：张东摄像：郭帅张宁李帅峰一道砖墙引发邻里纠纷，出行协议成为矛盾焦点。胡同里的三家人，门前道路归属争议不断，他们的问题如何解决？开封市杞县司法局裴村店司法所所长杨艳军与河南源翔律师事务所律师王琼雯联手调解，两家的矛盾能否解决？敬请收看本期“人民调解”——《难走的出路》。
金明区法院,#疫情防控开封在行动##抗疫行动#【阻断疫情是我的职责】自新冠肺炎疫情发生以来，开封市残联驻通许县孙营乡南李佐村帮扶工作队队长兼驻村第一书记安显伟带领工作队队员，与村“两委”班子一起投入到疫情防控中。链接：阻断疫情是我的职责（来源：河南日报）
金明区法院,#疫情防控开封在行动#【共战疫情，我们一直都在】一曲《巾帼红》向抗疫英雄致敬！链接：【共战疫情，我们一直都在】（二十八）一曲《巾帼红》向抗疫英雄致敬！@开封市妇联
金明区法院,#疫情防控开封在行动#【最新通报】截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况#共同战疫#2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。开封市卫生健康委员会2020年3月2日（开封市卫生健康委员会官方网站）
魅力开封,:【“互联网+不动产登记”，开封不动产抵押登记业务进入“不见面办理”时代】2月28日上午，开封市不动产登记中心与我市10家金融机构举行“互联网+不动产登记”合作签约授牌仪式。该中心主任闫凯分别与我市10家金融机构负责人在合作协议上签字并授牌。这标志着我市在全省率先全面开启“互联网+不动产登记”的“不见面办理”模式。双方合作协议的签订，是该中心和我市金融界落实中央、省、市深化“放管服”改革和优化营商环境工作要求的具体举措，压缩了不动产登记办理时限，提升了不动产登记能力和服务水平；也是落实中央、省、市在疫情防控期间便民利企、服务企业复工复产和助推我市经济社会发展的具体举措。根据双方合作协议，我市不动产登记服务窗口可延伸至已签约的金融机构前台，群众和企业可直接在银行窗口申请办理抵押登记手续，实现抵押登记在银行线上受理、登记部门后台审核登簿、银行线上打印电子证照。这一举措的实施，我市每年至少4万余起不动产抵押登记和近2万起不动产抵押注销登记等业务可以在银行从业终端“一站式”办结，即办即走，不动产抵押登记业务从此迈进“不见面办理”时代。今后，企业和群众可在中国工商银行股份有限公司开封分行、中国农业银行股份有限公司开封分行、中国银行股份有限公司开封分行、中国建设银行股份有限公司开封分行、上海浦东发展银行股份有限公司开封分行、中国邮政储蓄银行股份有限公司开封市分行、河南汴京农村商业银行股份有限公司、平安银行股份有限公司开封分行、开封新东方村镇银行股份有限公司、郑州银行股份有限公司开封分行等10家金融机构以及前一阶段已与开封市不动产登记中心签约的中原银行股份有限公司开封分行直接办理预购商品房抵押权预告登记、不动产抵押登记和抵押权注销登记等业务，让全市企业和群众都能体验到“互联网+不动产登记”的“不见面办理”带来的便捷服务。闫凯表示，下一步，开封市不动产登记中心将继续与我市金融部门深度合作，进一步探索创新“互联网+不动产登记”的“不见面办理”模式，加快互联共享，持续优化营商服务环境，加强推广运用信息化技术手段，不断增强企业和群众获得感，共同提升政银服务水平，为企业在疫情防控期间的复工复产创造良好的营商环境，为打赢疫情防控阻击战和推动开封经济社会高质量发展作出新的积极贡献。（全媒体记者：胡锐通讯员李斌张春琳）
金明区法院,#疫情防控开封在行动##抗疫行动#【阻断疫情是我的职责】自新冠肺炎疫情发生以来，开封市残联驻通许县孙营乡南李佐村帮扶工作队队长兼驻村第一书记安显伟带领工作队队员，与村“两委”班子一起投入到疫情防控中。链接：阻断疫情是我的职责（来源：河南日报）
金明区法院,#疫情防控开封在行动#【共战疫情，我们一直都在】一曲《巾帼红》向抗疫英雄致敬！链接：【共战疫情，我们一直都在】（二十八）一曲《巾帼红》向抗疫英雄致敬！@开封市妇联
金明区法院,#疫情防控开封在行动#【最新通报】截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况#共同战疫#2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。开封市卫生健康委员会2020年3月2日（开封市卫生健康委员会官方网站）
魅力开封,:【“互联网+不动产登记”，开封不动产抵押登记业务进入“不见面办理”时代】2月28日上午，开封市不动产登记中心与我市10家金融机构举行“互联网+不动产登记”合作签约授牌仪式。该中心主任闫凯分别与我市10家金融机构负责人在合作协议上签字并授牌。这标志着我市在全省率先全面开启“互联网+不动产登记”的“不见面办理”模式。双方合作协议的签订，是该中心和我市金融界落实中央、省、市深化“放管服”改革和优化营商环境工作要求的具体举措，压缩了不动产登记办理时限，提升了不动产登记能力和服务水平；也是落实中央、省、市在疫情防控期间便民利企、服务企业复工复产和助推我市经济社会发展的具体举措。根据双方合作协议，我市不动产登记服务窗口可延伸至已签约的金融机构前台，群众和企业可直接在银行窗口申请办理抵押登记手续，实现抵押登记在银行线上受理、登记部门后台审核登簿、银行线上打印电子证照。这一举措的实施，我市每年至少4万余起不动产抵押登记和近2万起不动产抵押注销登记等业务可以在银行从业终端“一站式”办结，即办即走，不动产抵押登记业务从此迈进“不见面办理”时代。今后，企业和群众可在中国工商银行股份有限公司开封分行、中国农业银行股份有限公司开封分行、中国银行股份有限公司开封分行、中国建设银行股份有限公司开封分行、上海浦东发展银行股份有限公司开封分行、中国邮政储蓄银行股份有限公司开封市分行、河南汴京农村商业银行股份有限公司、平安银行股份有限公司开封分行、开封新东方村镇银行股份有限公司、郑州银行股份有限公司开封分行等10家金融机构以及前一阶段已与开封市不动产登记中心签约的中原银行股份有限公司开封分行直接办理预购商品房抵押权预告登记、不动产抵押登记和抵押权注销登记等业务，让全市企业和群众都能体验到“互联网+不动产登记”的“不见面办理”带来的便捷服务。闫凯表示，下一步，开封市不动产登记中心将继续与我市金融部门深度合作，进一步探索创新“互联网+不动产登记”的“不见面办理”模式，加快互联共享，持续优化营商服务环境，加强推广运用信息化技术手段，不断增强企业和群众获得感，共同提升政银服务水平，为企业在疫情防控期间的复工复产创造良好的营商环境，为打赢疫情防控阻击战和推动开封经济社会高质量发展作出新的积极贡献。（全媒体记者：胡锐通讯员李斌张春琳）
开封市工会,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
太康宣传,:快讯！王国生到开封市检查疫情防控和复工复产工作快讯！王国生到开封市检查疫情防控和复工复产工作
清风中原,:#清风品读#【开封：“一对一、手拉手”对接护航经济发展】开封市祥符区纪委监委实行“一对一、手拉手”对接复工复产企业，用监督护航经济发展。目前，该区纪委监委干部按照这种模式共对接护航631家合作社和76家民营企业。在疫情一线，他们既是监督员，又是复工复产企业的服务员，受到了社会各界的好评。http://t.cn/A67XmKaW
大河报,:【可恶！一赌徒打着卖口罩的幌子骗人100多万元，转眼间输个精光】“现有口罩对外出售，单价1.80元、三天内发货……”一男子刁某沉迷赌博，为了筹集赌资不择手段，近段时间，他从网上得知口罩成了紧俏防护物资，便发布了这样一条虚假信息。信息发布后，急需口罩的开封市陈先生当即从网上给他汇款50余万元，新郑市的李先生网上给他汇款43万余元;开封市通许县的牛先生网上给他汇款6万余元。收到陈先生、李先生等人的货款后，刁某并没有拿着钱去寻找货源，而是立即投入到了网络赌博中……详情→http://t.cn/A67XQlXB
开封网,:#防控前沿#【开封市发展改革委“不见面”审批稳投资】疫情防控期间，市发展改革委为最大限度减少人员聚集流动，有效防止疫情传播，同时做好稳投资工作，全面实施“不见面”审批，全力保障我市经济社会平稳健康发展。据悉，市发展改革及时在门户网站及微信公众号公布《疫情防控期间河南省投资项目在线审批监管平台一站式申报操作指南》，明确投资项目审批统一实行网上办理。项目单位通过在线平台上传电子材料，审批人员通过在线平台实行网上审批和网上出件，实行“不见面”审批。同时，市发展改革委积极为项目单位提供项目申报咨询、指导、代办服务，网上受理后通过内部高效运转，协力解决问题，提高审批效率，受到项目单位的一致好评。近期，市发展改革委已完成市马家河污水处理厂中水回用项目（二期）、开封市总工会职工帮扶活动中心建设和晋安路（夷山大街-西环路）道路排水改造工程等6个项目的可行性研究报告的批复，总投资超过3亿。http://t.cn/A67XH0FX
开封市救助站,#共同战疫#【转发周知！开封市各大超市3月2日生活必需品价格出炉，请市民对照监督】#疫情防控开封在行动#根据全市统一安排部署，经过今天（3月2日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管@平安开封http://t.cn/R2WxHAA
大明湖畔的大只蟹蟹,:今天我能回北京了吗，不能
开封网,:【国电开封发电分公司荣获开封市工业强市“特殊贡献奖”】记者3月1日获悉，国电开封发电分公司在2月26日举行的开封市对外开放暨优化营商环境大会上，被市委市政府授予“2019年度工业强市特殊贡献奖”。据介绍，2019年，国电开封发电分公司在认真做好企业安全生产、经营管理等工作的同时，积极参与开封“企地共建”活动，更加深入融入地方建设，服务开封经济发展、民生改善。该公司顺利完成两台机组灵活性深度供热改造，机组具备供热能力强、可深度调峰双重优势；消除重大危险源，投入尿素水解制氨系统，氮氧化物全时段排放浓度低于河南省地方标准。这两项工程建设得到了开封市委市政府高度肯定。项目建成对开封市节能及环境效益改善明显，优化了开封招商引资环境，助推了开封工业发展，为开封跨越式发展作出了重要贡献。此外，开封发电分公司还肩负着开封市居民供热任务，供热季以来，开封发电分公司全力以赴抓好供热源头管理，认真做好热源保障，为长周期安全可靠供热夯实了基础。目前，国电开封发电分公司正积极贯彻市委、市政府各项部署，聚精会神抓细抓实疫情防控、电热保供、复工增产等各项工作，一体推进年度重点任务落地，奋力夺取疫情防控阻击战、年度生产经营目标保卫战双胜利。http://t.cn/A67XYksH
TheOne单身派2019,:#TheOne单身派##小派线下活动#单身派女嘉宾♀坐标上海，Aimee，1994，163cm.来自河南省开封市，四口之家温馨和睦，弟弟正在读书，父母也已经在上海工作。毕业于上海应用技术大学，目前从事汽车金融工作。巨蟹座，性格开朗，爱交朋友，体贴❤️强。喜欢旅行，每年会安排两次左右长途旅行，去过日本、泰国和菲律宾。理想中的男生身高在175以上，有上海户籍，工作生活中比较有责任心、有上进心，性格好，爱生活。
开封市教育局,:我分享了【【停课不停学】教师八仙过海学生各展英才——开封市第十四中学九年级停课不停学火热进行中】，快来看吧！|http://t.cn/A67XKfjd
开封市教育局,:我分享了【【备战高考】同舟共济战疫情全力以赴迎高考——开封市田家炳实验中学高三年级举行网络视频百日誓师大会】，快来看吧！|http://t.cn/A67XKtDA
龙亭在线,:『截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况』截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况
文明杞烟,#疫情防控开封在行动#【最新通报】截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况#共同战疫#2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。开封市卫生健康委员会2020年3月2日（开封市卫生健康委员会官方网站）
文明开封,:#疫情防控开封在行动#【最新通报】截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况#共同战疫#2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。开封市卫生健康委员会2020年3月2日（开封市卫生健康委员会官方网站）
开封日报,:【市委市政府推出优化营商环境“1+10+N”实施方案】市委、市政府近日发出关于印发《开封市优化营商环境“1+10+N”实施方案》的通知，明确了当前和今后一个时期我市优化营商环境的主攻方向、工作目标和创新举措，为做好2020年我市优化营商环境工作提供了遵循。“1+10+N”，一个总体方案，10个重点领域，N项重大改革措施，形成了2020年全市优化营商环境改革的顶层设计和“四梁八柱”大框架。市委书记侯红指出，抓好今年全市优化营商环境工作，要认真落实《开封市优化营商环境“1+10+N”实施方案》。（全媒体记者马燕制图陈然）
文明杞烟,#疫情防控开封在行动##抗疫行动#近日，开封市中心医院新冠疫情防控指导宣教小组来到东大化工集团，对新冠疫情防控工作进行指导。（来源：开封市中心医院）#共同战疫#@开封市中心医院@文明河南@中国文明网
汴梁都市网,:#新浪看点#"美丽的卡点，美丽的你"------开封市连霍高速口水稻卡点"美丽的卡点，美丽的你"------开封市连霍高速口水稻卡点
文明尉氏财政,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
文旅开封,:权威发布！截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况
开封移动4G,:http://t.cn/A67XZKKv实时疫情：2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。全国亲情网，不见面也能畅聊戳开👇🏻了解一下～#开封移动全❤全意为您10分满意#
开封日报,:【截至3月1日24时开封市新型冠状病毒肺炎疫情最新情况】2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。开封市卫生健康委员会2020年3月2日
新浪河南,:#河南防控新型肺炎疫情#【截至3月1日24时#开封#市新型冠状病毒肺炎疫情最新情况】2020年3月1日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。截至3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，累计治愈出院18例。现有确诊病例8例（兰考县1例，尉氏县2例，杞县3例，鼓楼区1例，顺河回族区1例），无危重病例。目前尚有接受医学观察的密切接触者8人。（开封发布）#抗击疫情我们在一起#
新浪河南,:#河南防控新型肺炎疫情#【截至3月1日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（河南省卫生健康委官网）#抗击疫情我们在一起#
文明开封,:#共同战疫#【转发周知！开封市各大超市3月2日生活必需品价格出炉，请市民对照监督】#疫情防控开封在行动#根据全市统一安排部署，经过今天（3月2日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管@平安开封http://t.cn/R2WxHAA
开封广电菊城报道,:【请对照监督！3月2日开封市生活必需品价格公示出炉】今天早上（3月2日），记者从开封市市场监督管理局获悉，根据全市统一安排部署，经过今天对全市各大超市的统计，主要蔬菜和粮油品种等生活必需品的价格已经出炉，请广大市民对照监督。如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报，开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查http://t.cn/R2WxHAA
谢文流氓,:【河南省】·【开封市】·【大相国寺】·【印象随拍】三#河南省##开封市##开封·大相国寺[地点]##大相国寺##印象#齐齐哈尔·光荣三区
帆是,:元月二十六日大年初二，应是嫁出去的姑娘回娘家，历年如此。这一天因疫情取消了。接近中午气温稍回升，但还是零下，我要骑电动车去买点必须品。口罩，消毒用酒精。平时触手可及，药店随处可见。但已有心理准备，可能买不到。出了小区门，这时候的小区还未有封闭管理，可以自由进出。出了家门，戴上了已经用了二年的棉布口罩，能防疫吗？并不知道？上了大路，这时路人并不是太多，先后去了张仲景大药房、百氏康、越人、老百姓，几乎寻遍未见口罩、酒精踪影，又去了淮河医院，也未寻到。只是在张仲景大药房限购的条件下买了二瓶84水；在酒店里买了瓶62度的衡水老白干酒（并不能完全起消毒作用。)这时曾去过的河大淮河医院，已在组织赴武汉救援的医疗队。第二天，元月二十七上午十点，开封市第一批援武汉医疗队52人由河南大学金明校区出发。由河南大学淮河医院、河南大学第一附属医院踊跃报名参战。市长高建军，河大党委书记卢克平、校长宋纯鹏前往送行。那是何等豪壮，那就是上前线奋勇拼搏杀敌的一腔热血，即将洒向武汉这个虽未硝烟四起的战场。豪迈而又壮烈，大气磅礴而又气冲宵汉的战场。可歌可泣，河大人，开封人。人文厚重、古朴的开封人。那去的都是呼吸科、重症监护室……的精英。如今，他们安好！道一声祝福，说一声好人一生平安！祝福所有援助武汉的医护人员早日凯旋归来。自元月27日起一直宅在家里，未出过小区门，也就不需要口罩了，口罩留给最需要的人，留给复工人员。我们退休了宅在家里不带口罩一样抗疫。20200301
文明开封,:#疫情防控开封在行动#【共战疫情，我们一直都在】一曲《巾帼红》向抗疫英雄致敬！链接：【共战疫情，我们一直都在】（二十八）一曲《巾帼红》向抗疫英雄致敬！@开封市妇联
金明区法院,#疫情防控开封在行动##抗疫行动#近日，开封市中心医院新冠疫情防控指导宣教小组来到东大化工集团，对新冠疫情防控工作进行指导。（来源：开封市中心医院）#共同战疫#@开封市中心医院@文明河南@中国文明网
