美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
都市条形码,:#战“疫”最前线#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）
西南林业大学微博汇,:#西林实事播报##新型冠状病毒·感染肺炎#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）￼网页链接
共青团娄底,:【3月4日发布丨娄底无新增确诊病例，累计出院病例67例】2020年3月3日0-24时，娄底市无新增确诊病例，新增出院病例1例。截至3月3日24时，娄底市累计报告新冠肺炎确诊病例76例，现有重症病例2例，死亡病例0例，累计出院67例。 目前，全市共追踪到密切接触者1970人，其中37人转为疑似或确诊病例，现已解除医学观察1876人，尚有62人正在接受医学观察。2020年3月3日0-24时，湖南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例21例。其中：新增出院病例中，长沙市6例、株洲市1例、岳阳市6例、常德市6例、郴州市1例、娄底市1例。截至3月3日24时，湖南省累计报告新型冠状病毒肺炎确诊病例1018例，累计报告重症病例147例，现有重症病例15例，死亡病例4例，出院病例913例，在院治疗101例。其中：确诊病例中，长沙市242例、衡阳市48例、株洲市80例、湘潭市36例、邵阳市102例、岳阳市156例、常德市82例、张家界市5例、益阳市60例、郴州市39例、永州市44例、怀化市40例、娄底市76例、湘西自治州8例。现有重症病例中，长沙市6例、株洲市4例、邵阳市1例、常德市1例、益阳市1例、娄底市2例。死亡病例中，长沙市2例、邵阳市1例、岳阳市1例。出院病例中，长沙市192例、衡阳市48例、株洲市70例、湘潭市35例、邵阳市100例、岳阳市130例、常德市80例、张家界市5例、益阳市59例、郴州市36例、永州市43例、怀化市40例、娄底市67例、湘西自治州8例。目前追踪到密切接触者26928人，已解除医学观察26599人，尚有329人正在接受医学观察。
海南廖孝炳,:3月3日0-24时，海南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例4例。新增出院病例中，海口市2例、三亚市1例、澄迈县1例。海南及全国最新疫情通报来了！澄迈县·茂坡
联通韩福秀,:#湖南连续4天无新增确诊病例，新增出院21例##湖南#2020年3月3日0-24时，湖南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例21例。其中：新增出院病例中，长沙市6例、株洲市1例、岳阳市6例、常德市6例、郴州市1例、娄底市1例。截至3月3日24时，湖南省累计报告新型冠状病毒肺炎确诊病例1018例，累计报告重症病例147例，现有重症病例15例，死亡病例4例，出院病例913例，在院治疗101例。
河南农业大学应用科技学院,:#应院微分享#【截至3月3日24时新型冠状病毒肺炎疫情最新情况
精彩渝水,:【#31省区市新增119例新冠肺炎#，#31省区市累计报告80270例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
昆明五华发布,:#疫情最新情况#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）
云南高校新鲜事儿,:#昆明抗疫在行动#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）
晋中网警巡查执法,:【山西连续8天无新增，治愈出院124例】#山西迎战疫情#2020年3月3日0时至24时，山西省无新增新冠肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。http://t.cn/A670EBpP
中国证券报,:【最新！湖北以外地区新增确诊病例4例】3月3日0-24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。http://t.cn/A67OE37i
喵喵马淼,:【患者治愈出院对医生提出请求：“让我看看你的脸”】#重症患者出院想看医生的脸#近日，湖北省老河口市一位危重症型患者经历25天治疗后出院，他对医生说：“让我看看你的脸。”医生临别时退后一步摘下了口罩，露出了自己的脸。#28省区市新增病例为0##隔离不分内外一视同仁#via生命时报（m）http://t.cn/A67OEJ1V
俄罗斯卫星通讯社,:【日本冠状病毒感染者人数达1000人死亡12人】共同社报道称，日本新型冠状病毒感染者人数已达1000人，死亡12人。其中多数共706人为“钻石公主”号邮轮上的乘客和船员，14人为从中国用包机撤离团中的人员。日本47个县中27个已确认280例感染病例，59人状况严重，正进行肺人工换气或在重症监护中。几乎所有具有感染症状的人都住院治疗，迄今已康复和出院210人。http://t.cn/A67OEjRO
上海虹口,:【患者治愈出院对医生提出请求：“让我看看你的脸”】#重症患者出院想看医生的脸#近日，湖北省老河口市一位危重症型患者经历25天治疗后出院，他对医生说：“让我看看你的脸。”医生临别时退后一步摘下了口罩，露出了自己的脸。#28省区市新增病例为0##隔离不分内外一视同仁#via生命时报（m）http://t.cn/A67OEJ1V
凤凰网云南,:#最新疫情地图#
黄河电视台微博,:#黄河头条#【0！山西连续8天无新增！治愈出院124例！】2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。　　新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。
CW春晚动新闻,:#新型冠状病毒·感染肺炎#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）http://t.cn/A67O89SJ
Ren任雨欣,:#疫情心理疏导#这是一个最不寻常的新春，新型冠状病毒感染的肺炎疫情在武汉蔓延、波及全国。这是一场人民战争，截至1月31日24时，国家卫健委共收到31个省(区、市)和新疆生产建设兵团累计报告确诊病例11791例，累计死亡病例259例，现有重症病例1795例，疑似病例17988例。面对疫情，我们既要万众一心奋力抗击，又要保持良好的心态。首先，“哪那么容易被传染”的侥幸心态要不得。疫情凶猛，一定不能掉以轻心，要做到客观认识、科学预防，这既是对自己的保护，也是对家人朋友的尊重。第一，不聚会、不串门，念稳“宅”字诀!此外，在家注意饮食健康，合理锻炼身体，积极了解提高自身免疫力的方法和知识。第二，做好老人、小孩等特殊人群的防护。此次疫情的危重症人群中以老年人居多，一定要询问老人的饮食情况、睡眠情况和精神情况，早晚测体温，出门戴口罩。不要亲吻孩子，不要对着孩子咳嗽、打喷嚏、呼气。如果家里有孕妇，28周之前的检查可以适当后推;但28周之后的，以及具有高危因素的孕妇，仍建议按时产检。总之，多花时间陪陪家人，多给家人关心关爱。第三，假期就要结束，很多人不得不返程去上班，这时候科学的防护特别重要。①新型冠状病毒主要通过近距离的飞沫传播，走在路上时，尽量与他人保持1米距离。②乘坐飞机、火车、公交时，随身携带消毒湿巾，必要时擦拭扶手、座椅。③全程佩戴口罩，日常防护选择医用外科口罩就好。④咳嗽打喷嚏时，用纸巾、袖口或屈肘遮住口鼻，及时洗手。⑤从离开家算起，连续14天自我监测身体状况，如出现发热、乏力、干咳等要及时报告、及时就医，配合做好隔离。其次，正确获取权威发布的疫情信息。疫情发展变化很快，社交媒体平台上信息芜杂，我们一定要冷静应对、清晰判断，不信谣、不传谣。例如，近日有一种流传说法：双黄连口服液可抑制新型冠状病毒。造成了许多人纷纷抢购，药店、电商平台卖断货!事实上，目前该发现仍是初步研究，只是体外抗病毒研究，对病人是否有效还要做大量的实验。再次提醒：盲目用药风险不小，普通人请勿自行服用双黄连口服液。再次，做好心理疏导，给焦虑情绪多一些出口。由于不间断浏览疫情相关信息，有人情绪沮丧、低迷，有人看着手机控制不住发火，甚至有人严重失眠，醒来就刷新闻，睡的时候噩梦连连。除了盯着手机，我们也可以做别的事，给我们的焦虑情绪多一些出口。如果发现压力过大，影响到日常生活工作的话，建议及时就医，或寻求心理疏导。打赢疫情防控阻击战，离不开你我共同努力，我们一定要消除恐惧心理、保持平和心态、作出理性判断，传递正能量，以健康的心态迎接胜利的喜讯。
春城晚报,:#新型冠状病毒·感染肺炎#【无新增！截至3月4日12时，云南累计治愈出院169例，现有确诊病例3例】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南省卫生健康委员会）http://t.cn/A67O89SJ
昆明官渡发布,:#最新疫情地图#
九江共青城发布,:【#意大利累计确诊新冠肺炎2502例##意大利新增新冠肺炎死亡27例#】人民日报记者韩硕消息，根据当地时间3月3日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2263例，死亡79例，治愈160例，累计确诊感染新冠病毒总人数为2502例，较3月2日18时新增466例，其中重症229例，新增27例死亡病例。
8099999,:【连续十二天无新增！全省现有确诊病例3例，零新增≠零风险！戴口罩！别扎推！】3月4日0时至12时，无新增确诊病例。截至3月4日12时，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例4例。各州市累计确诊病例：昆明市53例（治愈出院52例），昭通市25例（治愈出院25例），西双版纳州15例（治愈出院14例、死亡1例），玉溪市14例（治愈出院13例、死亡1例），曲靖市13例（治愈出院12例），大理州13例（治愈出院13例），保山市9例（治愈出院9例），红河州9例（治愈出院9例），丽江市7例（治愈出院7例），德宏州5例（治愈出院4例），普洱市4例（治愈出院4例），楚雄州4例（治愈出院4例），文山州2例（治愈出院2例），临沧市1例（治愈出院1例）。全省129个县市区均为低风险。
健康夏津,:2020年3月3日12时至24时，德州市无新增新型冠状病毒肺炎确诊病例。截至2020年3月3日24时，德州市累计报告确诊病例37例（含重症病例2例，出院病例21例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例1例，出院病例5例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1550人，其中已解除医学观察1529人，尚有21人正在接受医学观察。来源:德州市卫健委(XJCDC)
南阳城市广播,:【#31省区市新增119例新冠肺炎病例#其中#武汉新增114例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。来源：@央视新闻
湖州这点事,:【救武汉重症患者杭州专家远程会诊】近日，为救武汉一位重症患者，浙江省人民医院的医生在杭州用上5G技术远程会诊，这也是浙江省人民医院首次开启针对武汉病例的多学科会诊。2月19日，由浙江省人民医院172名医护人员组成的浙江省第五批援鄂医疗队抵达武汉，在经过三天多的培训和交接，开始接管武汉大学中南医院重症病房。http://t.cn/A67NIITV
期货日报V,:【国家卫健委：3月3日新增119例新冠肺炎确诊病例湖北新增115例】湖北新增确诊病例115例(武汉114例)，新增治愈出院病例2389例(武汉1859例)，新增死亡病例37例(武汉31例)，现有确诊病例25905例(武汉22368例)，其中重症病例6232例(武汉5723例)。http://t.cn/A67OHYli
期货日报网,:【国家卫健委：3月3日新增119例新冠肺炎确诊病例湖北新增115例】湖北新增确诊病例115例(武汉114例)，新增治愈出院病例2389例(武汉1859例)，新增死亡病例37例(武汉31例)，现有确诊病例25905例(武汉22368例)，其中重症病例6232例(武汉5723例)。http://t.cn/A67OHYli
CW春晚动新闻,:#咸宁加油，云南来了##我为云南医疗队打call#【无新增确诊病例！截至3月3日24时，湖北咸宁市累计报告确诊病例836例，已治愈出院759例】3月3日0时-24时，咸宁市新增新型冠状病毒肺炎病例0例。全市新增治愈出院10例，其中：赤壁5例，嘉鱼县2例，崇阳2例，咸安1例，通山0例，通城0例。新增病亡2例（咸安1例、赤壁1例）。截至3月3日24时，咸宁市累计报告新型冠状病毒肺炎病例836例，其中重症病例3例，危重病例4例，已治愈出院759例，其中：咸安287例，赤壁180例，嘉鱼107例，通山77例，通城54例，崇阳54例。病亡14例（赤壁5例，咸安4例，通城2例，崇阳2例，嘉鱼1例）。确诊病例中，咸安区311例，赤壁市200例，嘉鱼县116例，通山县84例，崇阳县67例，通城县58例。目前累计追踪到密切接触者14907人，已解除医学观察14258人，尚有280人正在接受医学观察。3月2日，咸宁市发热门诊共就诊322人，现存留观70人。咸宁市新型冠状病毒感染的肺炎防控指挥部办公室2020年3月4日http://t.cn/A67OyoH2
全球抢鲜播报,:【2020年3月4日浙江省新型冠状病毒肺炎疫情情况】2020年3月3日0-24时，浙江省无新增新型冠状病毒肺炎确诊病例，新增出院病例21例。其中：新增出院病例中，宁波市3例、温州市10例、台州市8例。截至3月3日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例6例（其中危重3例），累计死亡1例，累计出院1107例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市4例、嘉兴市1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市154例、温州市466例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市120例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41229人，当日解除医学观察71人，尚有597人正在接受医学观察。
郴州新闻网官方微博,:【郴州市疫情应急处置指挥部通报（3月4日）】2020年3月3日0-24时，郴州市报告新冠肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例1例。其中：新增出院病例中，永兴县1例。详情:郴州市疫情应急处置指挥部通报（3月4日）
猪猪的辣鸡菌儿想进前十,:话说会不会有人因为国外不给拍片子不给检测不给治疗而回国治疗呢这样又会被说成输入性病例但其实在国外不就等着拖成重症么
郑州新闻广播,:湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。
山东新华制药官方微博,:【2020年3月3日12时至24时山东省新型冠状病毒肺炎疫情情况】2020年3月3日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例6例，危重症病例2例，死亡病例6例）；无新增治愈出院病例，累计治愈出院511例。截至目前，追踪到密切接触者16970人，尚有489人正在接受医学观察。（备注：根据要求，按病例确诊时医院所在县区统计。）
王琦家20191101,:根据当地时间3月3日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2263例，死亡79例，治愈160例，累计确诊感染新冠病毒总人数为2502例，较3月2日18时新增466例，其中重症229例，新增27例死亡病例。长春·农安县
IrisQuan,【#新冠肺炎诊疗方案第七版#转存！】3日，国家卫生健康委发布《新型冠状病毒肺炎诊疗方案（试行第七版）》：①#提醒注意境外输入性病例#导致的传播和扩散；②呼吸道飞沫和接触传播是主要传播途径，在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境造成气溶胶或接触传播。详情↓http://t.cn/A67OJxCl
春华秋实种股票,:国外的确诊病例，其实都是重症病例，所以死亡率特别高。按照中国的标准，逆向推算。疫情在韩国，伊朗，意大利非常严重。德法应该已经蔓延，再不像中国一样强力控制，疫情的波及面会非常广。
周村新闻资讯,:【3日0至12时，淄博最年长确诊患者出院，累计治愈23例】2020年３月3日0时至12时山东省新型冠状病毒肺炎疫情情况通报2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治3日0至12时，淄博最年长确诊患者出院，累计治愈23例
石嘴山微报,:#众志成城战疫情#【3日新增确诊病例119例，出院2652例】国家卫健委通报截至3月3日24时新型冠状病毒肺炎疫情最新情况。3月3日0-24时，31个省(自治区、直辖市)和新疆生产建设兵团报告新增确诊病例119例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。#湖北以外新增病例4例##中国境外确诊病例超过1万#http://t.cn/A67OI1lK
三亚日报,:【国家卫健委：3月3日新增确诊病例119例累计确诊80270例】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。（国家卫生健康委员会）
南阳政法,:【截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。
沈阳地铁第一时间,:【#31省区市新增119例新冠肺炎病例#其中#武汉新增114例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
珍惜love天使,:上海今4例确诊病例痊愈出院，其中包括1例重症八旬老人。http://t.cn/A67ONl0e
曾都检察,:#湖北累计确诊新冠肺炎67332例#【#湖北新增115例新冠肺炎#】3月3日0—24时，湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。收起全文d
TIBET西藏旅游,:#新型冠状病毒##西藏##西藏旅行#截至3月3日24时，我区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续34天无新增确诊或疑似病例。
山东农业,:#山东新型肺炎疫情情况##众志成城抗击疫情#【2020年3月3日12时至24时山东省新型冠状病毒肺炎疫情情况】2020年3月3日12-24时，山东省无新冠肺炎疑似病例;无新增确诊病例，累计确诊病例758例(其中，重症病例6例，危重症病例2例，死亡病例6例);无新增治愈出院病例，累计治愈出院511例。截至目前，追踪到密切接触者16970人，尚有489人正在接受医学观察。
心空身尘2,❌疫情爆发❌意大利人也不戴口罩，也不用消毒水，也不闭门思过，认为戴口罩怪怪的，大街上戴口罩的大多是理性智慧的中国华人……
