新浪重庆,:#重庆抗击新冠肺炎#【最新：重庆连续8日无新增确诊病例现有在院确诊病例为零区县增至14个】2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。新增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县1例、巫山县1例、石柱县1例。截至3月3日24时，重庆市现有在院确诊病例80例（其中重型病例5例、危重型病例2例），累计死亡病例6例，累计治愈出院病例490例，累计报告确诊病例576例。累计追踪到密切接触者23602人，已解除医学观察23288人，尚有314人正在接受医学观察。具体情况如下：专家认为，截至3月3日，我市连续8日无新增确诊病例，现有在院确诊病例降至80例，现有在院确诊病例为零的区县增至14个，疫情发展态势积极向好。但是，零增长并不等于零风险。随着企业复工复产比例不断提高，来渝返渝人员包括境外来渝返渝人员不断增加，当前疫情防控形势依然严峻复杂，仍有很大的不确定性，面临着反弹压力，决不能盲目乐观，必须抓紧抓实抓细各项防控措施。重庆市卫生健康委提示：当前仍然是疫情防控的关键时期，广大市民千万不要放松警惕，依然要持续做好个人防护，坚持少出门、戴口罩、勤洗手、不聚餐、不聚集。如果出现发热、咳嗽、乏力等可疑症状，请戴好口罩，及时到发热门诊就诊。
九龙坡政务,#重庆市政府新闻发布会#【减税、降费、奖补、贴息，多举措支持企业复工复产和生产经营】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，市财政局总会计师彭涌通报了重庆疫情防控财政保障情况。截至昨日，全市财政共安排了21亿元。在推动企业复工复产和生产经营方面，对于企业的扶持，与财政相关的减税、降费、奖补和贴息政策，目前绝大部分都出台了具体的落地方案，正在快速推进。另外，减免养老、失业、工伤保险单位缴费，预计为全市参保企业减负100亿元。下一步，市财政局将更加注重与货币、就业、产业、金融等政策的协同发力，扶持实体经济，改善社会民生，扩大政府投资。
綦江日报社,:#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。
九龙坡政务,#重庆市政府新闻发布会#【“支持企业40条”真金白银，干货十足】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，“支持企业40条”有以下四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。二是针对性强。回应企业关切，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。三是受惠企业多。不仅覆盖疫情防控重点企业，还覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。四是含金量高。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。
綦江微发布,:#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。
九龙坡政务,#重庆市政府新闻发布会#【共克时艰，重庆推出增强版“支持企业40条”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，昨日市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施，系统性地整合梳理和补充完善前期的惠企政策，决定推出增强版的40条举措。40条举措主要包括：10条在加大金融支持强度方面的政策，，15条在加强财税纾困力度方面的政策，15条在降低生产经营成本方面的政策。通过“支持企业40条”，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。
綦江微发布,:#重庆市政府新闻发布会#【重庆企业复工复产水电气有哪些优惠？实行“三降低一减免”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，涉及企业复工复产水电气等的政策主要有“三降低一减免”。“三降低”，即降低用电的成本、降低用水的成本、降低用气的成本；“一减免”，即减免部分电费，预计可降低企业用电用水用气成本约14.5亿元。
綦江微发布,:#重庆市政府新闻发布会#【精准开展政策辅导，多举措确保政策落地】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，为保证政策的落实，市税务局主要做了以下几方面工作：●精准开展政策辅导。市税务局及时梳理了阶段性新政策，和现行有效老政策，发布了支持疫情防控的税费政策指引，编写了政策操作问答四期，通过电子税务局、12366纳税服务热线、微信、网站等向纳税人实时推送。●最大限度便利政策享受。除延期缴纳税款（属于行政许可）和中小困难企业申请房产税、城镇土地使用税减免（属于税收核准）这两项外，其它的政策都按照“纳税人自行判别、申报享受、相关资料留存备查”的方式办理。●持续加强政策效应分析。定点联系企业，分户确定税务联络员，市、区（县）两级税务机关分别组建定点联系企业团队，及时了解企业困难，跟踪分析评估各项税费政策执行效应，快速响应企业涉税诉求及意见建议。
綦江微发布,:#重庆市政府新闻发布会#【专项再贷款+专用再贷款，重庆两贷款政策“加持”助力复工复产】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场）。发布会上，人行重庆营管部副主任王江渝就人行重庆营管部牵头的两项再贷款政策作简要解读。一、疫情防控重点企业专项再贷款。专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息。二、专用再贷款政策。金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。支农再贷款的使用投向主要是支持脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域；支小再贷款的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。
綦江日报社,:#重庆市政府新闻发布会#【详解“支持企业40条”中融保增信政策这份具体说明请收好】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的融担增信政策的具体操作流作。一是可由以上企业向银行机构提出新增贷款或续贷申请，经办银行将符合条件的企业向各融资担保机构推送。二是各融资担保机构主动通过企业信息平台等渠道主动对接以上企业。三是在不违背内部风险控制的基础上，各融资担保机构开设“绿色通道”，实行优先受理、优先审批、优先担保，简化程序和手续，减少材料申报，缩短审批时限，加快办理效率，力争48小时内向银行出具保函。地方金融监管部门鼓励各融资担保机构对符合以上条件的企业做到应担尽担，并相应将担保费减免10%以上。
綦江微发布,:#重庆市政府新闻发布会#【详解“支持企业40条”中融保增信政策这份具体说明请收好】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的融担增信政策的具体操作流作。一是可由以上企业向银行机构提出新增贷款或续贷申请，经办银行将符合条件的企业向各融资担保机构推送。二是各融资担保机构主动通过企业信息平台等渠道主动对接以上企业。三是在不违背内部风险控制的基础上，各融资担保机构开设“绿色通道”，实行优先受理、优先审批、优先担保，简化程序和手续，减少材料申报，缩短审批时限，加快办理效率，力争48小时内向银行出具保函。地方金融监管部门鼓励各融资担保机构对符合以上条件的企业做到应担尽担，并相应将担保费减免10%以上。
綦江微发布,:#重庆市政府新闻发布会#【“支持企业40条”中续贷续保的政策，如何操作看这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的续贷续保政策的具体操作流作。●对于受疫情影响困难中小微企业（含个体工商户和小微企业主），可向贷款银行提出延期支付本金利息、免收罚息的申请，银行金融机构接到申请后，在平等协商、达成一致的前提下，双方按照《合同法》《商业银行法》完善相应的合同及协议等相关手续，即可办理，还本付息日期最长可延至2020年6月30日。●对于2020年6月30日前到期且单户贷款规模1000万元以下的困难小微企业（含个体工商户和小微企业主）可向原贷款银行提出申请，贷款本金最长可展期6个月，利息可最长可缓期6个月支付，展期期间不视为逾期贷款，也不应加收罚息。●对于在贷款时有融资担保公司提供担保的中小微企业，除了银行外，还需融资担保机构同步配合办理续保，才能实现展期续贷。企业（含个体工商户和小微企业主）通过经办银行提出申请，经银行机构审核同意后将符合条件的企业推送融资担保机构审核，各融资担保机构与企业共同完善续保法律文书，配合银行做好同步续保工作，并缓收担保费。
綦江日报社,:#重庆市政府新闻发布会#【@重庆中小微企业个体户，你们最关心的减免税等政策都在这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，“支持企业40条”中涉及税收政策有8条，分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。具体来看：减税：1、阶段性调低小规模纳税人征收率。2、房产税和城镇土地使用税困难减免。免税：1、对提供疫情防控重点保障物质运输收入免征增值税。2、对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。3、单位、个体工商户无偿捐赠免税。税前扣除：企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转：受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。延期缴纳：对受疫情影响不能按期申报缴纳税款的且符合条件的纳税人，可依法申请延期缴纳税款，但最长期限不超过3个月。
綦江微发布,:#重庆市政府新闻发布会#【@重庆中小微企业个体户，你们最关心的减免税等政策都在这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，“支持企业40条”中涉及税收政策有8条，分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。具体来看：减税：1、阶段性调低小规模纳税人征收率。2、房产税和城镇土地使用税困难减免。免税：1、对提供疫情防控重点保障物质运输收入免征增值税。2、对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。3、单位、个体工商户无偿捐赠免税。税前扣除：企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转：受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。延期缴纳：对受疫情影响不能按期申报缴纳税款的且符合条件的纳税人，可依法申请延期缴纳税款，但最长期限不超过3个月。
21世纪经济报道,:【576例患者出院率达81.4%，重庆是如何做到的？】重庆市卫生健康委副主任周林表示，到现在为止，完成了7例康复者的血浆采集用于重症患者的临床治疗，将硫酸羟氯喹片用于新冠肺炎确诊患者，取得了良好的效果。中医药全程参与，救治成效显著，开展了ECMO、人工肾等技术，成功挽救了多名危重患者。详见：http://t.cn/A67Nl830
重庆发布,:#重庆市政府新闻发布会#【“湖北所需、重庆所能”，全力支援湖北抗击新冠肺炎】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍了重庆支援湖北的相关情况。人员方面。重庆有18批1636名队员支援湖北，其中812名队员在孝感。除此，武汉、荆门、天门等地都有重庆的队员。物资方面。市卫健委向医疗队员调拨医疗物资24.44万件，生活物资有12.41万件，向湖北孝感紧急支援了ECMO等关键设备。调集重庆的爱心血液52.35万毫升。
澜薇飞翔,:#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】邓中梅【年龄】56【所在城市】四川广安【所在小区、社区】溪口镇【患病时间】2018年12月底【联系方式】177134528205【其他紧急联系人】15700519934【病情描述我的妈妈18年底检查出宫颈癌，我们立即奔赴重庆市附属肿瘤医院，二次复查，再次告知是宫颈癌中期了，当时检查的医院说医院正在装修无法手术，我们又赶紧返回广安当时就很危险了，就马上在广安动了手术，今年宫颈癌复发，我们又去了重庆附属肿瘤医院检查，医生说需要2次手术，现在因为新冠的出现，医院大排长龙，无法住院，无法手术，而妈妈病情急需手术，我们问遍周围亲戚朋友，都没有熟人，真的是没有办法了！各位好心人氏，求求您们，有熟人在重庆附属肿瘤医院的帮帮我吧
重庆发布,:#重庆市政府新闻发布会#【重庆企业复工复产水电气有哪些优惠？实行“三降低一减免”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，涉及企业复工复产水电气等的政策主要有“三降低一减免”。“三降低”，即降低用电的成本、降低用水的成本、降低用气的成本；“一减免”，即减免部分电费，预计可降低企业用电用水用气成本约14.5亿元。
大英人廖禄强在重庆,#重庆警事#【民警与出租司机合力救回跳江女子】3月1日深夜，重庆出租车司机尹金强报警称接到一位有轻生念头的女乘客，并在其跳江的危急时刻抓住其肩膀。朝天门派出所民警第一时间赶到现场，经过努力将女子安全救回，警方联系到女子家人将其安全带回。蜀黍提醒：生命可贵，遇事请冷静对待，切勿做出轻生等过激行为。
重庆法制报,:【市税务局：“点对点”远程跟踪服务助推企业复工复产】在今日下午的重庆市新冠肺炎疫情防控工作新闻发布会上，市税务局副局长姚朝智介绍了如何保障减、免、缓方面支持企业复工复产方面政策的落实。姚朝智介绍，一般情况下，检验一项政策是否落地见效，主要看三点：看政策辅导是否到位、政策享受是否便利、政策效益是否达到了目的。为此，税务部门将从以下几个方面来确保政策的落地生根。“一是精准开展政策辅导，为便于纳税人及时准确地掌握和享受各项税收优惠政策，我们及时梳理集成了与疫情防控和复工复产有关的阶段性新政策，和现行有效的包括2019年国家实施的大规模减税降费政策在内的持续性的老政策。”姚朝智说，及时发布了支持疫情防控的税费政策指引，编写了政策操作问答四期，通过电子税务局、12366纳税服务热线、微信、网站等向纳税人实时推送，让纳税人早知晓、早熟悉、早享受。同时，对于复工的企业实行精准送政策上门，主动提供个性服务，辅导企业懂政策、会申报，进一步加快这些政策的落地。对准备复工的企业，主动对接企业涉税的需求，帮助企业解决这些问题，支持企业尽快恢复正常的生产经营。还利用税收大数据，筛选出符合条件的纳税人，通过远程开展一对一的疫情防控政策辅导，比如从全市近16万户的增值税一般纳税人当中，筛选出可能符合享受优惠条件的将近15000户纳税人，要求各主管税务机关立即对这些企业组织开展“一对一”的辅导，帮助纳税人应知尽知、应享尽享，积极应对疫情的影响。二是最大限度便利政策享受。姚朝智说，在这些政策措施中，除延期缴纳税款（属于行政许可）和中小困难企业申请房产税、城镇土地使用税减免（属于税收核准）这两项外，其它的政策都按照“纳税人自行判别、申报享受、相关资料留存备查”的方式办理。姚朝智举例说，重庆两江某公共交通公司受疫情影响较为严重，1月份营运成本仅防疫物资就增长至50万元，而2月上半月的营运收入同比就减少90%，该公司在申报缴纳1月份增值税时，自行判断后通过电子税务局申报，立即享受了108万元的增值税免税优惠政策。“在具体办理过程中，我们最大限度精简核准资料、简化流程、实行容缺办理，进一步为纳税人缴费人提供便捷。”姚朝智介绍，如纳税人在享受捐赠扣除政策时，可凭承担疫情防治任务的医院开具的捐赠接收函办理税前扣除事宜。纳税人办理房产税、土地使用税困难减免时，申报资料由原来的7项减为3项，并实施集中受理、集中研究、集中核准，确保纳税人应享尽享。三是持续加强政策效应分析。姚朝智介绍，从全市各行各业中选取900户典型代表企业作为税务部门的定点联系企业，分户确定税务联络员，市、区（县）两级税务机关分别组建定点联系企业团队，及时了解企业复工复产和生产经营面临的主要困难，跟踪分析评估各项税费政策执行效应，快速响应企业涉税诉求及意见建议。还通过系统整理分析、“点对点”远程跟踪服务，对标对表分析政策效应，全面、准确、快速了解和掌握疫情对市场主体的影响，及时研究应对措施，助推企业复工复产，帮助企业渡过生产经营难关。
重庆法制报,:【受疫情影响企业可依法申请延期缴税】在今天的重庆市新冠肺炎疫情防控工作新闻发布会上，市税务局副局长姚朝智解读了重庆“支持企业40条”中涉及的8条税收政策。姚朝智介绍，8条税收政策分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。阶段性调低小规模纳税人征收率姚朝智介绍，在减税方面，重庆将阶段性调低小规模纳税人征收率。2020年3月1日至2020年5月31日，全市增值税小规模纳税人，适用3%征收率的应税销售收入，减按1%征收率征收增值税；原适用3%预征率的预缴增值税项目，减按1%预征率预缴增值税。同时，将实施房产税和城镇土地使用税困难减免。因疫情原因，导致正常生产经营活动受到严重影响，缴纳房产税和城镇土地使用税确有困难的中小企业，可提出申请报主管税务机关核准，给予3个月的税收减免。单位、个体工商户无偿捐赠免税“免税方面有三条政策。”姚朝智介绍，一是对提供疫情防控重点保障物质运输收入免征增值税。自2020年1月1日起，对纳税人运输疫情防控重点保障物资取得的收入，免征增值税、城市维护建设税、教育费附加、地方教育附加。疫情防控重点保障物资的具体范围，由国家发展改革委、工业和信息化部确定。二是对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。同时免征城市维护建设税、教育费附加、地方教育附加。公共交通运输服务的具体范围，包括轮客渡、公交客运、地铁、城市轻轨、出租车、长途客运、班车等。生活服务包括文化体育、教育医疗、旅游娱乐、餐饮住宿、居民日常服务和其他生活服务。收派服务，主要是指接受寄件人委托，在承诺的时限内完成函件和包裹的收件、分拣、派送服务的业务活动。三是单位、个体工商户无偿捐赠免税。单位、个体工商户将自产、委托加工或购买的货物，通过公益性社会组织和县级以上人民政府及其部门等国家机关，或直接向承担疫情防治任务的医院，无偿捐赠用于应对新冠肺炎疫情的，免征增值税、消费税、城市维护建设税、教育费附加、地方教育附加。受疫情影响可依法申请延期缴税在税前扣除方面，姚朝智介绍，企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠，用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转方面，受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。姚朝智介绍，延期缴纳方面，对受疫情影响不能按期申报缴纳税款的，可依法申请延期缴纳税款，但最长期限不超过3个月。纳税人必须符合以下两种情形之一，方可申请延期缴纳税款：一是因不可抗力，导致纳税人发生较大损失，正常生产经营活动受到较大影响的；二是当期货币资金在扣除应付职工工资、社会保险费后，不足以缴纳税款的。（记者杨雪）
万州发布,:#重庆市政府新闻发布会#【详解“支持企业40条”中融保增信政策这份具体说明请收好】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的融担增信政策的具体操作流作。一是可由以上企业向银行机构提出新增贷款或续贷申请，经办银行将符合条件的企业向各融资担保机构推送。二是各融资担保机构主动通过企业信息平台等渠道主动对接以上企业。三是在不违背内部风险控制的基础上，各融资担保机构开设“绿色通道”，实行优先受理、优先审批、优先担保，简化程序和手续，减少材料申报，缩短审批时限，加快办理效率，力争48小时内向银行出具保函。地方金融监管部门鼓励各融资担保机构对符合以上条件的企业做到应担尽担，并相应将担保费减免10%以上。
今日合川,#重庆市政府新闻发布会#【专项再贷款+专用再贷款，重庆两贷款政策“加持”助力复工复产】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场）。发布会上，人行重庆营管部副主任王江渝就人行重庆营管部牵头的两项再贷款政策作简要解读。一、疫情防控重点企业专项再贷款。专项再贷款，用于支持金融机构向相关直接参与防疫的重点医用物品和生活物资的生产、运输和销售的重点企业提供优惠利率信贷支持。专项再贷款执行优惠利率，目前为1.55%，并相应要求银行向重点企业发放的贷款利率不得高于最近一期一年期LPR减100个基点（目前为3.05%），同时财政给予50%的贴息。二、专用再贷款政策。金融机构使用再贷款专用额度贷款利率上限为最近的一年期LPR加50个基点，目前为4.55%。支农再贷款的使用投向主要是支持脱贫攻坚、春耕备耕、养猪等禽畜养殖、县域小微企业复工复产等领域；运用支小再贷款专用额度的资金投向用途为普惠小微企业贷款，重点支持受疫情影响较大的外贸、制造业、旅游娱乐、住宿餐饮、交通运输等行业的小微企业和个体工商户。
万州发布,:#重庆市政府新闻发布会#【“支持企业40条”中续贷续保的政策，如何操作看这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的续贷续保政策的具体操作流作。●对于受疫情影响困难中小微企业（含个体工商户和小微企业主），可向贷款银行提出延期支付本金利息、免收罚息的申请，银行金融机构接到申请后，在平等协商、达成一致的前提下，双方按照《合同法》《商业银行法》完善相应的合同及协议等相关手续，即可办理，还本付息日期最长可延至2020年6月30日。●对于2020年6月30日前到期且单户贷款规模1000万元以下的困难小微企业（含个体工商户和小微企业主）可向原贷款银行提出申请，贷款本金最长可展期6个月，利息可最长可缓期6个月支付，展期期间不视为逾期贷款，也不应加收罚息。●对于在贷款时有融资担保公司提供担保的中小微企业，除了银行外，还需融资担保机构同步配合办理续保，才能实现展期续贷。企业（含个体工商户和小微企业主）通过经办银行提出申请，经银行机构审核同意后将符合条件的企业推送融资担保机构审核，各融资担保机构与企业共同完善续保法律文书，配合银行做好同步续保工作，并缓收担保费。
今日合川,#重庆市政府新闻发布会#【“支持企业40条”中续贷续保的政策，如何操作看这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，金融监管局副局长金勇杰介绍了“支持企业40条”中的续贷续保政策的具体操作流作。●对于受疫情影响困难中小微企业（含个体工商户和小微企业主），可向贷款银行提出延期支付本金利息、免收罚息的申请，银行金融机构接到申请后，在平等协商、达成一致的前提下，双方按照《合同法》《商业银行法》完善相应的合同及协议等相关手续，即可办理，还本付息日期最长可延至2020年6月30日。●对于2020年6月30日前到期且单户贷款规模1000万元以下的困难小微企业（含个体工商户和小微企业主）可向原贷款银行提出申请，贷款本金最长可展期6个月，利息可最长可缓期6个月支付，展期期间不视为逾期贷款，也不应加收罚息。●对于在贷款时有融资担保公司提供担保的中小微企业，除了银行外，还需融资担保机构同步配合办理续保，才能实现展期续贷。企业（含个体工商户和小微企业主）通过经办银行提出申请，经银行机构审核同意后将符合条件的企业推送融资担保机构审核，各融资担保机构与企业共同完善续保法律文书，配合银行做好同步续保工作，并缓收担保费。
今日合川,#重庆市政府新闻发布会#【@重庆中小微企业个体户，你们最关心的减免税等政策都在这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市税务局副局长姚朝智介绍，“支持企业40条”中涉及税收政策有8条，分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。具体来看：减税：1、阶段性调低小规模纳税人征收率。2、房产税和城镇土地使用税困难减免。免税：1、对提供疫情防控重点保障物质运输收入免征增值税。2、对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。3、单位、个体工商户无偿捐赠免税。税前扣除：企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转：受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。延期缴纳：对受疫情影响不能按期申报缴纳税款的且符合条件的纳税人，可依法申请延期缴纳税款，但最长期限不超过3个月。
今日合川,#重庆市政府新闻发布会#【减税、降费、奖补、贴息，多举措支持企业复工复产和生产经营】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，市财政局总会计师彭涌通报了重庆疫情防控财政保障情况。截至昨日，全市财政共安排了21亿元。在推动企业复工复产和生产经营方面，对于企业的扶持，与财政相关的减税、降费、奖补和贴息政策，目前绝大部分都出台了具体的落地方案，正在快速推进。另外，减免养老、失业、工伤保险单位缴费，预计为全市参保企业减负100亿元。下一步，市财政局将更加注重与货币、就业、产业、金融等政策的协同发力，扶持实体经济，改善社会民生，扩大政府投资。
万州发布,:#重庆市政府新闻发布会#【@重庆中小微企业个体户，你们最关心的减免税等政策都在这里】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，市税务局副局长姚朝智介绍，“支持企业40条”中涉及税收政策有8条，分别体现在减税、免税、缓税、税前扣除、亏损结转等五个方面。具体来看：减税：1、阶段性调低小规模纳税人征收率。2、房产税和城镇土地使用税困难减免。免税：1、对提供疫情防控重点保障物质运输收入免征增值税。2、对提供公共交通运输服务、生活服务，以及为居民提供必需生活物资快递收派服务取得的收入，免征增值税。3、单位、个体工商户无偿捐赠免税。税前扣除：企业通过公益性社会组织或县级以上人民政府及其部门等国家机关，捐赠用于应对新冠肺炎疫情的现金和物品，或直接向承担疫情防治任务的医院捐赠用于应对新冠肺炎疫情的物品，允许在计算应纳税所得额时全额扣除，不受年度利润总额12%的限制。亏损结转：受疫情影响较大的交通运输、餐饮、住宿、旅游及其相关服务的四大类行业困难企业2020年度发生的亏损，最长结转年限由5年延长至8年。延期缴纳：对受疫情影响不能按期申报缴纳税款的且符合条件的纳税人，可依法申请延期缴纳税款，但最长期限不超过3个月。
