三秦都市报,:【阿念：我#转院去火神山医院陪外婆#
湖南省肿瘤医院微博,:时间很快，在黄冈大别山医疗区湖南重症医学科上班一周了。使命在肩，不敢懈怠！和疫情较量，和时间赛跑。第一天上班就见证并经历了生死时速的一幕，念念不忘……那天，护士长在群里说需要人去帮忙整理内围用物，我立即报名并提前到达科室。在穿好防护服进入内围，刚准备帮忙补充治疗车用物时，听到一个病房有工作人员紧急呼叫医生。医生在交班，我便快速跑过去通知了医生，并帮忙推着抢救车进去了。所有医务人员正在全力实施抢救，我也投入“战斗”，负责记录和报告仪器上的数值，分工有序，有的负责遵医嘱抽药，有的负责胸外心脏按压，有的负责开医嘱……业务非常地娴熟与专业。那一刻，虽然都来自不同地方、不同的医院、不同的科室，穿着防护服谁也不认识谁，然而，相互配合非常默契，让我感受到团队作战的强大力量。那天的班，我一刻也没有停歇，可是不觉得累。看到大家身上都穿了2-3层，有的甚至4层防护服，随便动动就胸闷、呼吸困难，护目镜片上的水珠不断地往下滴，却没有一个人退缩，更没有人唠叨，各自做好工作的同时，只要有需要，立即就会有人上前给予帮助。下班了，缓冲间门口排起了长队，大家都相互谦让着。等我换好衣服出来已经凌晨了。整个人感觉快虚脱了，饥饿感袭来，喉咙里冒着烟，衣服黏在身上。回去的路上不断思考，还有哪里没有做好，要如何改进。翻开朋友圈，映入眼帘的是大家的经验总结和相互鼓励，仿佛一支“强心剂”，让我充满了战斗的激情和力量！----记录人：湖南援黄冈第三批医疗队、湖南省肿瘤医院妇瘤二科护士付洋
经济日报,:#疫情动态#【湖北省重症、危重症患者从最高峰的11246例下降到6539例】在回答经济日报记者提问时，湖北省卫生健康委员会副主任涂远超表示，目前，湖北省重症、危重症患者从最高峰的11246例下降到6539例，取得了一定的成效。湖北省重点推进了以下工作：一是整合医疗力量。统筹安排最好的医院、专家、医生，总结推广有效的经验。二是用好医疗资源。目前，湖北省聚集了国内顶尖的专家院士团队，4万多名支援的医护工作者。三是开展有针对性的救治。统筹国家和省级专家，多种方式指导市州重症、危重症患者救治，制定一对一的救治方案。四是发挥远程医疗作用，安排专家24小时在线，对重症患者进行远程会诊。五是关口前移。增强方舱医院和集中隔离点的医疗救治作用。“当前，救治工作的压力依然很大，挑战也很大，一刻也不能放松。”涂远超说。（记者常理）http://t.cn/A67N4Sw0
温江公平街道,:【放弃蜜月旅行她进入新冠肺炎重症病房】自新冠肺炎疫情阻击战打响以来，广大医务工作者用行动展现了“最美逆行者”的身影，各医院基层党员以“冲锋在前、不惧艰难”的实际行动践行共产党员的初心和使命，充分发挥了先锋模范作用。放弃蜜月旅行她进入新冠肺炎重症病房
桂林纪检监察,:#抗疫情桂林纪检监察在行动#【#基层好干部#|唐慧京：逆光而行援鄂战“疫”一线写担当】“在家里，我是孩子的母亲，但换上白衣之后，我是医生。这场没有硝烟的战争，我们就是战士!”她，就是桂林医学院第二附属医院重症医学科的医生唐慧京。唐慧京从桂林医学院临床医学系毕业后，毫不犹豫的选择了重症医学科(ICU)。这是一个与死神搏斗的科室，抢救起病人来没日没夜，几乎每天都见证生离死别，对医生的专业技能和心理素质都是极大的考验，但唐慧京一呆就是十多年。1月27日下午，她随桂林首批援鄂抗疫医疗队宣誓出征，连夜奔赴湖北武汉，驰援疫情第一线。详情请点击http://t.cn/A67NzUEM
湖北日报,:#湖北发布会#【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】3月3日，在湖北举行的新闻发布会上，湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者；#疫情增量风险仍未根本控制#；疫情防控在老旧社区、特殊场所还有薄弱环节…（人民日报）http://t.cn/A67NvF2i
小议国事,:有三个信息要关注：1.国家掏钱。截至3月2日，各级财政安排的疫情防控资金已经达到1087.5亿元。这是直接出的钱，不包含损失。2.中医治疗。从临床实践来看，中医治疗不但对新型冠状病毒肺炎轻症患者起作用，还对重症患者起作用。3.紧急行政权。这是一个宪法行政法领域的概念，权力源于宪法对紧急状态的规定，以及立法的授权。至于，紧急行政权的具体内容和权力边界，还需要进一步深入讨论。
德州热门,:#德州热门[超话]#【3月3日0时至12时德州市无新增新型冠状病毒肺炎确诊病例，新增出院病例3例】截至2020年3月3日12时，德州市累计报告确诊病例37例（含重症病例3例，出院病例21例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例5例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。
界面新闻,:【疫情里的武汉血友病患者：全额垫付用药费用，或面临致残风险】“血友病也是重症病种里面的，为什么不给我们一个（报销）的明确说法？病友全额去开药，经济根本受不了。家属不能复工，又要生活又药用药。”黄屹洲说。他是湖北的血友病患者。疫情期间湖北血友病患者用药和报销都受到了严重的影响。http://t.cn/A67CuFzE
开封市场监管,:#钟南山庄严领誓#【广东援助湖北一线医护火线入党，#55年党龄钟南山院士庄严领誓#】3月2日，在拥有55年党龄的钟南山院士带领下，两名新发展的预备党员面对党旗庄严宣誓。他们是广州医科大学附属第一医院重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤，至今仍奋战在抗疫一线。此次“火线入党”宣誓连接着粤鄂两地，采用远程视频的形式。http://t.cn/A67oijGs来源：南方都市报
武汉同城,:#万众一心抗击新冠肺炎#【战疫一线群英谱：火神山ICU里的“硬核”护士长】武汉火神山医院重症医学一科护士长陈静，被网友称为“硬核护士长”。严厉、唠叨、苛刻、事无巨细，这样的个性，患者和同事不仅没有责怪，而且非常称赞。“硬核”背后其实是“硬仗”，搬运、巡视、叮嘱、协调、实操，从来到火神山医院的第一天起，陈静就像这样时刻盯着重症监护室的人和事情，不敢有丝毫懈怠。http://t.cn/A67C21DY
湖州直通车,:【怀孕八个月的妻子给前线丈夫写去一封家书】在疫情期间，所有在一线的人都有有一个共同的名字——“逆行者”。在他们每一个人背后，都是一个个平凡而无私的家庭。青岛市中心医院重症监护室护师张学鹏已经在湖北黄冈抗击疫情一个月了，他怀孕8个月的妻子王倩是一名产科护士，也一直坚守在医护岗位上。最近，王倩给自己的丈夫写去了一封家书......http://t.cn/A67a8cFl
信息日报,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。（人民日报）
永嘉小蜜,:2020年3月2日0-24时，温州市无新增新型冠状病毒肺炎确诊病例，无新增死亡病例，新增出院病例9例。其中：新增出院病例中，鹿城区1例、龙湾区1例、瓯海区1例、乐清市3例、永嘉县1例、文成县2例。截至3月2日24时，温州市累计报告新型冠状病毒肺炎确诊病例504例，现有重症病例5例，累计死亡1例，累计出院456例。其中：确诊病例中，鹿城区68例、龙湾区18例、瓯海区36例、洞头区5例、乐清市170例、瑞安市74例、永嘉县52例、文成县11例、平阳县30例、泰顺县20例、苍南县9例、龙港市9例、瓯江口产业集聚区1例、浙南产业集聚区1例；现有重症病例中，鹿城区2例、乐清市3例；死亡病例中，永嘉县1例；出院病例中，鹿城区57例、龙湾区17例、瓯海区34例、洞头区4例、乐清市158例、瑞安市71例、永嘉县47例、文成县9例、平阳县25例、泰顺县16例、苍南县8例、龙港市8例、瓯江口产业集聚区1例、浙南产业集聚区1例。目前，全市共追踪到密切接触者14628人，当日解除医学观察26人，累计解除医学观察14325人，尚有36人正在接受医学观察。来源：温州市新型冠状病毒肺炎疫情防控工作领导小组
大河健康报,:#河南新冠疫情速报#【截至3月2日24时无新确诊病例出院18例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
85号特种兵,:#新冠肺炎患者的肺和SARS患者的区别#区别都知道，但是不要放松，防控措施一定要做好
suiunn,【#日本新冠肺炎治疗方案#：不满50岁患者多能自愈，未必用抗病毒药】#周刊君与你共同战疫#3月2日，日本感染症学会日前公布了新型冠状病毒疾病治疗方案，其中主张，由于不满50岁的患者多数能够自愈，不一定需要用抗病毒药进行治疗，仅采取对症疗法等持续观察即可。上述报道称，新冠肺炎尚无特效药，但由于50岁以上的患者很可能出现呼吸衰竭，发生血液中含氧量不足的“低血氧症”时将考虑使用抗病毒药。@七环视频http://t.cn/A67o51o8
掌印给事中,纽约市长：80%都能自愈没必要去医院青蜂侠Bee的秒拍视频
嘉兴人论坛,:#嘉兴身边事#【详情来了！嘉兴连续12日无新增，尚有28人正在接受医学观察】2020年3月2日0-24时，嘉兴市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，嘉兴市累计新型冠状病毒肺炎确诊病例45例，重症病例1例，累计出院41例。确诊病例中，南湖区8例、秀洲区15例、经开区2例、嘉善县6例、平湖市4例、海盐县1例、海宁市4例、桐乡市5例。全市共追踪到密切接触者1433人，尚有28人正在接受医学观察。专家提醒：疫情还没结束，千万不能松懈。继续戴口罩、勤洗手、勤通风。下班后或休息时间，个人和家庭要做到不串门、不聚会、不聚餐。如有发热、呼吸道感染症状，特别是持续发热不退，要及时到医疗机构发热门诊就诊。#嘉兴百姓话题#@嘉兴慧眼看楼http://t.cn/RJZAOjm
邵阳共青团,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。http://t.cn/A679cIh7
松兰有雪,:#新冠肺炎重症患者死亡率超过50%#所以轻症患者不要想着熬一熬等自愈，一旦拖成重症，就要考虑后面的病危了。
893音乐广播,:【#意大利新增342例新冠肺炎#，#意大利累计确诊2036例新冠肺炎#】根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。（人民日报记者韩硕）
偏爱-KUN,:#新冠肺炎重症患者死亡率超过50%#一定会过去的，一起加油
谦卑的小凯1986,:#腾讯新闻#病毒猎人｜埃博拉病毒重症感染者自述虽然侥幸治愈但后遗症无穷病毒猎人｜埃博拉病毒重症感染者自述虽然侥幸治愈但后遗症无穷#来自@腾讯新闻
FM999,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！来源：央视新闻http://t.cn/A676BnWg
谦卑的小凯1986,:#腾讯新闻#病毒猎人｜埃博拉病毒重症感染者自述虽然侥幸治愈但后遗症无穷病毒猎人｜埃博拉病毒重症感染者自述虽然侥幸治愈但后遗症无穷#来自@腾讯新闻
FM999,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！来源：央视新闻http://t.cn/A676BnWg
球长99,:#意大利累计确诊2036例新冠肺炎#是重症2036例吧...中山
文明宁夏,:【张文宏：注射血浆患者立刻康复？那是电影！】谈到血浆疗法，上海新冠肺炎专家治疗组组长张文宏表示，重症病人用了恢复期血浆以后，可以促进病毒转阴。但血浆疗法并非立竿见影，“不会有电影里的那种情形。输入康复期血浆后，病人就神奇地恢复，这是不可能的。现在我们不靠神药，对于重症病人的救治，我们靠的是所有力量一起努力。”@央视新闻http://t.cn/A67fVf7f
泸州酒城新报,:【世卫组织：#新冠肺炎重症患者死亡率超过50%#】世卫组织指出，大约80%患者症状较轻，14%左右发展为严重疾病，5%左右属于重症病例。早期研究显示，感染后的严重程度和患者的年龄以及是否患有基础性疾病有关。对于重症患者，氧气治疗是主要的治疗手段，所有国家都应该完善脉搏血氧仪和医用氧气系统的可用性。世卫组织指出，重症患者的死亡率超过50%，因此应优化现行的重症患者治疗措施，如肺保护性通气。世卫组织报告指出，目前尚无针对冠状病毒病（COVID-19）的有效治疗方法，因此世卫组织和研发蓝图（R&DBlueprint）目前将研究治疗方案为优先事项。
Pluto·桃笙,:#新冠肺炎患者的肺和SARS患者的区别#区别都知道，但是不要放松，防控措施一定要做好
好好工作早回国,:#纽约首例患者未在医院治疗#州长说，80%的人会自愈，不用住院。。。意思就是说，这80%随便去感染那容易重症的20%，我们只负责救治重症，不负责控制传播。。。American·NewJerseyHudson
沈阳出版社,:发布了头条文章：《【战"疫"正前方】贾佳战地日记（3月1日）》贾佳，中国医科大学附属盛京医院重症科医生，辽宁省第二批驰援湖北医疗队副队长。2月2日，贾佳医生从沈阳到达武汉后，立即投入战“疫”一线。利用换班间隙，贾佳医生写下了“战地日记“。即日起，沈阳出版社将携手中国医科大学附属盛京医院，陆续发布贾佳医生从前线发回的日记。并将持续更新。图文供稿：贾佳（中国医科大学附属盛京医院）http://t.cn/A679M4Zx
作家李召军,:火神山重症医学一科闯进一个中老年人，不但没有穿戴任何防护装备，连基本的口罩都没有戴
智胜东方朔,:世卫组织：新冠肺炎重症患者死亡率超过50%――截至3月1日24时，全国32652例现存确诊病例中，7110例属于重症或危重症病例，占比接近22%，略高于前一个周末(20%)同期水平。世卫组织：新冠肺炎重症患者死亡率超过50%
遵义政务微博,:【贵州首批“抗疫”血浆已用于临床救治】3月2日，按照贵州省新冠肺炎康复者恢复期血浆治疗重症、危重症患者医疗专家组的意见，省血液中心前期采集的首批新冠肺炎康复者恢复期血浆安全运抵省将军山医院并用于临床救治。当天，省血液中心得知省将军山医院有新冠肺炎感染患者需要输注A型血浆200ml的消息后，立即按规定流程组织协调，并将已采集的第一批康复者恢复期血浆送到将军山医院输血科。医院已于当天23:40输入收治的新冠肺炎患者体内，开展康复治疗。据悉，截至目前，省血液中心已于2月24日和28日顺利完成2例新冠肺炎康复者恢复期血浆采集，共计800毫升。下一步，省血液中心将继续采集新冠肺炎康复者恢复期血浆。省血液中心再次呼吁，希望能有更多的治愈康复者志愿捐献恢复期血浆，用于新冠肺炎重症、危重症患者的治疗。（贵州综合广播黄小胜）
益阳共青团,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。http://t.cn/A679cIh7
蒲江史志,:【多国疫情升级，世卫给出10项预防建议】①清洁双手可降低病毒传播风险；②定期用消毒剂清洁物品表面；③自学新冠肺炎相关知识；④发烧或咳嗽期应避免旅行；⑤咳嗽或打喷嚏时用衣袖遮挡或使用纸巾；⑥有基础疾病者，感染后出现重症的风险可能更高；⑦一旦感觉不舒服，请待在家中并打电话给医生；⑧生病时，吃饭和睡觉与家人分开；⑨如出现呼吸急促，应立即就医
衡阳资讯聚焦,:#衡阳防控新型肺炎#【3月2日衡阳市新冠肺炎疫情情况】一、疫情基本情况2020年3月2日0-24时，衡阳市报告新冠肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例2例。截至3月2日24时，衡阳市累计报告新冠肺炎确诊病例48例，累计报告重症病例10例，现有重症病例0例，死亡病例0例，出院病例48例，在院治疗0例。其中：确诊病例中，衡山县8例、耒阳市7例、衡南县7例、蒸湘区6例、祁东县6例、衡阳县5例、衡东县5例、石鼓区1例、常宁市1例、珠晖区1例、雁峰区1例。出院病例中，衡山县8例、耒阳市7例、衡南县7例、蒸湘区6例、祁东县6例、衡阳县5例、衡东县5例、石鼓区1例、常宁市1例、珠晖区1例、雁峰区1例。目前追踪到密切接触者2549人，已解除医学观察2544人，尚有5人正在接受医学观察。
儿科医生林刚曦,稍微有点常识的人都知道，看呼吸道传染病的医生自己必须戴口罩，否则就是裸奔。当年的义和团号称吃了药，神功护体，刀枪不入，很多不明真相的人信了。最后，在真正的枪炮面前成了炮灰。那个裸奔的游医，不过是没有见过重病人罢了。这种挑战基本常识的人，成为神仙是迟早的事。那么多大牌的医生都牺牲在里面。在ICU里面都是在负压病房里面带着正压头套，这种顶级的配置都会出问题，游医居然宣称自己用了药给人看病不用戴口罩。http://t.cn/A67oz1H0
跳跳龙沉迷古3不想上班,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
人民日报传媒海南,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！（央视新闻）（ZMM）http://t.cn/A676BnWg
腾讯新闻,:【新冠肺炎危重患者救治视频曝光：9名医护为插满管的患者翻身】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，一起用力将插满管子的患者从仰卧转为俯卧。新冠肺炎危重患者救治视频曝光：9名医护为插满管的患者翻身
杭州最热门,:【#杭州连续12天无新增#，专家提醒：防控意识不能放松】2020年3月2日0-24时，全市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。目前无重症病例，其余病例病情均稳定。专家提醒：我省疫情防控应急响应等级调整，但防控意识不能放松。当前境外部分国家疫情正处于上升期，疫情防控风险仍然较大，无论您身处国内或境外，居家是最好的防护。#浙江新型冠状病毒肺炎#via@杭州日报
武侯发布,:【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
河南大学国际教育学院团委,:【截至3月2日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。（河南省卫生健康委官网）转自@新浪河南
回连空间,【暖心又可爱！#重症监护室大管家陈静#
青岛新闻广播FM1076,:半岛网5分钟前来自微博weibo.com【山东无新增确诊病例青岛累计治愈出院58例】2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。
抚州南城发布,:【广东援鄂一线医护火线入党，#55年党龄钟南山院士庄严领誓#】2日下午，广州医科大学附属第一医院党委举行粤鄂远程视频连线，为坚持奋战在抗疫一线的重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤两名同志举行“火线入党”宣誓仪式。当日，钟南山院士庄严领誓。http://t.cn/A679w2H0
潍坊市人民检察院,:【广东援鄂一线医护火线入党，#55年党龄钟南山院士庄严领誓#】2日下午，广州医科大学附属第一医院党委举行粤鄂远程视频连线，为坚持奋战在抗疫一线的重症医学科副主任医师徐永昊、内分泌科驰援武汉汉口医院护士李颖贤两名同志举行“火线入党”宣誓仪式。当日，钟南山院士庄严领誓。http://t.cn/A67oijGs（来源：人民日报）
FM999,:#健康发布#【截至3月2日24时新型冠状病毒肺炎疫情最新情况】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（信息来自国家卫生健康委员会官方网站）
安庆师大马院团总支学生会,:#新闻速递#【每日疫情更新！】截至3月3日10点32分，全国累计确诊80302例新冠肺炎，累计死亡2947例，累计治愈47261例，现存确诊30094例，现有重症6806例。持续关注！
大江网萍乡频道万炳全,:#萍乡新闻快报#【重症患者家属发来两千元感谢“红包”他坚决拒收（图）】近日，赣西医院急诊科主任汤红伟收到了一位患者家属发来的两千元微信红包，他没有点开红包，只是简单的回了一句话：“这是我们应该做的，谢谢！”简简单单一句话说出了无数医务工作者的心声。http://t.cn/A679ISgz@萍乡发布@萍乡同城@看萍乡@文明江西@江西发布
紫黑都是孤儿废物,#新冠肺炎患者的肺和SARS患者的区别#反正都很严重，对普通人来说其实只有危险不危险才有感觉#新冠肺炎重症患者死亡率超过50%#川普当初可是信誓旦旦地说他们能控制
铜仁发布,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！http://t.cn/A676BnWg#31省区市新增125例新冠肺炎#
新浪山东头条,:#山东3市新冠肺炎病例清零#【泰安聊城菏泽3市新冠肺炎病例清零】#山东累计治愈出院497例#据山东省卫健委公布的最新疫情数据，2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。除去东营从疫情开始到现在未出现一例患者外，截至目前，聊城、泰安、菏泽新冠肺炎住院病例清零。#湖北以外连续2天无新增死亡病例#
喜欢陈才浩ty,【暖心又可爱！#重症监护室大管家陈静#
ohoh_不辞朦胧·,#新冠肺炎重症患者死亡率超过50%#50％，这太高了吧。真的越来越敬佩一线的战士了，奔赴一线作战，他们都是英雄。#中国境外累计确诊新冠肺炎8774例#一定要严控境外人员入境啊，不能让我们现在的成果，功亏一篑啊。
QINGRurururu,【暖心又可爱！#重症监护室大管家陈静#
紫黑都是孤儿废物,#新冠肺炎患者的肺和SARS患者的区别#反正都很严重，对普通人来说其实只有危险不危险才有感觉#新冠肺炎重症患者死亡率超过50%#川普当初可是信誓旦旦地说他们能控制
铜仁发布,:【#我家7人在一线#】疫情发生后，武汉市民汤毅有7位家人投身战疫一线：学医的老婆，疫情一发生就主动上了前线；护士表妹杨思思，主动请缨到了重症监护病房；在120工作的表妹徐赛群，一天要接送患者20多趟……汤毅也没闲着，他购买防护物资给医护人员，用这样的方式守护亲人。加油！#共同战疫#，期待你们早日团聚！http://t.cn/A676BnWg#31省区市新增125例新冠肺炎#
新浪山东头条,:#山东3市新冠肺炎病例清零#【泰安聊城菏泽3市新冠肺炎病例清零】#山东累计治愈出院497例#据山东省卫健委公布的最新疫情数据，2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。除去东营从疫情开始到现在未出现一例患者外，截至目前，聊城、泰安、菏泽新冠肺炎住院病例清零。#湖北以外连续2天无新增死亡病例#
喜欢陈才浩ty,【暖心又可爱！#重症监护室大管家陈静#
