依露申qian,:『新浪调查』http://t.cn/A67ppM4I
三峡日报,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
ChetinZ,:#调查组介入女孩因网课服药#既可怜又气愤，孩子是可怜的，父母是可恨的，只希望不要滋生家庭贫困养不起孩子，让孩子去寻死以此得到社会救助的思想。
Lucy一定会成功的呀,:#预测大学开学时间#啥时候开学呀？我还要写论文
航空物语,“世界很大，而我是冠军。”TG纪念科林·麦克雷特别节目送给当年每个玩过《科林·麦克雷拉力赛》的孩子们#斯巴鲁##WRC#不靠谱实验室的微博视频
未来已来是天才,今天中午，武汉市中心医院眼科医生梅仲明因新冠肺炎感染去世。他和此前去世的李文亮同科室，是该医院眼科副主任、主任医师。一个个同行的离世，非常冤枉和令人痛心！
关于优衣库的一切,:#关于优衣库的投稿#亲亲，可以帮忙发一下关于优衣库员工入职培训的调查问卷，不是员工也没关系。大四论文狗打扰了http://t.cn/A67CD4KT已填
来点石锤,:港铁列车出轨，调查半年终于出结论。港铁东铁线红磡站附近去年9月中发生出轨严重事故，一列12节车卡列车断为两截呈T字形横亘在路轨，造成车上8名乘客受伤。港铁今日(3日)公布事故调查报告，指事故是由于事发前一个月该处更换了路轨轨枕，新轨枕与旧轨枕不配合，令到新轨枕的轨道支撑组件受损，最终导致出轨。#祖国反黑站[超话]#
经典NBA赛事推荐,:【#科比遇难照泄露事件调查结果#：8名警察被处罚】据TMZ报道，在科比事故发生几天之后，一名警员在酒吧里向一名女子展示遗体照片，酒保无意之中听到此事，在网上向治安部门投诉。瓦妮莎得到消息后对此非常不满，并委托律师发出公告，今日结果通报，8名警察被处罚。科比遇难照泄露事件调查结果：8名警察将被处分
湖南律师刘成成,:在朋友圈花几十分钟看了一篇深度报告《野味帝国》，关于野生动物保护以及背后产业链发展的，调查详实，脉络清晰，实属精品。可惜由于篇幅过长，发文时间在凌晨，阅读量几万不到，在我心里，这才是千万级爆款文应有的质量门槛。这个充斥信息垃圾的年头，写长文的作者，读长文的观众，都不多了。
小蚂蚁说了什么,:饭圈女孩调查接:@Biba_比比·火锅里面加土豆①什么时候开始追星：2012？单纯粉人②初恋追星的爱豆是谁：周震南（入粉圈）③对白嫖什么看法：爱他就为他花钱④本命是谁：周震南权志龙⑤见过自己本命吗：见过南南⑥在饭圈什么地位:妈粉女友粉来回横跳⑦饭圈人际关系怎么样:前提周震南底线周震南南极一家人⑧愿意为蒸煮花💰吗：必须愿意⑨有墙头吗：无⑩艾特你的人和你关系怎么样：好极辽
经典NBA赛事推荐,:【#科比遇难照泄露事件调查结果#：照片已删除8名警察遭处分】3月3日美媒消息，共有8名警员涉嫌参与拍摄和分享科比空难现场，目前照片已被删除，涉案警员正面临调查和可能的纪律处分。县治安官表示：执法人员拍摄照片不构成犯罪，但违反了部门政策，他已经向遇难者家属道歉。新浪体育视频的微博视频
·1997年8月3日·,:#科比遇难照泄露事件调查结果#警察的职业道德呢?必须接受处分，不要再让家属难过了，死者为大，逝者安息🙏
变宝网,:【棉区措施得力备播影响较小】近日，中国棉花协会对棉花春耕备播情况进行了调查，调查显示：除湖北省及卫生事件较重的地区外，全国大部地区已逐渐复工复产，农资供应充足，价格保持稳定，运输基本畅通，棉农通过多种渠道购买种子、化肥等农资。如卫生事件3月下旬得到有效控制，棉花春耕将顺利展开。http://t.cn/A67NhaYp
大麦_猫,:我是真的不懂，诚心发问：如果这个世界上只有“幼稚可笑但更有行动力的废青”和“看穿一切而冷眼袖手的中年人”，不是一个更加悲剧的死循环吗？这个世界终归要被没脑子而只有行动力的人掌握，这个表达本身就是对年轻人的贬损吧。不懂就去学，去调查研究，去亲身体验一下，不才是中年人对年轻人的正确引导吗
头条遂宁,:#遂宁爆料#【遂宁交警及时查处网友举报非法改装车辆】近日，@遂宁市公安局交警支队接到网友关于机动车非法改装的举报视频。通过视频得知违法车辆号牌分别为川J77**0、川Jk7**7、川F60**6，民警分别联系三台车辆驾驶员前往遂宁市公安局交警支队直属二大队接受调查处理。3月3日，车辆川J77**0、川Jk7**7两位驾驶员到交警直属二大队接受了调查处理。经检查，这两台辆车涉及多处违法改装，车辆前杠下方前唇、汽车底盘结构、车身贴膜（超过车身面积30%），排气尾管都进行了改装，还加装了车辆尾翼。民警对其交通违法行为进行了现场处罚和警示教育，并责令其限期整改。根据《中华人民共和国道路交通安全法》规定，遂宁市公安局交警部门对驾驶员潘某、罗某非法改装车辆的交通违法行为做出了罚款200元的处罚。潘某和罗某认识到自己的错误，表示将尽快撤出非法改装，今后一定遵守交通法律法规。车辆川F60**6驾驶员已返回德阳市，遂宁市公安局交警部门责令其前往德阳市公安局交警部门接收了处罚和教育，现车辆非法改装已撤出，车辆整改完毕。#遂宁同城[超话]#
张敏王,【悼念！李文亮所在眼科副主任#梅仲明医生因新冠肺炎去世#
晋城号外,:#晋城爆料#【协查通报！高平一白色四轮车肇事逃逸！
瞰上海,:#上海身边事#【#上海已追踪71名浙江输入病例密切接触者#】今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#分享上海#
