我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
海南公共频道,:国务院联防联控机制于2日下午召开新闻发布会，介绍现阶段公共场所等疫情防控有关情况。公共出行：打车前可先开门一两分钟通风中国疾控中心研究员张流波出租车、网约车要做好五个方面的工作：第一、确保司机没有感染，可以建立一个健康申报制度，进行体温检测，也要注意司机在全程都要戴口罩，经常做手卫生，这是对司机的基本要求。第二、车辆应该每天出车前对门把手、座位、扶手这些地方做清洁消毒的处理。第三、行驶过程中如果条件允许，外面温度合适的时候尽量开窗，保证比较好的空气交流。第四、乘客上车前先打开门一两分钟让它有一个空气交换的机会，也可以用消毒纸巾对可能碰到的位置做擦试消毒，最关键是乘客乘坐的时候也要全程戴口罩，乘坐结束后也要做手卫生。第五、付费时提倡无接触式的付费。对于乘坐公交车有四个方面要特别注意：第一、公交公司应根据客流量安排车辆，尽量疏散客流、降低车厢拥挤度。第二、条件允许时，行驶过程中尽量开窗通风，如果有空调系统，要在保证安全情况下尽量地增加消毒频次。第三、乘客、乘务员、司机都应该佩戴口罩。第四、乘客在乘坐时尽量保持一定距离。乘客下车以后最好做手卫生。商场、超市：要保持一定的距离，起码一米以上张流波：因为商场、超市和我们老百姓的日常生活密切相关，所以我觉得不是能不能营业，是必须营业。我们到这些地方去，应该是买东西而不是逛商店。第一、对于电梯、地面、侧壁、电梯按钮、自动扶梯，这些地方顾客经常接触的地方要增加清洁消毒频次。对于柜台也要经常清洁消毒。第二、对于中央空调，因为超市是比较大的环境，不管是全空气系统，还是风机盘管+新风系统，都要尽量采用全新风。如果不能实现全新风，也一定要开启最大新风。开启最大新风可能还不够，这时候开门开窗通风作为补充是有必要的。第三、对服务员应该建立健康申报制度和体温检测制度，及时发现可疑症状，对顾客进行体温监测，尽早识别可疑的可能感染者。第四、在购物时相互之间要保持一定的距离，起码一米以上，哪怕过秤、交款、排队的时候也要保持一米以上距离。第五、交款时最好电子付费。第六、人人都应该戴口罩，不管是顾客还是服务员，做好手卫生。第七、如果真是发现了可疑病例，要及时地联系当地疾控预防控制机构，在指导下进行综合消毒处理。中国疾控中心环境所所长施小明提醒：购物时间应尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。其次乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。托幼机构：要对全体教职员工及孩子们的健康状况进行摸底张流波：托幼机构应该从三个方面开展相关工作：第一、开园前对幼儿园进行彻底的清洁和消毒，保证教室的通风，做好相关物资的储备，让幼儿园的老师掌握防控知识。要对全体教职员工及孩子们的健康状况进行摸底，只有健康的才能入园。第二、开园后，如果疫情结束了，开园时可以按照正常教学秩序进行，如果还有病例就一定要采取相应预防措施，要做好应急预案。第三、当出现疑似病例时，一定要按照应急预案进行处理。精神卫生医疗机构：新入院患者要观察14天后再转入普通病室施小明：精神卫生医疗机构由于患者的特殊性，在防控工作中除了要做好常规医疗机构的防控措施外，还有一些针对性的措施需要考虑：第一、精神卫生医疗机构要与当地具有新冠肺炎诊疗能力的综合性医疗机构建立联络会诊机制，要加强医务人员防控知识的培训，健康监测以及个人的防护，尽量减少门诊患者复诊次数，缩短住院的时间，暂停家属探视，限制陪诊人员数量。新入院的精神障碍患者要观察14天后再转入普通病室，防止院外的输入。第二、加强住院患者特别是严重精神障碍患者的管理治疗和照护，尽量减少外出流动，降低冲动行为发生的风险，防止院内扩散。第三、对住院的严重精神障碍患者，发现有疑似病例或者确诊新冠肺炎的应当立即采取隔离措施，将患者转诊到定点的医疗机构进行治疗。对于暂时无法转出到定点医院的确诊患者，精神卫生医疗机构应当立即设置发热病区，请具有新冠肺炎诊疗能力的综合医院的医疗机构医务人员进行会诊。此外，发布会上还介绍了其他重点或特殊场所的防疫情况。1.国家卫生健康委疾控局副局长周宇辉：有人员需要从疫情防控的重点地区和高风险地区返城的，社区应按照社区防控工作方案，继续坚持实施网格化和地毯式的管理，做好往来人员相关的健康监测、登记以及摸排等相关工作。2.施小明：新冠肺炎老人治愈后需返回养老机构的应当隔离观察14天，没有异常后方可入住。对于没有病例的养老机构，无论是老人还是陪同人员，在医疗机构就诊返回到养老机构后，都需要隔离观察14天，没有异常后，方可入住或者工作。餐厅就餐安全是整个疫情防控中的一个关键环节。要加强环境物体表面清洁消毒，做好餐饮具的清洁消毒，确保做到一人一具、一用一消毒。用餐过程中，摘下口罩时一定要注意保持口罩内侧的清洁，避免污染。避免面对面就坐，最好是同向坐，而且相隔距离最好一米以上。尽量缩短就餐时间，减少同行人员的交流。如果餐厅人员比较多，打包是比较好的选择。就餐后，要立刻离开餐厅，减少在餐厅的逗留时间。3.张流波：疫情期间不建议到游泳馆、公共浴室这些地方去，不建议开放游泳馆和公共浴室。
妇幼卫士,:#我的健康十八式#可以通过补充甲状腺素来减肥吗？#内科#很多患者觉得，既然体重增加是由于甲状腺激素分泌减少所致，那么短时间内吃大剂量甲状腺素片来补充体内的激素不就可以解决体重增加的问题吗？这是绝对不行的。一方面，甲减的患者补充甲状腺激素，必须从小剂量开始逐渐加量；另一方面，甲状腺激素补多了，会成为药物性甲亢。甲减状态时，身体已经在低代谢水平上了，如果补充过量的甲状腺素，代谢水平突然提高，对身体的损害更大！随着治疗的进行，患者体内甲状腺激素水平会逐渐恢复正常，导致体重增加的“黏液性水肿”也会渐渐消失，体重会慢慢恢复。至于身材，可以通过饮食和锻炼来维持。
盘活使者二零一八,:#新冠肺炎患者的肺和SARS患者的区别##安徽黄山发现两个哺乳类新物种#普及医学知识（成纤维细胞的描述）:成纤维细胞胞体呈梭型或不规则三角形，中央有卵圆形核，胞质突起，生长时呈放射状。体外培养的成纤维细胞多为梭形、多角形和扁平星形等，其形态尚可依细胞的功能变化及其附着处的物理性状不同而发生改变。电镜下，其胞质可见丰富的粗面内质网、游离核糖体和发达的高尔基复合体。
福建科普,:悼念
FM968重庆之声,:【重庆支援孝感医疗队“小夫妻”收到这样的结婚周年“大惊喜”】连日来，重庆赴孝感支援队和孝感市医护人员不畏风险，争分夺秒地救治患者。为了让一线的医护人员放松心情，更加坚定他们抗击疫情的信心，近日，孝感市中心医院东南院区举办了一场特别的庆祝会。重庆赴孝感支援队队员周陈涔和程娟娟是一对小夫妻，当得知孝感疫情严重，夫妻俩很有默契的同时报名，并一起来到孝感并肩抗疫。当天正好是他们结婚一周年纪念日，本没想着要庆祝，却被孝感医护人员知道。重庆赴孝感支援队队员周陈涔：“我觉得这是过的非常有意义的一个纪念日，在这里不仅有我们的战友，还有孝感东南医院的同事们，有大家的祝福，真的非常有意义。”重庆赴孝感支援队队员程娟娟：“我们很难忘，现在最大的愿望就是能够早日战胜疫情，早日回家，与家人团聚，加油。”据了解，当天医院还为2月和3月过生日的所有医护人员举办了特别的庆祝会，现场简单的布置，精心准备的蛋糕，让全体医护人员都感受到了大家庭的温暖。孝感市中心医院党委书记李卫民:“重庆医疗队不远千里到我们这里来，舍小家为大家、为患者，让我们非常感动，借这个机会，也祝福你们幸福、健康、平安。当然，也通过这个活动，把我们对重庆医疗队的感激之情、感恩之心带给所有队员，我们通过这次抗疫战斗，紧紧拧成一股绳，成为一家人。”孝感加油，湖北加油，中国加油！（孝感台记者聂云、梁雪、通讯员郭刚，重庆之声综合）
陕西政务新媒体学院,:#陕西防控新型肺炎#【不配合居家隔离规定打伤民警陕西蒲城一家三人获刑】在新冠肺炎疫情防控期间，不配合隔离规定，与镇村干部发生争执，还暴力阻碍民警执法。近日，陕西渭南蒲城县首例涉疫情妨害公务罪开庭审理并当庭宣判，一家三口均获刑。蒲城县法院审理查明，被告人王某及其妻子2020年1月21日自驾车由福建省宁德市出发，途经湖北省随州市，于1月22日返回蒲城。新冠肺炎疫情爆发后，蒲城县各镇、街道办根据县疫情防控工作要求，严格开展对从武汉或经湖北、接触过武汉发热患者等返乡回蒲人员的登记并实施居家隔离。1月31日12时许，桥陵镇政府包村干部叶某会同村干部等人到桥陵镇某村王某家张贴居家隔离公示牌，并要求王某及其妻子配合在《武汉返乡或来蒲人员居家隔离观察告知书》上签字，王某坚持称自己不是武汉返乡人员，是从福建返乡途经湖北省随州市，拒不签字，防控工作人员多番解释按照县、镇的工作要求，他属于居家隔离人员范围，应当配合执行防控隔离措施，但王某仍拒不签字，进而与镇村干部发生争执。村干部报警后，桥陵派出所民警到达现场依法传唤王某时，王某拒不配合，挥拳击打民警，被告人王某丙（王某之父）阻碍民警执法，也用拳头击打民警，被告人王某乙（王某之妹）用脚踢打民警，并捡拾砖块砸到出警的执法公务车辆前挡风玻璃上。案发后，三被告人主动到桥陵派出所向民警表示赔礼道歉，并赔偿了受伤民警医药费等损失8000元，取得桥陵派出所及民警谅解。法院经审理后认为，被告人王某、王某乙、王某丙在新冠肺炎疫情防控期间，以暴力方式阻碍人民警察依法执行职务，其行为已构成妨害公务罪，并应从重处罚。鉴于三被告人到案后能够如实供述犯罪事实，自愿认罪认罚，积极赔偿损失并取得谅解，有悔罪表现，可从轻处罚。近日，法院一审以犯妨害公务罪判处被告人王某有期徒刑六个月；被告人王某乙、王某丙分别被判处拘役四个月，并宣告缓刑。宣判后，三被告人均表示服判不上诉。（华商报记者宁军）
央视新闻,:【#财政部表示群众不会因费用延误救治#】财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。http://t.cn/A67Cu2Aa
盐城晚报的微博,:#韩国政府进入24小时全面戒备状态##韩国100多名军人是新天地教徒#【韩国军队31人感染新冠肺炎】今天，韩国国防部通报：截至当天上午，韩国军队内部累计确诊感染病例已增至31例。新增确诊患者2例来自大邱，1例为庆尚北道港口城市浦项的海军陆战队军官。目前，韩国已有约7410名现役军人在各自基地隔离，其中约860人属确诊患者的密切接触者，或表现出相关病症。（时间视频）http://t.cn/A67CEwYBhttp://t.cn/R2Wx0MMhttp://t.cn/R2Wx0MM
蝶儿的背囊,:从国外几个国家的信息反馈来看，个人认为在去年很早的时期里就已经开始流传，一定要比中国武汉早，是他们误诊了都当普通流感肺炎治，因此说中国武汉绝不是新冠病毒的发源地。#意大利考虑只公布重症确诊患者#意大利媒体今天报道至少在1月中旬，新冠肺炎就已经在意大利社区传播。一些疫区的医院回溯了1月中旬的一些奇怪肺炎案例，发现意大利事实上从1月中旬开始，就已经开始流行。回溯的案例大概有几十例奇怪肺炎，都当做正常肺炎进行治疗，但是现在回溯检测发现已经痊愈的患者体内有新冠肺炎的抗体。(谷歌翻译)
FM910攀枝花汽车电台,:【如何每天完成大量工作？】你会不会常常把一件事情拖延了4天，实际上这个事情只需要1个小时就能完成？其实我们并不是因为担心做不完事情而拖延，而是因为目标不清晰而拖延。许多人问我，我是怎么安排我的时间制作视频的？今天我将以此为例子，教会你如何成为任务多面手。#拖延症#http://t.cn/A67SV6nB
滋补营养叔,:Nature：几分钟带你了解癌症——寻找隐藏的肿瘤（全英文）人体内的免疫系统一直在寻找入侵的威胁，但癌症并不总是容易被发现的。一些癌细胞可以隐藏的很深而不被发现。现在，先进的测序技术使科学家能够研究癌症和个体患者免疫应答的独特遗传学机制。这意味着研究人员可以开发出增强免疫系统的方法，从而促进身体战胜癌症。http://t.cn/A67CmsG4
医药卫生报,:睢县对复工复产企业推行网格化管理本报讯（记者赵忠民通讯员马雷）为切实做复工复产企业新冠肺炎疫情防控工作，睢县疫情防控指挥部对复工复产企业疫情防控推行网格化管理，确保疫情防控和生产经营“两手抓、不两不误”。分级划分网格。复工复产企业根据行业特点、生产组织形式及员工日常管理方式，按照有利生产、方便生活的原则，将员工每10—15人编为一个管理小组，设立一名小组长；每6—10个管理小组为一个网格，设立一名网格长；每3—5个网格为一个片区，设立一名片区长。明确管理职责。按照属地管理的原则，落实企业主体责任，构建起“全面覆盖、网格到底、责任到人”的五级监控网格。第一级，企业法人为第一责任人，对企业疫情防控工作负总责；第二级，企业疫情防控工作负责人为主要责任人，在疫情防控指挥部的指导下，负责管理片区长，做好企业疫情防控指挥、调度和后勤保障等工作；第三级，片区长为直接责任人，负责设置临时隔离点，督导网格长具体做好疫情防控知识宣传、公共场所消毒消杀、门岗体温检测登记、防控技能培训等工作；第四级，网格长为具体责任人，负责具体落实各项疫情防控措施；第五级，小组长负责管理本小组员工的信息登记、健康状况监测及体温测量、疫情防控知识宣传、心理疏导等工作。建立应急机制。小组长发现本小组有发热、咳嗽、乏力等身体情况异常的员工，及时报告给网格长，网格长及时报告给片区长，片区长将患病员工安置在临时隔离点，并将信息分别报送给企业疫情防控负责人、行业主管部门和县疫情防控指挥部。县疫情防控指挥部接到信息后，安排专用救护车，将患者转送到就近的县级医院进行诊疗。
一诗一文,:#武汉外地滞留者可申领3000元政府救助#【原创】《援鄂天使万岁赋》（以题目各字为韵）天有不测，世有倏然。本庚子之肇岁，却冠贼而逞奸。袭之无备，战而不宣。其毒疾疾而悚，其瘟汹汹而传。毒疫危乎万险，苍生命系一悬。遂见百城封路，万户门关。社会刹那而止步，经济刹车于瞬间。武汉惶惶，溃入苦海；荆楚惨惨，陷其深渊。更苦医院无寻，一床不就；医护难驾，百受熬煎。安可等闲，毁我江汉；岂能坐毙，失吾家园！于是央令下，战书颁。白衣飒飒而天降，天使浩浩以驰援。观夫民忧若焚，疫烈如火。父老医求而无门，荆楚医缺而若渴。国难在即，天使焉不出征；匹夫有责，英雄岂可安卧？医至而民解忧，旗在而城不破。李君沐雨而赴征，钟公栉风则把舵。天使凛凛，医者有仁；白衣赳赳，义者无我。辞家小，行而匆勿；别梓桑，情而脉脉。红手印之耀耀；信念若钢在胸；红十字之昭昭，天使急骋于鄂也！于是风袭雪褂，雨浸马鞍。地师急驰而至，军旅电掣而前。举国构之疫阻，铁壁合以围歼。同毒魔而争高下，与阎罗而夺雁关。诊重患而零距，与死神而擦肩。疫不见踪，背脊如刺；身不离汗，衣衫若淹。男医溺裤而免厕，女护削发而若男。巡室察床，生死早略；化验监测，手脚岂闲。以生命而救生命，以空间而换时间。制试盒而研救药，自奋蹄而己扬鞭。面庞之勒痕，何异人性之文论；手脚则皱襞，更谱大爱之诗篇。热血洒于荆地，丹心奉乎楚天！伟哉，医者！圣洁白衣，民族骄子。同患者和舟，与人民共此。莘莘尽是禹尧，铮铮几多勇士。扶患危而救水火，蹈国难而捐生死。遂有夏思思值夜方去，闻声又回；李文亮危情早知，守岗以赤。肖俊连轴值夜，尽职而勤；定宇知己绝症，履责而挚。更有丧夫裂肺，哭刘院长今生之永别；待友心撕，泣彭医生婚礼而难至。闻其焉不动容，见之安不泪拭！叹劫难之未除，呼英雄而莫去也！噫吁！风雨狂而不倒，我巍巍之中华；危难际则不屈，吾铮铮之天使！大哉，医者！侠骨却柔情，忠肝而义胆。救人之病，无论亲疏；扶患之伤，不择贵贱。良臣为国而尽忠，良医济民以至善。龟蛇仰止，敬护神之英姿；黄鹤垂颅，尊医神之伟岸。大难际，有社会脊梁堂堂而撑；大考前，幸民族精魂朗朗未断也！曾几何时，医院遭讥，医生受贬。闹者失德，民则扼腕。然今时乎，疫情如炉，金石可炼。答国难之题，交生死之卷。可谓医界稗者无几，而兰者千万矣！嗟夫！德者为尊，医者为贵。脉诊系乎家国，悬壶泽于人类。天使在而雨终去，必见彩虹；国运盛则瘟必除，共唱祥瑞。自当中国必赢，天使无愧。风月同天，九州共醉。人民再承升平，华夏永享嘉岁也！（依中华新韵，以“援鄂天使万岁”为韵序置于段尾作于2020年2月.海南）作者：任秀峰，男、大学汉语言文学专业毕业，中华辞赋社会员、中华诗词学会会员、中国楹联学会诗赋委员会委员、黑龙江省楹联家协会会员、哈尔滨市作家协会会员、北国作家顾问。早年曾有200余篇杂文短论发表于省内外报刊杂志，著有文集《沃土情深》《耕耘与思索》《增广贤文点评》。近年在《中华辞赋》《中国财政》《北国作家》《文学月报》中华楹联报、中国财经报、北方时报、中国作家网、中国辞赋网、中国赋学网等发表辞赋、散文等作品80余篇。有多篇作品获全国性征文奖项。图/晴耕雨读（@一诗一文）#没到摘口罩扎堆的时候##新型冠状病毒#
金聊斋,:浙江共8例输入病例：8名患者在意大利同一餐厅工作新京报4小时前·新京报官方账号新京报快讯据浙江青田县办公室消息，3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。编辑倪艳楠来源：青田发布老金:哇塞！国际输入应成为现在战疫的重点啦！应赶快制定方案与规定:刻不容缓！！！！网友热议:昨天才看了一篇赞扬浙江科学防控的帖子，说什么各种防控科学，胜在细节～结果今天就有从上海回浙江的病患，不知道该说什么，不是从细节出发吗？所以，疫情结束前，都别说大话！境外入境的能不能先集中隔离14天啊。现在看来，不少是国外染病跑回来免费治疗的同胞。回国免费看病的，照这样下去，得病的都跑回来，疫情完全结束还得几个月。国内应该严格把控，不要再让境外病例输入，医护人员已经够辛苦了，大家宅家没收入还负债也不容易。只希望再坚持一下，大家都能恢复往日的生活！到国内下飞机第一时间就没有被隔离，还隔天转车回家，这期间感染多少人，难道现在各国际交通都没有对入境人员采取隔离措施吗？！自费隔离30天，如有发病全部自费，不按规定申报造成国内感染的负刑责！
深圳新闻网,:【“安心行动”温暖武汉深圳两座城】“深圳你好，我是武汉！感谢你发来的问候……”2020年2月28日，夜晚十点。一档湖北省广播电台特别制作的《深圳您好！我是武汉》，在武汉和深圳的电台里同步播出，呼应上周深圳发出《武汉安心》音频节目。这场双城空中对话，饱含着两座城市互道珍重、互相加油、互相鼓劲的深厚情谊。这是深圳武汉携手抗疫开展“安心行动”，温暖两城的情深一刻。抗击新冠肺炎，既要治病也要“安心”。引发两地广播电台关注的“安心行动”，背后有着许许多多异乎寻常的故事。我们的讲述，就从一位收到深圳“安心宝盒”的武汉医生在自己单位的一次“奇遇”开始——55页的医务人员《安心手册》，从1068公里外的深圳寄来。41岁的武汉医生王海灏怎么也想不到，有一天他会在自己的“战场”，静静阅读完这本绘本。这是2020年2月25日的夜晚，王海灏刚做完一台手术，从华中科技大学附属同济医院的隔离病房走出来。王海灏是同济医院心脏大血管外科的医学教授。傍晚时分，他接到医务处电话，得知病区有一名危重症病人，因为呼吸机正压通气导致气胸，要求急会诊。王海灏连忙赶到医院。会诊的结果是，手术！紧急救人！这是一名70多岁的新冠肺炎患者。一旦病人手术中因胸膜反射性刺激咳嗽，飞沫混合在空气中形成气溶胶，现场医生护士都会受到病毒感染的威胁。所以，尽管是小手术，王海灏仍要做好三级防护，手术手套一口气戴了四双，这才进入隔离病房。笨重的装备让他平时灵活的双手动作有点笨拙，护目镜时不时被雾气笼罩，视线模糊，一台平时需要十多分钟的消除气胸的小手术，他花了近一个小时。病房外，他在护士站问了句“引流管放哪里呢”，旁边经过的一个护士没回答他，却很欣喜地反问：“您是王教授吧？”穿成这个样子，王海灏觉得他连自己都快认不出来了，顿时有了种外乡遇故知的感觉——尽管，这是在他们自己的同济医院。全国医疗援武汉，他刚刚过来的这个病区，九成医护人员都来自北京医院，同济医院原有的医护人员，今晚值班的只有两名护士，而这名向他打招呼的护士，其实他还并不特别熟悉。原来，护士曾经到胸外科轮转过8个月，所以认识他。这样的感觉，一个月前大家彼此都不可能有。故事开始的背景，所有中国人如今都已经熟知，在一场开始摸不清敌人兵力的战役中，王海灏和他的同事们，不管是哪个科室的，都是怀着近乎悲壮的心情走上救护新冠肺炎患者一线的。这里是真正的战场，强烈的咳嗽声就如敌人震耳欲聋的炮弹声。拿过无数次手术刀的王海灏觉得自己有时都会感到一丝丝恐惧，更何况科室里那些刚走上工作岗位的女护士。有“战友”确诊，被送去了金银潭医院；一批又一批同济医院的医护人员24小时枕戈待旦，待命驰援更需要兵力的其他院区“前线”；更难以言说的，是不知尽头的集中住宿，跟家人无法见面的无尽的思念，尤其是渴望亲亲自己的一对子女。王海灏去年给孩子拍了几张扮成医生的照片，儿子、外甥，一直都说长大了要当医生，他也从不后悔这样去引导他们，坚持要求他们长大一定要多帮助他人，一定要为社会做贡献——他一边转发一篇《风暴过后，何人为医？》的文章，加了几个流泪的表情；一边转发着同事们的《战疫掠影》，刷刷写下评语：“我们战斗在一线！”王海灏读得懂护士遇到自己时的鹊喜，和自己小小感动背后的心路历程。这里曾经是他们熟悉的场地，但如今的一切经历又是那样的陌生。很多时候，一线的医务人员奋勇冲锋不喊累，内心其实渴望被关怀，哪怕是一句来自陌生人的小小问候。也正因如此，大家在单位“偶遇”时的那种惊喜，有点温暖和感动，又有点令人感慨。夜深人静，在朋友圈讲述当天这段小经历的王海灏，一口气写了很长很长，意犹未尽，他又补充一句：“盼山河无恙，愿春回大地！”按着《安心手册》的指引，他把这些情感的抒发，当作一种自我解压。http://t.cn/A67ClVNf
吕梁交通广播,:【疫情期间常见病慢性病网上复诊医保可报销】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。（山西发布）
中国日报网,:#韩国政府进入24小时全面戒备状态#【新冠患者累计确诊4812例！87个国家和地区对韩采取入境管制】据韩联社最新消息，截至3日韩国累计新型冠状病毒确诊病例4812例。尽管韩国方面尽力控制他国对于韩国游客的过度限制措施，目前已有87个国家和地区宣布对来自韩国的游客实施入境限制或检疫程序。韩国外交部称，截至3日上午9点，36个国家和地区禁止过去两周内曾到过韩国的游客入境，51个国家和地区对这类入境人员进行检疫。#80国对韩采取入境管制#
西安商报社,:#我为陕西医疗队打call#【李兰娟院士“点赞”陕西省援助湖北医疗队】3月3日上午，@西安交通大学第一附属医院医疗团队连线李兰娟院士对新冠肺炎患者进行远程会诊。在接受记者采访时，李兰娟院士“点赞”陕西省援助湖北医疗队：“做得非常优秀，跟当地医务人员有机融合，发挥了非常重要作用。”http://t.cn/A67CzZ87
共青团昆明市委,:#抗击新冠肺炎云南在行动#【进出请扫码！云南抗疫情扫码程序#30秒可查出与确诊患者可能接触人员#】“云南抗疫情”微信小程序通过大数据记录公共场所出入人员的行踪，从而对可能发生的疫情进行溯源和监测。云南省公安厅大数据专家组组长刘跃文介绍：手机号录入到扫码系统后，只需要30秒钟就可以计算出来这个号码曾经停留过的所有场所。截至3月1日18点，“云南抗疫情小程序”注册用户人数达1561万人，扫码次数达2.57亿人次，覆盖95.3万个公共场所。http://t.cn/A679UDwh
韩东言,:找到了区别，找到了治疗方法吗？【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
内蒙古团委,:【#一线医护人员有多可爱#？看图！
南京日报,:【直通黄石|新生儿隔离区：穿防护服在24℃暖房工作是啥滋味】黄石妇幼保健院的护士们最近走红了——他们隔离服上的手绘卡通，让新冠肺炎患儿们喜笑颜开，不再畏惧。但是，在“卡通隔离服”背后，是有别于成人患者的护理照料，是更难熬的工作环境——在24℃暖房里全副武装连续工作6小时。http://t.cn/A67CV4jv
街舞大象,:【#大邱确诊患者出门排队买口罩#，还接受采访：早上刚确诊的
