林要carpediem,:美国政府从上到下加上各种相关机构对新冠肺炎的反应态度和处理措施我只能用WTF
人民视频,:【#北京外籍人士纳入社区健康管理体系#】3月3日，北京市政府副秘书长陈蓓表示，我们对在京外国人一视同仁，统一按照北京市防疫要求，落实做好健康管理工作。北京市外籍人员数量众多，朝阳区、望京韩籍人士较多，相关部门也采取了一系列措施，加强外籍人士健康管理。#人民战疫#人民视频的微博视频
播音主持艺术指南,:【武汉体育中心方舱医院：病区里的“社区”病友间的“邻居”】在武汉体育中心方舱医院，病区更像社区，病友也是邻居。继广场舞、唱歌、读书会后，方舱医院的医生和患者们又携手解锁了“新技能”：演小品。第一时间的微博视频
MsJank,广东援汉医生：汉口医院呼吸科整个科室几乎全军覆没应该说汉口医院一线的情况，还是让我们很震撼的。第一天进入病区后，一名有十多年经验的老医生就和我说，那天晚上睡不着觉、做了噩梦，有的医护人员也会在房间里哭。因为受条件所限，许多救治手段上不了，我们的医护人员就觉得有力气使不上，眼看着病人不行了，感觉很无助、感觉救不了。这种情况下，队员们的信心受到很大打击，有的人会来找你倾诉，有的人会发脾气吵架。那种状态，你得去理解他。这个事情可能对那个医生触动比较大。一方面，感染科平时接触的大多是乙肝这类病人，危重症的比较少。另一方面，绝大部分医生、护士都很善良，他可能觉得一个37岁的男人正是家里的顶梁柱，人就这么没了，他过意不去。从那以后，这个医生变得很沉默寡言，经常躲在房间不出门。http://t.cn/A67Se75w
最爱金子的小芹菜吖,:嘿
成华应急,【保和街道天鹅社区安置房工程项目建设实现复工】#成华新闻#日前，位于保和街道天鹅社区的安置房建设项目已实现有序稳定复工。在现场看到，八台大型机械正在进行基坑作业，据施工方介绍，目前项目已有施工人员26人复工。每天不仅对施工人员进行体温检测、信息登记，还对项目现场进行整体消杀，确保防疫工作无死角。据了解，保和天鹅安置房建设工程项目建筑总面积约21.3万平方米，预计2022年5月整体完工。
齐大王biubiubiu,:楼下的社区大姐们可太能聊了...从早上到现在，还将持续下去，再加上一两个大爷大哥加入群聊，简直话题不断激情澎湃...就问问什么要把防御点回撤到单元楼门口！？为什么？？小区门口小白棚子它不好吗？？？为什么要有这谜一样的操作？太吵了啊！！！！！！！！！！
垦利共青团----青春扬帆黄河口,:【八旬老人担任“双语”播音员，以自己的方式参与战“疫”！
张祺悦,:【32岁确诊患者需急救95后民警一步一步将他背下了6楼
儿童剧ZYL,:象牙山都注重文化教育了，社区不抄一下作业吗？！是！从韩国回来了！！也是同胞吧，既然他回来了为什么暴力呢！小区的群里开始你一句我一句的声讨！“他能管住他的腿吗”“这一栋楼都得带病菌呀！”“那病菌永远都不可能消失了！”大爷！我想说那叫病毒，病毒得在活细胞中寄生的呀
平安金阊,:@姑苏公安【践行使命战“疫”线初心不改铸警魂——记沧浪派出所民警柳昱斐】柳昱斐，男，1994年11月生，共青团员，2017年8月参加公安工作，现为苏州市公安局姑苏分局沧浪派出所法制员。疫情当前，警察不退。在这场没有硝烟的战斗中，柳昱斐主动加班加点，侦破涉疫案件，投身社区防控，始终坚守在阻击疫情的一线战场。“疫情就是命令，防控就是责任”他以勇担当、敢作为、冲在前、争先锋的姿态践行初心使命，铸就忠诚警魂。http://t.cn/A67cazkg
焦作发布,:【“零延时”体检助力复工复产！中站区全力以赴支持员工返岗】“请如实填写以下问题……”2月24日上午，在中站区府城社区卫生服务中心设置的河南省新冠肺炎健康申报证明办理处，十几名企业复工人员在工作人员的引导帮助下填写《河南省新冠肺炎健康申报证明》，现场程序规范、秩序井然。详情猛戳：http://t.cn/A67NhKiL
广州新闻电台FM962,:【北京：#自疫情严重国家入京人员均需隔离#14天】北京市政府副秘书长陈蓓：凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，①如果中转到外地，严格按当地规定做好防疫工作；②如果目的地是北京，不论中国人还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天。在北京无固定居所的，安排在指定宾馆集中医学观察14天。
四川新闻网,:【四国语言温馨提示成都武侯区为外籍人士送上防疫指南】“能不能麻烦谁帮我们翻译一下防疫温馨提示？还需要韩语和日语的……”2月27日，成都武侯区火车南站街道桐梓林社区党委书记张家蓉在群里发出“求助”信息，“我们水平有限，很多需要外籍人员配合的措施没法通过语言表达，用肢体语言他们也看不懂，真是难倒我们了。”“我们有一批日语志愿者，放心！一定完成任务。”要制作这份指南，可不是直接翻译那么简单，还要考虑实际操作性，来自成都欣迪社会服务中心的志愿者吴倩莹介绍说，“翻译指令性要简明，比如‘请出示通行证或单位工作证明；请让我测一下您的体温；如果您要出门请戴上口罩’等，这些用语不需要外籍人员做过多回复。另一方面用词要简单，方便志愿者交流、沟通。”1天之内，中、日、韩、英四国语言的《居家观察注意事项》《新型冠状病毒感染的肺炎防控在武侯外籍人士应知手册》新鲜出炉。记者了解到，目前，武侯区已经将这份针对外籍人士的防疫指南发布在社区公众号，并转发到各个小区的业主群中。http://t.cn/A67CesyO
宿州检察,:#检察资讯#【福建南安:防控疫情，刑事执行检察在行动】在疫情防控期间，福建省南安市检察院立足检察职能，积极开展刑事执行检察监外执行监督，督促社区矫正对象和被强制医疗人监管到位，助力社区矫正和强制医疗执行工作有序开展。福建南安:防控疫情，刑事执行检察在行动
文明河西,:发布了头条文章：《主动推迟婚假，站好社区值守的岗，这个新郎官真帅！》#众志成城抗击疫情#主动推迟婚假，站好社区值守的岗，这个新郎官真帅！
博Bobby比,:园区已消毒，小哥哥小姐姐齐上阵，请您放心办公，八戒工场杭州北软社区昨日已正式复工，我们的小伙伴正在给园区300多个工位进行消毒，让每一位复工的企业老板都能安全放心的办公。@八戒工场@猪八戒网博Bobby比的微博视频
望城公安,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
直播德州,:#德州百事儿[超话]##暖新闻#【退役军人有力量，德城区组建志愿服务队】2月28日，德城区退役军人事务局联合区退役军人服务中心工作人员为辖区新华街道的辛庄社区、振华社区、七西社区等社区（村）退役军人志愿者们送去了组建退役军人志愿服务队的旗帜。德城区退役军人事务局拟以新华街道办事处为试点推广建立退役军人志愿服务队，实现全区全覆盖。在抗击新型冠状病毒肺炎疫情期间，全区退役军人服务站紧密结合疫情防控工作需要，快速反应，积极行动，广泛发动辖区退役军人志愿者参加疫情防控工作，他们积极参与到防控力量相对薄弱的老旧小区与街道社区工作者一起并肩战斗在疫情防控一线，成为打赢疫情阻击战的重要力量，体现出广大退役军人勇做先锋、敢打头阵的优良作风。
官渡区关上街道,:【战“疫”·社区】福达社区：抗疫一线践初心为民服务行使命【战“疫”·社区】福达社区：抗疫一线践初心为民服务行使命@中共官渡区委组织部@昆明市官渡区委办@昆明市官渡区政府办@昆明官渡发布@文明官渡
LeecheeoyoOo,:🏜️Suqqu110琥珀宵2珠光/2哑光（灰黑色带蓝紫色闪蛮特别的）厚重大地盘据说和tf02绝版有点点像我没有我也不知道品品这个外壳太绝了
黄石广播电视台,:【龙湾一品小区：3000居民“0”感染，小区的党员功劳不小】（记者刘盛冬通讯员周冬娟）自“双报到”工作开展以来，龙湾一品小区的党员干部主动到居住地社区报到，当好疫情防控的“宣传员”“排查员”“统计员”“代购员”“配送员”，在抗击疫情一线打头阵、当先锋、树形象，和龙湾的居民一起共同构筑起群防群治的铜墙铁壁。截止到3月2日，龙湾一品小区十六栋楼近三千名居民新冠肺炎零确诊，零疑似。在小区封闭管理期间，龙湾志愿者在临时党支部的统一领导下，开展居民购菜、粮油、药物、防护用品、紧急生活用品、天然气充值等各种便民代购配送服务工作，有力保障了小区居民的基本生活需求，得到了居民们的一致好评与认可。
长沙交警,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
泗县六纪办,:#万众一心抗击疫情#泗县法院姚玉：小区防疫和执行办案“两坚守”每一天，拿起手机释法析理办案件，放下手机抓社区疫情防控，这是泗县法院执行局女执行干警姚玉疫情期间的工作写照。自年初五以来，她每天她逐门、逐户、逐人排查统计“三类人员”，在小区门口监督居民扎堆聚集，返劝外来人员，宣传防控知识并为隔离人员提供基本生活服务保障。在参与“抗疫”的同时她还紧抓执行办案不放松，每天接打当事人电话三四十次，经常在值班结束后，又急急忙忙赶往法院，通过网上办案系统对需要扣划、续冻等案件进行维护。孟某某与刘某追索劳动报酬纠纷一案，3月2日上午，被执行人刘某通过银行转账，主动履行了10700元工资款，该案终于画上圆满句号。
