陈骁,:#美国累计确诊100例新冠肺炎#川普3月加急枪毙名单新成员⬇️
安徽广播电视台,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#上海已追踪71名浙江输入病例密切接触者##最新疫情报道#http://t.cn/A67CCuXb
问政山东,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
问政山东,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
翔了个翔霸霸,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
燕赵都市报,:【#韩国政府进入24小时全面戒备状态##韩国100多名军人是新天地教徒#】据韩联社报道，韩国总统文在寅表示，韩国进入24小时全面戒备状态。截至3月3日0时，韩国累计确诊病例达4812例，确诊病例中女性占62.4%。韩国军队累计确诊31例，8270名军人被隔离。在“新天地”教会提供的教徒名单中，竟有100多人是军人。（时间视频）http://t.cn/A67CEwYB
检察日报,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。（央视新闻）http://t.cn/A67CCuXb
上海城事资讯,:【#上海已追踪71名浙江输入病例密切接触者#：都已落实隔离】#向上海表白##上海全力防控新型冠状病毒肺炎#3月3日上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。3月3日下午2:00，上海举行新闻发布会，会上称，截至目前，上海已追踪到浙江丽水7例境外输入型病例密接者71人，都已落实隔离措施。据悉，该7例从意大利返回病例，从浦东机场直接包车返浙，均未在上海逗留。http://t.cn/A67CEvLchttp://t.cn/A67CM2BW
ZAKER,:【新研究：#巴西新冠病毒存在三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。http://t.cn/A67Sn4Cb
·星野霁月·,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
赵承风,:【美国新冠肺炎病例增至105例佐治亚州首次确诊两例】据美国有线新闻网(CNN)报道，美国佐治亚州宣布出现两例新冠肺炎病例，美国确诊病例总数已上升至105例。佐治亚州州长布莱恩·坎普表示，这两名患者都是同一家庭的居民，其中一名患者最近去过意大利。这两例确诊感染病例是佐治亚州的首例。#浙江新增7例均为意大利输入病例##韩国100多名军人是新天地教徒#
Seiners,:#浙江新增7例均为意大利输入病例#新冠状病毒疫情国内开始好转，国外开始蔓延了
鍋盖頭司令,:造谣的杀伤力太大抵制谣言！为国奋斗者，不可使其伤于暗箭。#韩国100多名军人是新天地教徒#，#浙江新增7例均为意大利输入病例#，#韩国政府进入24小时全面戒备状态#
掉毛小兔西西,:《法国市长确诊、伊朗最高领袖顾问去世…疫情蔓延，钟南山担心的事发生了_手机网易网》来源：新闻坊新冠肺炎疫情继续在一些国家蔓延：法国两名市长确诊，伊朗最高领袖顾问委员会一名委员确诊去世，韩国确诊超4000例、“新天地”会长下跪道歉&hellip;&hellip;法国确诊人数达1法国市长确诊、伊朗最高领袖顾问去世…疫情蔓延，钟南山担心的事发生了
正恒律师,【浙江公布8例输入病例：#浙江8输入病例在意大利同一餐厅工作#
modern秀才,:据美国有线新闻网(CNN)报道，厄瓜多尔卫生部2日晚间宣布，该国目前有七例新冠肺炎病例。厄瓜多尔卫生部称，新确诊的患者曾与该国最初报告的新冠肺炎病例有过接触，目前有177人因与首例患者接触在接受观察。
段云飞fly,:#浙江新增7例均为意大利输入病例#新确诊的8例病例同为一个餐厅，很明显是因为意大利疫情变得严重之后才回来的。其实很多人都是自私的，在国内疫情严重的时候肯定心里都想的是“国内严重，这时候待在国外安全”当意大利等国外疫情变得严重，国内投入巨大资源好不容易得到有效控制的时候，有些人就开始耍小聪明“回去会安全”。这样的想法能够理解，就像当初很多人批评那些从武汉出来的人的时候一样。谁都怕感染，谁都怕死，面对每天上涨的数字会感到害怕和惶恐。但是，人也不能太自私，保护自己是责任，那么保护别人也是义务，能在原地待着就是最好的支持。
沈阳牙医李响,【辽宁丹东：#对2月12日后境外入丹东人员核酸检测#】据@丹东发布，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
梓梓涵__,#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
新京报动新闻,:【#韩国军队确诊31例新冠肺炎#隔离8270人#韩国100多名军人是新天地教徒#】3月3日，据韩国国防部通报称，截至当日上午10时，韩国军方部队内新冠肺炎确诊病例为31例，已有8270名军人被隔离。同时，新天地教会在压力下提供了一份教徒名单，经调查，其中有100多人是军人。韩国国防部相关人员表示，正在调查他们的所属部队，以及是否参加过新天地教会活动。（海外网）@新京报http://t.cn/A67CUBKc
风筝高飞翔88,:『首尔市以过失杀人罪等起诉新天地教会会长，超过1500例确诊病例与新天地教会有关。』http://t.cn/A67CyHR4
苏苏就不吃油碟,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
日本通微博,:#日本疫情#据日媒3日消息，日本国内2日新增19例新冠肺炎病例，有部分地区疑似出现聚集感染现象。其中，北海道确诊5例、大阪府确诊2例、爱媛县确诊1例、高知县确诊1例、新泻县确诊4例、神奈川县相模原市确诊5例，以及1名钻石公主号邮轮上外国籍船员。至此，日本累计确诊人数达980人。http://t.cn/A67CyLkS
亿忆澳洲,:#澳洲冠状病毒疫情滚动播报#新州又添2例确诊，首例新加坡感染病患出现，全澳确诊总数达36例http://t.cn/A6Pou96y3月3日15：30更新在新南威尔士州，又出现2例新的确诊。其中一名病例为最近前往过新加坡的一名53岁男子，另一例病例为一名从伊朗回澳的39岁男子。来自新加坡的病例系全澳首例。目前新州总病例为11例。新州卫生部长BradHazzard表示，新州局势目前变化非常快。卫生当局警告说，这种病毒的爆发可能会在冬季流感季节重合，给医疗系统造成巨大压力。
菲菲阿·,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
快兰斯24小时财经直播,:实时播报：据美国有线新闻网(CNN)报道，厄瓜多尔卫生部2日晚间宣布，该国目前有七例新冠肺炎病例。厄瓜多尔卫生部称，新确诊的患者曾与该国最初报告的新冠肺炎病例有过接触，目前有177人因与首例患者接触在接受观察。（中新网）...（关注公众号“快兰斯订阅号”进微信24小时直播群）
旧金山在线,:#湾区新闻快报#【圣塔克拉拉新增2名新冠肺炎确诊病例全县共计9例】圣塔克拉拉县公共卫生部门周一确认了两例新的COVID-19病例，这使该县的病例总数达到9例。http://t.cn/A67CLNo1
试金石998S,:财新网•公司【浙江新增七例意大利“倒灌”病例青田在意华侨百人返乡】浙江青田县约有10万人在意大利，多从事餐饮服务业，目前已有百名华侨近期回国，当地防疫压力陡增浙江新增七例意大利“倒灌”病例青田在意华侨百人返乡
作家孙玉良,:【#韩国100多名军人是新天地教徒#，事闹大了！】韩国政府施压新天地教会，接照教徒名单展开调查发现，100多名军人竟然是该教的信徒。截至当地时间3日上午10时，部队内新冠肺炎确诊病例为31例，已有8270名军人被隔离。这个新天地教渗透到了韩国的军队系统，果真是邪教，事闹大了。
彤瑶babe,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
德根律政官方号,【#韩国100多名军人是新天地教徒#正逐个接受调查】据韩国纽西斯通讯社2日报道，近来，新天地教会引爆韩国新冠肺炎疫情，遭舆论谴责。在韩国政府施压下，教会提供了一份教徒名单，经调查，其中竟有100多人是军人。韩国国防部相关人员2日表示，已经从新天地教会获取军人教徒的姓名和出生年月，正在调查他们的所属部队，以及是否参加过新天地教会活动，尤其是大邱教会、釜山温泉教会和首尔明城教会，因为这些地方举办过大型礼拜活动，教徒聚集感染情况较为严重。据韩国国防部通报称，截至当地时间3日上午10时，部队内新冠肺炎确诊病例为31例，已有8270名军人被隔离。为防止疫情扩散，韩国国防部2月22日起限制官兵休假、外出、外宿和探视。2月25日，韩国防长郑景斗下达指令，要求立即对发生感染的部队采取隔离和防疫措施，阻止疫情进一步扩散。（海外网）http://t.cn/A6796MUl
-vsioae-,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
杨芸晴的外套,#韩国政府进入24小时全面戒备状态#
聪明婷bb,:#韩国100多名军人是新天地教徒#那是进部队前就是教徒了吧？毕竟部队应该还是很严格的！#韩国累计确诊4812例新冠肺炎#现在重点要做的就是赶紧工厂停厂学校停学，控制出行隔离传染人员把伤害减到最低！
日本疫情播报,:【速报】#日本疫情#又失守一地！大分县大分市新确诊1例（黑色圈），该县首例。等一会大分知事要开记者会。
银山落月弥,:#上海新增确诊1例新冠肺炎#事实证明，还是不能掉以轻心，还是要做好个人防护，不聚集，不松懈，继续摒牢！#韩国100多名军人是新天地教徒#韩国太难了
银山落月弥,:#浙江新增7例均为意大利输入病例#严禁境外摄入啊凡是外来人员第一时间隔离半个月，严防疫情反扑，不隔离的直接举报#韩国100多名军人是新天地教徒#韩国太难了
奶粉味的反差萌,:#韩国累计确诊4812例新冠肺炎#这么快？？到底有没有限制人员大量聚集！#韩国100多名军人是新天地教徒#军人是教徒？难道是入伍前就已经是了？
黑夜之睛滚雪球,:建筑行研痛哭式推票。上一次痛哭的是交运研究员：航运的低迷周期比自己的职业生涯都长怎么办？
PortiaJX,:#最新疫情地图##新加坡疫情#与新加坡WizlearnTechnologies公司传染群有关的13例病例中，有3例是印尼巴淡岛返新后确诊。《雅加达时报》报道，新加坡第101例、第103和第104例在出现症状前都到过巴淡岛。第103例、37岁新加坡籍女子在巴淡岛拥有房产，2月20日抵达。她的丈夫、两个孩子以及雇佣的25岁缅甸籍女佣(第104例)于2月21日抵达。他们在23日返回新加坡。新加坡卫生部文告指出，第103例2月20日出现症状，第104例2月23日出现症状，两人都在3月1日上午确诊。第101例、61岁新加坡籍男子，和第103例一起在武吉巴督工业区AsiaAssetRecovery公司上班，是同事关系。他2月21-23日也在印尼巴淡岛，25日出现症状，29日上午确诊。印尼当局在接获新加坡卫生部通报后，追踪到当地跟他们有过密切接触的15人，要求他们隔离一周。除了这三人，至少还有四人在离开印尼后确诊，他们分别来自中国、日本、新西兰和马来西亚。新加坡卫生部文告也指出，第103例新加坡籍女子是该传染群首例确诊病例第93例的家人。但《雅加达时报》并未指出，第93例、38岁新加坡籍男子是否是第103例的丈夫。http://t.cn/EZufoGA
欧甄子,:#辽宁新增3例确诊均为丹东病例#加油，我的老家丹东！#小霞新事#
丽水瑶姐,:#浙江新增7例均为意大利输入病例#【缙云情况通报】有网民在微信群中传五云街道南塘路一家三口，与青田一名意大利境外输入确诊病例同机返回国内的消息，现就有关事实情况通报如下：#红色浙西南绿色新丽水#详情见图片～
丽水瑶姐,:#浙江新增7例均为意大利输入病例#海外侨胞也是我们手足情深的同胞～国家有难的时候他们立刻站出来、捐款捐物，蚂蚁搬家把国外的防疫物资采购运送回国～现在他们生病了我们也不会把他们拒之门外，相反，我们丽水做了很多工作，迎接他们的回归。海外华侨不要怕，这里永远是你的家！#红色浙西南绿色新丽水#回程一定要做好防护！
利川发布,:#利川战疫#【3月2日，湖北利川市0新增新病例，累计治愈出院45例】截至3月2日24时，利川市累计报告新冠肺炎病例58例。目前累计治愈出院45例，其余患者均在定点医院接受隔离治疗。3月2日，全市发热门诊共接诊147人，留观28人。
青县司法,:新京报【浙江公布8例输入病例：8名患者在意大利同一餐厅工作】#浙江8输入病例在意大利同一餐厅工作#3月3日，浙江省公布新型冠状病毒肺炎疫情情况，新增境外（意大利）输入性确诊病例7例。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。O浙江公布8例输入病例：8名患者在意大利同一餐厅工作2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。
Theonlywinegood,:#疫情与葡萄酒#截至巴黎时间3月2日20时，欧洲地区累计报告新冠状病毒感染病例2750例，目前光欧洲葡萄酒生产总量排前四（2019）的意大利，法国，西班牙和德国就有2541例。
Adore_蔡徐坤,:#上海新增确诊1例新冠肺炎#好几天没新病例了咋突然又多了一例
古玩哥,:当中80人可以自愈，其余20人，嗯，哈利路亚
六六超佛系,#韩国100多名军人是新天地教徒#韩国强制服兵役的，应该进去之前就是邪教徒了吧
Blueberry_bx,:#韩国累计确诊4812例新冠肺炎#唉，之后国内新确诊的估计大部分是输入性病例
筱·柒月,:#韩国100多名军人是新天地教徒#天，军队都这样，可怕
浦东发布,:【张文宏医生硬核复工指南：现在起一到两月内防火防盗“防”同事
郭郭Cappuccino,#韩国100多名军人是新天地教徒#韩国强制服兵役的，应该进去之前就是邪教徒了吧
安吉力拉,:韩国中央防疫对策本部副本部长权俊旭3月1日在新闻发布会上首度证实：部分新天地教徒曾在1月去过武汉，但目前还不清楚人数有多少。目前韩国的确诊病例中，有超过1500例与新天地教会有关。此外，据韩联社消息，韩国首尔市以过失杀人罪等罪名起诉新天地教会会长李万熙等人。
Wind资讯,:【荷兰累计新冠肺炎确诊病例达18例】据荷兰媒体报道，荷兰新增8例新冠肺炎确诊病例。荷兰累计确诊病例达18例。荷兰国家公共卫生和环境研究所表示，新确诊的8个病例均和来自意大利北部的旅行者有关或者是之前感染者的亲属。荷兰卫生机构正在调查这8名病例的密切接触者。（央视）更多干货点击http://t.cn/AiuC2CT8
庭前_花,:#浙江新增7例均为意大利输入病例#希望都没事新冠状病毒赶紧离开
号外商丘,:震惊！#韩国100多名军人是新天地教徒#，正逐个接受调查。韩国部队已被确诊新冠肺炎31例，致使8270名军人被隔离。邪教在韩国真是无孔不入！
御马摇铃,:瑞士聯邦當局發布了三項新規則，以幫助預防冠狀病毒的傳播。目前，瑞士有27例確診病例。這些措施（立即生效）包括避免握手，將用過的紙巾放在密封的垃圾箱中，以及先打電話給醫生而不是先去就診。這使瑞士官方衛生規定的數量增加了一倍，達到六個。上週，聯邦公共衛生辦公室外部鏈接發布了另外三個相關的規則：徹底洗手，咳嗽打噴嚏的時候用紙巾或用手遮擋，如果發燒和咳嗽，請留在家中。瑞士政府上週五采取了前所未有的措施，接管了州政府的權力，以禁止大型集會，以遏制病毒的傳播。
杜晚归Diary,:#浙江新增7例均为意大利输入病例#无论是什么原因，求求它别再新涨了！目前国内好不容易取得进展，这个阶段防止境外输入真的很必要啊！
全真道士梁兴扬,:今天名单新增25个人的名字
西藏日报,:【权威发布】2020年3月2日西藏自治区新型冠状病毒肺炎疫情情况#坚决打赢疫情防控阻击战#http://t.cn/A679nM7Z@人民日报@人民网@新华网@新华视点截至3月2日24时，我区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续33天无新增确诊或疑似病例。
乐吃购日本,:#日本旅行#http://t.cn/A6hUu0WG【3/3早晨最新】日本「新冠肺炎」疫情速报：国内确诊980例，包含钻石公主号706例。3月2日，北海道、神奈川县、新泻县、大阪府、爱媛县、高知县等地皆出现确诊病例，加上钻石公主号上1例确诊，合计共新增19名确诊病例。截至3月3日早晨10时00分，钻石公主号共检疫出706例确诊病例（包括6名死亡），5架撤侨专机共检查出14例确诊感染的乘客，其他还有包括观光客的260例确诊（包括6名死亡），共计已有980人确诊，治疗后出院者有43人。
胡舒立,:【3月2日：全国新冠累计确诊80151例新增确诊降至百余例】全国累计死亡2943例，新增确诊病例大幅降至125例；浙江新增7例意大利输入病例；国外累3月2日：全国新冠累计确诊80151例新增确诊降至百余例（来自财新客户端）
小小影子小小宝,#66岁新冠肺炎患者肺移植手术成功#浙江大学医学院附属第一医院完成了全球首例老年新冠肺移植手术。这台高风险、高难度手术，历时4个小时，凝结了浙大一院30余位医护专家的心血。目前，双肺顺利移植完成，患者术后生命体征平稳。
从前现在过去了再不来2014,意大利安莎社报道，罗马一家叫杭州餐厅的中餐馆宣布暂停营业到4月28日。老板周女士说，不仅顾客少了，厨师也不想上班，要回中国。现在中国成了轻疫区了，意韩伊几国的华侨想回中国，不能不让人家回吧。
微凉的F小姐,意大利安莎社报道，罗马一家叫杭州餐厅的中餐馆宣布暂停营业到4月28日。老板周女士说，不仅顾客少了，厨师也不想上班，要回中国。现在中国成了轻疫区了，意韩伊几国的华侨想回中国，不能不让人家回吧。
小米大咖,:#浙江新增7例均为意大利输入病例#【就地居家是最好的自我防护，是对国家防控大局最大的支持】丽水青田是著名侨乡，疫情之初，华侨们捐钱捐物，大力支持国内疫情防控工作，我们感谢感恩。当前，境内外疫情风险尚未完全解除，出行途中，乘坐公共交通最易交叉感染，居家才是最好的防护，少出行、不串门、不扎堆、不聚集、不聚餐、勤洗手、戴口罩，真需回国请第一时间报告，做好个人隔离……#红色浙西南绿色新丽水#万众一心，守望相助。我们坚信疫情终将过去，胜利必会到来！
梨视频娱乐,:【新研究：#巴西新冠病毒发现三处突变#】2月28日，巴西首例新冠肺炎患者的病毒基因组序列（Brazil/SPBR1/2020）公布，这项工作由巴西圣保罗大学和英国牛津大学的科学家合作完成，他们对比了17个国家的127个病毒基因组，进行遗传分析后发现巴西新冠病毒与武汉参照菌株（Wuhan-Hu-1）相比，存在三处突变，其中两处与德国慕尼黑的菌株（Germany/BavPat1/2020）非常接近。巴西首位新冠肺炎患者曾于2月9日至21日到意大利伦巴第地区旅游。http://t.cn/A67Sn4Cb
雷希颖,:知道为什么韩国数据增长得那么快吗？因为它在检测……知道为什么印度现在都是0吗
马后炮日报社,:#印官员称瑜伽可防新冠肺炎##全球抗疫第一线##海外抗疫日记#印度再发现两例冠状病毒阳性病例。一个被感染的人在德里，另一个在特兰加纳。新发现的两个感染病毒的人都过意大利和迪拜，这使得印度的阳性病例总数达到5例。马后炮日报社的微博视频
香港文匯網,:【韩国增477宗确诊其中军方新增3宗】韩国有关部门今日（3日）公布，截至上午9时，全国新增477宗确诊个案，累计4812宗。累计确诊个案中，有近六成与新天地教会有关。康复并解除隔离的病例增至34例。韩国国防部指，军方新增确诊个案3宗，累计确诊个案增至31宗，海陆空三军和海军陆战队均有确诊个案。#新型冠状病毒#http://t.cn/A679a058
扭腰1村民,意大利安莎社报道，罗马一家叫杭州餐厅的中餐馆宣布暂停营业到4月28日。老板周女士说，不仅顾客少了，厨师也不想上班，要回中国。现在中国成了轻疫区了，意韩伊几国的华侨想回中国，不能不让人家回吧。
Betterbeluckythansmart,:自从纽约确诊第一例我整个人的generalanxiety又上升新高度
那个灞綺小留头,:#韩国累计确诊4812例新冠肺炎#一天一千，每天都有新感觉。惊，韩国还是狠啊
胡子格-微语录,:#上海新增确诊1例新冠肺炎#疫情防控一点都不敢松懈，稍不留神就可能出现新的情况……疫情防控必须细之又细！
碳烤万洋,:#韩国累计确诊4812例新冠肺炎#真的不知道到这帮人怕不怕死，新天地就是近在眼前的例子，教训还不够惨痛吗？全国人民都知道不要聚集，医护人员辛苦，特别是香港的医护人员经常罢工，你们有考虑这些吗碳烤万洋的微博视频
天使友人2011,:【资本公积、盈余公积和未分配利润”转增资本的个人所得税处理及例解】资本公积、盈余公积和未分配利润”转增资本的个人所得税处理及例解。二是新股东以低于净资产价格收购股权的，企业原盈余积累中，对于股权收购价格减...http://t.cn/A6796FBM
畲家小仙女,:#浙江新增7例均为意大利输入病例#在国内疫情大爆发的时候，华人华侨没有置身事外，他们尽自己所能的给我们财力、物资以及精神上的支持。现在他们有难了，我们也不该拒绝和冷漠的对待他们！更何况，我们还有成熟的防疫措施和治疗方案，相信我们一定能扛过去的！
落霞皛鸥,:最新！31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，湖北新增114例。中国加油🙏>>http://t.cn/A679xkQw精选集：新病毒疫情最新病例，共76个作品，快来围观吧
陶子财经,:#辽宁新增3例确诊均为丹东病例#是韩国传过来的？朝鲜？新天地教？堵住他们。
山东公考资讯,:#公务员[超话]##省考#例:新时代爱国主义教育要面向全体人民、聚焦青少年。其中，要发挥()的主要渠道作用，培养社会主义建设者和接班人。
全球视频大魔王,:【#韩政府称42名新天地教徒曾到武汉#：与疫情暂无关联，数据也尚需核实】3月2日，韩国中央防疫对策本部长郑银敬回应新天地教徒曾到武汉的问题。她称过去8个月间，24.4万新天地教徒中约42人从武汉入韩，此数据暂不准确还在核实中，已核实其中2人是教徒，但不在参加礼拜的名单中，暂无法证明与疫情有关。#韩国累计确诊4812例新冠肺炎#http://t.cn/A67SSeTY
品花-不能好了,:张主任：每天确证都是零，有点方。好的今天新确证一例。
皋城美食VS六安美食,:#抗击疫情六安在行动#3月3日，六安最后6例患者出院，实现清零！加油呀！六安！
青山樵子-,:#浙江新增7例均为意大利输入病例##红色浙西南绿色新丽水#在我们国内发生疫情的时候，广大华侨出钱出力，意大利青田同乡会捐赠达几百万个口罩，包机运回，捐给武汉，浙江，丽水，温州……意大利达爆发，华人到处受冷眼，发生这样的输入病例，也不是我们愿意看到的，不回国，不走动，戴口罩，勤洗手，是我们倡导的！
兰花盛开_88848,:韩国超4000例！新天地教会会长检测结果公布http://t.cn/A67aODke
boyskanmn,【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
天枰座Anny_,:疫情速报！日本新冠肺炎确诊980人！截至日本当地时间3月2日21时，日本累计确诊新冠肺炎病例980例，因新冠肺炎死亡累计12人。在日本国内的日本人和中国游客等累计确诊260例；“钻石公主”号邮轮新确诊1名船员，累计确诊706例。
石头城居士,:#浙江新增7例均为意大利输入病例#【内防扩散，外防输入】战疫步入新征程，防控思路却永恒；国内隔离渐好转，境外阻断莫再逢！
我是小甜茶吗,:#上海新增确诊1例新冠肺炎#能查出感染源吗？怎么传染的，是新传染上的还是原来疑似确诊的。我单位好多人住那里……
夏天是冰1,:浦东金桥又新增加了一例肺病患者，黑龙江人。
