_一颗热土豆_,看看鹅的发票也可以开起来了
盐城微爆料,:#盐城记录#2月28日，盐城市公安局盐南高新区分局接到群众举报，有人在微信寻找购买鹦鹉。接到线索后该局治安大队立即组织精干力量进行研判，于2020年2月29日下午18时在盐都区创元金域华府18幢301室将涉嫌非法收购、运输、出售珍贵濒危野生动物罪的犯罪嫌疑人崇某某抓获归案，现场搜查发现鹦鹉一只。后经审查，崇某某交代其还进行象牙制品的买卖，目前该案还在进一步办理之中。
陕西新闻广播,:#网购口罩陷阱多！西安、安康发生多起口罩诈骗案，严惩！#西安市雁塔区人民检察院对辖区内两起涉疫情案件依法快速批捕近日，西安市雁塔区人民检察院对多起涉疫情案件依法快速批捕。这些案件作案手法类似，犯罪嫌疑人都是伪装身份，虚构货源渠道，骗取被害人信任，顺利诈骗成功。检察官介绍说，针对疫情案件他们指派专人提前介入引导侦查，与公安机关分析研判案情，为案件的快捕、快诉打下基础。西安市人民检察院表示：将严格依照两高两部《关于依法惩治妨害新冠肺炎疫情防控违法犯罪的意见》的有关规定，依法从严从快办理涉疫情案件，保障人民群众人身健康和财产安全。提醒消费者：通过网络购物、交友要谨慎，注意核实身份，对方要求转账一定要提高警惕。发现被骗也要及时报警，保留好凭证。疫情期间，防护物品还是请大家在官方指定渠道购买，谨防上当。安康旬阳：男子虚假销售口罩非法获利8000余元被抓近日，安康旬阳县公安局迅速破获一起疫情期间以销售口罩为名实施诈骗案件，抓获犯罪嫌疑人1名。2020年2月16日和2月23日，旬阳县公安局连续接到两名群众报警称，看到朋友圈有网友发布售卖口罩的信息，商谈转交定金后，却迟迟未收到口罩。经多次催要，其以疫情期间快递运送慢等各种理由推脱，最后竟将自己拉黑，被对方骗取钱财。通过多方排查、信息研判等手段，民警发现村民李某林有重大作案嫌疑。近日，在民警严密布控下，将嫌疑人李某林成功抓获。经查明，李某林通过一财务微信群谎称销售口罩骗取多名受害人，非法获利8400余元。目前，嫌疑人李某林被依法采取强制措施，案件正在进一步调查中。
lonyAA,:
陕西新闻广播,:#陕西省西安汽车站今天起恢复运营！全面推出电子客票，凭“一码通”乘车#从陕西省西安汽车站了解到，从今天（3月3日）起，陕西省西安汽车站恢复运营。为做好疫情防控工作，确保往返乘客安全出行，所有西安市城内人员及返(来)西安市人员必须提前主动注册申领“一码通”。除必备“一码通”外，省西安汽车站恢复运营后，乘客还需关注以下注意事项：一、进站流程1、一码通具体申领可通过支付宝、微信及各类扫码浏览器扫描“一码通”二维码申领，或搜索“西安大数据”微信公众号，点击“政民互动”申领模块，如实准确填报相关信息，申领个人电子识别码。用于往返西安市的乘车需要。长按即可扫描二维码2、进站前请提前网上购票，请在“携程网”“出行365网”等网站提前网上购票，也可在车站进站前现场扫码购票，购票成功后出示电子客票信息进站。3、因疫情防控的要求，请大家务必佩戴口罩进站，并自觉接受测温后方可进站。二、客运流程1、为了做好疫情防控工作，3月3日起省站全面推行电子客票。进站后通过检票口人脸识别设备，上车前出示电子客票扫码验票乘车。2、售票厅在12号窗口设有退票窗口，在8号窗口设有党员示范窗口，在2号窗口设有问询处，如有需要车票报销的旅客，可在8号窗口或指定设备取票后进站。3、目前每个班次每车仅售半车票，上车后请大家分散就坐，并全程佩戴口罩，请自觉服从车站工作人员以及车辆司乘安排。4、3月3日第一天，省站开通宝鸡、陇县、千阳、山阳、商州、铜川、铜川新区、西峰、平凉等班线，具体发车时间请大家提前在陕西省西安汽车站微信公众号或者携程网、出行365公路客票网查看并预定客票。三、特别关注1、1月26日后停运期间在省站预定的客票，已经取票的请来站到退票窗口退票，如未取票请在网上全额退票，如因疫情影响取票后不能来站退票的请与省站问讯处联系处理退票事宜。联系电话：029—87427420。四、温馨提示1、请所有旅客乘车前必须携带本人身份证，如果携带免票儿童，或者购买半票，均可在网上提前购买，请大家提前购票，方便乘车。2、进站乘车不得携带酒精、消毒液、以及管制刀具、压力容器和易燃易爆有毒有害物品乘车，以免耽误自己行程。
苏州交警,:#同心抗疫为爱护航#【交警提醒：目前，苏州市部分非现场违法处理窗口已开放】#疫情当前警察不退#首先，办理业务者需要如实申报苏城码信息，申报成功后进入“苏州交警”微信公众号办理违法处理预约，预约成功后即可到线下办理，详细步骤如下。#一线微观#
喜欢抱抱呐,:#外国人永久居留管理条例#我在微信的中国法律服务网里面反对条例的时候反对了我认为有问题的，其他的条例也没点赞同，现在听说没点的代表同意。吐了，我想要求重改一些，现在想登录进去，一直显示验证码错误。我不知道是不是被封了还是什么的，总之我不同意，我反对反对，如果是按照不点同意或反对所以默认同意最后跟反对的条例PK的话，太恶心了，那么多条例只有几条有问题。我就点了几天反对我觉得不合理的条例。其他的我都没点，要求官方重改某些有问题的管理条例，有问题的条例必须改必须改
凤之城广元,:#广元战疫#【青川县公安局网安大队连续破获涉疫案件】在疫情防控期间，青川公安局网安大队紧紧盯住涉及疫情方面的案件，尤其是对于涉及民生方面的案件，坚决打击，绝不手软，确保青川防疫工作正常有序开展，确保民生领域的保障秩序得到有效治理。近期，青川县公安局网安大队分别快速破获一起销售假冒伪劣口罩案、一起利用微信贩卖防疫口罩的新型网络诈骗案，有效的维护了全县的社会治安大局稳定，有力的呼应了疫情期间人民群众关注的热点敏感需求。（川报观察）详情：http://t.cn/A67NyECI
千里眼短视频,:【#河南援鄂医生获患者5星好评#：他在家一定是个好老公
成都至情至爱相亲俱乐部,:
崂山华楼游览区,:根据崂山区文旅委疫情防控指挥部要求，巨峰管理处疫情防控督导小组负责沙子口街道13个社区民宿、农家宴场所疫情检查督导工作。自2月3日接到任务之始，巨峰党支部班子坐下来碰头找头绪、理思路，确定先与社区、街道对接联动，建立微信群，初步了解底数再实地摸排掌握情况。随即由4名科长任正副组长，共6名党员、4名团员入党积极分子组成的精兵强将走到了社区疫情防控的最前线。@崂山区旅游局官方微博@崂山风景区官方微博
成都东站汽车客运站,:为确保疫情防控和复工复产“两手抓、两不误”，助力农民工返岗复工，在“3.5”学雷锋日即将到来之际，成都东站汽车客运站与市政府火车站管委办联合开展“春风行动”，双方组织了近20名党员、团员志愿者为乘坐“春风行动”定制专车的63名返岗农民工做好志愿服务，该车由中铁十四局集团有限公司通过车站微信公众号预约，于3月3日下午14：00从成都出发，前往杭州。车站针对运输路线、防疫物资配备、车辆消毒、人员监控、车载客数等制定了详细的运输组织方案，要求所有乘客、驾驶人员必须全程佩戴口罩，并严格按照核定载客人数的50%控制客座率分散就座，党员、团员志愿服务队为陆续到站候车的农民工们提供线路指引、行李帮扶、酒精消毒、体温检测等温馨服务，在严格做好个人信息登记工作后，将其有序送上专车。考虑到行程较远，志愿者们还贴心的向农民工们提供了矿泉水、饼干、面包等食物，温暖的举动让现场很多农民工无不感到喜悦和激动。@四川交通@成都交通运输
Devilfor9ever,:我可太稀罕我的小老弟了放风筝自己拿东西不让我拿东西舅妈给橘子说分给大家他分给了我一半我在洗碗脱掉外套过来帮忙我说给我颗糖过了两个小时找来了一颗糖一起打游戏说姐姐求求你跟着我要不你就死了打羽毛球就主动捡球哦要回家了吧我拉到墙角躲起来加我微信回家前嘱咐我说一定要接我电话姐姐嗯沦陷了
沏茶Tea,:这个学期真的好难…我们猝不及防地成了催打卡客服，十八线网络主播，搬砖兼打包女工，还得在校门口摆摊错峰发课本…这两天正式网上开学，还得在线批改作业，筛选各种网课资源…学校、老师、家长面对这种新问题，都是茫然失措，一点一点摸着石头过河。手机和电脑装满了各种app，微信里保存了一堆小程序。唉，希望疫情早点过去，我们正常上班，学生正常上学。
全素斋1025,实用！教你怎么用微信发送大文件视频
阿钦甜品官方旗舰店,:#阿钦甜品官方旗舰店[超话]#⚠️小贴士大家收货的手机号码可以绑定一下顺丰速运微信公众号快递寄出/到达/派送均会第一时间通知哦～特殊时期请及时签收或取件哦
区块链大参考,:☆☆☆☆【苏州市姑苏区人民检察院上线基于#区块链#的“法眼识动物”微信平台】近日，一款运用区块链技术的“法眼识动物”微信平台在江苏苏州诞生，该平台将打击和保护野生动物双效合一，运用区块链技术，具有“#去中心化#、公平公开、链上存证”的特点，为解决办理野生动物案件线索零星、取证难、存在滞后性等难点提供了方案。据介绍，平台由苏州市姑苏区人民检察院发起，将市场监督管理局、司法局、餐饮协会等主管部门和社会组织多方整合，实现线索共享。【关键词】区块链平台微信法眼苏州市姑苏
Just傻狗ming,:我说我胃疼，我爸问我吃啥药，我说有啥吃啥，最后我凉水吃的药。今早我难受上班去了，我奶和我爷轮着给我发微信问我怎么样了。差距啊，
温柔鱼总,搬||报！！微信提现的手续费也可以开发票（报！鹅急了鹅急了，不给纸票了！新增神仙投稿，详细教程来了！）#227大团结#搬||报！！微信提现的手续费也可以开发票（报！鹅急了鹅急了，不给纸票了！新增神仙投稿，详细教程来了！）
我爱奶茶呀,:通过这次疫情我发现应该把生活中卖东西的人的微信都留下来啥卖火锅配菜的卖热干面的水果的开超市的卖卤菜的都在朋友圈卖
unfollowedfans,:抑制不住的思念，终于点开了我💇♂️小哥微信。结果他现在微信名：
这里是隋瘦子,:可能以后每天改微信名儿就是我减肥的动力了青岛
遇诺-_-,:人的精力实在有限大多数人都是过客，留在微信里躺久了连名字都开始陌生，不如删了
修男292,:#微信读书#分享文章钟南山：好大的官威！湖北司法厅厅长等9人被立案调查，北京多人受处分。
Biiiii毕毕,:以后聊天就用qq吧，我实在不想用微信了
AAAAAAAltman,:#王竟力#王竟力，你在群里公布肖战亲人3月2日去世的微信截图，【有经过肖战同意吗???】如果没有，你全网公布肖战隐私，是在吃人血馒头吗?你为什么说别人在吃的瓜是血色?请问您到底是什么意思?是自己吃了人血馒头要推锅吗?
范水水爱吃饭,:#教师资格证面试成绩##教师资格证面试成绩#合格证明可以在微信查到国家政务服务平台小程序的教育服务里边输入名字身份证号准考证号可以查到大家都是过儿。
范饭饭er,:荷尔蒙决定一见钟情，多巴胺决定天长地久微信多开分身，肾上腺决定出不出手，自尊心决定谁先开口一键转发，最后寿命和现实决定谁先离开谁先走。--有一种爱情叫：相濡以沫，却厌倦到终老虚拟定位；有一种痛苦是：相忘于江湖，却怀念到哭泣。
看那柚子又甜又好看,:QQ区坑太多，还是微信稳啊
小白不忙,:我爸天天发微信看着我，看我白天睡没睡觉
鱼罐末儿,#周笔畅[超话]##周笔畅史莱姆#【养鹅】我失忆了？这是什么时候的，还和小白玩游戏《白举纲和周笔畅的关系-秒懂百科》秒懂百科：短视频涨知识，世界如此简单。http://t.cn/A67ChWMz1999同学的微博视频
思归多苦颜i,:别冠冕堂皇为别人好，为人好，你在微博bb什么？如果是朋友你要什么意见建议微信电话说啊，如果连微信都没有，那也不算什么朋友，那你就不要蹭热度了好吧？@马薇薇吃相丑陋，为了蹭热度不择手段啊？
文怡,:刚刚我朋友在她朋友圈里转发了我的微信，啧啧啧，你看看，你看看。。。我是时候考虑新工作了
ya_宋老七,:#反對外國人永久居留管理條例通過##外国人永久居留管理条例##堅決反對外國人永久居留條例#微信小程序搜中国法律服务网，下拉进专区，找到立法意见征集就可以登录投票了，如果介意的可以选择匿名登录，不过实名应该会比匿名的效果好一些，建议实名投票，宪法赋予了我们每个公民投票选举的权利加油！冲冲冲！
喜乐伴大葱,实用！教你怎么用微信发送大文件视频
前世男友_____,:#狮子座[超话]#冷了两天的狮子没主动找我了，今天我把他微信删了，他会加我吗[允悲]
猫吃鱼狗吃肉奥特曼打小怪兽呀,:#上海新增确诊1例新冠肺炎#早上是被微信炸醒的，很无语也很无奈，怎么就我们小区中招了，单位又通知我不用去上班了，虽然一周也只去值班一天，现在我的螺蛳粉到了，我在考虑什么时候去取回来…
高处不吃瓜,:我家老爷子的微信头像emmmmmm…很霸气！
高处不吃瓜,:我家老爷子的微信头像emmmmmm…很霸气！
GUwanan-,:重开第七组❤️我不允许你们羡慕别人安排#微信朋友圈背景图#
律法坚守,:#微博和微信的区别#当微博在讨论政策的可行性，发表自己见解时，微信朋友圈却都是微商，与自己专业、业务相关推广。
大连市百佳妇产医院,:#四维彩超#《大连做四维彩超检查居然还有这些隐藏福利！》更多详情及预约，可点击大连百佳妇产在线客服http://t.cn/AiDgvTmj←或拨打客服热线0411-82755120。客服微信：dlbjfc大连做四维彩超检查居然还有这些隐藏福利！
元妹的叮当小红帽,:在家办公真是太焦虑了
摩羯座的猫yy,:朋友圈突然冒出来一个我删光了的2014年的朋友圈
他举起右手打鸣,:每天醒来：关掉闹钟，学校健康打卡，支付宝湖北健康码打卡，微信国家政务平台健康码打卡，吴青峰超话签到，人民日报微博看最新疫情信息什么时候解封啊
著名女低不下去音,假料一则:杂姐hyq:如果你觉得助理不好，你就自己去做小杂役。如果你觉得助理抠图不好，你就自己打开PS做宣图。记住，你是什么样，五楼的粉刷匠就是什么样。
Shadow757,:微信回复“哦”和“嗯”的可以不用搭理我了我不会说这样的字所以我不配和宁们说话
分期买火柴的小女孩,:肖战好惨，不是因为这一切和它关系不大，是因为他的一群粉丝，和他身边的人，家人去世轮得到外人公布吗？还发微信截图？话说截图真的不是P的？
自然资源部门户网站,:　近日，由自然资源部国家卫星海洋应用中心组织研发的海洋卫星遥感实况微信小程序正式上线。用户只需在手机上动一动手指，就能随时随地获取全球任何海域每天的海面风场信息，足不出户就能查询某海域台风或气旋分布情况及近5天的变化过程。
快兰斯24小时财经直播,:实时播报：【珠三角复工率突破九成】以珠三角为核心的广东企业复工率已经超过90%，外省己返粤人员超过608万人。返程高峰已经到来，珠三角复工复产速度在加快。同时疫情之下，人员输出的计划性和精准度在加强。（新华视点）...（关注公众号“快兰斯订阅号”进微信24小时直播群）
语涵视听,:#微信##宅家get新技能#【教你怎么用微信发送大文件视频
ZYBYK,#陈情令#花絮：王一博、肖战给对方微信备注竟然是这个名字？有什么寓意呢？一起看好剧的微博视频
杰杰杰杰-杰杰杰儿,:楼上小孩蹦蹦跳跳的我已经要神经衰弱了
就是一枚吃瓜人,:存一个链接『搬||报！！微信提现的手续费也可以开发票（报！鹅急了鹅急了，不给纸票了！新增神仙投稿，详细教程来了！）-小组讨论-豆瓣』搬||报！！微信提现的手续费也可以开发票（报！鹅急了鹅急了，不给纸票了！新增神仙投稿，详细教程来了！）
上海Souldancing舞蹈,:爵士街舞初级在线舞蹈课程P8-2：镜面舞蹈教学明星导师Jerome老师超详细慢动作镜面舞蹈教学课程继续，音乐响起，跟着老师，大家跳起舞来，释放自己，把烦恼和琐事都抛到脑后更多相关视频或课程信息请关注我们的微信公众号/咨询热线(021)62564400舞蹈培训#爵士街舞#jazzfunk#少儿舞蹈#镜面舞蹈教学#http://t.cn/A67Cqj3l
Jenline鲸鱼,:#夏茗悠[超话]##缺席者[超话]#Day03+每两天阅读一章《缺席者》+第一天写本章内容概述第16章赫连爬进了陈骁家里面。陈骁要回家里了，赫连看到被撕病历单发微信给唐韵之余试图在找点线索，发现碎片，结果陈骁回来了。唐韵在工地听顾峥汇报工作。赫连给唐韵发求救信号。唐韵发难，为难顾峥，赫连离开，陈骁发现柳树被种在自己家。陈骁和唐韵谈话。
小周吃瓜专用号,:回不完的微信。副业比主业还累，还没钱。不想干了。
黄同学00,我晕了这老师上课啥都不说光让你看视频
综艺线报,:有种落差叫“宿舍最丑”，千玺李兰迪没啥，看到吴磊跪求微信
瑜月之旅,:今日微信课程预告：20:00-21:00睡前梳理睡前很适合给自己一个安抚的环节。🌼呼吸净化内在环境🌼正位梳理释放关节、肌肉僵紧🌼在冥想中让心安睡
是霸霸霸霸天,:#227大团结#不懂就问，微信提现的纸质发票邮费到付什么意思啊
延边万基科技,:发布了头条文章：《分析推荐#英足总杯#：#切尔西vs利物浦#》微信每天公推#足球##NBA#等赛事，需要稳料推荐推荐微信
好玩的水煎肉,:和老板一墙之隔聊微信的感jio
延边万基科技,:发布了头条文章：《分析推荐#英足总杯#：#切尔西vs利物浦#》微信每天公推#足球##NBA#等赛事，需要稳料推荐推荐微信
沙雕一挖一麻袋,:老师上课屏幕黑屏死活不看评论区发微信也不理哈哈哈哈哈哈哈白讲
延边万基科技,:发布了头条文章：《分析推荐#英足总杯#：#切尔西vs利物浦#》微信每天公推#足球##NBA#等赛事，需要稳料推荐推荐微信
Elviramenzel_,假料一则:杂姐hyq:如果你觉得助理不好，你就自己去做小杂役。如果你觉得助理抠图不好，你就自己打开PS做宣图。记住，你是什么样，五楼的粉刷匠就是什么样。
宋er璐,男朋友说要在家做顿大餐#男朋友做饭像在炼丹#文科班校花酱的微博视频
天津有线,:#有线·推荐·欢迎订购#《新东方TV学堂》产品内容包括：学前、小学、中学、高中学科教育和新概念、托福、雅思等成人英语教育内容。新东方小学全年级（1-6年级）月包39元/月【天津有线官网、天津有线微信均可订购】
