tjf微笑,:为打赢疫情防控阻击战贡献湖南科技力量http://t.cn/A670eDVF
土豆哥2,:青铜峡一男子疫情防控期间寻衅滋事被拘5日2月28日14时许，青铜峡市公安局叶盛派出所接到辖区五星村疫情防控检查点工作人员报警称，有人拒不配合疫情防控登记，辱骂防疫工作人员，干扰疫情防控点工作秩序，请求处置。经查，当日10时许，叶盛镇五星村村民马某某驾驶农用四轮车通过五星村疫情防控检查点时拒不配合检查登记，强行通过检查点。14时左右，马某某返回经过检查点时依旧不配合检查登记且不戴口罩。工作人员对马某某进行劝阻时，马某某非但不听反而辱骂工作人员，后闯卡致使执勤点警戒带损坏，弃车离开，其农用四轮车堵在执勤点道路上影响车辆通行，该行为严重影响了疫情防控检查点工作秩序。根据《治安管理处罚法》相关规定，马某某因寻衅滋事被青铜峡市公安局依法行政拘留五日。#热点宁夏##宁夏#
浙江在线,:【山间美景等君来！浙江各地民宿陆续复工，看他们如何恢复“元气”】近日，浙江省农办、省农业农村厅、省文旅厅联合下发《关于加快乡村休闲旅游业有序恢复营业的通知》，要求各地在做好疫情防控工作前提下，迅速行动起来，采取有效措施，全力支持推动乡村休闲旅游业加快恢复营业。疫情之下，遭遇重创的各地民宿业正陆续复工，积极通过他救和自救，逐渐恢复“元气”。via天目新闻http://t.cn/A67jbQWZhttp://t.cn/A67jbr8J
半岛晨报,:【辽宁省委组织部通报四起新冠肺炎疫情防控工作不担当不作为典型问题】日前，省委组织部通报四起新冠肺炎疫情防控工作不担当不作为典型问题，分别是：庄河市营商环境建设局党组书记、局长孙承川履职不力问题。该同志违反工作纪律，擅离职守，造成不良影响，受免职处理。渤海大学化学化工学院团委书记常向明“临阵脱逃”问题。该同志编造本人往返湖北的不实信息，给学校和地方疫情防控工作造成不良影响，受免职处理。葫芦岛市南票区龙腾街道党工委书记魏东雷工作不实问题。该同志督导检查不深入，致使辖区内新冠肺炎确诊病例未及时排查出，被诫勉谈话。昌图县朝阳镇党委委员、组织委员姜军杰作风漂浮问题。该同志对疫情防控工作监督指导不力，工作不深不细，未及时发现村民违规聚餐问题，被诫勉谈话。省委组织部强调，全省各级党组织要认真履行抓落实的职责，高度警惕麻痹思想、厌战情绪、侥幸心理、松劲心态。全省各级组织人事部门要在疫情防控斗争一线考察识别干部，对表现突出的大力褒奖、大胆使用，对不担当不作为、失职渎职的严肃问责，对紧要关头当“逃兵”的就地免职。（北斗融媒）
安徽之声,:#战“疫”双声道#【安徽郎溪：“123456”全力帮扶企业复工复产】近日，安徽省郎溪县出台《关于全力帮扶企业复工复产的通知》，明确“123456”措施，全力帮扶企业复工复产。“1”即突出一个重点，把企业复工复产和防控措施落实作为当前重点工作；“2”即坚持两个统筹，坚持一手抓疫情防控、一手抓企业复工复产，做到两手抓、两不误、两统筹；“3”即明确三个原则，分类、分批、有序推进全县企业复工复产；“4”即落实四个责任，严格落实属地党委政府责任、县直有关部门和园区管理责任、企业主体责任、员工自身责任；“5”即开展五项帮扶。分类重点帮扶，突出重点行业、重点企业，倾斜政策要素，实行重点关注、重点引导、重点调度、重点帮扶；“6”即严格六点要求。支持企业有序复工，在企业确保落实“五个到位”（防控机制、员工排查、防疫物资、内部管理、隐患排查到位）前提下，加快企业复工复产步伐。（安徽之声张鹏钢通讯员王朝伟）
宜宾发布,:【遂筠路高县部分段安全隐患整治工程全面复工预计9月底完工】2019年12月7日起，S206遂筠路高县南广河来复水电站11座桥梁加固维修改造，和深根子高边坡危岩安全隐患整治工程开始，对该路段约15公里距离进行了封闭施工。受疫情影响部分施工人员、施工设备无法到位，针对该情况，宜宾市公路局认真梳理出待复工复产项目4个，复工3个，目前该工程已经全面复工，将抢抓工期，预计今年9月全部完工并实现全线通车。#统筹抓好疫情防控与复工复产#详细戳：http://t.cn/A67jyvYIhttp://t.cn/A67jyvut
桂风起柳南,:【反邪|车辆厂社区：开展“社区邻里守望”志愿服务暨反邪宣传】3月3日，柳南区鹅山街道车辆厂社区党委、共青团、民政、计生协会联合辖区单位柳州机车车辆有限公司、“四联双报到”共建单位柳州市科技局开展“社区邻里守望”志愿服务，上门为行动不便的低保人员免费维修电动轮椅，并进行疾病预防与疫情防控、防范邪教诱骗侵害知识宣传，提高低保人员防疫反邪意识，严防出现麻痹思想、侥幸心理、松劲心态，继续织密织牢社区防控网。（通讯员：刘君）
扬州公安,:【零容忍！北京首例涉疫情袭警案宣判！
新浪厦门,:#有我在温暖在#【请记住口罩背后这些最美的容颜！揭秘厦门35例治愈患者背后的英雄！】#2020一定赢#今天厦门确诊病例正式“清零”，激动人心的消息传来，大家第一时间有感而发的，都是对医护人员的感谢和尊敬。他们救治患者、照顾患者，在疫情防控的第一线，守土尽责、默默奉献，他们让我们知道了，英雄的模样
微盘州,:#六盘水疫情防控##六盘水身边事#【开工，一个值得期待的项目工程仪式在水钢举行】3月1日，水钢公司超高温超高压发电机组项目(场平及挡护工程)开工仪式在水钢焦炭堆场举行。水钢公司超高温超高压发电机组项目是水钢长期致力于提高煤气资源利用率，增加自发电量，提高供电的可靠性，降低综合能耗，减少能源消耗，降低用电成本，实现企业资源优化配置的战略性重大项目。对进一步提升六盘水市中心区域大气粉尘及空气质量，对水钢可持续和高质量发展具有战略意义。该项目已被列入省、市、区重大项目。via.视听凉都@六盘水微生活@六盘水爆料@盘州时报@六盘水身边事@六盘水交警
8099999,:#加强疫情防控云南在行动#【多语言版本云南省疫情动态（2020.3.3）BriefingonNovelCoronavirusCasesinYunnan】3月3日0时至24时，云南省无新型冠状病毒肺炎新增确诊病例，已连续12天无新增病例。全省现有确诊病例3例，均在定点医院接受隔离治疗，无重症、危重症病例，死亡2例。现有疑似病例5例，密切接触者当日解除医学观察12人，正在观察81人。截至3月3日24时，全省累计确诊病例174例，已治愈出院169例，全省各州市具体分布如下↓↓↓（云南外事）
蚌埠日报,:#蚌埠·身边的抗疫故事#（最美战役人）为新冠病房提供后勤保障的另类“白衣天使”“滴铃铃铃”电话铃声响起，“喂，这里是五院安保部，请问有什么需要帮助？”伴随着电话铃声响起，安保部的维修人员忙碌起来。“7110”是院内每个医护人员必须记住的号码，作为医院内部应急电话承担着应急维修、安全保障等一切救治以外的后勤安全保障工作，五院安保部就是这样一个部门。五院安保部有15名工作人员，已经连续在医院全天候保障40余天，这群人平均年龄50岁，年龄最大的师傅还有两个月就退休了。他叫赵学胜，一名维修水工，在平凡的岗位上已经工作30多年，2020年春节期间，五院作为抗击“新冠病毒”的第一线，工作任务繁重，危险性大，赵师傅没有因为自己还有两个月就退休而向后退缩，依然坚守在抗疫一线，每天24小时，连续40多天。有人说：“老赵，你还2个月退休了，那么拼干什么？”赵师傅却坚定的回答“只要我还在医院一天，我就要对得起医院给我发的工资，看着前方的医护人员抗击病毒，我就要在我的岗位上做出贡献”。随着疫情的发展，为保障医院隔离病区、负压病房用电、消防安全和日常维修工作，安保部决定派驻一名技术全面的人员进驻隔离病区，孙兴、赵宁、徐德宝、陈伟等一批年轻人主动请缨，他们有一个共同的特性，都是退伍军人，他们脱下了军装，但退伍不褪色，“若有战，召必回！”每一个人在疫情前都不退缩，主动向前。“赵宁，你两个孩子太小了，需要照顾，你已经10几天没回家了。”“秦龙，你家还有老人要照顾，我来。”“陈伟，你技术没有我全面，我进合适。”“大家不要争了，我是共产党员，我进过非典病房，我对里面的工作流程熟悉，我进！”2月5日开始，五院七楼八楼留观病房紧急改造，按照留观要求，23个病房需要重新改造，但只给两天时间。时间紧，任务重，安保部人员全员上阵，进行照明系统、紫外线消毒灯、非接触式感应水龙头的改造和安装，床单元配件复杂，各种生活用品需要配置到每个病床上，经过2天两夜奋战，23个留观病房按照计划投入使用。在隔离病区改造期间，共产党员徐德宝，一名退伍20年的老兵，在进入隔离病区前已经16天未回过家，从筹建病房到设备检修，再到运行后的安全排查处处都有他的身影。此时，刚从隔离病房抢修出来的徐师傅，浑身上下都已经湿透，他说：“17年前我年轻，刚退伍，SARS来了，那时组织上让我进隔离病房我想都没想就进去了，十七年后，我比以前更加成熟，一定能够更好的完成这次任务！”“这段时间特别繁忙，随时待命穿隔离服进入应急病房维修设备。”徐德宝说，84消毒液腐蚀金属，病房内的一些锁被腐蚀坏了需要更换，抽水马桶坏了需要维修。有一次，隔离病房的DR没有电了，患者急需要拍片子，他在更换了隔离服后立即进入，很快就排除了故障重新通电，为新冠肺炎患者的治疗赢得了宝贵的时间。在五院安保部，还有很多像赵学胜和徐德宝一样的同事，他们坚守着五院的“110”筑起安全保障的坚强后盾，为打赢疫情防控阻击战贡献力量。他们坚信春天将会很快到来，胜利就在眼前！蚌埠日报全媒体记者陈昂通讯员生兆礼文图
木火通明,:【湖南省鼓励对无车家庭购置首辆家用新能源汽车给予支持】湖南省发改委主任胡伟林在当日召开的湖南省统筹推进新冠肺炎疫情防控和经济社会发展工作新闻发布会上透露，为促进汽车消费升级行动，湖南省鼓励各地对无车家庭购置首辆家用新能源汽车给予支持，加快新能源汽车充电基础设施网点布局和建设。加大城市新建公共停车场力度，加强居民小区停车位规划与改造。鼓励车企和经销商在省内组织开展“汽车下乡”促销活动，加快繁荣二手车市场。
遵义事儿君,:#遵义身边事#【遵义市美术馆明日恢复对外开放
刘尚伟营养师,:【学雷锋日志愿者在行动】特殊家庭是社会中一个特殊的群体，他们大多数已迈入中老年阶段，疾病或意外却让他们失去了唯一的孩子，随着年龄的增长，只能独自承担养老和精神压力。为了让这些特殊家庭感受到社区的温暖，烟台计生协—莱州计生协在疫情期间，组织我们莱州市尚伟职业培训学校志愿者，结合一对一关爱帮扶，加强了计生特殊家庭的关心关爱工作。通过主动电话、微信等方式，开展健康关爱活动，了解他们在疫情期间的生活情况的同时，宣传好疫情防护和健康科普知识，及时帮助他们解决疫情期间遇到的困难。主动开展健康疏导，传送真情。及时消除疫情给特殊家庭带来的焦虑和恐慌，结合疫情防控，逐户走访，稳定特殊家庭心理情绪，重点关注高龄、独居的特殊家庭，做好慰问帮扶和心理疏导，确保他们保持身心健康。此次活动的开展，我们心理咨询师志愿者伙伴们在接听心理热线的间隙，跑了100多公里的路程，奔驰在莱州各个乡镇村里，为20户特殊家庭送去防疫用品而让他们备倍感温暖，每一位特殊家庭人员都会对我们的志愿者说：“外面新型冠状病毒肺炎疫情形势这么严峻，这么危险，你们还大老远给我送口罩和手套等用品，真是太谢谢你们了，你们也要注意保重自己的身体哦......”。谢谢政府对我们的关心和支持！[玫瑰][玫瑰][玫瑰]http://t.cn/R2WxY38
乐活仁寿,:#仁寿，战疫情促发展#【战疫情促发展|仁寿1.2万名脱贫家庭劳动力返岗就业】为了实现疫情防控、促进贫困群众就近就地就业，仁寿县人社部门早谋划、早安排，利用疫情防控需要排查外出务工人员的机会，深入乡镇、街道办、村社，同步建立农民工就近就业帮扶台账。在了解贫困劳动力就业愿望基础上，向他们宣传推送就业岗位，指导脱贫群众全面推行网络登记应聘、面试，实行“不见面”式服务。与此同时，根据脱贫群众的实际需求，利用“大美仁寿”APP、“仁寿就业”微信公众号、县人力资源市场招聘网站、四川公共招聘网、朋友圈等平台发布招聘信息，搞好网络招聘，组织人员向眉山信利等重点企业输送。为方便农民工返岗就业，仁寿县还整合乡镇农民工服务站、卫生院、社区卫生服务中心，认真做好返乡农民工出行前免费健康服务工作。为确保农民工安全健康有序返岗就业，交通运输部门采取“点对点、一站式”直达运输服务，让他们一出家门，就上车门，一出车门，就进厂门，全面保障务工人员安全有序返岗。
北京生态环境,:#污染攻坚环保战疫#【行动书写初心岗位落实使命|北京市生态环境局21名党员干部下沉社区助力疫情防控】在防控疫情的关键时刻，北京市生态环境局党组认真落实市委组织部、市直机关工委要求，选派21名党员干部冲向战“疫”第一线、主战场，下沉到海淀区花园路街道4个社区参加疫情防控工作，强化基层疫情防控工作力量，助力疫情防控一线。http://t.cn/A67jhhqQ
金陵晚报,:【致南京市广大志愿者的慰问信】奋战在疫情防控一线的志愿者朋友们：大家辛苦了！近段时间以来，全市上下勠力同心、携手战“疫”。按照市委应对新型冠状病毒感染肺炎疫情工作领导小组的决策部署，为全力支持配合我市疫情防控工作，南京市精神文明建设指导委员会办公室、南京市志愿服务联合会向全市广大志愿者发出“行动起来，坚决打赢疫情防控阻击战”的倡议书。大家积极响应号召，参与构筑联防联控、群防群治的坚固防线，真诚奉献、不辞劳苦，为疫情防控作出了积极贡献，用实际行动书写了新时代雷锋故事，赢得社会各界一致好评。在这场没有硝烟的战斗中，新时代文明实践志愿者、党员志愿者、巾帼志愿者、青年志愿者、平安志愿者、城市治理志愿者、应急救援志愿者、心理援助志愿者、国际志愿者……哪里有需要，哪里有你们！卡点排查、社区摸底、宣传引导、运送物资、卫生消杀、心理援助、关心赴湖北医护人员家庭等各个岗位，处处都是你们无私奉献、辛勤坚守的身影。志愿者和志愿服务组织积极筹措防疫物资，第一时间送达防疫一线，发动爱心企业和社会爱心人士捐款捐物，全力支援战“疫”斗争，这些有力支援了疫情防控工作，生动谱写了金陵儿女的家国情怀和大义大爱，绘出了文明南京、志愿之城最动人的精神底色。广大志愿者在疫情防控中展现的“奉献、友爱、互助、进步”的志愿服务精神，心系城市、服务人民、不畏艰难的整体风貌，给全市上下留下了深刻印象。在此，南京市精神文明建设指导委员会向你们表示崇高的敬意和衷心的感谢!当前，全国疫情防控形势依然严峻复杂，我市“坚持两手抓、夺取双胜利”的任务十分艰巨。亲爱的志愿者朋友们，我们始终牵挂你们的健康平安，也希望你们加强自身防护，注意劳逸结合，确保有充沛的体力、旺盛的精力投入到后续疫情防控和复工复产，为坚决打赢疫情防控人民战争总体战攻坚战，更好助力城市运行、服务经济社会发展作出新的更大贡献！感谢有你一路相伴。期待我们继续携手同行！南京市精神文明建设指导委员会2020年3月4日
焦作发布,:【如何安全有序推动企业复工复产？焦作疫情防控工作第八场新闻发布会值得关注】　3月4日上午，市政府新闻办举行焦作市新型冠状病毒肺炎疫情防控工作第八场新闻发布会，邀请市发展改革委副主任苗强，市财政局党组成员刘海霞，市工信局党组成员、副局长杨波，市交通局党组成员、副局长李英豪，市人力资源和社会保障局党组成员、副局长于同文，市金融工作局党组成员、副局长抄顺利，围绕企业复工复产和支持帮扶政策等相关情况进行介绍，并回答记者的提问。详情猛戳:http://t.cn/A67lsDfa
黄石广播电视台,:【20万毫升！江西“热血”再次驰援黄石！】3月4日上午，江西第二批43万多毫升血液驰援湖北黄石、咸宁、鄂州三市，其中20万毫升血液支援黄石市，这是时隔半个月后江西热血再次“出征”湖北。按照赣鄂血液联动保障机制，根据湖北省黄石市、鄂州市、咸宁市等地用血需求，江西省新型冠状病毒感染的肺炎疫情防控应急指挥部发布了《江西省第二批支援湖北三市血液供应工作安排》，与首批支援血液量相比，此次数量增长了一倍，由江西省血液中心及全省11个市中心血站负责筹备采集，江西省血液中心负责统一送往湖北省。
北京发布,:【北京市应急局对工业企业落实防控措施作出五项重点提示】在#北京市新型冠状病毒感染的肺炎疫情防控工作新闻发布会#上，有记者提问，有大量工业企业复产人员密集度还很高，在落实防疫措施方面有什么重点提示给他们？北京市应急管理局二级巡视员贾秋霞介绍，从前期应急系统检查情况来看，企业还是普遍重视，且落实情况良好。但是在落实工业企业疫情防控的要求上，确实还有不到位、不平衡、不细致的地方。工业企业是疫情防控的责任属地，应该扛起主体责任。结合前期监督检查中发现问题，提示各工业企业重点做好以下几项工作：一是完善企业疫情应急预案。要切实结合企业实际，制定完善预案，做到预案管用好用、责任到位、分工到人，确保应急情况出现后，能够按照预案，迅速科学组织开展处置。二是狠抓人员管理。要严格控制人员密度，严格落实体温测量、日常消毒等防控措施，切实强化保安、保洁、食堂工作人员等接触人员广、活动范围大的重点人员防控措施。三是严格落实隔离防控要求。详细掌握返京员工活动轨迹、身体状况、居住情况等信息，严格落实返京人员分类隔离观察要求。四是做好防护用品配备。防护用品配备要配足配到位，要向一线员工倾斜，坚决不能安排没有防护用品或者防护用品不合格的员工上岗作业。五是严格重点区域管理。严格落实食堂分时取餐、间隔一米以上独立用餐。严格按照核载人数50%乘坐厢式电梯，保持车间、厂房等公共场所空气流通、认真做好定时消毒等工作，切忌流于形式。对人员密集型工业企业内，要高度关注人群较为集中的职工宿舍、更衣室的风险管控；对生产洁净型车间，要注意控制人员数量及密度，保持工作间距，可采取人员轮班工作制等形式予以解决。http://t.cn/A67lsp08
孝感日报,:#湖北加油武汉挺住#【高新区丹阳办事处分丝社区志愿者群像】疫情发生以来，广大党员干部冲锋在前，医务人员日夜奋战，人民警察严控关卡，社会各界广泛参与。这其中，志愿者成为疫情防控不可或缺的力量。　　在市高新区丹阳办事处分丝社区，有这样一群志愿者，他们积极响应社区号召，不计个人得失，日夜奋战在战“疫”一线，携手为小区居民筑起安全堡垒。　　坚守岗位的“守门员”　　“现在是特殊时期，不要出门了，如果有什么需要采买的物品请联系楼栋长，我们社区服务队为您送上门。”在华中光电一生活区门岗执勤的志愿者刘骁，正耐心地对想出门采购的居民陈爹爹进行劝返。　　执勤工作繁琐且关键，卡口值守、社区巡逻、搬运物资、门岗消毒，有时候事赶事，一整天都喝不上一口热水。为把好社区防疫的重要关卡，志愿者刘骁勇挑重担，主动承担起“守门员”的工作，为小区居民筑牢了防疫堡垒。　　冲锋在前的“夫妻档”　　李永利和郭颖是居民眼中的模范夫妻，也是这场防疫阻击战中的并肩作战的搭档。他们一个忙于社区物资采购，一个负责物资运送、体温检测。偶尔在奔波于居民服务的路上遇见，往往连招呼都没来得及打一声就“擦肩而过”。但他们知道，有一种浪漫，是战“疫”路上相互陪伴；有一种牵挂，是志愿服务之余互道一声平安。　　这对夫妻俩，用默默无闻的奉献与相互支持，表达着齐心抗疫的必胜决心。　　风雨无阻的“采药人”　　“董老师，需要3支胰岛素。”“家里老人牙疼的厉害，董老师麻烦带点止痛药吧。”“小孩肠胃不舒服，请带些小儿肠胃药。”……　　疫情发生后，社区志愿者们就成了居民的生活管家，里里外外张罗着。尤其小区封闭式管理后，替居民代买慢性病药、常用药，就成了志愿者董俊清的重要工作之一。　　每周两次，董俊清都会依照着居民们的需求为大家采购药品，有时候一家药店买不齐，她还需要步行到其它药店继续采购，但她从来没有一句怨言，风雨无阻地充当社区居民的“采药人”。　　无怨无悔的“父女兵”　　“打仗亲兄妹，上阵父女兵”。在一生活区战疫第一线，就有这样一对父女，以不同的方式坚守在自己岗位上，为社区防疫工作贡献着自己的力量。　　华中光电一生活208栋3单元的楼长王大庆是小区的老住户，他积极响应社区号召，担任楼长，为邻居们提供楼栋消毒、体温查询、物资发放等志愿服务。在他的鼓舞下，他的女儿王珺婷也加入社区志愿队伍，参与社区居民需求统计工作，彰显了一名大学生党员的优秀品质。（通讯员李皓编辑张喆）
东楚晚报,:【阳新：预计发放稳岗返还资金430余万元65家企业123.5万元拨付到位】4日，阳新远大生命科学与技术有限责任公司生产车间内一片繁忙，正在有序复工。该公司属重要医用物资生产企业，也是全市用工调度重点保障单位。疫情发生后，阳新县人社部门摸排需求、加强对接，返岗复工工作有序进行。该公司人事部经理周桂萍介绍，目前在岗员工330人，日产能达到50余吨，有效保障了企业的正常生产运转。此外，该县人社部门通过稳岗返还政策，为该公司拨付资金6.71万元，帮助企业积极应对疫情影响、共度难关。阳新县就业局局长周少鹏说，疫情防控期间，阳新正分批做好全县企业的稳岗返还工作，符合享受稳岗返还企业共计98家，预计返还431.78万元，目前，第一批65家企业返还资金123.5万元已经拨付到位。记者另从阳新县人社部门了解到，对在疫情防控期间因开工、配送疫情防控急需物资的企业而新吸纳务工人员就业的企业，与员工依法签订1年以上劳动合同、稳定就业满6个月的，可按2000元/人给予企业一次性吸纳就业补贴。（黄石日报记者田城通讯员陶亮）
北京社会建设和民政,:【众志成城防控疫情民政在行动|传递民政温度，为疫情下的婚姻登记“保驾护航”】刚刚过去的2月，大家认为的结婚登记好日子还真不少。对于准新人来说，疫情阻挡不了爱情。面对不少情侣的需求和心愿，市、区两级民政部门和全市婚姻登记机关积极研判形势，主动担当作为，开展实地检查，压实工作责任，按照“加强防控、安全第一，满足需求、依法登记，严密组织、协调配合”的原则，将婚姻登记领域疫情防控措施落实落细，做到疫情防控工作与婚姻登记业务办理两不误、双促进，确保全市婚姻登记机关干部职工和婚姻登记当事人生命安全和身体健康，确保高峰日全市婚姻登记工作安全、高效、有序。http://t.cn/A67lDL6I
天中晚报,:#驻马店身边事#【正阳：双庆河治理复工复产建设正酣】3月4日，在正阳县双庆河河道治理现场，大型挖掘机在对河道清淤疏浚，工人们正在用吊车勾吊铺设河坡的材料。复工复产以来，正阳县在做好疫情防控的同时，对双庆河综合整治暨重点河流生态整治项目加大力度，赶时赶工，努力把耽误的时间抢回来，把落后的项目进度追赶上去。（记者李玉荣）
BTV新闻,:【工信部：#健康码要防止数据泄露和滥用#】针对健康码的使用，工信部装备工业一司司长罗俊杰4日在新闻发布会上表示，阿里、腾讯等科技企业也及时开发了一些小程序，推出疫情防控的“健康码”。这些服务都为复工复产提供了方便快捷的“通行证”。作为监管部门，在数据分析使用的过程中，依据个人信息保护的有关法律法规，严格落实数据安全和个人信息保护的有关措施，切实加强监管，防范数据的泄露、数据的滥用等违规行为。http://t.cn/A67lDfhV
天津驾校邢宝忠教练,:2020.03.04海河医院再传喜讯：天津又有4名新冠肺炎患者治愈出院。至此，天津累计治愈病例已经达到了128人。目前仅有5位确诊病例还在治疗中，祝你们也能早日康复！再次祝贺天津的白衣天使们！让我们坚定信心、同舟共济、科学防治、精准施策、万众一心、众志成城，必将打赢这场疫情防控的全民战争！天佑天津，天佑武汉，天佑中华！
环保漯河epb,:【漯河示范区：统筹抓好疫情防控和扬尘治理工作】http://t.cn/A67lrK533月3日上午，漯河市城乡一体化示范区党工委副书记、管委会主任钮盾带领区建设与环保局、区污染防治攻坚办等相关部门负责人，实地督导辖区西湖学校、双汇人才公寓、昌建总部港、双创示范园等项目疫情防控、复工复产、扬尘污染防治等工作。督导组强调，一要积极推动建设项目复工复产，按照“科学、合理、适度、分类、分批”的原则，督促帮助企业制订复工方案，确保全区各工地以先点后面、先局部后整体的方式有序复工。二要高度重视复工项目疫情防控，充分履行政府监管责任，进一步加强对项目工地的疫情防控，建立员工健康台账，指导员工做好个人防护，保障人民群众生命和财产安全。三要严格落实建设工地扬尘防控，加大督导力度，严格落实日常巡查、“三员”监管、“六个百分百”等管控要求，细化扬尘治理网格化管理机制，进一步压实责任，提升辖区扬尘防治水平。
河南旅游,:#河南防控新型肺炎疫情#【后宅家时代硬核复工抗疫指南】你是依旧宅家or早已复工，还是处于宅家与复工模式切换的适应期，面对某些生活上的巨变，你是否有应对的妙计？疫情当前，即便开工了，也不能忘记保护自己。除了做好基本防护，还有哪些事情没有思虑周全？这些生活TIPS让你安心上班适应环境，还能健康生活养精蓄锐！#抗击疫情我们在一起#
江苏省交通运输厅微博,:【全省交通防控疫情总体情况（3月4日）】3月3日，全省高速公路出口总流量191.3万辆，环比增长3.9%，恢复至去年同期水平的93.7%；其中货车出口总流量44.4万辆，占全天总流量23.2%。一、客运恢复情况（截至3月4日中午）1.城市公共交通。全省13个设区市市区均已恢复城市公交运营，县（市、区）94%恢复城市公交运营（4个暂时未恢复），其中县级市全部恢复城市公交，线路班次根据疫情防控和复工复产客流需求动态调整。徐州、盐城、宿迁3市城市公交线路100%恢复。2.出租汽车。3月3日，全省巡游车运营32218辆，恢复运营67.1%；全省网约车运营52771辆，恢复运营70.4%。3.轨道交通。截至3月4日中午，南京、无锡、徐州、常州、苏州等5个城市共22条轨道交通线路恢复运行，淮安、昆山暂未恢复。4.公路班线运输。截至3月4日中午，全省13个设区市全部恢复班线客运，共开通客运班线1215条。暂停所有发往北京的班线及包车。5.包车运输。全省所有设区市根据复工企业需求组织开展了包车客运。二、应急物资运输情况1.公路运输情况。截至3月4日中午，全省交通运输部门累计组织运力5.4万辆，运送人员2172人、物资83.3万吨，其中向湖北运送物资7764吨。2.水路运输情况。自1月29日以来，全省累计向湖北运送煤炭、油气、粮食等重点生产生活物资777艘次，536.68万吨。三、交通运输服务情况公路旅客运输情况。3月3日，全省班线和包车客运发送旅客6.55万人次（其中包车客运0.48万人次），至当日累计发送58.28万人次（其中包车客运6.56万人次）；发送市区通勤包车2.71万人次，至当日累计运送33.25万人次。复工铁路专列情况。2月20日以来，江苏境内累计开行复工专列29列，运送返岗工人8862人次。航空包机情况。至3月2日，全省累计组织航空包机24班，运送返岗工人3140人次。四、全省交通运输管控情况3月3日中午至4日中午，全省公铁水空投入干部职工2.8万人次，检查车辆1.1万辆次、旅客37.6万人次。全省累计检查车辆1452.6万辆次、旅客3695.9万人次。全省公路水路投入干部职工0.8万人，检查车辆1.1万辆次，检查旅客9.0万人次。江苏海事局检查从湖北港口驶入的船舶68艘次、船员459人。全省铁路客运站投入干部职工1.5万人，检查旅客24.4万人。全省民航机场投入干部职工4829人，检查旅客4.2万人次。南京海关对79艘次出入境船舶、6架次出入境飞机和1846人次出入境人员实施卫生检疫。五、全省旅客交通发送情况3月3日，全省公铁水空发送旅客328.4万人次，环比增长4.0%。其中，公路发送旅客6.6万人次、铁路发送旅客11.4万人次、航空进出港旅客4.2万人次、水路发送旅客0.4万人次、城市客运发送旅客305.8万人次。#江苏交通战疫三个在一线##江苏交通防疫进行时#
河北大小事,:紧急提醒！返邢人员请注意！邢台市已连续16日无新增新冠肺炎确诊病例。此前，全市已于2月26日实现确诊病例、疑似病例和密切接触者全部清零。全市疫情防控工作取得阶段性成果，成绩来之不易。市委、市政府强调，一定要继续保持高度警惕，把外防输入作为重中之重，细化疫情输入防控措施，摸清底数，切实提高各项工作的预见性和精准度，构筑起外防输入的坚固防线，坚决防止疫情输入扩散风险。在这场没有硝烟的阻击战中，把守住防止疫情输入的第一道防线，任务仍然艰巨。它需要每一个人都认识到外防输入的严峻形势，都行动起来。对于来自湖北疫区的人员（我市派往湖北运送医务人员、抗疫物资的人员除外），按规定劝返。对于来自湖北以外重点疫区地区的人员，凡非本地户籍、在本地无固定住房、非固定从事工商生产经营的，按规定劝返。对于来自湖北以外重点疫区地区的人员，凡为本地户籍的或户籍为外地但在本地从事生产经营，有确切固定经营场所或固定住房的，在确认身份、联系方式、居住地、测温合格，确实没有到过湖北疫区的，根据实际情况进行集中隔离或居家隔离，进行核酸检测无问题后，再恢复出行。14天内有境外旅居史的，落实定点隔离措施，坚决防止疫情输入扩散。如果您的亲友现在湖北或武汉，请您跟他们说，暂时不要返回邢台。如果您身边有湖北和武汉来邢人员及境外来邢返邢人员，请第一时间向有关部门报告。来源：邢台市疾控中心
人民网海南视窗,:#海南疫情防控#【海南发布健康码规则最新解读谎报、瞒报将转为“红码”进行惩罚】　3月4日，海南省疫情防控工作指挥部发布最新的海南健康码规则解读。若谎报、瞒报“健康码”申请信息套取绿码的，将纳入个人信用记录，对申请人进行公开媒体曝光，并将其转为“红码”进行惩罚。详细内容可点开文章查看http://t.cn/A67lrtDd
贵溪发布,:【众志成城抗击疫情｜畲乡西排的党员，抗疫好样的！】“现在是特殊时期，不能走亲访友，人员不得聚集，一会我还要和村干部、党员志愿服务队上户摸排，要求村民不得走亲访友，串门聚集。我是一名党员，要带头配合村里做好工作……”大年初二，樟坪畲族乡西排村党员何节明与家人打过电话后，一早便忙于疫情防控。#联防联控江西在行动##众志成城抗击疫情##抗疫一线江西党员勇争先##江西全力保供应稳物价##爱心守望情暖鄱#http://t.cn/A67ln3n1
