外汇原油黄金白银指导分析-燕儿,:原油回踩支撑之上，我们低多进场，成功自动止盈60+个点利润
绵阳日报社,:#绵阳新闻#【绵阳市政务服务监督管理局关于推荐政府信息化工作人才的函】各单位:　　绵阳市政务服务监督管理局是绵阳市政府信息化工作的主管部门，负责全市政府信息化项目建设方案审核、建设运维全过程备案和项目验收监督、绩效评估管理等工作。下属单位绵阳市政务大数据中心是经中共绵阳市委批准同意成立的公益一类副处级事业单位，主要职责是为全市政务大数据工作提供支撑服务。为加强全市政府信息化工作队伍建设，更好支撑服务全市政府信息化工作，特函请推荐政府信息化工作人才。　　一、推荐条件　　（一）推荐范围。　　绵阳市范围内符合条件的在职在编的公务员、参照公务员法管理机关（单位）工作人员（以下简称参公人员）和事业单位工作人员（以下简称事业人员），不包括工勤人员。中央机关设在地方的单位（包括垂直管理单位、派出单位等）、高校、科研院所符合上述条件的人员也可推荐。四川省内除绵阳市外其他市（州）符合条件人员，经所在单位同意也可推荐。　　（二）基本条件。　　1.遵纪守法，具有良好的政治素质、专业素养，品行端正，实绩突出，群众公认。　　2.具有计算机、通信网络、集成电路、软件开发、信息安全、移动互联网、云计算、物联网、大数据、人工智能、工业互联网、系统集成等信息化相关专业全日制大学本科以上学历。　　3.近三年年度考核均为称职(合格)及以上等次，自愿从事政府信息化建设、管理和服务工作。　　4.法律、法规、相关政策规定的其他条件。　　5.一般应在35周岁以下，具有硕士研究生以上或副高以上专业技术职务的年龄可放宽到40周岁，因特殊需要引进的急需紧缺高层次专业人才年龄可放宽到45周岁。　　（三）具有下列情形之一者，不得推荐：　　1.年度考核有基本称职（基本合格）及以下等次的。　　2.曾因犯罪受过刑事处罚的。　　3.曾被开除公职的。　　4.涉嫌违纪违法正在接受有关机关审查尚未作出结论的。　　5.受处分期间或未满影响期限的。　　6.受党内严重警告、行政记大过以上处分的。　　7.按照国家有关规定，到单位工作未满服务年限或对调任有其他限制性规定的。　　8.有《中华人民共和国公务员法》第六十八条规定的回避情形以及有法律、法规规定的其他情形的。　　二、相关事项　　1.符合条件的人员可以单位推荐或个人自荐的形式，填写《绵阳市政务服务监督管理局政府信息化工作人才报名表》，发送电子邮件（66523598@qq.com）联系人：杨东，联系电话：18909017072。　　2.推荐时间：2020年3月5日9：00-2020年3月15日17：00（休息日除外）　　3.绵阳市政务服务监督管理局根据实际情况进行筛选初步确定人选后，相关事项再另行通知。　　4.绵阳市政务服务监督管理局将按照《绵阳市市级机关事业单位人员调动办法》（绵委办发〔2014〕50号）的要求，从政府信息化工作人才队伍中择优选调到市政务服务监督管理局机关或绵阳市政务大数据中心。　　此函相关内容由绵阳市政务服务监督管理局人事科负责解释。绵阳市政务服务监督管理局2020年3月3日来源：绵阳市政务服务监督管理局网站
整形医生秦子侃,:#隆鼻##隆鼻修复#有一些求美者手术后出现鼻背偏斜、两侧不对称、高低不平整，鼻尖偏斜、塌陷和扭曲，鼻孔退缩和大小不等等形态异常，作为美容手术，这也算作并发症，这类并发症也会导致求美者的不满意，实际上，现在很多返修的病人就是以形态异常的主诉来就诊的。手术中可能由于注射局麻药等因素的影响，干扰医生的判断，有可能出现形态的异常而医生没有及时发现，但这种情况并不常见。当然，有些情况下医生术中发现形态不满意，但由于患者条件限制无法进行调整。但多数情况下是术后逐渐出现形态异常，出现的时间短则术后几天，长则术后数年。这种情况的出现与手术的方法和材料有极大的关系，也与手术的设计有关。导致鼻子变形的首要原因是手术设计，如果求美者皮肤软组织的容量有限，而我们强行要做一个高、挺、翘的鼻子，后期随着张力的变化很容易后出现形态异常。比如鼻背张力过大会导致鼻背皮肤变薄，鼻尖张力过大会导致鼻尖移植物显形。移植物的显形是因为在张力作用下，皮肤软组织会出现类似“皮肤扩张”那样的改变，即真皮和皮下组织变薄，变薄的皮肤软组织会出现反应性的血管增生，具体表现就是皮肤颜色发红，再进一步“扩张”就会因为压迫导致血液供应减少而出现皮肤变白。皮肤变薄自然会透过皮肤软组织看到移植物的形态，这不仅出现在人工材料，也可以出现在自体软骨移植时。
信用管理部-姜超,:【支付宝:芝麻信用将于3月6日恢复评估特殊情况的逾期满足条件可信用修复】2020年3月2日，支付宝官方宣布，芝麻分将在3月6日恢复评估，与此同时，支付宝还针对特殊情况的逾期推出了相应解决办法，即提醒使用芝麻修复功能。“芝麻修复”功能即芝麻信用记录逾期修复功能，适用于芝麻信用记录2019年起、1000元以内、逾期不超过30天的花呗和备用金记录。所有逾期订单守约后才可以开始修复，可修复资格及修复次数由系统综合评估得出。此前，受疫情影响支付宝于2020年2月5日发出公告：“宣布即日起芝麻分将暂停调整，期间所有因不可抗力产生的履约不便，不作为失信记录，具体恢复时间将另行通知”。停止芝麻分的更新就是担心疫情期间部分用户受疫情影响没办法按时还清花呗、借呗或者备用金，如果按照芝麻信用的规则，这些用户的逾期行为会被记录从而影响芝麻分。所以支付宝就停止了2月份芝麻分的更新，等于默认用户可以因疫情而逾期，但是逾期还是会被记录，随着疫情的影响慢慢变小，芝麻信用也将开始恢复更新。http://t.cn/A67NAQG8
中钨在线,:#钼##钼制品价格一览#国内钼市场依旧维持弱稳运行，在诸多不确定性因素的情况下，上下游企业商谈胶着不改，观望心理较重，因此市场新增订单稍显缓慢。钼精矿市场上，利伯维尔场成交偏少，在下游需求积极性尚未明显提高的背景下，钼矿山企业心态仍不太乐观，谨慎交易，不过受生产成本支持，市场报价相对稳定。钼铁市场上，行情波动不大，月初，下游钢材企业陆续进场招标，对钼铁厂商挺价信心起到了一定提振作用，产品价格有所企稳，后市仍待长单价格指引；钼化工及其制品市场上，整体运行相对稳定，受上游交投气氛相对不佳的影响，多数持货商报盘仍旧坚挺，不过由于终端需求疲软，成交受到较大阻碍。http://t.cn/A67NAHEp
阳光重庆,:【3月3日发布会|重庆“支持企业40条”里的“干货”来了】重庆之声3月3日讯重庆市新冠肺炎疫情防控工作第三十八场新闻发布会3月3日下午举行，市发展改革委副主任米本家对“支持企业40条”作了深入解读。在前期国家和我市已出台政策的基础上，结合近期新形势新情况，我们认真研究谋划了一批力度大、动能强、效果好、针对性强的新政策，进一步加大对企业复工复产和生产经营的支持力度，确保惠企政策落实到位、用足用好。这批政策，昨天已经市政府常务会议审议通过，包括金融、财税、降成本三个方面共计40条政策，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。米本家表示，“支持企业40条”主要包括三个方面：一是在加大金融支持强度方面提出了10条政策，涉及续贷续保、转贷应急周转资金、担保增信、降低贷款利率、贷款贴息、涉农小微新增贷款、定向授信贷款、疫情专项再贷款、融资担保费奖补、支持外贸企业等方面。初步估计，为疫情防控重点企业、涉农小微新增低利率贷款250亿元，为受疫情影响小微企业存量贷款展期续贷1000亿元左右。预计为企业节约融资成本16亿元左右。二是在加强财税纾困力度方面提出了15条政策，涉及增值税率下调、个体户税额调整、税款减免、延长亏损结转年限、延期纳税、防疫物资保供资金池、培训补助、农业产销补助、物流降本增效、货运恢复、公路运输恢复、服务外包补贴等方面。初步估计，缓解企业纳税压力近10亿元；培训补贴约0.8亿元，支持2万名以上的企业职工参加培训。三是在降低生产经营成本方面提出了15条政策，涉及社保费减免缓、公积金减免缓、援企稳岗返还、租金减免、企业用能用水成本降低、农民工工资保证金减免缓、项目资本金监管、基础设施配套费缓缴、防空地下室易地建设费缓缴等方面。初步估计，将减免社会保险费约133亿元；降低企业用能用水成本14.5亿元左右；返还约16亿元稳岗补助，稳定约70万个就业岗位。据米本家介绍，“支持企业40条”还有四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。金融政策聚焦为企业提供流动资金、降低融资成本、缓解还本付息压力；财税政策聚焦对企业税款进行“减免扣补缓”，对农业、物流、外包等行业进行财政补贴；降低成本政策聚焦为企业减免社保、降低用能用水成本、降低新开工项目门槛。二是针对性强。回应企业关切，立足治“痛点”攻“难点”疏“堵点”挠“痒点”，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。如：以提供周转资金、专用再贷款、定向授信等措施，为企业注入流动性，破解企业复工复产启动资金难题；以贷款本金展期、利息缓期、降低利率税率等措施，帮助企业恢复正常生产经营活动。三是受惠企业多。不但覆盖疫情防控重点企业，而且覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。呈现出：大型企业减负担保份额，中小微企业降成本保市场，个体工商户缓压力保运转。四是含金量高。政策条条“干货”，都是实实在在的“真金白银”，如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。下一步，我们将切实加强“支持企业40条”的贯彻落实，启动实施“春风计划”，派出一批懂政策的机关干部为“政策专员”，用网格化、全覆盖的方式，进一步提升政策知晓率、执行率、兑现率，把政策春风送到每一家企业。（重庆之声记者夏蕴秋）
彭城晚报官方微博,:#两手抓两手硬#【免收俩月租金，发放体育消费券】承租市属奥体中心体育场馆的中小体育企业免收2月、3月两个月租金；争取财政专项资金，用于2020年度体育消费券发放使用……3月2日，市体育局出关于支持体育企业应对疫情促发展的通知。室内健身等空间相对密闭、人员相对集聚的经营性企业（场所），暂不复工复产，具体营业时间视疫情防控情况另行通知。体育场所经营管理人应制定疫情防控和应急方案，加强员工培训和健康状况监测、物资筹备、防控宣传、消毒通风、安全检查，为复工复产做好准备。进一步关注和研究国家和省、市政策措施，指导帮助体育企业切实享受到房租减免、税收优惠、社保缴费、金融信贷支持等方面的政策。研究制定疫情结束后扶持体育企业特别是体育服务业经营单位走出困境、转型发展的政策意见。承租市属奥体中心体育场馆的中小体育企业免收2月、3月两个月租金，对间接承租的体育企业应确保租金减免落到实处，鼓励区属体育公共体育场馆参照执行。鼓励体育企业创新举措、切实转变体育产业发展模式，实现产品服务升级。利用互联网、大数据平台，拓展数字体育、线上培训和在线健身新业态；引导体育制造企业开发居家健身产品，培育产品新热点。积极争取财政专项资金，用于2020年度体育消费券发放使用，支持体育场所经营，补贴健身消费，提高群众健身热情，促进体育消费。督促帮助体育企业做好疫情防控，聘请体育产业专家指导企业有序复工复业。聚焦企业的经营困难和亟需解决的问题，及时向有关部门反映并帮助解决。发挥体育部门行业职能作用，对接有关职能部门，帮助企业应对疫情防控，推动体育企业有序复工复业。挖掘体育社团的协调作用，及时了解回应企业诉求，促进企业协同发展，促进企业共渡难关。
襄阳晚报,:#众志成城，齐心协力##襄阳战疫#【回应网友关注】襄阳市出台了支持中小企业共渡难关加快发展的十二条措施，财政部门是如何落实的？2月29日襄阳市政府出台十二条措施，全力支持中小企业应对疫情共渡难关。襄阳市财政部门将从贷款贴息、资金申请拨付、应急纾困、政府基金收益减免等四个方面，进一步降低企业成本，减轻企业负担，支持中小企业发展。一、关于加强对疫情防控重点保障企业专项金融信贷支持情况1.建立财政、发改、经信、人行等多部门联席机制。目前，人行提供的襄阳市入围全国、全省疫情防控重点保障企业共计81家，截止2月29日，累计获得新发放贷款5.29亿元，其中优惠贷款4.12亿元。按程序审核发放贷款后企业均可享受中央财政50%的贴息支持。2.省市县财政部门联动。及时向省级部门汇总报送，对符合条件的名单外企业，每月汇总有关情况向省财政厅报送，待省级贴息资金下达后及时拨付到位。市财政也将相关政策及时传达至各县市区，各级财政部门正在按照上级部门要求按规定执行。3.建立工作台账。落实每日一更新，确保相关疫情防控重点企业资金需求并享受中央贴息支持。二、关于加快有关财政资金申请与拨付情况襄阳市财政局建立“24小时”待命的应急资金拨付流程，启动应急政府采购“绿色通道”，开设疫情应急保障资金专户，加强财政资金监管和捐赠物资财务管理，组织项目申报，积极争取中央对疫情重点保障企业的贴息支持。截至2月29日，共统筹中央、省、市县财政资金3.94亿元，全力保障医疗救治、医护人员临时性工作补助、紧急救治场所建设、疫情防控所需设备和物资采购、患者个人负担部分财政补助、重要疫情防控企业补助和交通防控卡点工作经费等。三、关于加大疫情期间对中小企业资金纾困力度情况2018年7月襄阳市正式成立过桥基金，即中小制造企业应急帮扶基金，用于对襄阳市中小企业提供过桥支持，解决企业在银行续贷中由于资金出现暂时周转困难无法续贷的问题。截至目前，过桥基金已为全市中小企业提供21笔2.85亿元过桥支持。据襄阳市国益公司反映，下一步将延长使用期限，原办法规定过桥最长期限15个工作日调整为整个疫情期间还款有困难的，均可计入过桥期限，不作逾期处理，同时原办法规定过桥期内按日万分之三收取使用费，逾期加收罚息，调整为疫情期间逾期不加收罚息，特殊情况可履行相关手续后减免使用费。四、关于减免襄阳市汉江产业股权投资指导基金及汉江战略性新兴产业基金直投企业固定收益情况据汉江控股公司反映，受疫情影响，汉江产业母子基金投资的企业88.23%处于停工停产状态。出台减免基金固定收益的措施，主要面向汉江产业股权投资引导基金直接投资和出资子基金投资的50家企业。目前，汉江产业股权投资引导基金和汉江战略性新兴产业基金现对符合条件的21家企业进行3个月固定收益减免，金额共计1521.5万元。此外还有降低门槛收益率、延长退出期限、加大汉江产业母子基金投资力度等相关政策支持。
天津河东交警,:响应复产复工号召@天津河东交警争当排头兵3月2日，通维机动车检测线恢复机动车审验业务。该检测线位置比邻中环线，厂区面积有限，此前经常出现排队等候车辆排队延伸进入中环线，影响道路通行的情况。为全力做好检测线周边服务工作，@交警河东支队卫国道大队在检测线周边部署警力，加强疏导管控。支队分管领导每天深入现场调研指导工作，了解工作进度，听取意见建议，不断改进提升服务水平。下一步，@天津河东交警持续开展工作，服务基层人民群众实际需求，争做复产复工的排头兵。
香港紫荆卫视,:【泪目……一封《从成都寄往武汉的家书》述说两代人的抗疫故事】#紫荆快讯#这是一个真实的故事。湖北伢王媛，90后，@国网四川电力检修公司超特高压运维岗位的年轻党员，她的父母都是湖北抗疫一线的医务工作者。春节前去火车站路上，她接到妈妈的电话，说湖北情况严重不要回家……自从和父母“失联”，她无数次拨打妈妈的电话，无数次收到无人接听的长音。等待的时间里，她重返变电站连续值班16天，她心里重复对妈妈说着一句话：你救人我掌灯。王媛所在的团队有145名湖北籍员工，像她一样春节期间坚守岗位不能与家人团聚的就有75名。这些年轻人用他们最真实的情感谱写了这首《从成都寄往武汉的家书》，用音乐记录下这个真实的故事，记录下国有难时一个个普通的家庭、一对对平凡的母女各自坚守、相互鼓励......http://t.cn/A67NvN2a
高淳市场监管,:#专利知识小课堂#【问：什么是第二医药用途发明专利？】答：有些情况下，研发人员针对已知药物进一步研究，发现以前未曾发现的新的医药用途，即第二医药用途。例如阿司匹林最初的用途是解热镇痛，后来研究人员又发现其具有治疗心脏病的新用途，这里的治疗心脏病就是第二医药用途。申请人同样可以就已知药物的第二医药用途申请专利并获得保护，对此专利，称之为第二医药用途发明专利。第二医药用途发明专利可以按照第一医药用途发明同样的形式撰写。via国家知识产权局
衡阳发布,:【#从韩意日伊朗等入境北京需隔离14天#】3月3日，在北京市新冠疫情防控工作新闻发布会上，北京市政府副秘书长陈蓓表示，近期新冠肺炎疫情在海外呈现扩散态势，部分国家疫情发展很快，形势还是很严峻。一些海外留学生、务工人员回国意愿比较强烈。近几天，仅在伊朗的中国留学生从北京口岸回国的就有20余人。北京作为全国最重要的入境口岸之一，防范疫情输入风险的压力很大。这几天，首都严格进京管理联防联控协调机制紧锣密鼓地研究应对方案，加强力量统筹，开展工作调度，应对境外疫情风险输入的工作全面有序铺开。我们主要做了这几个方面的工作：第一，建立了口岸联防联控机制，组织民航局、海关、公安、卫健、外事、边检、机场等部门联勤联动，统筹做好信息通报、身份登记、健康监测、应急处理等工作。第二，加强信息获知，通过驻外使领馆，提前了解伊朗等疫情严重国家留学生、务工人员的回国意愿，以便有针对性地提前做好工作预案。第三，依据《中华人民共和国国境检疫法》等法律法规，全面加强入境检验检疫工作。严格落实入境人员《健康申报卡》填报，实现全员、全项、电子化、可共享。第四，严格落实隔离观察措施。此前，我们对于过去14天内未在中华人民共和国境内停留，经北京口岸入境的人员，免除居家观察14天的要求。现在，根据境外疫情变化我们要对前期政策作出调整，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。在北京有固定居所的，纳入社区防控体系，居家隔离观察14天；在京无固定居所的，安排在指定宾馆集中医学观察14天；对外交人员，体温检测合格的，按照有关外交人员管理办法执行。第五，对到达北京的航班加强始发地健康安全提示，提醒乘机人员、乘务人员，全程佩戴口罩，加大途中体温检测频次。如果在途中出现体温异常情况的，开启相对独立的空间，保证相对隔离。
锦屏传播,:【2020年3月3日0—12时贵州省新型冠状病毒肺炎疫情情况】2020年3月3日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月3日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。信息来自：贵州省卫生健康委员会官方网站
孝感发布,:#我们共度难关孝感加油#转发为孝感“战疫”助力
第一津,:【下调存款基准利率的时机与效用】今年伊始，突如其来的新冠肺炎疫情开始在全国范围内扩散，扰乱了正常的经济和社会运行秩序。相比于2003年的“非典”，本次疫情对经济的影响更大，增加了实现全年经济社会发展目标的难度。针对当前流动性遇到暂时困难的中小微企业和个体工商户，给予临时性延期还本付息的安排，帮助企业纾困缓解资金压力，再加上其他降低融资成本的要求，在存款付息刚性不变的情况下，银行的利差会明显收窄，进而影响到银行经营安全和稳定。综合以上因素，我们认为降息宜早不宜迟，四月中上旬或是降息的最佳时间窗口。http://t.cn/A679lZqv
陵城环境,:#坚决打赢大气污染治理攻坚战#3月3日，陵城区商砼、建材、堆场料场等重点领域环境问题调度会议召开，副区长刘凤霞出席会议并讲话。会上刘区长听取了我区重点企业扬尘治理工作汇报，并对下一步工作开展进行再部署再安排，层层传导压力，夯实主体责任。她提出，各属地政府要切实遵照属地管理原则，积极发挥主观能动作用，按照市生态环境局制定的检查标准，结合区生态环境局前期的排查情况展开自查，倒排工、加快整改。同时提高督导标准，确保整改质量；实施销号管理，不放漏网之鱼。对发现问题拒不整改逾期不整改的，由区生态环境局依法执行停业整改措施。@德州环境
KIKI家小仙女,:为什么要这么对我，上网课就上网课吧，第一天我傻，发生了一点意外情况，让我心情很不好...本来今天心情好一点了，下午的课让我明白了，你讨厌的课还是你讨厌的课，没有最讨厌只有更讨厌😫每次有一些令我无语的作业，没想到上了网课，花样更多了....我只想问一句，我现在走还来得及吗
德阳同城,:#德阳同城#【旌阳：150吨春见柑桔找到买家】2月28日中午，刚吃过午饭，旌阳区新中镇白河村的四川快乐农夫农场里便热闹了起来。50余位村民在春见柑桔果林里忙着采摘、筛选、包装（图），一筐筐等待搬运的黄澄澄的柑桔在阳光下果色诱人。“这些春见全部要运到北京去，你看嘛，车都等在这里了，装满一车就拉一车走。”四川快乐农夫农场农业科技有限公司董事长向遵明高兴地说道。　　据悉，受此次新冠肺炎疫情的影响，向遵明农场里栽种的春见柑桔不仅销售遇到了困难，就连采摘也遭遇了人手不足的情况。为此，农场积极联系外省采购渠道，拓展销路，并最终找到了北京的收购商，一次性签署了150吨春见柑桔的供销协议。销路解决了，要赶在交货时间内采摘完毕，人手问题又随之而来。向遵明便找到镇上寻求帮助。了解到农场春见柑桔亟待采摘的问题，旌阳区、新中镇等多方面为果园协调组织帮忙采摘的村民，同时还协助果园对复工期间的防疫工作进行了安排和部署。　　向遵明告诉我们，这批春见柑桔从2月28日起开始采摘，预计每天采摘30吨，用5天时间采摘完150吨，并陆续装车运往北京。“感谢有关部门、父老乡亲的关心和支持，我相信通过我们的共同努力，一定能够把水果销售圆满完成，我们抗击疫情的工作也一定能取得胜利。”农场负责人向遵明说道。via：德阳日报http://t.cn/RJh9JhC
六月新娘Pt,:这个樊登读书app的客服态度实在太差了吧……打电话来问我要不要继续加入会员什么什么的我提了个意见说你们书籍种类好像不是很多然后就态度开始差了正好这时候我妈妈在喊我要不要烧饭我说我来了然后我就跟客服说我知道这个情况了我考虑一下还没等我说完话就直接了我电话太不礼貌了吧（我全程态度很好我的好心情都被破坏了
徐宝宝无问东西漫行,:#非常时期的非常对话#二月十五号微信报案，二月十七号打11O报案，入室盗窃茅台酒的疑犯极有可能在元月底从次重点疫区染病返锡。多次询问案情进展情况，疑犯是否已被隔离，社区民警回答是家里的事。非常时期抓捕并隔离入室盗窃疑犯，且极有可能年前从次重点疫区返锡的六腿麻将从业人员，怎么成了我的家事？对话内容分二段，一段有关至今未被警方控制隔离来自次重点疫区的入室盗窃疑犯，另一段有关志愿者执勤话题。
梅州电台新闻台,:【梅州一男子疫情防控期间诈骗卖口罩，判刑！】近日，梅江区法院依法从严从快审理了一起口罩诈骗案，被告人陈某某以非法占有为目的，以虚构有口罩等物资的事实骗取被害人财物，数额较大，被判处有期徒刑一年六个月，并处罚金三万元。据了解，被告人陈某某在做直播的过程中了解到如今口罩紧缺，卖得很好，遂萌生了骗人钱财的想法。在没有口罩和口罩来源的情况下，通过微信朋友圈发布了出售口罩的虚假信息和图片，多名被害人信以为真，纷纷加了陈某某的微信，向其购买口罩。此外，当有人问及陈某某是否有体温枪卖的时候，陈某某亦谎称有体温枪卖，从而骗得6名被害人购买口罩或体温枪的钱共计27514元。收到钱款后，陈某某向被害人发送虚假物流配送信息，甚至将被害人的微信拉黑。案件侦破后，警方追回赃款9500元，均已发还给被害人。庭审过程中，陈某某对犯罪事实和证据没有异议。梅江区法院审理后当庭作出上述判决。（李金泽、黄义涛、陈琳）
中国消费者报,:【中国银联：持续治理套路贷等违规商户和APP平台】中国银联支付安全大调查数据显示，新型移动及网络支付欺诈活动保持活跃，套路贷、校园贷欺诈时有发生。个别收单机构并未严格落实相关规则制度，未能采取有效措施遏制不法分子从事非法交易活动。对此，中国银联2日表示，持续治理套路贷等违规商户和APP平台，进一步加大对涉及套路贷等非法交易活动商户和APP的侦测分析，禁止成员机构向存在非法交易情况的商户提供支付服务。http://t.cn/A67CFpgJ
财经新媒体,:【韩国100多名军人是新天地教徒，正逐个接受调查】韩国国防部相关人员2日表示，已经从新天地教会获取军人教徒的姓名和出生年月，正在调查他们的所属部队，以及是否参加过新天地教会活动，尤其是大邱教会、釜山温泉教会和首尔明城教会，因为这些地方举办过大型礼拜活动，教徒聚集感染情况较为严重。据韩国国防部通报称，截至当地时间3日上午10时，部队内新冠肺炎确诊病例为31例，已有8270名军人被隔离。为防止疫情扩散，韩国国防部2月22日起限制官兵休假、外出、外宿和探视。2月25日，韩国防长郑景斗下达指令，要求立即对发生感染的部队采取隔离和防疫措施，阻止疫情进一步扩散。#韩国政府进入24小时全面戒备状态#
脱力呜,看到一篇报道：《COVID-19流行期间的家庭暴力案件激增》COVID-19流行期间的家庭暴力案件激增
阿熙熙呀_____,:我想bb个事情我二月二十几号在
Best_GYL,大家都遇到过的情况，没想到可以这样解决
coco---硕,大家都遇到过的情况，没想到可以这样解决
上海崇明,:【权威发布！应对新冠肺炎疫情，沪公布住房公积金阶段性支持政策！】#最新#哪些企业可以申请缓缴公积金？自愿缴存者如何申请缓缴？哪些情况可以提高租赁提取月提取额？市公积金管理中心今天发布《关于本市妥善应对新冠肺炎疫情实施住房公积金阶段性支持政策的通知》及相关实施细则，对上述政策予以明确。#上海战疫##上海加油#详见↓http://t.cn/A67ChZLA
凃陌,:#pubgmobile[超话]#更新以后匹配不到人啦，单排四排都匹配不到，团队竞技也匹配不到了。有没有出现这样情况的。
我爱美食hanyu521,:截至3月2日24时新型冠状病毒肺炎疫情最新情况截至3月2日24时新型冠状病毒肺炎疫情最新情况
芳霖315,:我免费围观了@孔庆东的回答，问题价值388.00元，快来一起围观~<br/>微博问答:韩专家称最坏情况是40%国民被感染，为何韩国疫情能如此严重？
阳光下的渤海边散步,:最近持股分析：三安光电、通富微电、利亚德买入逻辑相同，都是行业景气周期到来且属于细分行业龙头；区别在于三安光电与通富微电在已经确立上涨后追高，利亚德在底部震荡时买的。前两个虽然涨幅不小了，但结合之前每次景气周期、其它牛股，还没有达到极度高估的阶段，后面存在三种情况（1）最好的是横盘震荡一段时间继续新高；（2）长时间横盘，变成涨不动跌不下去的绩优股；（3）构筑头部就此下跌。目前来看，第一种和第二种情况可能性更大，所以值得坚持一段时间，如果进入二季度出现大盘风险，需要考虑撤离。新资金没有安全垫别买，受不了这种震荡。利亚德：还没有走出上涨趋势，短期很受折磨，好处是处于低位，风险很小，假以时日有较大幅度上涨的概率很大。不过，在大盘火热的阶段买了不涨甚至下跌的个股也是很遭罪的，这一点要反思——不要认为叠加各种概念，基本面看好也需要考虑技术走势。不过目前已经这样了，拿着不动吧。买这三只股票，策略都是正确的，但选择时机上都不太好，要好好思考一下如何能做的更好。总之，最合适的策略是优选符合进入景气周期+市场认可的热门题材+涨幅不是很大的细分行业龙头股，如果涨幅都偏大但还在上涨，选择对应行业指数更好。基本面看好的股，在没有走出上涨趋势前，作为小资金暂时没有参与的必要。
马奔1,大家都遇到过的情况，没想到可以这样解决
imascg_stage,:下列时间将进行维护。▲维护时间（预定）3月10日（星期二）12：00～13：00※维护期间不能进行游戏，请预先悉知。※维护期间超出领取时限的礼物依然会自动报废，所以在维护前请一定要领取完全部礼物。※维护的实际开始时间与结束时间可能会出现与预定有所差异的情况。
陌语伶仃,:记得齐齐解释『燕七情』这个id的时候就说过自己只是一个有七情六欲的普通人。不要去神化他，也不要把他推上神坛，在情况复杂的当下，过度引人注目并不完全是一件好事。
珂敏讷z0529x,:看了@成都隐形牙齿矫正攻略很多的案例，想求推荐哪种牙套复诊方便一些？帮我预约医院！我之前牙齿发尖，门牙有缝，去了几家成都太平园的华西口腔、春风口腔、德道口腔咨询了解方案大概是：先治疗牙周炎，再戴牙套矫正，我把牙齿情况发你了@成都隐形牙齿矫正攻略求问这个方案适合我的情况吗#成都牙齿矫正##成都门牙有缝需要磨几颗牙#
行测申论不上75不改名,#外国人永久居留管理条例#黑人冒充快递员敲独居女孩家门
葡萄架下馋狐狸,【北京通报武汉刑满释放人员进京情况的调查及处理情况】2日下午，北京市新型冠状病毒肺炎疫情防控工作新闻发布会，公布武汉刑满释放人员黄某英进京事件调查及处理情况。分别对东城区政府、大广高速求贤检查站、北京市疾控中心、崇文门外街道办及新怡家园社区的相关人员予以处罚。BTV北京您早的微博视频
X苍X羽X,最完整的肖战ao3事件复盘，把航母开翻，经典的公关灾难级案例
我爱效萱,大家都遇到过的情况，没想到可以这样解决
Zoeyiiiii,大家都遇到过的情况，没想到可以这样解决
新垣结衣圈外男朋友,:最近刷B站看了个视频，视频内容就是一个人如果被分手了一定会表现出以下几种情况。1舔狗般的哀求对方不要分手2分手后找各种人去倾诉3开始增加自己各种社交软件的动态去提高自己的存在感4开始拿前任和各种人做对比5气急败坏的说前任各种不好6开始慢慢冷静下来7完全放下(过程很长)8当完全放下后开始对前任嗤之以鼻。
孔噜啦噜啦啦啦,大家都遇到过的情况，没想到可以这样解决
珂敏讷z0529x,:今年25了，门牙突出准备空了就矫正牙齿，@北京牙齿矫正之家牙齿情况发你了，看了一家说进行牙齿贴面，修复牙齿形态，打造微笑曲线帮我参考下可以，而且我还有牙齿长期暴露而变黄，想做舌侧矫正，佳美口腔、荷马口腔、诺美口腔分别如何？大兴区还有哪些中高端质量好诊所求安利！#北京牙齿矫正##北京龅牙门牙没有牙根#
跟猫躲猫猫,大家都遇到过的情况，没想到可以这样解决
小胖的地盘儿,大家都遇到过的情况，没想到可以这样解决
