肥鱼鳞,:#日本福岛核禁区解禁#快去住快去住，核辐射能抗击新冠病毒，不信你们去试试
荣辰生,我发表了头条文章:《社长抗击新冠病毒期间带头不戴口罩天天聚众赌博》社长抗击新冠病毒期间带头不戴口罩天天聚众赌博
石家庄微博头条,:【燕赵荆楚同心抗疫！大数据带你看河北与湖北情有多深
石家庄同城,:【燕赵荆楚同心抗疫！大数据带你看河北与湖北情有多深
用户在新乡,我发表了头条文章:《社长抗击新冠病毒期间带头不戴口罩天天聚众赌博》社长抗击新冠病毒期间带头不戴口罩天天聚众赌博
论评商,【伊朗23名国会议员确诊】伊朗共有290名议员，23人被确诊占议员总数的7.9%，伊朗全国总人口8000万，如果被感染比例也与议员相同，那么伊朗现在被感染的人数就是六百三十万！按十分之一计算也是六十多万。可见伊朗疫情远比武汉严重，正常推理伊朗瘟疫爆发的时间点肯定比武汉要早很多。@科技日报@知识分子@飞蠓@司马南@康缪森@鲍迪克@孙涛3399@飞雪之灵@用户588897@我唯冷笑@50年代理工男@上图老保安@nblws宁波老余@多多o617@中医杨桢@耕夫中医@中医千手治百病@芋头微波http://t.cn/A67pXbSC
3437682740_637,:【#江苏研发两款新冠肺炎防治制剂#：非上市药无需抢购可在医院开药】3月2日，江苏省中医院"芪参固表颗粒"和"羌藿祛湿清瘟合剂"第一批制剂正式投入临床使用。两种药品此前在2月21日，经江苏省药品监督管理局应急审批获得备案号。江苏省中医院药学部主任束雅春介绍，“芪参固表颗粒”除了可以预防新冠肺炎，对流感也可以起到预防作用，医院将加速生产满足临床需求。#直击抗击新型冠状病毒肺炎疫情#（封面）
海峡卫视,:【亚马逊员工感染新冠病毒谷歌等科技巨头已开始在家办公】#携手抗击疫情#3月4日，亚马逊确认员工感染新冠病毒，苹果对员工出差进行限制，谷歌先后取消年度开发者大会及云计算大会。疫情下“云办公”席卷美国科技巨头，Twitter率先鼓励全球员工在家办公，谷歌等科技巨头开始在家办公，此前在国外流行的soho在家办公模式，会在2020年成为新风口吗？#世卫组织称中国防控经验要与世界分享#@五环短视频http://t.cn/A67OSoEJ
小央视频,:#战疫最前线#【抗击新冠疫情院士们正在实验室里忙什么？】为了尽快找到战胜新冠病毒的方法，很多科研人员在争分夺秒地工作。从分离病毒到建立动物模型，从核酸检测到研制疫苗，在实验室里，他们每个人都是一名战士。小央视频的秒拍视频
Fisher-Yuan,:#张文宏预测新冠病毒最终发展#抗击疫情确实到了一个比较沉闷的阶段了。身边很多朋友都在说什么时候可以不带口罩了，大神#张文宏#说了至少持续一个月没有新增，才是拿下口罩的先决条件。大家估计还要在忍一忍。现在国内战疫到了湖北攻坚战的阶段，然后四月底要解决战斗，大家加油吧，前线的医护人员辛苦了
太乙亘0956,:震撼！全世界第一支新冠状病毒疫苗人体试验，发明人陈薇院士说:我先来。#致敬英雄##新冠型病毒##中国加油！##钟南山##我和我的祖国##朱一龙我和我的祖国##抗击疫情##疫情全知道##不由自主哼起我和我的祖国##我爱你中国##我爱你，中国##中国花游完美演绎我爱你中国##中国我爱你##疫情全知道##我爱你中国##我爱你中国##中国加油##为中国加油##加油中国加油武汉##武汉加油，中国加油##武汉加油中国加油##武汉你好吗##武汉日记##正能量##武汉市委书记回应歧视湖北人##天将降大任于中华##武汉加油##日本##直击##新型冠状病毒##鄠邑区##鄠邑乡党##鄠邑正能量##美丽鄠邑##关注扶贫助力攻坚##武汉加油##新型冠状病毒##抗击肺炎##新闻启示录##黑龙江##吉林新闻##哈尔滨新闻##新疆##塔里木##北京##天津生活##河北##燕京##贵州##云南##西藏##陕西身边事##西安##甘肃##青海##山西##河南##浙江##湖北##山东##四川##广西##福建##广东##两广两湖##广州##从化##齐齐哈尔##安徽##上海##浙江##江苏##安徽##江西##桂林##湖南##香港##内蒙古##宁夏##义乌##深圳##南京##南昌##辽宁#http://t.cn/RDUnNFDhttp://t.cn/A67OYS8z
沈阳晚报,:#抗击新型肺炎第一线#【#张文宏预测新冠病毒最终发展#...】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……对话张文宏医生，来听听他怎么说。@出圈出圈的酷燃视频
dashiyuli,:如果海外输入病例可以控制好，那么，最乐观的预计，再坚持一个月，抗击新冠病毒肺炎疫情将会取得全面胜利！
FM104女人电台,:#众志成城抗疫情#【3月4日电据韩媒4日报道，截至目前，韩国新冠肺炎确诊病例新增516例，累计达5328例】韩国疫情持续蔓延，韩国总统文在寅3日表示，韩国“已进入一场抗击传染病的战争”，所有政府组织都要转换为24小时应急机制。此外，韩国政府审议通过了有关应对新冠病毒的三项法案修订案。政府还通过了“疫区雇佣特别支援项目”促进计划，促各地方政府按受害程度，制定和落实不同就业对策。(来源中国新闻网)
南京晨报,:#关注江苏新型肺炎疫情#【车轮上的“战疫”“新冠病毒休息了，我就休息”】在抗击新冠肺炎疫情战“疫”中，南京市急救中心有一群特殊的工作者，他们既不是医生，也不是护士，在疫情来临时，他们与急救医生一起，每天与患者零距离亲密接触，冲在最前线，时刻整装待发。他们没有悬壶济世的医术，但是在生死攸关的时刻，他们手握方向盘，24小时待命，争分夺秒与死神赛跑。为了让患者得到快速救治，他们每天忙碌在战“疫”最前线，马剑海就是其中的一位。http://t.cn/A67Oplw4通讯员国立生南京晨报/爱南京记者孙苏静
北海发布,:#抗击新型肺炎北海在行动#【#张文宏预测新冠病毒最终发展#：你相信好了我的预测一定是对的】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……@许研敏在上海对话张文宏医生，来听听他怎么说。http://t.cn/A67pXirJ
四川幼儿师范高等专科学校官微,:#四川幼专[超话]##抗击疫情高校在行动#依法精准防控新冠肺炎疫情系列海报#防控新型冠状病毒肺炎#五大方面请柚子们仔细阅读，做好精准防护
昭通市检察院,:#新华全媒头条##新型冠状病毒感染肺炎#【听，人类命运共同体的大合唱——中国同国际社会携手抗击新冠肺炎疫情述评】这是一次突如其来的危机，这是一场艰苦卓绝的战斗，这是一幅风雨同舟的画卷，在抗击病魔的全球战“疫”中，中国同国际社会守望相助、携手并肩，合奏出一曲人类命运共同体的壮阔乐章。详情请看⬇http://t.cn/A67pyylp（新华视点）
中国数字科技馆,:#科学抗击疫情#【蔬菜水果会附着新冠病毒吗
姚志华1995,:今天是抗击新冠病毒，若没记错的话，武汉实行封城的第四十三天。从这两天官方公布的数据来看，每天确诊病例，疑似病例和死亡病例都呈现一个下降的态势，并和病毒处在一个胶着搏弈过程中。坚信人类终会战胜病魔，最终取得胜利！对于武汉来说，这场胜利来之不易，可以用教训深刻，损失惨重代价太大来形容。应该反思总结的太多太多了！http://t.cn/R7ur08W
网易腔调姐,:【好消息！上海新冠肺炎患者出院率超88%】#抗击新型肺炎第一线#市卫生健康委今日通报，4例新型冠状病毒肺炎病例于今日出院。目前上海已有累计298人出院，出院率超88%。（via：@上海发布）出院率已超88%！上海今天又有4例确诊病例痊愈出院，累计298人
广西网警巡查执法,:#抗击疫情公安在行动#【网警行动】病毒？病毒！！（一）新冠病毒传播，木马病毒趁虚而入从内蒙古破获一起涉疫情的黑客案件说起2020年2月7日，内蒙古兴安盟公安局网安支队接到线索，有人将恶意木马程序伪装成名为“全国新型肺炎疫情实时动态”的链接大肆传播，以此获取他人计算机控制权限。http://t.cn/A679fLGq
天府正兴,:【科技战“疫”全国12个检测产品成都占两席】近日，由成都市应急科技攻关项目支持的迈克生物新型冠状病毒核酸检测试剂盒获批，收到国家药品监督管理局颁发的《医疗器械注册证》。目前，我国共计批准了12个新冠病毒检测产品，成都就占其中两席，充分体现了抗击新冠肺炎疫情的蓉城科技支撑。（成都日报）http://t.cn/A67OJ52j
明月我家,:世卫组织：抗击新冠病毒疫情每月需要8900万个口罩莫斯科3月4日电世卫组织统计认为，抗击新冠病毒疫情每月需要大约8900万个医用口罩。世卫组织新闻简报披露，“抗击COVID-19每个月需要大约8900万个医用口罩、7600万副检查手套，而全世界对防护镜的月需求达160万副。”据世卫组织最新数据，全世界新冠病毒感染病例共90870例。中国大陆累计确诊感染80304人，死亡2946人。
青州公安,:
韩娱bnt新闻,:#bnt新闻#喜剧演员#李敬奎#为防止新冠病毒的扩散尽可能减少感染人员，4日向全国灾害救护协会捐赠了1亿韩元。李敬奎表示：“因新冠病毒扩散所有人都正度过着艰难时期，希望能给正在抗击肺炎的医疗机构和跟病魔斗争的患者们一点力量。”该款项预计将用于为大邱和庆北以及其他地区抗击疫情需要帮助的人和医务人员购买防疫用品等。
武汉新闻广播,:【#俄罗斯两万人同吃野韭菜#当地民众想借此预防新冠病毒】近日，2万多人聚集在俄罗斯车臣共和国首府格罗兹尼，一起烹饪并品尝野韭菜佳肴，甚至用该蔬菜榨汁。当地旅游部长称野韭菜营养丰富、能提高抵抗力，当地居民甚至准备靠它来预防新冠病毒。（青蜂侠Bee）#抗击疫情此时此刻#http://t.cn/A670dipX
宋元艺术12018,:韩国政府提出100亿美元追加预算案以抗击疫情！据华尔街日报报道，韩国政府周三提出一项约100亿美元的追加预算案，加大财政刺激力度，以缓和新冠病毒疫情对韩国经济的潜在影响！
浙视频,:#背20公斤消毒水日行2万步#【00后女生背20公斤消毒水日行2万步天天当朋友圈里的冠军】3月3日，云南昆明。19岁的张婕是名00后，去年中专毕业后在昆明市篆塘社区从事文化专干工作，今年为了防控新冠病毒肺炎疫情，从1月27日至今一直奔忙于抗击疫情一线。张婕负责的辖区有300多户共900多居民，每天上午9点到下午5点间，她要完成消杀、宣传、排查等工作。每天背着20多公斤的消毒水消毒，微信步数天天2万多，天天当朋友圈里的冠军。除此之外，从来不做家务的张婕觉得，这一个月的时间把她这一辈子的地都扫完了。现在她最大的心愿是，等疫情结束要和朋友一起去吃火锅。@新华网@中国日报http://t.cn/A67OI1JN
武汉身边事,:【#韩国累计确诊5328例新冠肺炎#】#关注新冠肺炎#据韩媒4日报道，截至目前，韩国新冠肺炎确诊病例新增516例，累计达5328例。韩国疫情持续蔓延，韩国总统文在寅3日表示，韩国“已进入一场抗击传染病的战争”，所有政府组织都要转换为24小时应急机制。此外，韩国政府审议通过了有关应对新冠病毒的三项法案修订案。政府还通过了“疫区雇佣特别支援项目”促进计划，促各地方政府按受害程度，制定和落实不同就业对策。
微博节目,:#聚焦一线抗击肺炎#【#张文宏预测新冠病毒最终发展#：你相信好了我的预测一定是对的】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……@许研敏在上海对话张文宏医生，来听听他怎么说。http://t.cn/A67pXirJ
湖北私家车广播,:【老人#怀疑钞票有病毒用微波炉加热#：大部分碳化至黑色，银行全额兑换】#新冠肺炎防控##抗击新型肺炎进行时#近日，江苏江阴。因担心人民币上携带病毒，李阿姨将把3125元现金放进微波炉中加热消毒，没多久，纸币大部分碳化至黑色。目前银行已全额为李阿姨兑换了崭新的人民币。银行工作人员介绍，现金是消毒过再投放市场的。http://t.cn/A67pzBIt
楚天交通广播,:【老人#怀疑钞票有病毒用微波炉加热#：大部分碳化至黑色，银行全额兑换】#新冠肺炎防控##抗击新型肺炎进行时#近日，江苏江阴。因担心人民币上携带病毒，李阿姨将把3125元现金放进微波炉中加热消毒，没多久，纸币大部分碳化至黑色。目前银行已全额为李阿姨兑换了崭新的人民币。银行工作人员介绍，现金是消毒过再投放市场的。http://t.cn/A67pzBIt
55168论坛-上市公司调研网,:【韩国政府提出100亿美元追加预算案以抗击疫情】据华尔街日报报道，韩国政府周三提出一项约100亿美元的追加预算案，加大财政刺激力度，以缓和新冠病毒疫情对韩国经济的潜在影响。该国企划财政部表示，拟议中的11.7万亿韩圆（合99.1亿美元）的追加预算将用于加强医疗设备和设施以控制疫情，并向受疫情影响的企业、商户和家庭提供财政援助。该份追加预算案定于周四提交国会批准。
梧州发布,:#抗击新型冠状病毒肺炎我们在行动#据了解，这三名新冠肺炎康复者确诊后，在市第三人民医院隔离治疗，分别于1月28日和2月10日达到解除隔离出院的标准。康复者们纷纷表示，非常感谢医护人员的精心治疗，同时希望通过献血救治更多的新冠肺炎患者，坚信我们一定会打赢这场疫情阻击战。新冠肺炎康复者莫某某：“感谢医生和护士，他们每天都细心地照顾我、鼓励我，让我有信心去对抗这个病毒。因为献血可以挽救更多的生命，所以我觉得这样做很有意义。”新冠肺炎康复者李某某：“本来得这个病是不幸的，但有幸的是国家给予我们最大力度的治疗，把我们的病治好了。”新冠肺炎康复者莫某某：“希望能够通过自己的血液延续其他人的生命。人的生命太宝贵了，特别是自己经历过这些事情之后，我想告诉新冠肺炎患者，一定要相信医生、相信国家，大家共同努力，必定能够战胜病毒。”
梧州发布,:#抗击新型冠状病毒肺炎我们在行动#以坚韧战胜病魔，以博爱奉献血浆。3月3日下午，我市3名新冠肺炎康复者捐献血浆，用实际行动为救治更多新冠肺炎危重症患者奉献爱心。
WordinPPT,:大气简洁中小学校新冠肺炎防控技术方案抗击疫情PPT模板#新型冠状病毒##新冠肺炎##新冠肺炎防控##疫情##科学抗击疫情#
WordinPPT,:企事业单位复工复产疫情防控措施指南PPT#企业复工##企业复产##抗疫行动##新型冠状病毒##新冠肺炎##新冠疫情下如何安全返工##抗击新型肺炎第一线#
USA美国那些事儿,:#特朗普捐工资10万美元抗疫#白宫发言人发推表示，川普将10万元的薪水捐给了卫生与公共服务部，用以抗击新冠病毒疫情。据白宫透露，川普的年薪为40万元，他每个季度都会把自己的薪资捐出去。
鄂尔多斯发布,:【#世卫组织称赞中国与各国分享抗疫经验#】#鄂尔多斯防控疫情第一线##众志成城抗击疫情#世界卫生组织总干事谭德塞周二强调所有国家都应行动起来，遏制新冠病毒传播。世卫组织卫生紧急项目技术负责人玛丽亚·范凯尔克霍弗称赞中国与各国分享抗疫案例、医疗管理、医院筹备等方面的经验，并鼓励所有国家这么做。http://t.cn/A670q14Y
华西医院老年医学中心,影像技师——他们不是医生、他们不是护士，他们是不可或缺却日常低调的一群天使！他们总在背后默默奉献，穿上装备是奋战在抗疫最前线的战士，摘下口罩他们是可爱的”蓝精灵“！有情怀有才华的华西影像技师自制小视频，带你一起走进华西医院放射科，走近战斗在最前线的这群可爱的人！对于每个抗疫的影像战士，前方后方，都是战场；一线二线，都是最美的风景线。这是他们的日常，也是这个忙碌的团队在每一分每一秒的力量，致敬影像人！http://t.cn/A67favEU
天津大学管理与经济学部,:#经管干货#【骁话一下：说到江苏你只能想到散装？告诉你它的经济有多强】抗击新冠病毒期间，许多省市都向湖北派出医疗队，江苏省内各市因为没集中从南京出发，各自为战，被网友们戏称为“散装江苏”。江苏省一直以“大内斗省”闻名，苏南苏北互相争就罢了，省会南京还被调侃是安徽省会。到底为什么会这样？本期#骁话一下#就聊聊年纪轻轻又有钱的“散装”江苏。via.@观察者网http://t.cn/A6hmYzEv
杭州市上城区清波街道,:【“疫”“陆”上有你一名社区协管员的坚守】#清波战疫#在抗击新冠病毒疫情的一线，柳翠井巷社区有一位协管员。春节前夕，新冠肺炎疫情爆发，社区党委书记召集在杭社工全体投入前线的工作。任务紧急，协管员陆唯洁挺身而出协助参与防疫事务，这一干就是一个多月。落实办公室、卡点的卫生、消毒、伙食分餐制；记录社区工作人员、卡点志愿者的每日体温监测；收集口罩、手套、雨衣等紧俏物资；她一个人就是一支后勤保障队。照顾着一个社区“老小”后勤的陆唯洁，却常常顾不上女儿的一日三餐。因为是单亲家庭，春节原本是母女亲密相处增进感情的好时光。而疫情爆发以来这个漫长的寒假，女儿几乎都是一个人渡过。“我是柳翠的一份子，没有什么应不应该做。”在她的眼里，协管员的身份早已模糊，作为社区的一份子就应该和大家战斗在一起。
中国网,:【韩国确诊病例新增516例累计达5328例】据韩媒4日报道，截至目前，韩国新冠肺炎确诊病例新增516例，累计达5328例。韩国疫情持续蔓延，韩国总统文在寅3日表示，韩国“已进入一场抗击传染病的战争”，所有政府组织都要转换为24小时应急机制。此外，韩国政府审议通过了有关应对新冠病毒的三项法案修订案。政府还通过了“疫区雇佣特别支援项目”促进计划，促各地方政府按受害程度，制定和落实不同就业对策。（中国新闻社）
无锡同城会,:【#防疫小课堂#：如何申领“锡康码”？】新冠病毒不可怕，科学防护战胜它！跟着小锡学起来~~携手战”疫“，你也是一份子[加油]。#无锡抗击新冠肺炎第一线##无锡抗击新型肺炎第一线#新浪无锡的微博视频
山西交警,:抗疫中的北城交警巾帼女子岗#疫情当前警察不退##抗击疫情公安在行动#三八妇女节快到了，北城大队女交警不辞辛苦，全心全意的奋战在抗击新冠病毒的第一线，让我们为她们点赞！
濮阳日报社-濮阳网,:《听，人类命运共同体的大合唱——中国同国际社会携手抗击新冠肺炎疫情述评-新华网》听，人类命运共同体的大合唱——中国同国际社会携手抗击新冠肺炎疫情述评---这是一次突如其来的危机——岁末年初，新型冠状病毒感染的肺炎疫情在湖北武汉等地发生，人类被迫面临一种未知病毒的汹涌侵袭。http://t.cn/A670t9dU
健康界网站,:【#韩国累计确诊5328例新冠肺炎#】据韩媒4日报道，截至目前，韩国新冠肺炎确诊病例新增516例，累计达5328例。　　韩国疫情持续蔓延，韩国总统文在寅3日表示，韩国“已进入一场抗击传染病的战争”，所有政府组织都要转换为24小时应急机制。　　此外，韩国政府审议通过了有关应对新冠病毒的三项法案修订案。政府还通过了“疫区雇佣特别支援项目”促进计划，促各地方政府按受害程度，制定和落实不同就业对策。
铜陵日报社,:#抗击新冠肺炎铜陵在行动#【新型冠状病毒科普知识：捐献恢复期血浆助力抗击疫情拯救危重患者生命】（来源：健康中国）捐献恢复期血浆助力抗击疫情拯救危重患者生命【新型冠状病毒科普知识】（264）
