用户6185715777如鹰,:霍阳任梅州市副市长霍阳任梅州市副市长
饮冰子涵,:今天去了一躺广东省梅州市大埔县高陂镇的一个村落，时隔近两年，变化翻天覆地，一栋栋小洋楼拔起。但我发现近95%的农田都不种水稻，都改成小型鱼塘/自家菜地/种植果树/老屋拆了建自建房所剩的泥石掩埋，弄成小型停车场。我想其原因有可能是家中劳动力少且年老、山地多且耕种面积少、种地辛苦再加上村镇商店均有售米。近年来，我发现大埔县高陂、茶阳等地的农村均出现该现象，且日益增加并趋于严重。农田不种田，就必然导致粮食产量减少，最后只能进口。纵观全国，家中劳动力少与粮食收购价低是主要因素。我想，未来农村应该几乎无人种田了！http://t.cn/R2WxnLB
梅州-爆料,:#梅州记录#网友当晚爆料视频：梅州市五华县横陂镇超群村。受害人是超群村村口防疫点的工作人员，一人因为酒驾不肯配合测量体温冲卡还殴打工作人员，当晚横陂镇派出所民警接警之后马上冒着严寒出动警力保证一线防疫人员安全。感谢战斗在一线的勇士。也请严肃处理这样的害群之马！@平安梅州@那是帅气的啊鑫啊@安徽司法@爱空间天津@威海那点事儿http://t.cn/R4GPmaUhttp://t.cn/A6hs0HKp
新鲜苹果888,【武汉新型冠状病毒感染患者救治均由政府买单】据人民日报，武汉市卫健委表示，凡是确诊的病人，除医保报销外，医疗费全由政府兜底。梅州
尤米文化传媒有限公司,:#梅州婚礼策划##梅州市尤米文化传媒#让人毫无抵抗力的蓝色系婚礼我们如星辰般被强大的爱情引力牵引静默的向宇宙中相互靠近倾心
莫嘉荣是大笨蛋,:农历六月十九，广东省惠州市博罗县园洲镇九潭西边街粮所农历正月二十，广东省汕头市潮阳区关埠镇东湖村新历十月二十八，广东省梅州市梅县畲江镇三横街中路19号
糊涂虫-楠楠,:#蔚蓝地图#实景。2020年02月24日21点，梅州市，多云，20°C，湿度70%，风力2级，风向西南风，空气质量良。
糊涂虫-楠楠,:#蔚蓝地图#实景。2020年02月24日21点，梅州市，多云，20°C，湿度70%，风力2级，风向西南风，空气质量良。
风的自由1231,:广东省梅州市西河北塘乡村旅游区：北塘村景秀，古道留清风http://t.cn/A6hklDVV
宝贝回家-闫,:【求助】约1945年9月出生1947年从广东省梅州市五华县水寨镇河坡村被拐卖到江西的李茂清寻亲418166http://t.cn/A6huPDSf(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
夜半-1997,:梅州市梅县丙村镇联和村一村民水田违规建房，占用村民村道。全村人都知道这个地方以前是水田，更不知2018年为何下达责令拆除的文件标明为旱地。此人贿赂村干部，继续建房，村干部不闻不问，镇干部也不闻不问。基层政府有法不依，贪污受贿，失信于民。真的是山高皇帝远，申诉无望吗？？？！！!@梅州国土资源@梅州发布@梅州生活圈@梅州电台新闻台@meizhou@梅州零距离@梅县城市管理监督指挥中心@梅州电视台民生820http://t.cn/A6hkMRVy
唐伯虎娶秋香,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，...展开全文c
梅州电台新闻台,:【蕉岭县重点企业用工网络招聘会】梅州市奋进威电子科技有限公司工程部技术员：职高以上学历，熟悉电脑办公软件，电子专业或相关工作经验优先录用，男女不限，18-38岁。工资2500-4000元。自动化设备技工：高职以上学历、头脑灵活、好学，有自动化设备基础更佳，机电一体化专业应届毕业生亦可，热爱自动化机器设备行业，年龄22-45岁。工资3000-4500元/月。QC：职高以上学历，有相关工作经验优先录用。男女不限，18-38岁。工资2500-3500元/月。操作员：有较强的应对能力，年龄18-38岁。工资2500-3500元/月。普工：年龄18-38岁，手脚灵活、身体健康。按计件薪酬，多劳多得。联系人：林先生，联系电话：13750505588。广东固特超声股份有限公司办公文员：大专以上学历，有相关从业经验一年以上。工资待遇面议。品检员：中专及以上学历，一年以上品质相关工作经验。熟悉品质检验工序，能够独立处理相关工序品质异常。会使用游标卡尺、百分表、千分尺等量具。18-35周岁，有电子、塑胶行业品检工作经验优先，身体健康，吃苦耐劳，服从工作安排。工资待遇面议。焊工：初中以上文化，有相关从业3年以上经验。工资面议。普工：18-45周岁，初中以上学历，服从工作安排。工资待遇：计件工资。PMC专员：20-35岁、高中以上学历、沟通能力强。工资面议。联系人：王先生，联系电话：13825996123蕉岭县意高服装服饰设计有限公司缝纫学徒/熟手工：年限18-45岁(熟手工条件放宽)，学历不限。3000-5500元/月。车位飞机位：年龄18-45岁(熟手条件放宽)，学历不限。4000-5500元/月。中烫：年龄18-45岁(熟手条件放宽)，学历不限。3500-4500元/月。质检员：年龄18-40岁(熟手条件放宽)，学历不限。3500-4500元/月。裁床师傅：年龄18-45岁(熟手条件放宽)，学历不限。4500-5500元/月。裁床技工：年龄18-45岁(熟手条件放宽)，学历不限。3800-4500元/月。联系人：徐小姐，13670792812梅州市汉邦实业有限公司普工：能吃苦耐劳，有敬业精神，熟练数控操作工种优先，2500元/月销售：能吃苦耐劳，有敬业精神，有业务经验销售优先。薪资面议。设计师：从事过衣柜、橱柜等全屋定制或家装设计经验者优先考虑。薪资面议。联系人：蔡小姐，联系电话：13824550638
梅州日报,:【五华支援湖北医生薛远泉：尽己所能减轻患者病痛】#梅州新闻[超话]#五华县人民医院重症监护科医生薛远泉是梅州市第二批支援湖北医疗队的成员之一，按照统一安排，他被安排在武汉东西湖客厅方舱医院A舱，和医疗队其他医护人员一起，共同管护600名确诊的轻症患者。6名医生管护600名患者！五华医生武汉战“疫”：相比患者的痛苦，这点辛苦不算什么
碧丽饮水设备有限公司,:碧丽齐心抗疫情，爱心捐赠暖人心随着疫情防控工作的深入推进，梅州梅江区疫情防控指挥所工作量增加，工作人员的饮水成了大问题！碧丽公司在得知这一情况后，马上调拨了一批碧丽智能4.0高端饮水机，无偿捐赠给梅州市梅江区疫情防控指挥所，支援当地的疫情防控工作。http://t.cn/zRQJsDJ#碧丽智能4.0#
汇荆州,:#荆州生活#【梅州力量披“荆”斩“疾”】#荆州抗疫在行动#广东省梅州市第三批援助湖北医疗队17名队员正奋战在荆州市公安县。梅州电视台主持人隔空问候，“梅”好祝福送给荆州人民，待到春暖花开，吃惯了千张扣肉的你们，一定要来梅州尝尝梅菜扣肉！
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云到阴天，最低气温15到17度，最高气温26到27度，偏南风1到2级，森林火险气象等级3级。梅州市气象台24日10时发布
广州新闻电台FM962,:#抗疫最前线#【海珠客运站逐步恢复班车运营】海珠客运站逐步推进省际省内班车恢复运营，为复工返程人员提供运输保障。班线恢复详情：省际班线：四川江安、四川南部、湖南宁远佛山市：顺德清远市：清远、连州、英德梅州市：大埔、五华、兴宁湛江市：湛江、吴川、海安茂名市：化州、电白、信宜云浮市：罗定、新兴（天堂）韶关市：新丰、南雄温馨提示：进入站场及乘坐班车的旅客必须佩戴口罩和接受体温测量，对体温异常的旅客将启动应急处置方案，并登记上报。根据交通部及属地行业主管部门的要求，中运客运公司属下客运站场已落实班车减售50%座位的措施，旅客隔位乘坐；同时安排专职工作人员，在每一辆班车发班前都进行全面消毒，做好登记，没有消毒的班车不给予发班。目前大部分班车受疫情影响处于停运状态，部分班线车辆正常运行，旅客可拨打客服热线（海珠客运站客服热线：020-84013330）或登录各站微信公众号（“海珠客运站”）购票系统查询，可购票即有车。来源：广州新闻资讯广播全媒体记者：陈建如
梅州天气预报,:梅州市，今天多云，15~26℃，微风，空气良http://t.cn/EIN86UJ
梅州天气,:【早间天气预报】今天白天，全市多云到阴天，最高气温25到27度，偏南风1到2级，森林火险气象等级3级。梅州市气象台24日6时发布
乙俏丽乄清洁工,:【益塘水库】益塘水库位于五华县城西北方向，距县城20公里，离广梅汕铁路华城火车站12公里
梅州电台新闻台,:【我，是一名抗“疫”邮政志愿者】从2月13日以来，梅州市分公司党委根据梅州市委组织部的安排，陆续选派11名党员、团员青年参加一线防疫防控志愿活动工作。在志愿者当中，有的是机关中层干部、有的是业务技术骨干、还有新入职大学生，在志愿服务中他们用邮政人的凡人善举、仁爱之心，为政府分忧、为百姓解难、为党旗添彩……（一）梅州邮政志愿者委派到梅江区三角镇政府，负责三角镇城乡社区支援工作。根据梅江区三角镇政府战疫指挥部要求，梅州邮政宣传志愿者立刻协助镇村干部开始了紧锣密鼓的抗“疫”工作。每天早上8点30分，准时来到龙上村居委和客天下社区辖区内小区、出租房、复工复产场所摸查外地在梅人员的人数、健康状况、原居住地，是否主动有异地接触史和居家隔离等相关信息。了解到相关情况后，共产党员、志愿者梅州市分公司团委书记何燕娜等人便与与镇村干部两人一组逐一上门给居家隔离对象量体温、宣传防疫知识、发放《居家隔离告知书》防疫知识手册。如遇外来工或贫困户，何燕娜还暖心地把自用的备用口罩奉献出来送给了他们。因临危时刻，赠送口罩这一善举让村民感受到了来自党和政府的浓浓关爱，也让他们深刻认识到隔离的是病毒，而不是温度，更加坚定了居民群众严格遵守居家隔离规定的决心。（二）三角镇面积39平方千米，下辖13个村3个社区，内含世界客都大道高速路出口、火车站、机场，是目前梅江区所有乡镇中，外来人口最多、中小企业最多、建筑工地最多的乡镇。当前疫情防控形势依然严峻，超长春节假期结束后，务工人员返城给城乡社区疫情防控工作带来了更多的挑战。梅州邮政选派的11名防疫志愿者，始终坚守“第一道防线”，动员群众积极配合耐心细致做好排查，排查区域不漏一户、不落一人。他们虽然没有前线医护人员般轰轰烈烈的事迹，却用一次次平凡的付出，筑起一道道严密的“防疫墙”，为阻击疫情作出了积极的贡献。（三）在做好疫情防控宣传工作的同时，共产党员、志愿者林鹏、郑华等人还协助镇村干部做好湖北、浙江、梅州市以外外来人员信息梳理、统计、分析、归类。协助村镇干部给低保家庭、五保户发放少量口罩和爱心人士捐赠的爱心物资。此外，志愿者们还积极发挥自身特长，在镇村干部的支持下，我们给全村低保家庭和五保户共计27户进行一对一电访，宣传防疫知识和法律知识，引导他们要从官方渠道了解疫情相关讯息，自觉做到遵纪守法，不信谣不传谣。还为有需要的服务对象进行心理疏导，缓解他们因恐慌造成的焦虑情绪。据悉，至2月23日，梅州邮政防疫防控志愿者在志愿活动期间，共走访排查企业96家、入户排查4600户、电话排查820人、帮助发放防疫物资200多份、值守排查外来人员400多人、上门或驻点发放《居家隔离告知书》防疫知识手册12000份。潺潺细流汇成江海，殷殷之情爱心凝聚，梅州邮政防疫防控志愿者的辛勤付出，赢得了全社会的点赞！（宋新嘉、陈国红）
那是帅气的啊鑫啊,:事发地点是梅州市五华县横陂镇超群村。我爸是村口防疫点的工作人员，一个有吸毒贩毒前科的人因为酒驾不肯配合测量体温冲卡还殴打工作人员，警察来了之后不肯配合还袭警。还扬言要灭了我们全家。在与警察交流过程中多次与警察攀关系，希望人民警察能公平对待。@梅州-爆料@五华公安http://t.cn/A6hdLvWt
旅游梅州,:最新疫情通报！截至2月21日24时，梅州市累计报告确诊病例16例，累计治愈出院11例。在院患者无重型、危重型和死亡病例。目前追踪到密切接触者，均在进行医学观察。最新疫情通报！
后续FollowUp,:#历史上的今天·逝者#2005年02月23日李国豪逝世。他是广东省梅州市梅县区人。桥梁工程与力学专家、教育家、社会活动家。曾担任同济大学校长、国务院科学规划委员会主任、上海市科学技术协会主席、上海市政协主席等职。1936年毕业于同济大学土木系，1938年至1945年在德国达姆斯塔特工业大学专攻桥梁工程和结构力学，1940年和1942年先后获工学博士和特许教博士学位，发表的重要论文“悬索桥按二阶理论实用计算方法”等，被誉为“悬索桥李”。1946年回国后，李国豪任上海市工务局工程师，同时担任同济大学教授，1977至1984年任校长，1955年被选聘为首批中国科学院学部委员（院士），1994年当选为中国工程院首批院士。
梅州新闻联播,:广东省梅州市第三批援助湖北医疗队17名队员正奋战在荆州市公安县。梅州力量披“荆”斩“疾”，共同战疫，“梅”好祝福送给荆州人民，待到春暖花开，吃惯了千张扣肉的你们，一定要来梅州尝尝梅菜扣肉！@荆州发布@荆州日报@荆州新闻网@荆州广播电视台#荆州身边事##荆州#梅州新闻联播的微博视频
永定公安,:【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局#疫线警察#http://t.cn/A6huHhdohttp://t.cn/RJAvFIQ
永定公安,:【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局#疫线警察#http://t.cn/A6huHhdohttp://t.cn/RJAvFIQ
平安纳溪,:【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局#疫线警察#http://t.cn/A6huHhdo
梅州天气预报,:梅州市，今夜多云，12℃。明天多云，13~26℃，微风，空气良http://t.cn/EIN86UJ
平安郑州,:【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局http://t.cn/A6huHhdo
奥蔬,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，...展开全文c
广东长乐烧酒业,:http://t.cn/A6hrPbry新冠肺炎疫情爆发以来，广东长乐烧酒业股份有限公司董事长卓定华心系家乡，第一时间组织广东五华商会捐款定向慰问梅州市赴援湖北医护人员。2月21日，广东长乐烧酒业再行善举，捐出一批价值60万元的75度柚子酿长乐酒，支持五华县新冠肺炎疫情防控工作，为抗击疫情，积极承担企业的社会责任。
mobychung,:《75度的温暖！长乐烧推出能饮能用的柚子酒支持战疫》http://t.cn/A6hrPbry新冠肺炎疫情爆发以来，广东长乐烧酒业股份有限公司董事长卓定华心系家乡，第一时间组织广东五华商会捐款定向慰问梅州市赴援湖北医护人员。2月21日，广东长乐烧酒业再行善举，捐出一批价值60万元的75度柚子酿长乐酒，支持五华县新冠肺炎疫情防控工作，为抗击疫情，积极承担企业的社会责任。
梅州日报,:#梅州新闻#【“感谢救命恩人！”出院之时，她提笔为赴荆的梅州白衣战士写下一封信】今天，湖北荆州又一新冠肺炎患者经梅州支援湖北疫情防控医疗队救治后出院。患者张女士是武汉疫区返乡人员，2月8日发现自己发热38.5℃伴咳嗽到公安县中医医院就诊，被及时收治入院隔离治疗，后经各项检查和专家会诊，确诊为新冠肺炎。入院后，张女士由梅州第三批支援湖北疫情防控医疗队队员、梅州市人民医院医护人员郭俊华、吴伟林和叶昌明作为第一救治小组对其进行治疗和监护。由于隔离病房是春节后临时改建的，条件艰苦，但我市医务人员克服困难，认真检查，科学规范诊治，积极给予抗病毒和中西医结合等治疗。在治疗过程中，观察到张女士很焦虑，内心恐惧、沮丧，除了做好医疗、护理工作，郭俊华三人还充当起“心理医生”，经常对张女士进行心理疏导和医疗常识解答，努力为她解开心结，鼓励她坚定树立战胜病毒的信心。经过每天的心理安慰治疗，张女士的恐惧情绪渐渐消除，脸上笑容也多了，树立了战胜疫魔信心，积极配合医生治疗。在梅州第三批支援湖北疫情防控医疗队队员的精心治疗下，张女士病情很快得到控制，情绪也逐渐稳定下来。经过多次核酸复查和专家组会诊，张女士符合国家新冠肺炎治愈标准，今天给予出院到隔离病房观察。http://t.cn/A6hBdkzz
想有就有6225305605,:[热门]广东梅州阴那山风景旅游区，不得不去的地方。查看👉👉👉http://t.cn/A6hBcZeh阴那山位于广东省梅州市梅县区雁洋镇，其东南为大埔县英雅乡，距梅州市区40多公里，是梅州首屈一指的胜景名山，人称粤东群山之祖。阴那山秀甲潮梅，名播闽粤，与罗浮、南华鼎峙齐名，并称“粤东三胜”。基本简介http://t.cn/A6hBcZeh
用户7398074918,:广东省梅州市蕉岭县蕉城镇车站附近或者民政局附近有房子租请联系我13823875929，二楼三楼都行梅州
梅州天气,:【中午天气预报】今天中午到明天早晨，全市多云，最低气温12到14度，最高气温26到28度，偏北风1到2级，森林火险气象等级3级。梅州市气象台23日10时发布
青青河边草64491,:#宝贝寻家#约1945年9月出生1947年从广东省梅州市五华县水寨镇河坡村被拐卖到江西的李茂清寻亲418166（男）一个发旋，直发。双眼皮。不是断掌纹，不是左撇子。http://t.cn/A6huPDSf(出处:宝贝回家论坛)请大家转发各群及相关论坛，您的每一次转发都会给寻亲带来一份希望，谢谢！！！被拐卖经过，以下“我”代表寻亲人，听养家说，1947年（月份不详）的时候，养家同村的人贩子曾吉龙和曾祥盛（都已故），在广东省梅州市五华县水寨镇河坡村地区，共收买了7个小孩，当时大的孩子有7岁，我最小只有约2到3岁，后用粉皮篓挑回本地贩卖。养家用120块大洋买回了我，取名李茂清，并置办了酒席。养父李付轻，养母王秀。养家原住址，江西省赣州市宁都县东山坝镇（注，在当时那个年代，现在的东山坝镇，原来由石上处公署管辖，历辖时叫石上处公署，石上人民公社，东山坝人民公社，东山坝乡，现在的东山坝镇）。据人贩子回忆说，我是从广东省梅州市五华县水寨镇河坡村地区收买来的，当时的生父家居住在镇上或村里的，第三间房屋（店面）里，生父家还有两个哥哥，我与二哥的年龄相差可能在5岁以内。带走我的时候，人贩子给了生父9块大洋，生母给我喂了最后一次奶，两个哥正坐在桌边吃稀饭，还都流着鼻涕。
糊涂虫-楠楠,:白鹭成群#蔚蓝地图#实景。2020年02月23日09点，梅州市，晴，17°C，湿度77%，风力1级，风向东北风，空气质量良。
mingjty,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，具雄、险、奇、秀、幽、古之特色。来此自驾，是一个非常不错的户外体验。景区内非常幽静，完全是置身在原始的森林中。这里汇聚了36座形态各异、惟妙惟肖的石山，呈现独特的“奇峰林立，沟壑纵横，赤壁悬崖”的丹霞地貌特色景观。沿着悬崖栈道进行游览，一路称奇连连。#广东旅行[超话]##365个旅行故事#@微博旅游@新浪旅游Auther:苏丹卿
梅州中公教育,:【招聘】招7人！梅州市公安局招聘网络技术员公告【招聘】招7人！梅州市公安局招聘网络技术员公告
梅州天气,:【早间天气预报】今天白天，全市多云，最高气温26到27度，偏北风1到2级，森林火险气象等级3级。梅州市气象台23日6时发布
铁菌,:#长三角铁路#瑞梅铁路线路起于赣龙铁路瑞金站，经赣州市会昌县、安远县、寻乌县，梅州市平远县引入漳龙铁路梅州站，正线全长237.4公里，其中江西段163.1公里。建设标准为国铁Ⅰ级，单线，设计时速160公里。目前项目已处于初步设计定测阶段。
注定这结局,:截至2月21日24时梅州市新冠肺炎确诊病例连续6天零增长，治好11位；起初五华是没有的被嫁江西的“外嫁女”半个五华人回娘家搞的一团糟，失守了，事已发，说多无益，顺其自然注定这结局的微博视频
梅州新闻联播,:【梅州市人民医院秩序井然积极迎接节后病人就医高峰】梅州市人民医院一手抓疫情防控，一手抓医疗服务，积极迎接春节后病人就医高峰，全力保障市民安全就医方便就医快捷就医。#梅州身边事##新型冠状病毒#
金华交警,:#战“疫”在一线#【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局http://t.cn/A6huHhdo#华南海鲜市场并非新冠病毒发源地#
梅州零距离,:温馨提示由于梅州市梅县区畲江大桥限高栏被超限车辆损坏，存在安全隐患，因此，明天（2020年02月23日）上午09：00～11：00时进行封桥作业，届时请各位群众绕新桥通行，不便之处，敬请谅解！#梅州爆料##梅州新闻#
法制日报,:#战“疫”在一线#【《用爱守筑家园》MV首发源于警医夫妻共同战“疫”真实故事】2020年始，一场疫情打破平静，一声号角打响战疫。广东省梅州市西河检疫检查站辅警江伦，在亲身经历这场“战疫”的过程中，其所见所闻触发了音乐创作的灵感。作为一名音乐爱好者，他决定用音乐来表达对家园守护者的敬意，期冀春暖花开、勇士凯旋的曙光。根据真实发生的故事，梅州市公安局将这首《用爱守筑家园》摄制成MV，讲述一对警医夫妻，在接到疫情防控的命令后，暂别年幼的女儿，各自坚定地奔赴抗疫一线。via梅州市公安局http://t.cn/A6huHhdo
寻爱千里,:#寻爱千里助寻人[超话]#【求助】约1945年9月出生1947年从广东省梅州市五华县水寨镇河坡村被拐卖到江西的李茂清寻亲418166http://t.cn/A6huPDSf(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
Chanyaufa-,:梅州市，今夜局部多云，21°C。
梅州电台新闻台,:【梅州“38项要求”全面加强污水污物监管工作！切断粪口传播途径】新冠肺炎防控进展提示新冠病毒还可通过潜在的粪一口途径传播。近日，梅州市新冠肺炎防控领导小组（指挥部）下发《加强污水污物监管工作的通知》，明确六大责任，提出了38项工作要求，以进一步加强污水污物监管及全链条监管，防范新型冠状病毒通过“粪—口”传播。
梅江检察,:【梅江检察战“疫”】传递“检”爱，热血抗“疫”受新冠病毒疫情影响，梅州市血库告急，收到消息后梅江区人民检察院党组高度重视，迅速组织干警积极参与无偿献血活动。详情请戳→【梅江检察战“疫”】传递“检”爱，热血抗“疫”
梅州天气预报,:梅州市，今夜多云，12℃。明天多云，13~24℃，微风，空气良http://t.cn/EIN86UJ
旅游梅州,:#梅州市最新疫情#连续6天0增长！梅州，期待更多0！截至2月21日24时，全省累计报告新冠肺炎确诊病例1339例。21日当天全省新增确诊病例6例，为广州市4例，深圳市、肇庆市各1例。新增出院56例，2例为危重型病例治愈出院，4例为重型病例治愈出院，其他为普通型或者轻型治愈出院。累计出院720例。另有疑似病例1例。有1695名密切接触者正在接受医学观察。http://t.cn/A6hm13Sy
浅唱初夏_joeyjin,:
梅州天气,:【傍晚天气预报】今天晚上到明天白天，全市多云，最低气温12到14度，最高气温26到27度，偏北风1到2级，森林火险气象等级3级。梅州市气象台22日16时发布
想有就有6225305605,:[精选]梅州市客家山歌三斤狗：极其具有民族特色歌曲，还有教...。查看👉👉👉http://t.cn/A6hmIzdt梅州市客家山歌三斤狗：极其具有民族特色歌曲，还有教育意义http://t.cn/A6hmIzdt
梅州电台1058,:【梅州速度！日产30万只口罩的企业来了！】在获得医用口罩生产所需的微生物检测报告和检验检测报告后，今天上午，梅州市又一家生产医用及民用口罩的生产企业——广东博能福源医用品有限公司正式投产。该企业8条半自动和5条全自动化生产线全部投产后，预计日产医用及民用等各类口罩可达30万只。#新型冠状病毒##梅州身边事#
绿水青山ZLQ,:梅州市兴宁鸡鸣山原名鸡灵山，位于广东省兴宁市永和镇锦洞乡与新圩镇双头村交界地方，海拔538.7米，周围群山环抱，一峰独耸。鸡鸣山是兴宁古八景之一。深圳·南山科技园
下雪Amp,带你淘淘宝贝
梅州新闻联播,:【梅州速度！日产30万只口罩的企业来了！】在获得医用口罩生产所需的微生物检测报告和检验检测报告后，今天上午，梅州市又一家生产医用及民用口罩的生产企业——广东博能福源医用品有限公司正式投产。该企业8条半自动和5条全自动化生产线全部投产后，预计日产医用及民用等各类口罩可达30万只。#新型冠状病毒##梅州身边事#
用户7360597629,:发布了头条文章：《广东梅州市-市单词记忆软件哪家强？奇速英语软件+单词本火了》广东梅州市-市单词记忆软件哪家强？奇速英语软件+单词本火了
梅州新势力,:#梅州旅行[超话]#散打哥捐助家乡抗疫之举被梅州市新闻联播报道#梅州爆料#“情系家乡！“散打哥（陈伟杰）”捐赠40余吨物资支援梅州抗疫之举被梅州市电视一台新闻联播报道散打哥最后对家长人民讲到：我是“散打哥”陈伟杰，向家乡人民问好，这次疫情是“人民战争”，希望大家一起来抗击疫情，共同来迎接春暖花开的日子#散打哥#.http://t.cn/A6hO9jxr
陕巅侠,:发布了头条文章：《网传：梅州市农业农村局在编干部退休却无编制》网传：梅州市农业农村局在编干部退休却无编制
广东长乐烧酒业,:新冠肺炎疫情爆发以来，广东长乐烧酒业股份有限公司董事长卓定华第一时间通过各种渠道进行了捐赠，并捐款定向慰问梅州市赴援湖北医护人员。2月21日，广东长乐烧酒业股份有限公司再度捐出一批价值60万元的75度长乐酒，支持五华县新冠肺炎疫情防控工作，为抗击疫情，积极承担企业的社会责任。#万众一心抗击疫情#
梅州电台1058,:【梅州景区到年底对全国医护工作者免费开放！全国新闻记者还可免费游百侯景区】近日，梅州市文化广电旅游局和梅州市旅游协会向全市所有旅游景区发出倡议，自景区恢复运营之日起至2020年12月31日止，向全国（含港澳台地区）所有医护工作者，凭有效证件（医师证、护士证或与医务工作相关的其他资格证件）到我市53家旅游景区参观实行免门票优惠。为向不顾危险勇于投身抗击疫情一线的新闻工作者表示敬意，负责经营国家4A景区大埔县百侯名镇旅游区的梅州市广播电视台决定：自百侯景区恢复运营之日起到2020年12月31日止，全国新闻记者（凭本人记者证）免门票进景区。#梅州#http://t.cn/A6hRxQB3
白云山何济公制药,:心系贫困村，捐赠送温暖http://t.cn/A6hRcGkU当前，众志成城抗击新冠肺炎疫情进入了关键时期，在了解到农村防疫物资相对匮乏，有效防护难度较大的情况后，广药集团心系贫困村、贫困户，向精准扶贫对口帮扶的梅州市松源镇径口村、湾溪村、园岭村捐赠了抗病毒口服液、消毒水等防疫药品和物品，广药集团星群药业、光华药业、采芝林药业也结合业务特点为对口帮扶村筹集了防疫物资。
