鲜成都,多芬深层营润滋养沐浴露
孟村法院,【好消息！沧州市最后3名新冠肺炎患者治愈出院】3月1日，沧州市最后3名新冠肺炎患者治愈出院。据了解，此次出院的3名患者经沧州市人民医院医护团队精准诊治和精心照护，特别是在省专家组的悉心指导和帮助下，患者病情逐渐好转，经省、市医疗救治专家组评估，符合国家卫生健康委新型冠状病毒肺炎确诊病例出院标准。沧州市卫生健康委提醒广大市民：随着复工复产复市人员流动增加，输入性传播风险仍不可轻估，公众千万不要麻痹大意。为此，建议市民少出门，要戴口罩、勤洗手、不聚集。[来源|沧州市卫健委]
Mr_呱呱池呱呱,#19天#来了！！
love嘉贝儿,:#肖战[超话]#你的笑容能治愈一切，愿你永远保留这份真挚的笑容，你要像竹子一样逆境中成长，我是你的姐姐粉比你大四岁，我女儿也非常喜欢你，小到我三岁的儿子也知道你的名字，我经常用你的励志经历来鼓励我的女儿，告诉她遇到挫折不要放弃，我们要逆流而上，因为阳光总在风雨后，加油！！最后我还要说句给小飞侠的话，喜欢他就要疼他，不要给他惹无谓的麻烦，谢谢
陇南日报,:【#湖北连续8天治愈出院超2千#】从2月24日至3月2日，湖北省当日新增治愈出院人数分别为2116人（24日）、2058人（25日）、2288人（26日）、3203人（27日）、2492人（28日）、2292人（29日）、2570人（1日）、2410人（2日）。截至3月2日24时，#湖北累计治愈出院36167例#。继续加油！
为什么我不是shy哥女朋友,其实#傻狗的快乐就是这么简单#
贵阳晚报,:【疫情报告2020年3月2日12—24时，全省新型冠状病毒肺炎无新增确诊病例】截至3月2日24时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。（贵阳日报融媒体记者张梅编辑瞐彧）
四平海上虎,:#四平身边事[超话]##四平身边事##四平爆料##四平红十字海上虎志愿者#【万岁！大四平清零了！】四平市疫情通报（3月3日）四平发布今天四平市新冠肺炎疫情情况通报Siping’sNCPEpidemicReport￼　3月2日0-24时，四平市无新增新冠肺炎确诊病例和疑似病例，新增治愈出院3例（铁西1例、双辽市2例）。截至3月2日24时，四平市累计报告新冠肺炎确诊病例15例，其中出院病例14例（铁东区1例、铁西区8例、双辽市5例），死亡病例1例（铁西区），无疑似病例。
省钱秒杀菌专用小马甲,:体重秤💯券💯推💯
霁雪2,:【3月3日芜湖市报告新冠肺炎疫情情况】根据省发布的最新疫情通告，2020年3月2日0-24时，全市新增确诊病例0例，新增疑似病例0例，新增治愈出院病例2例。截至3月2日24时，全市累计报告确诊病例34例，出院33例，无死亡病例。累计确诊病例中，无为市14例、芜湖县2例、南陵县3例、镜湖区6例、鸠江区1例、弋江区3例、经开区2例、湖北籍船员3例。累计医学观察密切接触者388人，已解除医学观察330人，尚有58人正在接受医学观察。#安徽确诊新型肺炎病例##芜湖在行动#http://t.cn/ROh4D2T
涤风淌雪,:
袖手天下为伊欢,#王一博无感#wyb#王一博有翡#【世界的美好与你环环相扣✖️王一博】整理了一些啵崽比较治愈的微笑和温柔的片段
佳木斯那些事,:#佳木斯身边事#【佳木斯现有确诊病例0例，现有疑似病例0例
红网,:【岳阳又有2名确诊患者康复出院！
LF口口,#王俊凯[超话]#｜#跟着王俊凯益起来#20200302《老师请回答—疫情防控特别节目》看向你弯弯的眼睛，原谅月亮它又一次动了凡心。@TFBOYS-王俊凯
小甜甜的拉布卡,终极大战，一触即发！有人认真比赛，有人则被综艺之神附体，不断上演肢体搞笑，更有人被比到要喊“救护车”？又是谁能成为每项项目的终极项目之星呢？更多精彩，锁定中午12：00播出的爱奇艺#宅家运动会#！宅家运动会20200303预告费启鸣灵超全力出击争夺终极项目之星
Lilion,年度猫片，各种各样的小奶猫！内容极度舒适，建议反复观看，太治愈了！宠物卖萌中心的微博视频
果味橙多C_,小伙伴来说说#拍过最有漫画感的一张照片#是哪一张？
小甜甜的拉布卡,终极大战，一触即发！有人认真比赛，有人则被综艺之神附体，不断上演肢体搞笑，更有人被比到要喊“救护车”？又是谁能成为每项项目的终极项目之星呢？更多精彩，锁定中午12：00播出的爱奇艺#宅家运动会#！宅家运动会20200303预告费启鸣灵超全力出击争夺终极项目之星
橘色d橙汁,Artist:FalineSanIns:f.loraline#甜美的少女心#
北京文艺广播,:#北京无新增确诊病例#【又一个0！#北京11个区连续14天以上无新增#】3月2日0时至24时，北京市无新增新冠肺炎确诊病例。报告新增疑似病例14例、密切接触者7例。截至3月2日24时，北京累计确诊病例414例，治愈出院病例288例，死亡病例8例。现有疑似病例37例。累计确定密切接触者2735例，其中273例尚在医学观察中。全市有11个区已连续14天以上无新增确诊病例，具体为平谷区自有疫情以来无报告病例，延庆区39天，门头沟区29天，怀柔区25天，顺义区23天，东城区20天，密云区20天，石景山区18天，大兴区18天，房山区15天，昌平区14天。（北京日报）
Mr谢先生200007,:原以为时间可以治愈一切却隔三差五想起那个人挥之不去猝不及防去了又广州
晃腿儿星,泰妍新曲<HAPPY>3月9日ComingSoon刚刚还在想姐姐什么时候回归来着ㅜㅜ
云向海的huazai,#中国女排[超话]#你笑起来真好看[太阳]中国女排的微博视频
周承钰钰钰,其实#傻狗的快乐就是这么简单#
荔枝turbo,意识流‖安全感夕阳西沉教堂外飞起白鸽隔着人群看见他按下快门异国的东方面孔在来去匆匆里惊鸿一瞥世界的每个角落里一点点留下足迹而影像记录下来的过去的过去定格也好温柔星象花火的微博视频
奇怪的王小葵,看看晚安啦晚安啦
橘色d橙汁,Artist:FalineSanIns:f.loraline#甜美的少女心#
北京文艺广播,:#北京无新增确诊病例#【又一个0！#北京11个区连续14天以上无新增#】3月2日0时至24时，北京市无新增新冠肺炎确诊病例。报告新增疑似病例14例、密切接触者7例。截至3月2日24时，北京累计确诊病例414例，治愈出院病例288例，死亡病例8例。现有疑似病例37例。累计确定密切接触者2735例，其中273例尚在医学观察中。全市有11个区已连续14天以上无新增确诊病例，具体为平谷区自有疫情以来无报告病例，延庆区39天，门头沟区29天，怀柔区25天，顺义区23天，东城区20天，密云区20天，石景山区18天，大兴区18天，房山区15天，昌平区14天。（北京日报）
Mr谢先生200007,:原以为时间可以治愈一切却隔三差五想起那个人挥之不去猝不及防去了又广州
晃腿儿星,泰妍新曲<HAPPY>3月9日ComingSoon刚刚还在想姐姐什么时候回归来着ㅜㅜ
云向海的huazai,#中国女排[超话]#你笑起来真好看[太阳]中国女排的微博视频
周承钰钰钰,其实#傻狗的快乐就是这么简单#
巢湖发布,:【刚刚！安医大附属巢湖医院第3例新冠肺炎患者治愈出院】3月3日上午，安医大附属巢湖医院又治愈出院1例新冠肺炎患者。至此，该院收治的4位新冠肺炎患者已治愈出院3例。患者王先生，28岁，巢湖市槐林镇人，在武汉从事房产工作。1月21日乘坐高铁从武汉到合肥，后乘坐大巴回巢湖。王先生于1月27日出现发热、咳嗽等症状，1月28日来到安医大附属巢湖医院发热门诊就诊，后确诊为新冠肺炎。经过医护人员的精心诊治，王先生病情逐渐好转，目前身体状况良好，按照国家卫健委《新型冠状病毒肺炎诊疗方案（第六版）》，符合出院标准。
博白检察,:【#31省区市新增125例新冠肺炎#，新增治愈出院病例2742例】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例。当日新增治愈出院病例2742例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，累计治愈出院病例47204例，累计报告确诊病例80151例。#防控新型冠状病毒肺炎#(最高人民检察院)http://t.cn/A67KmpeP
爱唱歌的奶糖,金毛Nana是一只专门治愈自闭症的服务犬，生日这天它来到了迪士尼，见到了唐老鸭，然后就变成了这副模样...天使也需要被治愈鸭
情书丶心语,:#治愈不开心#我需要你的时候，你不是不在，而是不在意。所以你需要我的时候，我不是不想，而是不想理。
一家胖团子,:#吸吸萌宠治愈你#厨房门神橘色果然
阿暖要一直努力呀,其实#傻狗的快乐就是这么简单#
