董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
平安辽宁,:#致敬公安英雄[超话]#【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线[伤心]】#抗疫一线群英谱#2020年3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病牺牲在工作岗位上。孟宪龙，男，汉族，中共党员，1963年3月出生，1998年9月参加公安工作，生前系阜蒙县公安局大五家子派出所二级警长。#疫情当前警察不退#
中国互联网联合辟谣平台,:#联合辟谣##微博辟谣#【冒充警察散布虚假疫情防控措施，依法受惩！
muma要开心噢,:注册安全工程师
风雨同舟_84256,:读者们你们好，我是辽宁省金城造纸股份公司职工。因没有和锦州宝地集团带料加工企业签放弃’股份公司一切的合同。被强迫离开工厂，当时宝地集团带来了大量保安和防爆大队。如有反抗就会被拘留。在五年的时间里我查到他们抢走我们股份公司职工钱1，2006年职工的转制费1.92亿，2河套地2个亿，3股份公司自筹安置费13个多亿。股份公司壳36个亿。还有三分之一股票几十个亿。加起来大概100多个亿。抢我工作，占我工厂危害社会稳定。希望2018年国家能把这颗危害地方的毒瘤产除
FM910攀枝花汽车电台,:【#辽宁新增3例新冠肺炎均为丹东病例#：存在无症状、潜伏期超1个月的情况】3月2日，辽宁省新增3例新冠病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例，存在无症状感染、潜伏期超过1个月的情况。2月12日以后境外入丹东人员将全部开展新冠肺炎核酸检测。#新型肺炎抗疫全记录#http://t.cn/A67CyOZs
人民网云南频道,:【痛心！#辽宁一民警牺牲在抗疫一线#
简单2029410711,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A679z58a
鞍山千华网,:【境外来鞍人员入关前需进行行程信息申报】3日，记者从市新型冠状病毒感染的肺炎疫情防控指挥部获悉，为严防疫情境外输入和扩散，全力保障我市人民群众和境外入鞍人员生命安全和身体健康，根据辽宁省新冠肺炎疫情防控指挥部第7号令和《全省城乡社区（村）疫情严查严控措施30条（第二版）》（辽新疫防指〔2020〕18号），我市于2日发布了《关于境外入鞍人员疫情防控有关事宜的通告》，设立24小时境外来鞍人员服务热线。境外来鞍人员入关前需通过热线电话进行行程信息申报。我市境外来鞍人员服务热线电话为：0412-5513629、0412-5530465、13904124345。境外来鞍人员在入境时应进行健康申报，准确填写健康申明卡，并有序接受审核和现场测温。如有发热、呼吸道症状等异常情况或属密切接触者，需配合当地政府进行排查或隔离、留观。来自境外疫情严重地区的境外来鞍人员，通过沈阳或大连机场入境的，或经由鞍山市境内各火车站、鞍山机场进入我市的，市政府安排车辆接至集中隔离宾馆，进行为期14天的集中隔离观察。其他境外地区入鞍人员自行返回住所后，应第一时间向所在社区（村屯）报告，并自行有效隔离14天。隔离观察期间应接受疫情防控人员监管。对2020年2月17日至今已入鞍境外人员均需实施隔离观察，隔离期自入境之日起计算，隔离期限以补齐14天为限。境外来鞍人员需接受核酸检测。如有症状，政府将安排转运做进一步检查和治疗。欢迎广大群众参与监督，拨打8890000热线提供举报线索。
耳聪目明2018,:【其他寻人求助】寻找1967年出生1992年失联辽宁省大连市沙河口区孙家沟朋友廖英波407210http://t.cn/A67yzh4V(出处:宝贝回家论坛)请大家转发各群及相关论坛，转发后将链接回复到帖子里。您的每一次转发都增加了他们早日团聚的可能，谢谢！
呆呆小路,:#疫情补助#辽宁省葫芦岛市连山区是不是太少了，社区工作人员从早到晚忙着站岗排查风雪无阻的
济宁环境,:#2020强降雪#看鹅毛大雪，听雪落下的声音。
平安金凤,:#致敬公安英雄[超话]#【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线[伤心]】#抗疫一线群英谱#2020年3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病牺牲在工作岗位上。孟宪龙，男，汉族，中共党员，1963年3月出生，1998年9月参加公安工作，生前系阜蒙县公安局大五家子派出所二级警长。#疫情当前警察不退#@平安宁夏
花香满径伴和风,:#沈阳[超话]##抗击疫情辽宁在行动#🙏🙏2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。
后宫王扎比子,发表在《人民司法》之法官雄文——《强奸致被害人怀孕不应认定为其他严重后果》——————————————————————————快速普法:强奸罪有一个认定【严重后果与否】的分级。如果确认是严重后果，起刑点是从有期徒刑十年开始起算。如果没有成功认定为严重后果，那就有期徒刑三年到十年。许多关于强奸的案子，最大的争议点就是【是否造成严重后果】。检察院抗诉、当事人上诉、法院撤销原判发回重审、发回再审、改判，很多时候就是围绕这一个点。严重与否，就是有期徒刑十年以上，还是以下的问题。这条线非常重要。——————————————————————————回到案子，案子非常简单。强奸犯王中迎强奸了存在精神状态缺陷的女受害者，致使其怀孕。女受害者最后不得不去人工引产，引产时已经是四个月大了。一审是南安市法院，认为强奸致使受害者怀孕并堕胎，是造成严重后果，因此是判决10年以上。(10年3个月)二审是泉州市中院，认为一审量刑畸重，强奸导致怀孕并导致堕胎根本不构成严重后果，因此改判，十年以下。(6年)——————————————————————————写这篇雄文的林前枢法官，是本案的二审承办法官。他专门将这个改判案子拿出来，专门写出来投稿了，发出来给大家看:来来来，看看，我改判的~——————————————————————————要清楚一点，这种案子，二审不可能是一人审，是三个法官，还有书记员。各个环节都有人。而且，这稿子发到《人民司法》上，也不是一个主编。收稿、审查、编辑排版、校对，同样是各个环节都有人。——————————————————————————这么多人，都一路绿灯。这说明什么？说明林法官不是一个人。说明大家都是这么认为的。根本没有谁觉得有半点问题。——————————————————————————“强奸可能导致怀孕，这是个众人皆知的道理。因此强奸导致怀孕，不应该是【造成严重后果】。因为本来就有这个概率。”这话乍一听，非常有道理。但是，举个最简单的反例。同样是拿刀砍头，你砍他成脑震荡，我判你三年。你砍他砍死了，我判你无期。但是，这个时候再把林法官的逻辑套进来，看一下:“砍人可能会导致死亡，这是个众人皆知的道理。因此砍人导致死亡，不应该是【造成严重后果】。因为本来就有这个概率。”
沈阳新闻广播,:沈阳市未来两日空气质量预报预计：2020年03月04日沈阳市区环境空气质量指数：AQI为45-75，空气质量优－良，首要污染物为可吸入颗粒物(PM10)。2020年03月05日沈阳市区环境空气质量指数：AQI为75-105，空气质量良－轻度污染，首要污染物为细颗粒物(PM2.5)。辽宁省沈阳生态环境监测中心沈阳市气象台联合发布2020-03-03
木大夫分享,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）http://t.cn/A67C9oij
小度游河南,:国家卫健委今天发布：3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，其中湖北新增确诊病例114例（武汉111例）。浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。上海市排除新型冠状病毒肺炎疑似病例5例；新增确诊病例1例。该确诊病例为黑龙江籍，常住本市浦东新区，对其的流行病学调查正在进行中。#全国疫情发展拐点尚未到来#
平安天山,#致敬公安英雄[超话]#【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线[伤心]】#抗疫一线群英谱#2020年3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病牺牲在工作岗位上。孟宪龙，男，汉族，中共党员，1963年3月出生，1998年9月参加公安工作，生前系阜蒙县公安局大五家子派出所二级警长。#疫情当前警察不退#
一粒尘埃S,:2020年辽宁省二建考试到底开没开始呀，网上总是出现虚假的消息
中粮COFCO,:#4945吨玉米饲料运抵葫芦岛#近日，在交通运输部物流保障办公室的协调下，中粮集团86车4945吨玉米饲料成功运抵辽宁省葫芦岛市马仗房站，保障了当地玉米饲料供应需求。4945吨玉米饲料是这样运抵葫芦岛的
浙江公安,:【送别战友！辽宁阜蒙县一名民警牺牲在疫情防控一线
卧龙Germany,:“在家就是奉献，不动就是战斗。”2020年3月2日辽宁省彰武县@人民网@人民日报@水均益@崔永元@美国病理刀客何刚@MAYOCLINIC官博阜新·彰武县
辽宁日报,:【辽宁近九成农业产业化重点龙头企业开工】3月2日，记者从省农业农村厅获悉，目前辽宁省共有市级以上农业产业化重点龙头企业1530家，往年此时正常生产企业数1220家，季节性生产企业310家。截至目前，已有1086家企业投入生产，开复工率达89%。
逃跑日記·,:1黑龙江省五常大米2辽宁省东港市柳林贡米3河南省原阳大米4新疆米泉大米5河北省丰南御田胭脂米6辽宁省盘锦大米7宁夏珍珠米8云南省遮放贡米9黑龙江省响水大米10江西省万年贡米11河北省涿州贡米好的大米有这些特性①蒸饭具有香、甜、软、滑、粘等特点。②清香怡人、口感软糯③颗粒饱满，色泽洁白，米质油润、味道香甜好的大米怎么挑选①看米中碎米和垩白（米中的白点）多不多，尽量选购少的。②放在手心来回揉搓，是否有米糠残留。加工时间上的会起糠（跟新米进行区分）。③米中是否哈喇味。闻过的人就知道味道不一样，不好闻。④对于包装大米，可以看生产日期，肯定是生产日期越近越好。另外看大米的质量评级！食味值高于90分的为优质一级，食味值高于80分低于90分的为优质二级。http://t.cn/EqWecSm
暖如地血--,发表在《人民司法》之法官雄文——《强奸致被害人怀孕不应认定为其他严重后果》——————————————————————————快速普法:强奸罪有一个认定【严重后果与否】的分级。如果确认是严重后果，起刑点是从有期徒刑十年开始起算。如果没有成功认定为严重后果，那就有期徒刑三年到十年。许多关于强奸的案子，最大的争议点就是【是否造成严重后果】。检察院抗诉、当事人上诉、法院撤销原判发回重审、发回再审、改判，很多时候就是围绕这一个点。严重与否，就是有期徒刑十年以上，还是以下的问题。这条线非常重要。——————————————————————————回到案子，案子非常简单。强奸犯王中迎强奸了存在精神状态缺陷的女受害者，致使其怀孕。女受害者最后不得不去人工引产，引产时已经是四个月大了。一审是南安市法院，认为强奸致使受害者怀孕并堕胎，是造成严重后果，因此是判决10年以上。(10年3个月)二审是泉州市中院，认为一审量刑畸重，强奸导致怀孕并导致堕胎根本不构成严重后果，因此改判，十年以下。(6年)——————————————————————————写这篇雄文的林前枢法官，是本案的二审承办法官。他专门将这个改判案子拿出来，专门写出来投稿了，发出来给大家看:来来来，看看，我改判的~——————————————————————————要清楚一点，这种案子，二审不可能是一人审，是三个法官，还有书记员。各个环节都有人。而且，这稿子发到《人民司法》上，也不是一个主编。收稿、审查、编辑排版、校对，同样是各个环节都有人。——————————————————————————这么多人，都一路绿灯。这说明什么？说明林法官不是一个人。说明大家都是这么认为的。根本没有谁觉得有半点问题。——————————————————————————“强奸可能导致怀孕，这是个众人皆知的道理。因此强奸导致怀孕，不应该是【造成严重后果】。因为本来就有这个概率。”这话乍一听，非常有道理。但是，举个最简单的反例。同样是拿刀砍头，你砍他成脑震荡，我判你三年。你砍他砍死了，我判你无期。但是，这个时候再把林法官的逻辑套进来，看一下:“砍人可能会导致死亡，这是个众人皆知的道理。因此砍人导致死亡，不应该是【造成严重后果】。因为本来就有这个概率。”
我来看看你们08,:《刘宇宁_百度百科》刘宇宁，1990年1月8日出生于辽宁省丹东市，中国内地流行乐男歌手、影视演员，摩登兄弟乐队主唱。2014年，担任摩登兄弟的主唱。2015年，随摩登兄弟入驻YY平台。2016年，主演个人首部电影《九五2班》，从而正式进入演艺圈。2017年，随摩登兄弟由室内转http://t.cn/AiF5YVKL
Dear杨应琴,http://t.cn/RnNOBAI@中国政府网@中国新闻网@中华新闻焦点@中国社会报@中国经济时报@中国法律评论期刊@中国独家报道@平安辽宁@辽宁发布@辽宁省政府网@辽宁省监察部@辽宁省纪律检查委员会@辽宁省公安厅@辽宁省政法委@沈阳发布@沈阳市公安局@沈阳市政府网@沈阳市监察委员会@沈阳市检察院@沈阳市纪律检查委员会@沈阳市公安局控申处@沈阳市新民市公安局@沈阳市新民市检察院@沈阳市新民市人民法院@沈阳市新民市纪律检查委员会@沈阳市新民市监察委员会@沈阳市新民政府网
笑看天下奇冤,http://t.cn/RnNOBAI@中国政府网@中国新闻网@中华新闻焦点@中国社会报@中国经济时报@中国法律评论期刊@中国独家报道@平安辽宁@辽宁发布@辽宁省政府网@辽宁省监察部@辽宁省纪律检查委员会@辽宁省公安厅@辽宁省政法委@沈阳发布@沈阳市公安局@沈阳市政府网@沈阳市监察委员会@沈阳市检察院@沈阳市纪律检查委员会@沈阳市公安局控申处@沈阳市新民市公安局@沈阳市新民市检察院@沈阳市新民市人民法院@沈阳市新民市纪律检查委员会@沈阳市新民市监察委员会@沈阳市新民政府网
风雨同舟_84256,:读者们你们好，我是辽宁省金城造纸股份公司职工。因没有和锦州宝地集团带料加工企业签放弃’股份公司一切的合同。被强迫离开工厂，当时宝地集团带来了大量保安和防爆大队。如有反抗就会被拘留。在五年的时间里我查到他们抢走我们股份公司职工钱1，2006年职工的转制费1.92亿，2河套地2个亿，3股份公司自筹安置费13个多亿。股份公司壳36个亿。还有三分之一股票几十个亿。加起来大概100多个亿。抢我工作，占我工厂危害社会稳定。希望2018年国家能把这颗危害地方的毒瘤产除
胶州市人民检察院,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。#防控新型冠状病毒肺炎#（人民日报）
爱滑雪的美丽,:微博已经删了，但是太伤心了，我们丹东出人出力，就算辽宁省第一个被感染的，我们都没说什么，到头来，这么说丹东，太伤人心了。#疫情#@抚顺网警巡查执法@辽宁网警巡查执法@平安辽宁@丹东网警巡查执法@最美边城丹东
雪梅冤案,http://t.cn/RnNOBAI@中国政府网@中国新闻网@中华新闻焦点@中国社会报@中国经济时报@中国法律评论期刊@中国独家报道@平安辽宁@辽宁发布@辽宁省政府网@辽宁省监察部@辽宁省纪律检查委员会@辽宁省公安厅@辽宁省政法委@沈阳发布@沈阳市公安局@沈阳市政府网@沈阳市监察委员会@沈阳市检察院@沈阳市纪律检查委员会@沈阳市公安局控申处@沈阳市新民市公安局@沈阳市新民市检察院@沈阳市新民市人民法院@沈阳市新民市纪律检查委员会@沈阳市新民市监察委员会@沈阳市新民政府网
岳西反邪教,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
爱哆啦的小懒,:#丹东##辽宁省新增3例确诊均为丹东病例#第一例#宽甸#女患者是怎么感染的呢她陆陆续续去过很多地方接触过许多人如何感染的呢❗❗❗❗
遗产君,:【辽宁省博物馆藏·碧玉朝珠】朝珠是清代朝服上佩带的珠串，挂在颈项垂在胸前。
科信在线教育,教研校长亲自直播当年，现场答疑火于“专业”
十万个瞧不起,:#辽宁新增3例确诊均为丹东病例#我觉得丹东已经够可以的了
中国气象局,:#气象在现场#3月3日辽宁省凌海市出现大雪天气，最大雪强达2.5毫米/每小时，积雪深度达10厘米。凌海市气象局及时发布道路结冰、大雪黄色预警信号，观测人员每小时观测积雪并将数据上传，确保气象数据准确及时。#2020强降雪#（文/图文大伟郭坤）
获嘉警方,:#疫情当前警察不退#刑警大队张军峰，陶毅，苑星星，贺镇四位同志于27日在辽宁省营口市抓获涉嫌口罩诈骗的嫌疑人刘某，追回全部被骗赃款。
任瑞存冀查案办结应有期,:2019年9.29违法入室到我家涉嫌投放危险物品一案的王文海、李佳伦等系辽宁省新民市公安人员，是制造系列冤假错案的许文有司法腐败团伙骨干成员，多年至今长期擅离职守流窜到任瑞存被迫流浪之所燕赵之地，暗中围困打压与其伺机陷害报复，以法涉嫌属于为黑作恶性质犯罪之惯犯及其重犯，亟须案发地公安机关以法立案打击犯罪，抓捕嫌犯审讯查明投放危险物品真相，排除安全隐患确保受害百姓身家性命安全，维护受害百姓合法权益，维护社会法治正义尊严，同时受害百姓任瑞存以法强调：案发地公安机关无权认定被我以法确证举报的许文有司法团伙腐败成员王文海、李佳伦等具有找我做工作的权力，更无权认定王文海、李佳伦等违法入室涉嫌投放危险物品是找我做工作行为。[地图][党徽][国旗][V5]
拿块金牌给玥玥,【#湖北卫视江苏省合肥市#】湖北卫视闹乌龙，在新闻字幕中称“江苏省合肥市”
千山晚报,:【境外来鞍人员入关前需进行行程信息申报】3日，记者从市新型冠状病毒感染的肺炎疫情防控指挥部获悉，为严防疫情境外输入和扩散，全力保障我市人民群众和境外入鞍人员生命安全和身体健康，根据辽宁省新冠肺炎疫情防控指挥部第7号令和《全省城乡社区（村）疫情严查严控措施30条（第二版）》（辽新疫防指〔2020〕18号），我市于2日发布了《关于境外入鞍人员疫情防控有关事宜的通告》，设立24小时境外来鞍人员服务热线。境外来鞍人员入关前需通过热线电话进行行程信息申报。详情请戳→http://t.cn/A67CZK2V
职通大连,:【#辽宁新增3例确诊均为丹东病例#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
北极星电力网,:【辽宁省重大项目名单】涉及红沿河核电二期项目、清原抽水蓄能电站项目、鑫暾生物质热电联产项目、锦州华润电力上大压小新建工程项目等。http://t.cn/A67C7zMr
wengling20204568,:
辽中区行政执法中心,:疫情期间，如何缓解眼睛疲劳？稿源：辽宁省卫生健康委网站2020-03-0221:00:25沈阳
阳泉人不知道的漾泉事儿,:#历日今史[超话]#【张克威（1901年10月10日——1974年3月3日）去世】原名张玉琇，又名张于修，生于吉林东关昌邑屯。农业教育家，畜牧学家。曾任吉林省建设厅厅长，东北人民政府农业部副部长，沈阳农学院院长、党委书记，辽宁省农业科学院院长。他是沈阳农业大学（旧称沈阳农学院）的创立人。1974年3月3日，张克威因患原发性肝癌，（文革期间）不幸含冤逝世，终年73年岁。
风雨同舟_84256,:读者们你们好，我是辽宁省金城造纸股份公司职工。因没有和锦州宝地集团带料加工企业签放弃’股份公司一切的合同。被强迫离开工厂，当时宝地集团带来了大量保安和防爆大队。如有反抗就会被拘留。在五年的时间里我查到他们抢走我们股份公司职工钱1，2006年职工的转制费1.92亿，2河套地2个亿，3股份公司自筹安置费13个多亿。股份公司壳36个亿。还有三分之一股票几十个亿。加起来大概100多个亿。抢我工作，占我工厂危害社会稳定。希望2018年国家能把这颗危害地方的毒瘤产除
延安大学,:#延安大学[超话]##小延分享#【#警车播放魔性防疫口号#：勤洗小手多喝水你是听话小宝贝[兔子]】近日，辽宁省阜新市彰武县的街头响起了一段可爱的防疫宣传口号。流行的曲子，欢快的节奏，让空荡荡的街道都多了很多的活力。快来和小延君一起来听听吧
大连校园,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。
大连纵观,:【辽宁新增3例确诊均为丹东病例，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）#大连新鲜事#
金小秀0925,:丹东市，地处辽宁省东南部，与北朝鲜隔江相望，丹东是中国海岸线的北端起点，是中国对朝贸易最大的口岸城市、国家特许经营赴朝旅游城市。是亚洲唯一一个同时拥有边境口岸、机场、高铁、河港、海港、高速公路的城市。丹东加油！中国加油！
腿长一米八的长腿小富婆,:人，永远弄不明白，2020省考网课湖南省考河北省考贵州省考云南省考福建省考究竟什么最好！公务员网课粉笔公考自己会在旧公考干货辽宁省考联考课程说钱好，钱也有买不到的东西；得安徽省考他会对你念念不忘2021考研网课考研英语考研数学考研政治总说房好，册会计师网课cma网课湖北省考房也有带不走的一天。管理类联考真正最好的cfa一级，山东省教师招聘考试永远是无价的，英语六级考试英语四级网课珍贵的！二级建造师网课这辈子，啥最好？健康的身体最好http://t.cn/A67XBVmn
大连大小事儿,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）#大小事[超话]#http://t.cn/RJyjtcN
六条小子,:曹县瑟瑟发抖！【#辽宁新增3例确诊均为丹东病例#，#2月12日后境外入丹东人员全部开展核酸检测#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
祁门反邪,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
懿读,:46年前的今天，#张克威#去世。张克威（1901.1.10-1974.3.3），原名张玉琇，又名张于修，农业教育家，畜牧学家。曾任吉林省建设厅厅长，东北人民政府农业部副部长，沈阳农学院院长、党委书记，辽宁省农业科学院院长。他是沈阳农业大学（旧称沈阳农学院）的创立人。“文化大革命”中含冤而死。
昕飞扬1996,:#飞扬昕语[超话]#两条新闻结合着看，看样子丹东的新增的是境外输入病例的可能性极大。东北因为地理位置和民族的关系，与韩国往来一直比较密切。这次抗疫，压力大呀。【#辽宁新增3例确诊均为丹东病例#】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。【辽宁丹东：#对2月12日后境外入丹东人员核酸检测#】据@丹东发布，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
秦淮政协,:【痛心！#辽宁一民警牺牲在防疫一线#】据@中国警察网，3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病不幸牺牲在工作岗位上。英雄，一路走好！
直播生活官方微博,:📍3月2日0～24时辽宁省新增3例新冠肺炎确诊病例，均为丹东市病例直播生活官方微博的微博视频
秋风悲画扇1,:#2020省考##2020国考#【公务员考试】云南省考贵州省考四川省考宁夏省考甘肃省考浙江省考广东省考江苏省考福建省考江西省考山东省考吉林省考【黑龙江省考】【辽宁省考】【江西省考】【天津市考】【河北省考】【河南省考】【湖北省考】【湖南省考】【西藏省考】【新疆省考】【青海省考】【广西省考】【事业单位考试】等等
