秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
辽阳日报,:【22小时！辽阳消防救出卡在半山腰的挖掘机司机】2月19日16时37分，辽阳市消防救援支队指挥中心接到报警，位于文圣区罗大台镇有一台挖掘机发生侧翻，驾驶员被困车内。接到报警后，市消防救援支队指挥中心立即调派庆阳中队、特勤中队和战勤保障大队5车25人火速赶赴现场。17时11分，救援人员达到现场，经勘察询问得知，挖掘机是在进行采石作业时，部分矿山突发崩塌，造成车体侧翻至距地面40米处的半山腰，挖掘机驾驶室受挤压变形严重，司机腿部被死死卡在驾驶室内无法动弹，同时车体有漏油现象，情况复杂且危急。现场指挥员邓庆闯立即命令一组消防员接力从地面运送消防器材至山腰，并出动水枪对挖掘机周边泄漏的柴油进行稀释，防止发生2次事故；另一组消防员对驾驶室进行初步破拆，为解救被困人员做准备。现场指挥员联系地面厂矿负责人调派三辆吊车辅助救援。拓宽救援处置作业面后，消防员立即利用无齿锯、双轮异向切割锯等器材对驾驶室顶部进行破拆。救援空间被一点点打开，所幸被困人员意识清晰，生命体征正常。经过22个小时的艰难救援，被困人员被成功救出，并由救护车送至医院进行进一步救治。（记者季春鹏）http://t.cn/A6hkq5pK
辽阳日报,:【辽阳仁和骨科医院组织员工义务献血】新冠肺炎疫情防控期间，辽阳街面献血人员减少，导致临床用血短缺。辽阳仁和骨科医院院长庞忠政得知这一情况后，马上倡议员工自愿献血。2月24日，辽阳市卫健中心血液采供所将采血车开进辽阳仁和骨科医院，该院员工40人参与报名献血，成功献血27人，人均献血400毫升，缓解了辽阳患者临床用血的燃眉之急。（记者周兵）http://t.cn/A6hkGnM7
辽阳日报,:【立白企业集团捐赠物资抗击疫情】２月２４日，广州立白企业集团有限公司携手朝云控股有限公司，通过辽阳市红十字会向市中心医院、市结核病医院捐赠洗涤、消杀等物资，勇担社会责任，积极发挥力量，抗击新冠肺炎疫情。立白集团及其控股的朝云集团捐赠的物资包括能够有效清洁医院病床床单、医护人员工作服的立白除菌去渍洗衣液、立白除菌去渍洗衣粉以及润之素花露水、立白润肤香皂等，为一线医护人员和患者提供安心，洁净的救治环境。市红十字会指定专人全程跟进捐赠物资的接收发放工作，现场及时清点物资种类、数量，并检查物资质量、保质期。同时，做好登记与签收，确保捐赠物资只在定点医院使用。（记者王婧醒）http://t.cn/A6hkGYXV
辽阳日报,:【防控疫情共筑太平】2月21日上午，太平财险辽阳中支党支部书记、总经理王新带领公司全体党员、积极分子及部分员工冒着雨雪到辽阳市新冠肺炎疫情定点医疗及隔离观察机构——辽阳市结核病医院慰问一线医务人员，开展主题党日活动，并送去员工捐款所购买的消毒液、牛奶、饮料等慰问品，总价值3200元。王新代表太平财险对辽阳市结核病医院全体医务人员不畏艰险、冲锋陷阵、勇于担当、恪尽职守，为保卫人民群众生命健康筑起坚固屏障，表示崇高的敬意和衷心的感谢。（记者尹林）
魅力首山,:同心同力战“疫”情爱心企业勇担当新冠肺炎疫情发生以来，社会各界爱心人士和企业纷纷伸出援助之手，众志成城，共同抗击疫情。2月21日，辽阳炭素有限公司为县红十字会捐款10万元，助力我县早日打赢疫情防控阻击战。辽阳炭素有限公司由辽阳市原国有企业辽阳炭素厂整体改制所设立，近年来，该企业适应市场需求，不断开拓国外市场，响应国家政策，全面进行环保建设和产业升级，所生产的石墨电极产品畅销海内外，是我县纳税和创汇大户，为地区经济发展建设作出了积极贡献。据了解，在抗击疫情工作中，该企业此前已通过市慈善总会捐款20万元，用于辽阳市两家疫情定点救治医院购买医疗防护物资，以实际行动诠释了企业的社会责任与担当。（通讯员/杜美霖）
二三里辽宁,:挖掘机侧翻卡在40米高半山腰，辽阳消防紧急救援2月19日16时37分，辽阳市消防救援支队指挥中心接到报警，位于辽宁省辽阳市文圣区罗大台镇有一台挖掘机发生侧翻，驾驶员被困车内，急需救援。接到报警后，辽阳市消防救援支队指挥中心立即调派庆阳中队、特勤中队和战勤保障大队5车，25人火速赶赴现场。http://t.cn/A6hepJY0#辽阳身边事#
辽阳广播电视台官博,:【特殊党日：防护疫情、共筑太平】2月21日上午，太平财险辽阳中心支公司开展了一次特殊的党日活动，将党员和员工捐款购买的消毒液、牛奶、饮料等慰问品送到辽阳市结核病医院，慰问在抗击疫情一线奋战的医护人员。王新总经理代表公司党支部对辽阳市结核病医院全体医护人员不畏艰险、勇于担当、恪尽职守，为保卫人民群众生命健康筑起坚固屏障表示崇高的敬意，并表示愿意做医护人员的坚强的后盾。据了解，辽阳市结核病医院选派了三名医护人员随辽宁医疗队驰援武汉，他们“舍小家，为大家”的大爱精神激励着在辽阳的医护人员！目前，医院已经治愈出院三名确诊患者。在场的医务人员纷纷表示，一定不辜负党和人民的重托，值好班站好岗，全身心投入到抗击疫情的防控工作中，坚决打赢这场疫情防控阻击战！
用户7398369676,:我发表了头条文章:《致辽阳市惠民保障物业管理有限公司》致辽阳市惠民保障物业管理有限公司
二三里资讯,:挖掘机侧翻卡在40米高半山腰，辽阳消防紧急救援2月19日16时37分，辽阳市消防救援支队指挥中心接到报警，位于辽宁省辽阳市文圣区罗大台镇有一台挖掘机发生侧翻，驾驶员被困车内，急需救援。接到报警后，辽阳市消防救援支队指挥中心立即调派庆阳中队、特勤中队和战勤保障大队5车，25人火速赶赴现场。http://t.cn/A6hepJY0#辽阳身边事#
辽阳就业,:【转发】【当好“三大员”助力企业复工复产】企业复工复产有什么困难？在防疫上还缺少哪些物资？有没有外地回来的员工？2月20日，为确保企业复工复产与疫情防控实现双赢，辽阳市宏伟区人武部会同该区政府职能部门，深入辖区9家编兵企业现场办公，积极当好政企联络员、矛盾化解员、防疫服务员，助推企业复工复产。在辽宁克隆集团，针对企业提出的复工复产后产品库存多、厂区防疫无技术指导等现状，区人武部现场对接辽阳石化公司将该企业产品进行回收代管，并提出由区卫健局对该企业民兵进行防疫技能专项培训。集团副总经理许乐伟表示，高效的政企联络，有力确保企业生产与疫情防控两不误。当得知4家编兵民营企业复工后员工缺口较大，随同的区人力资源和社会保障局负责同志现场承诺，近期将根据编兵企业用工需求专题组织线上招聘，化解用工矛盾。在辽宁忠旺集团大门口，民兵岗正对复工人员进行体温检测。区人武部杨刚参谋介绍，经与区政府协调，已为辖区内每个编兵企业保障口罩2000个、消毒液500升，并对企业门岗配备红外体温测量仪20个、防护服48套，充实复工复产企业的防疫物资，助力企业尽早尽快投入生产。来源：辽阳日报
辽阳网警巡查执法,【辽阳市卫健中心助力公共交通运营安全】2月23日，辽阳市卫健中心5名疾控专家主动到即将恢复营运的辽阳市长途客运总站，有针对性地开展四方面防控措施及技术培训。专家对长客职工和往来乘客应采取的防控措施和方法进行了指导；对运营的交通工具应该采取的必要消毒部位、消毒方式等进行了培训；在人流相对集中的候车大厅设置专门制作的科普视频循环播放，普及防控知识。市卫健中心制作了8幅系列防控知识与技术的宣传展架，赠送给长客，并免费赠阅2000余份宣传海报等科普材料，提高往来乘客的防控意识，共同守护人民群众的出行安全。（记者王慧超）http://t.cn/A6hBEZp5
沈阳晚报,:【辽宁无新增确诊病例新增出院5例】2020年2月23日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增5例治愈出院病例，其中沈阳市2例、铁岭市1例、盘锦市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院73例，死亡1例。现有47名确诊患者在院治疗，其中有45名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心25人、大连中心11人、锦州中心9人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。47名在治患者中，重型病例2例，危重型病例1例。全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2717人，已解除医学观察2634人，现有83人正在接受医学观察。#抗击疫情沈阳在行动##二月二##抗击新型肺炎我们在行动##抗击新型肺炎第一线##战疫打卡行动##没到摘口罩扎堆的时候#
清逸竹草,:辽阳市#禁鞭炮#吗？辽阳
用户6212997958,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
香港乐源果蔬真肉粮,:我正在快手看辽阳市动物园的直播，一起来看！#记录世界记录你#辽阳市动物园的快手直播
辽阳日报,:【辽阳市卫健中心助力公共交通运营安全】2月23日，辽阳市卫健中心5名疾控专家主动到即将恢复营运的辽阳市长途客运总站，有针对性地开展四方面防控措施及技术培训。专家对长客职工和往来乘客应采取的防控措施和方法进行了指导；对运营的交通工具应该采取的必要消毒部位、消毒方式等进行了培训；在人流相对集中的候车大厅设置专门制作的科普视频循环播放，普及防控知识。市卫健中心制作了8幅系列防控知识与技术的宣传展架，赠送给长客，并免费赠阅2000余份宣传海报等科普材料，提高往来乘客的防控意识，共同守护人民群众的出行安全。（记者王慧超）http://t.cn/A6hBEZp5
辽阳二三里,:二三里|2月20日起辽阳市防疫卡点全部解除！http://t.cn/A6h17335(分享自@二三里资讯)
辽阳日报,:【2月20日起辽阳市防疫卡点全部解除】2月21日辽阳市8890（12345）平台收到群众反映：白塔区祥和缘小区仍处于封闭管理状态，小区物业公司依旧在小区门口设立防疫卡点，请核实处理。白塔区政府反馈：根据市防控指挥部第4号令，白塔区各住宅小区防疫卡点现已全部解除，该小区业主可以正常出入。市8890（12345）综合服务平台2020年2月23日
a潘勇翔,:辽阳的疫情怎么样了？『辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令（第4号）』辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令（第4号）
宋冬梅2015,:《辽宁沈阳矿用工程车辆自动灭火系统设计安装-山东潍坊九通消防科技有限公司》辽宁省沈阳市、大连市、鞍山市、抚顺市、本溪市、丹东市、锦州市、营口市、阜新市、辽阳市、盘锦市、铁岭市、朝阳市、葫芦岛市对矿用工程车辆、特种开采车辆、运输车辆、矿山专用卡车与装卸车辆自动灭火系统需求较多，山东中道消防生产的车载火灾预警系统与超细干粉自动灭火装置、机械式车辆自动灭火装置、电启动车辆泡沫自动灭火设备、发动机自动灭火系统、温度探测与预警系统、火焰探测与灭火系统、二氧化碳自动灭火设备、气体自动灭火设备等特种消防装备，可有效提升各类车辆的消防安全保障系数，也可适用于新能源汽车、客运车辆、公交车辆等汽车，中道品牌车辆自动灭火系统设计与安装知识分享如下。http://t.cn/A6POxl1Q
辽阳日报,:[高速交警及时消除一处道路交通隐患]2月20日19时20分，辽阳市交警支队沈海高速大队巡逻民警高文岗、辅警贝雷，巡逻至南行(大连方向)53公里，发现第三车道有一处坑洼路面，严重影响行车安全，民警立即对现场进行安全防护，通过鸣警笛、喊话的等方式提醒途经车辆注意避让、减速慢行，并通知高速公路运营公司对损坏路面进行抢修。坑洼路面宽约1米、长约2米、深约10厘米。在做好安全提示和防护的前提下，连夜抢修施工，施工占用3、4车道(车道封闭)，仅用4个小时完成抢修，及时消除道路交通隐患。（记者季春鹏拍客王宁）
啥是抓马,:民国新剧时期民国元年（1912年），上海同盟会会员苗天雨、冯迪汉率团到辽阳市广德茶园（辽阳大观楼），演出话剧《波兰亡国惨》、《民国魂》等。话剧传入辽宁之后，各地爱好者纷纷组织话剧演出活动。
灯塔融媒,:关于恢复灯塔市区域内客运线路运营的公告根据辽阳市新冠肺炎疫情防控指挥部第4号令，现将全面恢复灯塔区域内客运线路运营具体事项公告如下：一、从即日起，灯塔市客运站、全市公交线路、农村客运班线恢复运营。车辆发车间隔时间在保障早晚高峰的同时，根据客流量情况随时进行调整，具体时间详见每日公告。二、灯塔市客运站、公交和农村客运班线车辆要切实做好消毒、通风等防疫防控措施，未佩戴口罩或出现发热、咳嗽等症状的，检查人员有权拒绝进站乘车，驾驶员有权拒绝乘车。三、乘客乘车应自觉排队，尽量保持1米安全距离，有序上下车，乘车过程中必须全程佩戴口罩，严禁随地吐痰、吃东西等行为。四、在车厢内部条件允许的情况下，乘客应分散落座、避免聚集。五、开复工企业如需通勤保障，可向灯塔市通乘公交公司申请订制服务，联系电话：13841940330。特此公告。灯塔市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月22日
鄂尔多斯新闻网,:#家庭盛开幸福花#【辽宁唐革军家庭：热心公益勤俭持家】唐革军一家居住在辽宁省辽阳市白塔区南门街道青年街社区，家庭成员4人。唐革军家庭热心公益，夫妻二人为社会活动和困难户累计捐款25.7万元。http://t.cn/A6hmiZL2
辽阳日报,:【辽阳炭素有限公司再捐10万元战疫情】2月21日，辽阳炭素有限公司再次捐款10万元到辽阳县红十字会，用于一线疫情防控。此前，已通过辽阳市慈善总会捐款20万元，用于辽阳市两家疫情定点救治医院购买医疗防护物资。辽阳炭素有限公司由我市原国有企业辽阳炭素厂整体改制所设立，近年来，该企业适应市场需求，积极开拓国外市场，响应国家政策，投入大量资金进行环保建设和产业升级。所生产的石墨电极产品畅销海内外，是辽阳县纳税和创汇大户，为辽阳市的发展建设做出巨大贡献。（记者刘晓宇）
辽阳日报,:【辽阳市检察院批准逮捕制售过期口罩案犯罪嫌疑人仅用3小时】2月19日，辽阳市检察院以涉嫌生产、销售伪劣产品罪对制售过期口罩案犯罪嫌疑人王某、孙某玲依法作出批准逮捕决定。此案从检察机关受案到批准逮捕仅用3个小时间。经初步查明，疫情爆发以来，口罩紧缺，辽阳个体医药器械经营者王某认为有利可图，利用人脉关系找到口罩供货渠道，找到个体药店经营者孙某玲，由王某提供货源，孙某玲负责具体营销，王某明知囤积的17875只一次性普通医用口罩过期失效的情况下，伙同孙某玲组织人员将过期口罩拆包，重新包装封口，打上新的生产日期，在全市多家实体连锁药房以高于成本价几倍的价格批发、零售，销售金额达178640元，同时公安机关还在孙某玲家中查获并扣押过期口罩18416只。为全面落实最高人民检察院从严从快办理妨害疫情防控案件的指示精神，市检察院受案后，主管领导靠前指挥，办案人员快速反应，采取分阅卷宗，分组讯问，认真审查制作法律文书，依法做出对犯罪嫌疑人王某、孙某玲批准逮捕决定，并向公安机关提出了逮捕案件补充侦查取证意见书。（记者季春鹏）
爪爪回家,:#爪爪回家#辽阳市，拉布拉多，饭桶走失，失主愿意以酬金500元找回，🙏🙏🙏提供线索或转发，帮牠回家！🙏🙏🙏http://t.cn/A6hnBdQ0
辽阳日报,:【辽阳大乘实业“返岗直通车”助力企业复工】辽阳市大乘实业有限责任公司一手抓疫情防控，一手抓运输保障，为企业复工复产提供有力运输服务保障，开通“复工返岗直通车”，提供“点对点”包车服务。2月21日，经辽阳市新冠肺炎疫情防控指挥部批准，大乘实业为三三工业公司开通一站式省际“复工返岗直通车”，解决企业复工燃眉之急。大乘实业安排专人核定载客人数，保证防疫用品，加强车厢消毒，乘车人员实名登记，严格体温检测，严控行车速度，保障安全行车。（记者马超）
辽阳日报,:【省疾控中心领导赴保康县慰问援襄辽阳防疫队队员】2月21日12时许，受辽宁省疾控中心卢春明副主任委托，省援襄疾控工作队领导亲赴襄阳市保康县疾控中心，看望援襄辽阳防疫队队员。辽阳市驻保康县的三名队员迅速进入角色，协助当地开展流调及采样工作得到领导的充分肯定。省疾控中心领导针对性提出了特殊人群流调以及重点场所消杀的工作建议，希望辽阳的队员们不辱使命，科学防控，早日打赢这场疫情防控阻击战。（记者王慧超）
鄂尔多斯新闻网,:#家庭盛开幸福花#【辽宁唐革军家庭：热心公益勤俭持家】唐革军一家居住在辽宁省辽阳市白塔区南门街道青年街社区，家庭成员4人。唐革军家庭热心公益，夫妻二人为社会活动和困难户累计捐款25.7万元。全家在社会讲公德，都是社区卫生管理员；在岗位讲道德，都是岗位技术员；在家庭讲美德，都是家庭勤务员；个人讲品德，都是家庭监督员。家庭的家训是“勤俭持家、报效祖国”，每个家庭成员都要做到“多一点理解、多一点谦让、多一点友爱、多一点真诚、多一点奉献”。
辽阳日报,:【民革辽阳市委机关干部党员看望新冠肺炎救治定点医院医护人员】2月19日，民革辽阳市委机关干部和部分党员到辽阳新冠肺炎救治定点医院——辽阳市结核病医院看望医护人员。辽阳市结核病医院作为全市新冠肺炎救治定点医院，是阻击疫情的最前线。民革辽阳市委为医院送去2000多斤绿色蔬菜，还有牛奶、八宝粥等物资，总计近8000元，用于提高医护人员机体免疫力，助力他们保持旺盛的体力和精力打赢这场战疫。（记者苗利莉）
辽阳日报,:【确保集中隔离医学观察点污水处理达标】新冠肺炎疫情发生后，辽阳市卫健中心主动派专家到辽阳密切接触者集中隔离医学观察点，对其产生的污水进行专业消毒指导，使其工作人员掌握医疗污水消毒处理办法。同时，市卫健中心为密切接触者集中隔离医学观察点赠送DPD快速检测余氯试剂盒，要求每日自行检测污水消毒处理是否达标，确保污水处理后能够符合《医疗机构水污染物排放标准》（GB18466-2005）。（记者王慧超）
人生大戏待乐起,:2月21日，辽阳市白塔区人民法院采用远程视频开庭方式，依法快速审理并当庭宣判一起妨害新冠肺炎疫情防控工作的刑事案件。被告人韩某犯寻衅滋事罪，被判处有期徒刑8个月。这是辽阳法院判决的首例涉疫情防控工作的寻衅滋事案件。#最新疫情地图#人生大戏待乐起的微博视频
灯塔融媒,:关于全面恢复全市公交线路运营的公告根据辽阳市新冠肺炎疫情防控指挥部第4号令，现将全面恢复公交线路运营具体事项公告如下：一、2月24日起，全市公交线路全面恢复。发车间隔时间在保障早晚高峰的同时，根据客流量情况随时进行调整。二、乘客乘车必须全程佩戴口罩，出现发热、咳嗽等症状的，驾驶员有权拒绝乘车。三、乘客乘车应自觉排队，尽量保持1米安全距离，服从公交协勤员和志愿者指挥、疏导，有序上下车。四、在车厢内部条件允许的情况下，乘客应分散落座、避免聚集，严禁随地吐痰、吃东西等行为。特此公告。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月21日
辽阳身边事,:#辽阳身边事#【辽阳首例涉疫情防控寻衅滋事案件宣判】2月21日，辽阳市白塔区人民法院采用远程视频开庭方式，依法快速审理并当庭宣判一起妨害新冠肺炎疫情防控工作的刑事案件。被告人韩某犯寻衅滋事罪，被判处有期徒刑8个月，这是辽阳法院判决的首例涉疫情防控工作的寻衅滋事案件。http://t.cn/A6h8Nlha
辽阳日报,:【武汉大爷夸辽宁医生“杠杠的”！】2月21日，武汉雷神山A9病区，辽宁医疗队员，辽阳市中心医院ICU病房医生吴磊查询患者体征，鼓励患者坚定信心，战胜病毒，受到患者赞誉：“辽宁的医生杠杠的！”（稿件来源：辽阳市中心医院）辽阳日报的微博视频
辽视第一时间,:【辽阳首例涉疫情防控寻衅滋事案件宣判】2月21日，辽阳市白塔区人民法院采用远程视频开庭方式，依法快速审理并当庭宣判一起妨害新冠肺炎疫情防控工作的刑事案件。被告人韩某犯寻衅滋事罪，被判处有期徒刑8个月，这是辽阳法院判决的首例涉疫情防控工作的寻衅滋事案件。辽视第一时间的微博视频
辽阳日报,:【辽阳云法庭审理妨害疫情防控案从立案到宣判仅用4天】2月21日上午，辽阳市白塔区人民法院通过远程庭审，适用刑事速裁程序，“隔空”开庭审理辽阳地区首例妨害疫情防控的违法犯罪案件并当庭宣判，被告人韩某犯寻衅滋事罪被判处有期徒刑8个月。公诉机关指控，2月7日9时30分，在辽阳市白塔区新兴街中心路交通岗路口，被告人韩某持刀破坏小区防疫工作警戒线，社区工作人员发现后立即上前对其进行劝阻，韩某不听劝阻并辱骂社区工作人员，附近居民李某见状上前对韩某进行劝阻，韩某持刀恐吓追逐社区工作人员及居民李某，造成围观群众恐慌后离开现场。案发后，被告人韩某被抓获归案。2月18日，辽阳市白塔区人民法院受理此案。2月21日，白塔区法院运用“云端庭审”方式依法开庭审理此案。庭审中，法官在审判庭，公诉人在检察院，被告人在辽阳市监管支队，三方“隔空对话”，既保障了庭审顺利进行，又降低了疫情传播风险。法院审理认为，被告人韩某在疫情防控期间持凶器追逐、恐吓、辱骂他人，破坏防疫工作秩序，情节恶劣，其行为已构成寻衅滋事罪。韩某归案后如实供述自己的罪行，认罪认罚且无前科，可从轻处罚。但考虑到韩某是在疫情防控期间犯罪，应从重处罚，依照相关法律法规，作出上述判决。(记者季春鹏李妍）http://t.cn/A6h8NMeP
辽阳日报,:【做好企业复工审核助推县域经济复苏】辽阳县住房和城乡建设局根据辽阳市印发的《辽阳市关于切实加强开复工企业疫情防控工作的暂行规定》及辽阳县政府对于企业复工的相关要求，积极开展企业项目开复工的审核工作，为县域经济的稳定提供助力。工作中，该局要求企业在做好疫情防控各项工作的前提下，科学稳妥地组织开复工，启动项目，恢复生产。在接到企业营业申请的第一时间，局领导带队，对企业进行现场检查，对防疫工作开展情况的各项细节，包括检查站的设立、进出人员信息登记、测量体温、防疫物资的库存、消毒情况，以及疫情防控方案等严格把关。（记者范广宇拍客赵振斌）
辽阳日报,:【太子河区王家镇乡村道路恢复畅通】根据《辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令第4号》精神，太子河区王家镇全面解除村道路封闭措施，恢复道路交通。2月21日，太子河区王家镇夏施堡村村委会组织相关人员开出铲车，把8个封路的土堆全部挪走，恢复了交通和生产。镇政府领导为曾经坚守卡点工作人员点赞！（记者徐立拍客褚丰韵）http://t.cn/A6h8oGi3
辽阳市白塔区检察院,:被告人韩某因犯寻衅滋事罪被判有期徒刑八个月2月21日上午10时，被告人韩某疫情防控期间寻衅滋事案依法公开开庭审理并当庭宣判，被告人韩某被判处有期徒刑八个月！这是白塔区检察院与白塔区法院、辽阳市看守所三方首次联合利用“云端庭审”方式远程视频开庭。被告人韩某因犯寻衅滋事罪被判有期徒刑八个月
辽阳市人民检察院,:疫情肆意取不义之财黑心商贩被依法快捕——辽阳市检察院批准逮捕制售过期口罩案犯罪嫌疑人仅用3小时全国上下齐心协力抗击疫情之时，却有不良商贩背弃道德良知，借机售卖大量过期口罩，牟取不义之财。2月19日，辽阳市检察院以涉嫌生产、销售伪劣产品罪对制售过期口罩案犯罪嫌疑人王某、孙某玲依法作出批准逮捕决定。此案从检察机关受案到批准逮捕仅用3个小时间。http://t.cn/A6hQBap7
古城新颜,:辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令（第4号）@QQ浏览器http://t.cn/A6hQjli3
辽阳交通,:辽阳市新型冠状病毒感染的肺炎疫情防控指挥各县（市）区委、县（市）区人民政府，市指挥部各成员单位，市（中、省）直单位：根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合我市疫情防控实际，经市新型冠状病毒感染的肺炎疫情防控指挥部研究决定，下达命令如下：一、认真落实“外防输入”防控措施1.坚持对外省来辽阳、返回辽阳人员的排查，继续执行报告、登记等措施，对疫情严重地区以及高风险地区流入人员加强跟踪管理，开展健康监测和服务。2.村（社区）、机关事业单位等要继续落实相关防控措施，同时做好环境卫生、防病知识普及等工作。3.企业要做好通风、消毒、体温检测等防控和安全生产工作，指导员工做好个人防护。4.加强医疗机构发热门诊病例监测、发现、报告。5.居民乘坐公共交通工具，进入大型商场超市等人员密集场所要佩戴口罩。公共岗位服务人员工作时必须佩戴口罩。二、全面恢复正常生产生活秩序在落实防控措施的前提下，全面恢复正常生产生活秩序。1.全面有序恢复公共交通。2.有序开放浴池，抓紧恢复沿街商铺、理发、维修、家政、洗涤、生鲜配送、外卖、快递、便利店、连锁店等便民服务场所营业。3.开放公园、景区等户外公共场所。4.宾馆、酒店、饭店等服务性行业恢复正常营业。5.解除村（社区）、市场、各类道路等封闭措施，全面恢复道路交通。6.全市养老和儿童服务机构按照民政部门要求作出调整。三、实施清单管控1.棋牌室、游艺厅、网吧、台球厅、舞厅、KTV等密闭的、空间狭小文体娱乐场所，暂不开放，开放时间另行通知。2.全市各类市场继续严禁销售、屠宰活禽，禁止一切形式野生动物交易活动。辽阳县根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合本地实际情况，制定具体措施。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月20日
辽阳气象,:21日4至14时辽阳地区出现小雨转雨夹雪再转小雨天气，平均降水量8.5毫米，辽阳市、辽阳县和灯塔市降水量分别为8.6毫米、8.6毫米和8.4毫米。辽阳市气象台2020年2月21日14时发布
科信教育辽阳校区,:发布了头条文章：《辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令第4号》辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令第4号
辽阳广播电视台官博,:辽阳市慈善总会关于防控新冠肺炎疫情捐赠款物接收及使用情况的公告（第3号）自2月10日至http://t.cn/A6hQ7yRZ、爱心人士为打赢防控阻击战继续踊跃捐款捐物，共接收捐赠款物合计1043.1488万元，其中捐赠款1041.7488万元，捐赠物资折价1.4万元。此善款依据捐赠者的意愿，将500万元转捐给武汉市慈善总会，516万元转拨到市疫情防控指挥部统筹使用，定向捐赠白塔区卫健局等单位1.61万元，定向捐赠市慈善医院8.4874万元，待使用资金15.6514万元将陆续拨付使用。对此，我会再次感谢社会各界爱心企业、爱心人士对疫情防控工作的大力支持，同时也欢迎社会各界对善款的使用情况进行监督。现将第三批捐赠款物及使用情况公告如下：
辽阳日报,:【辽阳市领导到白塔区、太子河区督导疫情防控及企业复工复产工作】为深入做好疫情防控工作和贯彻落实市疫情防控指挥部企业复工复产工作专题会议精神，2月20日，辽阳市“五包五促”第十四包促组组长、市委常委、宣传部长王忠学到文圣街道（第七工作组）、辽宁文彬教学仪器有限公司、施耐德博士汽车配件（辽阳）有限公司督查指导社区疫情防控及企业复工复产工作。王忠学深入了解白塔区文圣街道疫情防控工作情况，并现场向工作人员讲解了省、市当前防疫工作政策，分析了辽阳市防疫工作形势，并代表市委宣传部向包促社区捐赠了4桶酒精和4箱84消毒液。就下一步工作，他指出，要依然绷紧弦，思想上不能放松；同时针对下一步的区域化防控要求，抓紧抓好企业复工复产工作，抓紧恢复正常生产生活秩序；要进一步加大对辖区内疫情严重地区外来人员的排查力度；同时，鼓励工作人员继续做好防疫工作，要坚守岗位，在保护好他人的同时，也要保护好自己，大家齐心协力抗击疫情，争取早日取得战“疫”的胜利。离开白塔区包促街道后，王忠学来到位于太子河区的辽宁文彬教学仪器有限公司、施耐德博士汽车配件（辽阳）有限公司，详细了解企业复工方面存在的问题和疫情防控工作开展情况。在施耐德博士汽车配件（辽阳）有限公司，王忠学了解企业进口的原材料由于西安海关复工延迟，无法运回后，进行现场办公，联系辽阳海关帮助协调解决。截至发稿，辽阳海关关长陈伟已与西安海关相关负责人取得联系，原材料运输工作正在推进中；同时将企业就外市返辽工人、技术人员等管控隔离工作实施分级差异化管理的建议反馈至市疫情防控指挥部。王忠学指出，要增强服务意识、提高服务能力，重点是帮助解决好企业用工、原材料供应、物流运输、防控物资保障等实际困难，打通企业和项目复工复产的操作链，结合实际，精准施策，使疫情防控和复工复产两手抓两手硬，统筹推动经济社会平稳健康发展，为打赢疫情防控阻击战提供重要保障；要落实落细各项防控措施，引导工人有序返岗、安全上岗，做好厂区全面消毒和个人防护，严防疫情输入扩散，坚决守护好人民群众的生命安全和身体健康。（记者王婧醒）
魅力首山,:县住房和城乡建设局:做好企业复工审核助推县域经济复苏县住房和城乡建设局认真贯彻落实《辽阳市关于切实加强开复工企业疫情防控工作的暂行规定》及县政府对企业复工的相关要求，积极开展企业项目开复工的审核工作，要求企业在做好疫情防控工作的前提下，科学稳妥地组织开复工，启动项目、恢复生产，推动县域经济健康发展。工作中，该局在接到企业营业申请后，第一时间由主管领导带队，对企业防疫工作中检查站的设立、进出人员信息登记、测量体温、防疫物资的库存，消毒、疫情防控方案等各个环节严格把关，确保企业平稳有序恢复生产。（通讯员/赵振斌）#辽阳[超话]##辽阳县[超话]##魅力首山#
金生水起强,:辽阳市疫情防控指挥部令，今天全面恢复正常生产生活秩序，当我看到这条消息时，我高兴的快发疯了，我终于可以安心出行了，这些天我在家里憋了神经快疯了，身体快崩了，在此我们应当感谢那些用生命，给我们换来安全、幸福、快乐、生活的人，祝英雄们一路走好，祝好人一生平安。🙏🙏🙏🙏🙏🙏
