深圳侨报,:#深圳天气#今日我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%。（深圳市气象局）http://weibo.com/u/1048717800
深圳卫健委,:【深圳首例境外输入病例93名密接者全部找到！69人受检全为阴性】3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。周紫霄介绍，广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。病例详情回顾：3月1日，网传深圳报告1例境外输入新冠肺炎病例，现将有关情况说明如下：患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），28日13：27抵达香港机场，15:30渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫健委以及深圳市高度重视，省市联动立即组织开展流行病学调查和密切接触者追踪等工作。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点，经核酸检测，69人全为阴性。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。周紫霄表示，广东将继续严格落实“四早”防控要求，继续筑牢交通检疫、发热门诊筛查、重点人群管理疫情防控“三道”防线，通过早发现，实现早报告，早诊断，早隔离，早治疗。
翡色五月花,:口腔医院招聘前台岗位职责：1.负责客户咨询、预约检查、客户接待等工作；2.负责预约的分诊，导诊，收银等前台工作任职要求：1.沟通能力强，反应敏捷；2.有医疗行业或前台工作经验。工作地点：深圳市福田区上步南路佳兆业中心欢乐口腔医院如有兴趣可把简历投至：lihuiting@深圳牙齿矫正攻略君.com
DV现场,:【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
南方都市报,:【深圳市人民医院启用“发热排查头盔”，不用接触即可侦测多人体温】3月2日上午，深圳市人民医院门诊入口多了一道隐形防护网：光启技术发布智能头盔N901设备。这个智能头盔可同时侦测视野内多人体温，堪称抗疫期间的“发热排查神器”。深圳市人民医院成为首家启用该设备的医院。这个设备可同时侦测视野内多人体温、非接触性的体温，还可实时识别二维码，自动记录人员身份信息，并且完全不需要施工布线，配戴即用，部署灵活。http://t.cn/A67NvPts
多巴胺法特,【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
晶报,:【深晚关注｜“有味道”的数学课：湖北籍教师在牛棚直播】“来咯，来咯”，这轻快的一句，不是带货红人李佳琦，而是正在上分类加法计数原理的深圳老师——付明。32岁的付明是深圳市龙岗区建文外国语学校的高二数学老师兼班主任。受疫情影响，远在湖北的他无法回到深圳，只能网络授课。为保证上课质量，付明找到了村里一所荒废20年的学校，利用里面简陋的黑板，为学生直播上数学课。而这所学校，早已成为牛棚。每天上课时，付明就和牛、牛粪、杂草相伴。（via读创）http://t.cn/A67NNlgg
物流头条,:【比亚迪：收到国家新能源汽车推广补贴13.42亿元】比亚迪股份3月2日盘后发布公告称，根据深圳市坪山区发展和改革局《关于下达2017年度新能源汽车推广应用中央财政清算资金的通知》，该公司控股子公司比亚迪汽车工业有限公司于近期收到深圳市坪山区财政局转支付的2017年度新能源汽车推广应用中央财政补助资金合计约人民币13.42亿元。http://t.cn/A67N9J52
陈家蟹V6FR,:在深圳市2020年重大项目计划中，位于南山区的市重大项目共有105项，包括75项在建项目和30项前期项目；涉及总投资共约5710亿元，本年度计划投资462.1亿元
小笼包还是生煎的好吃,开始在油管买营销号洗白了，说明是团队下场，建议这边也整理一下完整事情经过
sorry耍你一巴掌0789,这还是一条抽奖微博转发并@你的三个好友加关注就能参与抽取两名幸运小伙伴奖金每人300元
孬嫑口合,#不一样的她#@小鹿妈妈官方微博我们小鹿妈妈的产品真的是没得说，但对待客户的尖酸刻薄不讲道理也是没得说。2月25号下单，你不发货，不发货也理解，疫情么，但又不同意退款。你这是明显想要为难客户。还回复我收到快递拒绝签收才行。小鹿妈妈，你是这么优秀么？你以为老百姓都这么好欺负么？
jian77663,:#深圳流浪猫领养[超话]#深圳宝安石岩有四五只流浪的小奶狗（不到一个月大）找能领养的主人#深圳领养##深圳领养狗#@深圳市流浪狗驿站#深圳宠物领养#深圳jian77663的微博视频
sorry耍你一巴掌0789,请仔细阅读3月5日网课开启每晚七点直播
孬嫑口合,#不一样的她#@小鹿妈妈官方微博我们小鹿妈妈的产品真的是没得说，但对待客户的尖酸刻薄不讲道理也是没得说。2月25号下单，你不发货，不发货也理解，疫情么，但又不同意退款。你这是明显想要为难客户。还回复我收到快递拒绝签收才行。小鹿妈妈，你是这么优秀么？你以为老百姓都这么好欺负么？
jian77663,:#深圳流浪猫领养[超话]#深圳宝安石岩有四五只流浪的小奶狗（不到一个月大）找能领养的主人#深圳领养##深圳领养狗#@深圳市流浪狗驿站#深圳宠物领养#深圳jian77663的微博视频
sorry耍你一巴掌0789,请仔细阅读3月5日网课开启每晚七点直播
南昌晚报,:#南昌身边事#【广东公布首例境外输入病例密切接触者有3人来了南昌】3月3日，广东省政府新闻办举行第36场疫情防控新闻发布会，省卫生健康委副主任周紫霄在发布会上介绍了广东首例境外输入新冠肺炎病例。广东省卫健委于3月1日凌晨1点47分，接到深圳市卫生健康委报告1例境外输入新冠肺炎病例。该病例的93名密切接触者已全部追查并联系，其中69人纳入深圳管理，已全部入住集中隔离点并安排采样检测。截至3月3日下午3时，68人核酸检测结果阴性，1人结果待出。另外的24位密切接触者的去向也了解清楚，分别为东莞市12人，广州市3人，惠州市3人，海南省海口市1人，湖南省株洲市2人，江西省南昌市3人，目前均已发送协查函至当地疾控中心。#联防联控江西在行动##抗疫一线江西党员勇争先##共同战疫#
信息时报,:【广东首例境外输入病例：有3名密切接触者在广州】3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。经过省市联动，开展流行病学调查、密切接触者采样、终末消杀等工作，共确定密切接触者93人。今天下午举行的广东省人民政府疫情防控新闻发布会上，省卫生健康委副主任周紫霄介绍，至3月3日凌晨，该输入病例93名密切接触者已经全部找到。其中69人纳入深圳市管理，入住集中隔离点，进行采样检测。截至今天3点，其中68人的新冠肺炎核酸检测结果呈阴性，仍有1例结果待出。而另外24名密切接触者的行踪也已摸查清楚，其中广东省东莞市12人，广州市3人，惠州市3人，湖南株洲市2人，海南省海口市1人，江西省南昌市3人。对于这24名密切接触者，省卫计委已经发了协查函到当地疾控中心要求加强协查工作。（信息时报记者吴瑕）http://t.cn/A67NruUk
揭东检察,:【深圳法官滞留湖北恩施借来法袍网上办案28件】2月24日上午9点30分，深圳市福田区人民法院第29庭内一场庭审正在进行，现场只有人民陪审员、书记员，审判长和当事人却不见踪影。原来审判长和当事人早已经在屏幕另一端做好了准备。当天审理的是一起民间借贷纠纷案件。按照原计划，该案定于2月24日开庭。但是受疫情期间交通管制的影响，承办法官廖泰琳在湖北恩施老家无法返回深圳上班，当事人代理律师在深圳家中不便前往法院。案件不等人，为保障当事人的合法权益，廖泰琳在征得当事人同意后，决定通过深圳移动微法院，网上开庭。庭审当天，审判长、人民陪审员、书记员、当事人借助互联网实现三线联通。屏幕内，原告代理人清晰地陈述事件原委，屏幕外，书记员快速地记录着庭审全过程，庭审录音、录像同步生成，庭审各环节井然有序地进行。仅30分钟，这场线上庭审便顺利落下帷幕。原告代理人说：“没想到在疫情这么严峻的情况下，福田法院能及时安排视频庭审，为法院现代化司法服务点赞。”身在疫情严重地区，廖泰琳心系审判职责。她特意向当地法院借来法袍，自2月17日起，在湖北老家网上开庭18次，顺利结案28件。“无论何时、何地，审判工作都不会停止，原计划开庭的案件都顺利完成了庭审，一个也没少。”廖泰琳说。据了解，在疫情防控关键时期，深圳法院的每一位法官都坚守本职工作，切实保障防疫期间当事人的合法权益，同时借助信息化手段保证立案、审判、执行工作正常有序进行，用速度与效率传递司法为民的关怀与温度，为战“疫”贡献力量。来源：中国青年网
红孩儿突击队,:#战疫有我#【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
乐居网天津,:【天房集团、深圳津房物业拟转让烟台津房置业70%股权】3月3日，从天津产权交易中心获悉，天津房地产集团有限公司（简称“天房集团”）、深圳市津房物业发展有限公司（简称“深圳津房”）拟共转让烟台市津房置业有限公司（简称“烟台津房置业”）70%股权，转让底价5638.55万元，信息披露起始日期为2020年3月3日-2020年3月30日。http://t.cn/A67NfeZO
深圳特区报,:【疫采通—深圳市交易集团联手读创推出抗疫物资供需速配，携手共战疫情】http://t.cn/A67NfgOu
深圳人力资源和社会保障局,:【“广东技工”“粤菜师傅”“南粤家政”齐上阵，这就是深圳担当！】抗击新冠肺炎疫情，深圳市人力资源和社会保障局贯彻落实省人力资源社会保障厅关于结合三大民生工程推进疫情防控工作的部署，积极组织、全面动员、迅速行动构建了“广东技工”顶上去，“粤菜师傅”跟上去，“南粤家政”补上去的三位一体技能抗疫新局面。详情戳链接围观http://t.cn/A67NfJOL
刀不走偏锋,:快讯经过南科大第二附属医院（深圳市第三人民医院）医护人员积极救治，今天下午又有9名患者痊愈出院。其中有一例新冠病人是极其危重的，各种治疗手段都用了，能痊愈出院，真的是他运气真好，能在深圳、住进了我们医院。广东省的专家、深圳市的专家及我们医院的专家及全体医护人员共同为他倾注了非常多的心血，真的不容易，恭喜他康复！这个71岁，来自武汉的老人说：“我昏迷期间什么都不知道。我后来醒来后知道我是危重病人，那就是随时都有可能没有命了。”他说：“所有的医护人员对我很好，像亲人一样，得到了社会主义公民享受到的待遇。我们同在一片热土，感谢深圳，感谢深圳三院医护人员！”广东省卫健委持续重视全省危重病人的救治不放松，再次举行视频会议，布置全省各定点收治医院的救治强度，尊重生命，挽救生命，不惜代价！
广东民声热线,:【广东首例境外输入型病例，暂未发现密切接触者核酸检测阳性】#疫情阻击战#关于我省首例首例境外输入型病例，省卫健委副主任周紫霄介绍，3月1日凌晨接到深圳市卫健委的报告，该名患者在发热门诊被及时发现确诊。当夜省市联动，追踪他乘机、轮渡、居住以及就医等情况。在3日凌晨，有69名密切接触者纳入深圳管理，入住集中隔离点接受采样检测，其中68人核酸检测阴性，1人待核查结果未出。其余24名密切接触者在东莞、惠州、广州、以及海南海口、江西南昌等地，均已发函至各地。#最新疫情通报##浙江8输入病例在意大利同一餐厅工作#
深圳市场监管,:【“宝安市场监管15条”助力企业复工！】这几天，深圳路上的行人、车辆变多了，恢复了往日的早高峰、晚高峰。但是不少人还是表示”这是幸福堵啊！“但是大家还是要稳住啊！疫情仍未结束，抗疫还在继续。为助力企业、市民顺利复工，保障大家的生活安全，深圳市市场监督管理局宝安监管局出台15条便利措施，为企业复工加力！一定有一条与你相关！15条便利措施详情请点击：http://t.cn/A67Nc5py
深圳市司法局微博,:发布了头条文章：《深圳市司法行政系统疫情防控工作视频会议今日召开，都讲了什么？》深圳市司法行政系统疫情防控工作视频会议今日召开，都讲了什么？
很软很好戳,开始在油管买营销号洗白了，说明是团队下场，建议这边也整理一下完整事情经过
2020逝水流年2020,【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
中国日报,:【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
深圳南山区人民检察院,:【南检在行动丨战“疫”不停歇，检察官贴心提供法律服务，助力企业复工复产】为依法保障和服务民营经济发展，帮助企业顺利复工复产，3月2日下午，我院党组成员、副检察长周少波带领知识产权检察部的检察官走访了深圳市泽惠通通讯技术有限公司、深圳市晨讯达科技有限公司和深圳市康得森电器有限公司，实地了解企业复工复产情况，为企业做好政策解读和法律服务精准对接。http://t.cn/A67NG9Ga
中国日报,:【机器人“抗疫”进行时】在深圳市第三人民医院，忙碌在一线的医护人员有一群机器人小帮手，分别是室内测温巡检机器人、室外智能防疫机器人、医疗咨询机器人、消毒机器人…戳视频，看机器人如何在真实的医院环境中助力“抗疫“！（记者马思）中报视频的秒拍视频
深圳南山区人民检察院,:【南检在行动丨战“疫”不停歇，检察官贴心提供法律服务，助力企业复工复产】为依法保障和服务民营经济发展，帮助企业顺利复工复产，3月2日下午，我院党组成员、副检察长周少波带领知识产权检察部的检察官走访了深圳市泽惠通通讯技术有限公司、深圳市晨讯达科技有限公司和深圳市康得森电器有限公司，实地了解企业复工复产情况，为企业做好政策解读和法律服务精准对接。http://t.cn/A67NG9Ga
胖牛势,:【微信上线区块链电子发票极速版】3月2日，深圳市税务局联手腾讯区块链、微信支付上线区块链电子发票极速版，30分钟快速注册开通区块链电子发票功能。据介绍，针对当前非接触服务需求，深圳市税务局联合腾讯区块链、微信支付开发上线了区块链电子发票极速版。企业工商注册登记时就直接赋予区块链电子发票使用资格，实现“开业即开票”。据了解，早在2018年，深圳市已开展区块链电子发票的试点推广，由腾讯金融科技提供了区块链技术支持，目前已被广泛应用于金融保险、零售商超、酒店餐饮、互联网服务等上百个行业，累计注册1.5万户企业，开票超过1600万张。
果成网,:#广东疫情政策#深圳市科技创新委员会印发《关于强化科技支撑打赢疫情防控阻击战促进企业健康发展的若干措施》的通知，对在疫情防控中发挥重要作用的单位优先支持申建市重点实验室等市级创新载体、优先推荐申建国家、省重点实验室等国家级或省级重大创新平台。http://t.cn/A67NUmIe深圳市科技创新委员会@深圳湾实验室@鹏城实验室
深圳卫视深视新闻,:#关注深圳冠状病毒肺炎疫情最新进展#【今日深感动|抗疫“00后”来了：没开学，一线就是我的课堂】“我会在这里，一直坚持到我开学的时候。”在深圳市沙井街道共和社区，有一位女大学生，疫情期间自发报名，每天坚持到社区做义工，在她的眼里，抗疫的一线，就是她的课堂，她究竟做了什么让大家为她点赞？#抗击新型肺炎我们在行动#http://t.cn/A67NAkdt
晶报,:#晶•视频#【“防疫动动动”系列卡通E11：优化强化社区小区疫情防控（上）】近日，深圳市疫情防控指挥部发布《关于进一步优化强化社区小区疫情防控工作的实施细则》，让我们一起来看看！@晶视频晶视频的秒拍视频#阳光战疫#
海关发布,:【蛇口海关快速验放N95医用口罩7200个】2月28日下午，蛇口海关快速验放防疫物资一批，共计N95医用口罩7200个。据了解，该批口罩是爱心人士在境外定向采购捐赠给深圳市的防疫物资，通过跨境联运绿色通道进入前海湾保税港区，蛇口海关实施快速验放。
互联网纵横,:3月1日，由全国信息技术标准化技术委员会提出、浙江大学牵头、深圳市信息无障碍研究会参与起草的新国标《GB/T37668-2019信息技术互联网内容无障碍可访问性技术要求与测试方法》正式实施，是我国互联网信息无障碍领域第一个国家标准。#跟新浪看热点#信息无障碍技术新国标实施加速互联网“盲道”建设
深圳市即达网络技术有限公司,“任何一个爱美之人的心，都不会老。”
深圳应急管理,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
深圳商报,:#防控疫情深圳在行动#【深圳落实“科技支撑十六条”已调配2亿元实施新冠肺炎科研攻关】深圳市科创委2日对外印发了《关于强化科技支撑打赢疫情防控阻击战促进企业健康发展的若干措施》（以下简称《若干措施》）。3日，记者从文件中获悉，深圳已经在2020年市财政科技专项资金中调配2亿元，以定向申报与自由申报相结合实施“新型冠状病毒感染应急防治”专项、以“悬赏制”等方式组织开展“新型冠状病毒感染的肺炎疫情应急防治”应急科研攻关项目。本次《若干措施》共分为16条，具体包括集中力量实施疫情防控科研攻坚行动、聚焦疫情防控需求提供全方位科研保障、汇聚人才力量助力抗疫复产、加大惠企支持力度缓解经营压力、实施科技管理服务便利化举措等五方面的内容。http://t.cn/A67Nh594
深圳卫视我的白大褂,:【广东公布首例境外输入病例，目前确定密接者93人】#抗疫日记#3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。该名35岁男性患者，2月27日由伦敦飞往香港，先后抵达香港机场、海天码头、深圳蛇口码头，最后乘出租车回到福田区家中。患者全程佩戴口罩。#全民抗疫特别节目#http://t.cn/A67Nh5aI
深圳恒才机电设备有限公司,:发表了博文《6种常见的化工离心泵故障》　深圳市离心泵厂家由于用户对化工离心泵操作不当，经常会出现许多问题，大致可分为以下几类:1。化工离心泵不能启动;2.化工离心泵产生热量;3.化工离心泵流量不足;46种常见的化工离心泵故障
深圳新闻头条,:【深圳最牛“炫富”：每天免费发80万口罩】“每天抽签一次投放20万只口罩扩容为每天抽签一次投放30万只”、“每两天向中签企业免费发放100万只口罩”……3月1日晚，深圳市新冠肺炎疫情防控指挥部发出的两条重磅消息，刷屏了深圳人的朋友圈。这意味着，从3月3日起，深圳平均每天为市民和企业免费发放80万只口罩。这还不包括深圳各区已面向企业和社会发放的数百万只口罩。向社会供应如此大量的口罩背后，是深圳自产口罩和采购能力的巨幅提升。犹记得，在2月1日的广东省政府举行的疫情防控新闻发布会上，深圳市市场监管局坦言，目前本地工厂每日能生产20万只口罩，还远不能满足市场需要。短短不到一个月时间，截至止2月23日，深圳在产口罩生产企业已达11家，口罩日产能达88.05万只。从日产20万到88.05万，口罩供应能力提升的背后，看到的是政府发动渠道商、打通产业链的决策力以及物资生产企业日夜投产的努力。（南方+）http://t.cn/A679Ywwb
评论员王维,:刚刚，深圳市人才安居集团拿下尖岗山宅地，配建人才房面积57200平，楼面价约6.1万/平。
贵阳微博房产,:#抗击疫情房地产在行动#
XUSUHUA哈,:五和地铁站最低价两房一厅1900包管理费电梯高楼层采光好速度过来看房，不要等#深圳租房[超话]##深圳租房##深圳市-宝安区##五和地铁站#XUSUHUA哈的微博视频
深圳慈恩齿科官方微博,:#深圳牙齿矫正#做为深圳市第一批提交初审并审核通过的门诊，复工在即，健全机制，安全上岗，培训先行～我们对医务部、护理部、客服部等在内所有工作人员从基本的《门诊工作人员的防护和消毒》，到当前持续完善预检分诊流程，确保患者朋友们诊疗安全以及确保门诊接诊环境安全。力求做到面面俱到，无微不至❤️http://t.cn/RD4C3n3
XUSUHUA哈,:灵芝地铁站500米，性价比最高一房一厅2400元#深圳租房[超话]##深圳租房##深圳市-宝安区#XUSUHUA哈的微博视频
XUSUHUA哈,:洪浪北地铁口400米，一房一厅2800#深圳租房[超话]##深圳租房##深圳宝安租房##深圳市-宝安区#XUSUHUA哈的微博视频
XUSUHUA哈,:宝安区龙岗区也有房源啦😄
XUSUHUA哈,:洪浪北地铁口500米，精装套间，租金优惠1680#深圳租房[超话]##深圳租房##深圳宝安租房##深圳市-宝安区#XUSUHUA哈的微博视频
贵阳微博房产,:#抗击疫情房地产在行动#
XUSUHUA哈,:五和地铁站最低价两房一厅1900包管理费电梯高楼层采光好速度过来看房，不要等#深圳租房[超话]##深圳租房##深圳市-宝安区##五和地铁站#XUSUHUA哈的微博视频
深圳慈恩齿科官方微博,:#深圳牙齿矫正#做为深圳市第一批提交初审并审核通过的门诊，复工在即，健全机制，安全上岗，培训先行～我们对医务部、护理部、客服部等在内所有工作人员从基本的《门诊工作人员的防护和消毒》，到当前持续完善预检分诊流程，确保患者朋友们诊疗安全以及确保门诊接诊环境安全。力求做到面面俱到，无微不至❤️http://t.cn/RD4C3n3
XUSUHUA哈,:灵芝地铁站500米，性价比最高一房一厅2400元#深圳租房[超话]##深圳租房##深圳市-宝安区#XUSUHUA哈的微博视频
XUSUHUA哈,:洪浪北地铁口400米，一房一厅2800#深圳租房[超话]##深圳租房##深圳宝安租房##深圳市-宝安区#XUSUHUA哈的微博视频
XUSUHUA哈,:宝安区龙岗区也有房源啦😄
XUSUHUA哈,:洪浪北地铁口500米，精装套间，租金优惠1680#深圳租房[超话]##深圳租房##深圳宝安租房##深圳市-宝安区#XUSUHUA哈的微博视频
陈家蟹V6FR,:深圳市人才安居集团12.4亿元又摘得龙华区一宗居住用地3月3日，深圳市以挂牌方式公开出让4宗地块，总出让面积88491㎡，总起始价30.29亿元，其中，深圳市人才安居集团有限公司以底价12.4亿元摘得A822-0408地块，楼面价8373元/㎡。该地块位于龙华区民治油松地区，出让面积29619.01㎡，起始价12.4亿元，竞买保证金6.2亿元。该地块人才住房销售均价不高于39600元/㎡，最高销售单价不高于41600元/㎡本次出让宗地中只租不售的人才住房，产权归政府，竞得人建成后无偿移交，由深圳市人才安居集团有限公司代表市政府接收、运营和管理，房源由深圳市住房和建设局统筹调剂使用人才安居集团最近动作很大
深圳财政SZFB,:【深圳市财政局转发关于开展2020年度国际化高端会计人才选拔培养的通知】现将《广东省财政厅转发财政部关于开展2020年度国际化高端会计人才选拔培养的通知》（粤财会〔2020〕9号，见附件）转发给你们，请各单位做好宣传发动，请申请者按附件要求做好报名（深圳网上报名流程：请访问http://t.cn/A67CBhJh(广东省会计信息服务平台)——点击“高端会计人才选拔报名”——点击“财政部国际化高端人才培养”进入用户登录页面，再通过“深圳市报名入口”进入“深圳市用户登录”页面，点击“深圳市账号注册”，先注册再登录报名即可，不用在广东省会计信息服务平台做信息采集）。详见：http://t.cn/A67CBhJz
深圳市华磊服装衬布有限公司,:亲，深圳市华磊服装衬布有限公司商人节专享优惠，9.5折限时优惠:活动商品满1件打9.5折，活动时间2020.03.31-2020.03.31，快去看看http://t.cn/A67C1bSD
深圳商报,:#防控疫情深圳在行动#【深晚独家|深圳快递复工率超八成，你的快递到了吗？包裹会被污染吗？你关心的问题都在这】疫情期间，网购成为不少市民获取生活物资的重要方式。近期，随着快递企业陆续复工，全市快递寄送服务正逐渐恢复正常。深晚记者从深圳市邮政管理局获悉，截至2月29日，深圳一线快递员复工人数为3.8093万人，一线快递员复工率达84.7%，收件量为816.2万件，占往常的81.6%，派件量为402.2万件，占往常的80.4%，基本能保障全市快递业的平稳运行。http://t.cn/A67C33a8
中新社福建,:【国内众多知名企业发出倡议：“保护野生动物，就是保护我们自己”】3月3日就是联合国第七个“世界野生动物日”。今日，阳光龙净集团、华夏保险公司、苏宁控股集团、正威国际集团、恒力集团、太平洋建设集团、雪松控股、深圳市投资控股、明视伟业集团、盼盼食品集团、三棵树涂料股份、三盛集团、福建圣农控股集团、福建省信通投资集团股份等多家知名企业、企业家联合发起倡议，呼吁中国企业家群体“拒食野味、善待动物”，以实际行动积极响应国家号召。（经济日报）
深圳新浪房产,:土拍现场|12.4亿元，深圳市人才安居集团底价拿下龙华民治宅地今日下午15:00时，深圳龙华民治A822-0408宗地出让，性质为居住用地，使用年限70年，被深圳市人才安居集团，以底价12.4亿元拿下。该宗地为限价宅地，要求今后出售的人才住房基准售价31700元/㎡，最高售价33300元/㎡。http://t.cn/A67CufEN
喵喵喵星人_520,化解互联网金融风险的误区——基于深圳互金协会《退出指引》实证分析》---深圳投哪网良性退出不能“挂羊头卖狗肉”。深圳市金融办监管不能”犹抱琵琶半遮面“，要切实确保深圳投哪网合法退出，化解互联网金融风险，不能以损害出借人利益为代价，不能让P2P平台、互金协会成为权力寻租的”避风港“。http://t.cn/A67VkFBz
地上的浮士德,:发布了头条文章：《深圳市新物业条例解读（五）——物业承接查验问题》深圳市新物业条例解读（五）——物业承接查验问题
车床急走纸上,:点燃后把烟扔在空中；目前此人正在当地北大医院反省！深圳市民用香烟点鞭炮，把炮竹叼在嘴里
宋清辉,:#宋清辉看肺炎疫情#深圳最牛“炫富”：每天免费发80万口罩！据南方+，“每天抽签一次投放20万只口罩扩容为每天抽签一次投放30万只”、“每两天向中签企业免费发放100万只口罩”……3月1日晚，深圳市新冠肺炎疫情防控指挥部发出的两条重磅消息，刷屏了深圳人的朋友圈。这意味着，从3月3日起，深圳平均每天为市民和企业免费发放80万只口罩。这还不包括深圳各区已面向企业和社会发放的数百万只口罩。向社会供应如此大量的口罩背后，是深圳自产口罩和采购能力的巨幅提升。犹记得，在2月1日的广东省政府举行的疫情防控新闻发布会上，深圳市市场监管局坦言，目前本地工厂每日能生产20万只口罩，还远不能满足市场需要。短短不到一个月时间，截至止2月23日，深圳在产口罩生产企业已达11家，口罩日产能达88.05万只。从日产20万到88.05万，口罩供应能力提升的背后，看到的是政府发动渠道商、打通产业链的决策力以及物资生产企业日夜投产的努力。#肺炎疫情实时动态播报##众志成城战胜疫病#
邱邱邱意浓,:@深圳市消费者委员会@深圳人力资源和社会保障局要不打不通，要么是机器人语音播报，永远转不了人工服务！！！！人民群众办点事怎么就那么难？？？
晶报,:#晶•视频#【“防疫动动动”系列卡通E11：优化强化社区小区疫情防控（上）】近日，深圳市疫情防控指挥部发布《关于进一步优化强化社区小区疫情防控工作的实施细则》，让我们一起来看看！@晶视频晶视频的秒拍视频
深圳特区报,:【《沙画|妈妈，我想你》】童童是深圳一家幼儿园的小朋友，她妈妈李颖芝作为深圳市人民医院的一名高级责任护士，2月9日随深圳首批医疗队支援湖北，迄今为止已在抗疫一线奋战了20多天。幼小的童童因在深无人照顾被父母送回湖南老家，她盼着可以早日见到妈妈......http://t.cn/A67CYP9C
深圳新闻头条,:#深圳战疫情#【#光明抗疫一线日记#|何天秀：最大的心愿是在疫情结束之后好好陪陪家人】何天秀是深圳市光明区公明街道公明站的一名网格员，在疫情期间，她的工作是到各个小区、城中村进行走访，发放宣传资料，一天走访80多家。她的丈夫朱葛也是社区网格管理中心的一员，虽然同在社区网格管理中心工作，但两人见面的机会屈指可数。如今夫妻二人都在抗疫一线工作，家中的两个孩子只由老人家照顾。夫妻俩最大的心愿，就是能够在疫情结束后好好陪陪家人。http://t.cn/A6791ZLf
