一心向大海,:防护做得好，健康有保障http://t.cn/A67oARrp
滇无敌,:资本动态财政部：2月，全国发行地方政府债券4379亿元。1-2月，全国发行地方政府债券12230亿元。截至2020年2月末，全国地方政府债务余额225302亿元，其中，一般债务121426亿元，专项债务103876亿元。中期协：利用场外期权工具，为防疫物资生产企业进行风险管理。“口罩期权”“防护服期权”“酒精期权”“手套期权”等成为行业的“新发明”。例如，疫情严重期间，口罩的初级原材料聚丙烯的市场价格直线走高，由此“口罩”期权成为对冲生产企业原料采购价格上升的得力工具。5年期国债期货主力合约TF2006下行0.03%，至101.400；10年期国债期货主力合约T2006下行0.08%，至100.795。10年期国债利率涨0.5BP，至2.75%；10年期国开债利率涨0.48BP，至3.21%。截至3月3日下午收盘，期市日间盘收盘各品种涨多跌少。原油、沥青主力分别收涨3.37%、2.25%，聚丙烯、聚乙烯、菜粕、燃油、沪锡、沪镍、沪铜、郑棉、豆粕、鸡蛋等主力合约涨超1%。玻璃、棕榈油、沪银、苹果、白糖等主力合约收跌。上海国际能源交易中心：3月3日，原油期货主力合约SC2005以376.5元/桶收盘，涨幅为2.93%。主力合约成交35194手，持仓减少936手至33111手。全部合约成交82251手，持仓减少2831手至72574手。在岸人民币兑美元16:30收盘，报6.9808，跌0.3306%，人民币中间价报6.9516，涨0.4226%。NDF：3个月报6.9798，6个月报6.9998，1年报7.0400，2年报7.1238。新三板：3月3日合计挂牌8820家公司，当日减少2家，成交金额2.48亿，其中做市转让1.48亿，集合竞价1亿。三板成指报975.85，涨0.29%，成交额1.73亿。上股交：挂牌企业总数10112家，其中N板300家，E板461家，Q板9351家。
国网陕西电力,:#抗击疫情央企行动#【疫情防控期间电力服务永不“隔离”】2020年3月2日，@国网凤县供电公司双石铺供电所接到家住十里店4组何先生的电话：“我想收拾一下自己的平房，不知道供电所上不上班，能不能来我家帮忙换一下下户线。”工作人员告知何先生，我们电力员工24小时坚守岗位，即使疫情防控期间，但是我们电力服务永不“隔离”，随时准备着解决用户的各类用电问题，为用户提供优质、高效、快捷的供电服务。在办理好各项手续，采取好个人安全防护措施后，工作人员驱车来到何先生家，仅用时27分钟便完成了下户线更换工作，得到何先生的赞扬。#做好人民电小二#（宝鸡凤县：周杨）
平安信阳,:#共同抗疫#【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
零渡vccccc,:#华南海鲜市场开始消杀工作#之前在干嘛呢？？？算了现在开始了就希望工作人员注意防护吧好好消杀
长巫愁,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
李L小x闲x,:又是一年花开季，疫情肆虐终结时，涮锅烤肉小啤酒，好友聚会造一宿。现在唯有家中做，健身美食上网课。防护消毒不聚集，中国武汉在一起。#承德[超话]#承德
泉州蟳埔人,:在东莞工作的刘女士大年廿九回湖北仙桃探亲，除夕夜仙桃即将封城，得知消息后她连夜出城。她和表姐一家驱车20个小时到达兰州，再乘飞机回广州，她说一路上做好了防护，虽然辗转近四千公里才回到了东莞，但能出来尽早隔离后返岗，都是值得的…#伊朗民众涌入寺庙舔圣墙##逃犯因脸太大戴不全口罩落网#（一手Video)http://t.cn/A67pVcyz
木木瑩-杺蒂创始人啊莹,:2020年最急需的物品！国家批准消字号的木木莹消毒液，能有效防护真菌细菌病毒感染，起到高效杀菌消毒作用，时时刻刻保护你和家人的健康，小孩孕妇均可使用！木木瑩-杺蒂创始人啊莹的微博视频
木乐柒,:#怀疑钞票有病毒用微波炉加热#那微波炉还能做吃的了嘛…钞票没病毒但是也挺脏的吧#华南海鲜市场开始消杀工作#做好防护！务必认真对待！
宇宙超级无敌美少女本人_,:#华南海鲜市场开始消杀工作#终于开始消杀了！真的太好了！消杀的工作人员也请注意安全做好防护，希望病毒能彻底消除吧！#黄冈给郑爽一家写感谢信#正能量的小爽真是人美心善！太暖了
奎恩Quinn2015,#美国疫情##美联储将息#鲍威尔上来这一咳嗽，我心里咯噔🙈鲍威尔说疫情对经济影响力度和时间仍然不确定。美联储正在与各国央行积极磋商。王冰汝的微博视频
-wu英怡,麦特公益&蒲公英公益，抗疫继续。今天，3000件从美国采购的VG1防护服，终于完成清关，其中1000件是吴京&谢楠夫妇捐赠到北京有确诊病例的医院，另外2000件分别由@李易峰和博众星和公司捐赠！顺丰已经完成装车，明天就将到达武汉，定向发放到各医院的重症监护室。#华南海鲜市场开始消杀工作#
我才不摘星星,#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
马小佳的温小小,#综艺宅急送##别人家的网课老师们#回课...郑棋元的微博视频
老虎爱熊,转自网友，专业耿直的张文宏医生视频集锦
HeyReset,#华南海鲜市场开始消杀工作#希望病毒能彻底消除吧，但是消毒的工作人员一定一定要做好防护，先保护好自己。辛苦了！加油！
·一抖雪球·,:#华南海鲜市场开始消杀工作#现在已经都三月了！怎么才开始消杀啊？？希望消杀工作能起到作用，也希望工作人员做好防护。#神农架发生野猪非洲猪瘟疫情#2020年好难，又是肺炎又是猪瘟，希望早日过去，2020依旧春暖花开。
贩售酥糖,:#华南海鲜市场开始消杀工作#虽然也不一定是病毒发源地，但市场里的卫生状况的确堪忧，做好防护是必须的
昨天在搞什么飞机,【李文亮同事梅仲明殉职该院多名医生病情危重】梅仲明被赞是武汉最好的眼科医生之一，有外科的风度，内科的儒雅，是武汉市中心医院第三位在工作中感染新冠肺炎而殉职的医生。目前该院有超过200名职工感染。李文亮同事梅仲明殉职该院多名医生病情危重
贵阳新闻网,:#众志成城抗肺炎·贵州人民在行动#【“我们来啦！”142万元物资发往湖北！】3月3日上午9点半，陈师傅和张师傅驾着中国邮政的运输车来到遵义路贵阳广播电视台门口，随后，一箱箱防护服、护目镜、医用面罩、N95口罩等医用物资陆续被大伙搬到车上，将这些物质送往湖北。贵州交通广播的微博视频
从此没有了季节,#防控疫情从我做起#乘坐出租车、网约车的防护技巧，快收藏！健康中国的微博视频
暖栀今夏,:#韩国大邱一确诊者混入长队买口罩#
晨晓同学,:【透过防护服也能认出你，#火神山的大眼睛医生#】火神山医院感染二科一病区主任董宇超，被患者亲切称为“大眼睛医生”。在他的“紧盯”下，不少患者病情明显好转。在抗“疫”一线，他带领50名医护全力救治80多例患者，无一人转向危重症或病亡。在患者出院证明上郑重签下名字，他说，这就是最好的回报。http://t.cn/A67NfthA
脑癌一个,#陪你上班平安复工#不是洁癖，只为洁净。触摸办公区域的指纹打卡机、复印机、空调控制面板等的公共设备之后，建议立刻洗手或消毒，用到位的防护给自己安全感。@飞利浦健康科技@当妮Downy@惠普电脑@天梭中国@HOGAN@汤臣倍健官博@彩棠TIMAGE@林清轩山茶花焕肤修复专家拍下#我的上班路#，打卡@时尚COSMO，用视频或图片记录下你的复工时刻吧~
JIANGYIN莹,这些画都太可爱了！抗疫期间，滴滴为防疫一线的滴滴网约车安装防护膜，这项举措还激发了司机师傅灵魂画手的潜质，一幅幅防护膜上的真心“画”，让你坐车也能涨姿势～带话题#防护膜真心画#转发本条微博，3.10抽5位小伙伴送出70元快车出行卡一张～点击链接http://t.cn/A67NZ9CD上传你发现的真心“画”，还有机会额外获得快车10元立减券哦
女生夜谈,:【29.90】【阿里自营】抗菌防护手套100只
讐小建,仙女宝呗们，在特殊的日子里，别忘了好好爱自己。这次我和@天猫挑了许多好货，都能花呗分期。另外，还给大家偷偷塞了2张3期免息券，3.5-3.8就能用上啦。答应我，爱自己别等待。转发评论告诉我，这个38准备怎么爱自己
糖糖祝陈伟霆1121生日快乐,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
啵叽一口锥_,#疫情防护电竞在行动#受疫情影响暂停的2020年LPL春季赛，即将在3月9日线上开赛。近日我们联合@封面新闻采访了@FPX电子竞技俱乐部的中单选手@doinb金咕咕（金泰相），他讲述了自己在疫情期间的生活、训练情况，以及归队后的状态，还透露了他向湖北捐赠战疫物资和资金的原因。所有的电竞人都相信，疫情终将结束，盛夏和深秋的荣耀，离我们并不遥远
糖糖祝陈伟霆1121生日快乐,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
一朵云骑尉,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
长沙益心社工,【中国捐出10万口罩5000防护服，日本网友用中文表达感谢】3月1日，中国驻日本大使馆发布了关于中国向日本捐赠5000件防护服和10万只口罩的推文。发布后引起日本网友热烈反响，许多日本网友都表达了感谢，甚至有人用中文发表了感谢的评论。#大连未出现大量韩籍日籍人员涌入情况#http://t.cn/A67ac1Eq
橘子味的阿瑶my,:你以为我不想谈恋爱吗我只是不敢砸掉我的防护墙而已#自卑式单身#
丸子的小胖心,:#华南海鲜市场开始消杀工作#现在才开始做消杀工作吗工作人员做好防护哦
Sakura-甜喵,:#华南海鲜市场开始消杀工作#也要给这些工人做好防护工作呀
·时山远雾·,:#华南海鲜市场开始消杀工作#之前在干嘛呢？？？算了希望工作人员注意防护吧好好消杀[加油][加油][加油]#神农架发生野猪非洲猪瘟疫情#这是什么2020啊这么多糟糕的事情堆一起
牡丹正平,:
甜橙琛可爱,:#华南海鲜市场开始消杀工作#之前在干嘛呢？？？算了希望工作人员注意防护吧好好消杀[加油][加油][加油]#神农架发生野猪非洲猪瘟疫情#这是什么2020啊这么多糟糕的事情堆一起
威武雄壮的光年大魔王,#留学互动#小伙伴们一起来说说，现在你们所在的地方疫情都是什么情况？日常用品和防护用品货量充足吗？带上坐标评论一下～大家都要注意防护呀
沈澄润-岚岚,麦特公益&蒲公英公益，抗疫继续。今天，3000件从美国采购的VG1防护服，终于完成清关，其中1000件是吴京&谢楠夫妇捐赠到北京有确诊病例的医院，另外2000件分别由@李易峰和博众星和公司捐赠！顺丰已经完成装车，明天就将到达武汉，定向发放到各医院的重症监护室。#华南海鲜市场开始消杀工作#
天下_天下,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
蛋黃乜酥酥,#南京抗疫日记出现在日本雅虎首页#这是昨天在日本雅虎首页上播出的“南京抗疫现场“的短纪录片，中文字幕版上传了。这是为了让日本人了解中国人的抗疫对策而制作的，因为好多日本人到现在还没有危机感的人很多。如果有的自媒体想转载的话，请给我联系。竹内亮导演的微博视频#日本疫情#
yjaban,:如果人人都献出一点爱世界将变成美好的人间如果对待外面的恶意.也能像扎紧防护服去防止病毒的侵入一样牢牢隔离在外就好了。最近看史书，人类的成功记录，充满了各种恶意和阴谋。绿洲
奇__哥,:疫情期间，宁波征用部分CNG出租车作为防疫应急专用车。为保障出租车正常营运，宁波石油下属汽车燃气公司做好充足防护措施，确保场站24小时安全生产运行。加气站一线员工主动为出租车司乘人员宣传防疫相关知识，帮助加气车辆消毒门把手，获得了来往车辆的赞赏。#抗击疫情央企行动##为美好生活加油##武汉加油#http://t.cn/R2WxkfX
左岸是天堂,:我妈就是不一样的优秀…是不是一般正常的家长听说孩子要复工了都得说注意安全戴好口罩做好防护？我妈就厉害了，她跟我说的是衣服穿利索了化好妆别邋邋遢遢的…我？！都戴着口罩了谁还会化妆啊亲妈…还有，谁邋邋遢遢了！谁！
lu_charmie,:我们似乎总喜欢将人与人之间定义一种“关系”.当这种“关系”不成立时可以相处的轻车熟路.而一定要给“它”一个代名词时，好像又被这种“关系”所束缚.或许我们天生自带“微距离防护装置”，间隔着每个即将亲近的人，一旦“警报”响起，便可能是熟悉的陌生人.有时最好的关系就是“没关系”.
阿板怕刺不吃鱼,:#227历史时刻[超话]#图一网上搜到的一线医护穿戴防护服护目镜口罩图片图二某粉丝穿戴防护服护目镜口罩自拍图三淘宝搜到的一次性廉价防护服图片请问有没有人了解，一线医护人员是不是只可以穿戴图一这种领口胸前都有密封条的防护服和密封护目镜，图二中这位粉丝的防护服只有拉链，护目镜也不是密封的是不是根本没有防护效果如果该粉丝为一线医护，那穿戴不正规的防护服非常危险，可以帮助联系相关部门配发正规防护服或者组织捐助如果并非医护人员，那疫情期间伪装医护人员为明星洗白的行为，是对真正医护人员的羞辱
十七已雨,麦特公益&蒲公英公益，抗疫继续。今天，3000件从美国采购的VG1防护服，终于完成清关，其中1000件是吴京&谢楠夫妇捐赠到北京有确诊病例的医院，另外2000件分别由@李易峰和博众星和公司捐赠！顺丰已经完成装车，明天就将到达武汉，定向发放到各医院的重症监护室。#华南海鲜市场开始消杀工作#
王意意_yvonnewongyi,#陪你上班平安复工#二月二，又到簪花迎富时。这一周，平安依然是主旋律。今天由我们的明星发起人@唐嫣提醒你，工作期间勤洗手，外套尽量分区挂。如担心外套可能被污染，首选高温物理消毒。严格防护，平安复工，定不负春光!🌸🌸🌸拍下#我的上班路#，打卡@时尚COSMO吧~
·独家啵报·,:#华南海鲜市场开始消杀工作#消毒的工作人员要做好防护，注意安全呀！
德阳商务,:【出门买买买，该如何做好防护？
简爱2347788497,#杨洋[超话]##杨洋急先锋##杨洋特战荣耀#今天的我算是经历了大喜大悲
HeyReset,#华南海鲜市场开始消杀工作#希望病毒能彻底消除吧，但是消毒的工作人员一定一定要做好防护，先保护好自己。辛苦了！加油！
杰妮溺深,:#易感老年人防疫#涓滴之水成海洋，颗颗爱心变希望。我在“易感老年人群防疫防护行动”项目捐款成功！@中国社会福利基金会易感老年人群防疫防护行动
暖栀今夏,:#华南海鲜市场开始消杀工作#辛苦了！做好防护，注意安全。愿疫情早日结束，一切恢复正常。
夏大王早起去巡山,非武汉城市，其他疾病的收治能力，也下降了非常多，更别提武汉了。次生伤害造成的死亡人数，会超过新冠肺炎的死亡人数。这种说不出的痛苦，时刻发生在我们周边。
沧海一声过,张文宏好牛逼啊：“零确诊？每天这么多人进来怎么可能零确诊呢？你说有个3例2例的是好事，担心零确诊”，唉，不言而喻啊，说得够特么隐晦的了。张洲的微博视频
sulfamethoxazole,:乘坐出租车、网约车的防护技巧，快收藏！【新型冠状病毒科普知识】（265）http://t.cn/A67pW4iV
搞快点啊没了,#疫情防护电竞在行动#受疫情影响暂停的2020年LPL春季赛，即将在3月9日线上开赛。近日我们联合@封面新闻采访了@FPX电子竞技俱乐部的中单选手@doinb金咕咕（金泰相），他讲述了自己在疫情期间的生活、训练情况，以及归队后的状态，还透露了他向湖北捐赠战疫物资和资金的原因。所有的电竞人都相信，疫情终将结束，盛夏和深秋的荣耀，离我们并不遥远
巨星组合的沙雕身下受只会啊啊啊,#华南海鲜市场开始消杀工作#支持消杀
优品快点购,:【29.90】【阿里自营】抗菌防护手套100只
娱乐影视动态,:陈奕天情人节做了一份爱心香菇酱牛排，身穿防护服和锅盖盾牌真的太可耐了。短短一下就做了一份爱心牛排，想知道怎么做么？来PICK一下@陈奕天陈奕天的微博视频
户外蜀黍,:#致敬疫情前线医护人员#《被确诊的一线医生，成了最难缠的病人》1月10日，医院开了发热门诊，发了隔离服，上班必须做好3级防护。http://t.cn/A67pO1mb
W帕克,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
太阳皓月,:#李钟硕[超话]#都好久没来打卡了好想好想二硕一定要注意防护啊[心]
花花儿马瑶宇,:乌鲁木齐明天复工消息属实具体等社区通知，出门做好防护措施#新疆解封#
华师黄兰秋,李文亮的同事，同科室的医生，武汉市中心医院眼科主任梅仲明，刚刚走了。该医院目前还有数名医生危重。
夜寒VS过往云烟,:感恩的一天。Yuzu，提心吊胆中，ISU真该死，wc完全没有延期的迹象。你在多伦多千万照顾好自己，赛事期间也请充分注意防护。健康平安每一天，为你祈福
Amy张紫阳,:这位仁兄，防护的很到位，你还缺一个氧气瓶
津门李哥,:【“背”感温暖！湘雅医院援鄂医疗队员#白衣战袍上的漫画#】“虽然隔离衣挡住了大家的容颜，但是我希望让队友们转过身来可以‘背’感温暖。”中南大学湘雅医院第三批援鄂医疗队队员、90后护士吴思容在轮休时，根据大家的性格，在队友们的隔离防护服后背画上手绘作品，给大家加油鼓劲。据悉，中南大学湘雅医院目前共派出142名援鄂医疗队队员驰援武汉，其中大部分都是80后、90后。#钟南山李兰娟等10个院士团队齐聚湖北#（人民日报记者侯琳良严丽）http://t.cn/A67pOiIF
嫁個好人_,:要时时刻刻防护不能让沙子迷了眼.
白卿远,#이동욱##LeeDongWook##李栋旭##harpersbazaar##harpersbazaartaiwan#
巨星组合的沙雕身下受只会啊啊啊,:#华南海鲜市场开始消杀工作#支持消杀
白卿远,#이동욱##LeeDongWook##李栋旭##harpersbazaar##harpersbazaartaiwan#
巨星组合的沙雕身下受只会啊啊啊,:#华南海鲜市场开始消杀工作#支持消杀
小山月见里,:啊，半夜又有人来投递防护服了...
YSnsn,:H5|致敬，防护服下最美的你！http://t.cn/A67N54TA
小唐小唐运气爆棚,1001位女性，就有1001种发光的样子，巴黎卡诗，用专业的产品和奢华的服务为每位女性从“头”打造#巴黎奢护实力发光#的闪耀机密，呵护她们爱自己的自信和勇敢。前往巴黎卡诗天猫官方旗舰店http://t.cn/A67SaJZC让实力和专业宠爱你的秀发#爱自己就是了不起#
麦是麦当劳的麦ii,#疫情防护电竞在行动#受疫情影响暂停的2020年LPL春季赛，即将在3月9日线上开赛。近日我们联合@封面新闻采访了@FPX电子竞技俱乐部的中单选手@doinb金咕咕（金泰相），他讲述了自己在疫情期间的生活、训练情况，以及归队后的状态，还透露了他向湖北捐赠战疫物资和资金的原因。所有的电竞人都相信，疫情终将结束，盛夏和深秋的荣耀，离我们并不遥远
济南房子,:#济南房子##美联储将基准利率下调50个基点#老美这次，和2008年不同，金融手段无法解决物资问题，物资问题是唯物的问题，金融是唯心的问题，唯心主义的手段怎么可能解决唯物主义的诉求？病毒:我比较客观实际，只停止于物资和口罩防护用品前，我不信QE。
馨悦博翔017,【#湖北官兵转运2万件海外筹集防护服#】由华中科技大学北京校友会从海外筹集的医用防护服陆续到达武汉。今天下午，首批20800件防护服经由湖北省军区运抵武汉市各大医院。感谢爱心物资
新欧洲战法,:本周二世卫组织发出警告：⚠️医疗防护设备库存将“迅速枯竭”，这有可能危及全世界对新冠肺炎的反应。世卫组织总干事TedrosAdhanomGhebreyesus在新闻发布会上说：“世卫组织已向27个国家运送了将近半百万的个人防护设备，但库存很快就用完了。”#法国疫情##海外抗疫日记##法国那些事儿##法国新闻##全球疫情第一线#http://t.cn/RxDz82m
AUTO_工匠,:#中国车市[超话]#安全防护“C”N95，科技感十足AUTO_工匠的微博视频
U微U,几天前，鸭鸭送去了两批煌上煌产品，一解援鄂天使们的思乡之苦！这一次，我们要让每一份产品都带着一个祝福出发！#江西地表超暖祝福#正式启动——【
趣淘白菜价,:【29.90】【阿里自营】抗菌防护手套100只
可可可可可12,:出门做好防护工作
Fifi会绯不会飞,麦特公益&蒲公英公益，抗疫继续。今天，3000件从美国采购的VG1防护服，终于完成清关，其中1000件是吴京&谢楠夫妇捐赠到北京有确诊病例的医院，另外2000件分别由@李易峰和博众星和公司捐赠！顺丰已经完成装车，明天就将到达武汉，定向发放到各医院的重症监护室。#华南海鲜市场开始消杀工作#
