你很有意思哦,#接打电话恐惧症#是我本人了
羊城派,:【工期耽误怎么办？广东高速战“疫”施工解难有妙招】“我们要把耽误的工期抢回来！”3月3日，广东茂名信宜平塘镇，云（浮）茂（名）高速平塘特大桥、排步特大桥正在进行连续刚构施工。工人们正在抓紧晴好天气有序作业，全线15个标段已全面复工。一难：工人无法按时返岗上岗怎么办？解决办法：包车接返、核酸检测，员工3天即可上岗2月27日午夜零点，广东省信宜市一辆大巴车经过两天多的驰骋，往返2000多公里，从湖南接回了17名云茂高速外来务工人员。按照计划，云茂高速项目今年应到岗5457人。受疫情影响，全国部分地方采取了交通管制措施，公共交通未恢复，导致工人无法及时返岗。云茂高速积极统计摸查各参建单位未返岗工人人数、返回时间、出发地等信息，通过粤运交通公司及地方政府，迅速启动包车接送工作，点对点接应，确保工人安全、准时、有序返回。截至2月底，云茂高速项目累计包车接返员工超1300人，目前到岗已超4600人，约占总人数的85%。对于返岗的员工，项目紧急购置35套集装箱，设置临时隔离房。同时积极联系地方政府及卫生部门，开展CT、血常规及核酸检测，从上报名单到正式上岗只需2-3天，返岗员工不再需要隔离14天观察。在保障员工安全健康的同时，有效助力项目复工复产。二难：施工队伍被困疫区怎么办？解决办法：调整队伍，79处工点已正常施工云茂高速部分标段施工受疫情影响较大，有钢板组合梁现场拼装焊接工作，由于负责施工管理及作业人员年前均回武汉过年，无法返回施工。云茂高速专门与施工单位沟通协调，要求改派非湖北籍作业人员进场，同时增加作业人手，加快进度。云茂7标目前三个关键节点：平塘特大桥、排步特大桥连续刚构施工，预制梁施工和路基抗滑桩施工。项目部负责人、党支部书记李洪江表示，疫情至今至少耽误了30天工期。负责云茂7标施工的中铁大桥局公司位于湖北武汉，受疫情影响，大部分管理人员不能到位。标段项目部把湖北籍的班组撤换掉，提前联系非湖北的班组进场，同时加大利用当地劳务人员。现在3个关键节点均已顺利复工，复工人数246人，占总数60%，随着作业面的展开，近期还会陆续增加。目前，全线15个标段已全面复工，79处工点已正常施工，其余工点将根据计划陆续开工。三难：人员不足、工期滞后怎么办？增加设备和作业面，现场现金鼓励工人驱车行走在云茂高速沿线，多个施工点不断响起挖掘机、打桩机、切割机的轰鸣声。在排步特大桥施工现场，李洪江介绍，以往连续刚构12只挂篮就可以满足条件，现在为了抢回失去的工期，项目再增加12套，左右幅同时施工，同时再增加班组人员60人保证完成施工任务。出台激励措施，每个节段提前1天对每个工人现场现金奖励。同时项目根据实际情况调整施工计划，做好科学排班，优化配置施工资源，减少对工期的耽误。广东省交通集团在建的云茂高速公路，是广东省高速公路网规划的“九纵线”罗阳高速公路与“十纵线”包茂国家高速公路的联络线，地处我省重要扶贫脱困的粤西北偏远山区，是省委、省政府关于加快县域经济发展、加快山区发展、促进粤东、粤西、粤北地区发展、推动产业和劳动力“双转移”重要部署的项目。主线全长约130公里，于2016年12月开工建设。http://t.cn/A67NgU6A
这个橘子是你的吗,:🍊橘子减肥日记🍊Day3【1】美丽芭蕾天鹅臂1组15min√【2】美丽芭蕾瘦腿1组15min√【3】马甲线腹部训练2组10min√【4】有氧运动慢跑30min√记录：运动前后都要做好拉伸，所有训练动作全程要收腹，闭紧嘴巴用腹部呼吸。坚持。(天鹅臂简直了，我要累死了，这才第3天，什么时候能有效果呀
爱信阳,:【湖北减灾办：#湖北3月极端天气增多##严防极端天气导致疫情回头#】近日，湖北省减灾委员会办公室印发《2020年3月份湖北省自然灾害风险形势分析报告》，经过省应急管理厅、省减灾委员会办公室会同省水利厅、省交通厅等部门专事会商，综合判断，与常年同期相比，今年3月湖北气温偏高且变幅大，雷电、大风、阵雨等强对流气象情况较多，易出现倒春寒、暴雨冰雹、大雾厚霾等灾害性天气，对抗击疫情和生产生活都带来诸多的不利因素。进入仲春时节，各种病毒和有害细菌也会更加活跃，这对全省业已紧绷的防疫工作和超负荷运转的医疗体系带来挑战。一方面，高温高湿环境有可能加大病毒和细菌的滋生和传播。今年3月，较常年全省气温偏高1～2℃、降水量偏多1～3成，且降水多以阵雨的形式集中出现，气温偏暧、湿气偏重的环境不利于抑制病毒和细菌。另一方面，冷暖不定的气象条件极易诱发各类春季流行疾病。预计3月主要冷空气及降水过程集中在7～8日、14～15日、17～18日、20～22日、25～26日五个阶段，其中，17～18日、25～26日会伴有短时大风，中下旬中可能出现“倒春寒”。在忽冷忽热、大风大雨的天气条件下，人们更易感冒发烧，极易诱发各类春季流行疾病。有关部门提供，湖北省各地特别是武汉及周边地区务必抓细抓实抓早各项防范措施，严防疫情回头和其它春季流行病的发生。一要指导社会公众做好防潮保暖的工作，利用晴好天气加强室内通风，阻断各类流行疾病诱发因素；二要强化消毒隔离工作；三要加大物资储备力度，尤其是消毒消炎物资及预防各类流感等春季易发病药材配给量，早防早治其它流行性疾病；四是做好医护人员的防护，特别是援鄂医护人员着衣调配，防止出现医护人员感染或生病的情况。（人民日报记者范昊天）#信阳生活#http://t.cn/RJydydJ
盐城发布,:【江苏省中小学春季学期开学工作指引20条（附开学入校园流程图）】为认真落实省委省政府和教育部有关工作要求，全力做好中小学（含中职学校、特教学校、幼儿园）返校开学期间的疫情防控和开学工作，切实保障师生身体健康和生命安全，确保我省中小学春季学期安全顺利开学，省新型冠状病毒感染肺炎疫情防控工作领导小组学校防控组制定《江苏省中小学2020年春季学期开学工作指引》，其中要点小编带您一起看http://t.cn/A67Ndr9a
温江服务,:【全国总工会：企业应#按正常标准向在家上班的职工发工资#】全总下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》。其中要求，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资；对受疫情防控措施影响不能提供正常劳动的职工，依法督促所在企业不得在疫情防控期间解除劳动合同或退回被派遣劳动者。http://t.cn/A67CDVcw（人民网）
商洛高速交警,:#工作动态#3月3日下午，高交大队西商中队召开工作会议，各分管领导、部门负责人参加。中队长张军主持会议。会议传达3日上午交警总队电视电话会议精神及支队、大队关于复工防疫期间交通安全管理工作的要求，并就近期疫情防控和重点道路交通管理工作进行了安排部署。中队长张军要求全体民警要明确目标任务、紧盯工作重点、提升方法措施，确保各项工作扎扎实实开展。会议要求，一、提高思想认识。要在确保复工复产交通秩序畅通的同时，疫情防控工作仍然不能松懈，进一步提高思想认识，压紧工作责任，狠抓工作落实，全力以赴做好道路交通事故预防工作。二、强化路面管控，加大辖区巡逻管控力度，做好重点路段、重点时段道路巡查工作；加大违法停车、违法占用应急车道、不按规定车道行驶等重点违法行为的查处力度，坚决杜绝重特大道路交通事故发生。三、强化宣传提示。要充分利用各类媒体，发布路况信息，开辟交通安全宣传工作新途径，不断提升驾驶人的交通安全意识。四、加强安全防护。全体执勤民警要做好自身安全防护，在执勤执法过程中必须佩戴口罩、手套，加强消毒，同时要做到规范执法、文明执勤。@商洛发布@商洛交警
凤凰网财经,:【#神农架发生野猪非洲猪瘟疫情#，共发现死亡野猪7头】3月3日，农业农村部接到中国动物疫病预防控制中心报告，经湖北省动物疫病预防控制中心确诊，神农架林区阳日镇、松柏镇发生野猪非洲猪瘟疫情，共发现死亡野猪7头。疫情发生后，当地已开展疫情处置和流行病学调查工作，按照要求启动应急响应机制，对病死野猪进行无害化处理、消毒等处置措施，加强对当地野猪巡查，严格限制附近家猪放养，对周边所有生猪养殖户进行排查和全面消毒，并做好疫情评估等相关工作。http://t.cn/A67NnmhF
谁解期中味_期货刚哥,:20200303复盘总结及持仓报告。今日市场整体高开低走，近期行情比较反复，需要谨慎对待，商品期货方面，今日主要入场空单，原油冲高回落，早盘及时入场燃油空单，小幅盈利，谨慎持有，橡胶高开低走，开盘加仓空单，继续持有，白糖下跌，盘中参与空单，隔夜持有，黑色震荡整理，早盘参与焦炭空单，继续持有，陆续开仓螺卷矿空单，做好保护，谨慎持有。股指期货方面，今日IF高开低走，早盘止盈多单，暂时空仓观望。（特别声明：以下仅为个人交易记录展示，供大家参考，不构成入场依据，不存在任何误导成分，据此入市，风险自负！）
T听见雨,:晚上聊到婚恋话题，突然想法漫天了一下：24岁像是一个坎，开始要成人的考虑一些东西了。但是我做好准备了吗？不，没有。恍恍惚惚就从18岁走到了今天，可是除了年岁的增长，我还收获或者失去了什么呢？我好像和当初没有出走家乡的那个小女生一样，还是会觉得未来有无限可能。所以我不甘于迈入人生另一个阶段—成家。可是看看我这一身，我有什么可以追求自由呢？想的比做得多，还是这个问题!爱情，一个美好的词。牵扯到婚姻，就变得柴米油盐烟火气了。我没办法说我可以，我、不相信。对别人理所当然的事，到我这为何如此拧巴了呢！综上，
扬尼斯-阿德托昆博-中文网,:谈到比赛第三节邓肯-罗宾逊连续命中三分帮助热火打出10-1小高潮拉开分差，阿德托昆博表示：“罗宾逊的两记底角三分非常关键，很要命。我们努力打出一波追赶的势头，但是被他浇灭了。我们在第三节努力打出好的表现，不断转移球，在场上创造空间，但他命中这些三分球，真的很伤士气。”记者问到在季后赛中可能跟热火的交手，阿德托昆博说：“他们一定会整场48分钟都很拼，不管他们是命中还是投丢。今天，他们命中了18记三分球。如果我们在季后赛中遇到他们的话——当然这是1个半月之后的情况了——我想我们会做好准备、严阵以待。”#nba吐槽大会##字母哥阿德托昆博[超话]#
贵州综合广播,:#946快讯#【贵州高速公路第一长遂——桐梓隧道有序复工】3月2日，在兰海高速重庆至遵义段扩容工程桐梓隧道施工现场，工人们正在进行隧道开挖等作业，一派繁忙而有序的施工场景。桐梓隧道是兰海高速重遵扩容工程最长的一座隧道，也是贵州省内高速公路第一长隧道。该隧道起于桐梓县楚米镇，止于马鬃苗族乡，全长约10.5公里。兰海高速重遵扩容项目8标承担了桐梓隧道出口段4.5公里施工任务。受疫情的影响，该隧道复工时间延迟了近20天，为了抢抓工期，施工方通过就近调配人力资源、24小时不间断作业等方式，补齐施工进度。中交集团一公局桐梓隧道8标项目安全总监逯啟凯在接受记者采访时表示，该公司通过省内就近调剂内部人力资源，同时吸纳桐梓县内专业工人来解决人员短缺的问题。“目前本标段负责的主洞有三个作业面同时施工，每天可掘进8至9米，斜井建设全部完成，主洞开凿建设完成1.5公里。”逯啟凯说。桐梓县积极对境内在建高速项目统筹协调，兰海高速重遵扩容工程在桐梓境内13个标段已实现全部复工，预计2022年年底完工通车。桐梓县高速公路建设领导小组办公室征拆科科长王波告诉记者，从2月10日起，该县就对桐梓境内的在建高速公路项目的复工复产的协调服务工作进行了统筹安排和部署，通过网格化服务，进行任务分解、责任到人，全力以赴的做好高速公路项目的协调服务工作，把耽误的时间抢回来，把遭受的损失补回来。（桐梓县融媒体中心贵州综合广播张勤月）
著名品牌营销专家于斐,:【产品卖不好？效益差？只能怪你自己！你再不换脑市场就换人！】常有各地老板慕名来咨询——我们有好几款很不错的产品，研发上化了很多精力和财力，流行的营销招数和手段也用过，可上市三年，销路一直不好……请于老师给我们指指路……我告诉他——卖不好的最大问题：你还是“由内而外”的产品思维，不是“由外而内”的用户思维，失败的基因就此埋下了……一款卖得好的产品，一定是围绕精准定位和认知需求展开的，因为——一个完整意义上的产品，既包括核心产品（功能与性能），也包括外围产品（服务与配套），还包括外延产品（感觉与体验）。只有企业把产品与认知有效融合，自采UGC跟PGC相互结合，设计有吸引力的内容，让用户参与进来，只有当人们愿意——接受、分享甚至主动参与到创造中来才有价值。你如果不善于在体验故事化上下功夫，通过错位经营——把消费者与产品的关联和体验，用生动故事表达出来……要想做好产品，根本没戏～
雪松随意行,:用生命佑护生命，为做好新型冠状病毒疫情防控工作，徐州市鼓楼区铜沛街道民馨园党委按照上级的统一部署，积极发挥基层党组织的战斗堡垒作用，组织带领党员、预备党员、入党积极分子全面做好疫情防控工作，为打赢疫情防控狙击战提供坚强的组织保障。在疫情防控工作中巩固拓展“不忘初心、牢记使命”主题教育成果，以坚守岗位、靠前指挥，做到守土有责、守土担责、守土尽责的使命和担当，为人民群众生命健康保驾护航。“白纸、黑字、红手印；热血、笃定、绝无悔”满满的签名是疫情防控的“请战书”也是民馨园社区入党积极分子、预备党员和党员们的“军令状”。在疫情防控时，他们舍小家、为大家，勇挑重担、冲锋在前，全力投入疫情防控，以实际行动践行申请入党的初心。面对来势汹汹的疫情，他们落实落细疫情防控工作措施，联合小区网格员设卡排查外来车辆，分组开展巡逻防控，在小区出入口进行车辆、人员排查登记、监测体温，做到全覆盖、无死角，确保“不漏一户，不漏一人”，为打赢疫情防控阻击战贡献自己的力量！#带着微博去旅行##战疫打卡行动#
沙沙砂锅,:大家这些年一直提倡不要过早用药自身抗什么的不然....你说如果这些年大家都用药“过度”比如感觉自己稍微感冒症状了就康泰克或者白加黑配连花清瘟配抗生素一把子先药喝三天。那么这次的事情会不会另外一个结果？这次的事情结果这么严重我瞎感觉是不是重要原因及时治疗跟不上轻的可以自己搞的没法自己隔离保证只能都住院然后地方占没有了，真正需要住院的却....啥事都是利弊权衡的一个二面，“过度”吃药的坏处是抗药性增加，不“过度”的话是不是造成现在情况的原因之一？其实外界对我们的看法肯定非常多但是我们只听到了表扬称赞的那么几条其它到底有什么看法对还是不对由于大家不爱听所以兼听则明做不到。做好防护相信祖国共渡难关
辽阳日报,:【公告】为切实做好境外输入新冠肺炎疫情防控工作，特公告如下：凡从境外国家（地区）返（来）辽阳人员（特别是途经沈阳、大连之外国内其他城市转机、转车返回辽阳人员），要尽早向目的地所在村（社区）报告。报告内容：姓名、身份证号、家庭住址、返回时间、航班（车次）、经停地、电话号码等信息，以便属地政府采取健康监测和服务措施。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月3日
文明河西,:#众志成城抗击疫情#【大营门街：炽燃的心，护送你我平安前行】在这场突发疫情中，不畏艰险、赴汤蹈火在一线保护民众的街道干部和社区工作人员们，他们不妥协、不退缩、不抱怨，正是这样用自己火热的责任感抚平恐慌，用自己炽燃的生命力驱散黑暗，以大无畏的勇敢和乐观护送你我奔向平稳与安然。他们信念坚定，恪尽职守，在各个小区出入口处一遍遍排查过往居民的通行证和体温，做好登记事项，不厌其烦地向大家科普宣传面对疫情的自我保护措施和注意情况，鼓舞着感染着辖区内每一位民众，使疫情防控工作有序推进，严格落实，不断向着越来越好的势态前进发展。
苏州工业园区湖西社工委,:【苏州中心广场社区推行“一楼一策”实施精细化防疫】近日，苏州工业园区疾控中心工作组来到苏州中心8号楼检测，因其特殊的新风系统（共用一个出风口与进风口），最终建议该住宅楼不适合居家隔离。因此，社区书记杨璿带领工作人员以及志愿者上门通知居民，并做好解释沟通，劝服数个韩日返苏居民在酒店观察后再返回小区。苏州中心广场社区针对不同物业形态采取不同的防疫策略，“一楼一策”，精准、精细落实疫情防控措施，保障居民安全。
空白格幺幺柒,:【今日觉悟】他人事少参和做好自己管好自己不要没事到处瞎晃悠
永州网警巡查执法,:【警惕骗子借“网课”实施诈骗】#小学生因调错台上高中化学课#引热议。学生使用手机上网课时，家长应做好监督，灌输反诈防骗意识，建议家长尽量不让孩子知道手机转账支付密码；不让孩子使用有银行卡捆绑微信、支付宝的智能手机上网课。如发现被骗，请立即报警！
曢望点滴,:我在看：【湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备】#跟新浪看热点#湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备
双流区规划和自然资源局,【出门买买买，该如何做好防护？
名城早报,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。@人民日报http://t.cn/A67C3gKi
刘丽_46688,:[精选]全国总工会：企业应按正常标准向在家上班的职工发放工...。查看👉👉👉http://t.cn/A67NzvXz记者从中华全国总工会了解到，全总下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》，要求各级工会组织进一步做好疫情防控期间支持企业安全有序复工复产和维护职工合法权益、http://t.cn/A67NzvXz
南阳交通运输局,:【市交通运输执法局全办做好疫情防控期间客运市场打非治违工作】当前疫情防控正处于关键阶段，针对务工人员返岗返程期间，一些“黑出租”、客车非法营运行为有所抬头的现象，市交通运输执法局提早安排部署，合理调配执法力量，在持续做好疫情防控和服务复工复产的同时，全力开展打非治违专项行动，严格防范疫情通过客车传播扩散。一是做到宣传引领。市交通运输执法局通过微信公众号、媒体客户端向广大市民发出《抗击疫情，拒乘“黑车”》一封信，讲明非法营运危害性，倡议自觉抵制黑车，鼓励举报违法行为。各单位采取悬挂横幅标语、发放宣传单、设置提示牌、出动宣传车等多种形式，在高速口、火车站、高铁站和飞机场等人员返程较为集中的区域开展集中宣传，为治理工作营造良好的舆论氛围。二是强化源头管理。为保障务工人员乘坐合规包车安全返岗，交通执法机构加强对辖区客运企业的宣传教育，对营运车辆停驶情况以及农民工返岗复工包车运行情况进行摸底调查，并积极协调乡镇政府做好农民工返岗服务车辆的源头管理工作，确保农民工集体返岗复工交通运输安全、有序、及时、顺畅。唐河县向客运企业下发《关于疫情防控期间营运车辆经营行为通知书》，督促落实疫情防控措施、包车客运管理规定；方城县执法局向各乡镇政府送达《关于做好疫情防控期间外出务工人员交通运输保障工作的函》，提示使用合法的客运车辆运送农民工返程，着力从源头上防范和减少违法行为的发生。三是实施严密布控。各级交通执法机构合理分配执法力量，做到疫情防控和打非治违两手抓、两不误。采取疫情防控卡点24小时执勤查验和专职客运执法人员流动巡查相结合的方法，分工协作，严密布控，开展非法营运车辆专项整治。针对南阳火车站区域作为全市务工人员重要换乘中转站，市执法局、卧龙区执法局两级联动，调配26名执法人员、5台执法车辆组成联合执法队伍，实行统一指挥管理，24小时轮班值守，加大对该区域“黑出租”、“黑客车”的执法检查力度。截止目前，全市交通执法机构累计查处违法违规车辆26台次。四是加大惩处力度。市执法局建立与公安部门协查机制，利用防控卡点车辆人员信息查验及时发现案件线索，累计查扣涉嫌非法营运等车辆15台，公安部门对其中违反疫情防控相关规定的驾驶员，视情节分别处以警告、罚款、行政拘留的治安处罚。方城县执法局对执法检查中发现的一台非法从事包车经营的“黑客车”，依法开出3万元的大罚单。在严格执法的同时，注重帮助群众排忧解难，在查扣非法营运车辆时，为避免造成乘客滞留，执法人员及时调配车辆将人员送往车站，主动提供免费就餐、规划返程方案等服务，助力返岗复工人员安全顺利出行，人性化执法获得了群众的好评。下一步，全市各级交通运输执法机构将继续加大执法力度，严厉打击借疫情之机违法运输等扰乱运输市场秩序的行为，努力为复工复产创造良好的交通运输环境。（局办公室侯辛）
中国网财经,:【工信部：#鼓励推出特惠流量包##减轻困难学生网费压力#】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》(以下简称《通知》)。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67Nzv4R
钦北普法,#复工防护指南##面对新型肺炎这样保护自己#【出门买买买，该如何做好防护？
贵州日报官微,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。@人民日报http://t.cn/A67NvF2i
互联网投资人,:中华全国总工会下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》。《通知》要求，要切实维护职工合法权益。要监督企业履行依法隔离期、医疗期职工工资支付义务，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。（人民日报）
财经网,:【#工信部鼓励对贫困家庭学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67Nzah7
平心而论SPACE,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
平凉网警巡查执法,【#疫情期间去商场超市如何做好防护#？】防疫期间去商场超市选购生活物资时，应该做好哪些防护措施？专家给出四点建议。👇#将战疫进行到底##决战新冠疫情#小央视频的秒拍视频
星宇星辰mty,#全民洗手舞#@腾讯微视@腾讯视频一起“手”护健康，科学洗手防疫哦～，你们的爱豆来啦@袁姗姗@馬天宇@THEO-朱正廷@刘芮麟Wayne@黄圣依@胡兵@鲍春来@孙耀琦，这阵容也太可了吧~快和爱豆们学起来！
武汉晚报,:【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
环球网,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKi
银海宣传,:#复工复产#2月27日，银海区委常委、区纪委书记、区监委主任庞唐声带队到北海二建洪业混凝土有限公司等企业开展走访慰问工作，了解企业是否如期复工复产、是否做好防疫措施、有何困难需求等，并督促协调相关职能部门跟踪做好保障服务工作。他指出，复工复产关乎经济社会大局稳定，要统筹推进疫情防控和经济社会发展工作，督促扎紧防控篱笆，确保疫情防控有力有效、复工复产有序有力。
珍惜love天使,:我在看：【湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备】#跟新浪看热点#湖北回应首家方舱医院休舱：积极变化，但还要做好打硬仗的充分准备
chrismasting,:记住曾国藩的四句话，放下没必要的焦虑和担忧，踏踏实实做好当下～物来顺应：事情来了，就要去顺应和面对。未来不迎：还没有发生的事情，不要过分的忧。当时不杂：专注做好当下的事情。既过不恋：已经过去的事情，就不要再去留恋。
荣程集团,:荣程公寓现有住宿员工及家属1800余名，是荣程外地住宿职工集中居住的场所，人员密集、流动性大。做好公寓疫情防控特别是节后返岗职工的疫情排查，对荣程集团的疫情防控全局起着至关重要的作用。『【今日荣程】荣程公寓：把好宿舍安全关，全力守护荣程家人健康』【今日荣程】荣程公寓：把好宿舍安全关，全力守护荣程家人健康
成都全搜索新闻网,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。（人民日报）
江boy文案馆,:你想做好一件事，最重要的就是:做完一天，记得再做第二天。
Freya--丰,:人生所有的努力，无非两种结果，见笑或者见效🙈做好迎接前者的准备，做好遇见后者的从容💪#qihuikitty#
不想和蠢比做朋友,#肖战#【肖战治愈向心路历程】苦与乐|弹指间|就算千里是烽烟我相信一切会峰回路转@X玖少年团肖战DAYTOY肖战，与自己对话，与所有爱他的人对话。把自己放到最低，努力做好每一件事。沉淀是为了等待起飞，逆风飞翔更坚韧。做好自己的事，等待春暖花开。我没什么能帮你，只能做点力所能及的小事，希望寻梦少年可以平安快乐，越来越好。我们也会努力成长，与你同在。#向全世界安利肖战##正能量偶像肖战##虾圈剪刀手计划1005##fanstube#http://t.cn/A67CGTaI
正义南康,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
长江日报,:【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
中国新闻网,:【全国总工会：#企业职工在家上班照常发工资#】#关注新冠肺炎#全国总工会办公厅日前下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。高度关注特殊时期女职工权益问题，结合实际安排孕期、哺乳期女职工居家远程办公、灵活安排休假及工作时间。（李金磊）
绵丁Er,:#真果粒#xz#肖战#真假得失自有定论，是非功过沸反盈天。做好自己，清者自清希望所有人都能被温柔以待
