瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
骨科小曾医生,:如何快速治落枕？？想要快速治落枕可选择针灸治疗。通常可以在手部落枕穴进行针刺治疗，并且针刺的时候提、插、捻、转一定要力量大，刺激强，之后就会明显的感觉症状减轻。落枕穴是位于手背部在第二掌指关节与第三掌指关节之间的凹陷处，这个部位用手按压的时候感觉到有明显的酸胀感，在针刺大约2-3分钟的时候，疼痛感会明显的减轻，然后留针10-15分钟的时间。一般10分疼的落枕大约剩下2-3分疼，然后回家之后可以用热水袋进行热敷。病情严重必要时可口服消炎止痛药，常用的有布洛芬，可以改善局部的炎症情况，减轻炎性水肿，减轻疼痛感，并且一定要注意保暖，不能出现受凉，否则会导致症状进一步加重。
智慧长阳,:【为什么有的新冠患者症状轻？有的症状重？专家解释其中原因】#新型冠状病毒##抗击新型肺炎我们在行动#BTV科教频道的微博视频
成华应急,隔离这么久返工，我发现身体有了奇妙的变化...@蔚来和我们聊聊一些“返工不耐受综合症”，从这条微博的转发粉丝中抽取5位送上【车模+小咖杯+背包】NIOLife精品组合。抽奖详情
广思敏学,:#罗马教皇新冠病毒检测呈阴性#普通感冒、流感都会有咳嗽打喷嚏的症状，一定要区分开，既不要防护过当，也不能掉以轻心。
徐先明医生,:#育儿专家说##孕期知识#【早孕反应有哪些？】1、孕吐：食欲不振，胃口大变，厌油呕吐等一系列症状孕吐是孕妈妈最熟悉的早孕反应，多数妈妈在孕6周~12周左右会有恶心反胃感觉，个别孕妇会延迟至16~18周。孕吐并不仅发生在早上，尤其是孕吐反应比较大的孕妇，如果出现了反复、持续性的剧吐，可能需要去医院就诊。2、胃胀气怀孕激素会影响到肠胃功能，很多妈妈会发生胃胀气，这也是早孕反应的一种。胃部胀气的妈妈可以选择少食多餐，避开不易消化的食物；运动也是缓解胃部不合适的好方法。3、打嗝打嗝是少数妈妈孕早期会出现的状况，不会影响到宝宝。4、头晕、乏力刚怀孕的妈妈由于身体激素改变等原因，身体需要重新达到一个平衡，短时间会出现头晕、乏力、睡不醒、焦躁等反应，孕妈妈不用担心，平时要注意休息，并且调整好心情，迎接新生命的到来。
闲逛nn,:🌼减肥科普第四种：疲劳性(压力型)肥胖症状辨别：心情烦躁时会出现食欲旺盛、头痛、眼晴充血等症状，比如女性会通过狂吃甜食或暴饮暴食来缓解压力等。重庆
闲逛nn,:🌼减肥科普第三种：贫血型肥胖症状辨别：筼血型肥胖的人食欲正常但小腹饱满突出，手脚细但身上胖这类肥胖人群可以说是“隐藏的胖子重庆
蔡甸之音,:#健康蔡甸#人民健康第一位，传染病法来守卫。防疫关乎你我他，体温监测严排查。若有症状要上报，听从医嘱早康复。全力配合做贡献，拒不配合法必严。（省新冠肺炎防控指挥部）
武汉身边事,:#抗击新冠肺炎武汉在行动#【湖北省中医院成定点医院服务#滞留在武昌外地非新冠肺炎人员就医用药#】为解决疫情防控期间滞留在汉外地人员的就医需求，日前武汉市武昌区疫情防控指挥部与湖北省中医院协商，将该院花园山院区定为服务滞留在武昌外地人员非新冠肺炎就医用药的定点医院，为符合条件的人员提供免费的医疗服务以及住院期间必要的生活保障。该院院长何绍斌介绍，3月1日，接到武昌区疫情防控指挥部的请求后，医院立刻组织制定接收滞留在武昌外地人员非新冠肺炎患者就诊的相关制度和流程，做好必要的防护和接收准备，力争全力救治这部分病人并将感染风险降到最低。3月1日起，该院花园山院区正式成为服务滞留在武昌外地人员非新冠肺炎就医用药的定点医院。据悉，这部分患者要入院必须持武昌区卫生健康委滞留人员转诊单方能入院，预检分诊排查体温后进入绿色通道，如果有发热或者新冠肺炎症状的患者即被送到发热门诊就诊，如果没有发热即到急诊科和普通门诊就诊，经过必要筛查后到综合缓冲病区诊治观察，如无需住院可在门诊开药，慢病可延长处方12周，如果结果异常则到定点医院就诊。综合观察评估不是新冠肺炎的则再进行必要检测，确认不是新冠肺炎后到普通病房治疗。这也是该院实施的“两筛查一过渡”举措的一部分。按照要求，滞留人员就医全免费，住院期间的生活保障、急危重症病人护理工作均由医院组织实施，所需费用由武昌区卫健局核定结算。（湖北之声）
临澧公安,:【
北京顺义健康教育,:#新冠病毒肺炎防控知识#建设项目复工管理和施工现场疫情防控工作指引三、劳务人员保障（一）有组织地招录劳务人员1.各施工总承包企业在工程复工前应制定详细的用工计划，包括返京时间、工程量、用工人数、来源地等信息。招录劳务人员要做到“三不准”：不准私招乱雇使用零散工和无健康信息的劳务人员；不准在项目之间无组织调配使用劳务人员，最大限度减少施工项目之间人员流动；不准使用按照市政府有关规定需要隔离观察的劳务人员。2.各施工总承包企业要严格按照“外防输入、内防扩散”的要求，加强对进京劳务人员的源头管控，从出发地、源头介入监测，督促各分包企业（劳务和专业分包人员）从出发地、源头介入监测。在当地进行体温检查，每天调度拟返场人员健康情况并填写个人健康信息。提前监测时间不少于14天，填写个人健康信息，没有健康信息的劳务人员不得录用。（二）“点对点”组织运送劳务人员返京3.各施工总承包企业应制定详细的运送计划，包括出发地、人员数量、花名册、负责人姓名及联系方式，做好劳务人员运输途中的防疫和生活保障工作。4.劳务人员如因本省市疫情防控要求造成出行困难的，可向住房城乡建设主管部门申请协调各省驻京建管处与本省相关部门沟通，对拟返京劳务人员准予放行。5.必须采取专车或包车的方式“点对点”运送劳务人员有序返京，采用公路方式运送的，在集中运送起点和终点都必须进行体温检查，运送过程中要戴好防护用品并坚持封闭式管理。如有困难需要协调的，可将相关信息报市住房城乡建设委帮助予以协调，包括车辆号牌、人员数量、途径省市。市住房城乡建设委协调由市交通委出具人员运输通行证，并向沿途各检查站通报相关情况，对返京劳务人员所乘坐的车辆予以放行。6.路途较远、成建制的或人员相对集中的劳务队伍返京，采用铁路方式运送的，在集中运送起点和终点都必须进行体温检查，运送过程中要戴好防护用品并坚持封闭式管理。如有困难需要协调的，可将相关信息报市住房城乡建设委帮助予以协调，包括返京时间、出发地、人员数量。市住房城乡建设委协调由铁路总公司统筹安排返京车次及运送方案。7.各施工总承包企业直接或委托劳务企业指派专人负责相关地区劳务人员的集中管理及运输保障工作。8.返京运送途中实施集中管理，由专人负责交通工具消毒、通风及人员防护等工作，定时测量体温，进行防疫宣传教育。（三）有组织地管理劳务人员进场9.劳务人员到京后，由施工总承包企业组织包车直接运送至施工现场。10.施工现场应在工地入口设立健康观察点，严格对到京劳务人员逐一进行防疫排查并做好记录。排查内容包括身体状况，是否有武汉接触史、是否在自隔离期间有过感冒发烧等不适症状。对出现发热、乏力、干咳等症状的，须立即报告属地社区（村），并协助其到就近的医疗卫生机构发热门诊就诊。11.新进场人员须在施工现场和生活区做好体温监测等观察措施，原则上不得离开现场，因故确需离开的，由施工总承包单位报告属地社区（村）。医学观察期间可以组织安全教育、防疫教育、从事施工生产等活动。12.严格落实《北京市施工现场人员实名制管理办法》的有关规定，对所有进场人员进行实名制登记。13.生活区远离施工现场的工程项目，要组织租用专车接送劳务人员。确有困难的，必须佩戴口罩或采取其它防护措施，防止交叉感染。
济南日报,:#山东疫情#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。
滁州市人民政府发布,:#滁州新型冠状病毒肺炎最新情况#【企业复工这些知识你要知道】复工之后，售货员、地铁的工作者、媒体人员等特殊人群，可能面对的风险要比普通群众更高一点，对于这样的人群来说，有没有什么特别需要注意的地方？广大环卫工人、公交车司乘人员、出租车司机、地铁、机场，包括海关的安检检疫人员、售货员、餐厅服务人员、武警、交警、安保人员，还有媒体记者和快递人员等等，这些都是日常接触人员比较多，感染风险要比普通人群更大一些，所以要更重视新型冠状病毒感染的防护工作，要准备好口罩这些防护用品和消毒用品，并做好日常清洁和消毒。工作期间要注意个人防护，在岗期间要规范佩戴口罩，口罩在变形、弄湿、弄脏之后会导致防护性能下降，要及时更换。同时要注意手卫生，平常用洗手液和流水洗手，每天至少两次测量体温，一般情况下不必穿戴防护服或者防护面罩这些防护用品。如果出现发热、咳嗽、呼吸困难、腹泻、呕吐、肌肉酸痛等症状，应该立即停止工作，不能带病上岗，应及时就医。企业复工后，企业在岗员工应如何防护？在食堂就餐时，不得不摘掉口罩，这时候应该怎么办？第一，企业员工应佩戴符合要求的一次性使用医用口罩；特别是人比较多的办公场所。在存在化学毒物和/或粉尘的作业场所作业时，员工应根据接触浓度佩戴相应的防毒/防尘口罩或面罩，当口罩发生损坏或阻力明显增加时应立即更换。在佩戴口罩前和摘下口罩后应首先洗手。第二，员工在进入办公场所、车间前要筛查体温和健康状况。第三，保证洗手设施正常，员工进入办公区域、车间、宿舍应先洗手。保持通风，每2-4小时开窗通风一次，每次20-30分钟，人员较多的办公室，可适当增加开窗通风次数。第四，用餐应尽量采取错峰就餐，避免聚集，落座间隔应保持1米以上，有条件可以使用分餐制。
日本医疗咨询中心,:日本神奈川县医院的报告说，对3名确诊新冠患者使用了一种叫ciclesonide治疗哮喘的药物，患者之后症状有改善并出院。厚生劳动省说，“要密切关注是否有疗效，但没有特效药的情况下这算是个好消息”。环索奈德（ciclesonide，Alvesco）是由德国赛诺菲-安万特和阿尔塔那制药公司开发的一种可定位活化、吸入用新一代皮质类固醇抗哮喘药，临床上主要用于治疗成人及4岁以上儿童和青少年不同程度的哮喘以及过敏性鼻炎。该药于2004年12月15日在澳大利亚获得首次批准。环索奈德是一种具有高效局部抗炎作用的糖皮质激素，能增强内皮细胞、平滑肌细胞和溶酶体膜的稳定性，抑制免疫反应，降低抗体合成，使组胺等变态反应活性介质的释放减少、活性降低，并能减轻抗原抗体结合时激发的酶促过程，抑制支气管收缩物质的合成和释放。
鹤城晚报,:关于统筹做好龙沙区建华区铁锋区居民小区封闭管控的通知北三区应对新冠病毒感染肺炎疫情工作领导小组指挥部及相关单位：为深入贯彻落实中央、省委、市委关于统筹推进疫情防控和经济社会发展工作要求，结合企业复工复产实际，进一步推动小区科学、精准、有效管控，现将有关要求通知如下：一、保持小区封闭不变继续保持小区整体封闭，加强巡查，及时修复破损的封闭设施。对破坏封闭设施的严肃处理。特大型小区可分区域封闭，每个封闭区域只设一个出入口。二、严格小区等级管理各区要严格依据卫生防疫部门意见，按照确诊疑似、密切接触人员及来齐返齐人员规模数量、发热症状等风险程度重新确定小区分类管控等级，新确定管控等级的小区，至少连续7天没有新发生确诊疑似病例或密切接触人员的，可以依次调整降低管控等级。原一、二类管控小区调整降低管控等级的小区，至少连续3天没有新发生确诊疑似病例或密切接触人员的，可以依次降级，直至调整为三类管控小区。三、调整小区管控标准一类管控小区按照70号文要求不变，二类管控小区调整为每户每3天1人次外出，三类管控小区调整为每户每2天1人次外出。取消小区居民外出不得超过两个小时的限制。居民不戴口罩的严禁出入小区。对小区出入口、单元门、电梯轿厢和重点部位消毒一类管控小区调整为1天1次，二类管控小区调整为2天1次，三类管控小区调整为3天1次。四、加强外来人员管理外地来齐人员禁止进入小区。对返齐人员在张贴封条、设置标识牌隔离的基础上，各区要充分发挥居民、社区、物业、志愿者作用，明确责任人，实施精准监管。七区九县（市）之间流动不需要隔离。五、抓好小区内部管控二、三类管控小区居民在小区内活动，必须佩戴口罩，保证安全距离。小区内严禁走亲访友，严禁聚餐。要防止居民特别是老人、儿童聚集，如发现有上述行为的及时劝阻。各区要广泛动员居民志愿者采取轮值方式参与消毒、值守、配送、巡逻等工作，实现小区居民自我服务、自我管理、自我运转。六、明确卡口值守标准一类、二类管控小区保持不变，三类管控小区由街道社区组织物业公司和居民志愿者负责值守，各区特别是值守人员要认真落实小区封控要求，严禁擅自提高降低管控标准。早七点至晚十点保证两人以上值守，其余时间可留一人应急值守。七、保障复工复产人员通行继续严格执行扫码登记，落实红、黄、黑人员名单制度，不得限制复产复工企业已推送至齐齐哈尔市疫情防控出入登记系统红名单人员出入小区。对跨小区流动人员，由工作地指挥部办理出入证，北三区通用。公安干警辅警、医疗人员出入小区也必须扫码登记。八、制定完善应急预案各区要进一步完善应急预案，明确措施，落实人员和责任，如发生突发疫情，迅速按照标准确定管控等级，立即实施严格管控。咨询电话：龙沙区：2336526建华区：2557806铁锋区：2188827齐齐哈尔市应对新冠病毒感染肺炎疫情工作领导小组指挥部办公室2020年3月3日
FARSEE华熙健康,:精子活力低下的危害，今天华熙国际健康给大家科普下：#泰国试管婴儿成功率##泰国试管婴儿生男孩#1.出现输精管堵塞。由于炎症、畸形等原因造成的精子活力低下会导致输精管、附睾管和射精管的堵塞。2.睾丸生精功能衰弱。精子活力低下常常导致睾丸的生精功能衰弱，甚至萎缩。3.影响受精。精子活力低下会影响到受精情况，大多受精困难，也存在轻度弱精症患者依旧可以完成受精的情况，但存在着后续风险。4.无法实现优生。精子活力低下者的精子质量存在问题，即使受孕成功了，也存在着弊端，无法真正意义上实现优生。5.对胎儿造成影响。弱精症患者的精子质量问题会导致受孕成功的孕妇在妊娠早期出现流产现象或胎儿不足月早产。6.造成男性后天因素失调。精子活力低下意味着睾丸无法产生精子或精子活力不足，从而导致男性出现脾胃虚弱、精血不足的症状。
nieuwfinder,:世界卫生组织和美国疾病控制与预防中心都不建议健康的人士戴口罩，而仅在1）自己咳嗽或打喷嚏或出现疑似症状；及2）需要照顾疑似感染者，但这两家机构均强调正确洗手的重要性。考虑到口罩在全球范围内都已是稀缺产品，在疫情并没有大规模扩散的地区依然强调必须戴口罩才能出门或复工是否加加剧了人们的担忧和社会的成本，况且到底有多少人是严格按照指引正确得佩戴和使用合格的口罩，而不是因为错误使用而导致效果大打折扣甚至完全无效？再退一步来看这个问题，我们是不是至少应该把洗手提高到同样的重视程度？参考资料：http://t.cn/A6h7fqMC及http://t.cn/A6PavnkQ
文登交通,:关于恢复部分公交线路的通告根据上级指示精神，并结合我区疫情防控指挥部的要求，为了保障厂矿企事业单位复工复产人员和市民出行。自3月4日起对城区部分主干线路恢复公交车辆运行，现将有关事项通知如下：一、恢复线路恢复城区K1、K2、1、2、4、8、11路七条公交线路，各线路共投入运营车辆数14辆，随车配备乘务人员一名。其余城区、城乡公交线路继续暂停运营。二、运营时间早班发车时间为07:30—08:30中午发车时间为11:00—12:30末班发车时间为16:30—17:30三、乘车须知1、为了自身健康安全，如非工作需要和特殊情况，请减少不必要的外出活动。2、乘客乘车时，听从公共交通工作人员的安排，做好个人防护。当有疑似或确诊病例出现时，听从工作人员的指令，及时自我隔离，听从安排进行排查检测，不可私自离开。如有发热症状，请不要选乘公交车等公共交通工具。3、乘坐公交车请全程正确佩戴口罩；不佩戴口罩的，驾驶员有权拒载。4、疫情管控期间，公交车辆实行限员乘车（10.5米车型限员35人，8.9米车型限员30人）。请自觉听从驾乘、站务人员的疏导指挥，做到依次有序乘车，保持距离。5、尽量使用移动支付、刷卡等非现金支付方式，自觉使用手机扫描二维码登记个人信息；无公交卡且无法扫码的乘客需出示身份证等有效证件，由工作人员予以登记信息。无法提供有效身份证明的，驾驶员有权拒载。6、根据疫情管控需要，公交车运行过程中暂不使用车载空调。疫情管控期间，公交线路和发车时间等随疫情管控需要实行动态调整，具体线路营运信息请咨询公交服务热线8081896或通过威海公交官方APP查询。威海市文登区交通运输局2020年3月3日@文登发布
九江乐活会,:#九江身边事#【九江市妇幼保健院儿童预防接种室有序恢复接种工作】3月3日，据九江市妇幼保健院消息，根据《国家卫生健康委办公厅关于加强疫情期间医疗服务管理满足群众基本就医需求的通知》（国卫办医函[2020]141号）和浔阳区疾控中心《关于浔阳区新型冠状病毒肺炎流行期间开展预防接种工作的指导意见》（浔疾控字[2020]5号）文件精神，为加强疫情期间医疗服务管理，满足群众预防接种需求，同时避免在医院发生新型冠状病毒传染，现将我院预防接种门诊开诊有关事宜公告如下：一、开诊时间：2020年2月27日起周一至周五上午：8:00-12:00下午：14:00-17:00二、疫情防控期间，预防接种采取电话预约方式进行分时段预防接种，接种咨询预约电话:0792-8552372三、为避免接种门诊人员密集，请您严格按照通知的预约时间来门诊部接种(工作人员提前通过短信或电话与您确认接种时间)，同时严格控制陪同人员，要求每个孩子只陪同1人，接种途中尽量不要乘坐公共交通，减少与人群的密切接触。四、所有进出人员都必须测量体温、戴口罩，并接受工作人员的指引安排。五、若您孩子及其家人有如下情形之一的，请如实告知并暂缓接种:1.新型冠状病毒感染者;2.近一个月内与新冠肺炎感染者、疑似病例及其密切接触者有接触史；3.近一个月内去过武汉及周边地区；4.近14天内受种者接触的家庭成员中有发热、咳嗽等呼吸道症状的。为了您和他人的健康安全，我院全体员工尽可能为您提供安全、温馨的服务。如以上措施给您带来不便，敬请谅解！期待您的理解、支持与配合！
老司机的好伴侣,:艾力达虽然作为第三代产品，艾力达只能说比希爱力双效那些小一些，因为希爱力双效小龙也用过，希爱力双效服用后出现了面红，口干，的症状，一小时后消失，艾力达双效服用后出现了轻微鼻塞，半小时左右消失，由此可见艾力达双效的副作用要小上很多，但是也不能过量服用，问过医学相关的朋友，一天最多一片，一周最多三次
星相法师,:鼻梁起节也是一种病理特征，用笔圈出的部分，在相学里是疾厄宫，此处有凸起，说明肝胆代谢系统有毛病，一般这样的人个性偏执倔强，脾气很大，容易发火，而且在43岁有一道坎。纠其原因是生病了，自己控制不住自己的火气，偶尔出现眼干眼涩，视力下降，情绪波动大，一喝酒就脸红或是现在喝酒没有以前能喝了等等，都是肝胆出现亚健康的症状。性格脾气与面相相辅相成，古语常说有相无心，相由心灭，一方面控制脾气（少发火），与人相处乐观心态，另一方面多注意饮食以清淡为主，时间久了鼻梁就不起节了，而那一道坎也就被自己的心境化解了。#看相算命手相面相八字命理##十二星座运势#（#面相[超话]##命理[超话]#）
BB保险,:【BB保科普】“医疗险的注意事项”1.免赔额大病医疗险免赔额度大多为5000元-1万元。与之互补的是低保额（1万元）产品，不设置免赔额。2.免责条款不在保险责任范围内的项目。比如既往症、特定疾病或症状（遗传病、传染病等）、违法犯罪或故意行为、非疾病手术（整形、牙科）等等。3.就医范围医院一般为二级及以上公立医院或保险公司认可的定点医院，极少数涉及私立医院或昂贵医院。不能报销的医院有：疗养院、老人院、康复中心民营性质医院等。4.家庭/团购优惠被保险人的家庭/集体成员若与同时参保，且投保人数在2-3人及以上时，可享受家庭/集体费率。家庭/集体费率一般低于单人投保费率。5.增值服务在商业大病医疗险的宣传页或销售界面，会显示含有一些增值服务项目，比如就医绿色通道和医疗费用垫付/直付等。就医绿色通道：医院的专家为患者开通的绿色就医通道，使医疗过程更加便捷、高效。其主要服务包括特需挂号、特约门诊、预约手术、预约床位、家庭医生、随访等。医疗费用垫付及直付：为缓解患者及其家属的资金压力，由保险公司先行垫付/结算医疗费用，而后再提交理赔手续。除此之外，部分产品还涵盖某些特色服务，如家庭健康管理服务、术后护理服务、肿瘤特药服务、海外就医等。
阜新共青团,:#新冠肺炎最新动态#【丹东新增3例确诊病例，行程轨迹公布】广大市民朋友：3月3日，根据国家《新型冠状病毒肺炎诊疗方案（试行第六版）》，经省专家组确认，我市新增3例新冠肺炎确诊病例，其中2例为普通型，1例为轻型。截至3月2日24时，丹东市累计报告新冠肺炎确诊病例为11例，其中治愈出院7例，1例在省集中救治大连中心治疗，已由重型转为普通型；另3例在丹东定点医院住院治疗，病情稳定。一、确诊病例情况及行程轨迹确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时江边散步，15时回家无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某、宋某某一家三口有密切接触人员，请在上述过程中与此三人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
衢州大小事,:【3月3日衢州市新冠肺炎疫情通报】2020年3月2日0-24时，衢州市报告无新增新冠肺炎确诊病例。截至2020年3月2日24时，衢州市累计报告新冠肺炎确诊病例14例，累计出院12例，无重症病例。确诊病例中：柯城区2例、衢江区3例、江山市6例、常山县3例。出院病例中：柯城2例、衢江区1例、江山市6例、常山县3例。全市共追踪到密切接触者870人，已解除医学隔离观察846人，目前尚有24人正在接受医学隔离观察。专家提醒，目前仍处呼吸道传染病高发季节，居家和公共场所要保持室内空气流通。公众要勤洗手，戴口罩，少扎堆，不聚集。复工复产后，及时报告外出接触史，不要带病上班，如有发热、呼吸道感染症状，特别是持续发热不退，要及时到医疗机构发热门诊就诊。http://t.cn/R2WxO60
石家庄新闻广播,:【#南京一家11人感染#“无症状感染者”能防得住吗？】2月28日，《柳叶刀》杂志一篇通讯指出，江苏南京一名“无症状感染者”导致一起涉及11人的家族传播病例。专家表示，随着对新冠肺炎研究和治疗工作的不断推进，可以结合大数据等手段，多次排查，对可能的无症状感染者进行定位，同时结合血检等，来确定无症状感染者。http://t.cn/A679CKFI@小央视频
段郎说事,:【44名痊愈者26人复阳，#专家建议出院标准要严#，上海要查肛拭子】最近，成都、武汉与广东等多地出现了出院患者复检呈阳性的情况，其中广东14%的出院患者都存在复检阳性现象。武汉大学人民医院呼吸与危重症医学科副主任医师、副教授张旃日前表示：“我们的出院标准太宽了！”2月24日，张旃发文称，“我们在患者（本院医护人员组成）的配合下，将符合国家指南出院标准的患者共18人延迟出院，继续复查咽拭子核酸共至5次，发现13名患者第三次出现阳性结果。5名患者继续5次核酸检测结果均为阴性，随即办理出院。”为持续研究这一问题，张旃对包括前述18人在内的44名两次阴性结果的医护人员新冠肺炎患者进行了多次病毒核酸检测。在这44人中，有大约26人第三次核酸结果为阳性，概率非常高。张旃表示，目前江苏、浙江、上海和广东实行出院标准比现行《诊疗方案》的解除隔离标准更加严格。上海市公共卫生临床中心党委书记卢洪洲教授介绍说，上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳。http://t.cn/A67KHgXN
橙-小小小小今,:抗新冠肺炎Day17。昨天晚上接到老爸电话说远房姑爹掉进化粪池里，已治疗几天了还不见好转，意识还在昏迷中。家属陪护没地休息也没吃的包腹！各方打听才拿到幺幺电话，今天弄了一些吃的东西请护士长找人给了送过去！希望是雪中送炭。。。昨天白送班送了两对母子去做CT检查。其中一对小宝四岁，超级可爱，每天和妈妈待在隔离房间不闹也不哭。妈妈进入检查室还能站在门口给妈妈加油嘱咐妈妈要勇敢！另一对母女小宝才一岁，是确诊治愈患者，爸爸和奶奶也是确诊患者，在市三医院治疗期间，妈妈作为陪护一直在病房照顾，后期家人们都住在一个病房。留观期间防止交叉感染分开房间居住管理，妈妈还是照顾着小宝。最近天气变化无常，也可能是心理压力太多，妈妈总自觉有咳嗽和胸痛症状，所以昨天去做了CT检查，其结果也无异常。她还自我调侃属于百毒不侵体质。。。一路上看见我仅仅做了一级防护，并没戴防护口罩，和我聊天时不停抱着小宝往后退，她不停说她危险了，怕传染给我。还不断问我为什么没有穿戴防护服。。。我没有多做解释，我没有不怕死体质，自求多福吧！她的善良在一定程度上让我有了更大动力，愿她的善良能一直保护她百毒不侵！疫情期间，希望家里人能安心宅家，一定要注意安全！
