青梅Zl,我们的同事：逝者刘章西:新闻老兵创中国名专栏🙏🙏🙏
香港紫荆卫视,:【#财政部表示群众不会因费用延误救治#】#紫荆快讯#3月3日下午，国务院联防联控机制新闻发布会上，财政部社会保障司司长符金陵：确诊患者的医疗费用在基本保险、大病保险、医疗救助等按规定支付后，财政兜底，中央财政补助60%；疑似患者的治疗费用，由就医地制定补助政策并安排资金，中央财政酌情给予补助。截至3月2日，#各级财政安排疫情防控资金1087.5亿元#，医疗费用的保障比较充足，人民群众不会因医疗费用问题而延误救治。via@央视新闻http://t.cn/A67Cu2Aa
中国网,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
凤凰卫视全媒体大开讲,:【三部门发布16个新职业有你的专业吗？】
夏龟龟和屎美美,:#老苏#从疫情开始有太多因得不到救治而被迫离开的人没有救命稻草没有求生机会这种家庭性的灭门之灾太心痛每天看到的只是冰冷的数据永远无法体会不到他们的恐慌与无助14亿分之3000中有多少人失去了全部无法想象当灾难降临时该要如何面对灾难之前要珍惜珍惜所有所有...我要可爱不要抱怨http://t.cn/RJyjtcN
江西发布,:#江西全力防控新型肺炎#【联孤岛跨时空越省界“互联网+”助力江西疫情防控】3月3日15时，江西省新型冠状病毒肺炎疫情防控工作新闻发布会（第十七场）在南昌举行。省疫情防控应急指挥部排查组副组长、省计生协专职副会长罗礼生通报我省疫情情况，并介绍我省全民健康信息化支撑新冠肺炎防控相关情况。罗礼生介绍，新冠肺炎疫情发生以来，省卫生健康委充分发挥“互联网+”和信息技术优势，及时出台《关于充分发挥信息化作用助力疫情防控工作的通知》，为救治防疫服务、为高效防控服务、为群防群控服务。详细：http://t.cn/A67N7ScD
钦州检察,:【军队四千多名医护人员驰援武汉（人民日报）】2日，国务院联防联控机制举办新闻发布会，介绍军队支援地方抗击新冠肺炎疫情有关情况。据介绍，从1月24日除夕夜开始，军队先后派出3批共4000多名医护人员驰援武汉，形成了前方指导组、联勤保障部队、一线医护人员的支援力量体系。目前，全军63所定点收治医院开设收治床位近3000张，1万余名医护人员投入一线救治。#抗击肺炎疫情#
福州建设发展,:【在临床救治中，我省中医药参与率达99%！中医药抗“疫”的福建经验来了！】福建省卫健委消息，目前，在我省临床救治中，中医药参与率整体已达到99%。在福州城区内，福州肺科医院是定点收治医院，但没有中医科，没有中药房。在疫情发生后不久，省卫健委就从省市中医类医院选派了7名中医师深入隔离病房参与新冠肺炎救治工作。中医药深度介入，总结福建经验。
咕咕不是鸽子精,:#浙江新增7例均为意大利输入病例#看评论越看越气，没有说不让海外侨胞回家，如果是zf组织的包机，落地后又能及时隔离，我完全没意见，他们也是我们的同胞啊。但是从意大利到莫斯科再到上海，中间会遇到多少人，十几个小时难道不吃饭吗？口罩一直带着嘛？跟他们同航班的人又做错什么了嘛？上海都有71个人隔离了，中间还接触了多少人都不得而知，既然你们欢迎他们回家，当时武汉封城前走了的人不也是回家嘛？他们凭什么就要被骂辣么惨呢。部分人说什么在意大利没人管，不给治，我寻思当时武汉封城的时候情形也不见得比意大利好多人，别人跑出去不也是去压力小的地方寻求救治嘛？
华商网,:【#16个新职业来了#呼吸治疗师参与疫情防控】#三部门发布16个新职业#人社部、市场监管总局、国家统计局近日联合发布16个新职业，包括呼吸治疗师、网约配送员、人工智能训练师、全媒体运营师、装配式建筑施工员等。人社部表示，目前，大量呼吸治疗师深入一线参与到新冠肺炎疫情救治防控工作中，发挥了不可或缺的作用。（中国新闻网）
BTV北京您早,:【联防联控机制权威发布全军4000多名医护人员驰援武汉保持“零感染”】日前，中央军委后勤保障部卫生局局长陈景元表示：1月24日开始，军队先后派出3批共4000多名医护人员驰援武汉。目前，全军1万余名医护人员投入一线救治。全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例，已治愈出院1000例。全军医护人员目前保持零感染！http://t.cn/A67CVglm
中国青年杂志,:【致敬！#军队1万余名医护人员投入一线救治#】军委后勤保障部卫生局局长陈景元：从1月24日开始，军队先后派出3批共4000多名医护人员驰援武汉。目前，全军1万余名医护人员投入一线救治。全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例。已治愈出院1000例。同时，全军医护人员注重加强自身防护，目前保持零感染。http://t.cn/A67X86cT
广东头条爆料君,:【ICU护士实拍！记录#新冠肺炎危重患者救治过程#：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。http://t.cn/A67oWZ3v
财武汉,:跟浙江革命小将商量，能不能先救人？很多浙江老铁在最紧急的时刻来到湖北战斗在最前线，救治了大量湖北人武汉人，我们以身相许报答恩情都不为过。这些从意大利逃回来的浙江人，可能是这些医护人员的家人，是你们浙江人，你们能救湖北人，为什么不能救救自家人？能不能把骂人事业先放一放，救人要紧，不要歧视他们。我看机场就别封了，他们想回浙江治病就给他们治，革命小将你说怎么样？当然我还是以你们的意见为主，坚决服从指挥，你们说要喷，我坚决跟上。
尘光坠成砂,:心心念念的猫爬架终于到啦，开心～其实我今天才发现一个事实，沙发也好，猫爬架也好，打着它们的名义买的，但其实明明，更喜欢的是我哈哈哈哈哈哈哈～打着养猫的旗号养自己系列～就算提前计算了沙发的长度以及爬架底座的长度，也不能改变真的放不下这个事实，于是我就把爬架的一个柱子卸了，然后把沙发角怼进去抵住，也就刚刚好啦～似乎变了好多，我变得不再那么敏感脆弱，不再对不对就忆往昔悲惨岁月潸然泪下，不再对所以亲人怀着莫名的好和莫名的罪，变得对痛苦感到迟钝，对过去觉得陌生，爱和恨的力度都变得轻飘飘的。这一切并不全是因为黑糖很甜奶盖很暖，而是我选择了没有那么着急的方式和路，虽然偶尔会困惑迷惘羡慕渴求，但是我能看清下一步在哪里，我不要远方，我要现在和最近的未来。今天在B站看叮叮和老张关于养狗这一期，好啦我承认会定期主动去恰柠檬，都不用他们骗进去…这期没有看完，因为爬架到了快递小哥打电话了，也因为，我看着有点难过。老张拿了纸笔在那里写养狗的利弊，他说缺点，叮叮说优点，叮叮是真的想养狗狗，他也做得很对，再爱也要计深远。可是，还是好难过，就像我想养猫，就接了桃子回家，然后要离开成都，又把桃子给了另一个小姐姐，后来接了芋圆，芋圆生病走了，现在才有了黑糖和奶盖。或许如果我当初考虑多一点，这些猫咪会遇见更好的人，但是我并不后悔，我不是说说而已，每一次，我都认真考虑了，只是私心地想，不能解决的问题就留给未来的睿睿吧。桃子是当时真的带不走，但是我找了个负责任的小姐姐，并且把桃子所有的东西送给她了。芋圆生病了以后我尽力救治了，最后是在医院里走的。我大概缺乏和人好好相处却不自损八百的能力，所以才想，哪怕有两个生灵愿意长长久久陪着我，我会好好照顾它们，或许会搬几次家，会遇见一些人，换几家公司，但是它们会一直在，我喜欢看它们niania地来找我的样子，看它们睡到四脚朝天的样子，看它们听到开罐头的声音从各个角落冲过来的样子。嘿，谢谢你们信任我，也谢谢你们让我无暇去自怨自艾，一起走一段吧，直到你们走不动了，所以，快点长胖吧。
香山网,:武汉一患者对珠海医护连说15声感谢！支援武汉1个多月，珠海援鄂医疗队已收治患者121例！“我现在感觉好多了，没有发烧、咳嗽了，每天坚持喝中药，现在说话中气十足，感谢广东省中医院！感谢！感谢！”3月1日，在湖北省中西医结合医院的隔离病房里，47岁的患者戴先生对医生连说了15声感谢。查房的医生便是广东省中医院援助湖北医疗队队长、广东省中医院珠海医院呼吸科主任黄东晖和他的同事们。广东省中医院援助湖北医疗队驰援武汉已经一个多月了，在国家援助湖北第二支中医医疗队队长、广东省中医院副院长张忠德的带领下，医疗队不断优化诊疗方案，坚持中西医结合，为患者制定最佳的诊疗方案。据介绍，广东省中医院医疗队的医生均为重症医学科和呼吸科的资深医生，有深厚的中医功底和扎实的西医基础。广东省中医院医疗团队在湖北省中西医结合医院共管理70张床位，截至3月2日，累计收治患者121例，累计出院56例。“我们在临床实践基础上形成了独具特色的中西医协同诊疗方案，建立起中西医临床协作长效机制。中西医协同可以发挥‘1+1>2’的效果，提高病人的救治率。”黄东晖说。来源：南方都市报#珠海##珠海身边事#
银瓶山上银瓶破,辜鸿铭当年性格偏狭留着前清的辫子，蔡元培校长聘他当了北大英国文学教授；罗家伦数学考0分，胡适校长特批招进北大，11年后当了清华校长。到如今，人力资源和执业资格这个证那个证，完全不顾实际能力。有些时候，当官的还得有些担当：特批一个行医证不就好了？独家回应：李跃华解释自己的行医资格问题
直播宜昌,:【《新冠肺炎诊疗“福宜”方案》正式发布！】3月2日，福建医疗队的专家将一本刚刚汇编完成的《新冠肺炎诊疗“福宜”方案》，分享给宜昌的一线医务人员。该《方案》共有医疗、护理、康复与心理、临床药学与营养四个分册，为医护人员救治新冠肺炎患者提供专业化和精细化的指导。第一批600册“福宜”方案，将陆续分发到全市各区县新冠肺炎定点救治医院。http://t.cn/A67CcxJF
具见,:记者从陕西省卫健委获悉，陕西援湖北医疗队整体能力突出、队伍结构合理、政治素质过硬，制定的“生产安全八项铁律”、病区“一体化、两岗位、三线制、四定床、五补充”制度等管理经验，首创的“三联三快速”新疗法，受到当地和其他省份医疗队的肯定，在支援湖北医疗救治工作中发挥了示范引领作用。截至3月2日8时，陕西省援湖北医疗队累计救治患者1770人，其中重症和危重症患者623人，累计治愈出院患者798人。#致敬疫情前线医护人员#
HW-小裁缝,:“在太平间，工作人员告诉我，其实疫情肺炎死的人只有三成，剩下带来的被剥夺了救治权利而亡的人多是我们这样的重症病人，尤其是白血病和透析病人最多。”“你们看到过遗体用裹尸袋装了后，像码白菜一样摞在那些车里吗？”“我甚至都怀疑，在如此背景操作下，领回来的骨灰会是正确的吗？”在全国驰援湖北的背景下，多少当地的肿瘤和重症手术被搁下，当时代面临危机，个人都是很无力的。
美名馆,:湖北疫情中医救治之惑-作者:如柳，http://t.cn/A67C5TRJ（想看更多？下载@知乎App：知乎）参攷下
嘿黑baby,对不起各位暴发户，我也是暴发户，看我微博就知道了。因为目前我母亲发现恶性肿瘤，乳腺癌脑转，但是因为疫情无法住院，所以占用毛毛一点资源，请求帮助，肯请各位体谅，也请大家帮忙，玩不想没有妈妈！！！求求大家了。【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，大恩大德没齿难忘！
相公有约,:伊朗充分利用了中国的防疫和对病人的救治方案、经验，为本国患者服务，这将大大减少了病人的死亡率和疫情的有效控制……相公有约的微博视频
闲的的无聊,【工人日报记者专访方方：劳动者没有想象中的恐慌感，他们的从容能传递给我】湖北省作协主席方方的“武汉日记”已成为无数网友围观、审视武汉这座城市的一面镜子。通过“日记”，他们与方方、与武汉悲欢与共。回望一个多月来的“日记”，方方走过了怎样的心路历程？她在怎样的状态下写出那样的文字让无数网友同频共振？她和她的城市，现状又如何？工人日报记者对方方进行了专访。http://t.cn/A67owwnN（工人日报客户端）
安徽妇联,:#徽风知事#【清零了！合肥滨湖医院确诊患者全部出院】3月2日，安徽合肥，滨湖医院最后4名新冠肺炎确诊患者治愈并走出隔离病区。至此，该院收治的20名新冠肺炎确诊患者全部治愈出院，治愈率达100%，成为合肥市首个清零的定点救治医院。人民视频的秒拍视频
每个人身边都有个叫小明的朋友,吐槽一个反人类的阴谋论……日本政府是借鉴了黑死病不破不立的历史经验，希望自己的人口老龄化问题，借由这次瘟疫获得改善和解决吗？
安静小西,几天前，鸭鸭送去了两批煌上煌产品，一解援鄂天使们的思乡之苦！这一次，我们要让每一份产品都带着一个祝福出发！#江西地表超暖祝福#正式启动——【
张家口生态环境发布,【致敬！军队1万余名医护人员投入一线救治目前保持零感染】军委后勤保障部卫生局局长陈景元：从1月24日开始，军队先后派出3批共4000多名医护人员驰援武汉。目前，全军1万余名医护人员投入一线救治。全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例，已治愈出院1000例。同时，全军医护人员注重加强自我防护，目前保持零感染！http://t.cn/A67X86cT
龙南发布,:【关怀点燃希望曙光照进心房】疫情防控期间，随州曾都医院中有一位78岁的婆婆一入院就心事重重，甚至想放弃治疗。在医护人员的关心下，婆婆才逐渐敞开心扉。在关心之余，大家还陪她拉家常，婆婆脸上终于有了笑容，并积极治疗。曾都医院感染八区最初收治了39位病人，在随州和江西医护人员的努力救治下，病人们陆续出院。患者们表示，感谢江西所有的医护人员。#防控新型肺炎江西在行动##联防联控江西在行动#http://t.cn/A67Cby6h
我是迷迷蒙蒙颜值高,:中国现在应该着手把民航客机改装成医院，必要的时候出国接诊自己本国侨民，留学生，外派工作人员。如果是轻症，在飞机上展开救治，在当地能治好，就不用接回国。重症飞机上先治疗，然后送回来定点医院治疗。这样可以缓解所在国的医疗资源不足的压力，也能及时救助同胞。现在疫情全世界蔓延，中国还有很多同胞因为这次疫情在外面被歧视。他们在国家有难的时候，很多人无私帮助国内同胞。我们能置之不顾吗？中国贫穷的时候，海外华人汇款回家建设祖国，每有灾难他们就会与国内同胞同气连枝。去年香港修例风波，那些海外很多同胞也是挺身而出，反对分裂。战狼不是说，只要中国能够做到的都能保护好自己侨民吗？所以我希望中国不要忘记那些在海外的同胞，他们平安幸福的时候，我们祝福，分享，不打扰他们。他们有事的时候，我们要让他们知道，祖国永远是他们的港湾。岂曰无衣，与子同裳。如果我们真的能在国外帮到他们，他们也不要全跑回来避难。就安心呆在居住国，等我们去帮助他们。当然这一切得中国外交能做得到的。
生态灞桥,:【#16个新职业来了#】#三部门发布16个新职业##西安复工复产进行时#人社部、市场监管总局、国家统计局近日联合发布16个新职业，包括呼吸治疗师、网约配送员、人工智能训练师、全媒体运营师、装配式建筑施工员等。人社部表示，目前，大量呼吸治疗师深入一线参与到新冠肺炎疫情救治防控工作中，发挥了不可或缺的作用。
叶根友字体创意,:#浙江新增7例均为意大利输入病例#最近听说有许多在意大利做生意的华侨回来青田了，以至于浙江丽水增加了疫情的严重性，我觉得在意大利居家隔离、救治也是可以的，回来了也是需要隔离、医治，没有回来，准备回来的在意大利的同胞们，别回来了，特别是青田，要做好把关工作～http://t.cn/EvSFPbk
绿色青浦,:#90后战疫故事#【95年男护士：疫情让我变得顾家了】舒昊是武汉市第一医院ICU的一名男护士，因为救治的都是危重症病人，一个多月与新冠肺炎的战斗，让这个阳光大男孩常常感慨生命的无常。本来是爱玩的大男孩也学会了给家里买菜、拖地。他说，疫情结束后，最想生一个萌娃姑娘，做一个帅哥奶爸，因为照顾人他是专业的。我们穿上防护服，走进ICU，在生死之间，探访男护士的重症护理工作。（中国日报）http://t.cn/A67KeQ52
广东头条资讯榜,:#广东爆料#【ICU护士实拍！记录#新冠肺炎危重患者救治过程#：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。http://t.cn/A67oWZ3v
每个人身边都有个叫小明的朋友,吐槽一个反人类的阴谋论……日本政府是借鉴了黑死病不破不立的历史经验，希望自己的人口老龄化问题，借由这次瘟疫获得改善和解决吗？
安静小西,几天前，鸭鸭送去了两批煌上煌产品，一解援鄂天使们的思乡之苦！这一次，我们要让每一份产品都带着一个祝福出发！#江西地表超暖祝福#正式启动——【
张家口生态环境发布,【致敬！军队1万余名医护人员投入一线救治目前保持零感染】军委后勤保障部卫生局局长陈景元：从1月24日开始，军队先后派出3批共4000多名医护人员驰援武汉。目前，全军1万余名医护人员投入一线救治。全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例，已治愈出院1000例。同时，全军医护人员注重加强自我防护，目前保持零感染！http://t.cn/A67X86cT
龙南发布,:【关怀点燃希望曙光照进心房】疫情防控期间，随州曾都医院中有一位78岁的婆婆一入院就心事重重，甚至想放弃治疗。在医护人员的关心下，婆婆才逐渐敞开心扉。在关心之余，大家还陪她拉家常，婆婆脸上终于有了笑容，并积极治疗。曾都医院感染八区最初收治了39位病人，在随州和江西医护人员的努力救治下，病人们陆续出院。患者们表示，感谢江西所有的医护人员。#防控新型肺炎江西在行动##联防联控江西在行动#http://t.cn/A67Cby6h
我是迷迷蒙蒙颜值高,:中国现在应该着手把民航客机改装成医院，必要的时候出国接诊自己本国侨民，留学生，外派工作人员。如果是轻症，在飞机上展开救治，在当地能治好，就不用接回国。重症飞机上先治疗，然后送回来定点医院治疗。这样可以缓解所在国的医疗资源不足的压力，也能及时救助同胞。现在疫情全世界蔓延，中国还有很多同胞因为这次疫情在外面被歧视。他们在国家有难的时候，很多人无私帮助国内同胞。我们能置之不顾吗？中国贫穷的时候，海外华人汇款回家建设祖国，每有灾难他们就会与国内同胞同气连枝。去年香港修例风波，那些海外很多同胞也是挺身而出，反对分裂。战狼不是说，只要中国能够做到的都能保护好自己侨民吗？所以我希望中国不要忘记那些在海外的同胞，他们平安幸福的时候，我们祝福，分享，不打扰他们。他们有事的时候，我们要让他们知道，祖国永远是他们的港湾。岂曰无衣，与子同裳。如果我们真的能在国外帮到他们，他们也不要全跑回来避难。就安心呆在居住国，等我们去帮助他们。当然这一切得中国外交能做得到的。
广东消防,:【暖心又可爱！#护士制作超萌新冠护患沟通手册#
科工力量,:【ICU护士实拍！记录新冠肺炎危重患者救治过程：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。http://t.cn/A67oWZ3v
秦淮文旅,:【暖心又可爱！#护士制作超萌新冠护患沟通手册#
潍坊高新检察,:【#全军医护保持零感染#】2日，军委后勤保障部卫生局局长陈景元表示，目前全军63所定点收治医院开设收治床位近3000张，1万余名医护人员投入了一线的救治。截至3月1号，全军定点收治医院和军队支援湖北医疗队累计收治新冠肺炎患者达4450例。已经治愈出院1000例。目前全军医护人员保持零感染。@人民日报http://t.cn/A67XOlE4
爱抓星星的MiuMiu,【西安交大一附院全力救治新冠肺炎危重患者张文宏教授远程视频云会诊】为了全力救治一名新冠肺炎危重患者生命，更好地进行科学救治，3月2日15时，@西安交通大学第一附属医院专家团队与复旦大学附属华山医院感染科主任张文宏教授进行了视频连线，就危重患者病情进行讨论。该患者为66岁女性，双肺广泛的肺间质纤维化及网格状改变侵犯所有肺叶，高血压，气胸，患者病情急剧进展并一度出现了休克，目前，已经使用了ECMO（人工膜肺）、CRRT（人工肾）、有创呼吸机，据悉，该患者是全省乃至全国最重的病人类型。在了解该患者的基本情况和病史汇报后，张文宏教授充分肯定了一附院前期救治工作，后又结合该患者的病史特点、生化检查结果和影像学结果等资料，与一附院的专家们展开了讨论，对病情进行分析和把控，针对原发病肺脏的恢复、气胸、心功能、抗病毒、免疫调节等方面提出一系列策略。一附院感染科主任赵英仁教授表示，张教授的意见非常宝贵，非常实用，下一步医院将根据张教授的意见，积极调整治疗策略，制定最佳治疗方案，尽最大能力救治患者。http://t.cn/A67K3GOT
潍坊晚报,:【省医保局出台疫情期间医保扶贫措施涉新冠肺炎救治和留观的费用将予以兜底保障】3日，记者从山东省医保局获悉，省医保局印发《关于统筹做好新冠肺炎疫情防控期间医保扶贫工作的通知》，对疫情防控期间医保扶贫工作作出部署，并提出一系列政策措施，确保全面打赢疫情防控阻击战和医保扶贫攻坚战。　　发挥医疗救助对贫困患者的兜底保障作用。对医保扶贫对象(包括建档立卡贫困人口、低保对象、特困人员和建档立卡重度残疾人等“四类人员”)出现新冠肺炎确诊、疑似患者和医院留观人员的，一律先就医后结算，由医保基金先行垫付费用;他们救治和留观发生的费用，按规定经医保报销、财政补助后，个人负担部分全部由医疗救助予以兜底保障，不需要个人支付费用。　　加大对困难群众的医疗救助力度。对疫情防控期间基本生活陷入困境的家庭及个人和农村孤寡老人、重病重残人员、重度精神障碍患者、困难儿童、留守儿童、社会散居孤儿、事实无人抚养儿童和其他重点困境儿童等特殊困难群众，临时纳入医保扶贫范围，动态建立专门台账管理，按医保扶贫对象标准落实各项倾斜政策。上述特殊困难群众，无论是否参保，可采取“先帮扶、后认定”方式，强化临时救助、即时帮扶和帮办、代办上门服务等措施，确保及时、全面落实医保扶贫政策。　　确保脱贫享受政策人员和即时帮扶人员参保全覆盖。对建档立卡即时帮扶人员、新纳入低保对象和特困人员及时进行系统建档管理服务;建立完善医保扶贫综合信息管理平台，加强动态监测和精准参保，开展“四类人员”(建档立卡贫困人口、低保对象、特困人员和建档立卡重度残疾人)参保销号行动，实现应保尽保，确保建档立卡贫困人口基本医保、大病保险和医疗救助100%全覆盖。　　确保医保扶贫政策全面精准落实。严格落实基本医保、大病保险和医疗救助各项医保扶贫政策，切实降低“四类人员”和特殊困难群众的医疗费用负担。加大宣传和专项督导检查工作力度，严厉查处医保扶贫政策不落实、过度保障和过度医疗行为，以更加扎实有力的工作举措，高质量完成医保扶贫各项任务，确保政策落实到每一个人身上，确保脱贫攻坚如期圆满收官。要求各地医保部门认真落实脱贫摘帽“不摘责任、不摘政策、不摘帮扶、不摘监管”的要求，通过网络、电话、掌上服务等手段，实现“四类人员”和特殊困难人员建库备注“一体化管理”和“一窗口办理、一单制结算、一站式服务”。（大众网）
临汾新闻网,:【山西新增两种治疗新冠肺炎医疗机构制剂】近日，省药品监督管理局联合省卫健委共同批复了山西省中医药研究院（山西省中医院）治疗新冠肺炎的两种医疗机构制剂（益气祛毒颗粒、清肺排毒合剂）的申请。目前，山西已有7种防治新冠肺炎的医疗机构制剂，所有的新冠肺炎医疗救治定点医院都可以针对性的辨证使用适合山西病例特点、覆盖全部治疗阶段的医疗机构制剂。山西充分发挥中医药优势、中西医紧密结合在疫情防控中发挥的协同作用，前期研制并获批的益气除瘟颗粒、除湿清肺颗粒、解毒护肺颗粒、葶苈泻肺颗粒、补肺健脾颗粒五种制剂在临床应用效果良好。目前，山西中西医结合治疗新冠肺炎总体有效率达91.5%，有效降低了发病率和病亡率。山西将继续推动定点医疗机构建立健全中西医共同参与、全程协作的中西医联合会诊制度，使中医药深度介入疫情防控和临床救治，为我省持续实现“双零”目标贡献中医智慧和中医力量。（山西省卫生健康委员会网站）
Jasmine和Lucy,来自@武心援团队整理的最新的#WH非新冠肺炎特殊患者救治医院名单#及联系方式（包含对应科室、值班电话与总机等）。最后一张是汇总贴。请帮忙转发给需要的患者，以便其前往医院前先联系对应科室询问具体情况‼️‼️‼️
潍坊高新检察,:【中央应对疫情工作领导小组会议：各地要采取多种措施关心关爱防控一线社区工作者】会议指出：①湖北和武汉要继续严格落实防控措施，加强社区防控，提高救治水平，及时准确发布信息；北京等人口流动性大的城市要压实责任，管住通道、社区、口岸，严防疫情输入和扩散。②各地要通过给予适当工作补助、落实待遇、改善防护条件、安排轮休等，关心关爱防控一线社区工作者。③力戒形式主义，制止多头重复向基层派任务、要表格。@央视新闻http://t.cn/A67SBfb9
蓝与星,在前网络时代，一个人挣扎求生，然后死去，最多是用文字的形式来加以描述，因为遥远公众感同身受的程度是有限的，更多激发的是自身危机感。到了网络时代，一个人挣扎求生，他会变得非常非常具体。他有具体的行为：上微博发“你好”两个字。他的行为有第三方补充注释：这是一位老人，自身染病，女儿已经身故，为了孙女就医，刚刚学会用微博，试图求助。他的动态一直可以追踪：几时收治，几时太太转阴，孙女无恙，几时自己进入ICU，病重，死讯。人死如灯灭，所不同的是他在网上留下了当初挣扎求生的痕迹，这就让人催心裂肺，肝肠寸断。
河南县域经济网,:【新冠肺炎防控工伤保险在护航】在新冠肺炎预防和救治工作中，医护及相关工作人员因履行工作职责，感染新冠肺炎或因感染新冠肺炎死亡的，应认定为工伤，依法享受工伤保险待遇。　　三门峡市人社部门为此开辟绿色通道，做到特事特办、随报随办、简化程序。事实清楚的，做到快速认定，立办立结。　　为更好的做好从事新冠肺炎防治的一线医护及基层工作人员的意外伤害保障工作，三门峡市委、市政府向三门峡人保财险公司购买了特定人员救助保险。凡在三门峡市辖区内从事新冠肺炎防治的一线医护及基层工作人员受到感染或意外伤害的，均可按照规定条款申请一定数额赔偿或补偿，保险时间为2020年2月8日零时起至2021年2月7日24时止。　　按照国家规定，即日起，各省、自治区、直辖市（除湖北省外）及新疆生产建设兵团可根据疫情影响情况和基金承受能力，免征中小微企业养老、工伤、失业三项社会保险单位缴费部分，免征期限不超过5个月；对大型企业等其他参保单位（不含机关事业单位）三项社会保险单位缴费部分可减半征收，减征期限不超过3个月。　　受疫情影响生产经营出现严重困难的企业，可申请缓缴社会保险费，缓缴期限原则上不超过6个月，缓缴期间免收滞纳金。　　该政策待河南省相关部门出台细则后即可实施。http://t.cn/A67CUsp0#河南##新浪看点#
号外合肥,:#合肥身边事#【清零了！合肥滨湖医院确诊患者全部出院】3月2日，安徽合肥，滨湖医院最后4名新冠肺炎确诊患者治愈并走出隔离病区。至此，该院收治的20名新冠肺炎确诊患者全部治愈出院，治愈率达100%，成为合肥市首个清零的定点救治医院。#合肥爆料#人民视频的秒拍视频
没事开玩笑,:胡和平：发挥中坚作用抗击疫情继续全力以赴救治患者为打赢武汉保卫战湖北保卫战贡献更多陕西力量胡和平：发挥中坚作用抗击疫情继续全力以赴救治患者为打赢武汉保卫战湖北保卫战贡献更多陕西力量
没事开玩笑,:胡和平：发挥中坚作用抗击疫情继续全力以赴救治患者为打赢武汉保卫战湖北保卫战贡献更多陕西力量胡和平：发挥中坚作用抗击疫情继续全力以赴救治患者为打赢武汉保卫战湖北保卫战贡献更多陕西力量
