有实话就说,【#韩国大邱一确诊者混入长队买口罩#，接受采访称：早上刚确诊
海丰微闻,:#汕尾爆料##城市生活家##汕尾身边事#【督察督办组在陆丰开展督导检查，发现这些问题……】3月1日，督察督办组在陆丰市开展督导检查发现，陆丰市广业环保有限公司因市城区大伯坑垃圾填埋场2017年关停，导致其2018年5月以来运营产生的3060吨污泥无法处置，目前堆放在厂区空地，虽进行薄膜覆盖和消毒处理，但仍气味难闻。陆丰市广业环保有限公司企业负责人：我没地方可以放了，平时的话，我们日产产生量是4.8吨，因为这个污泥堆放的问题，这个空间受限。经核实，有关部门已于2019年12月6日向陆丰市广业环保有限公司发函要求2020年2月28日前完成整改，陆丰市广业环保有限公司至今没有解决方案，影响后续污水处理厂处理能力。陆丰市广业环保有限公司企业负责人：那是因为陆丰陆城没有这种相关的一些场所，我们就只能暂时放在厂里面。第一我们采购，每个月大量的薄膜纸遮盖，为了这个下雨天的时候污泥泄露，我们就堆放这个沙包进行遮盖、围蔽，经常就是每天都有隔间段的消毒。目前就做了这一些应急措施，防止它二次污染，同时就是配合政府，开展一系列的协调沟通工作。督查人员还发现，陆丰市住宅建筑工程有限公司消防通道被私家车占据，存在消防安全风险；陆丰市建筑工程总公司办公区域堆放煤气罐，不符合卫生防疫和消防安全要求。陆丰市建筑工程总公司企业负责人：那不是杂物，那是我们工地上撤回来的一些电器。督查人员：还有一个煤气罐是怎么回事呢？陆丰市建筑工程总公司企业负责人：都是工地搞回来的。另外，陆丰市新特药公司东海镇大街门店没对进店顾客进行体温检测，没劝导顾客佩戴口罩，店门口和店内卫生状况较差，红外体温测量仪放在包装盒内，查无员工体温测量和消杀记录。陆丰市新特药公司企业负责人：这个等一下我要调查一下，按我们的规定下去，就是要必须进来的时候，都必须要有测体温的。
南京晨报,:#关注江苏新型肺炎疫情#【戴口罩人脸识别，多人自动测温疫期企业复工可用这些黑科技解决员工入场问题】戴着口罩通过不了人脸识别，摘下口罩又怕被感染，怎么破？昨日记者获悉，已经有了解决方案，百度的戴口罩人脸识别、多人实时体温检测等AI技术已经可以可以支持复工、疫情情防控期间高效、安全、有序的复工入场。http://t.cn/A67NQH30南京晨报/爱南京记者杨静
鷲巣,:今天家里厨房水龙头断了，嵌在墙里的一截怎么弄都弄不出来。准备叫师傅来帮忙修一下，结果发现大家都因为疫情原因不敢出门开工。于是求助万能的知乎，原来有一种叫“断丝取出器”的东西可以取出断在管里的那一截。我立马穿上大袄带上口罩往楼下五金店奔去。才十块钱，就解决了。安装好水龙头，收拾好一大包工具，才发现，作为一个女生，我原来一个人可以干这么多技术活。
代玮全国粉丝后援会,:#代玮[超话]#💪🏻#抗击肺炎我们在行动#💪🏻#声入人心#「声入人心梅溪湖24家后援会联合物资捐赠明细公告」一曲赞歌唱响，一颗真心炽热。我们赞颂着医护人员的无私奉献，我们祈愿着万千群众的平安健康。我们在雪花纷扬中手拉着手，待一片春花烂漫。至此共24家声入人心第一季后援会联合应援六次物资捐赠完毕。本次24家后援会成员内部募捐金额共计119，754.75元（捐赠情况详情见图）捐赠物资至：湖北省：武汉大学人民医院武汉市中心医院华中科技大学同济医学院附属同济医院华中科技大学同济医学院附属协和医院华中科技大学同济医学院生殖医学中心(按需求调度增援各社区医院或一线政府办事机构)黄石有色医院黄石市第五医院大冶市人民医院武穴市第一人民医院仙桃市第一人民医院宜昌市第一人民医院五峰土家族自治县人民医院罗田县人民医院监利县中医院江西省：新余市人民医院共计捐赠护目镜2000副，N95口罩（型号1860）240只，手套20000双，床罩1800条，医用床上三件套100套，消毒车10台，消毒泡腾片720瓶，长鞋套13000双，氧气吸入器146套，护目面罩制作材料（防护面屏）1023片。以上物资均已贯彻落实，确认全部到齐。这个冬天我们重聚，以声之名，以爱之心，尽自己绵薄之力，共同期盼黎明曙光的到来。联合名单如下（按首字母顺序排列）@蔡程昱全国粉丝后援会@陈博豪后援会官博@代玮全国粉丝后援会@方书剑全国粉丝后援会@高天鹤粉丝后援会@歌唱家王凯后援会@龚子棋后援会@黄子弘凡_Lars后援会@贾凡全球后援会@梁朋杰粉丝后援会@李琦全球歌迷后援会@李文豹后援会官博@廖佳琳粉丝后援会@刘彬濠粉丝后援会@陆宇鹏粉丝后援会@马佳后援会@圣权全国后援会@仝卓粉丝后援会@Tenor金天泽粉丝后援会@王晰全球后援会@一起来光合作用呀@余笛粉丝后援会@翟李朔天天王星团官方后援会@张超_Baritone全国粉丝后援会我们再次呼吁大家疫情期间注意安全，减少聚会聚餐，尽量避免去人员密集的场所。如有必须外出情况务必做好防护工作，戴好口罩，勤洗手勤消毒。不信谣不传谣，不盲目恐慌。
Z-夜灯,:20200303今天有点冷，下了一点雨，上午打扫了卫生，下午开会，单位还发了口罩，下班儿后去做了一个指甲，逛了一趟超市，明天开始坐班儿啦，又开始一个人的生活，没想到最大的困难是饭吃问题，餐馆好像都不营业，只能点外卖，可总不能顿顿外卖，再说也没什么好吃的，一个人也不想做饭，虽然自认为厨艺还是不差的
西安身边事,:#陕西防控新型肺炎#【陕西援鄂医护病房挨个送苹果：一个是平安，两个是平平安安】3月1日，湖北武汉。陕西援鄂医护人员给26名患者送来陕西特产苹果。护士称，有患者家人都在住院，担心他们饭不够吃。一个苹果是平安，两个苹果是平平安安，希望他们早日康复，大家早日摘下口罩，感受武汉的樱花烂漫。（麦芒视频）http://t.cn/A67NylR5
hui慧子--,:#蒙古国又向中国捐赠20000只口罩#感恩感谢蒙古国！
人生在世天下游,【#大邱确诊患者出门排队买口罩#，还接受采访：早上刚确诊的】3月2日上午，大邱市某邮局开售政府配置的口罩，每人限购5个，众多市民提前3小时排队，队伍长达数十米。韩媒记者到现场采访，一男子称"我早上被确诊了，但口罩总要买的，你说是吧"，随后记者将男子劝回并向警方报案，经确认该男子是确诊者。http://t.cn/A679O53e
皮卡丘的皮Sharon,Vol.117【为什么你还买不到口罩？】进口加自产，中国每天的口罩供应够多少人用？口罩短缺的情况什么时候才能结束？*关注我们，在私信回复「口罩」，可获取口罩的国家标准。回形针PaperClip的微博视频
m-seol_Lee,:#健康tips请接力##宝宝的少女心#一次性口罩N95KF94
无糖的张益达,❤❤❤❤❤❤
疑似时尚博主,:居然敢说我过个年又胖了一点呵呵你他妈还不是戴了口罩才敢跟Joanna打招呼废物
MaybeTingl,#少一次猎食，多一次相聚#一起加入到野生动物保护的口罩行动中来吧！地球只有一个，地球的居住者却不止我们。拒食野味，保护自然，携手共迎春暖花开❤️UNINE_陈宥维的微博视频
小维搬砖工程队,#少一次猎食，多一次相聚#一起加入到野生动物保护的口罩行动中来吧！地球只有一个，地球的居住者却不止我们。拒食野味，保护自然，携手共迎春暖花开❤️UNINE_陈宥维的微博视频
韶关武江法院,:#法院动态#双网协同“云开庭”刑事正义不缺席2020年3月2日上午10时，韶关市武江区人民法院开庭审理了一起聚众斗殴案，而法庭里被告人、辩护人的座位上却空空如也，只有合议庭法官、公诉人和书记员戴着口罩参加庭审。原来，这是该院利用“互联网+智慧庭审平台”实现的“云开庭”，也是韶关市首个在防疫期间利用法院系统内部网络和互联网协同开展线上审理的刑事案件。随着一声法槌敲响，法官和公诉人通过互联网平台与屏幕对面的被告人、辩护人正式开始实时视频对话，严格按照法定程序依次完成了从核实诉讼参与人身份信息到被告人最后陈述的全部庭审内容，整个过程视频画面流畅、语音传输清晰，庭审活动有序，充分保障了被告人及其辩护人的诉讼权利。据了解，由于当前正处于疫情防控关键期，武江法院充分利用科技手段，在看守所的支持和配合下，通过法院内网远程提审系统建立法庭与看守所的连接，同时辩护人利用互联网视频会议系统远程加入庭审，通过内网和外网之间不同系统的相互协作实现在线庭审。同时，法院在开庭前张贴公告，告知被告人、被害人及社会群众通过中国庭审公开网在线旁听，有效减少人员聚集。下一步，武江法院将加快“智慧法院”建设步伐，加大远程庭审系统使用率，确保审判工作的顺利进行，提高审判质效。
山河依旧故人归,:#上海向韩国捐赠50万只口罩#这种行为就很感动人，赠人玫瑰手留余香。收到善意，回馈善意。
just_me_wyh,:瞌睡，腿疼，脖子疼，胳膊疼，连口罩带的耳朵也疼，哪哪都不对，诶呀，这才复工上班的第一天啊～(总结下，就是休息太久了)
影视剧未央,:李汶翰#少一次猎食，多一次相聚#公益VCR旺旺：一起响应中国野生动物保护协会，拒绝食用野生动物，口罩行动中从口做起，从此刻做起，少一次猎食，多一次相聚
kiyAAw,:居家办公戴口罩？原因如下：1、刮大风，不能开窗户和抽油烟机；2、我妈在炖牛肉，味道确实很香，但是也超级浓，满屋子都是肉味；3、我过敏性鼻炎，摘了口罩我就打喷嚏流鼻涕不止。难熬🤷🏻♀️绿洲
南京零距离,:【南京餐饮业加快复工，实行预约、错峰就餐】昨天，南京发布《关于进一步优化餐饮行业疫情防控措施加快复工复业的工作指引》，对餐饮企业基本复工条件、用餐人员管理等方面要求：餐饮企业要备好测温计及五天的口罩、消毒水等防疫物资；建立用餐人员可溯源制度，预约就餐、错峰就餐；大厅减少桌椅摆放，餐桌间距不小于1米；“宁归来”上为绿色健康码进店消费……具体戳↓↓（南京发布）http://t.cn/A67CevnW
宝塔区预警,:【宝塔区气象局】宝塔晚间天气预报：预计今天晚上到明天白天：晴，气温-6℃～12℃；5日：晴转多云，气温-4℃～11℃；6日：多云，有4-5级偏北风，气温-1℃～16℃。戴口罩、勤洗手，错峰就餐，减少会议，避免面对面交谈。
石塔山山城,【#大邱确诊患者出门排队买口罩#，还接受采访：早上刚确诊的】3月2日上午，大邱市某邮局开售政府配置的口罩，每人限购5个，众多市民提前3小时排队，队伍长达数十米。韩媒记者到现场采访，一男子称"我早上被确诊了，但口罩总要买的，你说是吧"，随后记者将男子劝回并向警方报案，经确认该男子是确诊者。http://t.cn/A679O53e
短门有希,
葵芝家青少年服务社官方微博,:#张云雷公益站#🙋#张云雷一心益意#[加油][加油]小葵今天走进老年过渡房不仅给长者送去精神食粮，还给长者送去了当下紧缺的口罩，手套和防护服ฅ՞•ﻌ•՞ฅ(ง•̀o•́)ง(ง•̀o•́)ง@共青团中央@青春张家港@小辫儿张云雷@路人甲_张云雷个站
·翰涵·,:#少一次猎食，多一次相聚#和@UNINE李汶翰一起加入到野生动物保护的口罩行动！敬畏自然，敬畏生命，在接受地球的馈赠之时，也要爱护和尊重地球上的一切
白龙江林区检察,【北京检察机关批捕5名销售不合格医用口罩的犯罪嫌疑人】2日，北京市昌平区检察院以涉嫌生产、销售不符合标准的医用器材罪对犯罪嫌疑人郭某某、吴某等5人批准逮捕。1月23日至31日，郭某某、吴某等5人在明知进购的一次性医用口罩无检测报告、厂方资质等证明文件的情况下，依然以营利为目的，将从河北省邯郸市某医疗器材批发市场内摊位购得的一次性医用口罩2.6万余个，以层层加价转卖方式销售。http://t.cn/A67ooyTk#疫情防控甘肃检察在行动#
Andy-Liugang,张文宏：不尽快复工，人口死亡率将高于新冠肺炎死亡率http://t.cn/A67C8laK
菏泽中院,#小鲁说事#【快递员和客户大打出手摘下口罩吐口水】2月26日，广东佛山的黄先生与快递员吕某因送件问题产生矛盾继而大打出手，吕某还摘下口罩向对方吐口水。据了解，吕某将快递送到驿站，而黄先生因为疫情影响出入小区非常不便，便要求吕某送至楼下快递柜。双方沟通时发生口角，随后动了手。警方介入调查后，目前吕某表示已认识到错误，“首先是我的过错，向黄先生老婆和孩子道歉，带礼物上门道歉，我全部接受”。（广东公共频道）http://t.cn/A67C3IgJ
觉仑小明,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
绮颂桜川,#少一次猎食，多一次相聚#一起加入到野生动物保护的口罩行动中来吧！不做沉默的无辜者，成为发声的保护人，这是你我共同的责任。春暖花开，万物生长，敬畏自然❤️UNINE_胡春杨的微博视频
VIP专属我,:临危受命，不负众望，我司自研发出口罩生产设备
无赖小酷,有没有发现，口罩的需求瞬间打折，购买欲望也直线下降。
绮颂桜川,#少一次猎食，多一次相聚#一起加入到野生动物保护的口罩行动中来吧！不做沉默的无辜者，成为发声的保护人，这是你我共同的责任。春暖花开，万物生长，敬畏自然❤️UNINE_胡春杨的微博视频
VIP专属我,:临危受命，不负众望，我司自研发出口罩生产设备
无赖小酷,有没有发现，口罩的需求瞬间打折，购买欲望也直线下降。
Caroline海欢,:这样，中国人看着就不起急了。路易十四，引导了高跟鞋时尚，后成为女士着装文化。他的假发，服装，珠宝饰品等，基本上就是当时的高定大牌今天，要想让法国人戴上口罩，除非让路爷再引导一次!#法国买口罩需医生开处方##意大利居民拒戴口罩要自由#
全赖有你啊,:唯一一包山楂片真的这是我的执念我根本舍不得吃疫情请快点好转期待不带口罩走在大马路上到处吃吃喝喝的日子呀新flag🚩等疫情结束海底捞开门一定要带着山楂片！去！要！新！的！山！楂！片！
安岳本地资讯,:#安岳[超话]#安岳需要买口罩的朋友可以关注一下。@资阳大众网http://t.cn/A67NZ6zr
硕哥说我是一个专业的傻子,李树苗买女性用品给自己用？他到底有什么意图？小卖部老板口中老李的前任发生了什么？《绝命口罩师》第06集FirstBlood#绝命口罩师#连载中导演张内咸的微博视频
尔冬木木夕,:微博营销号太多了。操控话题也十分恶心，无论是之前公家车口罩事情，还是脑残粉（所有的非单只一个明星的）的事情，看得我难受，以后就这样吧。不会再下微博了。当然如果以后国家规定清网后。我还是可能会回来的
娱圈小神探,:千玺平时戴口罩是为了给我留一点余地……
啄头,:街上怎么那么多人不戴口罩啊出趟门走的我心惊胆战
Iam--H,【#日本寺庙发免费印经文的纸口罩除瘟疫#，来访者：安心且有仪式感】#周刊君与你共同战疫#1日，位于日本京都的世界文化遗产仁和寺向来访民众免费发放约200枚印有经文的纸口罩，祈求新冠肺炎疫情早日结束。口罩由三折的日本纸制成，印有祛除瘟疫的药师佛经文。不少领到口罩的来访民众表示感到安心且富有仪式感。http://t.cn/A67opSbF
Susie婉青,:刚才看到一个公交车司机带着口罩开车，感天动地。
斜杠审计人,【#日本寺庙发免费印经文的纸口罩除瘟疫#，来访者：安心且有仪式感】#周刊君与你共同战疫#1日，位于日本京都的世界文化遗产仁和寺向来访民众免费发放约200枚印有经文的纸口罩，祈求新冠肺炎疫情早日结束。口罩由三折的日本纸制成，印有祛除瘟疫的药师佛经文。不少领到口罩的来访民众表示感到安心且富有仪式感。http://t.cn/A67opSbF
_Powerup,:#为什么你还买不到口罩#朋友国外寄过来的口罩刚到货，买多了便宜转手。FFP2faru一盒20个，无呼吸阀，两盒；FFP2NIVEL一盒10个，有呼吸阀，两盒。都是kn95级别。有需要的朋友可以便宜转了
青年报,:#青年报社原创#【这才是明星应有的热搜第一！】这两天，一段视频《你为什么买不到口罩》，被包括《人民日报》《青春上海》等在内的新媒体转发，也让公众得知，虽然我们的口罩产能在逐渐恢复，但仍然和实际需求有极大的缺口。也因此，当现象级电视剧《都挺好》中的老大苏明哲、经典琼瑶剧《情深深雨蒙蒙》中的尓豪的扮演者高鑫，和上海话剧艺术中心的同事们包括他的妻子、演员王一楠等人在口罩厂做志愿者，发了个微博时，会被那么多网友顶上热搜第一。众所周知，由于疫情，上海的各大文化机构都取消了演出，而暂别舞台的艺术家们，并没有停下来，而是通过各种方式走上了防疫战疫的一线。高鑫、王一楠等人做口罩志愿者的背后，到底是怎样的故事？青年报·青春上海记者也从上海话剧艺术中心处进行了了解。（青年报·青春上海记者陈宏文受访者视频）http://t.cn/A67NZJWp
中山市富瑞德织带厂,:农村网课有多难：十几人挤帐篷无人戴口罩，教师手机批作业眼睛快看瞎网课，真的是让人无奈，真希望疫情赶紧过去，一切能恢复正常。农村网课有多难：十几人挤帐篷无人戴口罩，教师手机批作业眼睛快看瞎
有机肥崽,:明天的雨大不大蜜瓜甜不甜会和哪些人说什么话又觉得没什么好的期待的明天张开手指也还是握不住风想摘掉口罩躺着看云放风筝的时候跑得快一点远一点什么时候才能实现每天都想吃火锅想我的宝贝爆炸除了工作以外的无聊宇宙人都憋傻了
楚楚一枚小可爱,:孩子打疫苗，婴儿口罩哪里买？有没有推荐谢谢
古早鲜奶冰,:u1s1观月是你买的口罩会比我大个几码还是
从不卖萌的机智的翀儿的童爸爸,:公司发的口罩越来越薄了
