鱼山蚊,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
重庆轨道交通,:【#6种情况不应该进行消毒#】中国疾控中心研究员张流波表示，①不对室外环境大规模消毒；②雨雪天气不对室外环境消毒；③不对外环境空气消毒；④#不直接用消毒剂对人全身喷洒#消毒；⑤不对外环境水塘、水库、人工湖投消毒剂；⑥#不在有人的情况下对室内空气消毒#。@人民日报人民日报的微博视频
京城一一赵勇,:#上海已追踪71名浙江输入病例密切接触者#据浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心主动与浙江省疾控中心等有关部门联系，并立即启动调查已追踪到在沪密切接触者71人，都已落实隔离措施。太速度了！点赞👍
陕西广播电视台,:【西安市疾控中心对街头共享单车采样299份标本结果均为新冠病毒核酸阴性】3月1日，西安市疾控中心派专业技术人员，在西安市东西南北中各选取人流密集区域使用频率较高的共享单车进行采样监测，对共享单车的把手、车座、车体等多部位进行标本采集，结果均为新冠病毒核酸阴性。当前新型冠状病毒疫情防控的形势下，很多市民会共享单车这种减少人群聚集的出行方式。对于选择共享单车的市民来说，作为公共物品的共享单车是否安全是大家比较关心的一个问题。本次按照东西南北中五个城区开展监测，以城墙内为中间区域，在钟楼地铁站、西华门十字、北大街新世界时尚广场、西大街正学街、银泰百货、丽晶酒店、西安饭店、南大街智选假日酒店、西贝莜面村、西木头市等附近10个共享单车停放点采样。城北区域以城北客运站为中心，在城北客运站、长安医院、地铁二号线凤城五路口、经开区市政共享单车站、经开区EE康城延炼西安小区东门、经开区行政中心地铁站、西安北站等附近7个共享单车停放点采样。城西区域选取劳动南路民航小区、西电集团医院、西安医学院第一附属医院、紫薇臻品小区幼儿园、地铁三号线丈八北路站、地铁三号线鱼化寨站、中国航发西控东门、地铁一号线汉城路站、公交车三桥站、土门坊路与莲湖路十字西南角、公交车水司站、西北大学新区家属院东门等附近12个共享单车停放点采样。城南区域选取大悦城西侧公交站、南三环城南客运站北侧、会展中心西门、长安南路八里村地铁站、小寨赛格停车场入口、小寨西路吉祥村地铁站、市委党校门口等附近7个共享单车停放点采样。城东区域选取城东枢纽华阳城门口、唐都医院东面、辛家庙红星美凯龙、辛家庙地铁站、胡家庙地铁站、康复路商贸广场、金花北路温德姆酒店等附近7个共享单车停放点采样。全市共计布点43个，共涂抹采样标本299份，经西安市疾控中心实验室检测，结果均为新冠病毒核酸阴性。后期还将对全市出租车、公交、地铁进行监测并发布结果。via.华商报
西安市豫剧团,#联防联控西安在行动#【西安市公布六篇新冠消毒地方标准】为了规范企事业单位和学校复工复学疫情防控消毒技术，近日，由市疾控中心和陕西省消毒学专委会编制的6篇消毒技术规范向社会发布。由市疾控中心起草制定的新冠消毒系列地方标准分为两个方面，分别是《新型冠状病毒肺炎疫情防控消毒技术指南》和《学校复课新型冠状病毒肺炎疫情防控消毒技术指南》。此次发布的疫情防控消毒技术指南涉及托幼机构、中小学校、普通高等学校、公共场所、建筑工地和公共交通工具这6个方面的6篇消毒技术规范。6篇疫情防控消毒技术指南从消毒要求、消毒人员要求以及常用消毒方法等多个方面对新冠肺炎疫情防控期间的科学消毒提出了明确要求。大家可以用手机微信关注“陕西消毒”公众号或登陆西安市市场监督管理局官网查询，获取这6篇消毒技术规范。http://t.cn/A67SCbJV（西安网）
青白江区大弯街道办事处,【（视频版）中国疾控中心提示：超市卫生防护指南】#新型冠状病毒##抗击新型肺炎我们在行动#疾控科普的微博视频
游牧者,:【中疾控强调：#6种情况不应进行消毒#】中国疾控中心研究员张流波表示，6种情况不应消毒。①不对室外环境大规模消毒；②雨雪天气不对室外环境消毒；③不对外环境空气消毒；④不直接用消毒剂对人全身喷洒消毒；⑤不对外环境水塘、水库、人工湖投消毒剂；⑥不在有人的情况下对室内空气消毒。（梨视频）http://t.cn/A67Stzxe
LeaVes豆浆纸,【商场、超市等场所新冠肺炎防控技术方案】#新型冠状病毒##新型肺炎我们在行动#
海关发布,:【上海通报浙江7例病例入关时体温等未见异常】上海市卫健委通报：今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在上海市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在上海市逗留。
苏州工业园区湖西社工委,:【苏州中心广场社区推行“一楼一策”实施精细化防疫】近日，苏州工业园区疾控中心工作组来到苏州中心8号楼检测，因其特殊的新风系统（共用一个出风口与进风口），最终建议该住宅楼不适合居家隔离。因此，社区书记杨璿带领工作人员以及志愿者上门通知居民，并做好解释沟通，劝服数个韩日返苏居民在酒店观察后再返回小区。苏州中心广场社区针对不同物业形态采取不同的防疫策略，“一楼一策”，精准、精细落实疫情防控措施，保障居民安全。
联播中国,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。@央视新闻http://t.cn/A67CCuXb
京城才哥,:当地时间3月1日，美国佛罗里达州宣布进入公共卫生紧急状态。佛州州长办公室发表声明称，该州有两人处于“推断确诊”状态，将等待美国疾控中心进一步确认。佛州卫生部门表示，两名患者均为成年人，目前正在接受隔离治疗。百度公众号“风国际”链接：http://t.cn/A67N7kom北京
健康青白江,:【（视频版）中国疾控中心提示：超市卫生防护指南】#新型冠状病毒##抗击新型肺炎我们在行动#疾控科普的微博视频
网信党建,:【复工复产后出门这些个人防护要做好！】2日下午，国务院联防联控机制召开发布会。关于复工复产以后，大家出门就餐、购物，在餐厅吃饭、买单等需要注意什么问题？中国疾控中心环境所所长施小明对公众关心的相关问题进行了解答。去餐厅去商场去买单……复工复产后出门这些个人防护要做好！
三峡日报,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
健康青白江,:【（视频版）中国疾控中心提示：办公场所和公共场所空调通风系统运行管理指南】#新型冠状病毒##抗击新型肺炎我们在行动#疾控科普的微博视频
最新疫情地图更新,:鉴于美国流感疫情导致至少320万人被传染，140万人就医，31万人住院，1.8万人死亡，且美国疾控中心怀疑其中很多人真正的死因很可能不是流感，而是目前正在全世界蔓延的新冠病毒，所以，疾控中心要求对上述数字进行重新筛检，以确诊究竟有多少人感染的是新冠病
山西大同交警,#疫情期乘坐飞机高铁别到太早#【公众预防指南
宜行扬州,【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
石家庄全知道,:【#餐厅排队就餐如何做好防护#】中国疾控中心环境所所长施小明：①排队戴好口罩，减少交流，保持距离；②取餐时避免直接触碰频繁接触的物品表面；③尽量选择电子支付；④选择表面清洁的桌椅，最好靠近门窗；⑤摘下口罩时保持口罩内侧清洁；⑥避免面对面就座，#餐厅就餐最好同向而坐间隔1米#；⑦餐厅人多时打包是比较好的选择；⑧就餐完立刻离开餐厅，减少逗留时间。（人民网）http://t.cn/A67aFzvR源自石家庄微博头条
奉致之,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
甘州检察,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。http://t.cn/A67amZ37
OCeaN_Air,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
文明成都,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
石家庄全知道,:【#餐厅排队就餐如何做好防护#】中国疾控中心环境所所长施小明：①排队戴好口罩，减少交流，保持距离；②取餐时避免直接触碰频繁接触的物品表面；③尽量选择电子支付；④选择表面清洁的桌椅，最好靠近门窗；⑤摘下口罩时保持口罩内侧清洁；⑥避免面对面就座，#餐厅就餐最好同向而坐间隔1米#；⑦餐厅人多时打包是比较好的选择；⑧就餐完立刻离开餐厅，减少逗留时间。（人民网）http://t.cn/A67aFzvR源自石家庄微博头条
奉致之,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
甘州检察,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。http://t.cn/A67amZ37
OCeaN_Air,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
文明成都,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
美国驻华大使馆,:鉴于新型冠状病毒在世界各地的传播增加，美国疾控中心已更新了COVID-19检测对象（PUI）的定义。更新后的COVID-19检测对象（PUI）定义考虑到了病毒的地理传播并包含了一份出现广泛或持续社区传播的受影响地区的名单，定义可能被修改。http://t.cn/A67CsnDb
新浪陕西,:#陕西防控新型肺炎#【西安市疾控中心对街头共享单车采样299份标本结果均为新冠病毒核酸阴性】#陕西复工返岗#当前疫情防控形势下，很多市民会采取共享单车这种减少人群聚集的出行方式，作为公共物品的共享单车是否安全是大家比较关心的一个问题。日前，西安市疾控中心派专业技术人员，在西安市东西南北中各选取人流密集区域使用频率较高的共享单车进行采样监测，对共享单车的把手、车座、车体等多部位进行标本采集。（记者杨楠）本次按照东西南北中五个城区开展监测，以城墙内为中间区域，在钟楼地铁站、西华门十字、北大街新世界时尚广场、西大街正学街、银泰百货、丽晶酒店、西安饭店、南大街智选假日酒店、西贝莜面村、西木头市等附近10个共享单车停放点采样。城北区域以城北客运站为中心，在城北客运站、长安医院、地铁二号线凤城五路口、经开区市政共享单车站、经开区EE康城延炼西安小区东门、经开区行政中心地铁站、西安北站等附近7个共享单车停放点采样。城西区域选取劳动南路民航小区、西电集团医院、西安医学院第一附属医院、紫薇臻品小区幼儿园、地铁三号线丈八北路站、地铁三号线鱼化寨站、中国航发西控东门、地铁一号线汉城路站、公交车三桥站、土门坊路与莲湖路十字西南角、公交车水司站、西北大学新区家属院东门等附近12个共享单车停放点采样。城南区域选取大悦城西侧公交站、南三环城南客运站北侧、会展中心西门、长安南路八里村地铁站、小寨赛格停车场入口、小寨西路吉祥村地铁站、市委党校门口等附近7个共享单车停放点采样；城东区域选取城东枢纽华阳城门口、唐都医院东面、辛家庙红星美凯龙、辛家庙地铁站、胡家庙地铁站、康复路商贸广场、金花北路温德姆酒店等附近7个共享单车停放点采样。全市共计布点43个，共涂抹采样标本299份，经西安市疾控中心实验室检测，结果均为新冠病毒核酸阴性。（西安网）
小桃猫_妈咪,#美疾控中心误放一名新冠患者#【因误放新冠肺炎检测呈弱阳性患者，美得州圣安东尼奥市宣布进入紧急状态】据美国消费者新闻与商业频道（CNBC）3月2日报道，继美国疾病控制与预防中心（CDC）于2月29日从得克萨斯州隔离区释放了一名感染了新型冠状病毒的女性后，该州圣安东尼奥市3月2日宣布进入紧急状态。#美国得州圣安东尼奥市进入紧急状态#报道称，圣安东尼奥市官员向CNBC证实，联邦政府于2月29日释放了一名新型冠状病毒检测呈阳性的女子。报道称，该名女子曾从武汉撤回美国，她在圣安东尼奥-拉克兰联合基地（JointBaseSanAntonio-Lackland）接受了为期14天的隔离。圣安东尼奥市长尼伦伯格3月2日表示，该女子两次新型冠状病毒检测均呈阴性，并在CDC的指导下于2月29日出院。“不幸的是，在此人被释放后，CDC收到了另一项检测结果，显示其新型冠状病毒检测呈弱阳性。”尼伦伯格在3月2日的新闻发布会上说，“作为该市市长，我完全不能接受CDC在收到所有检测结果之前就释放一名患者，这可能会让公众暴露在这种伤害之下。”报道称，尼伦伯格当天还宣布，圣安东尼奥市进入公共卫生紧急状态。详戳：http://t.cn/A679zLJa
深圳福田交警,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。http://t.cn/A67amZ37
Rosa_96,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
__Emmanuel_,香港基督教联合医院的实验，究竟确诊病例呼出来的空气有多少病毒?英之cai的微博视频
成华财政,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
南海区第七人民医院,#抗击新冠疫情南海在行动#【（视频版）中国疾控中心提示：办公场所和公共场所空调通风系统运行管理指南】#新型冠状病毒#疾控科普的微博视频
上海宝山发布,:#上海已追踪71名浙江输入病例密切接触者#【71人全部隔离！上海已追踪到浙江境外输入病例在沪密切接触者】#浙江输入7例未在上海逗留#针对浙江省发布的新确诊7例境外输入型病例的信息，上海市疾控中心启动调查，截至目前已追踪到在沪密切接触者71人，都已落实隔离措施。据悉，该7例从意大利返回病例，从浦东机场直接包车返浙，均未在上海逗留。市政府新闻发言人徐威在新闻发布会上强调，所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。http://t.cn/A67Cl8ox
Mr迷彩先生,:早上起来，看到美国疾控中心发布的最新一份疫情数据：美国有101例#新冠肺炎#确诊或推定确诊病例。其中有48例是武汉和钻石公主号撤侨。17例与旅行有关，26例人传人。反手，众多美国政客们开始抱怨另外一个问题，美国的抗生素和青霉素都是中国制造的，这些大资本家和大政治家认为这是国家安全问题，特朗普现在正在考虑启动《国防生产法》以纠正这种情况，真是……可笑至极！而一些头脑还比较清醒的美国人，却还面临着与掌权者的“口舌之争”当中，就连“戴不戴口罩”也变成了问题，疫情背后，其实也是体制的较量，西方一直鼓吹的自我优越和先进体制，在“肺炎”年前得到了清晰的检验。#迷彩微评#
上海宝山发布,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#上海已追踪71名浙江输入病例密切接触者#http://t.cn/A67CCuXb
兰州微在线,:#兰州爆料#【白衣战士赴武汉这份关爱请收下】3月3日，城关区妇联联合区总工会来到兰州中医骨伤科医院、城关区医院和城关区疾控中心，走访慰问医护人员代表，并为瞿世玉、许文燕、张小英、罗亚莉4名驰援湖北的医护人员家属送去慰问金和物资。城关区妇联为她们每位送去了慰问金1000元，爱心企业甘肃美联文化信息科技有限公司为每位医护人员捐赠了价值300元时令果蔬一箱，和食溯源商城代金劵1000元。同时，省市区总工会为每位医护人员送去了慰问金5000元，现场通过医护人员代表向奋战在抗击疫情一线的医护人员表示感谢和敬意。兰州日报社全媒体记者赵雨欣文/视#上海已追踪71名浙江输入病例密切接触者#频http://t.cn/A67CumOg
成华财政,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
南海区第七人民医院,#抗击新冠疫情南海在行动#【（视频版）中国疾控中心提示：办公场所和公共场所空调通风系统运行管理指南】#新型冠状病毒#疾控科普的微博视频
上海宝山发布,:#上海已追踪71名浙江输入病例密切接触者#【71人全部隔离！上海已追踪到浙江境外输入病例在沪密切接触者】#浙江输入7例未在上海逗留#针对浙江省发布的新确诊7例境外输入型病例的信息，上海市疾控中心启动调查，截至目前已追踪到在沪密切接触者71人，都已落实隔离措施。据悉，该7例从意大利返回病例，从浦东机场直接包车返浙，均未在上海逗留。市政府新闻发言人徐威在新闻发布会上强调，所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。http://t.cn/A67Cl8ox
Mr迷彩先生,:早上起来，看到美国疾控中心发布的最新一份疫情数据：美国有101例#新冠肺炎#确诊或推定确诊病例。其中有48例是武汉和钻石公主号撤侨。17例与旅行有关，26例人传人。反手，众多美国政客们开始抱怨另外一个问题，美国的抗生素和青霉素都是中国制造的，这些大资本家和大政治家认为这是国家安全问题，特朗普现在正在考虑启动《国防生产法》以纠正这种情况，真是……可笑至极！而一些头脑还比较清醒的美国人，却还面临着与掌权者的“口舌之争”当中，就连“戴不戴口罩”也变成了问题，疫情背后，其实也是体制的较量，西方一直鼓吹的自我优越和先进体制，在“肺炎”年前得到了清晰的检验。#迷彩微评#
上海宝山发布,:【#上海追踪71名浙江输入病例密切接触者#】上海市卫健委通报：今天，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施。经调查，浙江新增确诊病例中6人与昨天浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#上海已追踪71名浙江输入病例密切接触者#http://t.cn/A67CCuXb
兰州微在线,:#兰州爆料#【白衣战士赴武汉这份关爱请收下】3月3日，城关区妇联联合区总工会来到兰州中医骨伤科医院、城关区医院和城关区疾控中心，走访慰问医护人员代表，并为瞿世玉、许文燕、张小英、罗亚莉4名驰援湖北的医护人员家属送去慰问金和物资。城关区妇联为她们每位送去了慰问金1000元，爱心企业甘肃美联文化信息科技有限公司为每位医护人员捐赠了价值300元时令果蔬一箱，和食溯源商城代金劵1000元。同时，省市区总工会为每位医护人员送去了慰问金5000元，现场通过医护人员代表向奋战在抗击疫情一线的医护人员表示感谢和敬意。兰州日报社全媒体记者赵雨欣文/视#上海已追踪71名浙江输入病例密切接触者#频http://t.cn/A67CumOg
郑说广播,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
贵州长安网,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
安徽商贸学院警务室,:【新型冠状病毒科普知识:依法精准防控新冠肺炎疫情系列海报（第一辑）】(来源：国家卫生健康委疾控局宣传司中国疾病预防控制中心、健康中国微博）下载链接：http://t.cn/A67SNWnw
抚州广昌发布,:#上海已追踪71名浙江输入病例密切接触者#3月3日上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。
美国驻广州总领事馆,:鉴于新型冠状病毒在世界各地的传播增加，美国疾控中心已更新了COVID-19检测对象（PUI）的定义。http://t.cn/A67CDLqK更新后的COVID-19检测对象（PUI）定义考虑到了病毒的地理传播并包含了一份出现广泛或持续社区传播的受影响地区的名单，定义可能被修改。http://t.cn/A67CDLqo
上海金山卫生健康,:【商场、超市等场所新冠肺炎防控技术方案】#新型冠状病毒##新型肺炎我们在行动#（来源：中国疾控中心）
千龙网中国首都网,:【直播|北京市新型冠状病毒感染的肺炎疫情防控工作新闻发布会】3月3日下午4点，在市政府新闻办新闻发布厅召开疫情防控新闻发布会，首都严格进京管理联防联控协调机制办公室、北京新冠肺炎疫情防控领导小组社区防控组、市疾控中心等有关单位将发布信息并答问。千龙网中国首都网的微博视频.
上海金山卫生健康,:【商场、超市等场所新冠肺炎防控技术方案】#新型冠状病毒##新型肺炎我们在行动#（来源：中国疾控中心）
千龙网中国首都网,:【直播|北京市新型冠状病毒感染的肺炎疫情防控工作新闻发布会】3月3日下午4点，在市政府新闻办新闻发布厅召开疫情防控新闻发布会，首都严格进京管理联防联控协调机制办公室、北京新冠肺炎疫情防控领导小组社区防控组、市疾控中心等有关单位将发布信息并答问。千龙网中国首都网的微博视频.
广汽丰田孝感仙女湖店,:中国疾控中心提示：正确使用消毒剂（“七不宜”）
每日商报,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
北京晚报,:【直播|北京召开疫情防控新闻发布会】3月3日下午4点，在市政府新闻办新闻发布厅召开疫情防控新闻发布会，首都严格进京管理联防联控协调机制办公室、北京新冠肺炎疫情防控领导小组社区防控组、市疾控中心等有关单位将发布信息，并答记者问。北京日报都视频的微博视频.
西安航空基地,:#联防联控西安在行动##联防联控航空基地在行动#【西安市公布六篇新冠消毒地方标准】为了规范企事业单位和学校复工复学疫情防控消毒技术，近日，由市疾控中心和陕西省消毒学专委会编制的6篇消毒技术规范向社会发布。由市疾控中心起草制定的新冠消毒系列地方标准分为两个方面，分别是《新型冠状病毒肺炎疫情防控消毒技术指南》和《学校复课新型冠状病毒肺炎疫情防控消毒技术指南》。此次发布的疫情防控消毒技术指南涉及托幼机构、中小学校、普通高等学校、公共场所、建筑工地和公共交通工具这6个方面的6篇消毒技术规范。6篇疫情防控消毒技术指南从消毒要求、消毒人员要求以及常用消毒方法等多个方面对新冠肺炎疫情防控期间的科学消毒提出了明确要求。大家可以用手机微信关注“陕西消毒”公众号或登陆西安市市场监督管理局官网查询，获取这6篇消毒技术规范。（via@西安发布）http://t.cn/A67SCbJV
中国搜索,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
