中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
韶关武江法院,:#法院动态#抗“疫”期间普法工作不停歇武江法院“云上”送法进军营为满足疫情期间官兵法律服务需求，维护军人军属合法权益，推进法治军营建设，2020年2月29日，韶关市武江区人民法院利用“云上法庭”在线庭审系统为中国人民解放军三一六二八部队开展送法活动。该院党组副书记、副院长刘文正带队在线为部队官兵释理说法，100余名部队官兵参与活动，帮助9名官兵解决涉法问题。“朋友借了我的钱，几年了都没还会不会过期？”“邻居家的鱼塘塘基塌陷，导致我家的地受损却不肯赔偿，我该怎么维护自己的权益呢？”……在各方登录并确认声音画面正常后，部队官兵们依次有序提问，法官们对官兵们提出的自身或其家属遇到的损害赔偿、相邻纠纷、继承纠纷、劳务纠纷等问题认真进行了专业的解答，并详细讲解了人民法院立案、审判、执行等方面的知识，引导部队官兵们树立法治思维，自觉运用法律武器维护自身合法权益，送法活动全过程语音清晰、交流顺畅，网络信号良好平稳。官兵纷纷表示，通过这场在线送法活动进一步提升了法律意识，感谢武江法院在抗击疫情的同时创新工作方式方法，利用在线技术让普法工作“不断线”，及时回应官兵们的法律服务需求。据了解，此次“云上”送法活动是武江法院第二次为中国人民解放军三一六二八部队开展送法活动。去年4月，武江法院第一次实地到该部队送法，受到官兵们的一致好评；今年在了解到官兵们的法律需求后，由于正处于疫情防控期间，该院便充分利用互联网审判非接触、可视化的技术优势，搭建网络交流平台，官兵们利用手机即可在线参与送法活动。近年来，武江法院始终坚持维护国防利益和军人军属合法权益，依法公正高效审理各类涉军维权案件，同时充分延伸审判职能，不断创新双拥工作载体，积极为部队、军人及军属提供全方位司法服务，有力维护军人及军属的合法权益。
七特丽无缝壁布何传豪,:韶关市「立德会」卢会长出行疫情中心武汉，践行公益力量，愿一切顺利，平安凯旋归来[加油][加油][加油]韶关七特丽无缝壁布何传豪的微博视频
中国社会福利基金会,:#武汉加油#@中国社会福利基金会2月26日-28日，广东省伙伴机构-英德市亮石志愿者协会联合梅州市关爱妇女儿童社会组织中心、清远市青桥社会工作、韶关市乐善义工会和广东救援辅助队、湛江市情暖湛江志愿者协会在清远、韶关、广州和英德、梅州、湛江开始疫情防控工作。各伙伴主要开展社区消杀、驻点排查、线上线下宣传和物资捐赠活动。其间，在8个社区、街道进行了防疫宣传和物资发放，对8个社区、单位、街道进行了防疫消杀、人员排查等工作，预计受益人数达到10000人次；湛江市情暖湛江志愿者协会，持续开展慰问一线防控点防控人员的活动，组织志愿者早晚给一线防控人员送餐。
aaa1755,:韶关船底顶海拨1586米船底顶位于广东省韶关市曲江区罗坑镇的船底顶山海拨1586米，是曲江的最高峰。船底顶山有草地，石坡，溪谷，湿地，悬崖，丛林，山脊等等，风光特别。怀化·怀化金磊国际酒店aaa1755的微博视频
韶关鹏程万里人才网,:韶关安正丰田汽车销售服务有限公司1、售后信息员2、维修接待3、理赔专员4、技术主管5、车间主管电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区沐溪大道142号（五洲汽配城斜对面）详情请登录查看：http://t.cn/A67coCRM
大河报,:【从确诊感染新冠到出院#男子一直无异常症状#】出院患者H，男性，48岁，湖北武汉人，1月21日到乐昌探亲，27日经村居健康排查纳入疫区来韶人员管理，并落实居家隔离，2月2日进行咽拭子采样，2月5日核酸检测呈阳性，立即被送韶关市定点医疗机构粤北第二人民医院隔离观察，该感染者身体一直无异常症状。详情→http://t.cn/A67t8W2m
韶关人社,:#职业招聘[超话]#韶关市好药师医药有限公司招聘【药房助理】1名。要求普通中学学历，具有良好的沟通表达能力，工作耐心细致，熟悉办公软件，有医疗行业文员工作经验优先。月薪2500-3500元。【药剂师】2名。要求医药相关专业中专以上学历，零售或连锁药店工作经验，熟悉韶关市GSP检查和验收标准。月薪3000-7000元。【营业员】2名。要求普通中学学历，具有良好的沟通表达能力，工作耐心细致，有收银和导购经验优先。月薪2500-3500元。联系人：张先生；联系电话：13360900663；联系地址：韶关市武江区新华南路与惠民南路交汇处南枫花园A首层2号商铺
韶关天气,:【市区短时天气】预计未来3小时，市区，多云间晴天，偏南风1-2级，18到24度。韶关市气象台2020年02月29日08时发布
北京刘帅军律师,:《从确诊感染新冠到出院广东一男子一直无异常症状_手机网易网》2月28日上午，据“韶关发布”消息，广东省韶关市两例确诊新冠肺炎患者经过医护人员的精心治疗，现已从粤北第二人民医院痊愈出院。截至目前，韶关市确诊的10例新冠肺炎患者中，已累计治愈出院9例，仅剩1例患者在院治疗。http://t.cn/A67t6APH
韶关天气预报,:韶关市，今天多云转阵雨，15~27℃，微风，空气优http://t.cn/EIN86UJ
小区数据通,:保利大都会位于韶关市武江区，该小区属于商务不密集、居住不密集区，周边教育资源丰富，有1所幼儿园、1所小学、1所中学；交通便利，有8个公交站；根据我们对该小区的综合分析对比，市场高估了本小区房价约9%。关注@智库2861并发送留言“c1城市名+小区名”获取更多详情
韶关天气预报,:韶关市，今夜阴转多云，19℃。明天多云转阵雨，18~27℃，微风，空气优http://t.cn/EIN86UJ
韶关中公教育,:发布了头条文章：《韶关市曲江区2019年（秋）教师公开招聘调剂公告》韶关市曲江区2019年（秋）教师公开招聘调剂公告
韶关天气,:#下班天气#【市区短时天气】预计未来3小时，市区，多云，偏南风2级，23到26度。韶关市气象台2020年02月28日17时发布
悔蝶恋花,:韶关市翁源县韶关·翁源县悔蝶恋花的微博视频
广东星光教育服务有限公司,:不忘初心，牢记使命！韶关正在创建全国爱国拥军模范城！欢迎离退休、军转干，退役军人申请加入韶关市爱国拥军促进会。空军老兵：王研博
平安揭阳,:【揭东警方三天抓获涉口罩诈骗违法犯罪嫌疑人5名】阶段来，市公安局揭东分局严打涉疫情诈骗违法犯罪行为，充分利用智慧新警务对辖区内涉口罩诈骗类型案件进行串并侦查，同时全力配合全国公安机关协查线索，在我市多地抓获涉口罩诈骗违法犯罪嫌疑人5人，初步侦破我市揭东区云路镇、汕头市、韶关市等地系列诈骗案10多宗，涉案金额达7万余元……#抗击疫情公安在行动#详情请戳：http://t.cn/A67U7nzqhttp://t.cn/R2Wxn9e
广汽丰田荣晖韶南店,:#广汽丰田##威兰达#全新TNGA中型SUV威兰达领势上市！1个高端平台、2种全新动力、3套四驱系统、4大等级版本四驱20.68万起，混动20.58万起，主力豪华版低于预售价，诚意满满！预订热线：0751-8291666！地址：韶关市浈江区韶南大道南10号！
韶关家园网官方微博,:【最高奖励20万！】近日，韶关市公安局发布了《关于公布韶关市公安局打击整治涉野生动物及其制品走私犯罪活动举报方式的公告》。来源：平安韶关
广汽传祺韶关卓越店,嗅，是对气味的甄选筛，是对完美的挑战控，是对品质不变的坚持#广汽传祺#匠造品质让气味了然于心~
韶关天气,:【短时天气预报】预计未来3小时，市区，多云，偏南风3级，25到28度。韶关市气象台2020年02月28日14时发布
耳聪目明2018,:【求助】寻找1990年出生1991年失踪广东省韶关市武江分区王湘楠69909http://t.cn/R3FHV8A(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
Mia8033,:韶关市确诊的10例新冠肺炎患者中，已累计治愈出院9例，越来越好，真棒！韶关
dan136的夏天,:一个体重仅920克的“巴掌宝宝”，在呱呱诞生于韶关市粤北医院后，以惊人的求生意志存活了一个多月
新浪广东,:#广东抗击新型肺炎#【27日广东省新增确诊病例1例，新增出院46例】截至2月27日24时，全省累计报告新冠肺炎确诊病例1348例，累计出院919例，累计死亡7例。27日当天全省新增确诊病例1例，为东莞市1例。新增出院46例，5例为重型病例治愈出院，41例为普通型或轻型病例治愈出院。有疑似病例2例。有1093名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市417例、广州市346例、珠海市98例、东莞市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性663例，女性685例，年龄介于2月龄-90岁之间。截至2月27日24时，在院的422例确诊病例中，轻型40例，普通型342例，重型18例，危重型22例。【专题报道】#广州抗疫新型肺炎全记录#http://t.cn/A6P5cggj【疫情速报】@健康广东新增出院46例，累计出院919例，新增确诊1例http://t.cn/A67bZKze@健康广州广州市报告新冠肺炎新增确诊病例0例，新增治愈出院10例http://t.cn/A67bZKzs@南方都市报广州团队称龟类也是潜在病毒中间宿主http://t.cn/A67bfyIf【治愈出院】@汕头橄榄台潮州“清零"：今早最后一名确诊患者出院http://t.cn/A67G2vZZ@江门日报江门市又有2例新冠肺炎治愈患者出院累计出院13例http://t.cn/A67G2vZ7【重要举措】@羊城晚报金羊网今日起广州地铁一、三、六号线将视情况启动客流控制http://t.cn/A67b5zpQ@羊城晚报广州第四位康复者捐献“恢复期血浆”首批已用于治疗http://t.cn/A67bcHkU
湖北无缝钢管厂13720290123,:韶关市SA210C无缝钢管20高压锅炉管Q345D钢管需求疲软或持续到年底8mm普板价格3920元/吨左右，较上周末跌30-50元；14-20mm普板主流在3540-3590元/吨左右，14-20mm低合金板主流价格3780元/吨左右，30mm普板主流价格在3860-3880元/吨左右，较上周末跌10-20元。船板及锅炉容器板本周持稳。现12-20mmCCSA船板主流成交价格4060-4080元/吨左右，不过有低位在45030-4050元出货；14-20mm16MnR容器板主流成交价格在4110-4150元/吨左右，14-20mm20g锅炉板主流成交价格在4060元/吨左右。马钢到货少，经销商表示，截止到现在，11月份马钢、营口资源到货均已在合同半数以上，部分二线资源甚至已经超过80%。总体印象是，今天各产地资源价格基本保持稳定，部分二线资源成交价格有阴跌。从经销商反馈的情况来看，成交不好，市场价格可能会进一步阴跌。成交情况与资源到货同时保持偏低水平，是形成当前市场僵持格局的基本前提。我们注意到，尽管新钢等钢厂价格已经出现较大幅度下调，但是在经销商看来，本月新钢资源（普板低合金）到货很少，而下个月马钢检修，按照钢厂的说法，市场将会断货一个月。而且新钢价格下调的也仅限于普板和低合金资源，船板等品种板价格并无变化（这也是上海品种板价格持续坚挺的一个原因），马钢价格会怎么动，在钢厂下个月检修的前提下，经销商还真有点无法揣摩的味道，惟有能做的，就是尽管成交一般，也并不着急地下调价格。
韶关天气,:#上班天气#【市区短时天气】预计未来3小时，市区，多云，偏南风1-2级，21到24度。韶关市气象台2020年02月28日08时发布
韶关天气预报,:韶关市，今天多云，16~29℃，微风，空气良http://t.cn/EIN86UJ
用户5981494012,:#韶关#扒一个广东省韶关市乐昌市坪石镇的警察我是南雄的我和一群朋友在坪石某村与人发生了点冲突我们都不是很大对方是一群中年人他们先打我们我们还拍了视频是他们先动的手欺负我们小报警了以后把视频给警察看警察当作没看到一样他们死皮赖脸说没打视频摆在那里死活不承认警察也当作没看到把对方一群人放走把我们这群人留下还说是我们的错欺负我们小而且还是外地的硬是不听我们说就咬定我们打人要是在我们南雄早就解决了坪石警察就是个垃圾不只一次了我朋友他们在宵夜店也这样真您嘛牛逼坪石警察草您嘛
韶司在线,:发布了头条文章：《韶关市司法局驻周所村扶贫工作队狠抓疫情防控和春耕生产》韶关市司法局驻周所村扶贫工作队狠抓疫情防控和春耕生产
韶司在线,:发布了头条文章：《韶关市司法局驻周所村扶贫工作队狠抓疫情防控和春耕生产》http://t.cn/A67yT6xV
幸生渔民,:【金鸡岭】金鸡岭为广东八大名胜之一，位于韶关市北郊约一百公里处
平安韶关,:【韶关A级以上景区对全国医护工作者、部队官兵和公安民警免费开放】详情请点击→http://t.cn/A67y0rYJ今日，记者从市文广旅体局获悉，为感谢最美“逆行者”的无私付出，我市所有A级景区自恢复运营之日起至2020年12月31日，对全国医护工作者、部队官兵、公安民警(凭本人真实有效证件)实行免费开放政策。据了解，当前韶关市旅游企业严格落实关停政策，全面暂停营业，共同筑牢防疫“防护网”。我市旅游业界为了对医护工作者、部队官兵、公安民警们最美“逆行者”人群表示支持和感谢，以山水力量，传递文旅温暖，为“战疫”全面胜利贡献力量，自恢复运营之日起至2020年12月31日，对全国医护工作者、部队官兵、公安民警及其随行直系亲属（父母、配偶、子女）实行旅游优惠政策。记者了解到截至目前，全市28家A级景区、7家非A级景区景点、71家限上住宿业和星级民宿、3家旅游特产企业根据实际情况，向最美“逆行者”及亲属提供不同程度优惠方案。其中，丹霞山、广东大峡谷、珠玑巷、梅关古道等我市35家旅游景区，对全国医护工作者、部队官兵、公安民警免除景区大门票，随行直系亲属实行景区大门票优惠。同时，我市多间星级酒店、民宿推出不同程度优惠方案。以上优惠政策解释权归发布景区、酒店民宿及相关企业，为保障您出行顺利，请提前致电咨询及预定。来源：韶关发布
平安韶关,:【关于公布韶关市公安局打击整治涉野生动物及其制品走私犯罪活动举报方式的公告】关于公布韶关市公安局打击整治涉野生动物及其制品走私犯罪活动举报方式的公告为推进全市公安机关集中打击整治涉野生动物及其制品走私专项行动的深入开展，加大打击走私、贩私违法犯罪力度，韶关市公安局现对社会公开举报走私贩私违法犯罪线索，渠道信息如下：举报电话：0751－110邮寄地址：韶关市武江区百旺大道1号市公安局打私支队邮政编码：512029举报邮箱：sgdszd2019@163.com联系人：胡警官联系电话：19875100209根据《广东省反走私举报奖励办法》等有关规定，将对举报有功人员予以奖励，最高奖励20万元。韶关市公安局2020年2月25日
韶关那些事儿,:#韶关身边事#【首届乐昌市九峰镇互联网桃花节即将开幕！】疫情宅家，不忘山河美。2020年2月28日下午2点，首届乐昌市九峰镇互联网桃花节开幕式即将精彩启动！百名网红为您在线直播桃花盛放，邀请您足不出户赏桃花看星空。九峰镇位于粤北韶关市乐昌市境内，因为得天独厚的自然条件，每到春季，桃花、李花、梨花竞相开放，红、白、黄、绿，色彩绚丽，夹杂着散落其间的灰色瓦房，好一幅田园画卷。今年，受疫情影响，举办不了踏春赏花的户外桃花节，但是，首届乐昌市九峰镇互联网桃花节将在2月28日如期开幕。届时，将通过腾讯直播，抖音直播、VR全景航拍、快手短视频、九峰家公众号、云相册等方式呈现九峰镇桃花盛况，给您带来身临其境的感受。来源：南方＋http://t.cn/AiNW4CYlhttp://t.cn/A67yJFVf
网民老林,:#韶关爆料#按照省教育厅的通知，韶关市中小学校3月2起开展线上教育，只剩下几天就要开学了，不少市民网民特别广大家长还是有不少担忧的，例如说：一是网上教学不同于传统线下教学，对各区县是个新生事物，我市教育系统都做了哪些准备工作来指导各学校推进？各学校目前的准备工作到什么程度了？二是各区县特别是偏远乡镇的学校，教学条件有限，无论是设备和网络都有不足，当地政府怎么解决困难问题？三是家里开展教育工作，如何保障能正常开展和教学质量，家里双职工的怎么办？家里只有老人家带又不懂电脑的怎么办？家里贫困的孩子没设备没网络怎么办？四是如何确保孩子真的上课了，总不能完全靠孩子自觉，即使家长看住小孩，小孩学到多少，老师和学校如何跟进？@韶关发布@韶关民声网@韶关那些事儿@韶关家园网官方微博@图说韶关@韶关同城
广东星光教育服务有限公司,:#文艺青年#人生感悟#正能量#空杯心态#遇见你！韶关市红方格文化传播有限公司文旅项目策划运营影视节目策划制作服务热线：0751—8932968韶关广东星光教育服务有限公司的微博视频
选房小助手,:碧桂园雄州府位于韶关市南雄市，该小区属于商务不密集、居住不密集区，周边教育资源丰富，有23所幼儿园、6所小学、3所中学；交通便利，有16个公交站；根据我们对该小区的综合分析对比，市场高估了本小区房价约……关注@智库2861并发送留言“c1城市名+小区名”获取更多详情
广铁警方在线,:【“义剪队”为民警解决理发难问题】受“新冠肺炎”疫情影响，理发店暂停营业，日夜奋战在一线的干警理发成了一个问题，既影响个人卫生又影响公安民警形象。现在好啦，近日，韶关市开展义剪活动的“阳光造型”理发店派5名理发师为韶关东站派出所18名干部民警义剪。市民支持，民警更有冲劲啦。
旅人录,:#疫情之后去哪玩#讨论这样的话题，是很减压很让人期待的事情。如果是你，你最想去哪里玩？从家乡开始，把家乡的美再记录一遍，或许是个不错的选择。我的家乡是广东，广东一共有21个地级及以上城市：广州市、深圳市、珠海市、汕头市、佛山市、韶关市、湛江市、肇庆市、江门市、茂名市、惠州市、梅州市、汕尾市、河源市、阳江市、清远市、东莞市、中山市、潮州市、揭阳市、云浮市。默念着这些城市的名字，都会想到这些城市的文化风景和美食，每个都很独特，等疫情结束到这些城市逛吃逛吃逛吃，是一件非常幸福的事情。#我为家乡当旅行推荐官#
韶关那些事儿,:#韶关身边事#【感人！高速员工#往返500公里献血救助新冠肺炎重症患者#】李国是广东省交通集团所属二广高速的一名职员。2月17日，正在粤湘省界丰阳检测点登记车辆信息的李国，接到了韶关市中心血站打来紧急求助电话。韶关市粤北人民医院收治了的一名新冠肺炎的重症患者，情况十分危急，必须在第二天上午动手术，急需RH阴性血小板。“我就是RH阴性血型呢，没问题，我一定来。”当天晚上11时，下班后的李国驱车赶到了近300公里外的韶关。第二天早上，李国在医护人员的协助下向该名患者捐献了200毫升血浆及一个治疗量的血小板，经李国献血救助的新冠肺炎患者已转入普通病房，目前情况稳定。（via：广州日报）http://t.cn/A67wfh4hhttp://t.cn/A67wfhcQhttp://t.cn/RyhWvRV
韶关那些事儿,:#韶关身边事#【韶关A级以上景区对全国医护工作者、部队官兵和公安民警免费开放】为感谢最美“逆行者”的无私付出，韶关市所有A级景区自恢复运营之日起至2020年12月31日，对全国医护工作者、部队官兵、公安民警(凭本人真实有效证件)实行免费开放政策。#韶关爆料#来源：韶关发布http://t.cn/AiNW4CYlhttp://t.cn/A672nJRU
广汽丰田荣晖韶南店,:#广汽丰田##威兰达##全新换代雷凌##iA5#广汽丰田iA5，指标可贵，好车不贵，510km长续航，2750mm长轴距，EV电池10年不限里程服务保障，最低首付2.6万元起，咨询热线：0751-8291666！展厅地址：韶关市浈江区韶南大道南10号！
韶关天气,:#午间天气#预计未来3小时，市区，多云，偏南风1-2级，24到28度。韶关市气象台2020年02月27日11时发布
亲亲宝贝da,:【九泷十八滩】九泷十八滩位于广东省韶关市坪石镇至乐昌县城之间的武江河段。河道长约50多公里，而落差竟100余米，全段共有九个泷及十八个滩。泷是指河流中狭窄而流急的河段，滩是指水浅石多、水流急湍的地方
韶关天气预报,:韶关市，今天多云，16~27℃，微风，空气优http://t.cn/EIN86UJ
小区数据通,:碧桂园凤凰城位于韶关市浈江区，周边写字楼环绕；有公园、有风景名胜，周边幼儿园(3所)、公交站(6个)，早晚都不拥堵；当前房价被市场高估了约15%；同浈江区其他162个小区相比，未来涨幅会跑赢跑输的小区……关注@智库2861并发送留言“c3城市名+小区名”获取更多详情
李飛凡FeiFan·Li,:【张九龄的诗词全集、诗集(199首全)_诗词名句网】张九龄张九龄（678年—740年）字子寿，一名博物，谥文献。汉族，唐朝韶州曲江（今广东省韶关市）人，世称“张曲江”或“文献公”。唐朝开元年间名相，诗人。西汉留侯张良之后，西晋壮武郡公张华十四世孙。...http://t.cn/EcKl2NM
咸阳江河源,:【求助】寻找1990年出生1991年失踪广东省韶关市武江分区王湘楠69909http://t.cn/R3FHV8A(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
人生如梦HJH,:寻找1990年出生1991年失踪广东省韶关市武江分区王湘楠69909http://t.cn/R3FHV8A•其他资料：据失踪人的亲人述说:1991年11月03日(农历)晚上七点半左右，有20多岁的湖南老乡和另一个40多岁人，说抱抱孩子，父母就让他抱，没注意他们什么时候把孩子抱走了，离开了家，父母当时就报警了，派出所当时还抓到一个四十多岁的男人.父亲(王*生)，母亲(柏*梅)是从湖南带着全家在韶关打工.姐姐（王*敏）比孩子大三岁.哥哥(王*闽)比孩子一岁半，妹妹(王*娟)和王湘楠是双胞胎.•姓名：王湘楠•性别：男•出生日期：1990年05月07日•失踪时身高：65CM左右•失踪时间：1991年11月03日(农历)•失踪人所在地：湖南•失踪地点:广东省韶关市武江分区•失踪人特征描述：太小没有什么特征
九院良城同学,:#中国地名大会[超话]#跟声音有关的四个地名来了。答案分别是江苏盐城#响水县#，甘肃敦煌#鸣沙山#广东#韶关市#西藏那曲地区#聂荣县#。唐山
七特丽无缝壁布何传豪,:众志成城，战胜疫情！韶关市立德会慰问一线工作人员，大家辛苦了！[加油]韶关
韶关天气预报,:韶关市，今夜晴，16℃。明天多云，15~28℃，微风，空气优http://t.cn/EIN86UJ
地产小AI,:恒大城商铺位于韶关市武江区，项目所在区域年轻化程度高，属于居住不密集区，每平方公里商住比例0.0:0.0(万人)，周边幼儿园(1所)、中学(1所)；处于交通通畅区域，当前市场房价6809元/平米，当前……关注@智库2861并发送留言“c2城市名*小区名”获取更多详情
宝贝回家-冬哥,:#民政救助#约2010年出生2017年被广东省韶关市救助站救助的无名氏寻亲编号178007被救助时身高：140CM被救助日期：2017-3-6被救助地点：广东省韶关市武江区新华北路目前所在救助站：广东省韶关市救助站寻亲者特征描述：体态：正常|头发：直发|发色：黑。其他资料：被救助时穿蓝色羽绒服、橙色马甲、蓝色裤子、红色球鞋。跟进志愿者：与光同尘救助站发布日期：2017-3-21http://t.cn/A6vHXIiQ(出处:宝贝回家论坛)
韶关民声网,:因应急抢修供水管道，受此影响，启明路（大学路路口至莱斯大酒店路段）停水，预计2月27日01:00时恢复供水。目前，韶关市水务投资集团有限公司正组织施工人员抓紧抢修，尽快恢复供水。突发爆管！市区这个路段停水！
韶关鹏程万里人才网,:诚聘司机1、持有C1牌驾照，1-3年相关工作经验；2、上班时间：8:30-5:30（中午有休息时间），包中餐，提供住宿；3、待遇：试用期2800/月，月休4天，试用期后薪资面议；电话：0751-8219830地址：韶关市浈江区南郊四公里华龙山庄路口进800米
韶关鹏程万里人才网,:韶关市豫力机械设备制造有限公司1、机械技术员2、业务员3、车工/铣工4、车间主任电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市浈江区莲花南路5号1号厂房（一线公司内）详情请登录查看：http://t.cn/A67z81bp
宁波阿马,:【求助】寻找1990年出生1991年失踪广东省韶关市武江分区王湘楠69909http://t.cn/R3FHV8A(出处:宝贝回家论坛)请大家转发各群及相关论坛，并将转发后的链接回复在帖子里。您的每一次转发都给孩子回家带来一份希望，谢谢！！！
中国旅游诚信网,:【广东：韶关市文旅企业为复工做好准备】受疫情影响，韶关市旅行社及在线旅游企业暂停经营团队旅游及“机票+酒店”旅游产品，A级景区、星级酒店暂停举办一切集聚性活动，文旅行业遭受了新型冠状病毒的肺炎疫情的重创。http://t.cn/A67ztR6B
韶关税务,:韶关日报：韶关市社保费业务实现“非接触式”办理全覆盖一次不用跑办结社保业务本报讯　新冠肺炎疫情防控期间，市税务局积极拓展全流程“非接触式”社保费业务办理，提供高效便捷的“不见面”办理方式，让社保缴费人一次都不用跑就顺利办结社保业务。　　缴费人通过登陆电子税务局、韶关税务微信公众号即可实现自助“网上办”“掌上办”。对于少部分无法在电子税务局或微信公众号办理的社保费业务，缴费人只需要预约办理，即有税务人员主动联系，告知通过电子邮件或添加微信等形式传递资料。税务部门收到资料后即时办理，并通过邮寄方式传递办理回执及凭证，在方便缴费人办理社保业务的同时也有效防范了疫情风险。　　“我们公司近期有员工退休，原本需要到税务大厅办理社保在职状态变更手续，现在在税务人员的辅导下，我们只需通过电子邮件提交扫描文件就轻松办结了，不用再跑前台，既省时又省力，也避免了交叉感染的风险。”广东韶能集团股份有限公司财务人员陆颖说道。　　据悉，市税务局通过“线上咨询专席”“税企微信群”“政策直播间”“办税vlog”等形式，持续加大“非接触式”宣传辅导力度，主动把相关税费政策送到纳税人缴费人手中。韶关市摩尔城酒店有限公司因受疫情影响一季度营业收入较预期大幅度减少。得知该情况后，税务部门靠前服务，立即安排专人与企业对接，主动线上辅导企业在政策允许范围内延期缴纳社会保险费，其间不加收滞纳金，为减轻企业负担提供有力税务支持。　　“此次出台的政策真是非常及时高效，既缓解了我们企业的资金压力，又保障了广大员工能及时足额享受社保待遇，让我们真真切切感受到国家政策的惠企利民！”该企业负责人汪术光说道。（来源：韶关日报封艳苹陈敏琳）
AblyQiu666,:请问专家们火力发电厂在广东省韶关市新丰县马头镇镇政府的边上，也就是说附近的民每天呼吸着这样“清新”的空气，会污染吗？在村镇中心区是否合理合法？谁能给我们一个答案？谢谢！
韶关天气预报,:韶关市，今天晴，15~27℃，微风，空气优http://t.cn/EIN86UJ
韶关天气,:#早晨天气#预计未来2小时，市区，晴天间多云，偏南风1-2级，16到18度。韶关市气象台2020年02月26日08时发布
袁岳昔,:【船底顶】船底顶位于韶关市曲江区罗坑镇，位于广东英德和曲江交接处，属南岭山脉南支，海拔1586米，为广东第二高峰。船底顶囊括了竹林、草地、溪流、湿地、悬崖、乱石坡等各种山区地貌景观，被视为省内驴友自虐的巅峰之地。
宝贝回家玉督查,:#志愿者转发##宝贝回家#寻找1960年出生1977曾经就读湖南省耒阳县一中高二十二班的同学王（黄）敏杰459167http://t.cn/A6hs139r(出处:宝贝回家论坛)我和王（黄）敏杰是湖南省耒阳县（现已改为市）一中高22班的同学，他好像是四川省宜宾人，大约是在1976年的春天他父母从广东省韶关市某部队调到湖南省耒阳县花石坳部队工作（父亲是军人），他也随父母来到了湖南省耒阳县一中读书并与我同班，1977年我们高中毕业，1978年他考上了第四军医大学，1980年他利用假期跟另外一个同学黄昊义到过我家叙旧，那之后我们便没有了联系，四十多年了，老同学，你在哪？怪想念你的…………
韶关鹏程万里人才网,:维也纳酒店韶关矿山公园店前台接待1、良好的形象，认真负责，且具有良好的团队合作精神；2、为客人提供办理入住、退房、电话接听、行李寄存、酒店周边信息问询等服务；3、薪资待遇：3000-4000元；电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区怡华路红星商贸大厦维也纳酒店足不出户也能找到心仪的工作，关注公众号韶关微招聘，鹏程万里网站http://t.cn/Rzktg4X
龙海平练评讲,:发表了博文《“练评讲”教育：韶关市新丰县东江秀田学校黄权仕校长一行访问映月中学》“练评讲”教育：韶关市新丰县东江秀田学校黄权仕校长一行访问映月中学东江秀田学校校长黄权仕（左二）一行访问映月中学参观校园“练评讲”教育：韶关市新丰县东江秀田学校黄权仕校长一行访问映月中学
韶关家园网官方微博,:【韶关新增1例患者出院!为第1、第2例的弟弟，已累计出院7例】2月25日上午，韶关又一例确诊新冠肺炎患者经过医护人员的精心治疗，现已痊愈，从粤北第二人民医院出院。出院患者G，男性，56岁，为韶关市第一和第二例确诊病例的弟弟。该病例作为确诊病例的密切接触者，于1月21日被隔离观察，期间无发病症状；1月22日、24日进行核酸检测均呈阴性；2月2日准备结束隔离观察前核酸检测呈阳性，即被送入定点医疗机构隔离复查；2月10日经省市专家根据该病例影像结果及国家、省的最新诊断指引，确诊为普通病例。经过新冠肺炎临床救治专家及医护人员的共同努力、精心救治、悉心护理，经韶关市疾控中心对患者先后二次间隔24小时以上进行的病毒核酸检测，结果均为阴性，符合国家卫生健康委办公厅印发的《新型冠状病毒感染的肺炎诊疗方案》中的确诊病例出院标准。G出院后，须继续隔离观察2周。截至目前，韶关累计确诊新冠肺炎患者10例，已出院7例。来源：韶关市卫生健康局
广东省自然资源厅,:韶关市自然资源局“三个加强”织好疫情防控网广东省自然资源厅http://t.cn/A67PvawH
