爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
兵团日报,:#新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例#3月2日，新疆维吾尔自治区（含新疆生产建设兵团）又有3例新冠肺炎确诊病例治愈出院，其中乌鲁木齐市2例、八师石河子市1例。3名患者入院后，经自治区医疗救治专家组的科学指导和定点医院医护人员的精心诊治，专家组会诊评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准。截至目前，自治区（含兵团）累计治愈出院病例67例，现有住院隔离治疗6人。
种花家de丹阳,【#美国新冠肺炎确诊增至74例#】据美国有线电视新闻网报道，截至当地时间3月1日18时，美国累计新冠肺炎确诊病例74例，较24小时前增长5例。其中美国本土确诊病例27例，从日本“钻石公主”号和中国武汉的撤侨人员中分别确诊44例和3例。新增5例中，1例来自罗德岛州，该患者二月份有意大利旅行史；2例来自华盛顿州；1例来自伊利诺伊州；1例来自加州圣克拉拉县，患者为该县此前一确诊病例的家属。（人民日报记者郑琪）
甘肃伏羲之子,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
小臦臦,:3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例http://t.cn/A67o6GmK
宜都发布,:【宜昌新冠肺炎累计确诊病例街道、社区（村)一览表】截至2020年3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。现予以通报。宜昌新冠肺炎累计确诊病例街道、社区（村)一览表
掌上宜都,:【宜昌新冠肺炎累计确诊病例街道、社区（村)一览表】截至2020年3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。现予以通报。宜昌新冠肺炎累计确诊病例街道、社区（村)一览表
东昌府新闻,:【2020年3月1日0时至12时聊城市新型冠状病毒肺炎疫情情况】2020年3月1日0时至12时，聊城市无新增新冠肺炎确诊病例和疑似病例。累计确诊病例38例(含治愈出院37例)，按病例确诊时医院所在县区统计：东昌府区27例，阳谷县4例，莘县3例，东阿县2例，临清市1例，冠县12020年3月1日0时至12时聊城市新型冠状病毒肺炎疫情情况
小疆有话说,:#战胜疫情，新疆在行动#【3月2日新疆（含兵团）3例新冠肺炎病例治愈出院累计治愈出院67例】　　3月2日，新疆维吾尔自治区（含新疆生产建设兵团）又有3例新冠肺炎确诊病例治愈出院，其中乌鲁木齐市2例、兵团第八师1例。　　3名患者入院后，经自治区医疗救治专家组的科学指导和定点医院医护人员的精心诊治，专家组会诊评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准。　　截至目前，自治区（含兵团）累计治愈出院病例67例，现有住院隔离治疗6人。#记录抗疫时光##战胜疫情#
新浪山东头条,:#山东新型肺炎疫情情况#【威海新增治愈出院病例1例，累计治愈34例】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。
鹤城政务,:截至3月1日24时，全市报告新增确诊病例0例，累计43例。报告新增疑似病例0例，现有0例。全市1日当日发热门诊诊疗人数204人。已解除医学观察1250人，尚有32人正在接受隔离医学观察。确诊43例病例，(含重症2例，死亡1例，治愈33例)。最新！齐齐哈尔无新增病例
沫麻麻18,:【男子吃羊肉串后现瘀斑血检显示体内含鼠药成分】北京某医院收治一例特殊病人：患者全身皮肤大面积瘀血斑，血检发现体内有鼠药成分。患者称不久前吃过“羊肉串”，医生高度怀疑他吃的串可能是被毒死的鼠肉或猫狗肉冒充，致间接误服鼠药
Iron-Man-,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例
南歌笙箫,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
新浪山东,:#山东新型肺炎疫情情况#【威海新增治愈出院病例1例，累计治愈34例】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。
幂学教育方老师,:如何在考研复试面试中脱颖而出？
华商网,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面世面的秒拍视频
L_u_o,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例
不会打扮自己的男孩,:3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例http://t.cn/A67XGYRB
闪电新闻,:#滨州身边事##山东新型冠状病毒肺炎最新消息#【3月2日0时-12时滨州无新增新冠肺炎确诊病例】3月2日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月2日12时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
新疆检察,:#新冠肺炎最新动态#【新疆连续13日无新增新冠肺炎确诊病例】2020年3月1日0-24时，新疆（含兵团）报告新型冠状病毒肺炎新增确诊病例0例，新增死亡病例0例，新增治愈出院病例2例。其中，新增治愈出院病例中，乌鲁木齐市2例。截至3月1日24时，新疆（含兵团）累计报告新型冠状病毒肺炎确诊病例76例（新疆维吾尔自治区52例、新疆生产建设兵团24例），累计死亡病例3例，累计治愈出院病例64例。截至3月1日24时，新疆（含兵团）现有确诊病例9例（新疆维吾尔自治区7例、新疆生产建设兵团2例）。其中，乌鲁木齐市4例、昌吉州1例、吐鲁番市2例、兵团第八师1例、兵团第九师1例；现有重症病例2例。目前尚有3137人正在接受医学观察。来源：新疆卫生健康委员会网站
闪电新闻,:#威海身边事##山东新型冠状病毒肺炎最新消息#【持续更新丨威海新增治愈出院病例1例，累计治愈34例】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。
三峡晚报,:【宜昌市卫生健康委关于全市新型冠状病毒肺炎疫情分布情况通报】截至2020年3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。现予以通报。#宜昌众志成城抗击疫情#
威海播报,:【威海日报社讯】【疫情通报：3月2日威海新型冠状病毒肺炎疫情情况】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中:环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
财经961,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面http://t.cn/A67aVXt2
安徽广播电视台,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面http://t.cn/A67aVXt2
威海晚报,:#坚决打赢疫情防控的人民战争总体战阻击战#【无新增病例！新增治愈出院病例1例！】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中：环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。（来源：威海市卫生健康委员会）
滨州发布,:【2020年3月2日0时-12时，滨州市无新增新冠肺炎确诊病例】2020年3月2日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月2日12时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
从宇宙黑洞飞出火凤凰,:【法国成全球第7大疫情区#卢浮宫300员工因疫情罢工#】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。世面的秒拍视频
威海卫生健康委,:【2020年3月2日0时至12时威海市新型冠状病毒肺炎疫情情况】2020年3月2日0-12时，威海市报告新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例1例。截至3月2日12时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中:环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例34例（环翠区21例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1742人，已全部解除医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
华商报,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面世面的秒拍视频
平安洪湖,:#抗击新型肺炎#【新增：新堤街道园林中学1例】【洪湖市疫情通报截至3月1日24时】截至2020年3月1日24时，我市新增新型冠状病毒感染肺炎病例1例，累计报告确诊病例383例（含转荆州16例，新增死亡1例，累计死亡13例）。当日新增治愈出院22例，累计治愈出院195例。
大河报商丘站,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面http://t.cn/A67aVXt2
宜昌发布,:【宜昌市卫生健康委关于全市新型冠状病毒肺炎疫情分布情况通报】截至2020年3月1日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。现予以通报。#万众一心抗击新冠肺炎##共同战疫宜昌加油#
平顶山同城会,:#平顶山身边事#【平顶山市卫健委截至3月1日24时平顶山市新冠肺炎疫情情况（含汝州市）】2020年3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。来源：平顶山市卫健委
汉中安宁,:#汉中身边事#【汉台实现新冠肺炎确诊病例、疑似病例“双清零”】2月29日，伴随着汉台区最后一例新冠肺炎确诊患者治愈出院，标志着全区新冠肺炎确诊病例、疑似病例实现“双清零”。截至目前，全区共收治疑似病例19例、确诊病例3例（含湖北输入2例），治愈率均达100%。新冠肺炎疫情防控工作开展以来，汉台区高度重视，迅速成立了以区委、区政府主要领导为双组长的疫情防控应急指挥部，全力开展疫情防控工作。区上加大财政保障，投入各类资金1330余万元，有力保障了疫情防控工作的开展。加强医疗救治队伍建设，成立由市传染病医院、市人民医院专家组成的救治组，对发热门诊、急诊、ICU和呼吸科的医护人员进行重点培训，有力提升医护人员对新冠肺炎的识别能力和诊治水平。为提高救治能力，确保患者得到有效救治，汉台区严格按照“集中专家、集中患者、集中资源、集中救治”要求开展救治工作。实行非定点医疗机构接诊高危人员后，由定点医院规范转运，集中收治。对疑似病例，组织区级专家会诊，确诊后报市级专家组，由市级专家组指导救治，按照“一人一案”要求分类治疗。坚持中西医结合救治原则，在抗病毒、对症治疗的同时，配合中药汤剂治疗，取得了较好的临床效果。按照中省市集中隔离医学观察要求，汉台区积极选取基础设施完备、区域人口密度低的酒店作为集中隔离医学观察点，严格制定医学观察工作流程，派驻医护人员24小时值守，建立起详细的工作台账。同时，严格落实感染控制措施，每日对观察点隔离区域、公共场所及周边环境进行消杀，有效避免了隔离点交叉感染的发生。（汉台区融媒体中心）
江南晚报,:【法国成全球第7大疫情区#卢浮宫300员工因疫情罢工#】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。世面的秒拍视频
湄潭宣传,:【#法国成全球第7大疫情区#卢浮宫300员工因疫情罢工】3月1日，受新冠疫情影响，约300位员工投票决定罢工，法国卢浮宫闭馆一日。法国目前确诊130例，系全球第7大疫情区（含“钻石公主”号）。此前马克龙宣布取消所有密闭环境中5000人以上集会，而卢浮宫日均访客为4万人。@世面http://t.cn/A67aVXt2http://t.cn/R2Wx1E3
郑州工商学院,:#工商·我们#[疫情最新情况]截止2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（数据来源：河南共青团）
汉中门户网,:【汉台实现新冠肺炎确诊病例、疑似病例“双清零”】2月29日，伴随着汉台区最后一例新冠肺炎确诊患者治愈出院，标志着全区新冠肺炎确诊病例、疑似病例实现“双清零”。截至目前，全区共收治疑似病例19例、确诊病例3例（含湖北输入2例），治愈率均达100%。新冠肺炎疫情防控工作开展以来，汉台区高度重视，迅速成立了以区委、区政府主要领导为双组长的疫情防控应急指挥部，全力开展疫情防控工作。区上加大财政保障，投入各类资金1330余万元，有力保障了疫情防控工作的开展。加强医疗救治队伍建设，成立由市传染病医院、市人民医院专家组成的救治组，对发热门诊、急诊、ICU和呼吸科的医护人员进行重点培训，有力提升医护人员对新冠肺炎的识别能力和诊治水平。
21世纪经济报道,:【每日疫情分析0302丨#武汉新增确诊大降65.8%#，方舱医院首例休舱】据21数据新闻实验室统计，截至3月1日，全国（不含港澳台）新增确诊病例202例，环比下降64.75%，震荡走低。其中武汉新增193例，环比下降65.8%。3月1日，武汉硚口武体方舱医院成为首家患者治愈出院而休整的方舱医院。同一天，另一家方舱医院——武汉客厅方舱医院，也有大规模治愈患者出仓，多达132人。详戳➡️http://t.cn/A67at2di#中国汉字的人是相互支撑的架构##浙江省新增1例境外输入性确诊病例#
考研直通车,:如何在考研复试面试中脱颖而出？
商丘发布,:2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。　　截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。　　目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
健康同行栏目,:2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
平安郏县,:【3月1日，平顶山无新增，接受隔离医学观察仅剩1人】3月2日，从市卫健委传来消息，3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。（平顶山传媒）
喀纳斯景区管委会,:#战胜疫情，新疆在行动#新疆（含兵团）又有2例新冠肺炎病例治愈出院累计治愈出院64例http://t.cn/A67SPZHn
浉河之声,:3月1日信阳新增确诊0例，新增治愈1例！2020年3月1日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者1例（郑州大学第一附属医院1例）。新增出院患者1例。无疑似病例。截至3月1日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈262例，治愈率95.6%；累计出院患者262例，出院率95.6%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者7例。目前累计追踪到密切接触者2864人，已解除医学观察2670人。来源：信阳市卫生健康委员会http://t.cn/RJydydJ
邹平新闻资讯,:【2020年3月1日0时—12时，邹平市无新增新冠肺炎确诊病例】2020年3月1日0时-12时，滨州市无新增新冠肺炎确诊及疑似病例，无重症和死亡病例报告。截至3月1日12时，累计确诊病例15例（含治愈出院12例）。累计追踪到密切接触者373人，解除医学观察366人，正在接受2020年3月1日0时—12时，邹平市无新增新冠肺炎确诊病例
山东广播电视台,:#德州身边事##山东新型冠状病毒肺炎最新消息#【3月1日12时至24时，德州无新增新冠肺炎确诊病例】2日，德州市卫生健康委员会发布消息，2020年3月1日12时至24时，德州市无新增新型冠状病毒肺炎确诊病例。截至2020年3月1日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1539人，其中已解除医学观察1529人，尚有10人正在接受医学观察。
信阳共青团,:【第8个"0"3月1日信阳新增确诊0例，新增治愈1例！】2020年3月1日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者1例（郑州大学第一附属医院1例）。新增出院患者1例。无疑似病例。截至3月1日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈262例，治愈率95.6%；累计出院患者262例，出院率95.6%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者7例。目前累计追踪到密切接触者2864人，已解除医学观察2670人。
平顶山交警,:【平顶山市卫健委截至3月1日24时平顶山市新冠肺炎疫情情况（含汝州市）】2020年3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。来源：平顶山市卫健委
新县广播电视台,:【3月1日信阳新增确诊0例，新增治愈1例】2020年3月1日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者1例（郑州大学第一附属医院1例）。新增出院患者1例。无疑似病例。截至3月1日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈262例，治愈率95.6%；累计出院患者262例，出院率95.6%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者7例。目前累计追踪到密切接触者2864人，已解除医学观察2670人。来源：信阳市卫生健康委员会
鹰城气象,:
登封市广播电视台,:2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（来源：河南省卫生健康委员会）
滨州新鲜事,:2020年3月1日12时-24时，滨州市无新增新冠肺炎确诊及疑似病例，新增治愈出院1例，无重症和死亡病例报告。截至3月1日24时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。滨州市卫生健康委员会2020年3月2日
乌鲁木齐晚报,:【3月1日新疆（含兵团）无新增新冠肺炎确诊病例新增出院病例2例】新疆维吾尔自治区卫生健康委最新通报，3月1日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）无新增新冠肺炎确诊病例。新增出院病例2例，均为乌鲁木齐市病例。　　截至3月1日24时，新疆维吾尔自治区（含新疆生产建设兵团）累计报告新型冠状病毒肺炎确诊病例76例，其中，新疆维吾尔自治区52例，新疆生产建设兵团24例。确诊病例中，乌鲁木齐市23例、伊犁州18例、吐鲁番市3例、阿克苏地区1例、昌吉州4例、巴州3例；兵团第七师1例、兵团第八师4例、兵团第九师4例、兵团第六师2例、兵团第十二师3例、兵团第四师10例。累计治愈出院病例64例，死亡病例3例。出院病例中，乌鲁木齐市19例、吐鲁番市1例、伊犁州18例、阿克苏地区1例、昌吉州3例、巴州3例、兵团第四师9例、兵团第六师2例、兵团第七师1例、兵团第八师2例、兵团第九师2例、兵团第十二师3例。　　现有住院隔离治疗9人，其中重症病例2例。目前尚有3137人正在接受医学观察。
新浪河南,:#河南防控新型肺炎疫情#【截至3月1日24时#平顶山#市新冠肺炎疫情情况（含汝州市）】2020年3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。（平顶山市卫生健康委）#抗击疫情我们在一起#
平安平顶山,:【3月1日，平顶山无新增，接受隔离医学观察仅剩1人】3月2日，从市卫健委传来消息，3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。（平顶山传媒）
