啵啵的豆奶拿铁,:淦我妈一打开电视就在播蝗灾把老子ex到了
徊墨,#偶像失声#肖战好友王竟力在3号凌晨发文称肖战外公去世，质问网友良心痛不痛，而后删除又在粉丝群呼吁粉丝，把这个消息告诉肖战粉丝还强调不要说是他说的，网友发现在2号晚上就有肖战粉丝相互强调要闭麦，3号非常重要，因为肖战会站出来，所以是真的网传的流水线一条龙？那么肖战到底知不知道，你们怎么看？
岁岁夫人是美人,:真的太烦看到这种话了，看了个流浪地球而已，可也把台词用上了，澳洲山火你也发，中国疫情你也发，巴基蝗灾你还发，你是末世党还是科学家，要不你去启动一下流浪地球得计划？太平盛世的日子过惯了经不起折腾还是有意为之的末世恐慌？我要是没猜错的话，就这么几句台词还是搜索出来复制的
瑞兮婷,:很认真的看了今日的每个热搜，真的好期待明天打开微博是疫情结束，蝗灾解决，全面复工，神农架野猪瘟彻底解决…平平安安顺顺遂遂和和气气的一片繁荣景象。
小靖今天饿了吗,很好奇在中国鸭子这个行业真的存在吗
罗浩,【#中国工作组考察巴基斯坦蝗灾区#：情况比预想严重】据介绍，#中国工作组称巴基斯坦蝗灾比预想严重#。此次灾害中的沙漠蝗虫与中国境内常见的东亚飞蝗相比，不但个头较大，攻击性较强，对生态的破坏也十分严重。目前中巴两国专家正密切合作，共同应对此次蝗灾。（央视）人民日报的微博视频
巨星组合的沙雕身下受只会啊啊啊,#华南海鲜市场开始消杀工作#支持消杀
行百里路叠千层浪,
陕西韩城旅游,:【中国工作组：#巴基斯坦蝗虫进入交配繁殖阶段#】来自中国的蝗灾防治工作组，正在巴基斯坦旁遮普省巴克卡的蝗灾区考察。专家表示，目前蝗虫的密度仍比较大，且正进入交配繁殖阶段，蝗灾比预想得要严重。当地植保部门的工作人员也表示，如果蝗虫顺利完成繁殖，幼虫将带来更大灾害——它们无法飞行，将留在农作物附近啃食，几天内就能吃光一片地。（总台记者崔如）http://t.cn/A679YMtH
荣耀丶锄头,:澳洲火灾、武汉新冠、非洲蝗灾、南极高温、covid-19蔓延全球，发生在庚子年初的一系列不寻常事件暗示着一种转变在2020年初在这个星球上在按部就班地发生。彭斯说要在一周内完成100万份covid-19检测，美国人民还未表态，但美国股市显然吓坏了：这得冒出多少个确诊？鲁比尼说全球股市在2020年要下跌30%-40%，现在看来，末日博士的这个预测是否保守了？covid-19蔓延全球是这场深刻的转变的一个引子，没有人会事先预知，改变世界的，居然是一个RNA单链病毒。直到今天，有武汉的标准作业在前，但欧洲人和美国人依然还是心存侥幸地稀里糊涂。今天，居然还有人在低估covid-19。泰国的数字看上去很美，但别忘了，泰国还挂着3000多例疑似。如果covid-19不怕高温，到了五月，欧洲和美国将彻底崩溃。现在的川普一只脚已经踩在悬崖上，而桑德斯似乎更有机会在2020问鼎白宫。摩根斯坦利的最新研究报告把中国加入了2020全球资产的诺亚方舟名单，另外二个是新加坡和澳大利亚。对于还在疫情里苦熬的中国人来说，这确实是个意外。也许，上帝宠爱老实的孩子！
JisForRealY,#AO3#很多吃瓜路人搞不清楚这两天肖战粉丝和各圈路人之间发生了什么，我们都写了下。很长的一篇，其中我们大概说了下AO3是什么，什么是同人文，以及，何为举报之恶。当然了，目前看来，肖战粉丝还是不知道她们做了什么，她们以一己之力得罪了那么多圈子，大家是在愤怒什么。现在已经不仅仅是粉圈撕x了，而是一群人用利维坦作恶，可惜，她们到现在还不清楚到底错在哪里了。#肖战粉丝举报老福特##227大团结##肖战粉丝举报ao3#发布了头条文章：《肖战的粉丝，大概真的想把他搞糊掉》http://t.cn/A67i2G9j
摇尾巴的狐狸狸,#偶像失声#肖战好友王竟力在3号凌晨发文称肖战外公去世，质问网友良心痛不痛，而后删除又在粉丝群呼吁粉丝，把这个消息告诉肖战粉丝还强调不要说是他说的，网友发现在2号晚上就有肖战粉丝相互强调要闭麦，3号非常重要，因为肖战会站出来，所以是真的网传的流水线一条龙？那么肖战到底知不知道，你们怎么看？
心安历史说,:#晚间分享#【动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受http://t.cn/A674F3Tr
杭州earl,【国家林草局：#蝗虫或从云藏疆入侵中国#】近日，联合国粮农组织向全球发布了#沙漠蝗灾害预警#。国家林业和草原局官网3月2日称，目前已成立草原蝗灾防治指挥部，组织专家就沙漠蝗灾可能对中国草原带来的影响进行科学研判。据介绍，专家研判如果气候条件适宜，已发生的沙漠蝗存在从巴基斯坦和印度直接侵入西藏，或者经缅甸侵入云南，或者经哈萨克斯坦侵入新疆的风险。
独山县法院,:#巴基斯坦蝗虫进入交配繁殖阶段#【史图馆|我们是如何战胜蝗灾的？】经过几十年治理，今天的中国初步实现了“飞蝗不起飞成灾、土蝗不扩散危害、入境蝗虫不二次起飞”的治理目标。在老挝、在莫桑比克，在许许多多的第三世界国家，来自中国的农业科技工作者，正在帮助这些国家的人民对抗蝗虫，争取更多希望。我们也要时刻警惕每一个可能成灾的蝗情，守护好来之不易的治蝗成果。http://t.cn/A6hmruws导演@幻想浅绿视频制作@史图馆http://t.cn/A6huhetF
点点儿美好时光,分享一个纪录片《吞噬非洲的蝗虫》全世界的科学家都在努力研究如何与蝗虫对战，对于蝗虫，我们究竟了解多少？那么鸡群是如何听从人类的指挥，去消灭蝗虫呢？它们的战斗力又如何呢？#养鸡斗蝗纪录片##蝗虫克星珍珠鸡##蝗灾到6月或再增500倍#电影怅客的微博视频
独山县法院,:【#沙漠蝗虫如何肆虐数国#？动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受到攻击时，会向天敌释放剧毒氢氰酸，那么他们是如何出现的，对我国会有影响吗？我们该如何抵御这场灾难？http://t.cn/A674F3Tr#蝗虫##巴基斯坦蝗虫进入交配繁殖阶段#http://t.cn/A67bvvXA
天马行空明月光,:新疆：加强边境口岸监测管控严防沙漠蝗灾入境http://t.cn/A67ounAt
中巴鱼咋办呀,:刚才点进上热搜的蝗灾视频，专家站在田里捏住了一只沙漠飞蝗，突然就让我get到了它的美丽。足长，头圆，复眼大，前胸背板坚硬，配色柔和明亮，兼具力量与美感，就连触角的角度都恰到好处。很想到田里亲手抓一只养起来观赏。没有觉得蝗灾不严重的意思，没有觉得不应该治蝗的意思，没有觉得害怕虫子的人不好的意思，没有觉得可以随意圈养驯化野生动物的意思。
天马行空明月光,:新疆：加强边境口岸监测管控严防沙漠蝗灾入境http://t.cn/A67ounAt
中巴鱼咋办呀,:刚才点进上热搜的蝗灾视频，专家站在田里捏住了一只沙漠飞蝗，突然就让我get到了它的美丽。足长，头圆，复眼大，前胸背板坚硬，配色柔和明亮，兼具力量与美感，就连触角的角度都恰到好处。很想到田里亲手抓一只养起来观赏。没有觉得蝗灾不严重的意思，没有觉得不应该治蝗的意思，没有觉得害怕虫子的人不好的意思，没有觉得可以随意圈养驯化野生动物的意思。
新浪山东头条,:#巴基斯坦蝗虫进入交配繁殖阶段#【#沙漠蝗虫如何肆虐数国#？动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受到攻击时，会向天敌释放剧毒氢氰酸，那么他们是如何出现的，对我国会有影响吗？我们该如何抵御这场灾难？#蝗虫#http://t.cn/A674F3Tr
Miss涵小仙,:艺人也是真冤，谨小慎微的经营着自己迟来的爆红，时刻保持谦逊有礼的做人态度。面对蝗灾般的粉圈和各种断章取义小题大作的所谓黑料…最终还要自己出来道歉。真不知他们何错之有？庚子之年世道艰难，粉圈小将可否思虑下自己的前程？体恤下父母的辛劳？何苦把青春全部献给无聊？
TIFFANY--ZHU,:我要把微博给卸载了，得静下来，感觉三四月会是转折点（ps虽然我觉得每个月都是转折点）但这次感觉很强烈（好吧也不是太强烈）希望我再回微博的时候，疫情已过，蝗灾已过，#外国人永久居留管理条例#也讨论出了结果，大大们都续更了，也没人骂肖战了，和谐共生。
Apalypto,#薇赴思访#【沙漠蝗虫四千亿，什么底细？从哪里来？到哪里去？】曾经经历过危机的人群，更明白祸从天降时的无奈，和无论如何也要做的据理力争。当东非经历多年不遇的蝗灾，即使是千人军队参与灭蝗也难搞定的时候，人群眼中不仅是恐惧，更有同情。这些沙漠蝗虫到底从何而来?为什么今年会出现如此灾难？面对如此灾难，到底还能做些什么？独家采访联合国粮农组织蝗虫专家基思•克雷斯曼。他几十年来专门研究蝗虫，了解它们的来龙去脉。咱们听听他的专业解析#4000亿只蝗虫已到达印度和巴基斯坦##东非沙漠蝗虫危机#@联合国粮农组织@科学松鼠会http://t.cn/A6hdcINO
养生杂志,:【#沙漠蝗虫如何肆虐数国#？动画还原蝗灾形成原理】据联合国粮农组织发布报告显示，一场大范围的蝗虫灾害席卷了从西非到东非、从西亚至南亚等大部分地区。据了解，一个普通规模的沙漠蝗群就拥有4000万只成员，它们日行150公里，消灭约3.5万人的粮食，被称为“移动粮食收割机”。它们的繁殖能力也特别夸张，并且在受到攻击时，会向天敌释放剧毒氢氰酸，那么他们是如何出现的，对我国会有影响吗？我们该如何抵御这场灾难？http://t.cn/A674F3Tr
