种子拯救者,@种子拯救者大老师，它们这是怎么了，能救么？可以恢复到以前么
东直门医院东区健康教育,:#如何防治肺结核#结核病治疗方针：在确定治疗原则和选择疗法之前，应确定结核病的类型和现阶段病灶进展情况，并检查肺以外其他部位有无活动性结核存在。同时遵循以下治疗原则：早期、适量、联合、规律、全程，才能确保治疗彻底。疾病活动期需隔离。
一颗想吃糖的糖,我喜欢一个爱豆，我卖安利做数据让更多人看到他的美好，我搞応援让他知道被好多人支持，我买作品买门票买推广给他实质的鼓励，以上是我能做的所有事，至于改变他的形象、口碑和人生，那是他自己要做的事情，关我屁事，我算老几。
瑶医覃迅云,:【得了肺结核？饮食调理上你应该注意以下这些】肺结核是一种慢性消耗性传染病，病人除了进行药物治疗和适当的休养外，饮食调理也是非常重要的。1.多摄入含优质蛋白高的食物。结核病灶修复需要大量蛋白质，提供足量的优质蛋白，有助于体内免疫球蛋白的形成和纠正贫血症状。2.多食含钙丰富的食物。结核病痊愈过程中的钙化，需要大量钙质。鼓励结核病人多饮牛奶。3.适当增加维生素的摄入。维生素C可以帮助机体恢复健康，维生素B1、维生素B6能减少抗结核病药的不良反应，维生素A可增强上皮细胞的抵抗力，维生素D可帮助钙的吸收。4.经常食用富铁食品。肺结核患者由于肺部小血管的损伤，时常会咯血，久而久之会造成贫血。另外结核病本身对人体造血功能也有抑制作用，故养血、补血食物不可少，含铁丰富的食物有补血作用。5.注意饮食调配。结核病人胃口常常不好，因此提倡食物多样、荤素搭配，做到色、香、味俱全，营养全面。
kowa杨,希拉里这不停咳嗽，啥意思？！！！（网络）#王思聪点赞##哈文#西安时评的微博视频
super艾生活259695,:【做实验🔬----艾的渗透力】实验仪器：最左边的是艾灸盒、中间是艾艾贴，最右边的是传统艾条实验过程：很明显的能够看出艾贴的渗透力直达底部，仔细观察其他两种的底部，尤其是艾灸盒的渗透力比传统艾条还要差。实验结果：艾灸拼得不是火力而是渗透力、渗透力，是直达病灶的渗透力！
妍妍_脆皮鸭好恰,我喜欢一个爱豆，我卖安利做数据让更多人看到他的美好，我搞応援让他知道被好多人支持，我买作品买门票买推广给他实质的鼓励，以上是我能做的所有事，至于改变他的形象、口碑和人生，那是他自己要做的事情，关我屁事，我算老几。
神农养生宝典,:手足蜕皮一剂灵——名不虚传
visualizing,我喜欢一个爱豆，我卖安利做数据让更多人看到他的美好，我搞応援让他知道被好多人支持，我买作品买门票买推广给他实质的鼓励，以上是我能做的所有事，至于改变他的形象、口碑和人生，那是他自己要做的事情，关我屁事，我算老几。
花姨的真藏,我喜欢一个爱豆，我卖安利做数据让更多人看到他的美好，我搞応援让他知道被好多人支持，我买作品买门票买推广给他实质的鼓励，以上是我能做的所有事，至于改变他的形象、口碑和人生，那是他自己要做的事情，关我屁事，我算老几。
Vulpes琛,我喜欢一个爱豆，我卖安利做数据让更多人看到他的美好，我搞応援让他知道被好多人支持，我买作品买门票买推广给他实质的鼓励，以上是我能做的所有事，至于改变他的形象、口碑和人生，那是他自己要做的事情，关我屁事，我算老几。
岐黄国医-大医精诚,:乳腺癌乳腺癌早期症状——肿块：患者以乳内发现肿块就诊者占绝大多数。对成年妇女乳内肿块应引起高度重视。乳腺癌多为单个，极少可见同一乳房内多个病灶。肿块形态差异较大，一般认为形态不规则，边缘不清晰，质地偏硬。癌性肿块在早期限于乳腺实质内，尚可推动，但又不似良性肿瘤那样有较大活动度，一旦侵犯筋膜或皮肤，肿块就不能推动，病期亦属较晚。乳腺癌多发生在乳房的上半部，约占50%以上，其中又以外上象限发病最多，与乳房外上腺叶较多有关。http://t.cn/A67ahtE2
科技互联实验室,:【阿里、百度、华为......巨头为何青睐CT影像智能诊断？】2月28日，百度飞桨向外界同步了一条新动态：连心医疗团队基于百度飞桨平台开发的“基于CT影像的肺炎筛查与病情预评估AI系统”正式上线，可快速检测识别肺炎病灶，为病情诊断提供病灶的数量、体积、肺部占比等定量评估信息，并已经在湖南郴州湘南学院附属医院投入使用。。。http://t.cn/A67Xg9Tb
玫瑰中洁_徐秀梅,:
免庖丁,:多谢你们的安慰，收到，心领，但是今天注定无法休息。中午我需要看完那份抑郁症护理指南，然后结合实际写一个东西出来。这是真的剖肚子挖凉粉了，因为我的病灶就是病耻，我有这个症状起码12年，我今年才跟家人明确说出来——我说不出来。就这样，我先干活。
乐居网海口,:【海南首例“复阳”患者顺利出院】患者易某某2月19日出院后，在昌江定点医院观察14天期间内，因咽拭子检测阳性再次入院。经过海南省人民医院精心治疗，目前患者体温恢复正常5天，呼吸道症状明显好转，复查肺部CT提示急性渗出病灶明显吸收。咽拭子、粪便核酸连续2次（间隔超24小时）检测均阴性。3月1日，该患者顺利出院。http://t.cn/A67Xld1v
郴州急诊虾米,:#3D打印的新冠肺炎病灶模型##郴州身边事#郴州市第一人民医院南院3D医学打印中心，打印出湖南首例新冠肺炎模型，用于临床指导治疗。@潇湘晨报@梨湖南@郴州城事@郴州新闻网官方微博http://t.cn/A67a3I2j郴州·郴州市第一人民医院
座敷鴨,:網絡管制就是病灶，文娛環境是溫床，最後就是催生一個又一個的飯圈惡瘤
我在世界尽头大声呼唤你的名字,巴南区小兔赞比的倒掉当然是肖战粉丝的锅。巴南区小兔是一个民选领袖，她的选民当然应为选出领袖的行为负责，正如共和党选民和投票支持战争的议员要为伊拉克战争负责一样。粉丝与巴南区小兔划清界限的可鄙程度，与希拉里在战后说Iwasmisguided的可鄙程度相同。肖战粉丝主动拒绝了一个更有运营经验、更成熟和调和主义、但立身不够纯洁和原教旨主义的候选人（发过cp微博），选择了立身纯洁但经验乏善可陈的巴南区小兔。这意味着巴南区小兔上位的全部原因在于她的纯洁性。她领导的后援会对CP粉的攻击，不旦不是她丧心病狂的结果，反而是她向粉丝证明自己价值、实现竞选承诺的忠义之举。肖战粉丝在她疯狂迫害CP粉、举报ao3时不置一词，却在审判来临时第一个把她钉上十字架，道德上并无任何可称赞之处。至于肖战本人，明星在粉圈中的角色略似早期英格兰的constitutionalmonarch:他的言行对粉圈有巨大的影响力，但又必须与粉圈的日常运行保持距离。任何出格的干预行为都会招来constitutionalcrisis.他的粉丝称赞他良善，但一个心地善良、优柔寡断的君主绝不是动荡之际的明君。肖战对于命运之神的馈赠小心翼翼。他如此害怕失去，但这种害怕却让失去成了自我实现的预言。如他一样，绝大多数偶像的命运都如同朝露，他们的功过只能交给粉圈的历史学家评说了。
HughCraft,今天，拜登接受FoxNews主持人ChrisWallace的采访。他声称自己一点都不“sleepy”，不是“SleepyJoe”，但在访谈结束与主持人说再见时拜登称他为Chuck。（ChuckTodd是NBC的主持人）。
筱彤雯璐,:一个足够清醒自知的人，是能够不偏不倚、客观公允、恰如其分认识自己，能跟自己诚实交朋友，同心灵保持澄澈对话的人。萨特说，他人即地狱。智者能避开他人盲目张贴标签的陷阱——不管正面还是负面，选择性失明凸显的只是精神病灶，而世界的黑与白一样多。标签即枷锁，灵魂甘愿被禁锢成奴隶的象征。无视诋毁的同时警惕那些糖衣炮弹、别有居心的恭维。充分认识自己，就不会活在他人的地狱里。自由的飞鸟，不会被猎人的阴谋诡计猎杀。康德一生都没离开他生活的葛底斯堡小镇，但一点也不影响三大批判（《纯粹理性批判》、《实践理性批判》、《判断力批判》）的哲学巨著问世。唯心生活，尽可能与外界减少关联性，奠定了他在哲学史上的崇高地位，成为西方古典哲学的鼻祖。世界很吵，要果断割裂那些不痛不痒耗费生命的无用社交。
般若观,发布了头条文章：《苯酚坏死组织“引毒出洞”治疗癌症》参考引流术治疗脓包的疗法，注射苯酚到局部病灶上，让癌组织变性坏死，变成炎症反应中心“脓根”，诱发超级炎症反应，促使机体修理坏死癌灶，达到治疗癌症的目的。苯酚坏死组织“引毒出洞”治疗癌症
今天开始做欧皇之考神附体,#全国确诊新型肺炎病例#我在15号时没戴口罩接触了感染患者，27日去医院检查发现肺部有斑片状小阴影，核酸检测阴性，选择暂时在家隔离。在家隔离到第四天，醒来体温36.8，胸闷情况也好转了一些，不能说自己完全痊愈，至少是慢慢恢复的趋势。详细的记录了这几天我的身体状况和用药饮食，希望对类似的疑似病例有参考作用。我本人性别女，24岁，无基础病。黄冈的医院目前污染严重，确诊和疑似人数居高不下，为了避免交叉感染，我继续在家隔离治疗几日，不着急复查，如果有恶化迹象立刻120。
长沙养生阿姨,:家里老人说膝盖后窝疼痛：可要当心膝关节炎和滑膜炎！通常情况都是无菌性炎症引起，临床上常规抗炎治疗效果不明显！建议敷贴大内膏手，痛点和膝盖包裹敷贴，经皮肤给药，直达病灶！效果显著！
Xi望的xi,:睡不着，比你好点，12点。试过听音乐，听佛乐，听小说，数羊，数心跳，深呼吸，盯住房顶不放，手机定时关机。嗯，效果吗？很少早于11点。我的病灶在于心里有事，不敢放松，一些事一放松就会袭击我的心情，就会有好几天缓不过来。不知道你为什么绷着劲不睡，只有自己最了解自己，找到原因就好了。作为外人，有一个我认为是可能做起来有点效果的，就是“夸”，别人的认可，有时候会带来很大的动力和勇气。“你是最棒的”“加油”“别人2点不睡都不如你有精神呢”。帮到这了，祝身体健康，生活阳光幸福！http://t.cn/A67MsvAp
_Da飒蜜,:#黑花[超话]#isreal既然长神仙能看到人体的病灶那他出现在🌸花老板的别墅里？千面难道是一个黑瞎子🕶️拼命救爱人的感人故事吗？黑瞎子先救了阿花？阿花又遍体鳞伤救了阿瞎？我没了[失望]
海南共青团,:#抗击疫情#【海南首例“复阳”患者今天顺利出院】3月1日，海南首例“复阳”患者顺利出院。患者易某某2月19日出院后，在昌江定点医院观察14天期间内，因咽拭子检测阳性再次入院。经过海南省人民医院精心治疗，目前患者体温恢复正常5天，呼吸道症状明显好转，复查肺部CT提示急性渗出病灶明显吸收。咽拭子、粪便核酸连续2次（间隔超24小时）检测均阴性。（海南日报）#众志成城抗疫情#http://t.cn/A67JbABs
xx肖家三千金,:好多人私信问我舒￶芯宝￶是什么它一‎款纯￶中药‎，不需要内￶塞灼‎烧￶阴‎道‎内￶‎壁，仅￶仅￶‎通过中医‎透皮技￶‎术，直达￶病灶￶‎，改善各种￶妇‎科问题‎的‎护￶理￶贴！深圳·怡安花园
正义南康,:#关注新冠肺炎#【鸡西市又一名新冠肺炎患者治愈出院，已累计出院32例】3月1日，鸡西市又一名新冠肺炎患者在鸡西市中医医院治愈出院。该患者68岁，男性，2月14日被确诊为新冠肺炎。该患者入院后，经专家组会诊后确定为重型患者，后经系统化精心对症等治疗，病情逐渐好转。复查胸部CT，病灶明显吸收，无发热等症状。2次痰核酸检测均阴性，符合国家新型冠状病毒肺炎第六版出院标准，临床治愈，准予出院。链接:http://t.cn/A67i7O16
生活报,:#关注新冠肺炎#【鸡西市又一名新冠肺炎患者治愈出院，已累计出院32例】3月1日，鸡西市又一名新冠肺炎患者在鸡西市中医医院治愈出院。该患者68岁，男性，2月14日被确诊为新冠肺炎。该患者入院后，经专家组会诊后确定为重型患者，后经系统化精心对症等治疗，病情逐渐好转。复查胸部CT，病灶明显吸收，无发热等症状。2次痰核酸检测均阴性，符合国家新型冠状病毒肺炎第六版出院标准，临床治愈，准予出院。链接:http://t.cn/A67i7O16
交通954,:【海南首例“复阳”患者顺利出院】3月1日，海南首例“复阳”患者顺利出院。据了解，患者易某某2月19日出院后，在昌江定点医院观察14天期间内，因咽拭子检测阳性再次入院。经过海南省人民医院精心治疗，目前患者体温恢复正常5天，呼吸道症状明显好转，复查肺部CT提示急性渗出病灶明显吸收。咽拭子、粪便核酸连续2次（间隔超24小时）检测均阴性。海南省人民医院疾控办负责人、感染科副主任吴彪表示，患者属于普通型患者，再次住院后检查发现患者体内已产生IgG抗体，同时IgM已阴转，排除了重新感染病毒的可能，为疾病的恢复期。目前出现“复阳”情况，医生判断还是根据患者病情、个人体质影响。通过积极治疗，不断检测，患者精神状态较好，符合国家卫生健康委新型冠状病毒感染的肺炎确诊病例解除隔离和出院标准。据了解，海南省人民医院开展健康指导和健康状况监测，实现全流程管理，将对该患者集中医学观察14天，定期复查，医护人员也将严密随访跟踪。患者资料：易某某，男，50岁，海南昌江。在昌江定点医院观察14天期间内，因咽拭子检测阳性再次收入院。
