车爷讲车,:全新铃木摩托GSX-R1000官方介绍片车爷讲车的微博视频
夏瀚宇狼堡网宣组,:#夏瀚宇[超话]##夏瀚宇[超话]#xhy#夏瀚宇粉丝才艺大联欢##饭圈创意挑战大赛#🎙亲爱的观众朋友们！欢迎来到夏瀚宇粉丝大联欢狼堡主会场，下面是节目介绍：🔺歌曲表演：包括但不限于唱歌、Rap等形式🔺乐器表演：包括但不限于钢琴、吉他等形式🔺舞蹈表演：包括但不限于摇花手等形式🔹图频创作：包括但不限于绘画、视频等形式🔹语言类表演：复读机或者相声等都🉑你，是否也想站在自己的舞台之上？你，是否也有着一个闪着光的梦想？每个人都应该有属于自己的舞台！『参与格式』：#夏瀚宇[超话]#+#夏瀚宇粉丝才艺大联欢#🐺#饭圈创意挑战大赛#+美图or视频+@UNINE_夏瀚宇『活动时间』：2020.3.3-2020.3.22活动将开启大赛模式，单条原创wb转赞评≥5即可入围。[心]狼堡制作人！请和我一起吧！🙆活动与@明星粉丝联盟@明星超话社区@活动联合发起@UNINE_夏瀚宇
河南法治频道,:【国家税务局：#退还企业二月份已缴医疗保险费#】3月3日，国务院联防联控机制新闻发布会，国家税务总局收入规划核算司司长蔡自力介绍，目前多部门已联合出台了阶段性减免基本医疗保险费的政策，并正在办理已交税款的退费，目前一些企业已经收到了退费款，接下来会继续将已交费款退到位。#聚焦新冠肺炎疫情#http://t.cn/A67NM79P
泰国佛牌法事情降降头招财转运,:狠货必须介绍一下[呲牙]☝🏻☝🏻咩幼娅姐姐👉🏻👉🏻👉🏻超强功效，成愿惊人💫💫师傅说咩幼娅是皈依佛门的女子，她心地善良，非常喜欢帮助别人实现心愿🔥🔥她乐于助人，喜欢为身边的人制造惊喜‼而且她金口玉言十分出名，只要她对村民说村民会中奖。那个村民不出多久一定会中奖‼因此在当地，咩幼娅人尽皆知，人人爱戴‼后来咩幼娅因为村民家中起火，咩幼娅用尽全力救了村民一家，自己却葬身火海🙏师傅遵照旨意，历经百次法会，终于完成出庙🔺师傅说咩幼娅姐姐十分乐于助人，这是她的使命，所以善信可对她求愿，无论任何愿望，咩幼娅都会一一为你成愿。而咩幼娅无与伦比的人缘魅力也会使佩戴她的善信受万人追捧，得众人爱戴。她有不同寻常的魔力，可以为善信带来取之不尽用之不竭的财富💰💰还会无穷无尽的为善信增添令人着魔的魅力气场，帮你得到真正属于你的爱情💗💗如果是渣男，姐姐也会报梦预知，让你摆脱渣男的同时赐予你金玉良缘❤❤咩幼娅可以为你挡去所有不利，提防小三，并且斩断恋人桃花。（小三上位亦可，需要求愿，如果非第三者，则无需求愿）如果有小人要害你，则会使其自动反弹，自食恶果，倒霉透顶‼‼咩幼娅不仅可以招揽无尽正偏横财，还会招揽贵人客源。姐姐还有使人变没变媚的功效，让别人一见你就心生欢喜🎉🎉所以不论你有任何困难或者需求，咩幼娅都会让你得偿所愿，无时无刻像保镖一样守护你，百害不侵，幸福美满‼‼‎͏឴#泰国佛牌##佛牌##情降#http://t.cn/A67N9vS8
黄石人民广播电台,:#江苏❤️黄石共同战疫#黄石两家主要医院ICU完成合并，集中力量打好疫情歼灭战江苏新闻广播今天记者今天从江苏省支援湖北疫情防控前方指挥部了解到，目前黄石市中医院与黄石市中心医院两家医院的ICU已完成合并，今后，黄石市的危重患者将集中到当地条件更好的中心医院ICU进行救治，苏黄两地专家团队也将集中力量打好这场决战决胜的疫情歼灭战。江苏援黄石医疗队队员、挂职黄石市中心医院重症医学科业务主任的赵炜告诉记者，3月2号，从黄石市中医院ICU转来3位危重患者，病情稳定，目前黄石最危重的11位患者都集中在中心医院的ICU。“这样集中管理的最大好处是人员、技术、设备等都比较集中了，另外还有一个成本降低了。”赵炜告诉记者。与此同时，黄石市中医院ICU的20多名江苏医疗队医务人员也一并调整过来，中心医院ICU的医护力量得到进一步加强。下一步，苏黄两地医疗专家将集中“兵力”，利用优势资源开展救治工作，加强、提高对危重症患者的治愈率和治愈水平，进一步降低病死率。此次合并后，黄石市中心医院将重点负责危重症患者的救治，黄石市中医院主要负责普通型和重症患者的救治，黄石市有色医院和矿物医院依然是收治轻型和无症状患者。随着救治工作的不断推进，现在重症与危重病人越来越少，很多患者已经转入了普通病房。江苏援黄石医疗队队员、挂职黄石市中医医院副院长、党委委员的姚欣介绍说：“黄石市中医院这边的重症患者这几天逐渐好转，从之前的14个减到了昨天9个，今天可能还会有病人出院。我们这个战场在逐渐逐渐集中，逐渐逐渐往好处转。”记者从黄石市防控指挥部了解到，3月2号，黄石市新增新冠肺炎病例0例，新增出院23例，目前仍在院治疗227例，疑似病例7例。图为疾控部门走访调查江苏省支援湖北疫情防控前方指挥部宣传信息组组长哈维超表示，医务人员在全力减少患者存量的同时，疾控部门还会继续严控增量，加强基层面上的防控措施，目前已经分了两个工作小组对基层医疗机构的发热门诊、隔离留观病区进行新一轮的督查，防止疫情出现反弹。
北京时间直播,:【从这些国家入境来京无论中国人还是外国人均须隔离14天】3月3日，北京市新型冠状病毒感染的肺炎疫情防控工作举行新闻发布会。北京市人民政府副秘书长陈蓓介绍疫情防控期间北京口岸入境管理的情况。陈蓓介绍，凡是从韩国、意大利、伊朗、日本等疫情严重国家经北京口岸入境的，如果是中转去外地的，严格按当地规定做好防疫工作；如果目的地是北京的，不论是中国人，还是外国人，都要实行隔离观察。http://t.cn/A67NVZiN
正义南康,:【#中国包机今晚将抵伊朗#接滞留疫区华人回国】伊朗当地华人3日告诉《环球时报》记者，当地时间晚间，中国有关部门将组织包机接滞留在伊华人回国，第一架包机将优先供滞留在库姆的数十名中国学生报名。3日下午，《环球时报》记者就此事致电中国驻伊朗大使馆，使馆工作人员向记者证实确有包机一事，但尚未提供更多细节。#中国包机接滞留在伊华人回国#一名居住在德黑兰的华人向记者介绍称，第一架包机将于3日晚间抵达德黑兰，由中国南方航空公司运营，估计可搭载二百余名旅客，接下来几天，可能还会有数架包机接滞留在伊朗的中国人回国。“今晚的包机将优先针对滞留在疫情最严重的库姆的中国人，他们大部分是学生，现在大概有不到30名。剩余空位会考虑在伊朗其他地方的中资企业的员工或生意人。”他透露称，第一架包机将直飞中国兰州，“不过这不是撤侨，而是商业包机。愿意回国的华人需要报名，并支付相关费用。”一名叫老七的伊朗华人告诉《环球时报》记者，他希望搭乘过两天直飞中国上海的航班回国，不过这趟包机的时间和具体细节都尚未最终确定。目前，他还没接到回国后该如何隔离的具体通知，不过他已做好接受集中隔离十四天的准备。据老七称，由于中国与伊朗都是受疫情影响较严重的国家，现在伊朗飞国内商业直航已被完全中断，绕行第三国的航班基本也只剩经莫斯科和曼谷转机两条路线。“因为这几天发生了好几起从伊朗经第三方回国的输入型病例，所以使馆前几天就已建议在伊朗的华人群体不要再采取这种风险难控制的方法回国，如真的有需要，到时会派包机来接我们回去。”“我认识的伊朗华人现在90%想回国”，老七对《环球时报》记者表示，华人主要是看到伊朗疫情发展迅速，又担心当地政府抗疫措施不够强力、社会氛围不够重视，所以现在担忧情绪比较严重。他表示，自己四天前曾去过库姆帮助当地华人募捐口罩，看到当地街头绝大部分人仍然没有佩戴口罩，“一条街上可能只有一两人戴口罩”，因此自己只呆了几十分钟就匆匆离去了。http://t.cn/A67NGuD5
南京晨报,:【#欧洲新冠肺炎病例持续增加#疾控中心上调风险等级】2日，欧洲多国新冠肺炎病例持续增加，其中拉脱维亚首现确诊病例，意大利病例数超过两千。欧洲疾病预防与控制中心已将疫情风险等级上调为“中度到高度”。　　欧盟委员会主席冯德莱恩2日在布鲁塞尔举行的新闻发布会上说，新冠病毒持续在欧洲传播，欧洲疾病预防与控制中心已将疫情风险等级从“低度到中度”上调为“中度到高度”。冯德莱恩表示，欧盟当日启动一个新冠病毒应对小组，以协调各方分享信息和防控疫情。　　拉脱维亚卫生部2日宣布确诊首例新冠肺炎病例。据介绍，这名患者曾到意大利旅行，2月29日下午经德国慕尼黑返回拉脱维亚首都里加。目前这名患者已被送往拉脱维亚传染病中心接受隔离治疗。　　意大利公民保护部部长、新冠病毒应急委员会专员安杰洛·博雷利说，截至当地时间2日18时，意大利累计确诊病例数达到2036例，较前一天增加了342例，死亡人数增至52例，另有149人治愈。　　德国疾控机构罗伯特·科赫研究所公布的数据显示，截至当地时间2日15时，德国累计确诊病例数上升至157例，疫情波及德国10个联邦州。首都柏林报告首例确诊病例。该研究所将德国疫情风险等级从“低到中度”上调为“中度”。德国宣布取消原定于3月举行的慕尼黑国际轻工业及手工业展。　　法国卫生部下属的卫生总署署长热罗姆·萨洛蒙说，截至当地时间2日16时，全国累计确诊病例数为191例，较前一日新增61例。此外，新增1例死亡病例，这是法国第3例死亡病例。法国宣布取消原定于3月中旬举行的巴黎旅游博览会。　　荷兰国家公共卫生与环境研究所2日说，荷兰当天确诊了8例新冠肺炎病例，累计确诊病例数达到18例。患者中一些人有到意大利旅游的经历。　　比利时卫生大臣玛吉·德布洛克2日说，比利时新增6例新冠肺炎病例，他们此前都到过意大利北部地区。比利时累计确诊病例数达8例。　　克罗地亚港口城市里耶卡2日再确诊一例新冠肺炎病例，该国累计确诊病例数达8例。其中，3例在首都萨格勒布隔离治疗，5例在里耶卡隔离治疗。克有关部门已呼吁萨格勒布和里耶卡两市不要举行公众集会活动。　　葡萄牙卫生部2日宣布，北部城市波尔图市确诊2例新冠肺炎病例。两人均为葡萄牙男性，一人曾到意大利度假，另一人在西班牙工作。　　俄罗斯防疫指挥部2日说，一名从意大利回国的俄罗斯公民感染新冠肺炎。患者目前身体状况稳定，与其接触过的人员均正在隔离观察。　　位于瑞典斯德哥尔摩的欧洲疾病预防与控制中心2日还说，当前季节性流感已让欧洲医疗服务体系感受到不小的压力，如果新冠肺炎病例数大幅增加，将对欧洲医疗服务体系造成严重影响。by新华视点
老兵李连明,:#广东抗击肺炎疫情#【广东：重症危重症患者数量及比例均渐降】广东省人民政府新闻办公室将于2020年3月3日（星期二）下午16:00时在广州广东大厦三楼国际会议厅举行新闻发布会，通报我省新冠肺炎疫情和防控工作情况；重点介绍我省市场监管领域疫情防控及复工复产相关工作情况。发布会邀请省卫生健康委、省市场监管局、省药监局负责同志参加。http://t.cn/A67Nt2W5
胖牛势,:【微信上线区块链电子发票极速版】3月2日，深圳市税务局联手腾讯区块链、微信支付上线区块链电子发票极速版，30分钟快速注册开通区块链电子发票功能。据介绍，针对当前非接触服务需求，深圳市税务局联合腾讯区块链、微信支付开发上线了区块链电子发票极速版。企业工商注册登记时就直接赋予区块链电子发票使用资格，实现“开业即开票”。据了解，早在2018年，深圳市已开展区块链电子发票的试点推广，由腾讯金融科技提供了区块链技术支持，目前已被广泛应用于金融保险、零售商超、酒店餐饮、互联网服务等上百个行业，累计注册1.5万户企业，开票超过1600万张。
凤凰卫视欧洲台,:【中国包机今晚将抵伊朗接滞留疫区华人回国】伊朗当地华人3日告诉@环球时报记者，当地时间晚间，中国有关部门将组织包机接滞留在伊华人回国，第一架包机将优先供滞留在库姆的数十名中国学生报名。一名居住在德黑兰的华人向记者介绍称，第一架包机将于3日晚间抵达德黑兰，由中国南方航空公司运营，估计可搭载二百余名旅客，接下来几天，可能还会有数架包机接滞留在伊朗的中国人回国。“不过这不是撤侨，而是商业包机。愿意回国的华人需要报名，并支付相关费用。”
西安网,:【1.5吨周至猕猴桃驰援武汉再出发~】#战疫情西安在行动#@周至宣传3月2日，一辆货车从周至县竹峪镇东大墙村的水果冷仓发出，车上满载着由周至县立心公益服务中心和东大墙村共同捐赠的1.5吨优质猕猴桃果品连夜奔赴武汉，为战“疫”在武汉的一线医务人员送上周至竹峪人民的爱心和祝福，向医护人员致敬，为武汉加油、为中国加油。“几天前，一直关注着新冠肺炎疫情的80后东大墙村学生党员淡松松，与我打了一通电话，表达了要与乡亲们共同为湖北的一线医务人员捐赠的想法。”东大墙村徐建武书记介绍说。周至县立心公益服务中心是陕西省第一个源自且扎根于西部农村地区的公益组织，是浙江大学传染病诊治国家重点实验室的淡松松医学博士在家乡率先发起创立的，自2017年初成立以来，持续开展着乡村教育、果农电商、疾病健康等公益实践和乡村振兴实践发展试点项目，在这次防疫中也是及时预警、科普和动员了千余群众，为疫情防控有效开展赢得了先机。“这次疫情比较严重，奋战在一线的人员比较辛苦，我们也想尽一些绵薄之力。”淡松松表示。在得知湖北武汉那边缺水果后，他就通过与东大墙村徐建武书记联系，组织村民精选出优质猕猴桃600箱共1.5吨，捐给武汉的一线医护人员，让他们补充维C，提高免疫力，共同打赢这场“战役”。此次捐赠的爱心水果，将定向捐赠给陕西省援鄂医护人员定点医院，用于医院医护人员和患者的供保餐盒制作原材料供给。（通讯员郑冲）
香港紫荆卫视,:【中国包机今晚将抵伊朗接滞留疫区华人回国】#紫荆快讯#伊朗当地华人3日告诉记者，当地时间晚间，中国有关部门将组织包机接滞留在伊华人回国，第一架包机将优先供滞留在库姆的数十名中国学生报名。3日下午，记者就此事致电中国驻伊朗大使馆，使馆工作人员向记者证实确有包机一事，但尚未提供更多细节。一名居住在德黑兰的华人向记者介绍称，第一架包机将于3日晚间抵达德黑兰，由中国南方航空公司运营，估计可搭载二百余名旅客，接下来几天，可能还会有数架包机接滞留在伊朗的中国人回国。“今晚的包机将优先针对滞留在疫情最严重的库姆的中国人，他们大部分是学生，现在大概有不到30名。剩余空位会考虑在伊朗其他地方的中资企业的员工或生意人。”他透露称，第一架包机将直飞中国兰州，“不过这不是撤侨，而是商业包机。愿意回国的华人需要报名，并支付相关费用。”一名叫老七的伊朗华人告诉记者，他希望搭乘过两天直飞中国上海的航班回国，不过这趟包机的时间和具体细节都尚未最终确定。目前，他还没接到回国后该如何隔离的具体通知，不过他已做好接受集中隔离十四天的准备。据老七称，由于中国与伊朗都是受疫情影响较严重的国家，现在伊朗飞国内商业直航已被完全中断，绕行第三国的航班基本也只剩经莫斯科和曼谷转机两条路线。“因为这几天发生了好几起从伊朗经第三方回国的输入型病例，所以使馆前几天就已建议在伊朗的华人群体不要再采取这种风险难控制的方法回国，如真的有需要，到时会派包机来接我们回去。”“我认识的伊朗华人现在90%想回国”，老七对记者表示，华人主要是看到伊朗疫情发展迅速，又担心当地政府抗疫措施不够强力、社会氛围不够重视，所以现在担忧情绪比较严重。他表示，自己四天前曾去过库姆帮助当地华人募捐口罩，看到当地街头绝大部分人仍然没有佩戴口罩，“一条街上可能只有一两人戴口罩”，因此自己只呆了几十分钟就匆匆离去了。
點新聞dotdotnews,:香港大澳餐廳獲Netflix青睞旅發局助拍攝取景Netflix在剛過去的周末，有原創節目《海景餐廳急救隊》(Restaurantsontheedge)上架，其中一集以香港的一間餐廳為主角。旅遊發展局（旅發局）介紹，最初得悉香港會成為候選拍攝地之一，便積極玉成此事。香港也因此成為首兩季節目中，唯一獲介紹的亞洲城市。《海景餐廳急救隊》通常以坐擁無敵海景的餐廳為主體，每集均會由3位專家就餐廳的食物、裝潢及形象品牌提供意見，為餐廳進行翻新。節目組最終選定有「香港威尼斯」之稱的大澳作拍攝地，並自行挑選了由一對情侶經營的cafe為主體。節目亦同時推介香港飲食文化，增添人情味及趣味。旅發局又表示，節目籌備時間長達半年，局方全程協助確保拍攝順利。節目監製更透露，首季分集中她最鍾意香港這集，預告片更特意奉上香港天際線作結尾。
湖北日报,:#湖北发布会#【湖北累计治愈出院36167人，治愈率大幅提升】#全力以赴遏制疫情#3月3日，在湖北举行的新闻发布会上，湖北省人民政府副省长杨云彦介绍，截至3月2日24时，全省共指定定点救治医院238家，全省在院治疗病人25050人，当日新增出院2410例，累计治愈出院36167人，治愈率大幅提升。（湖北日报全媒记者别鸣）
钟宣1988,:【湖北副省长：新冠患者增量风险仍未得到根本控制】在今天下午召开的湖北省疫情防控工作新闻发布会上，湖北副省长杨云彦介绍，当前湖北消化存量的任务依然艰巨，全省还有2万多名患者在院救治，6000多名重症、危重症患者仍需加大救助力度。同时，增量风险仍然没有得到根本控制，“像武汉市每天还有三位数的新增病例。”。此外，疫情防控仍具有不确定性。他介绍，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象。（侠客岛）http://t.cn/A67Ce0e9
乌兰察布广播电视台微博,:#乌兰察布头条#【如何解决内蒙古17.1万应往届毕业生的就业问题？人社部门介绍多方举措】月2日，内蒙古自治区新冠肺炎疫情防控工作指挥部举行第三十二场新闻发布会。内蒙古自治区人力资源和社会保障厅副巡视员刘浩生就高校毕业生就业形势和相应的政策措施回答了记者的提问。刘浩生介绍，今年内蒙古需要就业的应往届高校毕业生总量达17.1万人，比去年增加近9000人，创历史新高。受疫情影响，就业面临的挑战叠加，使今年就业形势成为近年来最为复杂、最为严峻的一年。（点击链接了解详情http://t.cn/A67NU8dV）
武汉晚报,:【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
楚天都市报,:#湖北发布会#【湖北新增治愈出院病例，连续13天超过新增确诊病例】3日下午，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍湖北省疫情防控进展。从2月19日起，湖北新增治愈出院数连续13天超过新增确诊病例数。会上，湖北省疾病预防控制中心副主任李阳介绍了湖北省新冠肺炎的最新情况。截止2020年3月2日24时，湖北省累计报告新冠肺炎确诊病例67217例，其中武汉市49426例，占全省74%，其他市州17791例，占全省26%。武汉市、孝感市、黄冈市、荆州市、鄂州市、随州市、襄阳市及黄石市等八个地市，累计确诊病例数均超过1000例。2020年3月2日0-24时，湖北省新增新冠肺炎确诊病例114例，占全国91%，新增确诊病例中武汉市111例，占全省的97%；黄冈市2例、荆门市1例，占全省的3%。黄石市、十堰市、宜昌市、襄阳市、鄂州市、孝感市、黄冈市、咸宁市、随州市、恩施州、仙桃市、天门市、潜江市、神农架林区共14个地市无新增确诊病例。截止2020年3月2日，全省仍住院治疗25050例，其中重症5407例，危重症1186例，共占住院治疗数的26%；截止2020年3月2日，全省累计病亡2834例；3月1日全省新增病亡31例，其中武汉市24例，占全省77%。截止2020年3月2日，累计治愈36167例，3月2日，新增出院病例2410例，其中武汉市1846例，占全省出院的77%。从2月19日起，新增治愈出院数连续13天超过新增确诊病例数。http://t.cn/A67NzmN2
仪陇播报,:【组织63名返乡农民工到县经济开发区企业参观】3月2日，县总工会、丁字桥镇政府组织63名返乡农民工到县经济开发区参观，让农民工朋友看变化、看发展、看管理、看待遇，激发他们热爱家乡、建设家乡的热情，更好地引导群众返乡就业创业。在工业园区，农民工朋友们先后来到四川国德塑业有限公司、四川渝源电器有限公司、南充家丰时装有限公司等企业。各企业负责人向农民工朋友介绍了企业的基本情况和用工需求，并带领他们深入了解了生产车间、仓库、流水车间，为他们详细介绍了各自企业的生产发展、薪资待遇等情况。参观结束后，企业代表同农民工朋友举行了签约仪式。24名农民工成功签订了用工合同，35名农民工达成就业意向。今年以来，针对返乡农民工就业问题，县总工会为返乡农民工当“红娘”，及时制定了服务及回引“农民工”的各项政策措施，通过上门宣传、全程接送、实地参观、现场体验等接地气的招工方式，真心实意为广大农民工朋友办好事、做实事、解难事。（钱超）http://t.cn/A67N7BDA
hqhasmsyy,:生意难做，服务更要周到！客人说要泡茶喝，咱就得热情招呼！边喝边聊，从工作就聊到了家庭，说他的房子是自己设计自己监工怎么宽大！聊到他老婆因为喜欢赌钱学坏跟人家跑了！如今想找一个伴过下半生，但现在的女人太物质，人家介绍了好几个(40岁左右的）都说要有房子写上她的名字，还要有存款！没有一个是先谈心的
爱美美美食佳,:一波存图店里的新品需要推迟一段时间才能上了但我觉得它经得起等待超级香～这款用的是橄榄油着急吃没有拍出魔性气孔红圣女果、黄圣女果、黑橄榄、迷迭香敲重点！！咸奶酪芝士加了3倍量健康口真的能很好吃！黑糖土司也很惊喜但我觉得口感还可以再丰富一点等到最佳那步再向你们介绍它嘻嘻#面包#
成都新闻广播,:【读这本书得动起来！】今日，四川人民出版社联合成都体育学院艺术学院、体操学院的运动健身专家精心编写《疫情防控居家康养健身舞》一书正式上线，助力大家科学有效地健身。该书针对居家隔离的现实情况，依托成都体育学院运动医学与健康学院、武术学院、体操学院等学科专业的理论知识，介绍了居家康养健身舞之导引术、居家康养健身舞之五禽戏、居家康养健身舞之八段锦、居家康养健身舞之易筋经这四大居家康养健身舞……将具有悠久中华民族传统文化的健身气功与广大健身爱好者喜爱的广场舞符号动作相结合，使居家隔离人群身心得以锻炼和放松。该书特别配套了视频，有专业的老师一招一式悉心教导。来，点击视频，马上感受一下！👇（记者王欢）http://t.cn/A67N7j5Q
乐山新闻网官方微博,:【这只乐山猴子成精了吧，私闯民宅还把主人反锁在门外】据沙湾区消防救援支队的救援人员介绍，3月2日上午，接到来自三峨村一曹姓村民的报警求助电话，称村民家里来了一只右腿残疾的猴子，四处破坏，还把门给锁上了。消防救援人员会同沙湾区自然资源局工作人员一起来到曹先生家，通过捕蛇器、绳索等工具，和猴子展开了十多分钟的斗智斗勇，总算让它束手就擒。http://t.cn/A67CrSvGhttp://t.cn/A67Cggdf
三亚乐居网,:#焦点解读#银保监会等五部门联合印发通知中小微企业还本付息可临时性延期！　　日前，中国银保监会、中国人民银行、国家发展改革委、工业和信息化部、财政部五部门联合印发《关于对中小微企业贷款实施临时性延期还本付息的通知》，对符合条件、流动性遇到暂时困难的中小微企业贷款，给予临时性延期还本付息安排。　　《通知》要求，对于2020年1月25日以来到期的困难中小微企业（含小微企业主、个体工商户）贷款本金，以及2020年1月25日至6月30日中小微企业需支付的贷款利息，银行业金融机构应根据企业申请，给予企业一定期限的临时性延期还本付息安排。还本付息日期最长可延至2020年6月30日，免收罚息。　　对于少数受疫情影响严重、恢复周期较长且发展前景良好的中小微企业，银行业金融机构可根据实际情况与企业协商确定另外的延期安排。其中，湖北地区各类企业（包括大型企业）都可以享受贷款临时性延期还本付息政策。与此同时，银行业金融机构应为湖北地区配备专项信贷规模，实施内部资金转移定价优惠，力争2020年普惠型小微企业综合融资成本较上年平均水平降低1个百分点以上。　　“受疫情影响，不少企业复工复产延期，中小微企业开工率不足，现金流收入大幅减少，流动性压力亟须纾解，有必要进一步加大金融支持力度，出台针对性的帮扶政策。对中小微企业贷款实施临时性延期还本付息，将有助于缓解企业财务支出和流动性压力，给予企业一段时间的缓冲期，有利于企业尽快复工复产，支持实体经济恢复发展。”银保监会有关部门负责人表示。　　据介绍，在监管政策方面，对于1月25日至6月30日期间实施临时性延期还本付息的贷款，银行业金融机构应坚持实质性风险判断，不因疫情因素下调贷款风险分类，不影响企业征信记录。企业复工复产后，经过一段时间的正常经营，如果这些企业仍不能按时正常还本付息，贷款该认定为不良的就要认定为不良。货币政策方面，中国人民银行将综合运用公开市场操作、中期借贷便利、常备借贷便利、再贷款、再贴现等货币政策工具，保持流动性合理充裕，维持银行负债端平稳接续。财政政策方面，各级财政部门对于国有控股和参股的银行业金融机构2020年的经营考核，应充分考虑应对疫情、服务中小微企业的特殊因素，给予合理评价。　　该负责人强调，一方面，政策操作流程要遵循市场化、法治化原则，不搞行政命令，不搞一刀切；另一方面，一旦发现弄虚作假等违法违规行为，应立即停止融资支持，并通过上报征信、诉讼等惩戒措施，有效防控道德风险。http://t.cn/A67CgBPg
央广网,:【财政部：#2020全年仅社保费减轻企业负担超1万亿元#】财政部社会保障司司长符金陵在今天（3日）国务院联防联控机制发布会上介绍，为支持中小微企业早日复工复产，财政部除了落实税收减免政策外，最近又出台了社会保险费减免政策，企业的养老、失业、工伤三项社会保险阶段性降费实施以后，预计2020年可以减轻企业负担5100多亿元。同时还指导地方在确保医保基金长期可持续的情况下，减征部分职工医保单位缴费，又可以减轻企业负担约1500亿。加上去年财政部实施的将企业养老保险单位缴费由20%降为16%的政策，全年仅社会保险费就可为企业减少超过1万亿元费用。（记者：孙冰洁）
想想先前,:【#安徽黄山发现两个哺乳类新物种#】科研人员近日在安徽黄山风景区发现的麝鼩(qú)属物种，经研究确认，为两种哺乳类新物种，分别命名为“安徽麝鼩”和“黄山小麝鼩”。研究人员介绍，麝鼩为劳亚食虫目鼩黶pace科麝鼩属动物，分布于亚洲、欧洲和非洲，大多数物种集中分布于热带和亚热带地区，栖息于森林、平原、丘陵和山地，主要以土壤昆虫为食，也吃一些植物的花、果实和种子。麝鼩形似老鼠，体型包含大、中、小3种类型。http://t.cn/A67Cgj8r
科技日报,:【#税收大数据助力企业链条衔接#】3月3日，国务院联防联控机制就为疫情防控和复工复产提供财税政策支持有关情况举行发布会。国家税务总局收入规划核算司司长蔡自力介绍，税务部门依据增值税发票数据，对开工数据进行统计，与去年比较反应复工复产的进程。分析发现，2月17日到21日复工率开始回升，一周提升了20.2个百分点，为决策提供支持。税务大数据还精准帮扶上下游企业实现对接。例如浙江税务部门，为短缺原料企业精准配备供货商。山东税务部门，用大数据筛选出信誉度高的物流公司推荐给企业，解决企业运输问题。（科技日报记者张佳星）
明月我家,:全球股市预警，防备新冠病毒造成的更大破英国《泰晤士报》网站3月2日刊载题为《全球股市预警，防备新冠病毒造成的更大破》的报道称，国际清算银行已表示，近日市场遭遇“当头棒喝”之后，交易员和投资者应该做好准备，应对全球市场遭受与冠状病毒有关的更大破坏。报道称，近日，全球股票市值蒸发近6万亿美元（1美元约合6.98元人民币），各大股指创下2008年金融危机以来最大单周跌幅。国际清算银行货币经济部负责人克劳迪奥·博里奥说：“有一点是肯定的，新冠病毒的相关新闻和官方当局的应对政策会继续左右市场。”“央行的央行”国际清算银行的警告时值：——意大利表示，将为经济注入36亿欧元（1欧元约合7.72元人民币），用于商业税收抵免、减税和增加国家卫生体系现金流，以减轻病毒对经济的影响；——疫情第二严重的韩国称，上月日均出口额下降11.7%；——面对油价下跌和对经济衰退的担忧，沙特阿美公司股价跌至该公司上市以来的最低水平；——原定于美国得克萨斯州休斯敦举行的能源部长和高级管理人员“剑桥能源周”会议取消；——爱尔兰中央银行行长加布里埃尔·马赫卢夫称，贸易紧张局势、国际税收规则变更和冠状病毒可能扰乱爱尔兰经济。报道介绍，由于欧洲、美洲和亚洲各地新冠肺炎确诊病例增加，其中美国报告死亡病例。经济学家表示，这场危机的严重程度远超此前认知。英国凯投国际宏观经济咨询公司将今年全球经济增长预期下调0.4个百分点至2.5%。为了阻止病毒传播，企业纷纷停工停产。韩国现代集团、三星公司和LG公司有员工新冠病毒检测结果呈阳性后，均关闭在韩工厂。美国航空公司已停飞前往意大利北部城市米兰的航班。尽管近日出现了股票抛售，但国际清算银行称，市场运转复原力强，几乎没有迹象表明新冠病毒会引发金融危机。不过博里奥表示，交易员们承认，“目前来看，快速实现经济‘V’型复苏的预期非常不现实”。报道称，在英国，冠状病毒正在削弱民众信心，一定程度上破坏了大选后出现的积极反弹。经济与商业研究中心首席执行官尼娜·什凯罗称，近期英国水灾和冠状病毒传播“表明外部因素和不可预测因素可能迅速扰乱脆弱的经济复苏”。
